gene_id	TCGA-E2-A158-01A-11R-A12D-07	gene_id	TCGA-E2-A158-11A-22R-A12D-07
ACAD10|80724	536.0295	ACAD10|80724	534.0838
ACAD11|84129	912.3057	ACAD11|84129	1188.868
ACAD8|27034	621.3692	ACAD8|27034	588.4928
ACAD9|28976	919.8595	ACAD9|28976	1191.3634
lowly_expressed	lowly_expressed	ACADL|33	659.7874
ACADM|34	1101.8764	ACADM|34	2016.8856
ACADSB|36	175.8204	ACADSB|36	1211.3821
ACADS|35	169.994	ACADS|35	1692.9331
ACADVL|37	962.3854	ACADVL|37	7398.9869
ACAN|176	71.6305	ACAN|176	253.2833
ACAP1|9744	31.1884	ACAP1|9744	68.1676
ACAP2|23527	1649.5587	ACAP2|23527	1405.8787
ACAP3|116983	206.6867	ACAP3|116983	530.3315
ACAT1|38	667.295	ACAT1|38	3231.3946
ACAT2|39	133.1848	ACAT2|39	309.1245
ACBD3|64746	1556.3362	ACBD3|64746	1053.1582
ACBD4|79777	126.81	ACBD4|79777	326.454
ACBD5|91452	526.0903	ACBD5|91452	762.3515
ACBD6|84320	493.1882	ACBD6|84320	349.5935
ACBD7|414149	225.5162	ACBD7|414149	28.768
ACCN2|41	2043.6981	ACCN2|41	267.6673
ACCN3|9311	15.7656	lowly_expressed	lowly_expressed
ACCS|84680	261.5029	ACCS|84680	323.9525
ACD|65057	493.8737	ACD|65057	283.3021
ACE2|59272	6.5119	ACE2|59272	16.2602
ACER2|340485	59.9777	ACER2|340485	217.0106
ACER3|55331	421.215	ACER3|55331	816.7605
ACE|1636	640.5621	ACE|1636	1363.9775
ACHE|43	28.4466	ACHE|43	26.2664
ACIN1|22985	2037.8716	ACIN1|22985	2439.6498
ACLY|47	3036.9291	ACLY|47	4621.0131
ACN9|57001	282.7521	ACN9|57001	133.2083
ACO1|48	1747.5795	ACO1|48	6827.3921
ACO2|50	1237.0525	ACO2|50	5310.3502
ACOT11|26027	13.3665	ACOT11|26027	39.0807
ACOT13|55856	561.861	ACOT13|55856	610.4565
ACOT1|641371	112.7581	ACOT1|641371	1772.3577
ACOT2|10965	157.9985	ACOT2|10965	1145.0907
ACOT4|122970	45.5831	ACOT4|122970	139.4622
lowly_expressed	lowly_expressed	ACOT6|641372	8.1301
ACOT7|11332	334.5043	ACOT7|11332	323.9525
ACOT8|10005	342.1026	ACOT8|10005	211.2946
ACOT9|23597	215.9198	ACOT9|23597	651.6573
ACOX1|51	2516.0038	ACOX1|51	3132.389
ACOX2|8309	16.7938	ACOX2|8309	445.2783
ACOX3|8310	463.3707	ACOX3|8310	392.1201
ACP1|52	3328.935	ACP1|52	1066.9168
ACP2|53	449.3188	ACP2|53	924.9531
ACP5|54	489.0755	ACP5|54	376.4853
ACP6|51205	288.5785	ACP6|51205	198.8743
ACPL2|92370	826.3217	ACPL2|92370	310.1939
lowly_expressed	lowly_expressed	ACPP|55	8.7555
ACRBP|84519	16.451	ACRBP|84519	32.5203
ACRC|93953	41.813	ACRC|93953	26.8918
ACRV1|56	13.3665	lowly_expressed	lowly_expressed
ACR|49	65.4614	lowly_expressed	lowly_expressed
ACSBG1|23205	18.1647	ACSBG1|23205	17.5109
ACSF2|80221	232.7136	ACSF2|80221	851.157
ACSF3|197322	230.9999	ACSF3|197322	340.2126
ACSL1|2180	1860.6803	ACSL1|2180	29342.7142
ACSL3|2181	2247.2796	ACSL3|2181	1950.5941
ACSL4|2182	231.3426	ACSL4|2182	2045.6535
ACSL5|51703	374.9464	ACSL5|51703	682.9268
lowly_expressed	lowly_expressed	ACSM2A|123876	6.8793
ACSM3|6296	518.6291	ACSM3|6296	45.8036
lowly_expressed	lowly_expressed	ACSM5|54988	767.98
ACSS1|84532	1747.5795	ACSS1|84532	487.1795
ACSS2|55902	738.5828	ACSS2|55902	5247.0294
ACSS3|79611	79.5133	ACSS3|79611	1191.3696
lowly_expressed	lowly_expressed	ACTA1|58	193.2458
ACTA2|59	1295.2686	ACTA2|59	68345.4096
ACTB|60	61753.7486	ACTB|60	95385.2408
lowly_expressed	lowly_expressed	ACTC1|70	781.7386
ACTG1|71	86901.2081	ACTG1|71	37669.7936
ACTG2|72	3370.0625	ACTG2|72	12046.2789
ACTL6A|86	2086.1966	ACTL6A|86	572.2326
ACTN1|87	9998.8004	ACTN1|87	12377.1107
ACTN2|88	853.74	ACTN2|88	86.3039
ACTN4|81	11814.943	ACTN4|81	20248.474
ACTR10|55860	702.5962	ACTR10|55860	1022.5141
ACTR1A|10121	2616.7424	ACTR1A|10121	3304.5654
ACTR1B|10120	935.6525	ACTR1B|10120	1548.4678
ACTR2|10097	7120.5552	ACTR2|10097	5278.9243
ACTR3B|57180	3093.8223	ACTR3B|57180	387.7423
ACTR3C|653857	106.2463	ACTR3C|653857	25.641
ACTR3|10096	5489.8466	ACTR3|10096	2853.0331
ACTR5|79913	165.8812	ACTR5|79913	169.4809
ACTR6|64431	887.3276	ACTR6|64431	413.3834
ACTR8|93973	399.9657	ACTR8|93973	434.0213
ACVR1B|91	1683.1463	ACVR1B|91	839.8999
lowly_expressed	lowly_expressed	ACVR1C|130399	2698.5616
ACVR1|90	750.5784	ACVR1|90	1208.2552
ACVR2A|92	487.3618	ACVR2A|92	393.3709
ACVR2B|93	1224.231	ACVR2B|93	299.5622
ACVRL1|94	129.8946	ACVRL1|94	1906.8168
ACY1|95	222.7744	ACY1|95	771.7699
ACY3|91703	60.6632	lowly_expressed	lowly_expressed
ACYP1|97	64.7759	ACYP1|97	26.2664
ACYP2|98	625.1392	ACYP2|98	203.8774
lowly_expressed	lowly_expressed	ADAD2|161931	6.429
ADAL|161823	137.4347	ADAL|161823	245.7786
ADAM10|102	756.7475	ADAM10|102	1183.2395
ADAM11|4185	53.1231	lowly_expressed	lowly_expressed
ADAM12|8038	630.9656	ADAM12|8038	639.1495
