gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
DNAJC19|131118	444.5178	DNAJC19|131118	388.5918
DNAJC1|64215	1752.9099	DNAJC1|64215	568.1818
DNAJC21|134218	1176.2948	DNAJC21|134218	1176.9162
DNAJC22|79962	133.4951	DNAJC22|79962	24.5098
DNAJC24|120526	275.6744	DNAJC24|120526	271.9073
DNAJC25|548645	221.2105	DNAJC25|548645	211.6667
DNAJC27|51277	116.3714	DNAJC27|51277	242.8699
DNAJC28|54943	29.0055	DNAJC28|54943	27.6292
DNAJC2|27000	778.1403	DNAJC2|27000	526.0561
DNAJC30|84277	319.4098	DNAJC30|84277	294.1176
DNAJC3|5611	2959.9576	DNAJC3|5611	2080.6595
DNAJC4|3338	788.7955	DNAJC4|3338	463.4091
lowly_expressed	lowly_expressed	DNAJC5B|85479	24.9554
DNAJC5|80331	2129.9813	DNAJC5|80331	1770.0535
DNAJC6|9829	120.565	DNAJC6|9829	74.8663
DNAJC7|7266	1260.3723	DNAJC7|7266	1193.7567
DNAJC8|22826	2286.541	DNAJC8|22826	1650.1783
DNAJC9|23234	964.9147	DNAJC9|23234	507.1524
DNAL1|83544	581.5076	DNAL1|83544	483.066
DNAL4|10126	495.889	DNAL4|10126	446.5241
DNALI1|7802	986.1866	DNALI1|7802	590.4635
DNASE1L1|1774	398.80800000000005	DNASE1L1|1774	457.4153
DNASE1L2|1775	8.3871	DNASE1L2|1775	10.2496
lowly_expressed	lowly_expressed	DNASE1L3|1776	191.6221
DNASE1|1773	79.3283	DNASE1|1773	49.0196
lowly_expressed	lowly_expressed	DNASE2B|58511	7.1301
DNASE2|1777	3845.8481	DNASE2|1777	1003.5651
DND1|373863	86.8522	DND1|373863	67.9545
lowly_expressed	lowly_expressed	DNER|92737	22.2816
DNHD1|144132	32.5001	DNHD1|144132	229.5009
DNLZ|728489	218.4148	DNLZ|728489	82.8877
DNM1L|10059	1506.8875	DNM1L|10059	1244.6524
DNM1P35|100128285	13.6291	DNM1P35|100128285	37.4332
DNM1|1759	169.1404	DNM1|1759	295.9002
DNM2|1785	2563.3372	DNM2|1785	1746.5998
DNM3|26052	35.2958	DNM3|26052	72.1925
DNMBP|23268	692.2561	DNMBP|23268	712.1212
DNMT1|1786	2024.7927	DNMT1|1786	1290.9982
DNMT3A|1788	1365.3547	lowly_expressed	lowly_expressed
DNMT3B|1789	52.4196	DNMT3B|1789	80.2139
DNPEP|23549	2949.8231	DNPEP|23549	1179.1444
DNTTIP1|116092	576.2656	DNTTIP1|116092	442.5134
DNTTIP2|30836	884.4926	DNTTIP2|30836	1535.6506
DOC2A|8448	5.3118	DOC2A|8448	45.3654
DOC2B|8447	22.7151	DOC2B|8447	55.2585
DOCK10|55619	350.5121	DOCK10|55619	379.6791
DOCK11|139818	200.2427	DOCK11|139818	1452.7629
DOCK1|1793	2273.2614	DOCK1|1793	2782.5312
DOCK2|1794	236.5869	DOCK2|1794	348.4848
lowly_expressed	lowly_expressed	DOCK3|1795	17.8253
DOCK4|9732	361.6949	DOCK4|9732	573.975
DOCK5|80005	363.4423	DOCK5|80005	351.4483
DOCK6|57572	975.3532	DOCK6|57572	965.6863
DOCK7|85440	1171.0529	DOCK7|85440	1220.5882
DOCK8|81704	667.8251	DOCK8|81704	991.0873
DOCK9|23348	1993.6904	DOCK9|23348	2111.4082
DOHH|83475	139.436	DOHH|83475	134.5811
DOK1|1796	643.3627	DOK1|1796	256.2389
DOK2|9046	69.5433	DOK2|9046	161.3191
DOK3|79930	189.0599	DOK3|79930	80.6595
DOK4|55715	444.1684	DOK4|55715	306.1497
DOK5|55816	27.2582	DOK5|55816	47.2371
DOK6|220164	82.4734	DOK6|220164	26.2923
DOK7|285489	180.3233	DOK7|285489	24.9554
DOLK|22845	616.8034	DOLK|22845	330.6595
DOLPP1|57171	873.3098	DOLPP1|57171	289.2157
DOM3Z|1797	232.1033	DOM3Z|1797	296.4216
DONSON|29980	238.4181	DONSON|29980	116.484
DOPEY1|23033	546.6731	DOPEY1|23033	914.1533
DOPEY2|9980	1510.3821	DOPEY2|9980	952.3173
DOT1L|84444	420.7543	DOT1L|84444	593.5740000000001
DPAGT1|1798	836.686	DPAGT1|1798	831.6845
DPCD|25911	434.3974	DPCD|25911	176.1007
DPEP1|1800	35.6453	lowly_expressed	lowly_expressed
DPEP2|64174	25.5109	DPEP2|64174	25.4011
DPF1|8193	18.1721	lowly_expressed	lowly_expressed
DPF2|5977	1451.3228	DPF2|5977	947.8610000000001
DPF3|8110	9.785	DPF3|8110	22.7273
DPH1|1801	298.4595	DPH1|1801	798.6586
DPH2|1802	611.212	DPH2|1802	504.0107
DPH3B|100132911	30.0539	DPH3B|100132911	19.6078
DPH3|285381	1085.4343	DPH3|285381	736.6310000000001
DPH5|51611	505.8242	DPH5|51611	459.5499
DPM1|8813	458.8458	DPM1|8813	479.0553
DPM2|8818	1095.2192	DPM2|8818	473.7077
DPM3|54344	451.1576	DPM3|54344	231.2834
DPP3|10072	3320.4993	DPP3|10072	452.7629
DPP4|1803	124.7585	DPP4|1803	530.303
lowly_expressed	lowly_expressed	DPP6|1804	66.8449
DPP7|29952	2306.4604	DPP7|29952	1508.467
DPP8|54878	256.1569	DPP8|54878	541.8895
DPP9|91039	1130.8645	DPP9|91039	1088.2353
lowly_expressed	lowly_expressed	DPRXP4|503645	6.2389
DPT|1805	985.8371	DPT|1805	8090.4635
DPY19L1|23333	854.0893	DPY19L1|23333	348.9305
DPY19L2P1|554236	5.242000000000001	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DPY19L2P2|349152	10.2496
DPY19L2P4|442523	34.2474	DPY19L2P4|442523	6.6845
DPY19L2|283417	11.5323	DPY19L2|283417	57.9323
DPY19L3|147991	435.4318	DPY19L3|147991	397.5045
DPY19L4|286148	667.1262	DPY19L4|286148	1071.7469
DPY30|84661	692.6231	DPY30|84661	368.5606
DPYD|1806	442.0716	DPYD|1806	1030.303
DPYSL2|1808	1910.8675	DPYSL2|1808	4294.1176
DPYSL3|1809	4341.3876	DPYSL3|1809	3275.8467
DPYSL4|10570	11.1828	lowly_expressed	lowly_expressed
DR1|1810	712.5565	DR1|1810	881.0160000000001
DRAM1|55332	636.0239	DRAM1|55332	484.4029
DRAM2|128338	1262.9618	DRAM2|128338	1375.6684
DRAP1|10589	1820.3564	DRAP1|10589	732.1747
DRD1|1812	6.9893	DRD1|1812	19.6078
lowly_expressed	lowly_expressed	DRD2|1813	91.3547
DRD4|1815	18.1721	lowly_expressed	lowly_expressed
DRG1|4733	699.9758	DRG1|4733	901.5152
DRG2|1819	451.5071	DRG2|1819	654.6346
DRP2|1821	5.9409	lowly_expressed	lowly_expressed
DSC1|1823	6.6398	DSC1|1823	41.4439
DSC2|1824	2187.6428	DSC2|1824	1994.2068
DSC3|1825	87.7154	DSC3|1825	1463.0125
DSCAML1|57453	18.1721	DSCAML1|57453	26.738000000000003
lowly_expressed	lowly_expressed	DSCAM|1826	12.0321
DSCC1|79075	153.0651	DSCC1|79075	68.1818
DSCR3|10311	838.3634	DSCR3|10311	845.8111
DSCR6|53820	83.1724	lowly_expressed	lowly_expressed
DSEL|92126	337.5819	DSEL|92126	469.69699999999995
DSE|29940	783.1062	DSE|29940	1046.7469
lowly_expressed	lowly_expressed	DSG1|1828	90.0178
DSG2|1829	5009.5552	DSG2|1829	4952.2638
DSG3|1830	40.8873	DSG3|1830	1075.3119
DSN1|79980	400.1359	DSN1|79980	172.0143
DSP|1832	36214.2247	DSP|1832	15596.7023
DSTN|11034	6532.525	DSTN|11034	8128.7879
DSTYK|25778	2399.4178	DSTYK|25778	1039.6613
DST|667	2891.8122	DST|667	31741.9786
DTD1|92675	299.1409	DTD1|92675	450.5348
DTL|51514	386.1574	DTL|51514	45.0089
DTNA|1837	118.4682	DTNA|1837	353.3868
DTNBP1|84062	477.3674	DTNBP1|84062	276.2923
DTNB|1838	707.664	DTNB|1838	627.451
DTWD1|56986	202.3395	DTWD1|56986	468.8057
DTWD2|285605	181.3717	DTWD2|285605	192.0677
DTX1|1840	27.6076	DTX1|1840	288.3244
DTX2|113878	910.7024	DTX2|113878	312.8342
DTX3L|151636	2185.4831	DTX3L|151636	1270.1827
DTX3|196403	673.7660000000001	DTX3|196403	542.3351
DTX4|23220	482.9588	DTX4|23220	762.9234
DTYMK|1841	605.9701	DTYMK|1841	232.1747
DULLARD|23399	1643.1783	DULLARD|23399	1475.4902
DUOX1|53905	150.6189	DUOX1|53905	152.852
lowly_expressed	lowly_expressed	DUOX2|50506	20.0535
lowly_expressed	lowly_expressed	DUOXA1|90527	32.4643
DUS1L|64118	1200.4078	DUS1L|64118	1075.3119
DUS2L|54920	139.7855	DUS2L|54920	122.1034
DUS3L|56931	145.3769	DUS3L|56931	280.303
DUS4L|11062	176.1577	DUS4L|11062	122.1569
DUSP10|11221	558.0935	DUSP10|11221	598.0392
DUSP11|8446	460.5932	DUSP11|8446	411.7647
DUSP12|11266	576.9646	DUSP12|11266	192.5134
DUSP14|11072	313.8184	DUSP14|11072	891.2656
DUSP15|128853	10.4839	lowly_expressed	lowly_expressed
DUSP16|80824	1672.5333	DUSP16|80824	3179.1444
DUSP18|150290	118.1187	DUSP18|150290	156.4171
DUSP19|142679	85.2691	DUSP19|142679	88.2353
DUSP1|1843	1572.5867	DUSP1|1843	7946.9697
DUSP22|56940	830.6752	DUSP22|56940	1004.0107
DUSP23|54935	2013.9593	DUSP23|54935	435.3832
lowly_expressed	lowly_expressed	DUSP26|78986	37.4332
DUSP27|92235	10.8334	DUSP27|92235	9.8039
DUSP28|285193	80.0272	DUSP28|285193	70.41
DUSP2|1844	48.9249	DUSP2|1844	381.01599999999996
DUSP3|1845	1175.5959	DUSP3|1845	2560.6061
DUSP4|1846	655.5939	DUSP4|1846	1327.5401
DUSP5P|574029	6.2903	lowly_expressed	lowly_expressed
DUSP5|1847	1129.1172	DUSP5|1847	1095.8111
DUSP6|1848	1185.7303	DUSP6|1848	3393.9394
DUSP7|1849	359.2487	DUSP7|1849	471.0339
DUSP8|1850	303.3345	DUSP8|1850	623.4403
DUSP9|1852	12.9302	DUSP9|1852	19.1622
DUT|1854	571.9952	DUT|1854	776.0606
DVL1|1855	674.4649	DVL1|1855	1004.0107
DVL2|1856	470.0287	DVL2|1856	682.7094
DVL3|1857	2436.4609	DVL3|1857	1711.2299
DVWA|344875	21.3173	lowly_expressed	lowly_expressed
DYDC2|84332	12.5807	lowly_expressed	lowly_expressed
DYM|54808	1098.015	DYM|54808	722.3708
DYNC1H1|1778	7989.4392	DYNC1H1|1778	9971.4795
DYNC1I1|1780	19.9194	DYNC1I1|1780	28.5205
DYNC1I2|1781	2645.4402	DYNC1I2|1781	1788.3244
DYNC1LI1|51143	525.2439	DYNC1LI1|51143	664.8841
DYNC1LI2|1783	1923.7977	DYNC1LI2|1783	3025.8467
DYNC2H1|79659	321.1571	DYNC2H1|79659	914.8841
DYNC2LI1|51626	387.5552	DYNC2LI1|51626	407.754
DYNLL1|8655	5480.6393	DYNLL1|8655	2614.5276
DYNLL2|140735	1725.6518	DYNLL2|140735	1593.5829
DYNLRB1|83658	1775.2756	DYNLRB1|83658	1337.7897
lowly_expressed	lowly_expressed	DYNLRB2|83657	28.5205
DYNLT1|6993	1665.5439999999999	DYNLT1|6993	676.025
DYNLT3|6990	1113.3914	DYNLT3|6990	557.9323
DYRK1A|1859	1925.8945	DYRK1A|1859	1784.7594
DYRK1B|9149	652.0993	DYRK1B|9149	365.4189
DYRK2|8445	708.0135	DYRK2|8445	588.2353
DYRK3|8444	675.8628	DYRK3|8444	603.8324
DYRK4|8798	335.8346	DYRK4|8798	248.6631
DYSF|8291	600.3786	DYSF|8291	407.754
DYX1C1|161582	65.9578	DYX1C1|161582	62.4777
DZIP1L|199221	35.9948	DZIP1L|199221	154.6346
DZIP1|22873	175.0079	DZIP1|22873	223.9349
DZIP3|9666	326.0496	DZIP3|9666	392.0811
E2F1|1869	321.5066	E2F1|1869	50.8021
E2F2|1870	79.6777	E2F2|1870	26.2923
E2F3|1871	532.5827	E2F3|1871	304.8128
E2F4|1874	751.347	E2F4|1874	850.2674
E2F5|1875	183.0421	E2F5|1875	108.4626
E2F6|1876	288.3076	E2F6|1876	324.8663
E2F7|144455	45.7797	E2F7|144455	6.6845
E2F8|79733	87.0165	E2F8|79733	16.4884
E4F1|1877	565.0828	E4F1|1877	410.8734
EAF1|85403	5252.4395	EAF1|85403	693.8503
EAF2|55840	37.7421	EAF2|55840	31.6399
EAPP|55837	751.347	EAPP|55837	779.4118
EARS2|124454	745.7555	EARS2|124454	785.205
EBAG9|9166	439.9748	EBAG9|9166	559.7148
EBF1|1879	161.4522	EBF1|1879	1007.1301
EBF2|64641	15.0269	EBF2|64641	98.0392
EBF3|253738	44.3819	EBF3|253738	438.5027
EBF4|57593	376.0229	EBF4|57593	271.836
EBI3|10148	16.4248	EBI3|10148	29.8574
EBNA1BP2|10969	1755.3981	EBNA1BP2|10969	911.3191
EBPL|84650	665.7284	EBPL|84650	343.5829
EBP|10682	596.1851	EBP|10682	265.5971
ECD|11319	822.987	ECD|11319	623.8859
ECE1|1889	20743.4666	ECE1|1889	8438.9483
ECE2|9718	216.31799999999998	ECE2|9718	89.1266
ECEL1|9427	66.3981	ECEL1|9427	5.7932
ECH1|1891	2399.7673	ECH1|1891	3148.8414
ECHDC1|55862	815.9977	ECHDC1|55862	1136.3636
ECHDC2|55268	403.2811	ECHDC2|55268	1132.3529
ECHDC3|79746	341.7755	ECHDC3|79746	1139.4831
ECHS1|1892	8057.9341	ECHS1|1892	2081.9964
ECM1|1893	1079.4934	ECM1|1893	533.8681
ECM2|1842	553.201	ECM2|1842	1610.0713
ECSCR|641700	61.8551	ECSCR|641700	150.6239
ECSIT|51295	330.5927	ECSIT|51295	583.3333
lowly_expressed	lowly_expressed	ECT2L|345930	9.8039
ECT2|1894	1031.2674	ECT2|1894	265.1515
EDA2R|60401	127.2048	EDA2R|60401	218.3601
EDARADD|128178	547.6096	EDARADD|128178	610.5169
lowly_expressed	lowly_expressed	EDAR|10913	12.0321
EDA|1896	55.9142	EDA|1896	128.3422
EDC3|80153	596.1851	EDC3|80153	697.4153
EDC4|23644	1128.6105	EDC4|23644	1145.2317
EDEM1|9695	1016.9394	EDEM1|9695	1620.3209
EDEM2|55741	845.3527	EDEM2|55741	447.4153
EDEM3|80267	1097.316	EDEM3|80267	1381.4617
EDF1|8721	4328.4574	EDF1|8721	2918.0036
EDIL3|10085	648.2552	EDIL3|10085	281.1943
EDN1|1906	105.1886	EDN1|1906	303.9216
EDN2|1907	506.7224	EDN2|1907	21.836
lowly_expressed	lowly_expressed	EDN3|1908	95.3654
EDNRA|1909	929.5735	EDNRA|1909	401.9608
EDNRB|1910	87.7154	EDNRB|1910	727.7184
EEA1|8411	587.798	EEA1|8411	1060.6061
EED|8726	616.1045	EED|8726	382.3529
EEF1A1P9|441032	7892.2883	EEF1A1P9|441032	6977.2727
EEF1A1|1915	112550.0279	EEF1A1|1915	122074.8663
EEF1A2|1917	607.3679	EEF1A2|1917	61.943000000000005
EEF1B2|1933	4048.5370000000003	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	EEF1DP3|196549	6.6845
EEF1D|1936	7967.7725	EEF1D|1936	6992.8699
EEF1E1|9521	292.1517	EEF1E1|9521	206.7736
EEF1G|1937	24424.3678	EEF1G|1937	23314.6168
EEF2K|29904	1038.6061	EEF2K|29904	2603.8324
EEF2|1938	32531.2268	EEF2|1938	61390.3743
EEFSEC|60678	369.6452	EEFSEC|60678	365.0401
EEPD1|80820	326.0496	EEPD1|80820	500.4456
lowly_expressed	lowly_expressed	EFCAB1|79645	77.9857
EFCAB2|84288	120.9144	EFCAB2|84288	138.1462
EFCAB4A|283229	789.4385	EFCAB4A|283229	1292.3351
EFCAB4B|84766	183.11900000000003	EFCAB4B|84766	376.1141
EFCAB6|64800	23.7635	EFCAB6|64800	60.6061
EFCAB7|84455	131.7478	EFCAB7|84455	139.4831
EFEMP1|2202	1002.2619	EFEMP1|2202	7380.5704
EFEMP2|30008	1578.5276	EFEMP2|30008	1068.1818
EFHA1|221154	1176.2948	EFHA1|221154	728.164
EFHA2|286097	5.9409	EFHA2|286097	90.9091
EFHB|151651	5.9409	EFHB|151651	10.6952
EFHC1|114327	294.5979	EFHC1|114327	445.1872
EFHC2|80258	34.2474	EFHC2|80258	24.9554
EFHD1|80303	2980.5759	EFHD1|80303	4701.8717
EFHD2|79180	1049.789	EFHD2|79180	745.9893
EFNA1|1942	7737.8253	EFNA1|1942	1249.1087
EFNA3|1944	1044.5924	EFNA3|1944	123.8859
EFNA4|1945	2018.8064	EFNA4|1945	192.959
EFNA5|1946	430.1898	EFNA5|1946	538.7701
EFNB1|1947	534.33	EFNB1|1947	1171.5686
EFNB2|1948	702.0726	EFNB2|1948	1224.1533
EFNB3|1949	179.2749	EFNB3|1949	280.303
EFR3A|23167	1926.9429	EFR3A|23167	1561.0517
EFR3B|22979	348.4153	EFR3B|22979	38.7701
EFS|10278	1975.8678	EFS|10278	1219.697
EFTUD1|79631	1142.7463	EFTUD1|79631	606.9519
EFTUD2|9343	1566.2963	EFTUD2|9343	1532.5267
EGFL6|25975	127.5543	EGFL6|25975	159.0909
EGFL7|51162	1372.6934	EGFL7|51162	873.8859
EGFL8|80864	45.1472	EGFL8|80864	127.7986
EGFLAM|133584	241.4794	EGFLAM|133584	709.893
EGFR|1956	42.983999999999995	EGFR|1956	1926.787
EGF|1950	119.8661	EGF|1950	571.7469
EGLN1|54583	448.7114	EGLN1|54583	1130.5704
EGLN2|112398	1688.6506	EGLN2|112398	1346.2567
EGLN3|112399	1647.7214	EGLN3|112399	281.1943
EGOT|100126791	13.9785	EGOT|100126791	57.9323
EGR1|1958	1568.7426	EGR1|1958	25044.5633
EGR2|1959	174.0329	EGR2|1959	2883.6898
EGR3|1960	28.3066	EGR3|1960	4421.5686
EHBP1L1|254102	1223.8219	EHBP1L1|254102	1201.4260000000002
EHBP1|23301	704.1694	EHBP1|23301	1121.6578
EHD1|10938	1639.6837	EHD1|10938	1131.9073
EHD2|30846	1680.5710000000001	EHD2|30846	5488.4135
EHD3|30845	355.4046	EHD3|30845	811.943
EHD4|30844	1235.3542	EHD4|30844	1544.1176
EHF|26298	2777.5375	EHF|26298	5464.3494
EHHADH|1962	295.6463	EHHADH|1962	409.0909
EHMT1|79813	2180.3041	EHMT1|79813	1522.7273
EHMT2|10919	2116.3522	EHMT2|10919	1341.3547
EI24|9538	2096.4328	EI24|9538	2535.6506
EID1|23741	1825.2489	EID1|23741	2860.5169
EID2B|126272	31.8012	EID2B|126272	21.3904
EID2|163126	250.5655	EID2|163126	252.2282
EID3|493861	30.4033	EID3|493861	42.3351
EIF1AD|84285	671.6692	EIF1AD|84285	481.2834
EIF1AX|1964	1275.5425	lowly_expressed	lowly_expressed
EIF1B|10289	431.5877	EIF1B|10289	854.2781
EIF1|10209	7372.6358	EIF1|10209	13247.3262
EIF2AK1|27102	6216.4037	EIF2AK1|27102	2521.3235
EIF2AK2|5610	633.9272	EIF2AK2|5610	415.7754
EIF2AK3|9451	1438.7421	EIF2AK3|9451	896.1676
EIF2AK4|440275	1168.9561	EIF2AK4|440275	1630.5704
EIF2A|83939	1604.0384	EIF2A|83939	2241.9786
EIF2B1|1967	1199.01	EIF2B1|1967	1068.6275
EIF2B2|8892	595.4862	EIF2B2|8892	454.0998
EIF2B3|8891	631.1314	EIF2B3|8891	571.7469
EIF2B4|8890	881.3475	EIF2B4|8890	752.6738
EIF2B5|8893	1283.5802	EIF2B5|8893	1123.8859
EIF2C1|26523	554.9484	EIF2C1|26523	1021.836
EIF2C2|27161	321.1571	EIF2C2|27161	286.9875
EIF2C3|192669	184.1674	EIF2C3|192669	218.3601
EIF2C4|192670	149.9199	EIF2C4|192670	592.246
EIF2S1|1965	1582.0222	EIF2S1|1965	1468.3601
EIF2S2|8894	1693.8506	EIF2S2|8894	1222.8164
EIF2S3|1968	5686.8229	EIF2S3|1968	4749.1087
EIF3A|8661	11269.1561	EIF3A|8661	7432.2638
EIF3B|8662	4691.5502	EIF3B|8662	3586.0071
EIF3CL|728689	9211.6256	EIF3CL|728689	12246.4929
EIF3C|8663	309.513	EIF3C|8663	97.5357
EIF3D|8664	2690.8705	EIF3D|8664	5325.7576
EIF3E|3646	4481.872	EIF3E|3646	7389.4831
EIF3F|8665	3116.8668	EIF3F|8665	2737.5223
EIF3G|8666	1830.4035	EIF3G|8666	2628.2442
EIF3H|8667	6926.3706	EIF3H|8667	4299.4652
EIF3I|8668	2201.9708	EIF3I|8668	2921.6533
EIF3J|8669	960.3263	EIF3J|8669	1479.0553
EIF3K|27335	2439.9556	EIF3K|27335	2647.9501
EIF3L|51386	4246.6829	EIF3L|51386	10457.6649
EIF3M|10480	3079.0059	EIF3M|10480	2217.6114
EIF4A1|1973	7486.4491	EIF4A1|1973	9804.0954
EIF4A2|1974	7399.5445	EIF4A2|1974	8820.8556
EIF4A3|9775	2326.7293	EIF4A3|9775	1497.7718
EIF4B|1975	8009.2818	EIF4B|1975	11484.2736
EIF4E2|9470	1612.4255	EIF4E2|9470	1094.4742
EIF4E3|317649	573.8194	EIF4E3|317649	1098.9305
EIF4EBP1|1978	402.9317	EIF4EBP1|1978	511.1408
EIF4EBP2|1979	4406.7373	EIF4EBP2|1979	7014.2602
EIF4EBP3|8637	150.3672	EIF4EBP3|8637	415.8512
EIF4ENIF1|56478	451.8566	EIF4ENIF1|56478	618.5383
EIF4E|1977	482.2599	EIF4E|1977	433.6007
EIF4G1|1981	9644.8488	EIF4G1|1981	8066.8449
EIF4G2|1982	34140.1577	EIF4G2|1982	16559.2692
EIF4G3|8672	5006.7665	EIF4G3|8672	1453.6542
EIF4H|7458	4505.985	EIF4H|7458	4667.1123
EIF5A2|56648	174.7319	EIF5A2|56648	117.6471
EIF5AL1|143244	797.4762	EIF5AL1|143244	842.2460000000001
EIF5A|1984	3034.0439	EIF5A|1984	3459.4474
EIF5B|9669	4762.8408	EIF5B|9669	3258.0214
EIF5|1983	2641.9456	EIF5|1983	4723.262
EIF6|3692	1949.3085	EIF6|3692	1430.4813
ELAC1|55520	67.796	ELAC1|55520	124.4207
ELAC2|60528	1091.7246	ELAC2|60528	1193.8503
ELAVL1|1994	2183.7987	ELAVL1|1994	1317.2906
ELAVL2|1993	13.6291	ELAVL2|1993	5.3476
ELF1|1997	1853.2060000000001	ELF1|1997	1803.9216
ELF2|1998	433.335	ELF2|1998	872.9947
ELF3|1999	3530.6318	ELF3|1999	3306.1497
ELF4|2000	505.3245	ELF4|2000	535.6506
ELF5|2001	21.3173	ELF5|2001	2307.4866
ELFN1|392617	52.4196	ELFN1|392617	33.4225
ELFN2|114794	5.9409	ELFN2|114794	7.5758
ELK1|2002	753.0943	ELK1|2002	661.3191
ELK3|2004	302.2861	ELK3|2004	514.7059
ELK4|2005	392.0983	ELK4|2005	192.5134
ELL2|22936	1351.0267	ELL2|22936	1398.8414
ELL3|80237	100.2017	ELL3|80237	163.5339
ELL|8178	807.2612	ELL|8178	495.9893
ELMO1|9844	246.3719	ELMO1|9844	480.8378
ELMO2|63916	1425.4624	ELMO2|63916	844.0285
ELMO3|79767	527.6902	ELMO3|79767	377.0053
ELMOD1|55531	5.9409	lowly_expressed	lowly_expressed
ELMOD2|255520	199.5438	lowly_expressed	lowly_expressed
ELMOD3|84173	406.7758	ELMOD3|84173	939.8396
ELN|2006	1064.8159	ELN|2006	1803.0303
ELOF1|84337	655.9434	ELOF1|84337	604.7237
ELOVL1|64834	2189.7396	ELOVL1|64834	1342.246
ELOVL2|54898	258.6031	ELOVL2|54898	163.9929
lowly_expressed	lowly_expressed	ELOVL3|83401	12.9234
ELOVL4|6785	38.0915	ELOVL4|6785	33.8681
ELOVL5|60481	4444.1299	ELOVL5|60481	7510.2496
ELOVL6|79071	218.7643	ELOVL6|79071	125.6684
ELOVL7|79993	133.4951	ELOVL7|79993	260.2496
ELP2P|100131454	10.1344	ELP2P|100131454	12.4777
ELP2|55250	3551.2502	ELP2|55250	1907.754
ELP3|55140	525.2439	ELP3|55140	606.9519
ELP4|26610	212.1245	ELP4|26610	210.7843
ELTD1|64123	413.4156	ELTD1|64123	1364.5276
EMB|133418	193.9524	EMB|133418	608.2888
EMCN|51705	246.3719	EMCN|51705	790.107
EMD|2010	1125.2731	EMD|2010	874.3316
EME1|146956	40.2442	EME1|146956	12.0009
EME2|197342	11.8818	EME2|197342	13.8146
EMG1|10436	579.0614	EMG1|10436	391.7112
EMID1|129080	96.1025	EMID1|129080	72.1925
EMID2|136227	8.7366	EMID2|136227	18.2709
EMILIN1|11117	1572.9361	EMILIN1|11117	897.9501
EMILIN2|84034	240.0816	EMILIN2|84034	638.1462
EMILIN3|90187	9.2818	EMILIN3|90187	70.0357
EML1|2009	716.7501	EML1|2009	367.2014
EML2|24139	724.9625	EML2|24139	836.7558
EML3|256364	774.7610000000001	EML3|256364	1109.18
EML4|27436	1551.6188	EML4|27436	1357.8431
EML5|161436	11.5323	EML5|161436	61.4973
EML6|400954	22.0162	EML6|400954	12.0321
EMP1|2012	2635.6553	EMP1|2012	13583.3333
EMP2|2013	3932.8645	EMP2|2013	4995.9893
EMP3|2014	509.5181	EMP3|2014	397.0588
EMR1|2015	13.9785	lowly_expressed	lowly_expressed
EMR2|30817	58.3604	EMR2|30817	183.1551
EMR4P|326342	5.9409	EMR4P|326342	24.5098
EMX1|2016	22.7151	lowly_expressed	lowly_expressed
EMX2OS|196047	49.2744	EMX2OS|196047	205.8824
EMX2|2018	30.0539	EMX2|2018	55.2585
EN1|2019	130.0005	EN1|2019	34.3137
EN2|2020	21.6667	EN2|2020	6.6845
ENAH|55740	8262.3704	ENAH|55740	3012.0321
ENC1|8507	2951.1581	ENC1|8507	1045.9537
ENDOD1|23052	991.0791	ENDOD1|23052	1930.4813
ENDOG|2021	173.7044	ENDOG|2021	94.0463
lowly_expressed	lowly_expressed	ENDOU|8909	10.2496
ENGASE|64772	307.1786	ENGASE|64772	628.7879
ENG|2022	2382.2941	ENG|2022	3188.9483
ENHO|375704	5.9409	ENHO|375704	75.7576
ENO1|2023	12883.3289	ENO1|2023	14151.9608
ENO2|2026	1211.2412	ENO2|2026	407.3084
ENO3|2027	24.4625	ENO3|2027	38.3244
ENOPH1|58478	608.4163	ENOPH1|58478	571.7469
ENOSF1|55556	470.455	ENOSF1|55556	623.0882
ENOX1|55068	96.1025	ENOX1|55068	76.6488
ENOX2|10495	268.7376	ENOX2|10495	318.1818
ENPEP|2028	492.0449	ENPEP|2028	195.6328
ENPP1|5167	3303.8299	ENPP1|5167	1242.4242
ENPP2|5168	266.2913	lowly_expressed	lowly_expressed
ENPP3|5169	9.785	ENPP3|5169	57.9323
ENPP4|22875	692.9865	ENPP4|22875	544.1176
ENPP5|59084	1586.5652	ENPP5|59084	347.148
ENPP6|133121	9.785	ENPP6|133121	23.1729
ENSA|2029	12445.4509	ENSA|2029	3613.1907
ENTPD1|953	1222.424	ENTPD1|953	1174.238
ENTPD2|954	286.2108	ENTPD2|954	337.344
ENTPD3|956	90.1616	ENTPD3|956	84.6702
ENTPD4|9583	687.7446	ENTPD4|9583	422.9055
ENTPD5|957	270.5024	ENTPD5|957	312.3797
ENTPD6|955	2297.0249	ENTPD6|955	1557.9323
ENTPD7|57089	874.0786	ENTPD7|57089	202.0276
ENTPD8|377841	75.4842	lowly_expressed	lowly_expressed
ENY2|56943	607.3679	ENY2|56943	385.918
lowly_expressed	lowly_expressed	EOMES|8320	7.5758
EP300|2033	1782.2649	EP300|2033	3094.0285
