gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
ACACB|32	219.8127	ACACB|32	8781.1943
ACAD10|80724	394.5445	ACAD10|80724	597.5936
ACAD11|84129	262.7967	ACAD11|84129	551.2478
ACAD8|27034	341.0766	ACAD8|27034	658.1996
ACAD9|28976	862.4729	ACAD9|28976	737.0677
lowly_expressed	lowly_expressed	ACADL|33	74.8663
ACADM|34	928.1756	ACADM|34	965.2406
ACADSB|36	1715.5173	ACADSB|36	3540.5526
ACADS|35	125.108	ACADS|35	722.3708
ACADVL|37	1937.4198	ACADVL|37	6797.1658
ACAN|176	485.7545	ACAN|176	10.2496
ACAP1|9744	24.113	ACAP1|9744	65.508
ACAP2|23527	932.3692	ACAP2|23527	1135.918
ACAP3|116983	363.4457	ACAP3|116983	530.8111
ACAT1|38	623.0938	ACAT1|38	1166.6667
ACAT2|39	345.382	ACAT2|39	197.1702
ACBD3|64746	4585.3133	ACBD3|64746	1240.6417
ACBD4|79777	121.6134	ACBD4|79777	299.0196
ACBD5|91452	606.669	ACBD5|91452	618.984
ACBD6|84320	290.0549	ACBD6|84320	330.2139
ACBD7|414149	96.1025	ACBD7|414149	94.0285
ACCN2|41	62.2045	ACCN2|41	117.2014
ACCN3|9311	8.0377	ACCN3|9311	5.7932
ACCS|84680	77.9304	ACCS|84680	340.9091
ACD|65057	271.1838	ACD|65057	297.2371
ACE2|59272	5.242	ACE2|59272	15.1515
ACER2|340485	86.667	ACER2|340485	272.2816
ACER3|55331	762.8793	ACER3|55331	422.4599
ACE|1636	590.9431	ACE|1636	531.1943
ACHE|43	6.6398	ACHE|43	49.4652
ACIN1|22985	2868.3981	ACIN1|22985	3553.0303
ACLY|47	3204.5822	ACLY|47	3428.2531
ACMSD|130013	5.5914	lowly_expressed	lowly_expressed
ACN9|57001	111.8284	ACN9|57001	133.6898
ACO1|48	1392.9623	ACO1|48	2777.1836
ACO2|50	1571.5103	ACO2|50	2371.6979
ACOT11|26027	178.2265	ACOT11|26027	50.2986
ACOT13|55856	523.9894	ACOT13|55856	518.9305
ACOT1|641371	585.3517	ACOT1|641371	617.2014
ACOT2|10965	375.324	ACOT2|10965	532.5312
ACOT4|122970	279.9204	ACOT4|122970	191.6221
ACOT7|11332	1087.8805	ACOT7|11332	217.4688
ACOT8|10005	373.8108	ACOT8|10005	245.3164
ACOT9|23597	416.9102	ACOT9|23597	457.6649
ACOX1|51	1674.2806	ACOX1|51	1733.8815
ACOX2|8309	224.3557	ACOX2|8309	240.1961
ACOX3|8310	596.1851	ACOX3|8310	516.0428
ACP1|52	1607.8825	ACP1|52	965.6863
ACP2|53	1542.8823	ACP2|53	943.4046
