gene_id	TCGA-BH-A1FR-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FR-11B-42R-A13Q-07
lowly_expressed	lowly_expressed	ACADL|33	99.5452
ACADM|34	1327.9491	ACADM|34	2727.6402
ACADSB|36	7039.1581	ACADSB|36	2068.7216
ACADS|35	644.6402	ACADS|35	425.4674
ACADVL|37	5622.4376	ACADVL|37	5437.5644
ACAN|176	148.3113	ACAN|176	66.7004
ACAP1|9744	89.0847	ACAP1|9744	109.6513
ACAP2|23527	1304.9437	ACAP2|23527	1843.3552
ACAP3|116983	695.5947	ACAP3|116983	484.0829
ACAT1|38	2484.092	ACAT1|38	1075.2906
ACAT2|39	328.2085	ACAT2|39	404.9217
ACBD3|64746	1524.7186	ACBD3|64746	1532.5922
ACBD4|79777	297.1121	ACBD4|79777	247.5998
ACBD5|91452	938.8155	ACBD5|91452	845.3765
ACBD6|84320	331.8649	ACBD6|84320	249.621
ACBD7|414149	117.4743	ACBD7|414149	32.3396
ACCN2|41	480.6657	ACCN2|41	119.2521
ACCN3|9311	93.9794	ACCN3|9311	20.2122
ACCS|84680	260.8908	ACCS|84680	597.2713
ACD|65057	543.3186	ACD|65057	326.9328
lowly_expressed	lowly_expressed	ACE2|59272	26.7812
ACER2|340485	103.769	ACER2|340485	250.1263
ACER3|55331	477.2394	ACER3|55331	413.8454
ACE|1636	1349.486	ACE|1636	1075.7959
ACHE|43	24.4738	ACHE|43	31.8343
ACIN1|22985	3287.812	ACIN1|22985	2713.997
ACLY|47	7293.1963	ACLY|47	3643.2542
ACMSD|130013	41.116	ACMSD|130013	7.5796
ACN9|57001	149.7797	ACN9|57001	206.1647
ACO1|48	659.814	ACO1|48	1222.3345
ACO2|50	4334.6941	ACO2|50	1823.8454
ACOT11|26027	10.7685	ACOT11|26027	62.663
ACOT13|55856	573.6858	ACOT13|55856	636.5387
ACOT1|641371	464.513	ACOT1|641371	469.9343
ACOT2|10965	375.4283	ACOT2|10965	318.3426
ACOT4|122970	208.5169	ACOT4|122970	115.2097
ACOT7|11332	940.7734	ACOT7|11332	239.0096
ACOT8|10005	321.9873	ACOT8|10005	241.2784
ACOT9|23597	148.8008	ACOT9|23597	490.1465
ACOX1|51	2056.7792	ACOX1|51	1965.6392
ACOX2|8309	159.5693	ACOX2|8309	283.4765
ACOX3|8310	363.6809	ACOX3|8310	499.7473
ACP1|52	1396.9652	ACP1|52	1197.0692
ACP2|53	993.6368	ACP2|53	1052.0465
ACP5|54	3411.1601	ACP5|54	4618.4942
ACP6|51205	186.4905	ACP6|51205	438.1001
ACPL2|92370	754.7724	ACPL2|92370	478.5245
ACPP|55	27.4107	ACPP|55	72.764
ACRBP|84519	22.5159	ACRBP|84519	31.8343
ACRC|93953	11.258	ACRC|93953	30.8236
ACR|49	8.3211	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSBG1|23205	28.2971
ACSF2|80221	64.6109	ACSF2|80221	949.9747
ACSF3|197322	453.255	ACSF3|197322	333.5018
ACSL1|2180	1965.2472	ACSL1|2180	8217.7868
ACSL3|2181	4701.4195	ACSL3|2181	7344.6185
ACSL4|2182	397.9442	ACSL4|2182	1826.6801
ACSL5|51703	194.3221	ACSL5|51703	1100.5558
ACSL6|23305	13.7053	ACSL6|23305	8.0849
ACSM1|116285	5.3842	ACSM1|116285	918.6458
lowly_expressed	lowly_expressed	ACSM2A|123876	6.0637
ACSM3|6296	6.5394	ACSM3|6296	1271.3946
ACSM5|54988	30.837	ACSM5|54988	139.4644
ACSS1|84532	366.6177	ACSS1|84532	977.7665
ACSS2|55902	662.2614	ACSS2|55902	1455.7858
ACSS3|79611	47.4792	ACSS3|79611	550.2779
lowly_expressed	lowly_expressed	ACTA1|58	6.0637
ACTA2|59	5008.6001	ACTA2|59	18396.8671
lowly_expressed	lowly_expressed	ACTBL2|345651	13.6433
ACTB|60	47725.4038	ACTB|60	74531.5816
ACTC1|70	33.2844	ACTC1|70	7.0743
ACTG1|71	49860.0098	ACTG1|71	53249.1157
ACTG2|72	212.4327	ACTG2|72	4046.4881
ACTL6A|86	1142.4376	ACTL6A|86	738.7569
ACTL6B|51412	542.3397	ACTL6B|51412	10.6114
ACTN1|87	4189.9168	ACTN1|87	6509.3482
ACTN4|81	9407.8708	ACTN4|81	7651.7635
ACTR10|55860	1219.2854	ACTR10|55860	1136.9378
ACTR1A|10121	3019.5791	ACTR1A|10121	2403.7393
ACTR1B|10120	2054.8213	ACTR1B|10120	1320.8691
ACTR2|10097	6033.7739	ACTR2|10097	6195.048
ACTR3B|57180	192.3642	ACTR3B|57180	152.6023
ACTR3C|653857	42.095	ACTR3C|653857	37.8979
ACTR3|10096	3641.7034	ACTR3|10096	3855.4826
ACTR5|79913	134.1165	ACTR5|79913	192.5215
ACTR6|64431	602.0558	ACTR6|64431	592.7236
ACTR8|93973	653.4508	ACTR8|93973	473.4715
ACVR1B|91	1192.8536	ACVR1B|91	951.996
ACVR1C|130399	26.4317	ACVR1C|130399	170.7933
ACVR1|90	638.277	ACVR1|90	1309.2471
ACVR2A|92	252.5698	ACVR2A|92	651.8444
ACVR2B|93	325.0122	ACVR2B|93	442.6478
ACVRL1|94	418.9917	ACVRL1|94	965.1339
ACY1|95	870.7783	ACY1|95	522.4861
ACY3|91703	14.1948	ACY3|91703	33.3502
ACYP1|97	162.5061	ACYP1|97	87.9232
ACYP2|98	247.675	ACYP2|98	148.5599
lowly_expressed	lowly_expressed	ADAD2|161931	12.4811
ADAL|161823	274.5962	ADAL|161823	176.857
ADAM10|102	1837.4939	ADAM10|102	2129.8636
ADAM11|4185	6.8527	ADAM11|4185	21.2228
ADAM12|8038	490.9447	ADAM12|8038	2098.5346
ADAM15|8751	3860.0245	ADAM15|8751	3025.528
ADAM17|6868	641.2139	ADAM17|6868	881.7585
ADAM19|8728	260.8908	ADAM19|8728	294.0879
ADAM22|53616	46.5002	ADAM22|53616	65.6897
ADAM23|8745	10.7685	ADAM23|8745	60.1314
ADAM28|10863	119.4322	ADAM28|10863	195.5533
lowly_expressed	lowly_expressed	ADAM2|2515	5.5584
ADAM32|203102	6.8527	ADAM32|203102	16.1698
ADAM33|80332	31.816	ADAM33|80332	1049.52
ADAM6|8755	11345.7709	ADAM6|8755	85486.9025
ADAM8|101	126.2849	ADAM8|101	127.8423
ADAM9|8754	1572.6872	ADAM9|8754	2722.5872
ADAMDEC1|27299	18.6001	ADAMDEC1|27299	18.6963
ADAMTS10|81794	65.5898	ADAMTS10|81794	163.2137
ADAMTS12|81792	124.327	ADAMTS12|81792	169.2774
ADAMTS13|11093	128.7323	ADAMTS13|11093	94.9975
ADAMTS14|140766	16.6422	ADAMTS14|140766	238.5043
ADAMTS15|170689	4272.1488	ADAMTS15|170689	217.2815
ADAMTS16|170690	13.7053	ADAMTS16|170690	91.9656
ADAMTS17|170691	40.1371	ADAMTS17|170691	64.6791
ADAMTS18|170692	63.1424	ADAMTS18|170692	322.385
ADAMTS19|171019	25.4528	lowly_expressed	lowly_expressed
ADAMTS1|9510	534.5081	ADAMTS1|9510	3429.0045
ADAMTS2|9509	147.3324	ADAMTS2|9509	545.7302
ADAMTS3|9508	28.3896	ADAMTS3|9508	109.6513
ADAMTS4|9507	315.7122	ADAMTS4|9507	321.3744
ADAMTS5|11096	87.1268	ADAMTS5|11096	1701.3643
ADAMTS6|11174	25.4528	ADAMTS6|11174	49.0147
ADAMTS7|11173	130.6902	ADAMTS7|11173	100.5558
