gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
DLC1|10395	1085.088	DLC1|10395	933.8383
DLD|1738	3642.8659	DLD|1738	1856.3897
lowly_expressed	lowly_expressed	DLEC1|9940	32.3754
DLEU1|10301	125.8288	DLEU1|10301	81.3841
lowly_expressed	lowly_expressed	DLEU2L|79469	14.5541
DLEU2|8847	50.1218	DLEU2|8847	44.2266
DLG1|1739	1785.779	DLG1|1739	2076.4833
DLG2|1740	35.5281	DLG2|1740	70.9883
DLG3|1741	1134.9261	DLG3|1741	1427.7864
DLG4|1742	269.4635	DLG4|1742	199.3466
DLG5|9231	7015.0766	DLG5|9231	4847.9988
lowly_expressed	lowly_expressed	DLGAP1|9229	35.6427
lowly_expressed	lowly_expressed	DLGAP2|9228	15.7422
DLGAP4|22839	1382.3893	DLGAP4|22839	1289.671
DLGAP5|9787	211.9351	DLGAP5|9787	43.6623
lowly_expressed	lowly_expressed	DLK1|8788	152.6695
lowly_expressed	lowly_expressed	DLK2|65989	103.6608
DLL1|28514	78.4579	DLL1|28514	206.4305
DLL4|54567	273.6159	DLL4|54567	437.5139
DLST|1743	2488.202	DLST|1743	2102.0272
lowly_expressed	lowly_expressed	DLX1|1745	8.0196
DLX2|1746	185.7825	DLX2|1746	43.3653
lowly_expressed	lowly_expressed	DLX3|1747	19.3065
DLX4|1748	7.4017	DLX4|1748	5.0494
DLX5|1749	10.6091	DLX5|1749	6.5345
DMAP1|55929	401.4184	DMAP1|55929	608.0048
DMBT1|1755	5.1812	DMBT1|1755	8.3166
DMC1|11144	24.6723	DMC1|11144	15.4452
DMD|1756	256.592	DMD|1756	3167.4464
DMGDH|29958	9.3755	DMGDH|29958	22.5737
DMKN|93099	71.5497	DMKN|93099	474.3447
DMP1|1758	10.8558	lowly_expressed	lowly_expressed
DMPK|1760	224.7647	DMPK|1760	315.4377
DMRT1|1761	9.3755	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DMRT2|10655	9.2077
DMRT3|58524	18.2575	DMRT3|58524	10.3958
lowly_expressed	lowly_expressed	DMRTA1|63951	14.5541
lowly_expressed	lowly_expressed	DMRTC1B|728656	16.3362
DMTF1|9988	787.0243	DMTF1|9988	1575.7392
DMWD|1762	297.0546	DMWD|1762	342.7638
DMXL1|1657	2169.4358	DMXL1|1657	2056.2857
DMXL2|23312	1225.4734	DMXL2|23312	512.0665
DNA2|1763	192.44400000000002	DNA2|1763	125.9375
DNAH10|196385	9.1288	DNAH10|196385	16.6333
lowly_expressed	lowly_expressed	DNAH11|8701	8.1414
lowly_expressed	lowly_expressed	DNAH12|201625	8.9107
DNAH14|127602	111.5188	DNAH14|127602	107.2251
DNAH17|8632	11.2604	DNAH17|8632	24.9499
DNAH1|25981	87.34	DNAH1|25981	341.5757
DNAH2|146754	12.8296	DNAH2|146754	54.3551
DNAH5|1767	907.6941	DNAH5|1767	541.1747
lowly_expressed	lowly_expressed	DNAH6|1768	63.8598
DNAH7|56171	80.6784	DNAH7|56171	97.7204
lowly_expressed	lowly_expressed	DNAH9|1770	8.6136
DNAJA1|3301	3706.2737	DNAJA1|3301	2289.7453
DNAJA2|10294	1304.9182	DNAJA2|10294	1685.0078
DNAJA3|9093	1256.3138	DNAJA3|9093	1052.9442
DNAJA4|55466	1521.5411	DNAJA4|55466	478.50300000000004
DNAJB11|51726	1195.1265	DNAJB11|51726	782.6539
DNAJB12|54788	1123.8235	DNAJB12|54788	1436.4001
DNAJB14|79982	675.5277	DNAJB14|79982	536.7194
DNAJB1|3337	2379.1504	DNAJB1|3337	1907.7746
DNAJB2|3300	841.8191	DNAJB2|3300	1783.6192
DNAJB4|11080	550.4391	DNAJB4|11080	771.367
DNAJB5|25822	248.6968	DNAJB5|25822	97.1263
DNAJB6|10049	2068.7728	DNAJB6|10049	1854.0135
DNAJB9|4189	1599.5056	DNAJB9|4189	1022.648
DNAJC10|54431	2542.4811	DNAJC10|54431	2658.9441
DNAJC11|55735	1023.2641	DNAJC11|55735	881.6069
DNAJC12|56521	925.7049	DNAJC12|56521	275.6367
DNAJC13|23317	4234.0144	DNAJC13|23317	2093.7106
DNAJC14|85406	1207.9462	DNAJC14|85406	1004.4553
DNAJC15|29103	736.4683	DNAJC15|29103	622.2618
DNAJC16|23341	968.1413	DNAJC16|23341	913.9378
DNAJC17|55192	214.1556	DNAJC17|55192	296.7253
DNAJC18|202052	141.3723	DNAJC18|202052	293.4581
DNAJC19|131118	629.884	DNAJC19|131118	567.6097
DNAJC1|64215	1465.7817	DNAJC1|64215	873.5427
DNAJC21|134218	1512.1656	DNAJC21|134218	1316.9971
DNAJC22|79962	38.9822	DNAJC22|79962	66.236
DNAJC24|120526	407.6901	DNAJC24|120526	411.3076
DNAJC25|548645	187.2628	DNAJC25|548645	291.3789
DNAJC27|51277	99.9228	DNAJC27|51277	308.3092
DNAJC28|54943	29.1133	DNAJC28|54943	27.9201
DNAJC2|27000	729.5107	DNAJC2|27000	856.0986
DNAJC30|84277	272.629	DNAJC30|84277	234.3506
DNAJC3|5611	3994.9397	DNAJC3|5611	2816.3659
DNAJC4|3338	618.6926	DNAJC4|3338	533.3244
DNAJC5B|85479	40.4626	lowly_expressed	lowly_expressed
DNAJC5|80331	2143.0365	DNAJC5|80331	1631.2468
DNAJC6|9829	22.2051	DNAJC6|9829	71.8794
DNAJC7|7266	1998.0102	DNAJC7|7266	1541.4391
DNAJC8|22826	1864.2394	DNAJC8|22826	1639.2664
DNAJC9|23234	696.7459	DNAJC9|23234	630.2814
DNAL1|83544	652.089	DNAL1|83544	468.4042
DNAL4|10126	329.62199999999996	DNAL4|10126	406.6236
DNALI1|7802	467.0467	DNALI1|7802	255.4392
DNASE1L1|1774	764.5725	DNASE1L1|1774	284.6068
DNASE1L3|1776	11.595999999999998	DNASE1L3|1776	83.7603
DNASE1|1773	26.8928	DNASE1|1773	56.1372
DNASE2|1777	1331.3176	DNASE2|1777	854.5333
DND1|373863	48.4761	DND1|373863	70.5369
lowly_expressed	lowly_expressed	DNER|92737	40.6921
DNHD1|144132	103.6237	DNHD1|144132	289.0027
DNLZ|728489	60.6939	DNLZ|728489	46.6325
DNM1L|10059	2454.6477	DNM1L|10059	1537.9817
DNM1P35|100128285	8.1419	DNM1P35|100128285	32.6725
DNM1|1759	1120.8628	DNM1|1759	153.2635
DNM2|1785	2220.0856	DNM2|1785	1793.2219
DNM3|26052	264.2404	DNM3|26052	149.9963
DNMBP|23268	1003.2746	DNMBP|23268	1283.6326
DNMT1|1786	1720.6466	DNMT1|1786	1111.4576
DNMT3A|1788	451.9966	DNMT3A|1788	465.434
DNMT3B|1789	50.8249	DNMT3B|1789	62.3747
DNPEP|23549	895.8514	DNPEP|23549	1172.6442
DNTTIP1|116092	367.8641	DNTTIP1|116092	446.4246
DNTTIP2|30836	1301.2174	DNTTIP2|30836	1905.6954
DOC2A|8448	36.9147	DOC2A|8448	42.8009
DOC2B|8447	25.9059	DOC2B|8447	17.8213
DOCK10|55619	2008.0789	DOCK10|55619	673.6467
DOCK11|139818	1472.6899	DOCK11|139818	483.8494
DOCK1|1793	1938.503	DOCK1|1793	3412.1928
DOCK2|1794	1151.7032	DOCK2|1794	428.3062
DOCK3|1795	6.9082	DOCK3|1795	8.6136
DOCK4|9732	1252.613	DOCK4|9732	752.3576
DOCK5|80005	1422.1117	DOCK5|80005	710.1804
DOCK6|57572	467.0467	DOCK6|57572	528.9968
DOCK7|85440	1338.4726	DOCK7|85440	2261.8252
DOCK8|81704	1557.5552	DOCK8|81704	1054.4293
DOCK9|23348	1911.6102	DOCK9|23348	2477.4634
DOHH|83475	162.8372	DOHH|83475	115.5417
DOK1|1796	433.9859	DOK1|1796	114.9476
DOK2|9046	210.4548	DOK2|9046	37.7218
DOK3|79930	330.6089	DOK3|79930	55.5432
DOK4|55715	217.6097	DOK4|55715	321.6752
DOK5|55816	37.9954	DOK5|55816	135.7392
DOK6|220164	113.2459	DOK6|220164	58.2164
DOK7|285489	5.1812	DOK7|285489	10.3958
DOLK|22845	294.3406	DOLK|22845	204.9454
DOLPP1|57171	388.0954	DOLPP1|57171	329.1008
DOM3Z|1797	392.8497	DOM3Z|1797	435.0783
DONSON|29980	230.9155	DONSON|29980	147.13299999999998
DOPEY1|23033	678.4588	DOPEY1|23033	1698.1332
DOPEY2|9980	3480.0287	DOPEY2|9980	1244.5237
DOT1L|84444	747.5709	DOT1L|84444	455.0353
DPAGT1|1798	1192.0819	DPAGT1|1798	791.9151
DPCD|25911	289.754	DPCD|25911	178.8787
DPEP1|1800	26.1526	lowly_expressed	lowly_expressed
DPEP2|64174	22.6985	DPEP2|64174	16.3362
DPF2|5977	832.1969	DPF2|5977	960.8673
DPF3|8110	11.595999999999998	DPF3|8110	52.87
DPH1|1801	619.941	DPH1|1801	730.3453
DPH2|1802	533.1685	DPH2|1802	485.6315
DPH3B|100132911	16.2837	DPH3B|100132911	16.3362
DPH3|285381	702.914	DPH3|285381	498.1065
DPH5|51611	488.1144	DPH5|51611	512.7853
DPM1|8813	632.8446	DPM1|8813	626.1231
DPM2|8818	562.5286	DPM2|8818	444.3454
DPM3|54344	187.5095	DPM3|54344	173.16400000000002
DPP3|10072	1429.7601	DPP3|10072	553.7566
DPP4|1803	4951.7317	DPP4|1803	326.4276
DPP7|29952	1543.006	DPP7|29952	1199.3763
DPP8|54878	970.8552	DPP8|54878	914.8288
DPP9|91039	1513.8927	DPP9|91039	861.0678
DPT|1805	610.1461	DPT|1805	656.7164
DPY19L1|23333	643.9472	DPY19L1|23333	382.2678
DPY19L2P2|349152	6.6615	DPY19L2P2|349152	16.9303
DPY19L2P4|442523	6.6615	DPY19L2P4|442523	6.8315
DPY19L2|283417	7.155	DPY19L2|283417	120.8881
DPY19L3|147991	828.9895	DPY19L3|147991	554.2437
DPY19L4|286148	1011.3178	DPY19L4|286148	1263.2361
DPY30|84661	356.0214	DPY30|84661	442.5514
DPYD|1806	1233.3686	DPYD|1806	777.6045
DPYSL2|1808	1414.9567	DPYSL2|1808	2639.6376
DPYSL3|1809	3465.9655	DPYSL3|1809	2622.1133
DPYSL4|10570	24.1789	DPYSL4|10570	107.8191
lowly_expressed	lowly_expressed	DPYS|1807	6.2375
DR1|1810	1222.0193	DR1|1810	1094.2303
DRAM1|55332	883.2685	DRAM1|55332	642.7564
DRAM2|128338	1299.7371	DRAM2|128338	1224.9202
DRAP1|10589	739.6757	DRAP1|10589	545.036
lowly_expressed	lowly_expressed	DRD2|1813	78.1169
DRG1|4733	1183.5305	DRG1|4733	1093.6363
DRG2|1819	513.9241	DRG2|1819	584.837
DRP2|1821	8.3886	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DSC1|1823	79.8871
DSC2|1824	979.7373	DSC2|1824	3775.7481
DSC3|1825	60.4471	DSC3|1825	795.7229
lowly_expressed	lowly_expressed	DSCAML1|57453	13.9601
lowly_expressed	lowly_expressed	DSCAM|1826	8.0196
DSCC1|79075	138.1649	DSCC1|79075	104.5519
DSCR3|10311	1267.9098	DSCR3|10311	872.0576
DSCR6|53820	16.037	DSCR6|53820	7.7226
DSEL|92126	245.2427	DSEL|92126	388.5052
DSE|29940	1070.1119	DSE|29940	737.7144
DSG1|1828	8.1419	DSG1|1828	357.6149
DSG2|1829	718.951	DSG2|1829	8013.9214
DSG3|1830	36.0216	DSG3|1830	359.397
DSN1|79980	358.4886	DSN1|79980	324.6454
DSP|1832	15759.4352	DSP|1832	17200.5643
DSTN|11034	10314.7508	DSTN|11034	9363.3326
DSTYK|25778	543.0374	DSTYK|25778	1060.3698
DST|667	3917.9621	DST|667	28346.9221
DTD1|92675	348.6197	DTD1|92675	511.7695
DTHD1|401124	6.1681	lowly_expressed	lowly_expressed
DTL|51514	332.5827	DTL|51514	122.9673
DTNA|1837	57.9799	DTNA|1837	822.1579
DTNBP1|84062	278.0569	DTNBP1|84062	259.8946
DTNB|1838	135.9444	DTNB|1838	1235.316
DTWD1|56986	639.0127	DTWD1|56986	742.8529
DTWD2|285605	590.4083	DTWD2|285605	345.43699999999995
DTX1|1840	83.1457	DTX1|1840	108.7102
DTX2|113878	394.4682	DTX2|113878	309.2003
DTX3L|151636	3046.9014	DTX3L|151636	1921.8237
DTX3|196403	295.3275	DTX3|196403	510.8784
DTX4|23220	243.5157	DTX4|23220	666.8152
DTYMK|1841	230.4393	DTYMK|1841	199.896
DULLARD|23399	1520.8009	DULLARD|23399	1300.6609
DUOX1|53905	9.8689	DUOX1|53905	256.9243
lowly_expressed	lowly_expressed	DUOX2|50506	61.7806
lowly_expressed	lowly_expressed	DUOXA1|90527	51.6819
lowly_expressed	lowly_expressed	DUOXA2|405753	5.3464
DUS1L|64118	1269.8836	DUS1L|64118	990.5695
DUS2L|54920	169.9922	DUS2L|54920	168.7087
DUS3L|56931	283.2381	DUS3L|56931	370.6839
DUS4L|11062	156.8418	DUS4L|11062	207.1879
DUSP10|11221	262.5133	DUSP10|11221	461.2757
DUSP11|8446	335.7901	DUSP11|8446	573.2531
DUSP12|11266	181.8349	DUSP12|11266	324.3484
DUSP14|11072	437.1933	DUSP14|11072	343.9519
lowly_expressed	lowly_expressed	DUSP15|128853	19.0094
DUSP16|80824	2388.0325	DUSP16|80824	2678.2505
DUSP18|150290	234.8581	DUSP18|150290	144.0053
DUSP19|142679	48.8512	DUSP19|142679	103.0668
DUSP1|1843	2430.2221	DUSP1|1843	3670.0082
DUSP22|56940	611.133	DUSP22|56940	774.3373
DUSP23|54935	289.8996	DUSP23|54935	449.9889
lowly_expressed	lowly_expressed	DUSP27|92235	6.2375
DUSP28|285193	46.3839	DUSP28|285193	81.6811
DUSP2|1844	143.0994	DUSP2|1844	92.0769
DUSP3|1845	2259.9832	DUSP3|1845	1513.3289
DUSP4|1846	1750.7468	DUSP4|1846	1440.2614
lowly_expressed	lowly_expressed	DUSP5P|574029	7.1285
DUSP5|1847	371.0715	DUSP5|1847	598.7971
DUSP6|1848	1095.6971	DUSP6|1848	3110.1209999999996
DUSP7|1849	391.3028	DUSP7|1849	447.3157
DUSP8|1850	184.0554	DUSP8|1850	480.8792
lowly_expressed	lowly_expressed	DUSP9|1852	12.772
DUT|1854	949.7974	DUT|1854	985.832
DVL1|1855	1164.5328	DVL1|1855	748.4963
DVL2|1856	541.8038	DVL2|1856	809.6829
DVL3|1857	1930.3612	DVL3|1857	1731.6403
DYM|54808	929.4057	DYM|54808	1113.8338
DYNC1H1|1778	10999.653999999999	DYNC1H1|1778	11550.9022
DYNC1I1|1780	23.4387	DYNC1I1|1780	137.8184
DYNC1I2|1781	2964.8709999999996	DYNC1I2|1781	2415.9798
DYNC1LI1|51143	1608.1409	DYNC1LI1|51143	1058.5877
DYNC1LI2|1783	2430.9623	DYNC1LI2|1783	3511.6953
DYNC2H1|79659	807.0311	DYNC2H1|79659	1148.5854
DYNC2LI1|51626	264.7338	DYNC2LI1|51626	504.64099999999996
DYNLL1|8655	3547.8775	DYNLL1|8655	1775.3026
DYNLL2|140735	1188.465	DYNLL2|140735	1450.3601
DYNLRB1|83658	1377.4548	DYNLRB1|83658	1024.4301
DYNLRB2|83657	12.5829	DYNLRB2|83657	23.4648
DYNLT1|6993	526.0136	DYNLT1|6993	724.1405
DYNLT3|6990	804.8106	DYNLT3|6990	690.8739999999999
DYRK1A|1859	1784.5479	DYRK1A|1859	3035.5684
DYRK1B|9149	311.8579	DYRK1B|9149	339.7936
DYRK2|8445	983.9315	DYRK2|8445	706.3192
DYRK3|8444	525.7668	DYRK3|8444	387.0201
DYRK4|8798	291.1332	DYRK4|8798	245.0434
DYSF|8291	583.5	DYSF|8291	267.0231
DYX1C1|161582	153.3631	DYX1C1|161582	81.4673
DZIP1L|199221	44.9036	DZIP1L|199221	93.265
DZIP1|22873	158.2654	DZIP1|22873	251.27200000000002
DZIP3|9666	380.7973	DZIP3|9666	542.9569
E2F1|1869	187.0161	E2F1|1869	111.6804
E2F2|1870	178.8742	E2F2|1870	35.9397
E2F3|1871	456.6844	E2F3|1871	370.9809
E2F4|1874	628.6503	E2F4|1874	690.8739999999999
E2F5|1875	148.9442	E2F5|1875	192.2388
E2F6|1876	223.5311	E2F6|1876	334.7442
E2F7|144455	86.1063	E2F7|144455	28.2171
E2F8|79733	90.0539	E2F8|79733	23.4648
E4F1|1877	332.0892	E4F1|1877	402.7623
EAF1|85403	1162.0656	EAF1|85403	797.2080000000001
EAF2|55840	36.515	EAF2|55840	56.4342
EAPP|55837	796.6687	EAPP|55837	1172.0502
EARS2|124454	828.9895	EARS2|124454	847.1077
EBAG9|9166	605.7051	EBAG9|9166	658.7956
EBF1|1879	237.1009	EBF1|1879	384.941
EBF2|64641	29.1133	EBF2|64641	13.663
EBF3|253738	119.9074	EBF3|253738	242.9643
EBF4|57593	76.7309	EBF4|57593	245.9345
EBI3|10148	60.2004	EBI3|10148	55.5432
EBNA1BP2|10969	1118.8891	EBNA1BP2|10969	918.5327
EBPL|84650	697.4861	EBPL|84650	668.3003
EBP|10682	513.9241	EBP|10682	361.4762
ECD|11319	730.7937	ECD|11319	910.3735
ECE1|1889	5351.9165	ECE1|1889	5453.0333
ECE2|9718	118.4271	ECE2|9718	66.533
ECEL1|9427	11.1025	ECEL1|9427	8.6136
ECH1|1891	1760.1223	ECH1|1891	1742.9272
ECHDC1|55862	1222.0193	ECHDC1|55862	1605.4058
ECHDC2|55268	1100.1381	ECHDC2|55268	1348.7785
ECHDC3|79746	206.2605	ECHDC3|79746	401.2772
ECHS1|1892	2232.8436	ECHS1|1892	1483.9237
ECM1|1893	3401.0773	ECM1|1893	730.675
ECM2|1842	617.0544	ECM2|1842	468.7013
ECSCR|641700	153.215	ECSCR|641700	154.7486
ECSIT|51295	636.7922	ECSIT|51295	663.845
ECT2L|345930	10.6091	ECT2L|345930	17.8213
ECT2|1894	1477.8711	ECT2|1894	504.344
EDA2R|60401	23.6854	EDA2R|60401	150.2933
EDARADD|128178	74.5104	EDARADD|128178	204.0544
lowly_expressed	lowly_expressed	EDAR|10913	62.3747
EDA|1896	34.2945	EDA|1896	140.1945
EDC3|80153	647.1546	EDC3|80153	840.2762
EDC4|23644	912.6286	EDC4|23644	1195.7556
EDEM1|9695	4213.2896	EDEM1|9695	1815.6976
EDEM2|55741	755.9594	EDEM2|55741	473.1566
EDEM3|80267	3287.5847	EDEM3|80267	1676.0971
EDF1|8721	2817.3306	EDF1|8721	2720.7247
EDIL3|10085	1278.5189	EDIL3|10085	312.4675
EDN1|1906	51.3184	EDN1|1906	934.7293
EDN2|1907	16.7772	EDN2|1907	9.8017
EDN3|1908	11.8427	EDN3|1908	323.1603
EDNRA|1909	568.6966	EDNRA|1909	357.6149
EDNRB|1910	428.3112	EDNRB|1910	538.7985
EEA1|8411	1379.6753	EEA1|8411	1587.8815
EED|8726	462.1123	EED|8726	451.17699999999996
EEF1A1P9|441032	5367.9535	EEF1A1P9|441032	8953.1447
EEF1A1|1915	91428.4093	EEF1A1|1915	139810.2027
lowly_expressed	lowly_expressed	EEF1A2|1917	10.0988
EEF1B2|1933	3327.0604	EEF1B2|1933	6189.0547
EEF1DP3|196549	5.7832	lowly_expressed	lowly_expressed
EEF1D|1936	7029.6333	EEF1D|1936	6626.2716
EEF1E1|9521	364.6567	EEF1E1|9521	314.8437
EEF1G|1937	18935.9945	EEF1G|1937	28586.0251
EEF2K|29904	1483.299	EEF2K|29904	2334.0016
EEF2|1938	66966.3118	EEF2|1938	64134.8481
EEFSEC|60678	331.4527	EEFSEC|60678	321.895
EEPD1|80820	412.0275	EEPD1|80820	611.569
lowly_expressed	lowly_expressed	EFCAB1|79645	120.5911
EFCAB2|84288	90.0539	EFCAB2|84288	101.8787
EFCAB4A|283229	286.6922	EFCAB4A|283229	1294.1264
EFCAB4B|84766	618.0413	EFCAB4B|84766	436.9199
EFCAB6|64800	78.9514	EFCAB6|64800	166.6295
EFCAB7|84455	153.9552	EFCAB7|84455	291.6759
EFEMP1|2202	2311.3016	EFEMP1|2202	5064.5281
EFEMP2|30008	621.0019	EFEMP2|30008	467.5132
EFHA1|221154	1387.3237	EFHA1|221154	1092.4482
EFHA2|286097	29.6068	EFHA2|286097	186.8271
EFHB|151651	5.9214	EFHB|151651	21.3856
EFHC1|114327	348.8664	EFHC1|114327	591.6685
EFHC2|80258	5.1812	EFHC2|80258	8.9107
EFHD1|80303	747.3241	EFHD1|80303	3692.8789
EFHD2|79180	2222.4813	EFHD2|79180	586.3221
EFNA1|1942	1508.2179999999998	EFNA1|1942	2267.4686
EFNA3|1944	74.5104	EFNA3|1944	187.7181
EFNA4|1945	231.6729	EFNA4|1945	287.5176
EFNA5|1946	27.633000000000003	EFNA5|1946	1134.6254
EFNB1|1947	463.8393	EFNB1|1947	409.5938
EFNB2|1948	706.1214	EFNB2|1948	2391.9210000000003
EFNB3|1949	71.303	EFNB3|1949	458.8995
EFR3A|23167	3381.0927	EFR3A|23167	1823.7172
EFR3B|22979	34.0478	EFR3B|22979	47.8206
EFS|10278	407.3398	EFS|10278	1069.2805
EFTUD1|79631	1133.4457	EFTUD1|79631	919.2842
EFTUD2|9343	2501.6583	EFTUD2|9343	1652.6324
EGFL6|25975	33.3076	EGFL6|25975	19.9005
EGFL7|51162	271.1486	EGFL7|51162	669.1914
EGFL8|80864	44.832	EGFL8|80864	137.3728
EGFLAM|133584	186.0292	EGFLAM|133584	257.5184
EGFR|1956	172.94299999999998	EGFR|1956	2194.0803
lowly_expressed	lowly_expressed	EGF|1950	1136.1105
EGLN1|54583	1056.7148	EGLN1|54583	1438.7763
EGLN2|112398	1475.9319	EGLN2|112398	894.6313
EGLN3|112399	1451.9652	EGLN3|112399	201.3812
EGOT|100126791	54.2791	EGOT|100126791	42.4742
EGR1|1958	2059.3973	EGR1|1958	8326.7246
EGR2|1959	233.8935	EGR2|1959	874.7308
EGR3|1960	176.6537	EGR3|1960	977.5006
EHBP1L1|254102	2168.6957	EHBP1L1|254102	1080.2703
EHBP1|23301	567.7098	EHBP1|23301	1198.4703
EHD1|10938	1021.1867	EHD1|10938	833.7417
EHD2|30846	2756.39	EHD2|30846	1498.1807
EHD3|30845	391.056	EHD3|30845	440.7812
EHD4|30844	1486.7531	EHD4|30844	1072.2507
EHF|26298	12871.5418	EHF|26298	15318.9277
EHHADH|1962	193.4309	EHHADH|1962	354.6447
EHMT1|79813	1339.7062	EHMT1|79813	1365.4117
EHMT2|10919	1115.4349	EHMT2|10919	1391.8467
EI24|9538	2511.394	EI24|9538	2390.4359
EID1|23741	3718.6099	EID1|23741	3367.3424
EID2B|126272	24.6723	EID2B|126272	44.8504
EID2|163126	217.8565	EID2|163126	199.005
EID3|493861	17.0239	EID3|493861	36.2367
EIF1AD|84285	407.093	EIF1AD|84285	457.1174
EIF1AX|1964	2194.3549	EIF1AX|1964	2793.1982
EIF1B|10289	770.2694	EIF1B|10289	885.4236
EIF1|10209	10135.3831	EIF1|10209	9237.9892
EIF2AK1|27102	4089.5185	EIF2AK1|27102	3193.8101
EIF2AK2|5610	491.9658	EIF2AK2|5610	497.2154
EIF2AK3|9451	942.4821	EIF2AK3|9451	1128.0909
EIF2AK4|440275	1688.3259	EIF2AK4|440275	1534.7145
EIF2A|83939	2839.7824	EIF2A|83939	4225.1429
EIF2B1|1967	997.748	EIF2B1|1967	1183.337
EIF2B2|8892	479.6296	EIF2B2|8892	447.0186
EIF2B3|8891	681.2024	EIF2B3|8891	562.5603
EIF2B4|8890	560.3081	EIF2B4|8890	800.4752
EIF2B5|8893	1368.8195	EIF2B5|8893	1275.117
EIF2C1|26523	1129.7449	EIF2C1|26523	1450.6572
EIF2C2|27161	243.0222	EIF2C2|27161	198.1139
EIF2C3|192669	183.3152	EIF2C3|192669	148.8082
EIF2C4|192670	519.8455	EIF2C4|192670	648.3998
EIF2S1|1965	2447.4927	EIF2S1|1965	1737.5808
EIF2S2|8894	1609.1278	EIF2S2|8894	1284.9187
EIF2S3|1968	8048.3528	EIF2S3|1968	7188.2379
EIF3A|8661	9440.610999999999	EIF3A|8661	9076.409
EIF3B|8662	3866.1503	EIF3B|8662	4166.6295
EIF3CL|728689	8389.1883	EIF3CL|728689	11543.337
EIF3C|8663	307.0592	EIF3C|8663	179.8381
EIF3D|8664	5004.2837	EIF3D|8664	7296.6511
EIF3E|3646	7565.7625	EIF3E|3646	11627.2369
EIF3F|8665	2498.3177	EIF3F|8665	2796.7625
EIF3G|8666	2298.6842	EIF3G|8666	2735.5551
EIF3H|8667	4858.9638	EIF3H|8667	5409.3711
EIF3I|8668	3693.2295	EIF3I|8668	3217.9461
EIF3J|8669	2360.3995	EIF3J|8669	1925.2989
EIF3K|27335	2639.4432	EIF3K|27335	2613.2026
EIF3L|51386	7980.5039	EIF3L|51386	14524.987
EIF3M|10480	3324.0208	EIF3M|10480	3556.3912
EIF4A1|1973	15259.6211	EIF4A1|1973	10290.2057
EIF4A2|1974	8828.4911	EIF4A2|1974	12418.6292
EIF4A3|9775	1734.7098	EIF4A3|9775	1260.2658
EIF4B|1975	13549.1889	EIF4B|1975	17419.054
EIF4E2|9470	1197.347	EIF4E2|9470	913.9378
EIF4E3|317649	658.0104	EIF4E3|317649	1019.3807
EIF4EBP1|1978	551.9195	EIF4EBP1|1978	311.2794
EIF4EBP2|1979	5000.0894	EIF4EBP2|1979	5000.3713
EIF4EBP3|8637	370.8864	EIF4EBP3|8637	491.6552
EIF4ENIF1|56478	639.5062	EIF4ENIF1|56478	905.9182
EIF4E|1977	790.9941	EIF4E|1977	490.6809
EIF4G1|1981	9276.2934	EIF4G1|1981	6961.9069
EIF4G2|1982	24681.1876	EIF4G2|1982	14905.4726
EIF4G3|8672	2055.203	EIF4G3|8672	1425.7073
EIF4H|7458	4417.5763	EIF4H|7458	4749.9814
EIF5A2|56648	141.1256	EIF5A2|56648	141.9767
EIF5AL1|143244	1331.8111	EIF5AL1|143244	841.7613
EIF5A|1984	4945.5636	EIF5A|1984	3184.3766
EIF5B|9669	4363.0505	EIF5B|9669	3399.1238
EIF5|1983	5788.863	EIF5|1983	5987.0795
EIF6|3692	1741.1246	EIF6|3692	1345.2142
ELAC1|55520	100.5989	ELAC1|55520	199.2485
ELAC2|60528	1322.1889	ELAC2|60528	1124.8236
ELAVL1|1994	1634.2935	ELAVL1|1994	1429.2716
ELAVL2|1993	121.8812	ELAVL2|1993	43.6623
ELF1|1997	2313.0286	ELF1|1997	2722.5069
ELF2|1998	925.4582	ELF2|1998	1337.1946
ELF3|1999	1966.6295	ELF3|1999	10115.6902
ELF4|2000	872.166	ELF4|2000	334.4472
ELF5|2001	24.1789	ELF5|2001	5854.9046
ELFN1|392617	49.8381	ELFN1|392617	19.3065
ELK1|2002	542.0506	ELK1|2002	488.0077
ELK3|2004	764.8415	ELK3|2004	553.9467
ELK4|2005	261.6572	ELK4|2005	228.4102
ELL2|22936	2861.2473	ELL2|22936	1910.1507
ELL3|80237	258.8322	ELL3|80237	284.1405
ELL|8178	427.0776	ELL|8178	462.1668
ELMO1|9844	874.88	ELMO1|9844	399.19800000000004
ELMO2|63916	959.2592	ELMO2|63916	911.8586
ELMO3|79767	252.6444	ELMO3|79767	575.3323
ELMOD2|255520	324.4408	ELMOD2|255520	200.4901
ELMOD3|84173	202.3129	ELMOD3|84173	354.6447
ELN|2006	684.9032	ELN|2006	358.80300000000005
ELOF1|84337	593.1222	ELOF1|84337	496.6214
ELOVL1|64834	1800.5849	ELOVL1|64834	1233.2368
ELOVL2|54898	58.9668	ELOVL2|54898	181.1836
lowly_expressed	lowly_expressed	ELOVL3|83401	5.0494
ELOVL4|6785	32.5674	ELOVL4|6785	38.3159
ELOVL5|60481	9965.1442	ELOVL5|60481	7434.4694
