gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
ACAN|176	19.2444	lowly_expressed	lowly_expressed
ACAP1|9744	106.5844	ACAP1|9744	118.5119
ACAP2|23527	1944.9178	ACAP2|23527	1851.3403
ACAP3|116983	543.0522	ACAP3|116983	533.4373
ACAT1|38	1814.4013	ACAT1|38	1054.1323
ACAT2|39	268.2126	ACAT2|39	417.0521
ACBD3|64746	2653.5065	ACBD3|64746	1788.9656
ACBD4|79777	159.8765	ACBD4|79777	336.2293
ACBD5|91452	1213.6307	ACBD5|91452	870.5725
ACBD6|84320	346.1524	ACBD6|84320	407.2176
ACBD7|414149	105.5975	ACBD7|414149	149.9963
ACCN2|41	40.956	ACCN2|41	279.498
ACCN3|9311	5.4279	ACCN3|9311	8.9107
ACCS|84680	135.9444	ACCS|84680	349.2983
ACD|65057	143.8395	ACD|65057	286.6266
lowly_expressed	lowly_expressed	ACE2|59272	53.167
ACER2|340485	267.9412	ACER2|340485	130.9869
ACER3|55331	1545.4732	ACER3|55331	421.1777
ACE|1636	544.5178	ACE|1636	463.3549
ACHE|43	11.8427	ACHE|43	58.2164
ACIN1|22985	2866.6752	ACIN1|22985	3717.5317
ACLY|47	4830.0973	ACLY|47	2648.8453
ACN9|57001	214.4023	ACN9|57001	135.4422
ACO1|48	1280.7394	ACO1|48	636.8159
ACO2|50	5700.1365	ACO2|50	2192.2685
ACOT11|26027	88.6821	ACOT11|26027	32.1913
ACOT13|55856	574.4478	ACOT13|55856	395.6219
ACOT1|641371	545.5047	ACOT1|641371	310.0913
ACOT2|10965	390.0692	ACOT2|10965	220.3906
ACOT4|122970	272.629	ACOT4|122970	87.0275
ACOT7|11332	278.3036	ACOT7|11332	127.4226
ACOT8|10005	241.9687	ACOT8|10005	234.2556
ACOT9|23597	764.348	ACOT9|23597	422.6628
ACOX1|51	1749.5601	ACOX1|51	1449.7661
ACOX2|8309	26.3994	ACOX2|8309	150.2933
ACOX3|8310	400.925	ACOX3|8310	515.3338
ACP1|52	1125.5506	ACP1|52	1622.3361
ACP2|53	1416.9305	ACP2|53	597.906
ACP5|54	61655.1046	ACP5|54	490.6809
ACP6|51205	208.7277	ACP6|51205	332.665
ACPL2|92370	899.5523	ACPL2|92370	510.5814
ACPP|55	33.3076	ACPP|55	21.3856
ACRBP|84519	34.5412	ACRBP|84519	10.3958
ACRC|93953	12.5829	ACRC|93953	19.6035
lowly_expressed	lowly_expressed	ACR|49	11.5839
lowly_expressed	lowly_expressed	ACSBG1|23205	10.9898
lowly_expressed	lowly_expressed	ACSBG2|81616	6.2375
ACSF2|80221	839.4086	ACSF2|80221	753.5457
ACSF3|197322	340.7245	ACSF3|197322	380.1886
ACSL1|2180	3512.5961	ACSL1|2180	1907.1805
ACSL3|2181	3251.0697	ACSL3|2181	4336.2293
ACSL4|2182	4450.1437	ACSL4|2182	1328.284
ACSL5|51703	544.0243	ACSL5|51703	913.3437
ACSL6|23305	6.9082	ACSL6|23305	20.4945
ACSM1|116285	27.8797	ACSM1|116285	37.4248
ACSM3|6296	54.8293	ACSM3|6296	184.9944
ACSM5|54988	17.7641	ACSM5|54988	52.2759
ACSS1|84532	917.8098	ACSS1|84532	1216.0095
ACSS2|55902	666.6457	ACSS2|55902	1251.9492
ACSS3|79611	188.4964	ACSS3|79611	140.1945
lowly_expressed	lowly_expressed	ACTA1|58	11.8809
ACTA2|59	8293.0305	ACTA2|59	16725.2603
lowly_expressed	lowly_expressed	ACTBL2|345651	10.9898
ACTB|60	84238.406	ACTB|60	52905.9182
ACTG1|71	58738.0979	ACTG1|71	50233.9051
ACTG2|72	25.4125	ACTG2|72	2433.8011
ACTL6A|86	1014.2785	ACTL6A|86	971.2631
ACTN1|87	7615.1071	ACTN1|87	6163.5108
ACTN2|88	202.0662	lowly_expressed	lowly_expressed
ACTN4|81	5283.1844	ACTN4|81	8712.6665
ACTR10|55860	1159.5984	ACTR10|55860	1163.1395
ACTR1A|10121	2604.1618	ACTR1A|10121	1495.2105
ACTR1B|10120	861.5569	ACTR1B|10120	1308.3835
ACTR2|10097	11098.5899	ACTR2|10097	4969.1839
ACTR3B|57180	154.4486	ACTR3B|57180	336.5263
ACTR3C|653857	97.2089	ACTR3C|653857	51.9789
ACTR3|10096	7973.1023	ACTR3|10096	3263.3846
ACTR5|79913	208.481	ACTR5|79913	251.2809
ACTR6|64431	646.4144	ACTR6|64431	870.2755
ACTR8|93973	673.3072	ACTR8|93973	577.4115
ACVR1B|91	984.9184	ACVR1B|91	1408.183
ACVR1C|130399	13.5698	ACVR1C|130399	39.504
ACVR1|90	643.4537	ACVR1|90	952.8477
ACVR2A|92	336.2835	ACVR2A|92	747.3082
ACVR2B|93	413.7546	ACVR2B|93	528.1057
ACVRL1|94	476.6689	ACVRL1|94	333.5561
ACY1|95	785.3195	ACY1|95	682.5574
ACY3|91703	28.8666	ACY3|91703	24.3558
ACYP1|97	115.9598	ACYP1|97	105.74
ACYP2|98	68.589	ACYP2|98	149.9963
ADAL|161823	207.0006	ADAL|161823	174.9462
ADAM10|102	3200.4915	ADAM10|102	1994.2081
lowly_expressed	lowly_expressed	ADAM11|4185	18.4154
ADAM12|8038	3539.9824	ADAM12|8038	279.201
ADAM15|8751	2466.4188	ADAM15|8751	2180.7737
ADAM17|6868	641.4799	ADAM17|6868	875.3249
ADAM19|8728	803.3303	ADAM19|8728	70.6913
ADAM22|53616	313.585	ADAM22|53616	160.095
ADAM23|8745	59.4603	ADAM23|8745	17.5243
ADAM28|10863	655.7899	ADAM28|10863	169.8968
lowly_expressed	lowly_expressed	ADAM29|11086	5.3464
ADAM32|203102	35.2814	ADAM32|203102	159.798
ADAM33|80332	17.7641	ADAM33|80332	284.7583
ADAM6|8755	5493.8094	ADAM6|8755	10057.8124
ADAM8|101	876.8537	ADAM8|101	214.1531
ADAM9|8754	3516.0503	ADAM9|8754	1780.649
ADAMDEC1|27299	639.9996	lowly_expressed	lowly_expressed
ADAMTS10|81794	86.5998	ADAMTS10|81794	177.0253
ADAMTS12|81792	778.1645	ADAMTS12|81792	58.2164
ADAMTS13|11093	37.0085	ADAMTS13|11093	72.4735
ADAMTS14|140766	276.3298	ADAMTS14|140766	10.3958
ADAMTS15|170689	81.6653	ADAMTS15|170689	155.3427
ADAMTS16|170690	139.3985	ADAMTS16|170690	10.3958
ADAMTS17|170691	13.323	ADAMTS17|170691	48.1176
ADAMTS18|170692	6.1681	ADAMTS18|170692	142.8678
lowly_expressed	lowly_expressed	ADAMTS19|171019	5.9404
ADAMTS1|9510	2573.0747	ADAMTS1|9510	2127.5711
ADAMTS2|9509	446.8155	ADAMTS2|9509	100.0965
ADAMTS3|9508	62.4209	ADAMTS3|9508	45.4444
ADAMTS4|9507	505.0421	ADAMTS4|9507	73.3645
ADAMTS5|11096	339.9844	ADAMTS5|11096	1869.4587
ADAMTS6|11174	90.7941	ADAMTS6|11174	25.5439
ADAMTS7|11173	204.7801	ADAMTS7|11173	29.4052
ADAMTS8|11095	460.6319	ADAMTS8|11095	304.4479
ADAMTS9|56999	425.1038	ADAMTS9|56999	641.8653
ADAMTSL1|92949	235.1271	ADAMTSL1|92949	125.0464
ADAMTSL2|9719	173.1996	ADAMTSL2|9719	21.6826
ADAMTSL3|57188	84.1326	ADAMTSL3|57188	63.8598
ADAMTSL4|54507	137.4247	ADAMTSL4|54507	284.8444
ADAMTSL5|339366	71.7964	ADAMTSL5|339366	36.2367
ADAP1|11033	144.3058	ADAP1|11033	75.209
ADAP2|55803	410.7939	ADAP2|55803	238.5089
ADARB1|104	537.8563	ADARB1|104	664.439
lowly_expressed	lowly_expressed	ADARB2|105	10.6928
ADAR|103	7987.1655	ADAR|103	7661.3945
ADAT1|23536	341.4647	ADAT1|23536	340.6846
ADAT2|134637	64.8882	ADAT2|134637	220.3906
ADAT3|113179	30.5937	ADAT3|113179	16.9303
ADA|100	124.3484	ADA|100	48.1176
ADCK1|57143	153.215	ADCK1|57143	130.3928
ADCK2|90956	740.9093	ADCK2|90956	589.8864
ADCK4|79934	469.0205	ADCK4|79934	492.166
ADCK5|203054	85.6129	ADCK5|203054	96.5323
ADCY1|107	136.6846	ADCY1|107	430.0884
ADCY2|108	13.323	ADCY2|108	81.3841
ADCY3|109	1552.1964	ADCY3|109	949.4854
ADCY4|196883	206.0138	ADCY4|196883	432.4645
ADCY5|111	16.5304	ADCY5|111	202.2722
ADCY6|112	1715.4654	ADCY6|112	1981.7331
