gene_id	TCGA-BH-A1EW-01A-11R-A137-07	gene_id	TCGA-BH-A1EW-11B-33R-A137-07
lowly_expressed	lowly_expressed	ACADL|33	62.805
ACADM|34	961.179	ACADM|34	1400.8063
ACADSB|36	2856.578	ACADSB|36	4950.9866
ACADS|35	152.7678	ACADS|35	216.6348
ACADVL|37	4093.6233	ACADVL|37	4928.2071
ACAN|176	15.0971	lowly_expressed	lowly_expressed
ACAP1|9744	104.2416	ACAP1|9744	77.4454
ACAP2|23527	4286.844	ACAP2|23527	2663.0596
ACAP3|116983	454.734	ACAP3|116983	345.9071
ACAT1|38	578.7203	ACAT1|38	966.4757
ACAT2|39	621.1754	ACAT2|39	385.5888
ACBD3|64746	4268.1524	ACBD3|64746	2427.1165
ACBD4|79777	65.78	ACBD4|79777	174.8356
ACBD5|91452	1103.1632	ACBD5|91452	1394.0165
ACBD6|84320	491.7326	ACBD6|84320	386.5903
ACBD7|414149	33.4292	ACBD7|414149	94.844
ACCN1|40	652.4083	ACCN1|40	94.844
ACCN2|41	40.6183	ACCN2|41	147.0401
ACCN3|9311	10.0647	ACCN3|9311	39.4653
ACCS|84680	67.5773	ACCS|84680	435.6036
ACD|65057	202.7318	ACD|65057	199.024
lowly_expressed	lowly_expressed	ACE2|59272	21.6423
ACER2|340485	130.8411	ACER2|340485	279.652
ACER3|55331	434.5794	ACER3|55331	459.7921
ACE|1636	610.7117	ACE|1636	298.1116
ACHE|43	26.959	ACHE|43	7.0019
ACIN1|22985	2221.7829	ACIN1|22985	2571.3983
ACLY|47	5526.2401	ACLY|47	4293.868
ACN9|57001	81.2365	ACN9|57001	153.4055
ACO1|48	840.4026	ACO1|48	1564.6085
ACO2|50	2361.8296	ACO2|50	1479.3571
ACOT11|26027	38.1021	ACOT11|26027	19.9003
ACOT13|55856	537.3293	ACOT13|55856	552.0115
ACOT1|641371	175.0539	ACOT1|641371	586.8873
ACOT2|10965	87.3472	ACOT2|10965	323.7853
ACOT4|122970	121.1359	ACOT4|122970	169.7433
ACOT7|11332	495.6866	ACOT7|11332	151.0715
ACOT8|10005	224.6693	ACOT8|10005	184.443
ACOT9|23597	305.895	ACOT9|23597	431.7844
ACOX1|51	1918.6161	ACOX1|51	2349.3783
ACOX2|8309	583.7527	ACOX2|8309	303.2039
ACOX3|8310	901.8692	ACOX3|8310	794.1863
ACP1|52	1479.5111	ACP1|52	1437.9376
ACP2|53	1354.4213	ACP2|53	824.7401
ACP5|54	637.6707	ACP5|54	571.6104
ACP6|51205	145.9382	ACP6|51205	312.1154
ACPL2|92370	462.2574	ACPL2|92370	497.9843
ACPP|55	17.6132	ACPP|55	14.0038
ACRBP|84519	14.3781	ACRBP|84519	22.2788
ACRC|93953	11.862	ACRC|93953	25.8858
lowly_expressed	lowly_expressed	ACR|49	7.6384
lowly_expressed	lowly_expressed	ACSBG1|23205	8.275
ACSF2|80221	631.9195	ACSF2|80221	762.5716
ACSF3|197322	228.2531	ACSF3|197322	174.199
ACSL1|2180	1576.2042	ACSL1|2180	4788.2453
ACSL3|2181	4294.0331	ACSL3|2181	4539.7836
ACSL4|2182	2498.2027	ACSL4|2182	1638.4468
ACSL5|51703	399.7124	ACSL5|51703	596.011
ACSL6|23305	62.9044	ACSL6|23305	19.0961
ACSM1|116285	11.1431	ACSM1|116285	18.2474
lowly_expressed	lowly_expressed	ACSM3|6296	46.6815
ACSM5|54988	8.2674	ACSM5|54988	52.4082
ACSS1|84532	669.3027	ACSS1|84532	831.742
ACSS2|55902	874.5507	ACSS2|55902	1085.0838
ACSS3|79611	103.5226	ACSS3|79611	366.0089
ACTA1|58	13.6592	lowly_expressed	lowly_expressed
ACTA2|59	2488.8821	ACTA2|59	12411.8184
ACTB|60	62096.3336	ACTB|60	43595.5867
ACTC1|70	7.5485	lowly_expressed	lowly_expressed
ACTG1|71	101922.358	ACTG1|71	47630.1719
ACTG2|72	111.0712	ACTG2|72	1833.4394
ACTL6A|86	2523.005	ACTL6A|86	1164.8631
ACTL8|81569	42.775	ACTL8|81569	7.4263
ACTN1|87	4840.0431	ACTN1|87	4740.9293
