gene_id	TCGA-BH-A1EW-01A-11R-A137-07	gene_id	TCGA-BH-A1EW-11B-33R-A137-07
CASP3|836	1253.0554	CASP3|836	916.8258
CASP4|837	580.8771	CASP4|837	653.2994
CASP6|839	669.3027	CASP6|839	487.3753
CASP7|840	1518.3321	CASP7|840	1072.9896
CASP8AP2|9994	772.8253	CASP8AP2|9994	1001.9096
CASP8|841	475.5572	CASP8|841	588.5848
CASP9|842	456.5061	CASP9|842	363.2506
CASQ1|844	8.2674	CASQ1|844	20.157
CASQ2|845	86.6283	CASQ2|845	92.7223
CASS4|57091	23.3645	CASS4|57091	36.2826
CAST|831	4224.7699	CAST|831	5466.1532
CASZ1|54897	1256.6499	CASZ1|54897	1308.0839999999998
CATSPER2P1|440278	21.2797	CATSPER2P1|440278	27.6936
CATSPER2|117155	16.4091	CATSPER2|117155	53.6558
CATSPER3|347732	15.4565	CATSPER3|347732	12.8199
CATSPERB|79820	37.3832	CATSPERB|79820	62.1685
CATSPERG|57828	13.2998	CATSPERG|57828	71.08
CAT|847	1447.5198	CAT|847	2786.1235
CAV1|857	1995.3271	CAV1|857	7057.7127
CAV2|858	563.9827	CAV2|858	2814.5555
CBARA1|10367	755.2121	CBARA1|10367	1087.4178
CBFA2T2|9139	895.7584	CBFA2T2|9139	1145.5548
CBFA2T3|863	172.8972	CBFA2T3|863	182.0496
CBFB|865	1202.0129	CBFB|865	1047.7403
CBLB|868	640.9058	CBLB|868	674.7295
CBLC|23624	271.3875	CBLC|23624	207.9355
CBLL1|79872	1015.0971	CBLL1|79872	973.4776
CBLN1|869	29.8347	CBLN1|869	7.2141
CBLN3|643866	47.0884	CBLN3|643866	85.9325
CBLN4|140689	12.9403	CBLN4|140689	133.0363
CBL|867	1044.9317	CBL|867	1297.6872
CBR1|873	517.1999	CBR1|873	474.6191
CBR3|874	169.3027	CBR3|874	204.1163
CBR4|84869	841.1215	CBR4|84869	956.2911
CBS|875	118.6197	CBS|875	58.1371
CBWD1|55871	925.2336	CBWD1|55871	1608.7418
CBWD2|150472	715.3127	CBWD2|150472	607.8931
CBWD3|445571	2774.6226	CBWD3|445571	893.1806
CBWD6|644019	297.2682	CBWD6|644019	166.7728
CBX1|10951	2616.1035	CBX1|10951	1950.1379
CBX2|84733	376.348	CBX2|84733	75.1114
CBX3|11335	3850.8267	CBX3|11335	4097.3902
CBX4|8535	664.2703	CBX4|8535	404.2011
CBX5|23468	4786.4845	CBX5|23468	5976.8725
CBX6|23466	314.8814	CBX6|23466	419.9024
CBX7|23492	446.4414	CBX7|23492	971.3558
CBX8|57332	133.7168	CBX8|57332	77.8697
CBY1|25776	422.9152	CBY1|25776	348.86699999999996
CC2D1A|54862	613.5873	CC2D1A|54862	564.6085
CC2D1B|200014	721.4234	CC2D1B|200014	607.6809
CC2D2A|57545	242.2717	CC2D2A|57545	424.5703
lowly_expressed	lowly_expressed	CC2D2B|387707	10.1846
CCAR1|55749	1723.9396	CCAR1|55749	1689.3698
CCBE1|147372	24.8023	CCBE1|147372	148.9497
CCBL1|883	52.8397	CCBL1|883	93.9953
CCBL2|56267	522.1567	CCBL2|56267	914.2712
CCBP2|1238	54.637	CCBP2|1238	142.5843
CCDC101|112869	153.8462	CCDC101|112869	170.592
CCDC102A|92922	52.8397	CCDC102A|92922	65.3512
CCDC102B|79839	56.0748	CCDC102B|79839	70.2313
CCDC103|388389	385.6937	CCDC103|388389	166.7728
CCDC104|112942	762.7606	CCDC104|112942	845.9580000000001
CCDC106|29903	295.1114	CCDC106|29903	143.2209
CCDC107|203260	229.8095	CCDC107|203260	261.3855
CCDC108|255101	9.3458	CCDC108|255101	26.7346
CCDC109A|90550	391.8045	CCDC109A|90550	396.3505
CCDC109B|55013	277.4982	CCDC109B|55013	189.6881
CCDC110|256309	43.8533	CCDC110|256309	116.9107
CCDC111|201973	247.6276	CCDC111|201973	275.349
CCDC112|153733	242.6312	CCDC112|153733	303.6283
CCDC113|29070	461.5385	CCDC113|29070	347.125
CCDC114|93233	33.4292	CCDC114|93233	36.2826
CCDC115|84317	640.1869	CCDC115|84317	875.6631
CCDC117|150275	1965.1329999999998	CCDC117|150275	1276.045
CCDC11|220136	37.0237	CCDC11|220136	33.5243
CCDC120|90060	666.0676	CCDC120|90060	372.7986
CCDC121|79635	147.376	CCDC121|79635	209.4208
CCDC122|160857	15.0971	CCDC122|160857	75.3236
CCDC123|84902	647.0165	CCDC123|84902	489.0728
CCDC124|115098	400.0719	CCDC124|115098	194.356
CCDC125|202243	721.7829	CCDC125|202243	847.6554
CCDC126|90693	228.972	CCDC126|90693	352.0051
CCDC127|133957	562.9044	CCDC127|133957	381.2858
lowly_expressed	lowly_expressed	CCDC129|223075	14.8525
CCDC12|151903	245.5068	CCDC12|151903	175.0477
CCDC130|81576	314.1625	CCDC130|81576	377.4666
CCDC132|55610	498.2027	CCDC132|55610	889.6669
CCDC134|79879	63.6233	CCDC134|79879	42.4358
CCDC135|84229	9.3458	lowly_expressed	lowly_expressed
CCDC136|64753	14.0187	CCDC136|64753	39.6775
CCDC137|339230	613.2279	CCDC137|339230	164.2266
CCDC138|165055	63.2638	CCDC138|165055	107.787
CCDC13|152206	5.3918	CCDC13|152206	6.3654
CCDC141|285025	15.4565	CCDC141|285025	30.3416
CCDC142|84865	211.4666	CCDC142|84865	123.0639
CCDC144A|9720	15.4493	CCDC144A|9720	56.2975
CCDC144B|284047	53.7958	CCDC144B|284047	173.2124
CCDC146|57639	104.2416	CCDC146|57639	238.7015
CCDC147|159686	13.2998	CCDC147|159686	17.823
CCDC148|130940	47.0884	CCDC148|130940	67.4729
CCDC149|91050	712.0776	CCDC149|91050	723.955
CCDC14|64770	328.9001	CCDC14|64770	1430.2992
CCDC150|284992	15.4565	CCDC150|284992	30.1294
CCDC151|115948	7.5485	CCDC151|115948	6.7897
CCDC152|100129792	84.8311	CCDC152|100129792	146.6709
CCDC153|283152	29.8347	CCDC153|283152	9.1237
CCDC157|550631	88.4831	CCDC157|550631	22.9387
CCDC158|339965	12.2214	CCDC158|339965	52.4082
CCDC159|126075	143.0625	CCDC159|126075	221.9393
CCDC15|80071	79.4393	CCDC15|80071	114.7889
CCDC160|347475	62.9044	CCDC160|347475	110.7575
CCDC163P|126661	49.2451	CCDC163P|126661	60.8954
lowly_expressed	lowly_expressed	CCDC17|149483	7.6384
CCDC18|343099	70.0935	CCDC18|343099	85.7203
CCDC19|25790	136.9518	CCDC19|25790	25.2493
CCDC21|64793	909.7771	CCDC21|64793	570.7617
CCDC22|28952	394.5435	CCDC22|28952	294.4473
CCDC23|374969	219.9856	CCDC23|374969	236.7919
CCDC24|149473	188.918	CCDC24|149473	186.2423
CCDC25|55246	477.7139	CCDC25|55246	1341.184
CCDC28A|25901	290.798	CCDC28A|25901	420.3268
CCDC28B|79140	78.7203	CCDC28B|79140	43.9211
CCDC30|728621	119.6981	CCDC30|728621	232.1239
CCDC34|91057	291.1574	CCDC34|91057	274.3475
CCDC36|339834	7.1891	CCDC36|339834	28.6442
CCDC39|339829	75.0108	CCDC39|339829	82.8114
CCDC3|83643	460.1006	CCDC3|83643	912.8835
CCDC40|55036	330.6973	CCDC40|55036	287.5027
CCDC41|51134	212.0776	CCDC41|51134	236.1553
CCDC43|124808	1037.7426	CCDC43|124808	635.9007
CCDC45|90799	707.7642	CCDC45|90799	895.6079
CCDC46|201134	158.7958	CCDC46|201134	302.7795
CCDC47|57003	5053.5586	CCDC47|57003	4012.7307
CCDC48|79825	53.5586	CCDC48|79825	97.3902
CCDC50|152137	3135.1546	CCDC50|152137	3375.7691
CCDC51|79714	260.9633	CCDC51|79714	136.219
CCDC52|152185	317.0381	CCDC52|152185	601.952
CCDC53|51019	333.2135	CCDC53|51019	370.889
CCDC55|84081	1558.9504	CCDC55|84081	1047.1038
CCDC56|28958	1295.6362	CCDC56|28958	678.8924
CCDC57|284001	597.0525	CCDC57|284001	546.1489
CCDC58|131076	96.693	CCDC58|131076	131.7632
CCDC59|29080	336.4486	CCDC59|29080	392.5313
CCDC60|160777	7.1891	CCDC60|160777	10.8211
CCDC61|729440	70.0935	CCDC61|729440	62.5928
lowly_expressed	lowly_expressed	CCDC62|84660	5.7288
CCDC64B|146439	570.4529	CCDC64B|146439	495.4381
CCDC64|92558	224.6585	CCDC64|92558	53.0448
CCDC65|85478	61.4666	CCDC65|85478	68.5338
CCDC66|285331	287.6492	CCDC66|285331	418.4384
CCDC68|80323	27.3185	CCDC68|80323	49.4377
CCDC69|26112	746.9446	CCDC69|26112	1406.5351
CCDC6|8030	3149.1733	CCDC6|8030	2953.9571
CCDC71|64925	347.9511	CCDC71|64925	262.6777
CCDC72|51372	760.2444	CCDC72|51372	646.2975
CCDC73|493860	71.0568	CCDC73|493860	84.8801
CCDC74A|90557	506.8296	CCDC74A|90557	217.6957
CCDC74B|91409	175.7728	CCDC74B|91409	92.2979
CCDC75|253635	103.5226	CCDC75|253635	125.8222
CCDC76|54482	195.1366	CCDC76|54482	450.6471
CCDC77|84318	150.2516	CCDC77|84318	170.8042
CCDC78|124093	75.4853	CCDC78|124093	65.139
CCDC7|221016	29.8059	CCDC7|221016	61.2985
CCDC80|151887	4881.7398	CCDC80|151887	4960.3225
CCDC81|60494	7.1891	CCDC81|60494	6.1532
CCDC82|79780	233.6449	CCDC82|79780	673.2442
CCDC84|338657	52.4802	CCDC84|338657	95.4806
CCDC85A|114800	52.8397	CCDC85A|114800	120.2037
CCDC85B|11007	69.0151	CCDC85B|11007	45.1941
CCDC85C|317762	620.5823	CCDC85C|317762	532.5695
CCDC86|79080	548.156	CCDC86|79080	349.1895
CCDC87|55231	43.8533	CCDC87|55231	51.1352
CCDC88A|55704	554.9964	CCDC88A|55704	1037.9801
CCDC88B|283234	106.3983	CCDC88B|283234	70.0191
CCDC88C|440193	1604.601	CCDC88C|440193	1892.6374
CCDC89|220388	6.8296	CCDC89|220388	26.5224
CCDC8|83987	255.5715	CCDC8|83987	404.6255
CCDC90A|63933	274.982	CCDC90A|63933	322.0878
CCDC90B|60492	381.711	CCDC90B|60492	574.5491
CCDC91|55297	710.2804	CCDC91|55297	678.3365
CCDC92|80212	454.7088	CCDC92|80212	512.6247
CCDC93|54520	626.5277	CCDC93|54520	1200.2971
CCDC94|55702	139.8275	CCDC94|55702	166.7728
CCDC96|257236	174.6945	CCDC96|257236	89.9639
CCDC97|90324	1603.8821	CCDC97|90324	785.6991
CCDC99|54908	218.1884	CCDC99|54908	265.8604
CCDC9|26093	491.0137	CCDC9|26093	175.6843
CCHCR1|54535	319.5543	CCHCR1|54535	255.6758
CCIN|881	5.7513	CCIN|881	5.0923
CCL11|6356	15.815999999999999	lowly_expressed	lowly_expressed
CCL13|6357	38.4615	CCL13|6357	31.4025
CCL14|6358	493.8821	CCL14|6358	703.3524
CCL18|6362	47.4479	CCL18|6362	49.4377
CCL19|6363	441.0496	CCL19|6363	38.8288
CCL21|6366	165.7081	CCL21|6366	577.5515
CCL22|6367	108.1955	CCL22|6367	71.7165
CCL23|6368	6.1107	CCL23|6368	5.0923
CCL28|56477	10.7836	CCL28|56477	744.5364
CCL2|6347	1144.8598	CCL2|6347	1544.8759
CCL3L1|6349	5.0324	CCL3L1|6349	8.4957
CCL3|6348	30.913	CCL3|6348	97.6024
CCL4L2|388372	8.6269	CCL4L2|388372	34.373000000000005
CCL4|6351	35.5859	CCL4|6351	114.1523
CCL5|6352	715.3127	CCL5|6352	656.0577
CCL7|6354	23.005	lowly_expressed	lowly_expressed
CCL8|6355	180.8052	CCL8|6355	207.5111
CCM2|83605	666.7865	CCM2|83605	449.8196
CCNA1|8900	73.688	CCNA1|8900	17.823
CCNA2|890	645.9058	CCNA2|890	225.05200000000002
CCNB1IP1|57820	273.5442	CCNB1IP1|57820	795.2472
CCNB1|891	805.895	CCNB1|891	402.0794
CCNB2|9133	241.1934	CCNB2|9133	93.571
CCNB3|85417	18.3321	CCNB3|85417	28.0076
CCNC|892	1583.7527	CCNC|892	1865.2663
CCND1|595	28638.022999999997	CCND1|595	11649.7984
CCND2|894	813.0841	CCND2|894	1454.6998
CCND3|896	937.8145	CCND3|896	970.7193
CCNDBP1|23582	574.7664	CCNDBP1|23582	1138.5529
CCNE1|898	83.0338	CCNE1|898	43.9211
CCNE2|9134	443.5298	CCNE2|9134	144.9968
CCNF|899	640.5464	CCNF|899	241.2476
CCNG1|900	1525.5212	CCNG1|900	3728.4108
CCNG2|901	2278.936	CCNG2|901	3157.0125
CCNH|902	513.8533	CCNH|902	707.0062
CCNI2|645121	61.196999999999996	CCNI2|645121	23.4734
CCNI|10983	6840.762	CCNI|10983	7572.8835
CCNJL|79616	163.5514	CCNJL|79616	129.2171
CCNJ|54619	376.7074	CCNJ|54619	459.3677
CCNK|8812	778.7707	CCNK|8812	758.9646
CCNL1|57018	1971.2437	CCNL1|57018	2509.8663
CCNL2|81669	1207.4047	CCNL2|81669	2648.2071
CCNO|10309	67.2178	CCNO|10309	133.6728
CCNT1|904	596.3336	CCNT1|904	567.1547
CCNT2|905	770.3091	CCNT2|905	1210.4816
CCNYL1|151195	607.1172	CCNYL1|151195	492.892
CCNY|219771	2040.9777	CCNY|219771	1817.1016
CCPG1|9236	2365.8447	CCPG1|9236	3451.5659
lowly_expressed	lowly_expressed	CCR10|2826	6.7897
CCR1|1230	627.606	CCR1|1230	235.3066
CCR2|729230	113.9468	CCR2|729230	103.7556
CCR4|1233	83.3932	CCR4|1233	10.609000000000002
CCR5|1234	320.9921	CCR5|1234	192.0221
CCR6|1235	91.0244	CCR6|1235	117.1165
CCR7|1236	277.4982	CCR7|1236	32.6756
CCR8|1237	13.6592	lowly_expressed	lowly_expressed
CCRL1|51554	73.3285	CCRL1|51554	124.9735
CCRL2|9034	33.4292	CCRL2|9034	40.7384
CCRN4L|25819	855.1402	CCRN4L|25819	331.8481
CCS|9973	256.6499	CCS|9973	174.199
CCT2|10576	15754.1337	CCT2|10576	7409.5056
CCT3|7203	8958.3034	CCT3|7203	4642.6904
CCT4|10575	3026.5996	CCT4|10575	3023.7641
CCT5|22948	9527.3185	CCT5|22948	4054.9544
CCT6A|908	4013.6592	CCT6A|908	3091.237
CCT6B|10693	54.9964	CCT6B|10693	140.0382
CCT6P1|643253	77.2825	CCT6P1|643253	107.787
CCT7|10574	3350.8267	CCT7|10574	2798.6421
CCT8|10694	3280.0144	CCT8|10694	3226.3951
CD101|9398	16.8943	CD101|9398	25.4615
CD109|135228	736.5205	CD109|135228	835.7691
CD14|929	886.0532	CD14|929	785.9113
CD151|977	5000.0	CD151|977	3614.4706
CD160|11126	35.5859	CD160|11126	41.7993
CD163L1|283316	135.8735	CD163L1|283316	250.1591
CD163|9332	980.5895	CD163|9332	736.2614
lowly_expressed	lowly_expressed	CD164L2|388611	18.4596
CD164|8763	11516.8943	CD164|8763	14602.1642
CD180|4064	105.3199	CD180|4064	86.1447
CD1C|911	56.4342	CD1C|911	42.8602
CD1D|912	42.775	CD1D|912	33.7365
CD1E|913	12.2214	CD1E|913	12.3064
CD200R1|131450	27.3185	CD200R1|131450	51.5595
CD200|4345	198.05900000000003	CD200|4345	609.3783
CD207|50489	12.5809	CD207|50489	17.3987
CD209|30835	392.8828	CD209|30835	421.81199999999995
CD226|10666	52.1208	CD226|10666	60.471000000000004
CD22|933	102.4443	CD22|933	128.1562
CD244|51744	15.0971	CD244|51744	26.098000000000003
CD247|919	134.0762	CD247|919	40.1018
CD248|57124	676.8512	CD248|57124	869.722
CD24|100133941	17273.5442	CD24|100133941	11618.502
CD274|29126	51.0424	CD274|29126	36.9192
CD276|80381	2999.2811	CD276|80381	1342.0327
CD27|939	80.4134	CD27|939	109.5374
CD28|940	161.3947	CD28|940	82.5377
CD2AP|23607	2678.289	CD2AP|23607	3218.5445
CD2BP2|10421	1659.2379999999998	CD2BP2|10421	1038.6166
CD2|914	265.9957	CD2|914	195.4169
CD300A|11314	191.5888	CD300A|11314	116.6985
CD300C|10871	37.7426	CD300C|10871	12.7307
CD300E|342510	30.5536	lowly_expressed	lowly_expressed
CD300LB|124599	42.0561	CD300LB|124599	22.0666
CD300LF|146722	29.4752	CD300LF|146722	13.1551
CD300LG|146894	34.867	CD300LG|146894	544.4515
CD302|9936	1094.4572	CD302|9936	2432.3679
CD320|51293	387.8505	CD320|51293	299.809
CD33|945	38.821	CD33|945	50.2864
CD34|947	1510.0647	CD34|947	2147.0401
CD36|948	815.9597	CD36|948	16300.2334
CD37|951	237.2394	CD37|951	109.2722
CD38|952	37.0237	CD38|952	85.0838
CD3D|915	102.4443	CD3D|915	77.4454
CD3EAP|10849	804.6729	CD3EAP|10849	480.3352
CD3E|916	282.89	CD3E|916	185.0202
CD3G|917	53.918	CD3G|917	51.9839
CD40LG|959	28.3968	CD40LG|959	22.491
CD40|958	147.0165	CD40|958	176.533
CD44|960	10657.0812	CD44|960	6403.7768
CD46|4179	11927.0309	CD46|4179	10266.9213
CD47|961	1985.9813	CD47|961	3537.0252
CD48|962	297.9871	CD48|962	197.7509
CD4|920	1152.4083	CD4|920	622.5334
CD52|1043	228.2531	CD52|1043	158.0734
CD53|963	804.4572	CD53|963	478.0395
CD55|1604	1081.9554	CD55|1604	1235.731
CD58|965	128.6844	CD58|965	180.9888
CD59|966	11735.8016	CD59|966	11458.518999999998
CD5|921	319.5543	CD5|921	93.7832
CD63|967	8446.8009	CD63|967	6816.4651
CD68|968	2051.0424	CD68|968	1100.1485
CD69|969	149.5327	CD69|969	270.5283
CD6|923	225.3774	CD6|923	93.9953
CD72|971	63.6233	CD72|971	40.314
CD74|972	21410.496	CD74|972	13385.3172
CD79A|973	42.775	CD79A|973	157.4369
CD79B|974	65.78	CD79B|974	39.6775
CD7|924	94.1769	CD7|924	21.8544
CD80|941	38.4615	CD80|941	15.0647
CD81|975	7815.9597	CD81|975	6753.6601
CD82|3732	928.1093	CD82|3732	893.9105
CD83|9308	237.9583	CD83|9308	256.7367
CD84|8832	156.7218	CD84|8832	109.9088
CD86|942	299.7843	CD86|942	127.944
CD8A|925	405.8231	CD8A|925	338.0013
CD8B|926	78.3609	CD8B|926	70.8678
CD93|22918	4926.6715	CD93|22918	2884.1502
CD96|10225	208.1237	CD96|10225	172.0772
CD97|976	462.2574	CD97|976	369.4038
CD99L2|83692	953.6305	CD99L2|83692	1092.2979
CD99|4267	813.803	CD99|4267	1686.3993
CD9|928	6350.4673	CD9|928	4355.8243
CDADC1|81602	100.2876	CDADC1|81602	183.1105
CDAN1|146059	286.1251	CDAN1|146059	345.8519
CDA|978	13.2998	CDA|978	6.7897
CDC123|8872	1078.6664	CDC123|8872	951.4662
CDC14A|8556	181.1646	CDC14A|8556	421.1755
CDC14B|8555	265.9957	CDC14B|8555	681.5192
CDC14C|168448	5.3918	CDC14C|168448	10.3968
CDC16|8881	1189.0726	CDC16|8881	1572.247
CDC20|991	451.4738	CDC20|991	122.8517
CDC23|8697	919.8418	CDC23|8697	1096.1171
CDC25A|993	146.6571	CDC25A|993	55.1666
CDC25B|994	873.4723	CDC25B|994	425.8434
CDC25C|995	67.5773	CDC25C|995	25.6737
CDC26|246184	128.7635	CDC26|246184	102.9238
CDC27|996	2664.6298	CDC27|996	2294.7167
CDC34|997	452.5521	CDC34|997	274.3475
CDC37L1|55664	493.8893	CDC37L1|55664	514.3221
CDC37|11140	2087.3472	CDC37|11140	1425.8434
CDC40|51362	639.1086	CDC40|51362	984.7231
CDC42BPA|8476	3135.514	CDC42BPA|8476	2622.7456
CDC42BPB|9578	2751.6175	CDC42BPB|9578	2948.6527
CDC42BPG|55561	322.4299	CDC42BPG|55561	370.6769
CDC42EP1|11135	978.4328	CDC42EP1|11135	607.8931
CDC42EP2|10435	248.023	CDC42EP2|10435	402.7159
CDC42EP3|10602	507.5485	CDC42EP3|10602	1116.6985
CDC42EP4|23580	4745.5068	CDC42EP4|23580	2358.5826
CDC42EP5|148170	38.821	CDC42EP5|148170	32.8878
CDC42SE1|56882	4262.2466	CDC42SE1|56882	3491.3919
CDC42SE2|56990	1845.0755	CDC42SE2|56990	1865.2663
CDC42|998	6910.1366	CDC42|998	6549.755999999999
CDC45|8318	187.2753	CDC45|8318	43.9211
CDC5L|988	1276.4198	CDC5L|988	1469.9767
CDC6|990	1322.7894	CDC6|990	196.0535
CDC73|79577	1746.9446	CDC73|79577	1687.0359
CDC7|8317	251.2581	CDC7|8317	140.6747
CDCA2|157313	70.8124	CDCA2|157313	59.6223
CDCA3|83461	162.3904	CDCA3|83461	67.1207
CDCA4|55038	244.7879	CDCA4|55038	217.6957
CDCA5|113130	451.8332	CDCA5|113130	126.2466
CDCA7L|55536	341.0748	CDCA7L|55536	753.8001
CDCA7|83879	199.1373	CDCA7|83879	172.7138
CDCA8|55143	373.4723	CDCA8|55143	121.7908
CDCP1|64866	820.6326	CDCP1|64866	667.5154
CDH11|1009	1136.9518	CDH11|1009	988.5423
lowly_expressed	lowly_expressed	CDH12|1010	29.4929
CDH13|1012	277.1387	CDH13|1012	488.6484
CDH1|999	11833.9324	CDH1|999	10896.0323
lowly_expressed	lowly_expressed	CDH22|64405	6.3654
CDH23|64072	45.2912	CDH23|64072	135.3703
CDH24|64403	90.5823	CDH24|64403	95.6928
CDH26|60437	12.2214	CDH26|60437	14.216
CDH2|1000	42.775	CDH2|1000	22.2788
CDH3|1001	375.2696	CDH3|1001	1271.377
lowly_expressed	lowly_expressed	CDH4|1002	6.5776
CDH5|1003	1470.8843	CDH5|1003	1359.2192
CDH6|1004	56.0748	CDH6|1004	56.0153
CDHR3|222256	87.5809	CDHR3|222256	196.4566
CDIPT|10423	1491.0137	CDIPT|10423	1151.2837
CDK10|8558	271.028	CDK10|8558	329.7263
CDK11A|728642	391.9806	CDK11A|728642	240.6429
CDK11B|984	660.1402	CDK11B|984	491.3749
CDK12|51755	3209.202	CDK12|51755	2260.3437
CDK13|8621	1430.9849	CDK13|8621	1589.2213
CDK14|5218	1150.2516	CDK14|5218	1004.4558
CDK16|5127	2185.4781	CDK16|5127	1291.7462
CDK17|5128	888.2099	CDK17|5128	1198.3874
CDK18|5129	294.752	CDK18|5129	173.9868
CDK19|23097	737.0489	CDK19|23097	1776.8852
CDK1|983	764.9173	CDK1|983	338.6378
CDK20|23552	198.7779	CDK20|23552	193.7195
CDK2AP1|8099	1439.9712	CDK2AP1|8099	1517.2926
CDK2AP2|10263	573.3285	CDK2AP2|10263	302.5674
CDK2|1017	974.4788	CDK2|1017	713.9826
CDK3|1018	65.7153	CDK3|1018	110.3798
CDK4|1019	1951.1143	CDK4|1019	1363.2506
CDK5R1|8851	162.1136	CDK5R1|8851	106.7261
CDK5RAP1|51654	525.1618	CDK5RAP1|51654	572.0348
CDK5RAP2|55755	869.1589	CDK5RAP2|55755	1461.4895
CDK5RAP3|80279	1703.4508	CDK5RAP3|80279	1931.0418
CDK5|1020	206.6858	CDK5|1020	153.1933
CDK6|1021	345.0755	CDK6|1021	1246.5521
CDK7|1022	501.7973	CDK7|1022	603.0129
CDK8|1024	148.8138	CDK8|1024	197.7509
CDK9|1025	1047.4479	CDK9|1025	911.7335
CDKAL1|54901	237.5988	CDKAL1|54901	325.2705
CDKL1|8814	12.9403	CDKL1|8814	26.7346
CDKL2|8999	19.4105	CDKL2|8999	31.6147
CDKL3|51265	48.6556	CDKL3|51265	64.8419
CDKL5|6792	119.6981	CDKL5|6792	146.8279
CDKN1A|1026	3187.6348	CDKN1A|1026	2775.3024
CDKN1B|1027	1623.652	CDKN1B|1027	2467.0062
CDKN1C|1028	224.2991	CDKN1C|1028	372.5865
CDKN2AIPNL|91368	391.8045	CDKN2AIPNL|91368	305.3257
CDKN2AIP|55602	669.6621	CDKN2AIP|55602	716.5288
CDKN2A|1029	50.683	CDKN2A|1029	29.2807
CDKN2B|1030	172.1783	CDKN2B|1030	488.4362
CDKN2C|1031	184.0403	CDKN2C|1031	481.2222
CDKN2D|1032	229.3314	CDKN2D|1032	110.1209
CDKN3|1033	116.463	CDKN3|1033	51.1352
CDNF|441549	45.6506	CDNF|441549	96.7537
CDO1|1036	33.0697	CDO1|1036	264.7995
CDON|50937	1016.5349	CDON|50937	1219.6053
lowly_expressed	lowly_expressed	CDR1|1038	36.0365
CDR2L|30850	705.248	CDR2L|30850	482.283
CDR2|1039	1076.5636	CDR2|1039	855.2939
lowly_expressed	lowly_expressed	CDRT1|374286	5.644
CDRT4|284040	247.8684	CDRT4|284040	346.2062
CDS1|1040	1680.4457	CDS1|1040	1533.6304
CDS2|8760	875.2696	CDS2|8760	974.3263
CDSN|1041	60.3882	CDSN|1041	19.5205
CDT1|81620	138.3896	CDT1|81620	48.1647
CDV3|55573	6077.2825	CDV3|55573	4562.6989
CDYL2|124359	152.7678	CDYL2|124359	86.9934
CDYL|9425	928.1093	CDYL|9425	802.0369
CEACAM19|56971	54.637	CEACAM19|56971	51.3473
CEACAM1|634	808.0518	CEACAM1|634	883.5137
CEACAM21|90273	6.8296	CEACAM21|90273	10.609000000000002
CEACAM5|1048	39.5399	CEACAM5|1048	19.5205
CEACAM6|4680	203.8102	CEACAM6|4680	145.767
CEACAM7|1087	5.0324	lowly_expressed	lowly_expressed
CEBPA|1050	215.3127	CEBPA|1050	671.3346
CEBPB|1051	1686.9159	CEBPB|1051	786.1235
CEBPD|1052	415.1689	CEBPD|1052	775.5145
CEBPG|1054	1503.954	CEBPG|1054	1516.0195
CEBPZ|10153	1682.6024	CEBPZ|10153	1626.3526
CECR1|51816	854.4213	CECR1|51816	784.4261
CECR2|27443	340.0431	CECR2|27443	88.6909
CECR5|27440	515.4565	CECR5|27440	287.0783
CECR6|27439	16.5349	CECR6|27439	25.2493
CECR7|100130418	13.6592	CECR7|100130418	108.6357
CELF1|10658	2694.4644	CELF1|10658	2251.6444
CELF2|10659	702.0129	CELF2|10659	1412.0518
CELF4|56853	8.9863	CELF4|56853	22.491
lowly_expressed	lowly_expressed	CELF5|60680	30.3416
CELF6|60677	13.0302	CELF6|60677	122.9429
CELSR1|9620	9012.2214	CELSR1|9620	2995.9686
CELSR2|1952	4407.9799	CELSR2|1952	2957.7764
CELSR3|1951	44.2128	CELSR3|1951	56.5627
CEL|1056	8.2674	CEL|1056	20.3692
CEMP1|752014	85.0467	CEMP1|752014	83.0702
CENPA|1058	94.8958	CENPA|1058	25.6737
CENPBD1|92806	340.76199999999994	CENPBD1|92806	259.9194
CENPB|1059	2029.8347	CENPB|1059	1014.6404
CENPC1|1060	416.9662	CENPC1|1060	819.4356
CENPE|1062	571.8907	CENPE|1062	233.8213
CENPF|1063	2912.6528	CENPF|1063	981.5404
CENPH|64946	267.074	CENPH|64946	204.5406
CENPI|2491	72.6096	CENPI|2491	28.8564
CENPJ|55835	161.0352	CENPJ|55835	335.4551
CENPK|64105	91.6607	CENPK|64105	65.5633
CENPL|91687	261.6822	CENPL|91687	157.2247
CENPM|79019	132.2789	CENPM|79019	33.7365
CENPN|55839	262.1603	CENPN|55839	158.4532
CENPO|79172	155.2121	CENPO|79172	92.3552
CENPP|401541	95.115	CENPP|401541	73.6325
CENPQ|55166	108.9145	CENPQ|55166	148.3132
CENPT|80152	176.1323	CENPT|80152	358.3705
CENPV|201161	78.3609	CENPV|201161	109.4844
CENPW|387103	114.6657	CENPW|387103	68.5338
CEP110|11064	477.3544	CEP110|11064	715.0435
CEP120|153241	695.1833	CEP120|153241	1011.882
CEP135|9662	364.1265	CEP135|9662	391.6826
CEP152|22995	66.1395	CEP152|22995	115.8498
CEP164|22897	521.5672	CEP164|22897	469.9767
lowly_expressed	lowly_expressed	CEP170L|645455	6.1532
CEP170|9859	1739.3961	CEP170|9859	1536.3887
CEP192|55125	519.0509999999999	CEP192|55125	1402.0794
CEP250|11190	1037.3832	CEP250|11190	586.8873
