gene_id	TCGA-E9-A1ND-01A-11R-A144-07	gene_id	TCGA-E9-A1ND-11A-43R-A144-07
ACAD11|84129	221.3882	ACAD11|84129	569.5758
ACAD8|27034	812.0899	ACAD8|27034	630.55
ACAD9|28976	775.1036	ACAD9|28976	1195.2866
ACADL|33	5.997	ACADL|33	177.5993
ACADM|34	523.7355	ACADM|34	820.7312
ACADSB|36	176.4109	ACADSB|36	722.4951
ACADS|35	218.8895	ACADS|35	1474.5094
ACADVL|37	2968.5009	ACADVL|37	11630.0806
ACAN|176	107.9455	ACAN|176	15.9694
ACAP1|9744	318.3392	ACAP1|9744	164.0495
ACAP2|23527	1148.9198	ACAP2|23527	835.2489
ACAP3|116983	542.2762	ACAP3|116983	948.0462
ACAT1|38	889.5508	ACAT1|38	2625.2752
ACAT2|39	106.861	ACAT2|39	387.8729
ACBD3|64746	1219.3842	ACBD3|64746	790.7281
ACBD4|79777	142.4281	ACBD4|79777	425.3672
ACBD5|91452	619.1873	ACBD5|91452	510.5374
ACBD6|84320	531.2317	ACBD6|84320	430.2064
ACBD7|414149	52.9732	ACBD7|414149	39.6816
lowly_expressed	lowly_expressed	ACCN1|40	15.9694
ACCN2|41	18.9904	ACCN2|41	239.5412
ACCN3|9311	5.997	ACCN3|9311	17.4212
ACCS|84680	182.9076	ACCS|84680	547.7994
ACD|65057	274.8612	ACD|65057	469.4041
ACE2|59272	765.6134	ACE2|59272	19.8408
ACER2|340485	21.9889	ACER2|340485	47.9082
ACER3|55331	477.259	ACER3|55331	448.1115
ACE|1636	606.1939	ACE|1636	2343.1489
ACHE|43	92.4533	ACHE|43	19.3569
ACIN1|22985	2910.5302	ACIN1|22985	2989.6683
ACLY|47	3027.4711	ACLY|47	2170.3888
ACN9|57001	218.8895	ACN9|57001	127.2714
ACO1|48	1209.889	ACO1|48	3188.0762
ACO2|50	1844.0488	ACO2|50	3461.2887
ACOT11|26027	269.8637	ACOT11|26027	99.7072
ACOT13|55856	911.7346	ACOT13|55856	704.769
ACOT1|641371	506.2443	ACOT1|641371	1309.976
ACOT2|10965	263.367	ACOT2|10965	648.939
ACOT4|122970	93.9526	ACOT4|122970	203.2471
lowly_expressed	lowly_expressed	ACOT6|641372	6.291
ACOT7|11332	516.2393	ACOT7|11332	448.5954
ACOT8|10005	362.362	ACOT8|10005	315.4008
ACOT9|23597	712.1404	ACOT9|23597	742.8198
ACOX1|51	1784.099	ACOX1|51	1827.7723
ACOX2|8309	6.9965	ACOX2|8309	400.6872
ACOX3|8310	587.2035	ACOX3|8310	597.6433
ACP1|52	1095.9465	ACP1|52	1148.8301
ACP2|53	1838.5715	ACP2|53	2093.9292
ACP5|54	790.6007	ACP5|54	11172.3003
ACP6|51205	401.2973	ACP6|51205	223.0879
ACPL2|92370	211.3932	ACPL2|92370	241.9609
ACPP|55	83.4579	ACPP|55	30.4871
ACRBP|84519	23.9879	ACRBP|84519	130.1749
ACRC|93953	15.4922	ACRC|93953	36.778
lowly_expressed	lowly_expressed	ACSBG1|23205	19.3569
ACSF2|80221	1251.3681	ACSF2|80221	1462.4114
ACSF3|197322	355.3206	ACSF3|197322	489.7288
ACSL1|2180	4431.762	ACSL1|2180	8017.1308
ACSL3|2181	2874.5484	ACSL3|2181	1786.6389
ACSL4|2182	2283.3469	ACSL4|2182	1234.0003
ACSL5|51703	1481.252	ACSL5|51703	953.8097
ACSL6|23305	6.4967	ACSL6|23305	7.2588
lowly_expressed	lowly_expressed	ACSM1|116285	36.2941
ACSM3|6296	46.9313	ACSM3|6296	100.8009
ACSM5|54988	6.9965	ACSM5|54988	615.5484
ACSS1|84532	483.256	ACSS1|84532	1046.2387
ACSS2|55902	855.0682	ACSS2|55902	2731.738
ACSS3|79611	14.4927	ACSS3|79611	407.946
lowly_expressed	lowly_expressed	ACTA1|58	25.1639
ACTA2|59	2092.3034	ACTA2|59	32977.4783
ACTBL2|345651	13.9929	lowly_expressed	lowly_expressed
ACTB|60	127488.6182	ACTB|60	130622.5653
lowly_expressed	lowly_expressed	ACTC1|70	56.6188
ACTG1|71	61082.6533	ACTG1|71	70211.7157
ACTG2|72	22.4886	ACTG2|72	11365.869
ACTL6A|86	956.517	ACTL6A|86	602.9664
ACTL8|81569	8.9955	lowly_expressed	lowly_expressed
ACTN1|87	8341.7874	ACTN1|87	8476.3725
ACTN2|88	25.9869	ACTN2|88	6.291
ACTN4|81	8172.0631	ACTN4|81	10758.1021
ACTR10|55860	1068.4604	ACTR10|55860	1187.5439
