gene_id	TCGA-BH-A0AU-01A-11R-A12P-07	gene_id	TCGA-BH-A0AU-11A-11R-A12P-07
ACADS|35	337.9964	ACADS|35	461.8648
ACADVL|37	3541.3583	ACADVL|37	6601.8547
ACAN|176	27.9783	lowly_expressed	lowly_expressed
ACAP1|9744	107.4007	ACAP1|9744	132.1346
ACAP2|23527	1553.7004	ACAP2|23527	1323.7701
ACAP3|116983	387.6354	ACAP3|116983	519.8182
ACAT1|38	595.6679	ACAT1|38	993.6357
ACAT2|39	321.6471	ACAT2|39	268.3018
ACBD3|64746	2391.6968	ACBD3|64746	1337.5088
ACBD4|79777	291.5162	ACBD4|79777	400.0404
ACBD5|91452	718.8628	ACBD5|91452	728.1544
ACBD6|84320	356.4982	ACBD6|84320	341.0445
ACBD7|414149	35.6498	ACBD7|414149	90.1101
ACCN1|40	155.6859	lowly_expressed	lowly_expressed
ACCN2|41	37.9061	ACCN2|41	288.1099
lowly_expressed	lowly_expressed	ACCN3|9311	19.3959
ACCS|84680	161.1011	ACCS|84680	857.0563
ACD|65057	287.4549	ACD|65057	453.7832
lowly_expressed	lowly_expressed	ACE2|59272	23.8408
ACER2|340485	92.0578	ACER2|340485	185.8774
ACER3|55331	417.4188	ACER3|55331	277.1997
ACE|1636	329.8736	ACE|1636	362.8649
ACHE|43	32.491	ACHE|43	26.6694
ACIN1|22985	2307.7617	ACIN1|22985	4161.2284
ACLY|47	7242.3285	ACLY|47	3177.6947
ACMSD|130013	5.8664	lowly_expressed	lowly_expressed
ACN9|57001	138.0866	ACN9|57001	126.0733
ACO1|48	1422.3827	ACO1|48	998.0806
ACO2|50	5361.7554	ACO2|50	2148.9363
ACOT11|26027	56.4079	ACOT11|26027	41.9194
ACOT13|55856	636.5523	ACOT13|55856	465.6713
ACOT1|641371	487.3646	ACOT1|641371	476.4118
ACOT2|10965	224.278	ACOT2|10965	311.9507
ACOT4|122970	310.4693	ACOT4|122970	124.457
ACOT6|641372	7.2202	lowly_expressed	lowly_expressed
ACOT7|11332	709.3863	ACOT7|11332	183.4529
ACOT8|10005	467.1029	ACOT8|10005	235.648
ACOT9|23597	229.2419	ACOT9|23597	288.1099
ACOX1|51	2026.1733	ACOX1|51	1474.4924
ACOX2|8309	45.5776	ACOX2|8309	226.6896
