gene_id	TCGA-BH-A0E0-01A-11R-A056-07	gene_id	TCGA-BH-A0E0-11A-13R-A089-07
ACAD11|84129	114.5643	ACAD11|84129	361.8625
ACAD8|27034	652.0414	ACAD8|27034	767.6275
ACAD9|28976	2972.4741	ACAD9|28976	1059.4235
lowly_expressed	lowly_expressed	ACADL|33	19.5122
ACADM|34	834.2474	ACADM|34	1025.7206
ACADSB|36	538.0865	ACADSB|36	1575.6098
ACADS|35	413.7721	ACADS|35	1183.1486
ACADVL|37	4069.4394	ACADVL|37	7175.9911
ACAN|176	1096.8921	lowly_expressed	lowly_expressed
ACAP1|9744	71.298	ACAP1|9744	28.8248
ACAP2|23527	1396.0999	ACAP2|23527	541.4634
ACAP3|116983	766.039	ACAP3|116983	413.7472
ACAT1|38	4106.6423	ACAT1|38	1513.082
ACAT2|39	1852.663	ACAT2|39	509.694
ACBD3|64746	917.1237	ACBD3|64746	780.0443
ACBD4|79777	57.8915	ACBD4|79777	348.5588
ACBD5|91452	2218.769	ACBD5|91452	570.2882
ACBD6|84320	1935.4052	ACBD6|84320	520.1774
ACBD7|414149	98.7203	ACBD7|414149	35.4767
lowly_expressed	lowly_expressed	ACCN1|40	8.4257
ACCN2|41	35.9537	ACCN2|41	66.0754
lowly_expressed	lowly_expressed	ACCN3|9311	6.6519
ACCS|84680	216.9409	ACCS|84680	363.1929
ACD|65057	340.0366	ACD|65057	423.9468
ACE2|59272	25.5941	lowly_expressed	lowly_expressed
ACER1|125981	262.6447	lowly_expressed	lowly_expressed
ACER2|340485	40.8288	ACER2|340485	104.2129
ACER3|55331	991.4686	ACER3|55331	188.9135
ACE|1636	146.2523	lowly_expressed	lowly_expressed
ACHE|43	24.9848	ACHE|43	13.3038
ACIN1|22985	2207.8001	ACIN1|22985	3404.878
ACLY|47	8028.0317	ACLY|47	4179.6009
lowly_expressed	lowly_expressed	ACMSD|130013	8.4257
ACN9|57001	194.3937	ACN9|57001	189.357
ACO1|48	1116.3924	ACO1|48	1519.2905
ACO2|50	2865.0518	ACO2|50	3274.102
ACOT11|26027	1294.2352	ACOT11|26027	22.6164
ACOT13|55856	982.8641	ACOT13|55856	720.8692
ACOT1|641371	611.2127	ACOT1|641371	764.9667
ACOT2|10965	244.9726	ACOT2|10965	550.3326
ACOT4|122970	118.2206	ACOT4|122970	224.8337
ACOT7|11332	1697.1359	ACOT7|11332	656.7627
ACOT8|10005	567.2882	ACOT8|10005	310.4568
ACOT9|23597	96.2828	ACOT9|23597	404.4346
ACOX1|51	4464.351	ACOX1|51	1254.6519
ACOX2|8309	26.2035	ACOX2|8309	215.9645
ACOX3|8310	1084.0951	ACOX3|8310	1096.6741
ACP1|52	4639.8537	ACP1|52	1507.3171
ACP2|53	1388.7873	ACP2|53	1074.5011
ACP5|54	1435.1005	ACP5|54	897.561
ACP6|51205	1093.2358	ACP6|51205	423.0599
ACPL2|92370	458.8665	ACPL2|92370	972.5055
ACPP|55	7.3126	ACPP|55	55.4324
lowly_expressed	lowly_expressed	ACRBP|84519	10.1996
lowly_expressed	lowly_expressed	ACRC|93953	7.5388
ACSBG1|23205	1482.6325	ACSBG1|23205	5.3215
ACSF2|80221	821.4503	ACSF2|80221	2058.0931
ACSF3|197322	154.1743	ACSF3|197322	493.1264
ACSL1|2180	4396.7093	ACSL1|2180	4442.1286
ACSL3|2181	2547.2273	ACSL3|2181	6554.7672
ACSL4|2182	192.5655	ACSL4|2182	741.02
ACSL5|51703	3059.1103	ACSL5|51703	439.9113
lowly_expressed	lowly_expressed	ACSL6|23305	21.286
lowly_expressed	lowly_expressed	ACSM1|116285	45.6763
ACSM3|6296	485.0396	ACSM3|6296	362.6652
ACSM5|54988	9.1408	ACSM5|54988	81.153
ACSS1|84532	1688.6045	ACSS1|84532	576.4967
ACSS2|55902	4715.4174	ACSS2|55902	2063.8581
ACSS3|79611	76.7824	ACSS3|79611	374.2794
ACTA1|58	74.3449	ACTA1|58	6.6519
ACTA2|59	2213.3455	ACTA2|59	29278.7761
ACTB|60	134583.7904	ACTB|60	74606.6519
ACTC1|70	5.4845	lowly_expressed	lowly_expressed
ACTG1|71	73304.6923	ACTG1|71	77352.1064
ACTG2|72	17.6722	ACTG2|72	5029.2683
ACTL6A|86	1429.0067	ACTL6A|86	957.8714
ACTL8|81569	58.5009	lowly_expressed	lowly_expressed
ACTN1|87	2973.7965	ACTN1|87	9290.9091
ACTN2|88	19.5003	lowly_expressed	lowly_expressed
ACTN4|81	13927.8489	ACTN4|81	11587.4767
ACTR10|55860	977.4528	ACTR10|55860	1044.3459
ACTR1A|10121	5940.8897	ACTR1A|10121	3150.7761
ACTR1B|10120	539.9147	ACTR1B|10120	1773.8359
ACTR2|10097	7625.2285	ACTR2|10097	3235.4767
ACTR3B|57180	1275.4418	ACTR3B|57180	241.2417
ACTR3C|653857	73.1261	ACTR3C|653857	28.3814
ACTR3|10096	3648.9945	ACTR3|10096	2336.1419
ACTR5|79913	340.6459	ACTR5|79913	182.7051
ACTR6|64431	1026.8129	ACTR6|64431	487.3614
ACTR8|93973	357.7087	ACTR8|93973	422.1729
ACVR1B|91	461.3041	ACVR1B|91	1031.4856
ACVR1C|130399	41.4381	ACVR1C|130399	463.8581
ACVR1|90	371.1152	ACVR1|90	1141.4634
ACVR2A|92	307.1298	ACVR2A|92	567.6275
ACVR2B|93	460.6947	ACVR2B|93	280.2661
ACVRL1|94	178.5497	ACVRL1|94	391.1308
ACY1|95	708.7142	ACY1|95	1254.102
lowly_expressed	lowly_expressed	ACY3|91703	11.0865
ACYP1|97	62.7666	ACYP1|97	48.7805
ACYP2|98	89.5795	ACYP2|98	211.0865
ADAL|161823	104.2048	ADAL|161823	151.2195
ADAM10|102	689.2139	ADAM10|102	1462.9712
