gene_id	TCGA-BH-A1EU-01A-11R-A137-07	gene_id	TCGA-BH-A1EU-11A-23R-A137-07
ACAD11|84129	565.2421	ACAD11|84129	810.5597
ACAD8|27034	463.5078	ACAD8|27034	659.9016
ACAD9|28976	751.9583	ACAD9|28976	726.2915
ACADL|33	23.7432	ACADL|33	116.2362
ACADM|34	1286.0535	ACADM|34	1548.5855
ACADSB|36	1694.6423	ACADSB|36	2618.0812
ACADS|35	216.9918	ACADS|35	338.8684
ACADVL|37	2842.3599	ACADVL|37	4666.6667
ACAN|176	38.8149	ACAN|176	15.9902
ACAP1|9744	240.5285	ACAP1|9744	54.7355
ACAP2|23527	2723.0309	ACAP2|23527	2060.2706
ACAP3|116983	230.8806	ACAP3|116983	414.5141
ACAT1|38	945.5972	ACAT1|38	1318.5732
ACAT2|39	283.1114	ACAT2|39	305.8487
ACBD3|64746	2677.1962	ACBD3|64746	1436.6544
ACBD4|79777	126.9743	ACBD4|79777	248.4625
ACBD5|91452	808.2998	ACBD5|91452	784.1328
ACBD6|84320	363.3736	ACBD6|84320	238.6224
ACBD7|414149	17.9622	ACBD7|414149	30.1353
ACCN1|40	18.1687	lowly_expressed	lowly_expressed
ACCN2|41	33.6533	ACCN2|41	49.2005
ACCN3|9311	27.4595	ACCN3|9311	14.7601
ACCN4|55515	5.368	lowly_expressed	lowly_expressed
ACCS|84680	317.3325	ACCS|84680	566.4207
ACD|65057	208.9398	ACD|65057	308.7331
lowly_expressed	lowly_expressed	ACE2|59272	33.2103
ACER2|340485	325.7975	ACER2|340485	217.7122
ACER3|55331	529.5757	ACER3|55331	447.1095
ACE|1636	504.1809	ACE|1636	456.3346
ACHE|43	16.3105	ACHE|43	27.0603
ACIN1|22985	2709.8173	ACIN1|22985	2755.2276
ACLY|47	2543.6152	ACLY|47	2295.818
ACMSD|130013	16.9299	lowly_expressed	lowly_expressed
ACN9|57001	100.1342	ACN9|57001	134.0713
ACO1|48	2422.2153	ACO1|48	2195.572
ACO2|50	1437.0744	ACO2|50	1604.2989
ACOT11|26027	16.7647	ACOT11|26027	67.8229
ACOT13|55856	347.0589	ACOT13|55856	526.8573
ACOT1|641371	475.4826	ACOT1|641371	416.9742
ACOT2|10965	277.0724	ACOT2|10965	206.0271
ACOT4|122970	203.5718	ACOT4|122970	83.6408
ACOT7|11332	124.4967	ACOT7|11332	142.0664
ACOT8|10005	287.5896	ACOT8|10005	177.3493
ACOT9|23597	376.7936	ACOT9|23597	650.6765
ACOX1|51	1741.8664	ACOX1|51	2239.2374
ACOX2|8309	754.4131	ACOX2|8309	258.9176
ACOX3|8310	366.0576	ACOX3|8310	567.0357
ACP1|52	1280.8919	ACP1|52	1266.9127
ACP2|53	1373.387	ACP2|53	705.4121
ACP5|54	2203.1589	ACP5|54	661.1316
ACP6|51205	393.3106	ACP6|51205	407.7491
ACPL2|92370	416.4344	ACPL2|92370	558.4256
ACPP|55	35.305	ACPP|55	48.5855
ACRBP|84519	28.4918	ACRBP|84519	9.8401
ACRC|93953	37.5761	ACRC|93953	31.3653
lowly_expressed	lowly_expressed	ACSBG1|23205	15.3752
lowly_expressed	lowly_expressed	ACSBG2|81616	8.6101
ACSF2|80221	414.7827	ACSF2|80221	651.2915
ACSF3|197322	178.7963	ACSF3|197322	206.6421
ACSL1|2180	4483.9476	ACSL1|2180	7294.5879
ACSL3|2181	3649.0141	ACSL3|2181	3052.8905
ACSL4|2182	1601.5278	ACSL4|2182	2556.5806
ACSL5|51703	1157.221	ACSL5|51703	812.4231
ACSL6|23305	36.5438	ACSL6|23305	13.5301
ACSM1|116285	41.7054	ACSM1|116285	166.0517
ACSM3|6296	77.1673	ACSM3|6296	110.7749
ACSM5|54988	120.574	ACSM5|54988	127.3063
ACSS1|84532	1040.5698	ACSS1|84532	687.5769
ACSS2|55902	1026.9433	ACSS2|55902	1410.8241
