gene_id	TCGA-E2-A15K-06A-11R-A12P-07	gene_id	TCGA-E2-A15K-11A-13R-A12P-07
C1orf97|84791	477.6019	C1orf97|84791	90.9966
C1orf9|51430	2896.2614	C1orf9|51430	615.3105
lowly_expressed	lowly_expressed	C20orf103|24141	54.8869
C20orf108|116151	1602.223	C20orf108|116151	3260.9533
C20orf111|51526	483.6645	C20orf111|51526	641.7909999999999
C20orf112|140688	1081.5089	C20orf112|140688	890.7078
C20orf114|92747	1046.4803	C20orf114|92747	183.9191
C20orf117|140710	474.9074	C20orf117|140710	285.0265
C20orf118|140711	6.8946	C20orf118|140711	13.5147
C20orf11|54994	1362.4116	C20orf11|54994	1629.7545
C20orf12|55184	216.2344	C20orf12|55184	86.6635
C20orf132|140699	27.9589	C20orf132|140699	43.3414
C20orf134|170487	82.8562	C20orf134|170487	74.6269
C20orf135|140701	38.7336	C20orf135|140701	143.4762
C20orf151|140893	197.3729	C20orf151|140893	137.2171
C20orf160|140706	20.5456	C20orf160|140706	759.2682
C20orf177|63939	212.1927	C20orf177|63939	92.441
C20orf194|25943	298.41700000000003	C20orf194|25943	726.0472
C20orf195|79025	11.1149	C20orf195|79025	7.222
C20orf196|149840	90.2661	C20orf196|149840	98.7
C20orf199|441951	585.7191	C20orf199|441951	2347.6168
lowly_expressed	lowly_expressed	C20orf202|400831	5.7776
lowly_expressed	lowly_expressed	C20orf203|284805	6.7405
C20orf20|55257	281.2395	C20orf20|55257	393.3558
C20orf24|55969	1065.7999	C20orf24|55969	1049.4704
C20orf26|26074	51.1957	C20orf26|26074	11.0737
C20orf27|54976	432.13199999999995	C20orf27|54976	1154.0684
C20orf29|55317	232.4015	C20orf29|55317	282.6192
C20orf30|29058	1793.1964	C20orf30|29058	2008.1849
C20orf3|57136	4782.0815	C20orf3|57136	3224.8435
C20orf43|51507	1718.0869	C20orf43|51507	2818.9697
lowly_expressed	lowly_expressed	C20orf46|55321	43.8132
C20orf4|25980	1068.71	C20orf4|25980	1315.3587
C20orf54|113278	1150.2189	C20orf54|113278	365.9124
C20orf72|92667	559.4476	C20orf72|92667	412.1329
C20orf7|79133	103.4018	C20orf7|79133	145.40200000000002
C20orf94|128710	42.7753	lowly_expressed	lowly_expressed
C20orf96|140680	463.4557	C20orf96|140680	226.7694
C21orf119|84996	84.5402	C21orf119|84996	100.1444
C21orf122|728039	5.388999999999999	C21orf122|728039	60.183
C21orf125|284836	15.1566	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C21orf130|284835	12.5181
lowly_expressed	lowly_expressed	C21orf15|54094	19.74
C21orf2|755	377.2314	C21orf2|755	965.8161
C21orf33|8209	1804.3112	C21orf33|8209	2787.6745
lowly_expressed	lowly_expressed	C21orf34|388815	50.0722
C21orf45|54069	234.7592	C21orf45|54069	136.2542
lowly_expressed	lowly_expressed	C21orf49|54067	11.0737
C21orf56|84221	81.5089	C21orf56|84221	280.6933
C21orf57|54059	169.0805	C21orf57|54059	190.6596
C21orf58|54058	177.16400000000002	C21orf58|54058	58.2571
C21orf59|56683	1093.4153	C21orf59|56683	725.7727
C21orf63|59271	432.8057	C21orf63|59271	1012.9995
C21orf67|84536	47.8276	C21orf67|84536	56.8127
C21orf70|85395	67.0259	C21orf70|85395	485.3154
C21orf7|56911	34.0182	C21orf7|56911	106.8849
lowly_expressed	lowly_expressed	C21orf82|114036	12.0366
lowly_expressed	lowly_expressed	C21orf88|114041	6.2589999999999995
C21orf91|54149	152.5766	C21orf91|54149	446.3168
C22orf13|83606	4657.9219	C22orf13|83606	2135.3779
C22orf23|84645	17.8511	C22orf23|84645	60.183
C22orf25|128989	633.5466	C22orf25|128989	616.7549
C22orf26|55267	10.4412	C22orf26|55267	12.0366
C22orf27|150291	153.5871	C22orf27|150291	169.4752
C22orf28|51493	1593.8026	C22orf28|51493	1683.6784
C22orf29|79680	899.6969	C22orf29|79680	755.6042
C22orf30|253143	1535.1970000000001	C22orf30|253143	605.1998
C22orf32|91689	758.1677	C22orf32|91689	1462.2051
C22orf36|388886	467.1607	C22orf36|388886	344.2465
C22orf39|128977	458.4035	C22orf39|128977	781.4155
C22orf40|150383	121.2529	C22orf40|150383	250.8426
C22orf41|644186	13.1357	lowly_expressed	lowly_expressed
C22orf46|79640	664.1967	C22orf46|79640	605.6813
C22orf9|23313	2190.9734	C22orf9|23313	4104.9591
C2CD2L|9854	332.3611	C2CD2L|9854	488.0645
C2CD2|25966	1127.3156	C2CD2|25966	1813.6736
C2CD3|26005	440.5524	C2CD3|26005	408.7626
lowly_expressed	lowly_expressed	C2CD4B|388125	432.8358
lowly_expressed	lowly_expressed	C2CD4C|126567	144.4391
C2CD4D|100191040	11.4517	C2CD4D|100191040	24.5546
C2orf14|100132708	8.0835	lowly_expressed	lowly_expressed
C2orf15|150590	231.3877	C2orf15|150590	42.5806
C2orf16|84226	66.3523	C2orf16|84226	20.7029
C2orf18|54978	1946.4466	C2orf18|54978	2075.1083
C2orf24|27013	1559.4476	C2orf24|27013	2254.6943
C2orf27A|29798	236.4432	C2orf27A|29798	90.0337
C2orf28|51374	2663.0751	C2orf28|51374	3073.688
C2orf29|55571	1201.0778	C2orf29|55571	805.4887
C2orf34|79823	109.8013	C2orf34|79823	98.2186
C2orf3|6936	297.7433	C2orf3|6936	214.7328
lowly_expressed	lowly_expressed	C2orf40|84417	750.6018
C2orf42|54980	180.1954	C2orf42|54980	254.6943
C2orf43|60526	336.4769	C2orf43|60526	256.6201
C2orf44|80304	248.5685	C2orf44|80304	197.4001
C2orf47|79568	370.1583	C2orf47|79568	229.1767
C2orf48|348738	9.094	lowly_expressed	lowly_expressed
C2orf49|79074	138.0936	C2orf49|79074	90.0337
C2orf50|130813	10.1044	C2orf50|130813	5.2961
C2orf52|151477	6.0626	C2orf52|151477	5.2961
lowly_expressed	lowly_expressed	C2orf54|79919	29.3693
C2orf55|343990	1194.0047	C2orf55|343990	362.5421
C2orf56|55471	152.9134	C2orf56|55471	207.0294
lowly_expressed	lowly_expressed	C2orf58|285154	27.9249
C2orf60|129450	206.4668	C2orf60|129450	110.7366
C2orf62|375307	41.7649	lowly_expressed	lowly_expressed
C2orf63|130162	157.9656	C2orf63|130162	48.6278
C2orf64|493753	624.4527	C2orf64|493753	504.5739
C2orf65|130951	42.1017	C2orf65|130951	24.0732
C2orf67|151050	148.8851	C2orf67|151050	276.5479
C2orf68|388969	822.1623	C2orf68|388969	756.8609
C2orf69|205327	298.7538	C2orf69|205327	221.9547
lowly_expressed	lowly_expressed	C2orf70|339778	5.7776
lowly_expressed	lowly_expressed	C2orf72|257407	121.3288
C2orf73|129852	30.3132	lowly_expressed	lowly_expressed
C2orf74|339804	52.8798	C2orf74|339804	265.7679
C2orf76|130355	106.0963	C2orf76|130355	54.4054
C2orf77|129881	268.1037	C2orf77|129881	76.5527
C2orf79|391356	184.2371	C2orf79|391356	473.2788
C2orf7|84279	250.5894	C2orf7|84279	565.2383
C2orf81|388963	198.875	C2orf81|388963	206.4179
lowly_expressed	lowly_expressed	C2orf82|389084	73.6639
lowly_expressed	lowly_expressed	C2orf84|653140	28.4064
C2orf86|51057	50.1852	C2orf86|51057	55.8498
C2orf88|84281	9.7676	C2orf88|84281	136.2542
lowly_expressed	lowly_expressed	C2orf89|129293	99.1815
C2|717	321.1586	C2|717	1674.9206
C3AR1|719	211.1822	C3AR1|719	406.8368
C3orf10|55845	2714.7188	C3orf10|55845	4432.8358
C3orf14|57415	9.094	C3orf14|57415	177.1786
C3orf15|89876	5.7258	C3orf15|89876	71.2566
C3orf17|25871	616.3691	C3orf17|25871	662.9754
C3orf18|51161	207.4773	C3orf18|51161	293.6928
C3orf19|51244	488.7167	C3orf19|51244	556.0905
C3orf1|51300	1053.8902	C3orf1|51300	1115.5513
C3orf21|152002	192.3206	C3orf21|152002	299.9519
C3orf23|285343	473.2233	C3orf23|285343	279.2489
C3orf26|84319	193.3311	C3orf26|84319	351.9499
C3orf31|132001	131.0205	C3orf31|132001	168.5123
C3orf32|51066	9.4308	C3orf32|51066	28.4064
C3orf33|285315	31.3237	C3orf33|285315	94.3669
C3orf34|84984	137.42	C3orf34|84984	49.5908
C3orf35|339883	11.1149	C3orf35|339883	6.7405
C3orf36|80111	8.0835	lowly_expressed	lowly_expressed
C3orf37|56941	793.1964	C3orf37|56941	1193.0669
C3orf38|285237	398.4338	C3orf38|285237	321.1363
C3orf39|84892	233.0751	C3orf39|84892	732.3062
C3orf42|84657	14.482999999999999	C3orf42|84657	38.9986
lowly_expressed	lowly_expressed	C3orf45|132228	5.5128
C3orf47|339942	34.6918	C3orf47|339942	100.6259
C3orf52|79669	1230.0438	C3orf52|79669	59.22
C3orf54|389119	6.7363	C3orf54|389119	205.1035
lowly_expressed	lowly_expressed	C3orf55|152078	83.7747
C3orf57|165679	47.4907	C3orf57|165679	89.0708
C3orf58|205428	116.5376	C3orf58|205428	576.7935
C3orf59|151963	24.2506	C3orf59|151963	196.9186
C3orf62|375341	232.0647	C3orf62|375341	188.2523
C3orf63|23272	2276.0088	C3orf63|23272	1074.4054
C3orf64|285203	89.2556	C3orf64|285203	682.7155
C3orf67|200844	92.9606	C3orf67|200844	7.222
C3orf70|285382	24.9242	C3orf70|285382	77.0342
C3orf71|646450	19.872	C3orf71|646450	33.7025
C3orf75|54859	449.6463	C3orf75|54859	552.2388
C3|718	2992.5901	C3|718	57475.6861
C4A|720	29691.1418	C4A|720	24707.1016
lowly_expressed	lowly_expressed	C4BPA|722	205.1035
lowly_expressed	lowly_expressed	C4BPB|725	28.4064
C4orf10|317648	296.5847	C4orf10|317648	320.7174
C4orf12|404201	6.0626	C4orf12|404201	18.7771
C4orf14|84273	572.9202	C4orf14|84273	669.7159
C4orf19|55286	317.7669	C4orf19|55286	121.8633
C4orf21|55345	148.8717	C4orf21|55345	54.4054
C4orf23|152992	215.22400000000002	C4orf23|152992	313.9143
C4orf27|54969	216.5712	C4orf27|54969	436.2061
C4orf29|80167	148.19799999999998	C4orf29|80167	35.1468
C4orf31|79625	712.6979	C4orf31|79625	174.7713
C4orf32|132720	1643.3142	C4orf32|132720	1101.1074
C4orf33|132321	314.2472	C4orf33|132321	132.4025
C4orf34|201895	1869.3163	C4orf34|201895	377.4675
C4orf36|132989	11.1149	C4orf36|132989	12.5181
C4orf38|152641	14.482999999999999	C4orf38|152641	25.999000000000002
C4orf3|401152	2031.3237	C4orf3|401152	3254.2128
C4orf41|60684	1058.2688	C4orf41|60684	516.6105
C4orf42|92070	368.4742	C4orf42|92070	335.0987
C4orf43|55319	1043.4489999999998	C4orf43|55319	289.8411
C4orf44|345222	5.388999999999999	lowly_expressed	lowly_expressed
C4orf46|201725	140.4513	C4orf46|201725	120.8474
C4orf47|441054	6.3995	lowly_expressed	lowly_expressed
C4orf48|401115	19.872	C4orf48|401115	98.7
lowly_expressed	lowly_expressed	C4orf49|84709	72.70100000000001
C4orf52|389203	20.8825	C4orf52|389203	552.7203
lowly_expressed	lowly_expressed	C4orf7|260436	1973.0379999999998
C5AR1|728	111.1485	C5AR1|728	363.5051
C5orf13|9315	103.065	C5orf13|9315	556.572
C5orf15|56951	1786.7969	C5orf15|56951	1132.884
lowly_expressed	lowly_expressed	C5orf20|140947	25.0361
C5orf22|55322	573.257	C5orf22|55322	260.4718
C5orf23|79614	14.1462	C5orf23|79614	480.0193
C5orf24|134553	969.6868	C5orf24|134553	623.4954
C5orf25|375484	345.4193	C5orf25|375484	181.0303
lowly_expressed	lowly_expressed	C5orf27|202299	12.0366
C5orf28|64417	630.8521	C5orf28|64417	163.2162
C5orf30|90355	563.4894	C5orf30|90355	467.9827
C5orf32|84418	506.9047	C5orf32|84418	1545.4983
C5orf33|133686	807.6794	C5orf33|133686	403.4665
C5orf34|375444	95.6551	C5orf34|375444	26.4805
C5orf35|133383	137.0832	C5orf35|133383	82.8117
C5orf36|285600	115.1903	C5orf36|285600	30.3322
C5orf38|153571	1159.9865	C5orf38|153571	257.5831
C5orf39|389289	9.094	C5orf39|389289	155.0313
C5orf41|153222	411.5864	C5orf41|153222	203.6591
C5orf42|65250	450.6568	C5orf42|65250	203.1777
C5orf43|643155	1545.9751	C5orf43|643155	846.8946
C5orf44|80006	652.0512	C5orf44|80006	231.9451
C5orf45|51149	205.5776	C5orf45|51149	274.4439
lowly_expressed	lowly_expressed	C5orf46|389336	72.70100000000001
C5orf49|134121	26.2715	C5orf49|134121	16.8512
C5orf4|10826	2208.1509	C5orf4|10826	1891.6707
C5orf51|285636	895.9246	C5orf51|285636	546.9427
C5orf53|492311	267.7669	C5orf53|492311	593.1632
C5orf54|63920	209.1613	C5orf54|63920	182.9562
C5orf55|116349	57.2583	C5orf55|116349	77.9971
C5orf56|441108	44.5066	C5orf56|441108	156.2013
C5orf62|85027	133.0414	C5orf62|85027	947.039
C5|727	273.1559	C5|727	110.7366
lowly_expressed	lowly_expressed	C6orf105|84830	50.5537
C6orf106|64771	2466.487	C6orf106|64771	3655.7535
C6orf108|10591	118.5584	C6orf108|10591	646.1242
C6orf114|85411	9.094	C6orf114|85411	7.7034
C6orf115|58527	819.4678	C6orf115|58527	529.1286
C6orf120|387263	886.4702	C6orf120|387263	589.8941
lowly_expressed	lowly_expressed	C6orf122|401288	29.6389
lowly_expressed	lowly_expressed	C6orf123|26238	8.6663
lowly_expressed	lowly_expressed	C6orf124|653483	19.2585
C6orf125|84300	1137.8006	C6orf125|84300	878.3438
C6orf126|389383	53.8902	lowly_expressed	lowly_expressed
C6orf127|340204	14.482999999999999	C6orf127|340204	6.7405
C6orf129|154467	216.5712	C6orf129|154467	203.1777
C6orf130|221443	653.0111	C6orf130|221443	462.1955
C6orf132|647024	348.939	C6orf132|647024	200.2889
C6orf134|79969	180.5322	C6orf134|79969	168.5123
C6orf136|221545	250.9262	C6orf136|221545	283.5821
lowly_expressed	lowly_expressed	C6orf138|442213	33.7025
C6orf141|135398	193.6679	C6orf141|135398	76.5527
lowly_expressed	lowly_expressed	C6orf142|90523	25.999000000000002
C6orf145|221749	340.1819	C6orf145|221749	1897.9297
C6orf150|115004	64.6682	C6orf150|115004	54.8869
C6orf153|88745	615.0219	C6orf153|88745	523.351
C6orf154|221424	56.5847	C6orf154|221424	38.5171
C6orf155|79940	16.1671	C6orf155|79940	19.74
lowly_expressed	lowly_expressed	C6orf15|29113	17.8142
C6orf162|57150	57.2583	C6orf162|57150	108.7097
lowly_expressed	lowly_expressed	C6orf163|206412	8.6663
lowly_expressed	lowly_expressed	C6orf164|63914	8.7675
C6orf165|154313	93.8599	C6orf165|154313	19.2585
C6orf167|253714	120.2425	C6orf167|253714	128.5508
C6orf168|84553	159.9865	C6orf168|84553	99.663
C6orf170|221322	151.5662	C6orf170|221322	53.9239
lowly_expressed	lowly_expressed	C6orf174|387104	39.8411
C6orf182|285753	185.2476	C6orf182|285753	93.4039
C6orf192|116843	62.9842	C6orf192|116843	429.4656
C6orf1|221491	529.4712	C6orf1|221491	744.3428
C6orf201|404220	8.4237	C6orf201|404220	6.7549
C6orf203|51250	218.2553	C6orf203|51250	285.0265
lowly_expressed	lowly_expressed	C6orf204|387119	5.7776
C6orf211|79624	1718.0869	C6orf211|79624	439.0948
lowly_expressed	lowly_expressed	C6orf217|100131814	5.7776
C6orf225|619208	31.3237	C6orf225|619208	259.9904
C6orf226|441150	32.3341	C6orf226|441150	165.142
C6orf25|80739	11.1149	lowly_expressed	lowly_expressed
C6orf26|401251	52.2297	C6orf26|401251	39.5426
C6orf27|80737	150.2189	C6orf27|80737	39.9615
C6orf35|729515	190.2998	C6orf35|729515	576.312
lowly_expressed	lowly_expressed	C6orf41|100133205	9.1478
C6orf47|57827	679.0165	C6orf47|57827	1096.2927
C6orf48|50854	540.9229	C6orf48|50854	2715.455
C6orf52|347744	7.0731	C6orf52|347744	11.0737
C6orf57|135154	54.9006	C6orf57|135154	62.5903
C6orf62|81688	3344.3348	C6orf62|81688	3187.7082
C6orf64|55776	377.5682	C6orf64|55776	619.6437
C6orf70|55780	693.8363	C6orf70|55780	342.8021
C6orf72|116254	567.1943	C6orf72|116254	728.4545
C6orf81|221481	12.7989	lowly_expressed	lowly_expressed
C6orf89|221477	3571.2361	C6orf89|221477	3143.4762
C6orf97|80129	1766.5881	C6orf97|80129	153.1054
C6|729	5.0522	C6|729	261.4348
lowly_expressed	lowly_expressed	C7orf10|79783	29.3693
C7orf11|136647	217.9185	C7orf11|136647	367.3568
lowly_expressed	lowly_expressed	C7orf13|129790	128.0693
C7orf23|79161	279.0569	C7orf23|79161	420.7174
C7orf25|79020	353.1256	C7orf25|79020	327.16900000000004
C7orf26|79034	428.7639	C7orf26|79034	836.3024
C7orf27|221927	1015.4934	C7orf27|221927	1445.8353
C7orf28A|51622	544.9646	C7orf28A|51622	651.9018
C7orf28B|221960	409.9023	C7orf28B|221960	508.4256
C7orf29|113763	241.8323	C7orf29|113763	141.0688
C7orf30|115416	164.3651	C7orf30|115416	354.3572
C7orf31|136895	6.7363	C7orf31|136895	144.4391
C7orf36|57002	138.0936	C7orf36|57002	169.9567
C7orf40|285958	119.2321	C7orf40|285958	390.467
C7orf41|222166	367.4638	C7orf41|222166	3262.8792
C7orf42|55069	3948.1307	C7orf42|55069	3651.9018
C7orf43|55262	569.552	C7orf43|55262	434.7617
C7orf44|55744	993.2637	C7orf44|55744	450.65
C7orf46|340277	209.835	C7orf46|340277	63.0717
C7orf47|221908	247.5581	C7orf47|221908	328.8397
C7orf49|78996	368.7167	C7orf49|78996	535.1276
C7orf50|84310	859.5487	C7orf50|84310	1440.0578
C7orf51|222950	12.1253	C7orf51|222950	94.8483
C7orf53|286006	15.1566	C7orf53|286006	24.0732
C7orf55|154791	153.2503	C7orf55|154791	378.6182
C7orf58|79974	61.6369	C7orf58|79974	456.4275
C7orf59|389541	1035.3654	C7orf59|389541	2367.3568
C7orf60|154743	122.6002	C7orf60|154743	259.5089
lowly_expressed	lowly_expressed	C7orf61|402573	21.6659
C7orf63|79846	326.7093	C7orf63|79846	125.1805
C7orf64|84060	270.1246	C7orf64|84060	251.324
C7orf68|29923	356.3489	C7orf68|29923	240.2504
C7orf70|84792	349.2759	C7orf70|84792	384.208
C7|730	416.6386	C7|730	3021.1844
C8orf30A|51236	615.6955	C8orf30A|51236	739.0467
C8orf33|65265	907.7130000000001	C8orf33|65265	1113.144
lowly_expressed	lowly_expressed	C8orf34|116328	6.7405
C8orf37|157657	142.4722	C8orf37|157657	24.5546
C8orf38|137682	315.9313	C8orf38|137682	160.3274
C8orf39|55472	6.3995	lowly_expressed	lowly_expressed
C8orf40|114926	655.7764	C8orf40|114926	772.7492
C8orf41|80185	199.8484	C8orf41|80185	340.2407
C8orf42|157695	34.0182	C8orf42|157695	363.9865
C8orf44|56260	33.8565	C8orf44|56260	24.5691
C8orf45|157777	40.7545	C8orf45|157777	24.0732
C8orf46|254778	12.7989	C8orf46|254778	13.481
lowly_expressed	lowly_expressed	C8orf47|203111	25.0361
lowly_expressed	lowly_expressed	C8orf48|157773	30.8137
C8orf4|56892	178.5113	C8orf4|56892	1696.1964
C8orf51|78998	105.7595	C8orf51|78998	32.7395
C8orf55|51337	911.7548	C8orf55|51337	1378.4304
lowly_expressed	lowly_expressed	C8orf56|157556	5.2287
C8orf58|541565	96.3287	C8orf58|541565	484.3524
C8orf59|401466	357.6053	C8orf59|401466	694.7617
C8orf73|642475	146.514	C8orf73|642475	122.2918
C8orf76|84933	313.5736	C8orf76|84933	341.8392
lowly_expressed	lowly_expressed	C8orf77|286103	5.2961
C8orf79|57604	6.0626	C8orf79|57604	267.2123
lowly_expressed	lowly_expressed	C8orf80|389643	7.7034
C8orf83|286144	718.0869	C8orf83|286144	473.2788
C8orf84|157869	20.8825	C8orf84|157869	324.5065
C8orf85|441376	416.9754	C8orf85|441376	224.3621
C9orf100|84904	227.8949	C9orf100|84904	64.7039
C9orf102|375748	56.1469	C9orf102|375748	11.9451
C9orf103|414328	145.8404	C9orf103|414328	123.7362
C9orf106|414318	6.7363	lowly_expressed	lowly_expressed
C9orf109|286333	9.4308	C9orf109|286333	35.1468
C9orf110|100128385	38.06	C9orf110|100128385	124.2176
C9orf114|51490	519.936	C9orf114|51490	619.3211
C9orf116|138162	417.3122	C9orf116|138162	64.5161
C9orf117|286207	103.065	C9orf117|286207	5.2961
C9orf119|375757	785.7865	C9orf119|375757	489.1671
lowly_expressed	lowly_expressed	C9orf122|158228	20.7029
C9orf123|90871	348.2654	C9orf123|90871	898.8926
lowly_expressed	lowly_expressed	C9orf125|84302	184.882
C9orf128|392307	17.1775	lowly_expressed	lowly_expressed
C9orf129|445577	146.9485	C9orf129|445577	31.2181
C9orf130|100128782	27.2482	C9orf130|100128782	136.0135
C9orf140|89958	487.0327	C9orf140|89958	139.6245
C9orf142|286257	433.1425	C9orf142|286257	661.0496
C9orf150|286343	612.3274	C9orf150|286343	510.3515
C9orf152|401546	1772.9875	C9orf152|401546	134.8098
C9orf156|51531	272.1455	C9orf156|51531	235.9172
C9orf163|158055	24.2506	lowly_expressed	lowly_expressed
C9orf167|54863	34.355	C9orf167|54863	246.0279
C9orf169|375791	179.2253	C9orf169|375791	9.1719
C9orf16|79095	676.322	C9orf16|79095	1644.6798
lowly_expressed	lowly_expressed	C9orf170|401535	5.2961
C9orf172|389813	23.9138	C9orf172|389813	5.7776
C9orf173|441476	6.7363	lowly_expressed	lowly_expressed
C9orf21|195827	41.0913	C9orf21|195827	181.9933
C9orf23|138716	454.6986	C9orf23|138716	601.3481
lowly_expressed	lowly_expressed	C9orf24|84688	11.5551
C9orf25|203259	232.4015	C9orf25|203259	665.8642
C9orf30|91283	42.0411	C9orf30|91283	230.7029
C9orf37|85026	192.3206	C9orf37|85026	204.6221
C9orf3|84909	202.8191	C9orf3|84909	632.8021
C9orf40|55071	45.8067	C9orf40|55071	206.0664
C9orf41|138199	143.4827	C9orf41|138199	31.2951
C9orf43|257169	40.7545	C9orf43|257169	8.6663
C9orf45|81571	189.6261	C9orf45|81571	226.2879
C9orf46|55848	1145.1667	C9orf46|55848	347.6168
lowly_expressed	lowly_expressed	C9orf47|286223	8.7
C9orf5|23731	1798.5854	C9orf5|23731	1542.1281
C9orf64|84267	832.9404	C9orf64|84267	252.287
lowly_expressed	lowly_expressed	C9orf66|157983	30.3322
C9orf68|55064	188.9525	C9orf68|55064	27.4434
C9orf69|90120	652.745	C9orf69|90120	1436.6875
C9orf6|54942	523.0717	C9orf6|54942	310.5441
C9orf72|203228	106.77	C9orf72|203228	176.6972
C9orf78|51759	1380.9363	C9orf78|51759	1534.4247
C9orf7|11094	1328.0566	C9orf7|11094	688.0116
C9orf80|58493	359.7171	C9orf80|58493	161.7718
C9orf82|79886	361.0643	C9orf82|79886	216.6586
C9orf85|138241	101.7178	C9orf85|138241	169.4752
C9orf86|55684	2163.6915	C9orf86|55684	2663.9384
C9orf89|84270	297.7433	C9orf89|84270	506.4998
C9orf91|203197	1444.2573	C9orf91|203197	473.2788
lowly_expressed	lowly_expressed	C9orf93|203238	19.2585
C9orf95|54981	407.5446	C9orf95|54981	502.1666
C9orf96|169436	12.4621	C9orf96|169436	6.7405
C9orf98|158067	209.1613	C9orf98|158067	28.4064
C9orf9|11092	149.8821	C9orf9|11092	218.10299999999998
CA11|770	538.2284	CA11|770	522.3832
CA12|771	18170.4278	CA12|771	1746.7501
CA13|377677	208.1509	CA13|377677	77.1738
CA14|23632	83.8666	CA14|23632	6.7405
CA2|760	1637.2516	CA2|760	107.3664
CA3|761	20.5456	CA3|761	161.6322
CA4|762	34.0182	CA4|762	1536.3505
CA5BP|340591	182.2162	CA5BP|340591	220.0289
CA5B|11238	114.6682	CA5B|11238	275.6379
lowly_expressed	lowly_expressed	CA8|767	118.9215
CAB39L|81617	680.3638	CAB39L|81617	1278.286
CAB39|51719	1681.3742	CAB39|51719	1529.1286
CABC1|56997	398.7875	CABC1|56997	2116.5575
CABIN1|23523	2441.5628	CABIN1|23523	1831.0063
CABLES1|91768	1695.8572	CABLES1|91768	963.8902
CABLES2|81928	288.6494	CABLES2|81928	189.2152
lowly_expressed	lowly_expressed	CABP1|9478	76.0713
CABP4|57010	342.6642	CABP4|57010	26.962
CABYR|26256	342.5396	CABYR|26256	51.0351
CACHD1|57685	7.7467	CACHD1|57685	823.7843
CACNA1A|773	17.8511	CACNA1A|773	36.1098
CACNA1C|775	26.6083	CACNA1C|775	363.0236
CACNA1D|776	1840.0135	CACNA1D|776	56.3312
CACNA1F|778	199.0569	CACNA1F|778	9.6293
lowly_expressed	lowly_expressed	CACNA1G|8913	15.8883
CACNA1H|8912	110.4749	CACNA1H|8912	231.584
lowly_expressed	lowly_expressed	CACNA1I|8911	21.1844
CACNA2D1|781	17.1775	CACNA2D1|781	26.962
CACNA2D2|9254	745.3688	CACNA2D2|9254	71.7381
lowly_expressed	lowly_expressed	CACNA2D3|55799	12.5181
CACNA2D4|93589	117.2112	CACNA2D4|93589	67.4049
CACNB1|782	153.2503	CACNB1|782	226.7694
CACNB2|783	11.1149	CACNB2|783	57.2942
CACNB3|784	683.0583	CACNB3|784	696.6779
CACNB4|785	41.4281	CACNB4|785	30.3322
CACNG1|786	11.1149	lowly_expressed	lowly_expressed
CACNG4|27092	588.7504	CACNG4|27092	524.7954
CACYBP|27101	1554.7322	CACYBP|27101	1014.9254
CADM1|23705	156.9552	CADM1|23705	342.3207
lowly_expressed	lowly_expressed	CADM2|253559	25.5176
lowly_expressed	lowly_expressed	CADM3|57863	2152.2484
CADM4|199731	1275.1768	CADM4|199731	1064.5161
CADPS2|93664	1355.3385	CADPS2|93664	844.9687
CAD|790	1302.1219	CAD|790	1229.1767
CALB2|794	6.7363	CALB2|794	1324.025
CALCOCO1|57658	1998.6527	CALCOCO1|57658	3052.4795
CALCOCO2|10241	3375.8841	CALCOCO2|10241	2852.1907
CALCRL|10203	233.7487	CALCRL|10203	316.3216
CALD1|800	686.4264	CALD1|800	8930.6692
CALHM2|51063	522.0613	CALHM2|51063	2492.0558
CALM1|801	3752.7787	CALM1|801	8398.1704
CALM2|805	7431.1216	CALM2|805	10023.1103
CALM3|808	4939.7103	CALM3|808	5937.8912
lowly_expressed	lowly_expressed	CALML3|810	1050.0722
CALML4|91860	172.4486	CALML4|91860	464.131
CALML5|51806	535.8707	CALML5|51806	252.287
CALML6|163688	11.7885	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CALN1|83698	9.1478
CALR|811	12523.4086	CALR|811	14235.9172
CALU|813	2569.552	CALU|813	2647.5686
CAMK1D|57118	18.5248	CAMK1D|57118	54.4054
CAMK1|8536	357.9724	CAMK1|8536	940.1637
lowly_expressed	lowly_expressed	CAMK2A|815	5.7776
lowly_expressed	lowly_expressed	CAMK2B|816	70.2937
CAMK2D|817	42.1017	CAMK2D|817	932.1136
CAMK2G|818	482.3173	CAMK2G|818	704.8628
CAMK2N1|55450	1062.6474	CAMK2N1|55450	1388.5412
CAMK2N2|94032	6.0626	CAMK2N2|94032	6.2589999999999995
CAMKK1|84254	599.8653	CAMKK1|84254	317.76599999999996
CAMKK2|10645	1479.9596	CAMKK2|10645	2034.1839
CAMLG|819	912.4284	CAMLG|819	1192.104
CAMP|820	11.4517	lowly_expressed	lowly_expressed
CAMSAP1L1|23271	718.4237	CAMSAP1L1|23271	678.8637
CAMSAP1|157922	456.3826	CAMSAP1|157922	622.0509999999999
CAMTA1|23261	208.4877	CAMTA1|23261	563.3125
CAMTA2|23125	2220.9498	CAMTA2|23125	1665.3828
CAND1|55832	2415.2913	CAND1|55832	1476.1675
CAND2|23066	13.8094	CAND2|23066	210.3996
CANT1|124583	4582.351	CANT1|124583	1265.7679
CANX|821	11486.0222	CANX|821	10333.1728
CAP1|10487	5994.2742	CAP1|10487	5934.0395
