gene_id	TCGA-BH-A0BZ-01A-31R-A12P-07	gene_id	TCGA-BH-A0BZ-11A-61R-A12P-07
FAM115A|9747	389.1614	FAM115A|9747	785.2694
FAM115C|285966	552.8055	FAM115C|285966	263.3198
FAM116A|201627	508.1138	FAM116A|201627	749.1651
FAM116B|414918	144.0109	FAM116B|414918	145.1395
FAM117A|81558	256.6231	FAM117A|81558	527.4844
FAM117B|150864	280.7759	FAM117B|150864	381.9839
FAM118A|55007	203.78900000000002	FAM118A|55007	241.17700000000002
FAM118B|79607	215.5634	FAM118B|79607	322.0507
FAM119A|151194	351.7247	FAM119A|151194	161.0254
FAM119B|25895	233.0742	FAM119B|25895	249.12
FAM120AOS|158293	834.8977	FAM120AOS|158293	1405.3037
FAM120A|23196	3377.9485	FAM120A|23196	3970.9938
FAM120B|84498	604.1211	FAM120B|84498	1075.5483
FAM120C|54954	569.0996	FAM120C|54954	415.561
FAM122A|116224	376.1793	FAM122A|116224	731.4739999999999
FAM122B|159090	694.3919999999999	FAM122B|159090	556.7289
FAM122C|159091	12.0764	FAM122C|159091	32.4939
FAM123B|139285	156.993	FAM123B|139285	213.3767
FAM124A|220108	25.3604	FAM124A|220108	112.6455
FAM124B|79843	60.3819	FAM124B|79843	133.9471
FAM125A|93343	559.1365	FAM125A|93343	426.7533
FAM125B|89853	386.7462	FAM125B|89853	465.746
FAM126A|84668	262.6613	FAM126A|84668	1036.5556
FAM126B|285172	347.19599999999997	FAM126B|285172	506.5439
FAM127A|8933	1217.9032	FAM127A|8933	2045.672
FAM127B|26071	694.0901	FAM127B|26071	765.7731
FAM127C|441518	370.4431	FAM127C|441518	394.9815
FAM128A|653784	470.9789	FAM128A|653784	126.3652
FAM128B|80097	1446.7507	FAM128B|80097	394.2594
FAM129A|116496	777.7191	FAM129A|116496	4038.2706
FAM129B|64855	4575.1377	FAM129B|64855	2261.576
FAM131A|131408	273.2282	FAM131A|131408	274.032
FAM131B|9715	66.4201	FAM131B|9715	67.8762
FAM132A|388581	51.3246	lowly_expressed	lowly_expressed
FAM133B|257415	112.0085	FAM133B|257415	89.5388
FAM134A|79137	3732.5081	FAM134A|79137	2705.6594
FAM134B|54463	311.2688	FAM134B|54463	627.8545
FAM134C|162427	3954.1097	FAM134C|162427	1786.0818
FAM135A|57579	139.4822	FAM135A|57579	296.7777
lowly_expressed	lowly_expressed	FAM135B|51059	10.4703
FAM136A|84908	1061.816	FAM136A|84908	510.8764
FAM13AOS|285512	9.7607	FAM13AOS|285512	59.5866
FAM13A|10144	141.496	FAM13A|10144	2246.0366
FAM13B|51306	428.6935	FAM13B|51306	1384.8831
FAM13C|220965	46.6179	FAM13C|220965	351.6996
FAM149A|25854	13.284	FAM149A|25854	316.6351
FAM149B1|317662	340.55400000000003	FAM149B1|317662	584.5293
lowly_expressed	lowly_expressed	FAM150B|285016	8.665
lowly_expressed	lowly_expressed	FAM151A|338094	8.1487
FAM151B|167555	28.0776	FAM151B|167555	28.5224
FAM154B|283726	25.9642	FAM154B|283726	49.4629
FAM155A|728215	42.2673	FAM155A|728215	28.5224
FAM155B|27112	51.3246	FAM155B|27112	26.3562
FAM156A|29057	295.8714	FAM156A|29057	531.817
FAM157A|728262	7.2458	FAM157A|728262	5.7767
FAM158A|51016	385.5385	FAM158A|51016	71.1256
FAM159A|348378	12.3783	lowly_expressed	lowly_expressed
FAM160A1|729830	41.6635	FAM160A1|729830	130.6977
FAM160A2|84067	424.18300000000005	FAM160A2|84067	772.9939999999999
FAM160B1|57700	562.4575	FAM160B1|57700	1015.6151
FAM160B2|64760	1269.8317	FAM160B2|64760	1074.4652
FAM161A|84140	43.475	FAM161A|84140	67.1541
FAM161B|145483	86.8835	FAM161B|145483	226.7353
FAM162A|26355	851.0831	FAM162A|26355	693.5644
lowly_expressed	lowly_expressed	FAM162B|221303	49.1019
FAM164A|51101	582.3836	FAM164A|51101	222.7638
FAM164C|79696	31.0967	FAM164C|79696	52.7123
FAM165B|54065	212.5443	FAM165B|54065	306.5259
FAM166B|730112	8.1516	FAM166B|730112	27.4393
FAM167A|83648	977.5832	FAM167A|83648	55.6007
FAM167B|84734	87.2519	FAM167B|84734	75.8191
FAM168A|23201	255.4155	FAM168A|23201	347.6848
FAM168B|130074	1194.9581	FAM168B|130074	3660.6192
FAM169A|26049	60.08	FAM169A|26049	80.5127
FAM171A1|221061	198.6565	FAM171A1|221061	1041.6103
FAM171A2|284069	23.8509	FAM171A2|284069	35.3823
FAM171B|165215	271.1148	FAM171B|165215	418.8104
FAM172A|83989	208.3176	FAM172A|83989	767.5783
FAM173A|65990	179.3343	FAM173A|65990	51.6292
FAM173B|134145	311.5707	FAM173B|134145	303.6375
FAM174A|345757	563.9671	FAM174A|345757	211.9325
FAM174B|400451	1315.7219	FAM174B|400451	745.5547
FAM175A|84142	145.457	FAM175A|84142	329.221
FAM175B|23172	409.6913	FAM175B|23172	536.1495
FAM176A|84141	121.0657	FAM176A|84141	61.0163
FAM176B|55194	189.0286	FAM176B|55194	163.1158
FAM177A1|283635	1307.2685	FAM177A1|283635	839.0649
FAM178A|55719	601.102	FAM178A|55719	837.6207
FAM178B|51252	30.7948	FAM178B|51252	15.5249
lowly_expressed	lowly_expressed	FAM179A|165186	5.0546
FAM179B|23116	320.3261	FAM179B|23116	699.7021
FAM180A|389558	65.8163	FAM180A|389558	103.2584
lowly_expressed	lowly_expressed	FAM180B|399888	65.3489
lowly_expressed	lowly_expressed	FAM181B|220382	5.0546
FAM182B|728882	19.6241	FAM182B|728882	19.1353
FAM184A|79632	18.7184	FAM184A|79632	192.4361
FAM184B|27146	5.9748	FAM184B|27146	5.7803
FAM185A|222234	72.4583	FAM185A|222234	105.0636
FAM186B|84070	9.6611	FAM186B|84070	12.2755
FAM188A|80013	122.5753	FAM188A|80013	602.2204
FAM188B|84182	95.4034	FAM188B|84182	242.1699
lowly_expressed	lowly_expressed	FAM189A1|23359	8.665
FAM189A2|9413	19.3222	FAM189A2|9413	547.3418
FAM189B|10712	1179.8626	FAM189B|10712	539.0378
FAM18A|780776	18.3531	FAM18A|780776	11.1057
FAM18B2|201158	186.5529	FAM18B2|201158	171.0624
FAM18B|51030	572.1187	FAM18B|51030	670.4576
FAM190A|401145	116.2352	FAM190A|401145	86.6504
FAM190B|54462	1037.9651	FAM190B|54462	1932.6654
FAM192A|80011	1061.2122	FAM192A|80011	1085.2965
FAM193A|8603	953.1285	FAM193A|8603	753.1366
FAM193B|54540	585.7046	FAM193B|54540	547.7029
FAM195A|84331	326.9681	FAM195A|84331	128.1704
FAM195B|348262	1852.2153	FAM195B|348262	969.4016
FAM196A|642938	21.1337	FAM196A|642938	5.0546
lowly_expressed	lowly_expressed	FAM196B|100131897	65.3489
FAM198A|729085	15.3974	FAM198A|729085	267.5332
FAM198B|51313	4381.9156	FAM198B|51313	6280.7113
FAM199X|139231	395.1996	FAM199X|139231	493.1853
lowly_expressed	lowly_expressed	FAM19A2|338811	28.1614
lowly_expressed	lowly_expressed	FAM19A3|284467	9.0261
FAM19A5|25817	35.9272	FAM19A5|25817	12.9976
FAM200A|221786	174.2018	FAM200A|221786	147.6668
FAM200B|285550	220.9978	FAM200B|285550	410.8674
FAM20A|54757	364.7068	FAM20A|54757	351.2952
FAM20B|9917	1703.9777	FAM20B|9917	2317.5377
FAM20C|56975	650.9171	FAM20C|56975	806.571
FAM21A|387680	473.0923	FAM21A|387680	658.1821
FAM21B|55747	650.6151	FAM21B|55747	722.4479
FAM21C|253725	713.4123	FAM21C|253725	1124.2892
FAM22A|728118	68.5335	FAM22A|728118	49.4629
FAM22D|728130	141.8975	FAM22D|728130	90.6219
lowly_expressed	lowly_expressed	FAM23A|653567	20.5795
FAM24B|196792	12.640999999999998	FAM24B|196792	19.3375
FAM26E|254228	347.7998	FAM26E|254228	380.5398
FAM26F|441168	418.7486	FAM26F|441168	40.7979
FAM27A|548321	15.0955	lowly_expressed	lowly_expressed
FAM27C|100132948	10.8687	FAM27C|100132948	5.4157
FAM32A|26017	1773.115	FAM32A|26017	1477.3897
FAM35A|54537	610.7631	FAM35A|54537	727.5025
FAM35B2|439965	48.9094	FAM35B2|439965	68.9593
FAM35B|414241	191.4107	FAM35B|414241	225.2911
FAM36A|116228	699.5637	FAM36A|116228	745.4427
FAM38A|9780	2375.4819	FAM38A|9780	3274.2775
FAM38B|63895	104.4607	FAM38B|63895	622.0778
FAM3A|60343	676.2775	FAM3A|60343	497.1568
FAM3B|54097	1942.1843	FAM3B|54097	72.5697
FAM3C|10447	1008.9818	FAM3C|10447	754.9418
lowly_expressed	lowly_expressed	FAM3D|131177	36.4654
FAM40A|85369	932.2968	FAM40A|85369	765.7731
FAM40B|57464	22.0394	FAM40B|57464	11.9144
FAM41C|284593	6.0382	FAM41C|284593	14.4417
FAM43A|131583	169.6732	FAM43A|131583	342.9912
FAM43B|163933	16.605	FAM43B|163933	14.4417
FAM45A|404636	288.3236	FAM45A|404636	492.1022
FAM45B|55855	108.3855	FAM45B|55855	281.2528
FAM46A|55603	1118.2731	FAM46A|55603	765.7731
FAM46B|115572	8.1516	FAM46B|115572	320.6066
FAM46C|54855	976.6775	FAM46C|54855	913.8009
FAM47E|100129583	13.5527	FAM47E|100129583	140.0415
FAM48A|55578	545.8253	FAM48A|55578	824.4968
FAM49A|81553	79.1003	FAM49A|81553	206.8779
FAM49B|51571	3180.0136	FAM49B|51571	1023.9191
FAM50A|9130	2146.2752	FAM50A|9130	589.2229
FAM50B|26240	266.8881	FAM50B|26240	135.0302
FAM53A|152877	32.6062	FAM53A|152877	8.665
FAM53B|9679	820.4272	FAM53B|9679	926.5565
FAM53C|51307	722.7715	FAM53C|51307	1439.8411
FAM54A|113115	70.043	lowly_expressed	lowly_expressed
FAM54B|56181	580.24	FAM54B|56181	1150.732
FAM55C|91775	543.1353	FAM55C|91775	1031.501
FAM57A|79850	150.9548	FAM57A|79850	206.1558
FAM57B|83723	13.284	lowly_expressed	lowly_expressed
FAM58A|92002	361.9896	FAM58A|92002	235.0393
FAM59A|64762	192.3164	FAM59A|64762	277.2813
lowly_expressed	lowly_expressed	FAM5B|57795	52.7123
FAM60A|58516	730.3193	FAM60A|58516	780.5759
FAM63A|55793	572.4206	FAM63A|55793	850.9793
FAM63B|54629	189.2973	FAM63B|54629	372.5968
FAM64A|54478	398.2187	FAM64A|54478	5.0546
FAM65A|79567	1502.9059	FAM65A|79567	2116.7975
FAM65B|9750	167.8617	FAM65B|9750	147.3057
FAM65C|140876	25.6623	FAM65C|140876	147.6668
FAM66C|440078	13.5859	FAM66C|440078	23.8289
FAM66D|100132923	8.8399	lowly_expressed	lowly_expressed
FAM69A|388650	314.5898	FAM69A|388650	847.7299
FAM69B|138311	162.0862	FAM69B|138311	219.1642
lowly_expressed	lowly_expressed	FAM69C|125704	5.7767
FAM70A|55026	46.1922	FAM70A|55026	193.1582
FAM70B|348013	55.8533	FAM70B|348013	82.3179
FAM71D|161142	34.4177	FAM71D|161142	15.5249
FAM71E1|112703	35.1966	FAM71E1|112703	16.9979
lowly_expressed	lowly_expressed	FAM71F2|346653	7.5819
FAM72A|729533	22.9451	FAM72A|729533	8.304
FAM72B|653820	134.6517	FAM72B|653820	18.0522
FAM72D|728833	64.0048	FAM72D|728833	12.6365
FAM73A|374986	475.2057	FAM73A|374986	793.2124
FAM73B|84895	310.665	FAM73B|84895	323.1339
FAM75A2|642265	11.4726	lowly_expressed	lowly_expressed
FAM76A|199870	263.2652	FAM76A|199870	285.5853
FAM76B|143684	129.2173	FAM76B|143684	243.3433
FAM78A|286336	364.4049	FAM78A|286336	154.5266
FAM78B|149297	15.3974	FAM78B|149297	29.9666
lowly_expressed	lowly_expressed	FAM7A3|89837	6.8598
FAM81A|145773	17.8127	FAM81A|145773	10.4703
FAM82A1|151393	54.9475	FAM82A1|151393	125.6431
FAM82A2|55177	1293.6825	FAM82A2|55177	917.4113
FAM82B|51115	1159.9366	FAM82B|51115	1150.6454
FAM83A|84985	1277.3794	FAM83A|84985	9.7482
FAM83B|222584	87.8557	FAM83B|222584	59.5722
FAM83D|81610	619.5185	FAM83D|81610	12.6365
FAM83E|54854	129.5192	FAM83E|54854	52.7123
FAM83F|113828	160.9178	FAM83F|113828	135.3913
FAM83G|644815	87.3877	FAM83G|644815	87.961
FAM83H|286077	7129.5947	FAM83H|286077	684.5383
FAM84A|151354	265.6804	FAM84A|151354	111.5624
FAM84B|157638	2978.0361	FAM84B|157638	1626.5006
FAM86A|196483	558.5871	FAM86A|196483	341.4099
FAM86B1|85002	19.926	FAM86B1|85002	95.3155
lowly_expressed	lowly_expressed	FAM86B2|653333	16.608
FAM86C|55199	218.5825	FAM86C|55199	141.8901
FAM86D|692099	90.271	FAM86D|692099	147.6668
FAM89A|375061	56.4571	FAM89A|375061	860.7275
FAM89B|23625	1221.5262	FAM89B|23625	749.5261
FAM8A1|51439	840.8182	FAM8A1|51439	1475.2234
FAM90A1|55138	10.5668	FAM90A1|55138	23.4678
FAM91A1|157769	2169.5222	FAM91A1|157769	919.9386
FAM92A1|137392	84.8366	FAM92A1|137392	190.6309
lowly_expressed	lowly_expressed	FAM95B1|100133036	9.7482
FAM96A|84191	665.7106	FAM96A|84191	417.0051
FAM96B|51647	887.0103	FAM96B|51647	490.658
FAM98A|25940	1075.4019	FAM98A|25940	1022.1139
FAM98B|283742	249.3773	FAM98B|283742	330.7158
FAM98C|147965	291.6447	FAM98C|147965	148.7499
FANCA|2175	263.6425	FANCA|2175	33.4579
FANCB|2187	8.4535	FANCB|2187	12.9976
FANCC|2176	222.5074	FANCC|2176	177.9944
FANCD2|2177	486.6782	FANCD2|2177	150.9161
FANCE|2178	148.2376	FANCE|2178	120.5885
FANCF|2188	562.7595	FANCF|2188	219.8754
FANCG|2189	525.9265	FANCG|2189	123.1158
FANCI|55215	1253.6674	FANCI|55215	243.8848
FANCL|55120	261.0673	FANCL|55120	229.14700000000002
FANCM|57697	160.9178	FANCM|57697	184.1321
FANK1|92565	42.8712	FANK1|92565	96.3986
FAP|2191	2331.9496	FAP|2191	360.3213
FAR1|84188	1647.2187	FAR1|84188	1370.5208
FAR2|55711	68.4067	FAR2|55711	151.3386
FARP1|10160	1297.3055	FARP1|10160	1714.9562
FARP2|9855	339.3464	FARP2|9855	428.1975
FARS2|10667	400.9359	FARS2|10667	216.62599999999998
FARSA|2193	1609.1781	FARSA|2193	675.1512
FARSB|10056	1294.8902	FARSB|10056	839.4259
FASLG|356	72.1564	FASLG|356	24.1899
FASN|2194	38531.8137	FASN|2194	8941.2402
FASTKD1|79675	228.2436	lowly_expressed	lowly_expressed
FASTKD2|22868	1037.9651	FASTKD2|22868	922.827
FASTKD3|79072	237.6028	FASTKD3|79072	138.2796
FASTKD5|60493	421.7677	FASTKD5|60493	406.1738
FASTK|10922	1771.0016	FASTK|10922	718.8374
FAS|355	349.3094	FAS|355	391.7321
FAT1|2195	2237.4519	FAT1|2195	7430.9956
FAT2|2196	121.0657	FAT2|2196	1049.5532
FAT3|120114	46.4941	FAT3|120114	16.969
FAT4|79633	225.2245	FAT4|79633	1185.3055
FAU|2197	7557.4006	FAU|2197	4080.8737
FBF1|85302	206.7145	FBF1|85302	122.9389
FBLIM1|54751	786.1725	FBLIM1|54751	994.6746
FBLL1|345630	23.5489	FBLL1|345630	27.4393
FBLN1|2192	3159.7856	FBLN1|2192	9568.7336
FBLN2|2199	4834.1762	FBLN2|2199	9300.1173
FBLN5|10516	1263.4916	FBLN5|10516	5634.4435
FBLN7|129804	110.8008	FBLN7|129804	254.5356
FBL|2091	2032.4553	FBL|2091	1528.6578
FBN1|2200	13678.6173	FBN1|2200	15850.167
FBN2|2201	54.6456	FBN2|2201	8.304
lowly_expressed	lowly_expressed	FBN3|84467	14.8028
FBP1|2203	1994.4147	FBP1|2203	1114.5410000000002
FBRSL1|57666	520.794	FBRSL1|57666	349.8511
FBRS|64319	2123.632	FBRS|64319	899.3591
FBXL12|54850	285.0026	FBXL12|54850	337.2146
FBXL13|222235	5.4344	FBXL13|222235	10.1092
FBXL14|144699	717.3372	FBXL14|144699	635.0754
FBXL15|79176	102.6493	FBXL15|79176	71.4866
FBXL16|146330	519.8883	FBXL16|146330	183.049
FBXL17|64839	352.9323	FBXL17|64839	827.5115
FBXL18|80028	571.8167	FBXL18|80028	480.9098
FBXL19|54620	667.824	FBXL19|54620	168.6073
FBXL20|84961	155.4834	FBXL20|84961	209.4052
FBXL22|283807	34.0131	FBXL22|283807	45.0654
FBXL2|25827	93.59200000000001	FBXL2|25827	177.6334
FBXL3|26224	766.8503	FBXL3|26224	1666.5764
FBXL4|26235	150.9548	FBXL4|26235	394.2594
FBXL5|26234	2159.5592	FBXL5|26234	4535.0663
FBXL6|26233	1362.9376	FBXL6|26233	176.8174
FBXL7|23194	469.7713	FBXL7|23194	790.6851
FBXL8|55336	36.0057	FBXL8|55336	25.8182
FBXO10|26267	182.9814	FBXO10|26267	215.5501
FBXO11|80204	1265.0011	FBXO11|80204	1664.0491
FBXO15|201456	18.1146	FBXO15|201456	23.1068
FBXO16|157574	71.7911	FBXO16|157574	35.0212
FBXO17|115290	106.5741	FBXO17|115290	381.6229
FBXO18|84893	1354.3664	FBXO18|84893	1813.1781
FBXO21|23014	1359.8007	FBXO21|23014	1057.8572
FBXO22OS|692224	113.1014	FBXO22OS|692224	37.4402
FBXO22|26263	615.7084	FBXO22|26263	384.6196
FBXO24|26261	8.1516	FBXO24|26261	5.1521
FBXO25|26260	445.0147	FBXO25|26260	617.0232
FBXO27|126433	107.7817	FBXO27|126433	344.4354
FBXO28|23219	1398.7471	FBXO28|23219	1143.4245
FBXO2|26232	124.9906	FBXO2|26232	192.0751
FBXO30|84085	270.51099999999997	FBXO30|84085	516.6531
FBXO31|79791	493.3203	FBXO31|79791	801.8774
FBXO32|114907	653.9361	FBXO32|114907	874.0861
FBXO33|254170	202.2794	FBXO33|254170	443.3613
FBXO34|55030	486.3763	FBXO34|55030	647.3508
FBXO36|130888	84.5347	FBXO36|130888	166.08
FBXO38|81545	743.9052	FBXO38|81545	911.9957
FBXO39|162517	35.9272	lowly_expressed	lowly_expressed
FBXO3|26273	560.3442	FBXO3|26273	890.6941
FBXO41|150726	202.2794	FBXO41|150726	157.776
FBXO42|54455	598.0829	FBXO42|54455	622.4388
FBXO43|286151	10.8687	lowly_expressed	lowly_expressed
FBXO44|93611	420.86199999999997	FBXO44|93611	248.3979
FBXO45|200933	593.2523	FBXO45|200933	381.6229
FBXO46|23403	398.2187	FBXO46|23403	267.5332
FBXO48|554251	17.5108	FBXO48|554251	65.7099
FBXO4|26272	147.3319	FBXO4|26272	229.6236
FBXO5|26271	214.9596	FBXO5|26271	82.6789
FBXO6|26270	744.5089999999999	FBXO6|26270	264.2838
FBXO7|25793	1595.894	FBXO7|25793	2460.8719
FBXO8|26269	217.544	FBXO8|26269	598.4981
FBXO9|26268	580.5721	FBXO9|26268	1340.5542
FBXW11|23291	1308.4761	FBXW11|23291	1410.2356
FBXW2|26190	1916.8239	FBXW2|26190	2186.84
FBXW4|6468	829.6475	FBXW4|6468	1543.0996
FBXW5|54461	3205.3740000000003	FBXW5|54461	1257.1532
FBXW7|55294	301.0038	FBXW7|55294	659.9874
FBXW8|26259	320.3261	FBXW8|26259	270.7826
FBXW9|84261	154.4569	FBXW9|84261	144.5329
lowly_expressed	lowly_expressed	FCER1A|2205	106.1468
FCER1G|2207	1095.026	FCER1G|2207	647.3508
lowly_expressed	lowly_expressed	FCER2|2208	12.9976
FCF1|51077	528.0399	FCF1|51077	895.0266
FCGBP|8857	101.4416	FCGBP|8857	2909.6489
FCGR1A|2209	406.6601	lowly_expressed	lowly_expressed
FCGR1B|2210	288.3236	FCGR1B|2210	105.0636
FCGR1C|100132417	104.7626	FCGR1C|100132417	25.9951
FCGR2A|2212	1500.4906	FCGR2A|2212	1274.8443
FCGR2B|2213	289.2294	FCGR2B|2213	666.8472
FCGR2C|9103	113.51799999999999	FCGR2C|9103	186.6594
FCGR3A|2214	4803.0795	FCGR3A|2214	1171.9469
FCGR3B|2215	21.4356	FCGR3B|2215	36.4654
FCGRT|2217	3785.0404	FCGRT|2217	4389.5658
FCHO1|23149	139.1803	FCHO1|23149	51.2682
FCHO2|115548	616.8013	FCHO2|115548	957.1261
FCHSD1|89848	379.0445	FCHSD1|89848	221.3557
FCHSD2|9873	866.6828	FCHSD2|9873	1082.1265
FCN1|2219	64.6086	FCN1|2219	118.4222
lowly_expressed	lowly_expressed	FCN2|2220	9.7482
FCN3|8547	18.1146	FCN3|8547	74.0139
FCRL3|115352	73.0621	FCRL3|115352	9.0261
FCRL5|83416	39.2482	FCRL5|83416	18.0522
FCRL6|343413	38.3425	lowly_expressed	lowly_expressed
FCRLA|84824	13.5859	FCRLA|84824	7.2209
FCRLB|127943	21.7375	FCRLB|127943	10.8313
FDFT1|2222	3744.2826	FDFT1|2222	3329.5424
FDPS|2224	3024.0441	FDPS|2224	1223.7025
FDX1L|112812	278.8165	FDX1L|112812	153.6059
FDX1|2230	301.9096	FDX1|2230	377.2904
FDXACB1|91893	91.068	FDXACB1|91893	124.6683
FDXR|2232	949.5056	FDXR|2232	81.5958
FECH|2235	789.1916	FECH|2235	804.7658
FEM1A|55527	1006.8684	FEM1A|55527	991.4252
FEM1B|10116	1477.2436	FEM1B|10116	2151.8188
FEM1C|56929	696.8073	FEM1C|56929	1069.0496
FEN1|2237	1252.9247	FEN1|2237	266.45
FER1L4|80307	58.5705	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	FER1L5|90342	29.2445
FERMT1|55612	29.2852	FERMT1|55612	127.0873
FERMT2|10979	926.8624	FERMT2|10979	4376.9293
FERMT3|83706	854.706	FERMT3|83706	283.7801
FER|2241	36.833	FER|2241	145.1395
FES|2242	234.5837	FES|2242	417.3662
FEZ1|9638	112.9142	FEZ1|9638	250.9252
FEZ2|9637	631.5948	FEZ2|9637	1744.5618
FFAR2|2867	47.0979	FFAR2|2867	65.7099
FFAR3|2865	7.8496	FFAR3|2865	47.6577
lowly_expressed	lowly_expressed	FGA|2243	31.7718
lowly_expressed	lowly_expressed	FGB|2244	100.7311
FGD1|2245	399.4264	FGD1|2245	232.1509
FGD2|221472	161.8235	FGD2|221472	152.3603
FGD3|89846	273.5301	FGD3|89846	280.1697
FGD4|121512	190.5049	FGD4|121512	906.9411
FGD5|152273	577.553	FGD5|152273	1641.6644
FGD6|55785	439.2784	FGD6|55785	485.2424
FGF10|2255	8.4535	FGF10|2255	57.7669
FGF11|2256	19.3222	FGF11|2256	123.8379
FGF12|2257	12.3783	FGF12|2257	32.1329
FGF13|2258	90.271	FGF13|2258	253.4525
FGF14|2259	269.9072	FGF14|2259	105.7857
FGF18|8817	18.7184	FGF18|8817	19.1353
FGF1|2246	464.6388	FGF1|2246	1297.9511
FGF2|2247	57.3236	FGF2|2247	1406.7407
FGF7|2252	253.90599999999998	FGF7|2252	950.9884
lowly_expressed	lowly_expressed	FGF9|2254	28.1614
lowly_expressed	lowly_expressed	FGFBP1|9982	43.6863
FGFBP2|83888	5.7363	FGFBP2|83888	367.5422
FGFBP3|143282	17.5108	FGFBP3|143282	20.9405
FGFR1OP2|26127	407.8798	FGFR1OP2|26127	619.1895
FGFR1OP|11116	267.1054	FGFR1OP|11116	185.7966
FGFR1|2260	3217.4504	FGFR1|2260	5677.0467
FGFR2|2263	490.3012	FGFR2|2263	1162.9208
FGFR3|2261	797.6451	FGFR3|2261	171.1346
FGFR4|2264	1664.1256	FGFR4|2264	44.4083
FGFRL1|53834	420.2581	FGFRL1|53834	856.0339
FGGY|55277	66.4201	FGGY|55277	126.0042
lowly_expressed	lowly_expressed	FGG|2266	136.1134
FGL2|10875	959.7705	FGL2|10875	1867.6776
FGR|2268	241.2258	FGR|2268	313.0246
FHAD1|114827	63.6214	FHAD1|114827	7.943
FHDC1|85462	292.8523	FHDC1|85462	246.2316
FHIT|2272	12.6802	FHIT|2272	59.2111
FHL1|2273	630.6891	FHL1|2273	32880.9459
FHL2|2274	579.6664	FHL2|2274	1344.1646
FHL3|2275	484.26300000000003	FHL3|2275	367.1812
FHL5|9457	13.8878	FHL5|9457	122.0327
FHOD1|29109	705.2608	FHOD1|29109	590.6669999999999
FHOD3|80206	203.78900000000002	FHOD3|80206	520.9856
FH|2271	1000.8303	FH|2271	1229.3528
FIBCD1|84929	326.3643	lowly_expressed	lowly_expressed
FIBIN|387758	1031.3231	FIBIN|387758	434.6963
FIBP|9158	1911.9934	FIBP|9158	832.2051
FICD|11153	84.5347	FICD|11153	166.08
FIG4|9896	363.1972	FIG4|9896	609.8023
lowly_expressed	lowly_expressed	FIGF|2277	739.778
FIGNL1|63979	187.1839	FIGNL1|63979	188.8257
FIGNL2|401720	14.1898	FIGNL2|401720	38.9927
FIGN|55137	24.4547	FIGN|55137	158.4981
FILIP1L|11259	1240.2445	FILIP1L|11259	4375.8462
FILIP1|27145	95.1015	FILIP1|27145	341.186
FIP1L1|81608	581.3329	FIP1L1|81608	585.681
FIS1|51024	1296.3212	FIS1|51024	1284.2964
lowly_expressed	lowly_expressed	FITM1|161247	6.1377
FITM2|128486	60.08	FITM2|128486	151.2772
FIZ1|84922	363.1972	FIZ1|84922	296.7777
FJX1|24147	100.234	FJX1|24147	112.6455
FKBP10|60681	2355.1966	FKBP10|60681	1018.1424
FKBP11|51303	598.3848	FKBP11|51303	251.2862
FKBP14|55033	227.6398	FKBP14|55033	253.4525
FKBP15|23307	2074.2003	FKBP15|23307	1151.9054
FKBP1A|2280	3548.9471	FKBP1A|2280	4783.4714
FKBP1B|2281	30.191	FKBP1B|2281	50.5461
FKBP2|2286	1183.1836	FKBP2|2286	297.8608
FKBP3|2287	1274.0584	FKBP3|2287	858.2002
FKBP4|2288	11901.5775	FKBP4|2288	3041.7908
FKBP5|2289	932.5987	FKBP5|2289	1228.2697
FKBP7|51661	241.2258	FKBP7|51661	257.785
FKBP8|23770	4588.7237	FKBP8|23770	3133.1348
FKBP9L|360132	58.2685	FKBP9L|360132	92.4271
FKBP9|11328	3868.0655	FKBP9|11328	4555.6458
FKBPL|63943	268.0957	FKBPL|63943	102.5363
FKRP|79147	211.9405	FKRP|79147	244.4264
FKTN|2218	791.6069	FKTN|2218	506.5439
FLAD1|80308	1728.4323	FLAD1|80308	676.5954
FLCN|201163	483.0553	FLCN|201163	830.7609
FLG|2312	12.4991	FLG|2312	73.7503
FLI1|2313	491.8107	FLI1|2313	1292.8965
FLII|2314	3468.0353	FLII|2314	3164.1845
FLJ10038|55056	95.5393	FLJ10038|55056	308.443
lowly_expressed	lowly_expressed	FLJ10213|55096	12.9976
FLJ10357|55701	736.0556	FLJ10357|55701	2256.8824
FLJ10661|286042	12.0764	FLJ10661|286042	9.7482
FLJ11235|54508	10.2649	FLJ11235|54508	19.8574
FLJ12825|440101	7.5477	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	FLJ13197|79667	32.855
FLJ22536|401237	17.2088	FLJ22536|401237	27.4393
FLJ23867|200058	1042.7957	FLJ23867|200058	423.1429
lowly_expressed	lowly_expressed	FLJ33360|401172	6.4988
FLJ33630|644873	255.1136	FLJ33630|644873	445.5276
lowly_expressed	lowly_expressed	FLJ35024|401491	72.2087
FLJ35220|284131	370.4431	FLJ35220|284131	187.7426
FLJ35390|255031	35.0789	FLJ35390|255031	60.3304
FLJ35776|649446	124.9906	FLJ35776|649446	126.3652
FLJ36031|168455	220.6959	FLJ36031|168455	534.7053
lowly_expressed	lowly_expressed	FLJ36777|730971	8.304
FLJ37201|283011	8.4535	FLJ37201|283011	6.1377
FLJ37453|729614	33.8139	FLJ37453|729614	65.3489
lowly_expressed	lowly_expressed	FLJ37543|285668	19.4963
