gene_id	TCGA-BH-A0BZ-01A-31R-A12P-07	gene_id	TCGA-BH-A0BZ-11A-61R-A12P-07
ACAD8|27034	157.2949	ACAD8|27034	659.9874
ACAD9|28976	939.8385	ACAD9|28976	1204.0762
lowly_expressed	lowly_expressed	ACADL|33	268.2553
ACADM|34	707.3741	ACADM|34	1539.1281
ACADSB|36	729.1116	ACADSB|36	3092.6979
ACADS|35	270.511	ACADS|35	924.6322
ACADVL|37	3224.9679	ACADVL|37	6742.475
ACAN|176	92.6862	ACAN|176	5.4157
ACAP1|9744	249.6792	ACAP1|9744	48.3798
ACAP2|23527	1066.9484	ACAP2|23527	1461.8648
ACAP3|116983	836.6186	ACAP3|116983	319.5234
ACAT1|38	672.6545	ACAT1|38	2145.32
ACAT2|39	979.8958	ACAT2|39	281.2384
ACBD3|64746	2276.7001	ACBD3|64746	1270.8728
ACBD4|79777	153.0682	ACBD4|79777	257.424
ACBD5|91452	699.8264	ACBD5|91452	926.0764
ACBD6|84320	477.0171	ACBD6|84320	244.4264
ACBD7|414149	7.8496	ACBD7|414149	32.1329
ACCN2|41	134.9536	ACCN2|41	91.344
ACCN3|9311	26.568	ACCN3|9311	5.0546
ACCS|84680	50.4189	ACCS|84680	315.5519
ACD|65057	302.5134	ACD|65057	294.9725
lowly_expressed	lowly_expressed	ACE2|59272	14.4417
ACER1|125981	9.3592	lowly_expressed	lowly_expressed
ACER2|340485	102.6493	ACER2|340485	278.0034
ACER3|55331	357.159	ACER3|55331	623.522
ACE|1636	383.4252	ACE|1636	909.1073
ACHE|43	131.9345	ACHE|43	20.9405
ACIN1|22985	3339.1199	ACIN1|22985	2683.2747
ACLY|47	5144.5392	ACLY|47	3646.1775
ACN9|57001	96.0072	ACN9|57001	109.3962
ACO1|48	577.8549	ACO1|48	5363.661
ACO2|50	2308.8656	ACO2|50	3617.9944
ACOT11|26027	22.3413	ACOT11|26027	21.8179
ACOT13|55856	834.7709	ACOT13|55856	717.2127
ACOT1|641371	551.2869	ACOT1|641371	1615.3082
ACOT2|10965	259.3403	ACOT2|10965	818.8465
ACOT4|122970	236.999	ACOT4|122970	256.3408
lowly_expressed	lowly_expressed	ACOT6|641372	9.7482
ACOT7|11332	1316.9296	ACOT7|11332	252.7304
ACOT8|10005	517.4247	ACOT8|10005	214.6692
ACOT9|23597	379.8022	ACOT9|23597	546.6197
ACOX1|51	1866.9817	ACOX1|51	3601.4081
ACOX2|8309	491.8107	ACOX2|8309	523.513
ACOX3|8310	1088.6859	ACOX3|8310	608.3582
ACP1|52	1325.9869	ACP1|52	973.373
ACP2|53	3002.4908	ACP2|53	1174.1132
ACP5|54	3202.3549	ACP5|54	713.7828
ACP6|51205	144.0109	ACP6|51205	262.1175
ACPL2|92370	317.6089	ACPL2|92370	506.5439
ACPP|55	41.9654	ACPP|55	36.8264
ACRBP|84519	41.6635	ACRBP|84519	34.2991
lowly_expressed	lowly_expressed	ACRC|93953	20.5795
lowly_expressed	lowly_expressed	ACR|49	7.943
lowly_expressed	lowly_expressed	ACSBG1|23205	12.6365
ACSF2|80221	286.2103	ACSF2|80221	1338.0269
ACSF3|197322	365.3106	ACSF3|197322	241.538
ACSL1|2180	1371.5752	ACSL1|2180	15574.6909
ACSL3|2181	2627.821	ACSL3|2181	2693.7449
ACSL4|2182	875.5378	ACSL4|2182	1798.7183
ACSL5|51703	445.6185	ACSL5|51703	1364.3831
ACSL6|23305	9.0573	ACSL6|23305	6.4988
ACSM1|116285	13.284	ACSM1|116285	46.5746
ACSM3|6296	21.1518	ACSM3|6296	31.0425
ACSM5|54988	18.1146	ACSM5|54988	535.0663
ACSS1|84532	1604.6494	ACSS1|84532	641.2131
ACSS2|55902	899.0867	ACSS2|55902	2831.6635
ACSS3|79611	190.203	ACSS3|79611	749.1651
ACTA1|58	31.3986	ACTA1|58	66.432
ACTA2|59	11841.0325	ACTA2|59	20815.8065
ACTB|60	120669.3335	ACTB|60	71201.0109
lowly_expressed	lowly_expressed	ACTC1|70	15.1638
ACTG1|71	68740.8861	ACTG1|71	46147.8473
ACTG2|72	406.3703	ACTG2|72	6068.7788
ACTL6A|86	1064.8351	ACTL6A|86	737.2507
ACTN1|87	6635.6706	ACTN1|87	8133.225
ACTN4|81	11337.1998	ACTN4|81	10226.0385
ACTR10|55860	733.9422	ACTR10|55860	943.7675
ACTR1A|10121	2545.0977	ACTR1A|10121	3221.5904
ACTR1B|10120	1755.9061	ACTR1B|10120	1152.4506
ACTR2|10097	6882.0288	ACTR2|10097	5027.1685
ACTR3B|57180	221.2997	ACTR3B|57180	141.8901
ACTR3C|653857	39.5502	ACTR3C|653857	36.4654
ACTR3|10096	5092.3089	ACTR3|10096	2753.3171
ACTR5|79913	568.1938	ACTR5|79913	176.5502
ACTR6|64431	482.1496	ACTR6|64431	485.9644
ACTR8|93973	523.5112	ACTR8|93973	589.2229
ACVR1B|91	832.0628	ACVR1B|91	937.6297
lowly_expressed	lowly_expressed	ACVR1C|130399	1280.982
ACVR1|90	947.6942	ACVR1|90	1114.541
ACVR2A|92	449.8453	ACVR2A|92	517.3752
ACVR2B|93	276.8511	ACVR2B|93	336.1314
ACVRL1|94	651.219	ACVRL1|94	1263.2909
ACY1|95	534.078	ACY1|95	665.403
ACY3|91703	43.7769	ACY3|91703	23.1068
ACYP1|97	68.5335	ACYP1|97	33.577
ACYP2|98	90.8748	ACYP2|98	190.2699
ADAL|161823	76.9869	ADAL|161823	197.1297
ADAM10|102	1490.5276	ADAM10|102	1818.2146
ADAM11|4185	6.0382	lowly_expressed	lowly_expressed
ADAM12|8038	2408.6346	ADAM12|8038	1415.6512
ADAM15|8751	5371.9224	ADAM15|8751	3105.6955
ADAM17|6868	604.1211	ADAM17|6868	753.8587
ADAM19|8728	695.9016	ADAM19|8728	114.4508
ADAM22|53616	64.3067	ADAM22|53616	115.8949
ADAM23|8745	28.0776	ADAM23|8745	41.881
ADAM28|10863	193.524	ADAM28|10863	146.2226
ADAM32|203102	17.8127	ADAM32|203102	33.9381
ADAM33|80332	20.8318	ADAM33|80332	568.2823
ADAM6|8755	29648.4927	ADAM6|8755	24252.8098
ADAM8|101	1540.0408	ADAM8|101	56.6838
ADAM9|8754	2401.3888	ADAM9|8754	2173.8424
ADAMDEC1|27299	626.7643	lowly_expressed	lowly_expressed
ADAMTS10|81794	123.481	ADAMTS10|81794	158.137
ADAMTS12|81792	653.6342	ADAMTS12|81792	311.5805
ADAMTS13|11093	38.0406	ADAMTS13|11093	35.7433
ADAMTS14|140766	178.4286	lowly_expressed	lowly_expressed
ADAMTS15|170689	22.0394	ADAMTS15|170689	504.3777
ADAMTS16|170690	175.4095	ADAMTS16|170690	313.3857
ADAMTS17|170691	66.1182	ADAMTS17|170691	41.52
ADAMTS18|170692	5.1325	ADAMTS18|170692	489.5749
ADAMTS1|9510	550.985	ADAMTS1|9510	12456.3589
ADAMTS2|9509	1564.1935	ADAMTS2|9509	895.7487
ADAMTS3|9508	20.8318	ADAMTS3|9508	103.6195
ADAMTS4|9507	1011.3971	ADAMTS4|9507	1496.525
ADAMTS5|11096	336.6292	ADAMTS5|11096	3031.3205
ADAMTS6|11174	49.5132	ADAMTS6|11174	35.7433
ADAMTS7|11173	286.5122	ADAMTS7|11173	108.6741
lowly_expressed	lowly_expressed	ADAMTS8|11095	68.9593
ADAMTS9|56999	261.4537	ADAMTS9|56999	1216.7163
ADAMTSL1|92949	207.11	ADAMTSL1|92949	360.6824
ADAMTSL2|9719	313.6841	ADAMTSL2|9719	88.8167
ADAMTSL3|57188	72.1564	ADAMTSL3|57188	464.3018
ADAMTSL4|54507	78.4965	ADAMTSL4|54507	1084.2134
ADAMTSL5|339366	81.2137	ADAMTSL5|339366	47.6577
ADAP1|11033	96.7167	ADAP1|11033	100.1065
ADAP2|55803	531.9647	ADAP2|55803	453.8316
ADARB1|104	613.1784	ADARB1|104	972.2899
lowly_expressed	lowly_expressed	ADARB2|105	10.8313
ADAR|103	27068.9109	ADAR|103	6848.2715
ADAT1|23536	216.4692	ADAT1|23536	322.4118
ADAT2|134637	38.6444	ADAT2|134637	94.5934
ADAT3|113179	49.8151	ADAT3|113179	13.3586
ADA|100	236.6971	ADA|100	131.4198
ADCK1|57143	137.9727	ADCK1|57143	218.4313
ADCK2|90956	1405.691	ADCK2|90956	685.6214
ADCK4|79934	563.6652	ADCK4|79934	360.6824
ADCK5|203054	306.1363	ADCK5|203054	44.4083
ADCY1|107	84.8366	ADCY1|107	1196.8589
ADCY2|108	22.9451	ADCY2|108	83.7621
ADCY3|109	890.2227	ADCY3|109	1408.7373
ADCY4|196883	111.7065	ADCY4|196883	830.0388
ADCY5|111	231.8666	ADCY5|111	674.4291
ADCY6|112	1658.6912	ADCY6|112	3107.5007
ADCY7|113	874.3301	ADCY7|113	609.0802
ADCY9|115	1111.933	ADCY9|115	1030.0569
lowly_expressed	lowly_expressed	ADCYAP1R1|117	30.6887
ADC|113451	243.9429	ADC|113451	106.8689
ADD1|118	5422.5979	ADD1|118	6558.7147
ADD2|119	28.9833	ADD2|119	103.6195
ADD3|120	1358.5931	ADD3|120	3054.4273
lowly_expressed	lowly_expressed	ADH1A|124	134.9725
ADH1B|125	46.796	ADH1B|125	18399.4945
lowly_expressed	lowly_expressed	ADH1C|126	221.6807
lowly_expressed	lowly_expressed	ADH4|127	27.4393
ADH5|128	1261.0763	ADH5|128	3706.1107
ADHFE1|137872	12.3783	ADHFE1|137872	401.4803
ADI1|55256	1343.7995	ADI1|55256	2153.985
ADIPOQ|9370	130.7268	ADIPOQ|9370	35644.3722
ADIPOR1|51094	4296.4752	ADIPOR1|51094	2484.7008
ADIPOR2|79602	2598.8376	ADIPOR2|79602	3876.8842
ADK|132	227.6398	ADK|132	407.618
ADM2|79924	166.3522	ADM2|79924	68.2372
ADM|133	52.8342	ADM|133	875.5303
ADNP2|22850	515.9635	ADNP2|22850	676.5954
ADNP|23394	5132.7647	ADNP|23394	2430.5443
ADORA1|134	319.1184	ADORA1|134	112.2845
ADORA2A|135	150.351	ADORA2A|135	60.2906
ADORA2B|136	29.5871	ADORA2B|136	50.5461
ADORA3|140	214.6577	ADORA3|140	92.7882
ADO|84890	702.8455	ADO|84890	610.8855
ADPGK|83440	932.179	ADPGK|83440	838.1262
ADPRHL1|113622	61.2876	ADPRHL1|113622	97.4817
ADPRHL2|54936	1054.2682	ADPRHL2|54936	510.5154
ADPRH|141	300.0981	ADPRH|141	641.5741
lowly_expressed	lowly_expressed	ADRA1A|148	138.2796
ADRA1B|147	8.1516	ADRA1B|147	53.4344
lowly_expressed	lowly_expressed	ADRA1D|146	10.1092
ADRA2A|150	206.5062	ADRA2A|150	2167.3436
ADRA2B|151	10.8687	ADRA2B|151	26.3562
ADRA2C|152	308.2497	ADRA2C|152	75.8191
lowly_expressed	lowly_expressed	ADRB1|153	84.1231
ADRB2|154	21.7375	ADRB2|154	474.05
ADRBK1|156	3499.7358	ADRBK1|156	1593.6456
ADRBK2|157	321.2318	ADRBK2|157	1979.9621
ADRM1|11047	7776.5869	ADRM1|11047	898.6371
ADSL|158	701.3359	ADSL|158	783.8253
ADSSL1|122622	32.9081	ADSSL1|122622	135.7523
ADSS|159	2642.0107	ADSS|159	1167.2534
AEBP1|165	45428.6361	AEBP1|165	5871.288
AEBP2|121536	338.1387	AEBP2|121536	614.1348
AEN|64782	742.0937	AEN|64782	406.5349
AES|166	7776.5869	AES|166	6858.7418
AFAP1L1|134265	240.6219	AFAP1L1|134265	649.1561
AFAP1L2|84632	237.9047	AFAP1L2|84632	597.5269
AFAP1|60312	1223.3286	AFAP1|60312	1593.281
AFF1|4299	1001.4341	AFF1|4299	3227.006
AFF2|2334	14.7936	AFF2|2334	36.8264
AFF3|3899	2461.1669	AFF3|3899	1534.7956
AFF4|27125	2298.1357	AFF4|27125	3379.0053
AFG3L1|172	190.203	AFG3L1|172	202.5454
AFG3L2|10939	1847.6927	AFG3L2|10939	1142.6194
AFMID|125061	608.6497	AFMID|125061	596.4437
AFTPH|54812	1506.5288	AFTPH|54812	1536.2397
AG2|387763	227.9417	AG2|387763	1009.4774
AGAP11|119385	16.9069	AGAP11|119385	166.8057
AGAP1|116987	418.7486	AGAP1|116987	435.4184
AGAP2|116986	258.5916	AGAP2|116986	50.3331
AGAP3|116988	1904.1437	AGAP3|116988	913.8009
AGAP4|119016	128.3116	AGAP4|119016	190.2699
AGAP5|729092	23.3255	AGAP5|729092	53.0878
AGAP6|414189	55.8533	AGAP6|414189	92.4271
lowly_expressed	lowly_expressed	AGAP7|653268	6.1377
AGAP8|728404	15.6993	AGAP8|728404	15.5249
AGA|175	350.517	AGA|175	569.0044
AGBL2|79841	17.8127	AGBL2|79841	9.7482
lowly_expressed	lowly_expressed	AGBL4|84871	6.1377
AGBL5|60509	589.9555	AGBL5|60509	698.2652
AGER|177	24.1528	AGER|177	24.551
AGFG1|3267	1628.5003	AGFG1|3267	2424.7676
AGFG2|3268	531.6628	AGFG2|3268	437.2236
AGGF1|55109	947.6942	AGGF1|55109	934.3804
AGK|55750	597.781	AGK|55750	488.4917
AGL|178	990.5653	AGL|178	1342.3594
AGMAT|79814	67.3258	AGMAT|79814	17.3301
AGPAT1|10554	2635.7189	AGPAT1|10554	1987.2516
AGPAT2|10555	2120.311	AGPAT2|10555	3490.9288
AGPAT3|56894	2173.1451	AGPAT3|56894	2645.7261
AGPAT4|56895	133.444	AGPAT4|56895	240.816
AGPAT5|55326	532.5685	AGPAT5|55326	599.6931
AGPAT6|137964	1859.1592	AGPAT6|137964	1733.7305
AGPAT9|84803	17.8127	AGPAT9|84803	113.0066
AGPHD1|123688	33.512	AGPHD1|123688	61.7384
AGPS|8540	1035.8518	AGPS|8540	1585.3416
AGR2|10551	7035.097	AGR2|10551	1471.2519
AGR3|155465	1128.538	AGR3|155465	297.4998
AGRN|375790	6559.8913	AGRN|375790	2056.8643
AGTPBP1|23287	233.3761	AGTPBP1|23287	473.3279
AGTR1|185	22.3413	AGTR1|185	505.8218
lowly_expressed	lowly_expressed	AGTR2|186	6.1377
AGTRAP|57085	1005.057	AGTRAP|57085	640.491
AGT|183	59.1743	AGT|183	286.3074
AGXT2L2|85007	333.3837	AGXT2L2|85007	666.2551
AGXT|189	9.6611	AGXT|189	11.5534
AHCTF1|25909	1550.0038	AHCTF1|25909	1397.9601
AHCYL1|10768	3361.1593	AHCYL1|10768	4917.7724
AHCYL2|23382	454.3739	AHCYL2|23382	767.5783
AHCY|191	5777.9455	AHCY|191	2053.976
AHDC1|27245	669.0316	lowly_expressed	lowly_expressed
AHI1|54806	208.0157	AHI1|54806	435.4184
AHNAK2|113146	496.6413	AHNAK2|113146	1268.3455
AHNAK|79026	20820.8921	AHNAK|79026	124059.2111
AHRR|57491	17.8127	AHRR|57491	13.3586
AHR|196	1168.3901	AHR|196	3606.4627
AHSA1|10598	1851.0076	AHSA1|10598	1374.8533
AHSA2|130872	140.9918	AHSA2|130872	253.8135
AIDA|64853	1284.4834	AIDA|64853	1399.8484
AIF1L|83543	4474.6019	AIF1L|83543	2009.2066
AIF1|199	666.3144	AIF1|199	670.4576
AIFM1|9131	1253.2267	AIFM1|9131	839.787
AIFM2|84883	301.3058	AIFM2|84883	1829.407
AIFM3|150209	6.0382	AIFM3|150209	14.0807
AIG1|51390	334.8177	AIG1|51390	1196.8589
AIM1L|55057	58.8724	lowly_expressed	lowly_expressed
AIM1|202	643.6712	AIM1|202	2600.5957
AIM2|9447	72.7602	lowly_expressed	lowly_expressed
AIMP1|9255	1077.9742	AIMP1|9255	913.8803
AIMP2|7965	419.5879	AIMP2|7965	300.8178
AIP|9049	1213.9784	AIP|9049	650.9613
AJAP1|55966	6.3401	AJAP1|55966	14.4417
AK1|203	531.9647	AK1|203	662.5147
AK2|204	2773.6433	AK2|204	2099.8285
AK3L1|205	165.4464	AK3L1|205	530.0117
AK3|50808	693.1844	AK3|50808	2526.9429
AK5|26289	17.5108	AK5|26289	917.4113
AK7|122481	5.1325	AK7|122481	32.4939
AKAP10|11216	304.9287	AKAP10|11216	632.9091
AKAP11|11215	850.1774	AKAP11|11215	2039.1732
AKAP12|9590	823.6093	AKAP12|9590	5440.2022
AKAP13|11214	2622.6885	AKAP13|11214	3652.3152
AKAP1|8165	862.8576	AKAP1|8165	1805.9392
AKAP2|11217	574.552	AKAP2|11217	2881.4694
lowly_expressed	lowly_expressed	AKAP3|10566	21.6626
AKAP5|9495	181.7496	AKAP5|9495	72.2087
AKAP6|9472	17.8127	AKAP6|9472	210.1273
AKAP7|9465	93.8939	AKAP7|9465	207.2389
AKAP8L|26993	789.7955	AKAP8L|26993	476.9384
AKAP8|10270	630.6891	AKAP8|10270	423.865
AKAP9|10142	2028.5305	AKAP9|10142	2529.4702
AKD1|221264	29.2852	AKD1|221264	174.0229
AKIRIN1|79647	840.5163	AKIRIN1|79647	1495.8029
AKIRIN2|55122	752.6606	AKIRIN2|55122	801.1553
AKNA|80709	1076.3076	AKNA|80709	707.6451
AKR1A1|10327	3183.6365	AKR1A1|10327	1666.5764
AKR1B10|57016	14.7936	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AKR1B15|441282	77.6243
AKR1B1|231	969.1297	AKR1B1|231	971.5678
AKR1C1|1645	42.2673	AKR1C1|1645	5699.5974
AKR1C2|1646	49.2113	AKR1C2|1646	6039.5343
AKR1C3|8644	88.7614	AKR1C3|8644	4670.8187
lowly_expressed	lowly_expressed	AKR1E2|83592	35.2162
AKR7A2|8574	903.9173	AKR7A2|8574	828.2336
AKR7A3|22977	832.0628	AKR7A3|22977	127.0873
AKR7L|246181	53.7399	AKR7L|246181	11.9144
AKT1S1|84335	1094.1203	AKT1S1|84335	836.1766
AKT1|207	4198.9584	AKT1|207	2991.2447
AKT2|208	2368.7825	AKT2|208	3058.7598
AKT3|10000	464.035	AKT3|10000	1337.3048
AKTIP|64400	598.3697	AKTIP|64400	699.1136
ALAD|210	2204.2418	ALAD|210	2639.9495
ALAS1|211	1392.1051	ALAS1|211	1353.9128
lowly_expressed	lowly_expressed	ALAS2|212	84.1231
lowly_expressed	lowly_expressed	ALB|213	61.7384
ALCAM|214	1660.8046	ALCAM|214	2873.5445
ALDH16A1|126133	752.6606	ALDH16A1|126133	343.3523
ALDH18A1|5832	1958.1855	ALDH18A1|5832	1443.8126
ALDH1A1|216	574.8358	ALDH1A1|216	2068.4177
ALDH1A2|8854	22.6432	ALDH1A2|8854	592.4722
ALDH1A3|220	341.6107	ALDH1A3|220	1557.3752
ALDH1B1|219	1838.9312	ALDH1B1|219	646.6288
lowly_expressed	lowly_expressed	ALDH1L1|10840	963.2638
ALDH1L2|160428	479.4324	lowly_expressed	lowly_expressed
ALDH2|217	6015.8503	ALDH2|217	10072.7502
lowly_expressed	lowly_expressed	ALDH3A1|218	28.8835
ALDH3A2|224	1383.9535	ALDH3A2|224	3659.175
ALDH3B1|221	321.5337	ALDH3B1|221	252.7304
ALDH3B2|222	1489.9238	ALDH3B2|222	1056.413
ALDH4A1|8659	1752.5851	ALDH4A1|8659	2964.8885
ALDH5A1|7915	364.103	ALDH5A1|7915	961.4586
ALDH6A1|4329	171.5329	ALDH6A1|4329	823.7206
ALDH7A1|501	843.5354	ALDH7A1|501	1700.1534
lowly_expressed	lowly_expressed	ALDH8A1|64577	13.7196
ALDH9A1|223	2273.681	ALDH9A1|223	4297.1387
ALDOA|226	57984.7536	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ALDOB|229	7.5819
ALDOC|230	779.2286	ALDOC|230	2482.8956
ALG10B|144245	191.4107	ALG10B|144245	319.1624
ALG10|84920	73.6659	ALG10|84920	103.9805
ALG11|440138	10.5668	ALG11|440138	14.4417
ALG12|79087	563.6652	ALG12|79087	478.7436
ALG13|79868	353.5361	ALG13|79868	479.8267
ALG14|199857	229.4513	ALG14|199857	238.2887
ALG1L|200810	218.4889	lowly_expressed	lowly_expressed
ALG1|56052	869.1433	ALG1|56052	491.1562
ALG2|85365	937.4292	ALG2|85365	867.2263
ALG3|10195	1361.6122	ALG3|10195	592.4722
ALG5|29880	458.6006	ALG5|29880	508.3491
ALG6|29929	486.3763	ALG6|29929	274.032
ALG8|79053	1305.7589	ALG8|79053	1015.6151
ALG9|79796	412.7104	ALG9|79796	891.7772
ALKBH1|8846	255.1136	ALKBH1|8846	223.4859
ALKBH2|121642	293.4561	ALKBH2|121642	159.2201
ALKBH3|221120	467.9598	ALKBH3|221120	336.1314
ALKBH4|54784	321.3948	ALKBH4|54784	141.8395
ALKBH5|54890	1808.9516	ALKBH5|54890	2470.259
ALKBH6|84964	134.6517	ALKBH6|84964	72.2087
ALKBH7|84266	443.5052	ALKBH7|84266	293.8893
ALKBH8|91801	155.1815	ALKBH8|91801	253.4525
lowly_expressed	lowly_expressed	ALMS1P|200420	6.1377
ALMS1|7840	527.1341	ALMS1|7840	827.8726
lowly_expressed	lowly_expressed	ALOX12P2|245	15.8859
ALOX15B|247	112.9142	ALOX15B|247	309.0532
ALOX15|246	60.9857	ALOX15|246	154.1655
ALOX5AP|241	328.1757	ALOX5AP|241	366.098
ALOX5|240	521.6998	ALOX5|240	588.8618
ALOXE3|59344	73.36399999999999	lowly_expressed	lowly_expressed
ALPK1|80216	397.0111	ALPK1|80216	677.6785
ALPK2|115701	84.2328	ALPK2|115701	25.9951
ALPK3|57538	203.4871	ALPK3|57538	449.8601
