gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
ACAD9|28976	735.6494	ACAD9|28976	937.1785
lowly_expressed	lowly_expressed	ACADL|33	165.34
ACADM|34	559.9876	ACADM|34	964.0357
ACADSB|36	1516.6976	ACADSB|36	1692.1454
ACADS|35	131.4162	ACADS|35	1266.3278
ACADVL|37	2077.9066	ACADVL|37	9055.667
ACAN|176	29.3754	ACAN|176	13.4267
ACAP1|9744	41.744	ACAP1|9744	81.7109
ACAP2|23527	1062.7706	ACAP2|23527	1351.8749
ACAP3|116983	302.1336	ACAP3|116983	540.9456
ACAT1|38	817.8726	ACAT1|38	1898.149
ACAT2|39	383.1231	ACAT2|39	222.53
ACBD3|64746	2952.9994	ACBD3|64746	1145.8713
ACBD4|79777	124.9227	ACBD4|79777	328.3782
ACBD5|91452	1841.6821	ACBD5|91452	744.989
ACBD6|84320	1043.9085	ACBD6|84320	330.2963
ACBD7|414149	62.7706	ACBD7|414149	27.6206
ACCN1|40	97.0934	ACCN1|40	9.5905
ACCN2|41	43.9085	ACCN2|41	72.8877
ACCN3|9311	14.8423	ACCN3|9311	10.7413
ACCS|84680	76.0668	ACCS|84680	291.5508
ACD|65057	586.2709	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACE2|59272	35.6766
ACER2|340485	236.24	ACER2|340485	247.4345
ACER3|55331	543.9085	ACER3|55331	699.7219
ACE|1636	2078.5405	ACE|1636	774.9113
ACHE|43	8.0396	ACHE|43	27.6206
ACIN1|22985	3252.6283	ACIN1|22985	2901.6975
ACLY|47	2202.2263	ACLY|47	3120.3606
ACN9|57001	22.2635	ACN9|57001	119.3056
ACO1|48	522.8819	ACO1|48	5456.2194
ACO2|50	1355.9246	ACO2|50	2822.0236
ACOT11|26027	91.4811	ACOT11|26027	30.1832
ACOT13|55856	529.9011	ACOT13|55856	497.9611
ACOT1|641371	433.5189	ACOT1|641371	729.2606
ACOT2|10965	345.7019	ACOT2|10965	496.7872
ACOT4|122970	415.2752	ACOT4|122970	140.4047
ACOT6|641372	7.1119	lowly_expressed	lowly_expressed
ACOT7|11332	800.5566	ACOT7|11332	286.9473
ACOT8|10005	137.718	ACOT8|10005	223.8995
ACOT9|23597	610.0804	ACOT9|23597	598.0627
ACOX1|51	2761.9109	ACOX1|51	4105.3611
ACOX2|8309	549.1651	ACOX2|8309	332.2144
ACOX3|8310	213.3581	ACOX3|8310	545.5069
ACP1|52	2185.838	ACP1|52	986.6692
ACP2|53	1269.0167	ACP2|53	931.0444
ACP5|54	2643.7848	ACP5|54	487.9639
ACP6|51205	539.8887	ACP6|51205	150.7624
ACPL2|92370	282.9314	ACPL2|92370	284.262
ACPP|55	23.8095	ACPP|55	42.9654
ACRBP|84519	36.4873	ACRBP|84519	19.9482
ACRC|93953	15.4607	ACRC|93953	36.0602
lowly_expressed	lowly_expressed	ACR|49	5.3707
lowly_expressed	lowly_expressed	ACSBG1|23205	12.2758
ACSF2|80221	1330.5504	ACSF2|80221	764.1699
ACSF3|197322	380.6432	ACSF3|197322	385.5375
ACSL1|2180	1764.3785	ACSL1|2180	12003.8362
ACSL3|2181	1956.71	ACSL3|2181	1767.3348
ACSL4|2182	614.4094	ACSL4|2182	2962.3094
ACSL5|51703	149.0414	ACSL5|51703	1076.4362
ACSL6|23305	14.5331	ACSL6|23305	12.6594
ACSM1|116285	6.1843	ACSM1|116285	18.7974
lowly_expressed	lowly_expressed	ACSM2A|123876	5.3707
ACSM3|6296	21.8831	ACSM3|6296	45.9269
ACSM5|54988	52.2573	ACSM5|54988	366.7402
ACSS1|84532	843.8466	ACSS1|84532	876.5704
ACSS2|55902	511.7502	ACSS2|55902	2746.7153
ACSS3|79611	214.5949	ACSS3|79611	716.6011
ACTA1|58	10.2041	lowly_expressed	lowly_expressed
ACTA2|59	6541.6976	ACTA2|59	14856.4304
ACTBL2|345651	12.3686	lowly_expressed	lowly_expressed
ACTB|60	99000.9276	ACTB|60	83401.17
lowly_expressed	lowly_expressed	ACTC1|70	14.9612
ACTG1|71	126830.8596	ACTG1|71	46952.3353
ACTG2|72	27.8293	ACTG2|72	3612.928
ACTL6A|86	1179.9629	ACTL6A|86	708.1615
ACTN1|87	8688.6209	ACTN1|87	11165.6277
ACTN2|88	8.658	lowly_expressed	lowly_expressed
ACTN4|81	8193.2622	ACTN4|81	12599.4629
ACTR10|55860	1135.1268	ACTR10|55860	987.8201
ACTR1A|10121	2246.1348	ACTR1A|10121	3050.1582
ACTR1B|10120	1239.6413	ACTR1B|10120	1427.0644
ACTR2|10097	5709.3383	ACTR2|10097	5392.9222
ACTR3B|57180	155.8442	ACTR3B|57180	124.2927
ACTR3C|653857	10.8225	ACTR3C|653857	17.6465
ACTR3|10096	3807.0501	ACTR3|10096	3172.1492
ACTR5|79913	218.9239	ACTR5|79913	186.0554
ACTR6|64431	416.8213	ACTR6|64431	440.0115
ACTR8|93973	321.5832	ACTR8|93973	475.6881
ACVR1B|91	1182.1274	ACVR1B|91	1249.0649
ACVR1C|130399	8.658	ACVR1C|130399	1374.5085
ACVR1|90	956.0915	ACVR1|90	1083.7249
ACVR2A|92	246.7532	ACVR2A|92	384.7703
ACVR2B|93	243.3519	ACVR2B|93	422.7486
ACVRL1|94	448.3612	lowly_expressed	lowly_expressed
ACY1|95	369.8207	ACY1|95	582.4801
lowly_expressed	lowly_expressed	ACY3|91703	6.9052
ACYP1|97	55.0402	ACYP1|97	49.8705
ACYP2|98	106.3698	ACYP2|98	179.9175
ADAL|161823	89.9814	ADAL|161823	205.2364
ADAM10|102	2948.9796	ADAM10|102	1769.2529
ADAM11|4185	5.2566	ADAM11|4185	13.0431
ADAM12|8038	3404.1435	ADAM12|8038	1417.0902
ADAM15|8751	9225.2938	ADAM15|8751	4704.1757
ADAM17|6868	890.8472	ADAM17|6868	822.4801
ADAM19|8728	592.1459	ADAM19|8728	120.8401
ADAM22|53616	109.1528	ADAM22|53616	131.1979
ADAM23|8745	29.9938	ADAM23|8745	94.3704
ADAM28|10863	90.9091	ADAM28|10863	119.6893
ADAM32|203102	76.376	ADAM32|203102	37.9783
ADAM33|80332	33.7044	ADAM33|80332	443.2339
ADAM6|8755	6218.7848	ADAM6|8755	52439.3056
ADAM8|101	902.9066	ADAM8|101	104.7281
ADAM9|8754	1456.4007	ADAM9|8754	2683.8017
ADAMDEC1|27299	62.4613	ADAMDEC1|27299	11.8922
ADAMTS10|81794	181.509	ADAMTS10|81794	326.4602
ADAMTS12|81792	935.9926	ADAMTS12|81792	280.4258
ADAMTS13|11093	27.2109	ADAMTS13|11093	72.5041
ADAMTS14|140766	253.556	ADAMTS14|140766	10.7413
ADAMTS15|170689	9.8949	ADAMTS15|170689	433.8736
ADAMTS16|170690	284.4774	ADAMTS16|170690	169.9434
ADAMTS17|170691	43.5993	ADAMTS17|170691	32.224
lowly_expressed	lowly_expressed	ADAMTS18|170692	108.1807
ADAMTS1|9510	4023.5003	ADAMTS1|9510	3197.0845
ADAMTS2|9509	1273.6549	ADAMTS2|9509	927.2082
ADAMTS3|9508	13.2962	ADAMTS3|9508	143.4737
ADAMTS4|9507	320.3463	ADAMTS4|9507	187.5899
ADAMTS5|11096	230.3649	ADAMTS5|11096	1856.7181
ADAMTS6|11174	86.8893	ADAMTS6|11174	28.0042
ADAMTS7|11173	373.222	ADAMTS7|11173	133.1159
lowly_expressed	lowly_expressed	ADAMTS8|11095	51.405
ADAMTS9|56999	81.0142	ADAMTS9|56999	1209.1685
ADAMTSL1|92949	65.8627	ADAMTSL1|92949	101.2755
ADAMTSL2|9719	266.2338	ADAMTSL2|9719	82.4782
ADAMTSL3|57188	92.1459	ADAMTSL3|57188	246.2837
ADAMTSL4|54507	147.1861	ADAMTSL4|54507	1155.0782
ADAMTSL5|339366	52.2573	ADAMTSL5|339366	45.6507
ADAP1|11033	527.4644	ADAP1|11033	186.6692
ADAP2|55803	713.6673	ADAP2|55803	553.1792
ADARB1|104	572.047	ADARB1|104	1086.0267
ADAR|103	15281.0761	ADAR|103	6651.5776
ADAT1|23536	336.1163	ADAT1|23536	315.7188
ADAT2|134637	139.4558	ADAT2|134637	124.6763
ADAT3|113179	62.7706	ADAT3|113179	25.3189
ADA|100	295.2999	ADA|100	170.327
ADCK1|57143	180.8905	ADCK1|57143	198.7149
ADCK2|90956	1065.8627	ADCK2|90956	558.5499
ADCK4|79934	471.8615	ADCK4|79934	618.0109
ADCK5|203054	103.8961	ADCK5|203054	100.1247
ADCY1|107	269.9443	ADCY1|107	228.6372
ADCY2|108	12.987	ADCY2|108	106.6462
ADCY3|109	1677.6005	ADCY3|109	2298.6861
ADCY4|196883	39.8887	ADCY4|196883	763.0191
ADCY5|111	94.6197	ADCY5|111	983.6003
ADCY6|112	1141.6203	ADCY6|112	3753.3327
