gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
lowly_expressed	lowly_expressed	ACADL|33	422.032
ACADM|34	700.758	ACADM|34	1603.7217
ACADSB|36	123.412	ACADSB|36	1551.0287
ACADS|35	288.673	ACADS|35	1149.9763
ACADVL|37	6289.2153	ACADVL|37	5797.6417
ACAN|176	86.2603	ACAN|176	23.4191
ACAP1|9744	28.1841	ACAP1|9744	56.5962
ACAP2|23527	993.2743	ACAP2|23527	1623.2376
ACAP3|116983	635.8877	ACAP3|116983	329.8192
ACAT1|38	898.9004	ACAT1|38	2754.1859
ACAT2|39	1002.733	ACAT2|39	310.8156
ACBD3|64746	2891.4274	ACBD3|64746	1054.3482
ACBD4|79777	144.7635	ACBD4|79777	295.1785
ACBD5|91452	2100.5658	ACBD5|91452	878.7048
ACBD6|84320	886.9435	ACBD6|84320	274.6867
ACBD7|414149	197.2884	ACBD7|414149	19.028
ACCN2|41	231.4508	ACCN2|41	76.6
ACCN3|9311	46.1194	lowly_expressed	lowly_expressed
ACCS|84680	184.9045	ACCS|84680	277.1262
ACD|65057	318.5652	ACD|65057	248.8281
ACE2|59272	11.9569	ACE2|59272	26.3465
ACER2|340485	53.8059	ACER2|340485	212.2358
ACER3|55331	48.6815	ACER3|55331	1153.3916
ACE|1636	154.5852	ACE|1636	1455.4006
ACHE|43	9.3947	ACHE|43	7.3185
ACIN1|22985	2292.7298	ACIN1|22985	2003.3104
ACLY|47	3760.8626	ACLY|47	5707.4342
ACN9|57001	288.246	ACN9|57001	144.9058
ACO1|48	1126.0809	ACO1|48	8152.7805
ACO2|50	2379.9808	ACO2|50	4132.0399
ACOT11|26027	63.3202	ACOT11|26027	16.0177
ACOT13|55856	563.6938	ACOT13|55856	710.0628
ACOT1|641371	152.8771	ACOT1|641371	1344.1598
ACOT2|10965	99.9253	ACOT2|10965	525.4665
ACOT4|122970	9.8217	ACOT4|122970	241.0218
