gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
AZI2|64343	898.0463	AZI2|64343	1873.0415
AZIN1|51582	4416.3553	AZIN1|51582	3220.1287
B2M|567	20736.2016	B2M|567	44181.142
B3GALNT1|8706	591.438	B3GALNT1|8706	347.3836
B3GALNT2|148789	1369.4587	B3GALNT2|148789	493.2652
lowly_expressed	lowly_expressed	B3GALT1|8708	8.7822
B3GALT2|8707	7.6866	B3GALT2|8707	13.1733
B3GALT4|8705	433.8636	B3GALT4|8705	181.0103
B3GALT5|10317	32.4544	lowly_expressed	lowly_expressed
B3GALT6|126792	931.3548	B3GALT6|126792	349.3352
B3GALTL|145173	124.266	B3GALTL|145173	300.0575
B3GAT1|27087	5.5514	B3GAT1|27087	19.028
B3GAT2|135152	27.4197	B3GAT2|135152	7.5868
B3GAT3|26229	435.5717	B3GAT3|26229	281.0294
B3GNT1|11041	156.7204	B3GNT1|11041	729.4079
B3GNT2|10678	1073.1291	B3GNT2|10678	758.1939
B3GNT3|10331	126.8282	B3GNT3|10331	29.2739
B3GNT4|79369	30.3192	lowly_expressed	lowly_expressed
B3GNT5|84002	898.9004	B3GNT5|84002	253.7071
B3GNT7|93010	186.1855	B3GNT7|93010	129.7809
B3GNT8|374907	44.8383	B3GNT8|374907	70.7453
B3GNT9|84752	509.495	B3GNT9|84752	393.0411
B3GNTL1|146712	52.3028	B3GNTL1|146712	42.6374
B4GALNT1|2583	47.3962	B4GALNT1|2583	29.6691
B4GALNT3|283358	2524.1806	B4GALNT3|283358	52.693000000000005
B4GALNT4|338707	424.0418	B4GALNT4|338707	40.9835
B4GALT1|2683	6317.4976	B4GALT1|2683	3244.0357
B4GALT2|8704	1972.0295	B4GALT2|8704	1310.9827
B4GALT3|8703	1169.6381	B4GALT3|8703	664.0296
B4GALT4|8702	577.346	B4GALT4|8702	399.5887
B4GALT5|9334	2403.7579	B4GALT5|9334	2596.1068
B4GALT6|9331	234.8671	B4GALT6|9331	416.1772
B4GALT7|11285	380.9117	B4GALT7|11285	395.1976
B9D1|27077	179.6135	B9D1|27077	123.2577
B9D2|80776	51.2437	B9D2|80776	44.3987
BAALC|79870	8.1136	BAALC|79870	306.4001
BACE1|23621	845.5215	BACE1|23621	1671.5396
BACE2|25825	2224.8319	BACE2|25825	1160.2221
BACH1|571	939.0413	BACH1|571	847.9672
BACH2|60468	35.0165	BACH2|60468	177.1071
BAD|572	361.7466	BAD|572	627.325
BAG1|573	2069.4651	BAG1|573	1082.5975
BAG2|9532	418.4904	BAG2|9532	202.9657
BAG3|9531	591.011	BAG3|9531	1964.2785
BAG4|9530	406.1065	BAG4|9530	296.1543
BAG5|9529	1293.0501	BAG5|9529	1752.5307
BAGE2|85319	5.1244	BAGE2|85319	9.6799
BAHCC1|57597	673.0010000000001	BAHCC1|57597	474.2371
BAHD1|22893	741.3259	BAHD1|22893	546.4461
BAI1|575	6.4055	BAI1|575	21.9554
BAI2|576	42.2761	BAI2|576	175.1555
lowly_expressed	lowly_expressed	BAI3|577	17.0764
BAIAP2L1|55971	1123.5187	BAIAP2L1|55971	223.4574
BAIAP2L2|80115	184.0504	BAIAP2L2|80115	10.7338
BAIAP2|10458	1533.8956	BAIAP2|10458	410.8104
BAIAP3|8938	26.92	BAIAP3|8938	39.5929
BAK1|578	474.4315	BAK1|578	263.953
BAMBI|25805	10781.6804	BAMBI|25805	462.0397
BANF1|8815	1650.9021	BANF1|8815	1338.305
lowly_expressed	lowly_expressed	BANK1|55024	337.1377
BANP|54971	615.3518	BANP|54971	124.4141
BAP1|8314	2273.0864	BAP1|8314	1352.942
BARD1|580	116.1525	BARD1|580	64.8905
BARX1|56033	6.4055	lowly_expressed	lowly_expressed
BARX2|8538	1472.8301	BARX2|8538	71.2332
BASP1|10409	166.5421	BASP1|10409	428.3747
BAT1|7919	3459.3787	BAT1|7919	3870.4972
BAT2L1|84726	3777.1837	BAT2L1|84726	5538.3336
BAT2L2|23215	6618.9815	BAT2L2|23215	3959.2946
BAT2|7916	8465.4639	BAT2|7916	4522.8172
BAT3|7917	6882.0327	BAT3|7917	3401.6269
BAT4|7918	476.1396	BAT4|7918	175.1604
BAT5|7920	1392.9753	BAT5|7920	689.4003
BATF2|116071	27.33	BATF2|116071	82.4548
BATF3|55509	38.4328	BATF3|55509	23.906999999999996
BATF|10538	25.1948	BATF|10538	63.4268
BAX|581	630.2979	BAX|581	251.7555
BAZ1A|11177	1435.6784	BAZ1A|11177	651.3442
BAZ1B|9031	3691.2565	BAZ1B|9031	2298.9768
BAZ2A|11176	2240.9608	BAZ2A|11176	2381.6023
BAZ2B|29994	751.485	BAZ2B|29994	940.4484
BBC3|27113	100.3523	BBC3|27113	35.1287
BBOX1|8424	126.4012	BBOX1|8424	228.3364
BBS10|79738	324.9706	BBS10|79738	593.7722
BBS12|166379	146.8987	BBS12|166379	189.3045
BBS1|582	386.0361	BBS1|582	754.7787
BBS2|583	827.5862	BBS2|583	1079.7189
BBS4|585	136.2229	BBS4|585	360.0689
BBS5|129880	103.1835	BBS5|129880	226.8727
BBS7|55212	310.0246	BBS7|55212	295.1785
BBS9|27241	282.6946	BBS9|27241	333.7224
BBX|56987	1304.1529	BBX|56987	2130.1639
BCAM|4059	474.8585	BCAM|4059	3189.8790000000004
lowly_expressed	lowly_expressed	BCAN|63827	11.2217
BCAP29|55973	696.0606	BCAP29|55973	2000.8709
BCAP31|10134	2998.1851	BCAP31|10134	7050.1303
BCAR1|9564	678.5524	BCAR1|9564	737.7022
BCAR3|8412	235.2941	BCAR3|8412	989.9456
lowly_expressed	lowly_expressed	BCAS1|8537	47.81399999999999
BCAS2|10286	457.5254	BCAS2|10286	631.2135
BCAS3|54828	472.2964	BCAS3|54828	586.9416
BCAS4|55653	281.8405	BCAS4|55653	676.227
BCAT1|586	343.76	BCAT1|586	1039.7113
BCAT2|587	524.8212	BCAT2|587	348.3594
BCCIP|56647	624.6098	BCCIP|56647	701.7392
BCDIN3D|144233	201.1444	BCDIN3D|144233	180.132
BCHE|590	5.1244	BCHE|590	220.53
BCKDHA|593	918.1168	BCKDHA|593	733.3111
BCKDHB|594	482.9721	BCKDHB|594	637.1952
BCKDK|10295	1568.4851	BCKDK|10295	1034.8323
BCL10|8915	264.7593	BCL10|8915	405.4435
BCL11A|53335	1200.8114	BCL11A|53335	57.0841
BCL11B|64919	12.8109	BCL11B|64919	57.571999999999996
BCL2A1|597	33.3084	BCL2A1|597	27.8102
BCL2L11|10018	474.8585	BCL2L11|10018	562.5467
BCL2L12|83596	207.0119	BCL2L12|83596	109.46
BCL2L13|23786	1019.7502	BCL2L13|23786	1712.0351
BCL2L14|79370	8.1136	lowly_expressed	lowly_expressed
BCL2L1|598	2004.9109	BCL2L1|598	1892.0696
BCL2L2|599	897.0129	BCL2L2|599	2631.0501
BCL2|596	1272.1255	BCL2|596	2207.2519
BCL3|602	343.333	BCL3|602	627.4372
BCL6B|255877	187.8937	BCL6B|255877	877.2411
BCL6|604	1993.808	BCL6|604	2969.8369
BCL7A|605	497.0642	BCL7A|605	338.1135
BCL7B|9275	999.6797	BCL7B|9275	1299.7611
BCL7C|9274	417.2094	BCL7C|9274	412.76199999999994
lowly_expressed	lowly_expressed	BCL8|606	7.3185
BCL9L|283149	2700.1174	BCL9L|283149	2225.792
BCL9|607	1190.9896	BCL9|607	453.2575
BCLAF1|9774	2771.0046	BCLAF1|9774	3127.9159999999997
BCMO1|53630	10.2487	lowly_expressed	lowly_expressed
BCO2|83875	19.6434	BCO2|83875	11.7096
BCORL1|63035	470.1612	BCORL1|63035	409.8346
BCOR|54880	621.7572	BCOR|54880	591.3327
BCR|613	1893.8828	lowly_expressed	lowly_expressed
BCS1L|617	200.7174	BCS1L|617	263.7139
BDH1|622	765.2397	BDH1|622	218.5784
BDH2|56898	684.9578	BDH2|56898	794.7863
lowly_expressed	lowly_expressed	BDKRB1|623	25.3707
BDKRB2|624	100.7793	BDKRB2|624	687.4487
BDNFOS|497258	38.9623	BDNFOS|497258	68.9108
lowly_expressed	lowly_expressed	BDNF|627	10.1288
BDP1|55814	690.5092	BDP1|55814	998.7278
BEAN|146227	8.9677	BEAN|146227	22.9312
BECN1|8678	1183.8027	BECN1|8678	1637.9868
lowly_expressed	lowly_expressed	BEGAIN|57596	21.4675
BEND3|57673	637.1304	BEND3|57673	85.8701
lowly_expressed	lowly_expressed	BEND4|389206	6.3427
lowly_expressed	lowly_expressed	BEND5|79656	48.7898
BEND6|221336	67.4709	BEND6|221336	41.9593
BEND7|222389	1132.9134	BEND7|222389	342.9925
BEST1|7439	33.7355	lowly_expressed	lowly_expressed
BEST4|266675	14.5191	lowly_expressed	lowly_expressed
BET1L|51272	1460.8733	BET1L|51272	1661.2937
BET1|10282	476.9937	BET1|10282	566.9378
lowly_expressed	lowly_expressed	BEX1|55859	7.8064
BEX2|84707	81.99	BEX2|84707	76.6
BEX4|56271	97.3631	BEX4|56271	580.599
lowly_expressed	lowly_expressed	BEX5|340542	33.665
BFAR|51283	980.4633	BFAR|51283	1194.8629
BFSP1|631	368.5278	BFSP1|631	44.8866
BGLAP|632	27.0054	BGLAP|632	45.11600000000001
BGN|633	9866.9798	BGN|633	6135.321
BHLHA15|168620	20.9245	lowly_expressed	lowly_expressed
BHLHB9|80823	108.4659	BHLHB9|80823	148.3211
BHLHE22|27319	6.4055	BHLHE22|27319	46.8382
BHLHE40|8553	2340.1302	BHLHE40|8553	4187.630999999999
BHLHE41|79365	2448.1691	BHLHE41|79365	1561.2745
BHMT2|23743	15.8001	BHMT2|23743	1547.6134
BICC1|80114	312.5867	BICC1|80114	546.934
BICD1|636	300.6299	BICD1|636	141.4905
BICD2|23299	974.9119	BICD2|23299	1160.2221
BID|637	404.4454	BID|637	385.0249
BIK|638	33.3084	BIK|638	45.3745
BIN1|274	71.3142	BIN1|274	1093.868
BIN2|51411	255.7916	BIN2|51411	172.71599999999998
BIN3|55909	183.1963	BIN3|55909	345.43199999999996
BIRC2|329	1047.5072	BIRC2|329	1256.826
BIRC3|330	106.3307	lowly_expressed	lowly_expressed
BIRC5|332	332.62300000000005	BIRC5|332	12.7
BIRC6|57448	3882.9935	BIRC6|57448	2706.3718
lowly_expressed	lowly_expressed	BIRC7|79444	8.2943
BIVM|54841	436.2208	BIVM|54841	622.0703
BLCAP|10904	864.3109	BLCAP|10904	3878.7914
BLMH|642	874.1326	BLMH|642	630.8525
BLM|641	188.3207	BLM|641	25.8586
BLNK|29760	83.2711	BLNK|29760	144.4179
BLOC1S1|2647	600.884	BLOC1S1|2647	960.1838
BLOC1S2|282991	304.9002	BLOC1S2|282991	572.7926
BLOC1S3|388552	227.6076	BLOC1S3|388552	300.0575
BLVRA|644	737.9097	BLVRA|644	1135.3393
BLVRB|645	538.9132	BLVRB|645	1525.1701
BLZF1|8548	847.2296	BLZF1|8548	576.2079
BMF|90427	474.4315	BMF|90427	412.2741
BMI1|648	777.3674	BMI1|648	1597.9694
BMP1|649	460.3395	BMP1|649	852.3583
BMP2K|55589	489.3776	BMP2K|55589	689.8882
BMP2|650	5.9784	BMP2|650	378.6091
lowly_expressed	lowly_expressed	BMP3|651	11.2217
BMP4|652	14.092	BMP4|652	414.2257
BMP5|653	14.5191	BMP5|653	40.0077
BMP6|654	467.3513	BMP6|654	447.7101
lowly_expressed	lowly_expressed	BMP7|655	106.8497
BMP8A|353500	216.9318	BMP8A|353500	36.5924
BMP8B|656	322.4085	BMP8B|656	74.6484
lowly_expressed	lowly_expressed	BMPER|168667	241.5097
BMPR1A|657	528.6645	BMPR1A|657	787.4678
BMPR1B|658	401.8362	BMPR1B|658	99.0434
BMPR2|659	1818.7253	BMPR2|659	4557.458
BMS1P4|729096	34.1625	BMS1P4|729096	33.1771
BMS1P5|399761	58.5033	BMS1P5|399761	27.3223
BMS1|9790	3919.2911	BMS1|9790	954.3291
lowly_expressed	lowly_expressed	BMX|660	335.1861
BNC1|646	232.3049	BNC1|646	31.7134
BNC2|54796	91.3846	BNC2|54796	652.8079
BNIP1|662	184.9045	BNIP1|662	162.958
BNIP2|663	936.0521	BNIP2|663	1273.9024
BNIP3L|665	883.9543	BNIP3L|665	5374.1997
BNIP3|664	611.5085	BNIP3|664	1136.803
BNIPL|149428	633.7141	BNIPL|149428	194.6714
BOC|91653	780.6128	BOC|91653	1444.6668
BOD1L|259282	1076.9723	BOD1L|259282	1632.0198
BOD1|91272	672.1469	BOD1|91272	787.9557
BOK|666	894.6301	BOK|666	3575.8066
BOLA1|51027	661.8982	BOLA1|51027	192.7198
BOLA2|552900	932.8835	BOLA2|552900	464.4353
BOLA3|388962	240.8455	BOLA3|388962	266.3925
BOP1|23246	1146.1514	BOP1|23246	57.0841
BPGM|669	563.681	BPGM|669	510.8295
BPHL|670	649.5143	BPHL|670	557.6677
lowly_expressed	lowly_expressed	BPIL1|80341	53.6688
BPI|671	111.4551	BPI|671	6.3427
BPNT1|10380	1816.1631	BPNT1|10380	456.1849
BPTF|2186	2847.4432	BPTF|2186	2179.9296
BRAF|673	392.4416	BRAF|673	217.1147
BRAP|8315	485.5343	BRAP|8315	639.1468
BRCA1|672	466.3179	BRCA1|672	194.1835
BRCA2|675	155.8663	BRCA2|675	34.1529
BRCC3|79184	309.1705	BRCC3|79184	471.7976
BRD1|23774	767.8019	BRD1|23774	665.0054
BRD2|6046	4538.9132	BRD2|6046	3916.3596
BRD3|8019	2522.5024	BRD3|8019	959.8911
BRD4|23476	2872.211	BRD4|23476	1187.0565
BRD7|29117	1677.8051	BRD7|29117	1145.5852
BRD8|10902	800.6832	BRD8|10902	803.0806
BRD9|65980	757.1261	BRD9|65980	642.0742
BREA2|286076	9.8217	lowly_expressed	lowly_expressed
BRE|9577	1161.0975	BRE|9577	675.2512
BRF1|2972	553.6287	BRF1|2972	439.5964
BRF2|55290	667.0225	BRF2|55290	370.3148
BRI3BP|140707	61.4925	BRI3BP|140707	57.0841
BRI3|25798	1401.0889	BRI3|25798	1603.2338
BRIP1|83990	113.1632	BRIP1|83990	11.7096
BRIX1|55299	1075.6913	BRIX1|55299	361.5326
BRMS1L|84312	176.7909	BRMS1L|84312	203.4536
BRMS1|25855	575.6379	BRMS1|25855	412.76199999999994
BRP44L|51660	500.4804	BRP44L|51660	632.3162
BRP44|25874	1264.4389999999999	BRP44|25874	1043.1265
BRPF1|7862	821.6078	BRPF1|7862	383.4881
BRPF3|27154	898.0463	BRPF3|27154	927.4947
BRSK1|84446	179.35299999999998	BRSK1|84446	13.1733
BRWD1|54014	1535.1767	BRWD1|54014	1456.8643
BRWD3|254065	455.6421	BRWD3|254065	197.1109
BSCL2|26580	2217.9438	BSCL2|26580	1492.4809
BSDC1|55108	2662.5387	BSDC1|55108	2338.4965
BSG|682	7499.0926	BSG|682	5960.6534
BSND|7809	10.2487	lowly_expressed	lowly_expressed
BSN|8927	19.6434	BSN|8927	37.0803
BSPRY|54836	1170.9192	BSPRY|54836	380.0728
BST1|683	73.8764	BST1|683	390.3186
BST2|684	535.497	BST2|684	1275.3661
BTAF1|9044	719.9744	BTAF1|9044	984.5788
BTBD10|84280	416.3553	BTBD10|84280	616.2155
BTBD11|121551	5.5514	BTBD11|121551	83.4306
BTBD12|84464	239.9915	BTBD12|84464	181.9861
BTBD19|149478	11.9569	BTBD19|149478	14.6369
BTBD1|53339	1043.6639	BTBD1|53339	1837.9129
BTBD2|55643	1821.7145	BTBD2|55643	1569.0809
BTBD3|22903	1959.6456	BTBD3|22903	848.4551
BTBD6|90135	1141.027	BTBD6|90135	2181.8812
BTBD7|55727	707.5905	BTBD7|55727	1367.5789
BTBD8|284697	17.5083	BTBD8|284697	27.3223
BTBD9|114781	506.8859	BTBD9|114781	457.1607
BTC|685	91.8117	BTC|685	23.906999999999996
BTD|686	341.1978	BTD|686	1387.0948
BTF3L4|91408	1446.3542	BTF3L4|91408	925.0552
BTF3|689	5129.0701	BTF3|689	7204.7941
BTG1|694	3116.0457	BTG1|694	4744.8109
BTG2|7832	646.9521	BTG2|7832	5821.6024
BTG3|10950	916.8357	BTG3|10950	260.0498
BTK|695	66.1898	BTK|695	194.6714
lowly_expressed	lowly_expressed	BTLA|151888	15.6127
BTN2A1|11120	565.3891	BTN2A1|11120	565.4741
BTN2A2|10385	217.3588	BTN2A2|10385	178.0829
BTN2A3|54718	14.5191	BTN2A3|54718	17.0764
BTN3A1|11119	543.6105	BTN3A1|11119	962.1354
BTN3A2|11118	341.1978	BTN3A2|11118	780.1494
BTN3A3|10384	210.0993	BTN3A3|10384	755.7545
BTNL9|153579	9.8217	BTNL9|153579	2827.3706
BTRC|8945	381.3387	BTRC|8945	590.8448
BUB1B|701	422.6369	BUB1B|701	27.4882
BUB1|699	547.4538	BUB1|699	26.3465
BUB3|9184	1232.8387	BUB3|9184	1329.5228
BUD13|84811	359.5602	BUD13|84811	346.8957
BUD31|8896	1154.8799	BUD31|8896	743.3765
BVES|11149	28.1841	BVES|11149	209.7963
BYSL|705	682.3956	BYSL|705	251.2676
BZRAP1|9256	446.6745	BZRAP1|9256	140.0268
BZW1|9689	1678.6591	BZW1|9689	4432.0681
BZW2|28969	2970.4281	BZW2|28969	784.0526
lowly_expressed	lowly_expressed	C10orf105|414152	24.3949
C10orf107|219621	7.2595	C10orf107|219621	17.5643
lowly_expressed	lowly_expressed	C10orf108|414235	23.4191
C10orf10|11067	3728.4082	C10orf10|11067	12311.6255
C10orf110|55853	276.9766	C10orf110|55853	12.0999
C10orf111|221060	12.8152	C10orf111|221060	5.3669
C10orf114|399726	198.5694	C10orf114|399726	25.8586
C10orf116|10974	716.9595	C10orf116|10974	8683.0479
C10orf118|55088	597.8435	C10orf118|55088	610.8487
C10orf119|79892	1272.1255	C10orf119|79892	1286.5878
lowly_expressed	lowly_expressed	C10orf11|83938	120.023
C10orf125|282969	130.2445	C10orf125|282969	86.8459
lowly_expressed	lowly_expressed	C10orf128|170371	95.1402
C10orf12|26148	108.4659	C10orf12|26148	126.5901
C10orf137|26098	298.9217	C10orf137|26098	342.0167
C10orf140|387640	43.5572	C10orf140|387640	44.8866
C10orf18|54906	9139.3189	C10orf18|54906	1381.2401
C10orf25|220979	54.66	C10orf25|220979	78.0784
C10orf26|54838	867.3001	C10orf26|54838	3390.4052
C10orf28|27291	292.9433	C10orf28|27291	287.3721
C10orf2|56652	420.6256	C10orf2|56652	158.079
C10orf32|119032	186.1855	C10orf32|119032	874.6211
C10orf35|219738	171.6665	C10orf35|219738	63.4268
C10orf41|100131213	16.6542	C10orf41|100131213	40.9835
C10orf46|143384	1334.4721	C10orf46|143384	1777.4135
C10orf47|254427	605.1030000000001	C10orf47|254427	100.507
C10orf4|118924	154.5852	C10orf4|118924	359.58099999999996
C10orf54|64115	166.1151	C10orf54|64115	2346.3029
C10orf55|414236	6.4567	C10orf55|414236	7.8113
C10orf57|80195	649.0872	C10orf57|80195	1158.3437
C10orf58|84293	946.7279	C10orf58|84293	7918.5893
C10orf68|79741	22.5088	lowly_expressed	lowly_expressed
C10orf72|196740	109.32	C10orf72|196740	1144.6094
C10orf75|90271	207.5371	C10orf75|90271	183.4498
C10orf76|79591	586.7407	C10orf76|79591	674.2754
C10orf78|119392	64.0547	C10orf78|119392	95.6281
C10orf79|80217	7.6866	C10orf79|80217	17.5643
C10orf81|79949	36.7247	C10orf81|79949	252.7313
lowly_expressed	lowly_expressed	C10orf82|143379	12.6854
C10orf84|63877	464.6098	C10orf84|63877	678.1786
C10orf88|80007	114.0173	C10orf88|80007	172.71599999999998
lowly_expressed	lowly_expressed	C10orf90|118611	60.0115
C10orf95|79946	18.405	lowly_expressed	lowly_expressed
C11orf10|746	907.441	C11orf10|746	931.3978
C11orf17|56672	131.0985	C11orf17|56672	260.5377
C11orf1|64776	209.2452	C11orf1|64776	245.1835
lowly_expressed	lowly_expressed	C11orf21|29125	9.2701
C11orf24|53838	686.2389	C11orf24|53838	989.4577
C11orf2|738	1467.7058	C11orf2|738	1301.7126
C11orf30|56946	1592.3988	C11orf30|56946	474.2371
C11orf31|280636	469.7342	C11orf31|280636	472.2855
C11orf35|256329	16.1887	lowly_expressed	lowly_expressed
C11orf41|25758	184.0504	C11orf41|25758	41.4714
C11orf45|219833	158.4285	C11orf45|219833	59.5236
C11orf46|120534	296.7866	C11orf46|120534	703.0614
C11orf48|79081	472.1811	C11orf48|79081	312.5916
C11orf49|79096	408.6687	C11orf49|79096	315.1823
C11orf51|25906	279.0477	C11orf51|25906	307.8492
C11orf52|91894	459.1267	C11orf52|91894	184.9964
C11orf54|28970	2399.0605	C11orf54|28970	493.2652
C11orf57|55216	673.0010000000001	C11orf57|55216	732.3353
C11orf58|10944	1884.9151	C11orf58|10944	2775.6534
C11orf59|55004	801.5373	C11orf59|55004	1872.5536
C11orf61|79684	96.08200000000001	C11orf61|79684	170.7644
C11orf63|79864	9.8217	C11orf63|79864	273.7109
lowly_expressed	lowly_expressed	C11orf65|160140	5.3669
C11orf66|220004	23.4867	C11orf66|220004	21.4675
C11orf67|28971	660.1687	C11orf67|28971	491.0696
C11orf68|83638	604.249	C11orf68|83638	761.6092
C11orf70|85016	59.7843	C11orf70|85016	45.3745
C11orf71|54494	178.926	C11orf71|54494	216.6268
C11orf73|51501	1261.0227	C11orf73|51501	583.0385
C11orf74|119710	117.4335	C11orf74|119710	210.2842
C11orf75|56935	1182.8761	C11orf75|56935	136.6115
C11orf80|79703	437.2798	C11orf80|79703	141.4905
C11orf82|220042	475.2856	C11orf82|220042	40.4956
C11orf83|790955	301.0569	C11orf83|790955	123.9262
C11orf84|144097	283.9757	C11orf84|144097	163.9338
lowly_expressed	lowly_expressed	C11orf87|399947	7.3185
C11orf90|387804	197.7154	lowly_expressed	lowly_expressed
C11orf92|399948	7.6866	C11orf92|399948	50.7414
C11orf93|120376	6.4055	C11orf93|120376	35.6166
C11orf95|65998	237.8563	C11orf95|65998	507.4142
C11orf9|745	97.7901	C11orf9|745	14.6369
C12orf10|60314	512.8643	C12orf10|60314	522.0512
C12orf11|55726	1412.1917	C12orf11|55726	385.9275
C12orf23|90488	717.4122	C12orf23|90488	921.6399
C12orf24|29902	232.7319	C12orf24|29902	51.7172
C12orf26|84190	49.9626	C12orf26|84190	108.8013
C12orf29|91298	185.4553	C12orf29|91298	316.2654
C12orf32|83695	1002.6689	C12orf32|83695	346.4078
C12orf34|84915	28.6111	C12orf34|84915	29.2739
C12orf35|55196	888.6516	C12orf35|55196	1227.0642
lowly_expressed	lowly_expressed	C12orf39|80763	596.6996
C12orf41|54934	475.7126	C12orf41|54934	439.1085
C12orf43|64897	140.0662	C12orf43|64897	270.7836
C12orf44|60673	1014.1988	C12orf44|60673	409.3467
C12orf45|121053	141.7743	C12orf45|121053	116.6077
C12orf47|51275	255.7019	C12orf47|51275	246.6619
C12orf48|55010	136.2528	C12orf48|55010	43.9108
C12orf49|79794	505.6048	C12orf49|79794	579.6232
C12orf4|57102	602.1138	C12orf4|57102	438.6206
C12orf51|283450	954.4144	C12orf51|283450	1551.5166
C12orf52|84934	337.7816	C12orf52|84934	282.0052
C12orf53|196500	46.9734	C12orf53|196500	9.758
C12orf57|113246	1750.8274	C12orf57|113246	1035.3202
C12orf59|120939	9.8217	lowly_expressed	lowly_expressed
C12orf5|57103	84.5522	C12orf5|57103	282.981
C12orf60|144608	47.4004	C12orf60|144608	24.8828
C12orf61|283416	24.7678	C12orf61|283416	9.758
C12orf62|84987	298.0677	C12orf62|84987	576.6958
lowly_expressed	lowly_expressed	C12orf63|374467	7.8064
C12orf65|91574	153.3042	C12orf65|91574	181.9861
C12orf66|144577	116.5795	C12orf66|144577	92.7007
C12orf68|387856	29.0381	C12orf68|387856	21.4675
lowly_expressed	lowly_expressed	C12orf69|440087	7.3185
C12orf70|341346	9.8217	lowly_expressed	lowly_expressed
C12orf72|254013	58.9303	C12orf72|254013	112.2166
C12orf73|728568	162.2718	C12orf73|728568	76.1121
C12orf75|387882	44.4112	C12orf75|387882	312.7428
C12orf76|400073	78.1467	C12orf76|400073	90.2612
C13orf15|28984	120.4228	C13orf15|28984	1403.1955
C13orf18|80183	59.7843	C13orf18|80183	162.4701
C13orf1|57213	204.5479	C13orf1|57213	243.9491
C13orf23|80209	1207.6439	C13orf23|80209	866.5074
lowly_expressed	lowly_expressed	C13orf26|122046	12.6854
C13orf27|93081	112.7362	C13orf27|93081	80.0153
C13orf29|283487	333.9383	C13orf29|283487	152.7122
C13orf31|144811	156.2934	C13orf31|144811	416.1772
C13orf33|84935	107.6118	C13orf33|84935	1681.7854
C13orf34|79866	269.4865	C13orf34|79866	119.1155
lowly_expressed	lowly_expressed	C13orf36|400120	13.6612
C13orf37|440145	515.8535	C13orf37|440145	187.3529
C13orf38|728591	38.5396	lowly_expressed	lowly_expressed
C14orf101|54916	251.9483	C14orf101|54916	420.5683
C14orf102|55051	231.0238	C14orf102|55051	302.9848
C14orf104|55172	332.2302	C14orf104|55172	140.5147
C14orf106|55320	628.5897	C14orf106|55320	576.6958
C14orf109|26175	193.4451	C14orf109|26175	233.2154
C14orf115|55237	9.8217	lowly_expressed	lowly_expressed
C14orf118|55668	138.7851	C14orf118|55668	221.0179
C14orf119|55017	556.8485	C14orf119|55017	869.9227
C14orf126|112487	161.7594	C14orf126|112487	521.7731
C14orf128|84837	102.9145	C14orf128|84837	59.5236
C14orf129|51527	365.9656	C14orf129|51527	474.2371
C14orf132|56967	67.8979	C14orf132|56967	752.8271
C14orf135|64430	512.4373	C14orf135|64430	690.3761
C14orf138|79609	113.1632	C14orf138|79609	100.0192
C14orf139|79686	55.9411	C14orf139|79686	1214.3789
C14orf142|84520	119.1417	C14orf142|84520	147.3453
C14orf143|90141	51.2437	C14orf143|90141	50.2535
C14orf145|145508	83.2711	C14orf145|145508	81.9669
C14orf147|171546	1241.3793	C14orf147|171546	792.8347
C14orf149|112849	56.3681	C14orf149|112849	198.0867
C14orf153|84334	374.5062	C14orf153|84334	471.3098
C14orf156|81892	379.2036	C14orf156|81892	458.1365
C14orf159|80017	456.4962	C14orf159|80017	1048.4934
C14orf166|51637	1612.0423	C14orf166|51637	2266.2876
C14orf167|55449	659.9253	C14orf167|55449	800.7094
C14orf169|79697	236.1482	C14orf169|79697	217.1147
C14orf174|161394	26.903000000000002	C14orf174|161394	24.3949
C14orf176|643382	14.9461	C14orf176|643382	22.9312
C14orf179|112752	162.2718	C14orf179|112752	260.0498
C14orf180|400258	5.5514	C14orf180|400258	874.8016
C14orf181|400223	53.3789	C14orf181|400223	9.758
C14orf182|283551	13.665	lowly_expressed	lowly_expressed
C14orf1|11161	565.3891	C14orf1|11161	615.7276
C14orf21|161424	354.8628	C14orf21|161424	253.2192
C14orf28|122525	85.8332	C14orf28|122525	151.2485
C14orf2|9556	571.3676	C14orf2|9556	844.064
C14orf33|100129075	46.9734	C14orf33|100129075	54.1567
C14orf37|145407	29.4651	C14orf37|145407	170.7644
C14orf43|91748	657.2008	C14orf43|91748	1377.3369
C14orf45|80127	201.3836	C14orf45|80127	255.9954
C14orf49|161176	30.3192	C14orf49|161176	506.4384
C14orf4|64207	541.9024	C14orf4|64207	1225.6005
C14orf50|145376	63.6276	C14orf50|145376	40.0077
lowly_expressed	lowly_expressed	C14orf64|388011	40.4956
C14orf72|145200	21.3516	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C14orf73|91828	5.3669
C14orf79|122616	269.8836	C14orf79|122616	125.3899
C14orf80|283643	181.0612	C14orf80|283643	23.906999999999996
C14orf93|60686	216.0777	C14orf93|60686	155.6396
C15orf17|57184	724.2447	C15orf17|57184	1519.3153
C15orf21|283651	14.9461	C15orf21|283651	27.3223
C15orf23|90417	370.2359	C15orf23|90417	160.0306
