gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
ACADM|34	1392.555	ACADM|34	984.634
ACADSB|36	3270.7276	ACADSB|36	2397.0886
ACADS|35	501.269	ACADS|35	355.0344
ACADVL|37	2617.1616	ACADVL|37	4477.9579
ACAN|176	38.0711	ACAN|176	8.0873
ACAP1|9744	200.9306	ACAP1|9744	133.8455
ACAP2|23527	1590.1015	ACAP2|23527	1331.1767
ACAP3|116983	566.0152	ACAP3|116983	484.8767
ACAT1|38	1376.0575	ACAT1|38	1066.7206
ACAT2|39	179.0228	ACAT2|39	574.8201
ACBD3|64746	1969.5431	ACBD3|64746	1056.6114
ACBD4|79777	255.0761	ACBD4|79777	289.9313
ACBD5|91452	1019.4585	ACBD5|91452	660.7359
ACBD6|84320	561.7597	ACBD6|84320	329.9636
ACBD7|414149	32.1489	ACBD7|414149	49.3328
ACCN2|41	43.5702	ACCN2|41	463.4048
lowly_expressed	lowly_expressed	ACCN3|9311	13.7485
ACCS|84680	133.6717	ACCS|84680	618.6818
ACD|65057	250.423	ACD|65057	482.41
lowly_expressed	lowly_expressed	ACE2|59272	40.8411
ACER2|340485	190.3553	ACER2|340485	154.0639
ACER3|55331	557.9526	ACER3|55331	311.7671
ACE|1636	1185.2792	ACE|1636	698.7465
ACHE|43	22.8426	ACHE|43	39.628
ACIN1|22985	2755.9222	ACIN1|22985	3261.6256
ACLY|47	7535.11	ACLY|47	3308.5321
ACN9|57001	114.2132	ACN9|57001	129.3975
ACO1|48	3104.0609	ACO1|48	1253.5382
ACO2|50	2387.4281	ACO2|50	2636.5629
ACOT11|26027	33.5448	ACOT11|26027	32.3494
ACOT13|55856	524.0102	ACOT13|55856	469.8625
ACOT1|641371	1047.8003	ACOT1|641371	465.0222
ACOT2|10965	643.824	ACOT2|10965	329.9636
ACOT4|122970	393.401	ACOT4|122970	98.2612
ACOT6|641372	8.4602	lowly_expressed	lowly_expressed
ACOT7|11332	490.6937	ACOT7|11332	188.0307
ACOT8|10005	207.8723	ACOT8|10005	277.6506
ACOT9|23597	488.1557	ACOT9|23597	331.1767
ACOX1|51	2720.4695	ACOX1|51	1515.5681
ACOX2|8309	1025.3807	ACOX2|8309	272.9478
ACOX3|8310	315.1438	ACOX3|8310	489.6886
ACP1|52	1649.7462	ACP1|52	1499.7978
ACP2|53	920.0508	ACP2|53	814.3955
ACP5|54	1401.0152	ACP5|54	744.0356
ACP6|51205	281.7259	ACP6|51205	382.127
