gene_id	TCGA-BH-A209-01A-11R-A157-07	gene_id	TCGA-BH-A209-11A-42R-A157-07
lowly_expressed	lowly_expressed	?|100134869	7.4856
?|10357	405.5253	?|10357	108.0784
?|10431	1251.5537	?|10431	743.083
?|155060	184.3741	?|155060	139.5561
?|390284	7.3986	?|390284	6.689
?|57714	1447.7656	?|57714	1087.5646
?|645851	7.1027	?|645851	6.689
lowly_expressed	lowly_expressed	?|652919	6.2724
?|653553	197.3957	?|653553	165.3998
?|8225	259.8402	?|8225	243.8431
?|90288	16.573	?|90288	16.1143
A1BG|1	31.3969	A1BG|1	32.7486
A2LD1|87769	62.7405	A2LD1|87769	107.9599
A2ML1|144568	15.6851	A2ML1|144568	7.9051
A2M|2	11216.3184	A2M|2	54850.0395
A4GALT|53947	92.335	A4GALT|53947	278.5041
AAAS|8086	775.9692	AAAS|8086	525.6917
AACS|65985	1131.6958	AACS|65985	784.1289
lowly_expressed	lowly_expressed	AADACL3|126767	6.0809
AADAT|51166	37.881	AADAT|51166	70.5382
AAGAB|79719	1572.0627	AAGAB|79719	1093.9495
AAK1|22848	932.8204	AAK1|22848	1410.4591
AAMP|14	3817.1057	AAMP|14	1286.4092
AARS2|57505	937.4904	AARS2|57505	285.491
AARSD1|80755	529.1506	AARSD1|80755	378.8386
AARS|16	2391.24	AARS|16	2849.1943
AASDHPPT|60496	1171.6484	AASDHPPT|60496	959.5622
AASDH|132949	241.4916	AASDH|132949	391.9124
AASS|10157	108.0201	AASS|10157	638.796
AATF|26574	1062.7405	AATF|26574	749.4679
AATK|9625	9.4703	AATK|9625	25.5397
ABAT|18	217.8159	ABAT|18	523.2593
lowly_expressed	lowly_expressed	ABCA10|10349	509.8814
ABCA11P|79963	124.2439	ABCA11P|79963	118.3278
ABCA12|26154	46.7594	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ABCA13|154664	20.979
ABCA17P|650655	22.7878	lowly_expressed	lowly_expressed
ABCA1|19	828.0408	ABCA1|19	2695.3025
ABCA2|20	338.2658	ABCA2|20	1034.3569
ABCA3|21	1258.9524	ABCA3|21	714.8069
ABCA4|24	35.8094	ABCA4|24	35.2691
ABCA5|23461	128.1444	ABCA5|23461	916.996
ABCA6|23460	64.5161	ABCA6|23460	906.6586
ABCA7|10347	158.0349	ABCA7|10347	181.2101
ABCA8|10351	90.2634	ABCA8|10351	3290.6659
ABCA9|10350	29.2986	ABCA9|10350	1110.976
ABCB10|23456	771.53	ABCB10|23456	463.6668
lowly_expressed	lowly_expressed	ABCB11|8647	9.4254
ABCB1|5243	162.4741	ABCB1|5243	432.6543
ABCB4|5244	44.3918	ABCB4|5244	25.5397
lowly_expressed	lowly_expressed	ABCB5|340273	29.7963
ABCB6|10058	555.8538	ABCB6|10058	415.0654
ABCB7|22	397.1589	ABCB7|22	420.1885
ABCB8|11194	489.198	ABCB8|11194	236.242
ABCB9|23457	45.2205	ABCB9|23457	110.5108
ABCC10|89845	778.3368	ABCC10|89845	305.868
ABCC11|85320	18.6446	ABCC11|85320	228.945
ABCC1|4363	1006.8067	ABCC1|4363	957.4339
ABCC2|1244	15.6851	ABCC2|1244	37.3974
ABCC3|8714	141.462	ABCC3|8714	388.2639
ABCC4|10257	189.1092	ABCC4|10257	196.1082
ABCC5|10057	890.5001	ABCC5|10057	790.8179
lowly_expressed	lowly_expressed	ABCC6P1|653190	14.2901
ABCC6P2|730013	6.8067	ABCC6P2|730013	18.5467
ABCC6|368	26.931	ABCC6|368	174.5211
ABCC8|6833	28.4108	ABCC8|6833	88.4767
ABCC9|10060	133.7674	ABCC9|10060	1465.187
ABCD1|215	398.6387	ABCD1|215	230.4652
ABCD2|225	63.6283	ABCD2|225	257.5251
ABCD3|5825	2712.9328	ABCD3|5825	1483.4296
ABCD4|5826	356.0225	ABCD4|5826	657.3427
ABCE1|6059	2720.3315	ABCE1|6059	1912.7394
ABCF1|23	1577.3898	ABCF1|23	1370.6294
ABCF2|10061	1827.1678	ABCF2|10061	1188.2031
ABCF3|55324	1533.8858	ABCF3|55324	721.7999
ABCG1|9619	751.7017	ABCG1|9619	394.9529
ABCG2|9429	26.3392	ABCG2|9429	319.8541
ABCG5|64240	5.623	lowly_expressed	lowly_expressed
ABCG8|64241	5.327	lowly_expressed	lowly_expressed
ABHD10|55347	616.7505	ABHD10|55347	636.9717
ABHD11|83451	1241.4916	ABHD11|83451	332.0158
ABHD12B|145447	35.2175	lowly_expressed	lowly_expressed
ABHD12|26090	1294.7618	ABHD12|26090	629.3706
ABHD13|84945	359.8698	ABHD13|84945	639.4041
ABHD14A|25864	121.6336	ABHD14A|25864	205.5336
ABHD14B|84836	1277.8929	ABHD14B|84836	2114.3205
ABHD15|116236	290.3226	ABHD15|116236	372.1496
ABHD1|84696	36.6972	ABHD1|84696	22.8033
ABHD2|11057	2455.4602	ABHD2|11057	3096.0778
ABHD3|171586	494.2291	ABHD3|171586	330.7996
ABHD4|63874	835.1583	ABHD4|63874	896.3211
ABHD5|51099	905.0015	ABHD5|51099	1557.0082
ABHD6|57406	188.8133	ABHD6|57406	331.4077
