gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
ACADVL|37	4140.5703	ACADVL|37	4819.8194
ACAN|176	35.4975	removed	removed
ACAP1|9744	164.5175	ACAP1|9744	23.2745
ACAP2|23527	989.8354	ACAP2|23527	2126.8058
ACAP3|116983	850.9956	ACAP3|116983	305.0281
ACAT1|38	649.8781	ACAT1|38	4067.0144
ACAT2|39	551.1438	ACAT2|39	216.6974
ACBD3|64746	2820.6896	ACBD3|64746	1294.1413
ACBD4|79777	147.11	ACBD4|79777	185.3933
ACBD5|91452	604.1409	ACBD5|91452	1131.6212
ACBD6|84320	802.108	ACBD6|84320	239.1653
ACBD7|414149	31.743	removed	removed
ACCN2|41	67.2405	ACCN2|41	66.2119
ACCN3|9311	25.9405	removed	removed
ACCS|84680	182.6076	ACCS|84680	382.825
ACD|65057	374.7722	ACD|65057	153.6918
removed	removed	ACE2|59272	11.236
ACER2|340485	37.5455	ACER2|340485	467.8973
ACER3|55331	236.8779	ACER3|55331	1676.9663
ACE|1636	486.3846	ACE|1636	898.4751
ACHE|43	7.5091	removed	removed
ACIN1|22985	3653.1753	ACIN1|22985	2166.9342
ACLY|47	4825.6183	ACLY|47	2667.3355
ACN9|57001	102.3968	ACN9|57001	126.8058
ACO1|48	995.2966	ACO1|48	10777.6886
ACO2|50	3612.5784	ACO2|50	3498.9406
ACOT11|26027	47.0786	ACOT11|26027	13.0618
ACOT13|55856	817.6177	ACOT13|55856	798.0979
ACOT1|641371	720.8732	ACOT1|641371	2001.2039
ACOT2|10965	424.9466	ACOT2|10965	1040.1284
ACOT4|122970	160.4216	ACOT4|122970	278.4912
removed	removed	ACOT6|641372	20.0642
ACOT7|11332	430.7491	ACOT7|11332	194.6228
ACOT8|10005	806.3165	ACOT8|10005	204.9438
ACOT9|23597	640.6624	ACOT9|23597	863.5634
ACOX1|51	2218.5454	ACOX1|51	4884.0289
ACOX2|8309	275.7886	ACOX2|8309	406.9021
ACOX3|8310	651.9261	ACOX3|8310	323.8363
ACP1|52	2031.5519	ACP1|52	1079.053
ACP2|53	1371.0927	ACP2|53	896.0674
ACP5|54	2456.1571	ACP5|54	946.2279
ACP6|51205	535.5351	ACP6|51205	58.9888
ACPL2|92370	224.9316	ACPL2|92370	341.4928
ACPP|55	35.4975	ACPP|55	20.4655
ACRBP|84519	59.3901	ACRBP|84519	26.0835
ACRC|93953	15.7008	ACRC|93953	42.9374
removed	removed	ACR|49	6.8218
removed	removed	ACSBG1|23205	17.2552
ACSF2|80221	1311.3613	ACSF2|80221	1128.4109
ACSF3|197322	460.4441	ACSF3|197322	141.252
ACSL1|2180	1467.3457	ACSL1|2180	47361.1557
ACSL3|2181	3693.1101	ACSL3|2181	2016.8539
ACSL4|2182	812.3477	ACSL4|2182	3107.9454
ACSL5|51703	302.4118	ACSL5|51703	950.2408
ACSL6|23305	5.4612	removed	removed
ACSM1|116285	10.2397	removed	removed
