gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
CMTM7|112616	246.0936	CMTM7|112616	282.504
CMTM8|152189	122.1935	CMTM8|152189	63.8042
CMYA5|202333	418.8028	CMYA5|202333	139.6469
CN5H6.4|150384	9.8984	removed	removed
CNBP|7555	15216.5009	CNBP|7555	7589.8876
CNDP2|55748	4241.2741	CNDP2|55748	1466.2921
CNFN|84518	84.3067	CNFN|84518	17.2552
removed	removed	CNGA1|1259	28.4912
CNGA3|1261	121.1695	removed	removed
CNIH2|254263	24.9165	removed	removed
CNIH3|149111	124.5827	CNIH3|149111	42.5361
CNIH4|29097	1391.2307	CNIH4|29097	1014.4462
CNIH|10175	1295.6604	CNIH|10175	1410.1124
CNKSR1|10256	445.0846	removed	removed
removed	removed	CNKSR2|22866	137.6404
CNKSR3|154043	42.6653	CNKSR3|154043	194.6228
CNN1|1264	260.7704	CNN1|1264	71.4286
CNN2|1265	2474.2472	CNN2|1265	1383.2263
CNN3|1266	2847.3128	CNN3|1266	5398.0738
removed	removed	CNNM1|26507	12.0385
CNNM2|54805	117.7563	CNNM2|54805	138.0417
CNNM3|26505	1086.4297	CNNM3|26505	621.1878
CNNM4|26504	1770.0988	CNNM4|26504	229.1332
CNOT10|25904	724.2865	CNOT10|25904	521.6693
CNOT1|23019	4322.3518	CNOT1|23019	5425.7263
CNOT2|4848	1720.2657	CNOT2|4848	1495.5859
CNOT3|4849	1169.3711	CNOT3|4849	480.7384
CNOT4|4850	743.4005	CNOT4|4850	833.8684
CNOT6L|246175	839.9948	CNOT6L|246175	1463.0819
CNOT6|57472	1385.7696	CNOT6|57472	811.7978
CNOT7|29883	1272.4505	CNOT7|29883	1689.4061
CNOT8|9337	1458.4713	CNOT8|9337	2000.0
CNO|55330	369.6523	CNO|55330	130.8186
CNPY2|10330	1203.8447	CNPY2|10330	585.0722
CNPY3|10695	1920.2807	CNPY3|10695	505.61800000000005
CNPY4|245812	321.1845	CNPY4|245812	210.2729
CNP|1267	2447.2793	CNP|1267	1161.0233
removed	removed	CNR1|1268	425.7624
CNRIP1|25927	163.8348	CNRIP1|25927	1372.7929
CNST|163882	928.7387	CNST|163882	1270.0642
CNTD1|124817	58.9874	CNTD1|124817	26.4165
CNTD2|79935	77.4802	CNTD2|79935	12.8411
CNTFR|1271	6.8265	CNTFR|1271	2119.9839
removed	removed	CNTF|1270	20.9149
CNTLN|54875	96.5943	CNTLN|54875	333.8684
CNTN1|1272	45.7372	CNTN1|1272	72.2311
CNTN2|6900	6.4851	CNTN2|6900	7.2231
CNTN3|5067	22.8686	CNTN3|5067	75.4414
CNTN4|152330	59.3901	CNTN4|152330	319.0209
removed	removed	CNTN6|27255	9.6308
CNTNAP1|8506	143.3555	CNTNAP1|8506	259.2295
CNTNAP2|26047	71.3364	removed	removed
CNTNAP3|79937	7.1678	CNTNAP3|79937	207.0626
removed	removed	CNTNAP4|85445	10.0321
CNTNAP5|129684	6.8265	removed	removed
CNTROB|116840	721.8972	CNTROB|116840	299.7592
COASY|80347	1278.5943	COASY|80347	648.0738
COBLL1|22837	1022.6024	COBLL1|22837	5170.5457
COBL|23242	189.0927	COBL|23242	14.8475
COBRA1|25920	1289.5166	COBRA1|25920	666.5329
COCH|1690	6.1438	COCH|1690	101.557
COG1|9382	2035.0333	COG1|9382	954.7552
COG2|22796	1874.2022	COG2|22796	699.4382
COG3|83548	1060.8305	COG3|83548	767.2552
COG4|25839	1322.2836	COG4|25839	1002.809
COG5|10466	798.0599	COG5|10466	1351.1637
COG6|57511	879.2469	COG6|57511	694.2215
COG7|91949	592.536	COG7|91949	411.7175
COG8|84342	522.3293	COG8|84342	407.4759
COIL|8161	1128.4124	COIL|8161	369.9839
COL10A1|1300	6491.6137	removed	removed
COL11A1|1301	8469.2366	removed	removed
COL12A1|1303	17230.304	COL12A1|1303	10197.8331
COL13A1|1305	40.9587	removed	removed
COL14A1|7373	529.05	COL14A1|7373	6884.8315
COL15A1|1306	2059.5403	COL15A1|1306	6073.435
COL16A1|1307	961.1643	COL16A1|1307	651.6854
COL17A1|1308	506.1814	removed	removed
COL18A1|80781	3825.2019	COL18A1|80781	1125.2006
COL1A1|1277	179204.9232	COL1A1|1277	10308.5875
COL1A2|1278	135891.0908	COL1A2|1278	27922.1509
COL21A1|81578	31.0604	COL21A1|81578	61.3965
COL22A1|169044	127.3133	removed	removed
COL23A1|91522	13.3116	removed	removed
COL24A1|255631	32.766999999999996	COL24A1|255631	12.8411
removed	removed	COL25A1|84570	162.1188
COL27A1|85301	81.2348	COL27A1|85301	56.1798
COL28A1|340267	7.8504	COL28A1|340267	7.2231
COL3A1|1281	105061.4722	COL3A1|1281	24147.6726
COL4A1|1282	11300.8485	COL4A1|1282	20221.9101
COL4A2|1284	9328.6868	COL4A2|1284	11620.7865
COL4A3BP|10087	1023.9677	COL4A3BP|10087	3620.3852
COL4A4|1286	96.9356	COL4A4|1286	7.6244
COL4A5|1287	1334.2299	COL4A5|1287	34.5104
COL4A6|1288	63.1447	COL4A6|1288	7.6244
COL5A1|1289	13903.7743	COL5A1|1289	2138.0417
COL5A2|1290	16312.4876	COL5A2|1290	4996.3884
COL5A3|50509	664.2137	COL5A3|50509	811.3965
COL6A1|1291	13424.5575	COL6A1|1291	10118.7801
COL6A2|1292	15032.8694	COL6A2|1292	11700.6421
COL6A3|1293	39121.7088	COL6A3|1293	24541.7335
COL6A6|131873	21.5033	COL6A6|131873	372.7929
COL7A1|1294	460.1028	removed	removed
COL8A1|1295	790.503	COL8A1|1295	719.5024
COL8A2|1296	1989.2279	COL8A2|1296	550.9631
COL9A2|1298	49.8331	COL9A2|1298	14.8475
COL9A3|1299	7.8504	removed	removed
COLEC11|78989	5.1198	COLEC11|78989	21.2681
COLEC12|81035	374.7722	COLEC12|81035	2533.7079
COLQ|8292	120.0193	COLQ|8292	28.8925
COMMD10|51397	434.5036	COMMD10|51397	475.5217
COMMD1|150684	347.8077	COMMD1|150684	284.5104
COMMD2|51122	633.4947	COMMD2|51122	824.6388
COMMD3|23412	1875.9497	COMMD3|23412	628.7761
COMMD4|54939	967.6494	COMMD4|54939	422.5522
COMMD5|28991	469.6462	COMMD5|28991	253.11
COMMD6|170622	2665.7292	COMMD6|170622	1813.8042
COMMD7|149951	1761.5657	COMMD7|149951	1005.2167
COMMD8|54951	184.3142	COMMD8|54951	259.6308
COMMD9|29099	1041.3751	COMMD9|29099	902.8892
COMP|1311	6547.9319	removed	removed
COMTD1|118881	73.3843	COMTD1|118881	27.6886
COMT|1312	1124.9991	COMT|1312	779.695
COPA|1314	10923.1683	COPA|1314	6278.3066
COPB1|1315	3276.8604	COPB1|1315	4043.3387
COPB2|9276	4746.4315	COPB2|9276	3985.1525
COPE|11316	2760.6168	COPE|11316	726.3162
COPG2|26958	832.1444	COPG2|26958	707.4639
COPG|22820	24757.148999999998	COPG|22820	3431.3804
COPS2|9318	1257.4323	COPS2|9318	2622.7929
COPS3|8533	797.3295	COPS3|8533	1050.5618
COPS4|51138	763.5386	COPS4|51138	1136.8379
COPS5|10987	1376.2125	COPS5|10987	1143.2584
COPS6|10980	1472.1242	COPS6|10980	1339.0851
COPS7A|50813	2032.5758	COPS7A|50813	1502.809
COPS7B|64708	555.6731	COPS7B|64708	516.0514
COPS8|10920	1258.1013	COPS8|10920	1422.5361
COPZ1|22818	4335.8204	COPZ1|22818	2747.9936
COPZ2|51226	418.8028	COPZ2|51226	1057.3836
COQ10A|93058	68.6058	COQ10A|93058	154.8957
COQ10B|80219	849.5518	COQ10B|80219	822.2311
COQ2|27235	255.6506	COQ2|27235	154.4944
COQ3|51805	105.1273	COQ3|51805	211.0754
COQ4|51117	843.0667	COQ4|51117	289.3258
COQ5|84274	819.1741	COQ5|84274	901.2841
COQ6|51004	472.1993	COQ6|51004	328.4029
COQ7|10229	450.2045	COQ7|10229	371.1878
COQ9|57017	868.6659	COQ9|57017	697.8331
CORIN|10699	228.0035	CORIN|10699	8.427
CORO1A|11151	737.5980000000001	CORO1A|11151	184.99200000000002
CORO1B|57175	2771.1978	CORO1B|57175	538.5233
CORO1C|23603	3025.4831	CORO1C|23603	6904.8957
CORO2A|7464	971.7453	CORO2A|7464	165.7303
CORO2B|10391	47.7852	CORO2B|10391	822.2311
CORO6|84940	20.8207	CORO6|84940	55.7785
CORO7|79585	796.6503	CORO7|79585	281.0955
COTL1|23406	2301.8793	COTL1|23406	2357.9454
COX10|1352	279.2019	COX10|1352	349.9197
COX11|1353	1695.2911	COX11|1353	687.6324
COX15|1355	673.2826	COX15|1355	1297.7006
COX16|51241	1238.6596	COX16|51241	634.4302
COX17|10063	1365.9729	COX17|10063	466.6934
COX18|285521	449.1805	COX18|285521	422.9535
COX19|90639	329.5674	COX19|90639	177.8892
COX4I1|1327	6252.6879	COX4I1|1327	3228.7319
COX4I2|84701	18.4314	COX4I2|84701	117.175
COX4NB|10328	570.35	COX4NB|10328	324.2376
COX5A|9377	1249.2406	COX5A|9377	1305.3772
COX5B|1329	2462.6422	COX5B|1329	1146.0674
COX6A1|1337	4638.2322	COX6A1|1337	1634.0289
COX6B1|1340	3870.2565	COX6B1|1340	2429.7753
COX6C|1345	8735.8095	COX6C|1345	1895.6661
COX7A1|1346	140.6249	COX7A1|1346	1240.3692
COX7A2L|9167	2977.698	COX7A2L|9167	1955.0562
COX7A2|1347	2143.847	COX7A2|1347	1527.6886
COX7B|1349	1885.4658	COX7B|1349	1578.6517
COX7C|1350	3884.9333	COX7C|1350	3093.9005
COX8A|1351	2793.7251	COX8A|1351	1339.4864
CP110|9738	451.5697	CP110|9738	573.0337
removed	removed	CPA1|1357	34.9117
removed	removed	CPA2|1358	21.6693
CPA3|1359	30.0364	CPA3|1359	353.9326
CPA4|51200	15.7008	CPA4|51200	18.4591
CPA6|57094	163.4935	removed	removed
CPAMD8|27151	75.09100000000001	CPAMD8|27151	128.4109
CPB1|1360	3643.6183	CPB1|1360	30.4976
CPD|1362	1946.5625	CPD|1362	4535.313
CPEB1|64506	46.4199	CPEB1|64506	90.6902
CPEB2|132864	776.5088	CPEB2|132864	1015.6501
CPEB3|22849	101.3728	CPEB3|22849	160.9149
CPEB4|80315	1250.6058	CPEB4|80315	1407.3034
CPE|1363	1399.4225	CPE|1363	5493.5795
CPLX1|10815	40.2761	CPLX1|10815	46.549
CPM|1368	560.793	CPM|1368	8100.7223
CPNE1|8904	4471.1992	CPNE1|8904	1257.8371
CPNE2|221184	778.5568	CPNE2|221184	1813.8042
CPNE3|8895	2539.0985	CPNE3|8895	4657.3034
removed	removed	CPNE4|131034	14.0449
CPNE5|57699	44.0306	CPNE5|57699	18.0578
CPNE7|27132	45.0546	removed	removed
CPNE8|144402	124.9241	CPNE8|144402	583.4671
CPOX|1371	513.6904	CPOX|1371	290.1284
CPO|130749	5.8025	CPO|130749	5.617999999999999
CPPED1|55313	363.8498	CPPED1|55313	979.5345
CPS1|1373	46.0785	CPS1|1373	463.4831
CPSF1|29894	727.6997	CPSF1|29894	446.6292
CPSF2|53981	1593.9763	CPSF2|53981	1550.1605
CPSF3L|54973	2143.847	CPSF3L|54973	659.7111
CPSF3|51692	1121.5859	CPSF3|51692	825.4414
CPSF4|10898	284.3217	CPSF4|10898	305.3772
CPSF6|11052	2111.7627	CPSF6|11052	1282.9053
CPSF7|79869	1791.2608	CPSF7|79869	1833.0658
CPT1A|1374	1526.3945	CPT1A|1374	2103.9326
CPT1B|1375	346.026	CPT1B|1375	291.9663
CPT1C|126129	54.9529	CPT1C|126129	31.7014
CPT2|1376	698.0046	CPT2|1376	655.297
CPVL|54504	389.7904	CPVL|54504	1164.9278
CPXM1|56265	248.4828	CPXM1|56265	8.427
CPXM2|119587	908.6006	CPXM2|119587	1428.5714
CPZ|8532	410.9524	CPZ|8532	32.504
CP|1356	20.1756	CP|1356	198.6356
CR1|1378	32.0843	CR1|1378	241.9743
CRABP2|1382	9030.3709	CRABP2|1382	349.1172
CRADD|8738	122.8761	CRADD|8738	149.679
CRAMP1L|57585	697.0046	CRAMP1L|57585	720.7143
CRAT|1384	304.801	CRAT|1384	1361.1557
removed	removed	CRB1|23418	8.0257
CRB3|92359	291.1481	removed	removed
CRBN|51185	834.8579	CRBN|51185	1498.7239
CRCP|27297	1398.7398	CRCP|27297	792.1348
CREB1|1385	1064.9264	CREB1|1385	1717.0947
CREB3L1|90993	676.5013	CREB3L1|90993	212.2793
CREB3L2|64764	2522.715	CREB3L2|64764	3779.2937
CREB3L4|148327	1783.7517	CREB3L4|148327	65.8106
CREB3|10488	995.8359	CREB3|10488	742.2552
CREB5|9586	47.4438	CREB5|9586	1617.9775
CREBBP|1387	1742.793	CREBBP|1387	2720.7063
CREBL2|1389	1366.6555	CREBL2|1389	4264.0449
CREBZF|58487	972.0866	CREBZF|58487	1023.6758
CREG1|8804	2818.3004	CREG1|8804	6531.3002
CRELD1|78987	475.4623	CRELD1|78987	600.321
CRELD2|79174	506.5227	CRELD2|79174	172.1509
CREM|1390	323.2325	CREM|1390	380.8186
removed	removed	CRHBP|1393	81.4607
CRIM1|51232	3970.264	CRIM1|51232	8955.0562
CRIP1|1396	18316.051	CRIP1|1396	3075.4414
CRIP2|1397	8528.2854	CRIP2|1397	1557.3836
CRIPAK|285464	279.2019	CRIPAK|285464	226.3242
CRIPT|9419	521.8822	CRIPT|9419	438.6035
CRISPLD1|83690	182.2662	CRISPLD1|83690	91.8941
CRISPLD2|83716	2244.1958	CRISPLD2|83716	1091.4928
CRKL|1399	1371.7754	CRKL|1399	2406.5008
CRK|1398	779.2394	CRK|1398	2069.4222
CRLF1|9244	30.719	CRLF1|9244	12.4398
CRLF3|51379	277.8366	CRLF3|51379	343.9005
CRLS1|54675	1362.2183	CRLS1|54675	1743.5795
CRMP1|1400	64.8718	CRMP1|1400	173.8283
CRNKL1|51340	1938.7121	CRNKL1|51340	930.1766
CROCCL1|84809	185.0617	CROCCL1|84809	153.1541
CROCCL2|114819	51.5397	CROCCL2|114819	60.9952
CROCC|9696	205.8175	CROCC|9696	87.8812
CROT|54677	380.916	CROT|54677	341.0915
CRTAC1|55118	7.8504	CRTAC1|55118	59.7913
CRTAM|56253	33.7909	CRTAM|56253	6.8218
CRTAP|10491	4463.8164	CRTAP|10491	14015.6501
CRTC1|23373	303.0944	CRTC1|23373	247.19099999999997
CRTC2|200186	1255.0430000000001	CRTC2|200186	781.7014
CRTC3|64784	2328.5025	CRTC3|64784	1942.6164
CRY1|1407	606.1889	CRY1|1407	493.9807
CRY2|1408	782.6526	CRY2|1408	4219.5024
CRYAB|1410	323.9151	CRYAB|1410	27618.3788
CRYBB1|1414	9.2157	CRYBB1|1414	6.8218
CRYBG3|131544	294.67400000000004	CRYBG3|131544	1793.5393
CRYGN|155051	12.2876	removed	removed
CRYGS|1427	24.5752	CRYGS|1427	25.2809
CRYL1|51084	743.7419	CRYL1|51084	690.61
CRYM|1428	6.1438	CRYM|1428	8.427
CRYZL1|9946	225.6518	CRYZL1|9946	565.8266
CRYZ|1429	869.9527	CRYZ|1429	962.1549
CSAD|51380	341.3226	CSAD|51380	730.7384
CSAG3|389903	15.0182	removed	removed
CSDAP1|440359	27.3058	CSDAP1|440359	67.0144
CSDA|8531	1868.741	CSDA|8531	3371.5891
CSDC2|27254	24.2339	removed	removed
CSDE1|7812	13112.93	CSDE1|7812	35796.549
CSE1L|1434	3311.8528	CSE1L|1434	2300.9631
CSF1R|1436	1026.3569	CSF1R|1436	2756.0193
CSF1|1435	427.6772	CSF1|1435	1937.8010000000002
CSF2RA|1438	140.9662	CSF2RA|1438	183.7881
CSF2RB|1439	271.0101	CSF2RB|1439	472.7127
CSF3R|1441	214.6919	CSF3R|1441	117.9775
removed	removed	CSF3|1440	21.2681
CSGALNACT1|55790	192.5059	CSGALNACT1|55790	507.6244
CSGALNACT2|55454	681.9625	CSGALNACT2|55454	981.1396
CSK|1445	948.8767	CSK|1445	369.1814
removed	removed	CSMD1|64478	12.0385
CSMD2|114784	64.51	CSMD2|114784	18.4591
CSMD3|114788	211.2787	removed	removed
removed	removed	CSN1S1|1446	5.617999999999999
CSNK1A1|1452	7677.7096	CSNK1A1|1452	4694.2215
CSNK1D|1453	2170.8115	CSNK1D|1453	1782.9053
CSNK1E|1454	3317.6928	CSNK1E|1454	1355.1525
CSNK1G1|53944	533.1458	CSNK1G1|53944	618.3788
CSNK1G2|1455	872.7618	CSNK1G2|1455	313.8042
CSNK1G3|1456	569.326	CSNK1G3|1456	835.4735
CSNK2A1P|283106	729.065	CSNK2A1P|283106	545.7464
CSNK2A1|1457	2306.6578	CSNK2A1|1457	1288.5233
CSNK2A2|1459	525.6367	CSNK2A2|1459	762.0385
CSNK2B|1460	3888.7937	CSNK2B|1460	1902.8892
CSPG4|1464	445.7673	CSPG4|1464	1661.7175
CSPG5|10675	26.6232	CSPG5|10675	18.4591
CSPP1|79848	399.9413	CSPP1|79848	249.1974
CSRNP1|64651	539.631	CSRNP1|64651	1309.7913
CSRNP2|81566	961.847	CSRNP2|81566	866.3724
removed	removed	CSRNP3|80034	11.6372
CSRP1|1465	4838.5886	CSRP1|1465	2523.2745
CSRP2BP|57325	1118.8553	CSRP2BP|57325	689.4061
CSRP2|1466	195.9191	CSRP2|1466	264.0449
CST1|1469	3748.063	removed	removed
CST2|1470	45.3959	removed	removed
CST3|1471	8310.8629	CST3|1471	11231.9422
CST4|1472	165.2001	removed	removed
CST5|1473	195.5778	removed	removed
CST6|1474	37.8868	removed	removed
CST7|8530	330.4002	CST7|8530	57.7849
CST9L|128821	40.6174	removed	removed
CST9|128822	818.8328	removed	removed
CSTA|1475	98.3009	CSTA|1475	469.5024
CSTB|1476	3641.2290000000003	CSTB|1476	3706.26
CSTF1|1477	1178.5868	CSTF1|1477	492.3756
CSTF2T|23283	660.4591	CSTF2T|23283	956.26
CSTF2|1478	357.0234	CSTF2|1478	150.4815
CSTF3|1479	748.5204	CSTF3|1479	488.7319
CS|1431	3559.6529	CS|1431	10445.4254
CT62|196993	22.5273	removed	removed
CTAGE4|100128553	41.6414	CTAGE4|100128553	12.4398
CTAGE5|4253	1039.1565	CTAGE5|4253	661.1637
CTAGE6|340307	8.8744	removed	removed
CTAGE9|643854	125.2654	CTAGE9|643854	44.5425
CTBP1|1487	2509.5161	CTBP1|1487	1416.549
CTBP2|1488	1205.2099	CTBP2|1488	848.3146
CTBS|1486	520.8582	CTBS|1486	548.122
CTCFL|140690	10.5025	CTCFL|140690	8.1621
CTCF|10664	1767.0269	CTCF|10664	1241.9743
CTDP1|9150	392.8623	CTDP1|9150	197.0305
CTDSP1|58190	2488.9241	CTDSP1|58190	2695.8266
CTDSP2|10106	3948.7607	CTDSP2|10106	10210.6742
CTDSPL2|51496	454.983	CTDSPL2|51496	729.9358
CTDSPL|10217	1044.447	CTDSPL|10217	1353.5313
CTF1|1489	109.5645	CTF1|1489	231.5409
CTGF|1490	8266.491	CTGF|1490	6846.3082
CTHRC1|115908	3681.1638	CTHRC1|115908	509.2295
CTH|1491	62.1207	CTH|1491	134.0289
CTLA4|1493	102.0554	CTLA4|1493	14.0449
CTNNA1|1495	14951.9759	CTNNA1|1495	10376.4045
CTNNAL1|8727	267.5969	CTNNAL1|8727	1154.0931
CTNNB1|1499	11129.7469	CTNNB1|1499	8382.2632
CTNNBIP1|56998	775.1435	CTNNBIP1|56998	595.5056
CTNNBL1|56259	1617.1863	CTNNBL1|56259	712.2793
CTNND1|1500	8419.0622	CTNND1|1500	7227.6685
CTNND2|1501	541.3376	CTNND2|1501	10.8347
CTNS|1497	356.6582	CTNS|1497	484.8636
CTPS2|56474	812.3477	CTPS2|56474	487.5602
CTPS|1503	695.2739999999999	CTPS|1503	183.7881
CTR9|9646	956.0445	CTR9|9646	1612.7608
CTRL|1506	6.8265	CTRL|1506	5.2167
CTSA|5476	4825.6934	CTSA|5476	3433.3587
CTSB|1508	30126.4941	CTSB|1508	18664.5265
CTSC|1075	2403.5934	CTSC|1075	4127.6083
CTSD|1509	26068.8516	CTSD|1509	7203.8523
CTSF|8722	887.78	CTSF|8722	1472.3114
removed	removed	CTSG|1511	106.7416
CTSH|1512	2298.1248	CTSH|1512	1384.0289
CTSK|1513	8982.5857	CTSK|1513	6515.2488
CTSL1|1514	3381.4826	CTSL1|1514	2172.9535
CTSL2|1515	99.3249	removed	removed
CTSO|1519	1013.3867	CTSO|1519	1826.6453
CTSS|1520	2962.6798	CTSS|1520	4017.6565
CTSW|1521	142.6728	CTSW|1521	44.9438
CTSZ|1522	5339.6501	CTSZ|1522	3642.8571
CTTNBP2NL|55917	833.5097	CTTNBP2NL|55917	1236.3563
CTTNBP2|83992	25.9405	CTTNBP2|83992	341.0915
CTTN|2017	6466.6972	CTTN|2017	2782.9053
CTU1|90353	84.9893	CTU1|90353	15.2488
CTU2|348180	247.493	CTU2|348180	71.1477
CTXN1|404217	254.6266	CTXN1|404217	8.0257
CUBN|8029	22.5273	CUBN|8029	451.8459
CUEDC1|404093	707.5617	CUEDC1|404093	242.7769
CUEDC2|79004	699.3699	CUEDC2|79004	398.0738
CUL1|8454	1283.3421	CUL1|8454	1775.2809
CUL2|8453	760.1253	CUL2|8453	1103.9326
CUL3|8452	1938.0295	CUL3|8452	1924.9599
CUL4A|8451	4181.5426	CUL4A|8451	2099.9197
CUL4B|8450	2060.5643	CUL4B|8450	2282.9053
CUL5|8065	385.6945	CUL5|8065	1358.7479999999998
CUL7|9820	1974.1346	CUL7|9820	538.1019
CUL9|23113	748.8617	CUL9|23113	435.7945
CUTA|51596	2730.2391	CUTA|51596	1158.9085
CUTC|51076	176.6651	CUTC|51076	789.7151
CUX1|1523	1365.6315	CUX1|1523	1383.2263
CUZD1|50624	13.1751	CUZD1|50624	14.9358
CWC15|51503	620.5244	CWC15|51503	742.7769
CWC22|57703	697.322	CWC22|57703	904.4944
CWC25|54883	457.3722	CWC25|54883	467.496
CWC27|10283	451.2284	CWC27|10283	521.6693
CWF19L1|55280	444.7433	CWF19L1|55280	480.3371
CWF19L2|143884	254.9679	CWF19L2|143884	758.0257
CX3CL1|6376	425.2879	CX3CL1|6376	1583.0658
CX3CR1|1524	74.067	CX3CR1|1524	158.9085
CXADRP3|440224	62.8034	removed	removed
CXADR|1525	79.8695	removed	removed
CXCL10|3627	2584.1531	CXCL10|3627	53.3708
CXCL11|6373	1013.0453	CXCL11|6373	26.886
CXCL12|6387	1347.5415	CXCL12|6387	11205.0562
CXCL13|10563	277.4952	CXCL13|10563	10.4334
CXCL14|9547	1339.0084	CXCL14|9547	9365.9711
CXCL16|58191	1081.3099	CXCL16|58191	654.4944
CXCL17|284340	88.7439	removed	removed
removed	removed	CXCL1|2919	8.8283
removed	removed	CXCL2|2920	178.1701
CXCL9|4283	5483.0055	CXCL9|4283	626.4045
CXCR1|3577	7.5091	CXCR1|3577	18.8604
CXCR2P1|3580	98.3009	removed	removed
CXCR2|3579	9.2157	CXCR2|3579	48.9567
CXCR3|2833	135.8464	CXCR3|2833	12.8411
CXCR4|7852	1856.1121	CXCR4|7852	357.9454
CXCR5|643	19.7967	removed	removed
CXCR6|10663	145.0621	CXCR6|10663	20.4655
CXCR7|57007	1750.9847	CXCR7|57007	9099.1172
CXXC1|30827	660.4591	CXXC1|30827	286.5169
CXXC4|80319	6.4851	removed	removed
CXXC5|51523	1044.447	CXXC5|51523	186.1958
CXorf21|80231	66.5579	CXorf21|80231	54.1734
CXorf23|256643	192.8472	CXorf23|256643	270.8668
CXorf26|51260	571.374	CXorf26|51260	378.8122
CXorf36|79742	297.6333	CXorf36|79742	2727.9294
CXorf38|159013	199.3324	CXorf38|159013	252.4077
CXorf40A|91966	746.1311	CXorf40A|91966	492.7769
CXorf40B|541578	744.7658	CXorf40B|541578	155.6982
CXorf42|158801	19.1141	CXorf42|158801	24.076999999999998
CXorf50B|653687	5.1198	removed	removed
CXorf56|63932	156.6671	CXorf56|63932	216.6934
CXorf57|55086	14.6769	removed	removed
CYB561D1|284613	211.9613	CYB561D1|284613	489.9679
CYB561D2|11068	625.6681	CYB561D2|11068	196.6453
CYB561|1534	10851.668	CYB561|1534	672.5522
CYB5A|1528	2691.3284	CYB5A|1528	3110.3531
CYB5B|80777	1553.0176	CYB5B|80777	2167.7368
CYB5D1|124637	447.4739	CYB5D1|124637	546.9502
CYB5D2|124936	390.8143	CYB5D2|124936	554.1734
CYB5R1|51706	1721.631	CYB5R1|51706	1322.2311
CYB5R2|51700	102.0554	CYB5R2|51700	66.6132
CYB5R3|1727	5305.8591	CYB5R3|1727	9947.8331
CYB5R4|51167	257.3572	CYB5R4|51167	354.3339
CYB5RL|606495	73.043	CYB5RL|606495	124.7994
CYBASC3|220002	1033.5247	CYBASC3|220002	1026.0835
CYBA|1535	614.0393	CYBA|1535	325.0401
CYBB|1536	1510.3523	CYBB|1536	3147.6726
CYBRD1|79901	3540.5389	CYBRD1|79901	38619.1814
CYC1|1537	1140.3587	CYC1|1537	1164.9278
CYCS|54205	1524.0052	CYCS|54205	1947.8331
CYFIP1|23191	2713.5143	CYFIP1|23191	3678.9727
CYFIP2|26999	674.7947	CYFIP2|26999	152.0867
CYGB|114757	288.0728	CYGB|114757	769.6629
CYHR1|50626	457.0309	CYHR1|50626	344.70300000000003
CYLD|1540	1579.6408	CYLD|1540	1451.0433
CYP11A1|1583	16.3835	CYP11A1|1583	10.0321
removed	removed	CYP19A1|1588	18.0578
CYP1B1|1545	648.1715	CYP1B1|1545	1086.6774
CYP20A1|57404	522.2235	CYP20A1|57404	902.0867
CYP21A2|1589	375.9804	CYP21A2|1589	115.931
CYP24A1|1591	16.3835	removed	removed
CYP26A1|1592	49.8331	removed	removed
CYP26B1|56603	40.6174	CYP26B1|56603	1676.565
CYP27A1|1593	660.4591	CYP27A1|1593	700.2408
CYP27B1|1594	117.415	CYP27B1|1594	9.6308
CYP27C1|339761	16.3835	CYP27C1|339761	42.1348
removed	removed	CYP2A6|1548	73.8363
CYP2B6|1555	7.1678	removed	removed
CYP2B7P1|1556	3537.8083	CYP2B7P1|1556	69.8234
removed	removed	CYP2C18|1562	21.4326
removed	removed	CYP2C19|1557	15.0843
CYP2C8|1558	120.1455	CYP2C8|1558	15.2488
removed	removed	CYP2C9|1559	11.6372
CYP2D6|1565	5.8025	removed	removed
CYP2D7P1|1564	8.8744	CYP2D7P1|1564	5.2167
CYP2E1|1571	7.5091	CYP2E1|1571	16.7215
CYP2J2|1573	208.8894	removed	removed
CYP2R1|120227	227.3208	CYP2R1|120227	183.3868
CYP2S1|29785	100.3488	CYP2S1|29785	77.0465
CYP2U1|113612	245.0696	CYP2U1|113612	1024.4783
CYP39A1|51302	16.7248	CYP39A1|51302	97.1108
removed	removed	CYP3A4|1576	9.6308
removed	removed	CYP3A5|1577	60.5778
CYP46A1|10858	14.6769	CYP46A1|10858	48.9567
removed	removed	CYP4A11|1579	8.0257
CYP4B1|1580	34.4736	CYP4B1|1580	353.5313
CYP4F11|57834	116.0497	removed	removed
removed	removed	CYP4F12|66002	111.557
CYP4V2|285440	334.1548	CYP4V2|285440	835.4735
CYP4X1|260293	12.2876	CYP4X1|260293	85.0722
CYP4Z1|199974	547.4814	CYP4Z1|199974	5.617999999999999
CYP4Z2P|163720	523.2475	CYP4Z2P|163720	5.617999999999999
CYP51A1|1595	1327.4034	CYP51A1|1595	828.6517
CYP7B1|9420	71.6777	CYP7B1|9420	179.7753
removed	removed	CYP8B1|1582	21.6693
CYR61|3491	2261.9446	CYR61|3491	5859.5506
CYS1|192668	247.1175	CYS1|192668	217.8973
CYSLTR1|10800	26.9645	CYSLTR1|10800	174.9599
CYSLTR2|57105	13.9942	CYSLTR2|57105	43.74
