gene_id	TCGA-E9-A1N5-01A-11R-A14D-07	gene_id	TCGA-E9-A1N5-11A-41R-A14D-07
?|100133144	15.3551	?|100133144	13.4926
?|100134869	11.2637	?|100134869	8.0417
?|10357	70.1456	?|10357	80.0876
?|10431	875.9574	?|10431	574.0252
?|155060	382.0298	?|155060	290.7138
lowly_expressed	lowly_expressed	?|390284	7.4024
?|57714	1177.1448	?|57714	979.8132
?|645851	19.7177	?|645851	6.0565
?|652919	32.0412	?|652919	45.3366
?|653553	338.6509	?|653553	45.7605
lowly_expressed	lowly_expressed	?|729884	20.8614
?|8225	466.8158	?|8225	581.4276
?|90288	76.8989	?|90288	10.7672
A1BG|1	131.4675	A1BG|1	82.6785
A2LD1|87769	37.2319	A2LD1|87769	68.6273
lowly_expressed	lowly_expressed	A2ML1|144568	6.7295
A2M|2	12123.8122	A2M|2	26351.2758
A4GALT|53947	409.6345	A4GALT|53947	194.4822
AAAS|8086	663.4995	AAAS|8086	652.0872
AACS|65985	1073.627	AACS|65985	1815.6154
AADAT|51166	43.3789	AADAT|51166	112.3824
AAGAB|79719	1722.3383	AAGAB|79719	812.922
AAK1|22848	880.8868	AAK1|22848	806.8654
AAMP|14	2434.1461	AAMP|14	2098.9268
AARS2|57505	461.3343	AARS2|57505	595.5595
AARSD1|80755	228.7249	AARSD1|80755	594.8866
AARS|16	2367.5989	AARS|16	2602.2924
AASDHPPT|60496	555.0523	AASDHPPT|60496	876.8521
AASDH|132949	310.0603	AASDH|132949	475.1017
AASS|10157	302.6662	AASS|10157	483.8501
AATF|26574	648.7113	AATF|26574	796.7712
AATK|9625	130.1958	AATK|9625	50.4711
ABAT|18	10501.1368	ABAT|18	806.8654
ABCA10|10349	22.1824	ABCA10|10349	107.6718
ABCA11P|79963	148.1142	ABCA11P|79963	122.5911
ABCA12|26154	115.8413	ABCA12|26154	116.4201
lowly_expressed	lowly_expressed	ABCA13|154664	156.797
ABCA17P|650655	12.3235	lowly_expressed	lowly_expressed
ABCA1|19	1028.7249	ABCA1|19	887.5923
ABCA2|20	2403.5837	ABCA2|20	1642.6676
ABCA3|21	3415.1	ABCA3|21	1875.5079
lowly_expressed	lowly_expressed	ABCA4|24	32.9745
ABCA5|23461	227.2461	ABCA5|23461	776.5827
ABCA6|23460	164.1496	ABCA6|23460	154.7782
ABCA7|10347	438.7181	ABCA7|10347	215.3436
ABCA8|10351	395.3392	ABCA8|10351	461.6428
ABCA9|10350	167.1072	ABCA9|10350	234.8591
ABCB10|23456	418.5075	ABCB10|23456	541.0507
ABCB1|5243	46.3365	ABCB1|5243	362.0464
ABCB4|5244	27.6047	ABCB4|5244	10.0942
ABCB5|340273	5.9153	ABCB5|340273	45.7605
ABCB6|10058	688.7874	ABCB6|10058	604.7386
ABCB7|22	349.4957	ABCB7|22	558.5474
ABCB8|11194	795.6079	ABCB8|11194	458.951
ABCB9|23457	220.3252	ABCB9|23457	211.279
ABCC10|89845	438.2252	ABCC10|89845	538.3589
ABCC11|85320	340.1298	ABCC11|85320	37.0122
ABCC1|4363	2592.8733	ABCC1|4363	862.7202
ABCC2|1244	28.0977	ABCC2|1244	7.4024
ABCC3|8714	297.7368	ABCC3|8714	244.9533
ABCC4|10257	176.4731	ABCC4|10257	135.2627
ABCC5|10057	1244.1848	ABCC5|10057	864.739
ABCC6P2|730013	16.76	ABCC6P2|730013	7.4024
ABCC6|368	38.9424	ABCC6|368	57.2006
ABCC8|6833	38.9424	ABCC8|6833	68.6408
ABCC9|10060	368.2274	ABCC9|10060	209.96
ABCD1|215	449.5628	ABCD1|215	268.5065
ABCD2|225	24.6471	ABCD2|225	41.0499
ABCD3|5825	3670.4438	ABCD3|5825	1425.3052
ABCD4|5826	539.7712	ABCD4|5826	612.3833
ABCE1|6059	1459.1074	ABCE1|6059	2097.5809
ABCF1|23	1804.1666	ABCF1|23	1622.4792
ABCF2|10061	1213.1295	ABCF2|10061	1175.6413
ABCF3|55324	1005.601	ABCF3|55324	855.3177
ABCG1|9619	1193.9048	ABCG1|9619	448.8567
ABCG2|9429	42.8859	ABCG2|9429	790.7147
ABHD10|55347	485.5476	ABHD10|55347	742.2624
ABHD11|83451	409.1416	ABHD11|83451	487.2148
ABHD12|26090	924.2657	ABHD12|26090	688.4265
ABHD13|84945	436.2534	ABHD13|84945	428.6683
ABHD14A|25864	203.092	ABHD14A|25864	179.6773
ABHD14B|84836	841.9444	ABHD14B|84836	2304.1762
ABHD15|116236	249.9214	ABHD15|116236	240.2427
ABHD1|84696	15.2812	ABHD1|84696	11.4401
ABHD2|11057	9639.4748	ABHD2|11057	3353.976
ABHD3|171586	360.8333	ABHD3|171586	137.9545
ABHD4|63874	1208.2001	ABHD4|63874	590.176
ABHD5|51099	838.0009	ABHD5|51099	775.9098
ABHD6|57406	135.066	ABHD6|57406	119.1119
ABHD8|79575	375.1286	ABHD8|79575	194.4822
ABI1|10006	1297.4225	ABI1|10006	1521.4157
ABI2|10152	2095.0022	ABI2|10152	2393.0054
ABI3BP|25890	1025.3187	ABI3BP|25890	2180.3536
ABI3|51225	285.4132	ABI3|51225	166.2183
ABL1|25	2572.6627	ABL1|25	3306.8696
ABL2|27	976.0245	ABL2|27	918.5749
ABLIM1|3983	2141.8316	ABLIM1|3983	4590.8556
ABLIM2|84448	66.0542	ABLIM2|84448	14.8049
ABLIM3|22885	1697.1982	ABLIM3|22885	693.1371
ABO|28	14.7883	ABO|28	74.0244
ABP1|26	23.1683	ABP1|26	5.3836
ABR|29	1564.104	ABR|29	1909.8282
ABT1|29777	498.857	ABT1|29777	473.7558
ABTB1|80325	405.1981	ABTB1|80325	323.6883
ABTB2|25841	179.9237	ABTB2|25841	259.7582
ACAA1|30	1292.4931	ACAA1|30	1013.4607
ACAA2|10449	888.7739	ACAA2|10449	998.6558
ACACA|31	2234.5047	ACACA|31	2932.7102
ACACB|32	639.8383	ACACB|32	918.5749
ACAD10|80724	552.5876	ACAD10|80724	783.9852
ACAD11|84129	465.2729	ACAD11|84129	410.4246
ACAD8|27034	350.4815	ACAD8|27034	671.6027
ACAD9|28976	672.8605	ACAD9|28976	994.6181
ACADL|33	74.9271	ACADL|33	16.8237
ACADM|34	870.535	ACADM|34	1052.4917
ACADSB|36	3114.4056	ACADSB|36	1413.8651
ACADS|35	241.5414	ACADS|35	411.1716
ACADVL|37	2774.0885	ACADVL|37	5608.9462
ACAN|176	19.7177	lowly_expressed	lowly_expressed
ACAP1|9744	143.446	ACAP1|9744	43.0687
ACAP2|23527	1194.3977	ACAP2|23527	1386.9472
ACAP3|116983	1055.0332	ACAP3|116983	738.3189
ACAT1|38	577.2347	ACAT1|38	1088.8309
ACAT2|39	348.4802	ACAT2|39	475.5526
ACBD3|64746	1292.9861	ACBD3|64746	1370.7964
ACBD4|79777	317.9474	ACBD4|79777	267.8336
ACBD5|91452	741.8772	ACBD5|91452	658.1438
ACBD6|84320	404.7051	ACBD6|84320	432.706
ACBD7|414149	170.5578	ACBD7|414149	312.9211
ACCN2|41	84.293	ACCN2|41	548.4531
ACCN3|9311	47.8153	ACCN3|9311	5.3836
ACCS|84680	328.7921	ACCS|84680	587.4842
ACD|65057	314.0039	ACD|65057	273.8901
lowly_expressed	lowly_expressed	ACE2|59272	37.6851
ACER2|340485	153.3049	ACER2|340485	94.8858
ACER3|55331	227.2461	ACER3|55331	554.5097
ACE|1636	457.9428	ACE|1636	634.5906
ACHE|43	19.7177	ACHE|43	18.1696
ACIN1|22985	3407.7059	ACIN1|22985	3545.7664
