gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
C3orf42|84657	7.172999999999999	C3orf42|84657	28.5948
C3orf47|339942	18.6497	C3orf47|339942	26.1438
C3orf52|79669	281.8972	C3orf52|79669	107.0261
C3orf54|389119	51.2866	C3orf54|389119	70.2614
lowly_expressed	lowly_expressed	C3orf55|152078	15.5229
C3orf57|165679	13.6286	C3orf57|165679	198.1209
C3orf58|205428	363.66900000000004	C3orf58|205428	1444.0359
C3orf59|151963	186.4969	C3orf59|151963	240.6046
C3orf62|375341	67.7845	C3orf62|375341	154.0033
C3orf63|23272	1736.4584	C3orf63|23272	2345.6944
C3orf64|285203	460.8625	C3orf64|285203	1002.0425
C3orf67|200844	22.9535	C3orf67|200844	22.0588
C3orf70|285382	315.9688	C3orf70|285382	74.7549
C3orf71|646450	17.3873	C3orf71|646450	31.8627
C3orf75|54859	304.1334	C3orf75|54859	273.6928
C3|718	9319.107	C3|718	15685.866000000002
C4A|720	56347.9566	C4A|720	14918.223
lowly_expressed	lowly_expressed	C4BPA|722	167.0752
C4BPB|725	53.0799	C4BPB|725	14.2974
C4orf10|317648	156.618	C4orf10|317648	269.5221
C4orf12|404201	20.0843	C4orf12|404201	49.8366
C4orf14|84273	584.9547	C4orf14|84273	1012.2549
C4orf19|55286	33.6232	C4orf19|55286	317.1078
C4orf21|55345	41.2445	C4orf21|55345	70.6699
C4orf23|152992	178.9653	C4orf23|152992	417.4837
C4orf27|54969	381.6014	C4orf27|54969	363.5621
C4orf29|80167	85.3582	C4orf29|80167	114.3791
C4orf31|79625	217.3406	C4orf31|79625	88.2353
C4orf32|132720	772.5276	C4orf32|132720	482.8431
C4orf33|132321	191.1593	C4orf33|132321	160.1307
C4orf34|201895	899.8476	C4orf34|201895	703.4314
C4orf36|132989	8.6075	C4orf36|132989	26.1438
C4orf38|152641	14.3459	C4orf38|152641	13.8889
C4orf39|152756	7.5316	C4orf39|152756	30.2288
C4orf3|401152	2396.4853	C4orf3|401152	3009.3954
C4orf41|60684	896.6197	C4orf41|60684	1379.085
C4orf42|92070	287.277	C4orf42|92070	500.0
C4orf43|55319	368.69	C4orf43|55319	406.4542
C4orf46|201725	149.6387	C4orf46|201725	180.9641
lowly_expressed	lowly_expressed	C4orf47|441054	8.9869
C4orf48|401115	27.6159	C4orf48|401115	5.718999999999999
lowly_expressed	lowly_expressed	C4orf49|84709	38.3987
C4orf52|389203	276.5175	C4orf52|389203	366.4216
C4orf7|260436	29.7678	C4orf7|260436	64.95100000000001
C5AR1|728	127.32	C5AR1|728	49.4281
C5orf13|9315	2046.4449	C5orf13|9315	943.2189999999999
C5orf15|56951	2168.3852	C5orf15|56951	1493.0556
C5orf20|140947	8.2489	C5orf20|140947	9.3954
C5orf22|55322	702.2326	C5orf22|55322	582.1078
C5orf23|79614	80.6958	C5orf23|79614	89.8693
C5orf24|134553	1710.0332	C5orf24|134553	1168.7092
C5orf25|375484	296.2109	C5orf25|375484	289.6242
lowly_expressed	lowly_expressed	C5orf27|202299	50.2451
C5orf28|64417	360.4411	C5orf28|64417	266.3399
C5orf30|90355	1308.3475	C5orf30|90355	381.9444
C5orf32|84418	804.0886	C5orf32|84418	435.4575
C5orf33|133686	828.8353	C5orf33|133686	678.1046
C5orf34|375444	58.4596	C5orf34|375444	53.9216
C5orf35|133383	261.813	C5orf35|133383	227.1242
C5orf36|285600	177.1721	C5orf36|285600	96.8137
C5orf38|153571	68.5017	C5orf38|153571	65.3595
C5orf39|389289	17.9324	C5orf39|389289	36.7647
C5orf41|153222	666.0091	C5orf41|153222	698.9379
C5orf42|65250	1086.3445	C5orf42|65250	830.0654
C5orf43|643155	1525.3295	C5orf43|643155	998.3660000000001
C5orf44|80006	585.9195	C5orf44|80006	436.68300000000005
C5orf45|51149	180.7908	C5orf45|51149	187.0343
C5orf46|389336	64.5566	C5orf46|389336	35.5392
C5orf49|134121	91.8139	C5orf49|134121	9.8039
C5orf4|10826	1552.2281	C5orf4|10826	1834.5588
C5orf51|285636	1036.1338	C5orf51|285636	934.232
C5orf53|492311	295.5259	C5orf53|492311	444.0359
C5orf54|63920	216.6233	C5orf54|63920	170.3431
C5orf55|116349	85.3582	C5orf55|116349	57.1895
C5orf56|441108	70.02600000000001	C5orf56|441108	73.5539
C5orf62|85027	450.8204	C5orf62|85027	495.915
C5|727	281.8972	C5|727	186.683
C6orf105|84830	26.5399	C6orf105|84830	105.3922
C6orf106|64771	2651.8426	C6orf106|64771	2540.4412
C6orf108|10591	459.42800000000005	C6orf108|10591	187.5
C6orf114|85411	9.3248	C6orf114|85411	6.5359
C6orf115|58527	450.1031	C6orf115|58527	395.8333
C6orf120|387263	887.5639	C6orf120|387263	875.1757
C6orf122|401288	18.9366	C6orf122|401288	21.0743
lowly_expressed	lowly_expressed	C6orf123|26238	22.4673
C6orf124|653483	17.5737	C6orf124|653483	29.8203
C6orf125|84300	612.5993	C6orf125|84300	358.4314
C6orf126|389383	32.2783	lowly_expressed	lowly_expressed
C6orf127|340204	9.3248	lowly_expressed	lowly_expressed
C6orf129|154467	249.2603	C6orf129|154467	100.0817
C6orf130|221443	382.2864	C6orf130|221443	500.7884
C6orf132|647024	245.3152	C6orf132|647024	227.1242
C6orf134|79969	155.2945	C6orf134|79969	234.4771
C6orf136|221545	165.3367	C6orf136|221545	177.2876
C6orf138|442213	5.3797	C6orf138|442213	19.1993
C6orf141|135398	166.054	C6orf141|135398	55.5556
C6orf142|90523	6.097	lowly_expressed	lowly_expressed
C6orf145|221749	414.9556	C6orf145|221749	683.8235
C6orf150|115004	83.565	C6orf150|115004	71.8954
C6orf153|88745	597.1487	C6orf153|88745	540.4412
C6orf154|221424	52.7212	C6orf154|221424	14.2974
C6orf155|79940	21.5189	C6orf155|79940	74.7549
lowly_expressed	lowly_expressed	C6orf15|29113	58.415
C6orf162|57150	69.5095	C6orf162|57150	110.7026
lowly_expressed	lowly_expressed	C6orf163|206412	10.6209
C6orf164|63914	5.8065	C6orf164|63914	11.0294
C6orf165|154313	22.7526	C6orf165|154313	24.7672
C6orf167|253714	182.9104	C6orf167|253714	323.1209
C6orf168|84553	211.6023	C6orf168|84553	266.3399
C6orf170|221322	67.0672	C6orf170|221322	164.2157
C6orf174|387104	37.9521	C6orf174|387104	149.6364
C6orf176|90632	6.1616	C6orf176|90632	14.9632
C6orf182|285753	97.5522	C6orf182|285753	133.9869
C6orf186|728464	9.3248	C6orf186|728464	12.6634
C6orf192|116843	227.7414	C6orf192|116843	651.9608
C6orf1|221491	487.4025	C6orf1|221491	123.7745
lowly_expressed	lowly_expressed	C6orf201|404220	6.9526
C6orf203|51250	177.8894	C6orf203|51250	262.2549
C6orf204|387119	23.6708	C6orf204|387119	87.4183
C6orf211|79624	1285.0354	C6orf211|79624	883.5784
C6orf217|100131814	15.0632	C6orf217|100131814	19.6078
C6orf222|389384	5.7384	lowly_expressed	lowly_expressed
C6orf223|221416	6.097	lowly_expressed	lowly_expressed
C6orf225|619208	140.9486	C6orf225|619208	168.3007
C6orf226|441150	85.3582	C6orf226|441150	36.3562
C6orf26|401251	9.9632	C6orf26|401251	31.0907
C6orf27|80737	22.5948	C6orf27|80737	54.7386
C6orf35|729515	284.0491	C6orf35|729515	491.0131
C6orf41|100133205	7.8903	C6orf41|100133205	7.7614
C6orf47|57827	885.8603	C6orf47|57827	787.1732
C6orf48|50854	1219.7615	C6orf48|50854	1963.2353
lowly_expressed	lowly_expressed	C6orf52|347744	12.2549
C6orf57|135154	42.3205	C6orf57|135154	76.7974
C6orf62|81688	2779.1195	C6orf62|81688	2657.4877
C6orf64|55776	730.5658	C6orf64|55776	718.9542
C6orf70|55780	286.9183	C6orf70|55780	272.8758
C6orf72|116254	613.2879	C6orf72|116254	937.5
C6orf89|221477	2667.6231	C6orf89|221477	3602.9412
C6orf97|80129	501.7484	C6orf97|80129	410.9477
C6|729	13.6286	lowly_expressed	lowly_expressed
C7orf10|79783	44.4723	C7orf10|79783	58.0065
C7orf11|136647	413.8797	C7orf11|136647	221.8137
C7orf13|129790	135.9276	C7orf13|129790	163.8072
C7orf23|79161	319.5302	C7orf23|79161	254.90200000000002
C7orf25|79020	553.2682	C7orf25|79020	377.6185
C7orf26|79034	654.5324	C7orf26|79034	494.281
C7orf27|221927	1122.5679	C7orf27|221927	573.5294
C7orf28A|51622	1046.1759	C7orf28A|51622	537.5817
C7orf28B|221960	864.7001	C7orf28B|221960	879.085
C7orf29|113763	112.6154	C7orf29|113763	192.40200000000002
C7orf30|115416	359.3652	C7orf30|115416	265.1144
C7orf31|136895	74.2401	C7orf31|136895	165.4412
C7orf36|57002	231.6865	C7orf36|57002	188.7255
C7orf40|285958	147.4043	C7orf40|285958	260.6209
C7orf41|222166	1299.3813	C7orf41|222166	2053.5131
C7orf42|55069	3346.5435	C7orf42|55069	3353.7582
C7orf43|55262	291.9394	C7orf43|55262	225.0817
C7orf44|55744	613.6466	C7orf44|55744	570.6699
C7orf46|340277	100.0628	C7orf46|340277	107.8431
C7orf47|221908	201.5601	C7orf47|221908	83.3333
C7orf49|78996	576.2826	C7orf49|78996	511.9894
C7orf50|84310	1227.6518	C7orf50|84310	599.2647
C7orf51|222950	5.7384	C7orf51|222950	46.9771
C7orf53|286006	5.7384	C7orf53|286006	22.0588
C7orf55|154791	310.9298	C7orf55|154791	164.6242
C7orf58|79974	367.9727	C7orf58|79974	433.8235
C7orf59|389541	1584.5064	C7orf59|389541	595.9967
C7orf60|154743	308.4372	C7orf60|154743	433.8235
C7orf61|402573	5.3797	C7orf61|402573	19.6078
C7orf63|79846	235.273	C7orf63|79846	121.3235
C7orf64|84060	286.5597	C7orf64|84060	413.8072
C7orf68|29923	384.1119	C7orf68|29923	180.1471
C7orf70|84792	664.9332	C7orf70|84792	499.18300000000005
C7|730	535.4613	C7|730	613.1536
C8orf30A|51236	532.9508	C8orf30A|51236	359.0686
lowly_expressed	lowly_expressed	C8orf31|286122	9.8039
C8orf33|65265	1086.3445	C8orf33|65265	1142.1569
C8orf34|116328	12.194	lowly_expressed	lowly_expressed
C8orf37|157657	58.8183	C8orf37|157657	117.2386
C8orf38|137682	319.1966	C8orf38|137682	194.0359
C8orf39|55472	5.0211	lowly_expressed	lowly_expressed
C8orf40|114926	640.9038	C8orf40|114926	599.6732
C8orf41|80185	371.1217	C8orf41|80185	318.5294
C8orf42|157695	330.6734	C8orf42|157695	407.6797
C8orf44|56260	19.0837	C8orf44|56260	43.8603
C8orf45|157777	54.8731	C8orf45|157777	44.5261
C8orf46|254778	9.6835	C8orf46|254778	19.6078
lowly_expressed	lowly_expressed	C8orf47|203111	49.4281
C8orf48|157773	27.9745	C8orf48|157773	48.2026
C8orf4|56892	2162.6468	C8orf4|56892	2338.2353
C8orf51|78998	50.5694	C8orf51|78998	45.3431
C8orf55|51337	703.6672	C8orf55|51337	694.0359
C8orf58|541565	161.3916	C8orf58|541565	300.2451
C8orf59|401466	568.0803	C8orf59|401466	611.8301
C8orf73|642475	89.3033	C8orf73|642475	39.2157
C8orf76|84933	276.91200000000003	C8orf76|84933	285.1634
lowly_expressed	lowly_expressed	C8orf77|286103	5.718999999999999
C8orf79|57604	194.7458	C8orf79|57604	557.5980000000001
C8orf80|389643	6.097	C8orf80|389643	6.1275
C8orf83|286144	483.0987	C8orf83|286144	521.2418
C8orf84|157869	1670.2233	C8orf84|157869	584.1503
C8orf85|441376	817.3586	C8orf85|441376	571.8954
C9orf100|84904	64.2661	C9orf100|84904	54.5547
C9orf102|375748	130.1497	C9orf102|375748	228.9093
C9orf103|414328	98.2695	C9orf103|414328	76.7974
C9orf109|286333	60.2528	C9orf109|286333	32.2712
C9orf110|100128385	385.1878	C9orf110|100128385	244.28099999999998
C9orf114|51490	476.496	C9orf114|51490	383.3538
C9orf116|138162	274.007	C9orf116|138162	51.4706
C9orf117|286207	11.4803	C9orf117|286207	5.3105
C9orf119|375757	288.7116	C9orf119|375757	309.6405
C9orf122|158228	100.4214	C9orf122|158228	33.9052
C9orf123|90871	868.6452	C9orf123|90871	710.7843
C9orf125|84302	62.4047	C9orf125|84302	127.8595
C9orf128|392307	5.0211	C9orf128|392307	7.3529
C9orf129|445577	142.7526	C9orf129|445577	82.598
C9orf130|100128782	72.038	C9orf130|100128782	264.8203
C9orf140|89958	90.0206	C9orf140|89958	177.6961
C9orf142|286257	190.8007	C9orf142|286257	150.7353
C9orf150|286343	619.7436	C9orf150|286343	341.5033
C9orf152|401546	694.701	C9orf152|401546	500.4085
C9orf156|51531	265.7581	C9orf156|51531	325.9804
C9orf163|158055	13.6286	C9orf163|158055	6.9444
C9orf167|54863	151.7081	C9orf167|54863	62.5
C9orf169|375791	6.4341	lowly_expressed	lowly_expressed
C9orf16|79095	765.7133	C9orf16|79095	469.3627
lowly_expressed	lowly_expressed	C9orf170|401535	6.5359
C9orf172|389813	13.9873	lowly_expressed	lowly_expressed
C9orf21|195827	205.5052	C9orf21|195827	209.1503
C9orf23|138716	345.3779	C9orf23|138716	285.9477
C9orf25|203259	315.2515	C9orf25|203259	348.4477
C9orf30|91283	197.0806	C9orf30|91283	207.6062
C9orf37|85026	82.1304	C9orf37|85026	123.366
C9orf3|84909	164.1209	C9orf3|84909	325.9232
C9orf40|55071	127.6787	C9orf40|55071	120.5065
C9orf41|138199	195.1045	C9orf41|138199	207.1038
C9orf43|257169	7.172999999999999	C9orf43|257169	19.6078
C9orf45|81571	97.1936	C9orf45|81571	183.0065
C9orf46|55848	687.528	C9orf46|55848	274.9183
C9orf47|286223	9.0989	C9orf47|286223	9.4485
C9orf5|23731	2111.3602	C9orf5|23731	2407.2712
C9orf64|84267	535.82	C9orf64|84267	450.5719
C9orf66|157983	16.9138	C9orf66|157983	35.625
C9orf68|55064	44.1137	C9orf68|55064	111.5196
C9orf69|90120	860.0377	C9orf69|90120	744.2810000000001
C9orf6|54942	420.3353	C9orf6|54942	469.3627
C9orf72|203228	182.9104	C9orf72|203228	308.8235
C9orf78|51759	1006.3660000000001	C9orf78|51759	1353.7582
C9orf7|11094	1068.0534	C9orf7|11094	407.6797
C9orf80|58493	277.5935	C9orf80|58493	273.6928
C9orf82|79886	328.5215	C9orf82|79886	305.1471
C9orf85|138241	92.8898	C9orf85|138241	212.4183
C9orf86|55684	1772.7966	C9orf86|55684	1256.9444
C9orf89|84270	529.7229	C9orf89|84270	160.9477
C9orf91|203197	1034.6992	C9orf91|203197	667.8922
C9orf93|203238	55.9491	C9orf93|203238	121.3235
C9orf95|54981	429.6602	C9orf95|54981	367.6471
C9orf96|169436	7.172999999999999	C9orf96|169436	13.0719
C9orf98|158067	210.1677	C9orf98|158067	45.7516
C9orf9|11092	220.2098	C9orf9|11092	178.9216
CA11|770	44.4723	CA11|770	407.2712
CA12|771	11213.1265	CA12|771	4423.6111
CA13|377677	44.128	CA13|377677	180.5556
CA14|23632	5.7384	CA14|23632	23.2843
CA2|760	6147.9423	CA2|760	972.2222
CA3|761	12.1797	CA3|761	143.3824
lowly_expressed	lowly_expressed	CA4|762	35.1307
CA5BP|340591	171.075	CA5BP|340591	150.7353
CA5B|11238	125.7958	CA5B|11238	379.6119
lowly_expressed	lowly_expressed	CA6|765	43.7092
CA8|767	262.1716	CA8|767	306.781
CAB39L|81617	551.2418	CAB39L|81617	1735.7026
CAB39|51719	1889.3571	CAB39|51719	1787.1732
CABC1|56997	895.7411	CABC1|56997	1229.857
CABIN1|23523	1337.398	CABIN1|23523	1402.7778
CABLES1|91768	1026.0916	CABLES1|91768	1000.4085
CABLES2|81928	262.5303	CABLES2|81928	292.4837
lowly_expressed	lowly_expressed	CABP1|9478	8.9869
CABP4|57010	11.6058	CABP4|57010	18.3987
CABYR|26256	168.9232	CABYR|26256	165.8497
CACHD1|57685	426.0737	CACHD1|57685	1937.5
CACNA1A|773	18.291	CACNA1A|773	33.4967
CACNA1C|775	466.5686	CACNA1C|775	615.1961
CACNA1D|776	535.82	CACNA1D|776	245.5065
CACNA1E|777	5.3797	CACNA1E|777	5.3105
CACNA1F|778	6.8143	CACNA1F|778	13.4804
CACNA1G|8913	20.8016	CACNA1G|8913	183.415
CACNA1H|8912	131.2651	CACNA1H|8912	61.683
lowly_expressed	lowly_expressed	CACNA1I|8911	5.718999999999999
CACNA2D1|781	397.3819	CACNA2D1|781	150.3268
CACNA2D2|9254	358.6479	CACNA2D2|9254	238.9706
CACNA2D3|55799	58.8183	CACNA2D3|55799	9.8039
CACNA2D4|93589	72.0882	CACNA2D4|93589	55.9641
CACNB1|782	52.0039	CACNB1|782	155.2288
CACNB2|783	11.4767	CACNB2|783	49.4281
CACNB3|784	579.9337	CACNB3|784	460.3758
CACNB4|785	35.5061	CACNB4|785	129.90200000000002
CACNG1|786	5.7384	lowly_expressed	lowly_expressed
CACNG4|27092	519.3222	CACNG4|27092	742.6471
lowly_expressed	lowly_expressed	CACNG6|59285	5.3105
CACYBP|27101	2107.415	CACYBP|27101	1080.0654
CADM1|23705	1406.9757	CADM1|23705	912.5817
CADM2|253559	34.0716	CADM2|253559	8.1699
CADM3|57863	135.4828	CADM3|57863	1007.7451
CADM4|199731	1411.6381	CADM4|199731	802.2876
CADPS2|93664	1345.6469	CADPS2|93664	1182.1895
CAD|790	1199.3186	CAD|790	1416.2582
CALB2|794	178.248	CALB2|794	79.2484
CALCOCO1|57658	1585.941	CALCOCO1|57658	2746.3235
CALCOCO2|10241	2419.4387	CALCOCO2|10241	2323.9379
CALCRL|10203	799.4262	CALCRL|10203	295.3431
CALCR|799	7.172999999999999	CALCR|799	9.3954
CALD1|800	6256.2539	CALD1|800	10533.4967
CALHM2|51063	583.5201	CALHM2|51063	743.8725
CALM1|801	5174.5719	CALM1|801	4810.4575
CALM2|805	16954.0034	CALM2|805	7502.8595
CALM3|808	4388.4157	CALM3|808	3794.9346
CALML3|810	259.6611	CALML3|810	403.5948
CALML4|91860	146.3283	CALML4|91860	273.6928
CALML5|51806	15.7805	CALML5|51806	102.9412
CALN1|83698	6.097	CALN1|83698	13.8889
CALR|811	17864.9691	CALR|811	10469.3627
CALU|813	6692.7284	CALU|813	3453.0229
CAMK1D|57118	95.4003	CAMK1D|57118	54.7386
CAMK1|8536	153.8026	CAMK1|8536	195.6781
lowly_expressed	lowly_expressed	CAMK2A|815	8.5784
CAMK2B|816	17.5737	CAMK2B|816	301.0621
CAMK2D|817	453.3309	CAMK2D|817	928.5131
CAMK2G|818	445.082	CAMK2G|818	871.3235
CAMK2N1|55450	567.0223	CAMK2N1|55450	1692.8105
CAMK2N2|94032	12.194	CAMK2N2|94032	7.3529
CAMK4|814	35.8648	CAMK4|814	7.7614
CAMKK1|84254	309.5131	CAMKK1|84254	304.7386
CAMKK2|10645	1661.6157	CAMKK2|10645	1886.0294
CAMLG|819	1481.5745	CAMLG|819	937.0915
CAMSAP1L1|23271	1852.4164	CAMSAP1L1|23271	1437.0915
CAMSAP1|157922	924.2356	CAMSAP1|157922	1313.7255
CAMTA1|23261	621.8955	CAMTA1|23261	535.9477
CAMTA2|23125	1017.4841	CAMTA2|23125	1156.4542
CAND1|55832	4501.7484	CAND1|55832	3229.1667
CAND2|23066	92.5312	CAND2|23066	122.54899999999999
CANT1|124583	2489.0164	CANT1|124583	1726.3072
CANX|821	27955.168999999998	CANX|821	17718.9542
CAP1|10487	8274.3656	CAP1|10487	6327.2059
CAP2|10486	148.4802	CAP2|10486	379.4935
CAPG|822	3184.0759999999996	CAPG|822	1462.0098
CAPN10|11132	123.1991	CAPN10|11132	139.2647
CAPN11|11131	16.8565	CAPN11|11131	122.1405
CAPN12|147968	34.3369	CAPN12|147968	71.1397
CAPN13|92291	1029.6781	CAPN13|92291	278.1863
CAPN1|823	6789.2047	CAPN1|823	3933.8235
CAPN2|824	6160.8536	CAPN2|824	5294.1176
CAPN3|825	9.4289	CAPN3|825	135.2655
CAPN5|726	208.7331	CAPN5|726	473.0392
CAPN6|827	86.4341	CAPN6|827	1267.1569
CAPN7|23473	794.4051	CAPN7|23473	1107.4346
CAPN8|388743	365.1036	CAPN8|388743	167.0752
CAPN9|10753	87.1514	CAPN9|10753	11.4379
CAPNS1|826	8209.0917	CAPNS1|826	5915.0327
lowly_expressed	lowly_expressed	CAPNS2|84290	5.718999999999999
CAPRIN1|4076	11362.323999999999	CAPRIN1|4076	7730.3922
CAPRIN2|65981	211.2436	CAPRIN2|65981	312.9085
CAPS2|84698	35.5061	CAPS2|84698	55.5556
CAPS|828	113.3327	CAPS|828	138.8889
CAPZA1|829	3085.8065	CAPZA1|829	2152.3693
CAPZA2|830	2753.6986	CAPZA2|830	1666.2582
lowly_expressed	lowly_expressed	CAPZA3|93661	20.4248
CAPZB|832	4073.5228	CAPZB|832	3403.1863
CARD10|29775	470.1874	CARD10|29775	603.7582
CARD11|84433	121.9403	CARD11|84433	78.8399
CARD14|79092	100.7801	CARD14|79092	192.40200000000002
CARD16|114769	158.881	CARD16|114769	216.5033
CARD6|84674	211.9609	CARD6|84674	564.134
CARD8|22900	616.5157	CARD8|22900	579.2484
CARD9|64170	39.0926	CARD9|64170	97.2222
CARHSP1|23589	1051.4158	CARHSP1|23589	1156.4502
CARKD|55739	702.9499	CARKD|55739	1075.1634
CARM1|10498	1763.8304	CARM1|10498	782.2712
CARNS1|57571	25.8226	CARNS1|57571	35.5392
CARS2|79587	633.2538	CARS2|79587	495.3554
CARS|833	1064.1083	CARS|833	726.3072
CASC1|55259	66.7085	CASC1|55259	29.8203
CASC2|255082	43.3964	CASC2|255082	55.1471
CASC3|22794	3571.4158	CASC3|22794	3752.4509999999996
CASC4|113201	3345.1089	CASC4|113201	2655.2288
CASC5|57082	119.4297	CASC5|57082	31.8627
CASD1|64921	3402.134	CASD1|64921	767.1569
CASKIN1|57524	14.5037	CASKIN1|57524	22.1078
CASKIN2|57513	698.3699	CASKIN2|57513	764.4608
CASK|8573	2138.2588	CASK|8573	1855.3922
CASP10|843	310.5891	CASP10|843	253.6765
lowly_expressed	lowly_expressed	CASP12|120329	6.5359
CASP1|834	361.5171	CASP1|834	687.9085
CASP2|835	1259.9301	CASP2|835	1365.6046
CASP3|836	640.5451	CASP3|836	632.7614
CASP4|837	827.4007	CASP4|837	1126.634
CASP6|839	473.0566	CASP6|839	494.6895
CASP7|840	702.9499	CASP7|840	861.1111
CASP8AP2|9994	308.7958	CASP8AP2|9994	801.4706
CASP8|841	475.9258	CASP8|841	539.6242
CASP9|842	329.2388	CASP9|842	291.2582
CASQ1|844	22.5948	CASQ1|844	6.1275
CASQ2|845	45.9069	CASQ2|845	78.4314
CASS4|57091	33.3543	CASS4|57091	34.3137
CAST|831	5935.8809	CAST|831	5576.9036
CASZ1|54897	1222.6307	CASZ1|54897	951.3889
CATSPER2P1|440278	27.6015	CATSPER2P1|440278	32.0997
CATSPER2|117155	20.0843	CATSPER2|117155	48.2026
CATSPER3|347732	6.8143	CATSPER3|347732	9.1258
CATSPERB|79820	16.4978	CATSPERB|79820	34.7222
CATSPERG|57828	59.5356	CATSPERG|57828	33.4967
CAT|847	2037.4787	CAT|847	3030.6373
CAV1|857	1914.4625	CAV1|857	5290.8497
CAV2|858	506.0522	CAV2|858	1407.6797
CBARA1|10367	1220.4788	CBARA1|10367	1089.4608
CBFA2T2|9139	666.7264	CBFA2T2|9139	1085.7843
CBFA2T3|863	624.0473	CBFA2T3|863	110.7026
CBFB|865	1086.3445	CBFB|865	895.4248
CBLB|868	532.9508	CBLB|868	600.8987
CBLC|23624	446.8753	CBLC|23624	147.0588
CBLL1|79872	1192.8629	CBLL1|79872	742.6471
CBLN1|869	23.6708	CBLN1|869	8.9869
CBLN2|147381	26.1813	CBLN2|147381	7.3529
CBLN3|643866	30.8437	CBLN3|643866	95.5882
CBLN4|140689	36.9407	CBLN4|140689	68.219
CBL|867	1179.9516	CBL|867	1223.0392
CBR1|873	541.544	CBR1|873	819.6405
CBR3|874	232.7625	CBR3|874	378.26800000000003
CBR4|84869	464.0904	CBR4|84869	576.3889
CBS|875	49.4934	CBS|875	164.6242
CBWD1|55871	777.9073	CBWD1|55871	775.7353
CBWD2|150472	674.258	CBWD2|150472	398.6928
CBWD3|445571	354.5808	CBWD3|445571	342.3203
CBWD6|644019	128.0373	CBWD6|644019	98.4477
CBX1|10951	1770.286	lowly_expressed	lowly_expressed
CBX2|84733	80.3371	CBX2|84733	93.1373
CBX3|11335	3652.4702	CBX3|11335	2583.7418
CBX4|8535	861.4722	CBX4|8535	406.8627
CBX5|23468	3049.5831	CBX5|23468	4008.9869
CBX6|23466	444.0061	CBX6|23466	832.5163
CBX7|23492	655.6084	CBX7|23492	1445.2614
CBX8|57332	116.9192	CBX8|57332	112.7451
CBY1|25776	481.5816	CBY1|25776	623.1413
CC2D1A|54862	1115.0363	CC2D1A|54862	1106.2092
CC2D1B|200014	563.7945	CC2D1B|200014	649.1013
CC2D2A|57545	198.6909	CC2D2A|57545	643.7908
CCAR1|55749	1036.8511	CCAR1|55749	1430.1471
CCBE1|147372	13.27	CCBE1|147372	46.5686
CCBL1|883	96.1176	CCBL1|883	69.8529
CCBL2|56267	778.0436	CCBL2|56267	911.5645
CCBP2|1238	38.734	CCBP2|1238	101.3072
CCDC101|112869	268.2686	CCDC101|112869	253.268
CCDC102A|92922	120.5057	CCDC102A|92922	253.268
CCDC102B|79839	82.1304	CCDC102B|79839	126.2255
CCDC103|388389	143.1005	CCDC103|388389	114.3791
CCDC104|112942	932.1259	CCDC104|112942	1023.2843
CCDC106|29903	198.3323	CCDC106|29903	194.4444
CCDC107|203260	311.9555	CCDC107|203260	260.3145
CCDC109A|90550	622.9714	CCDC109A|90550	455.4739
CCDC109B|55013	391.2849	CCDC109B|55013	202.6144
CCDC110|256309	38.0167	CCDC110|256309	70.6699
CCDC111|201973	152.845	CCDC111|201973	236.9526
CCDC112|153733	228.4587	CCDC112|153733	276.5523
CCDC113|29070	563.7945	CCDC113|29070	362.3366
CCDC114|93233	17.5737	CCDC114|93233	12.6634
CCDC115|84317	883.7084	CCDC115|84317	1037.5817
CCDC117|150275	972.6531	CCDC117|150275	1066.585
CCDC11|220136	47.3415	CCDC11|220136	34.7222
CCDC120|90060	466.9596	CCDC120|90060	512.2549
CCDC121|79635	152.0667	CCDC121|79635	205.0654
CCDC122|160857	58.8183	CCDC122|160857	144.1993
CCDC123|84902	638.7519	CCDC123|84902	477.9412
CCDC124|115098	790.8186	CCDC124|115098	420.7516
CCDC125|202243	638.7519	CCDC125|202243	468.1373
CCDC126|90693	917.4213	CCDC126|90693	182.1895
CCDC127|133957	482.3814	CCDC127|133957	382.7614
CCDC129|223075	5.7384	CCDC129|223075	65.3595
CCDC12|151903	274.3656	CCDC12|151903	366.0131
CCDC130|81576	267.91	CCDC130|81576	311.2745
CCDC132|55610	758.1817	CCDC132|55610	712.8268
CCDC134|79879	46.6242	CCDC134|79879	73.5294
CCDC136|64753	18.291	CCDC136|64753	87.4183
CCDC137|339230	341.0742	CCDC137|339230	274.9183
CCDC138|165055	54.8731	CCDC138|165055	80.4739
lowly_expressed	lowly_expressed	CCDC13|152206	10.6209
lowly_expressed	lowly_expressed	CCDC141|285025	11.8464
CCDC142|84865	91.4552	CCDC142|84865	132.4673
CCDC144A|9720	6.5884	CCDC144A|9720	24.2239
CCDC144B|284047	16.1463	CCDC144B|284047	64.4281
CCDC146|57639	82.1304	CCDC146|57639	145.8333
CCDC147|159686	10.7594	CCDC147|159686	17.9739
CCDC148|130940	21.8775	CCDC148|130940	40.8497
CCDC149|91050	539.4064	CCDC149|91050	792.0752
CCDC14|64770	521.474	CCDC14|64770	1132.7614
CCDC150|284992	5.3797	CCDC150|284992	8.1699
CCDC151|115948	7.8903	CCDC151|115948	7.7614
