gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
ACAD8|27034	600.3766	ACAD8|27034	582.5163
ACAD9|28976	827.7378	ACAD9|28976	637.2549
ACADL|33	6.4557	ACADL|33	11.0294
ACADM|34	1006.7246	ACADM|34	1174.8366
ACADSB|36	964.4042	ACADSB|36	1815.3595
ACADS|35	380.8841	ACADS|35	444.8529
ACADVL|37	3756.8188	ACADVL|37	5226.5727
ACAN|176	50.928	ACAN|176	9.8039
ACAP1|9744	58.8183	ACAP1|9744	52.2876
ACAP2|23527	1260.2887	ACAP2|23527	1164.6242
ACAP3|116983	380.1847	ACAP3|116983	340.3145
ACAT1|38	4601.4525	ACAT1|38	962.4183
ACAT2|39	434.5557	ACAT2|39	330.6087
ACBD3|64746	2856.2719	ACBD3|64746	1345.5882
ACBD4|79777	148.8389	ACBD4|79777	247.1405
ACBD5|91452	1021.7879	ACBD5|91452	724.2647
ACBD6|84320	704.3845	ACBD6|84320	402.7778
ACBD7|414149	13.27	ACBD7|414149	133.1699
lowly_expressed	lowly_expressed	ACCN1|40	8.1699
ACCN2|41	43.0377	ACCN2|41	341.9118
ACCS|84680	313.0996	ACCS|84680	348.4477
ACD|65057	335.6944	ACD|65057	305.1471
lowly_expressed	lowly_expressed	ACE2|59272	37.1732
ACER2|340485	313.8169	ACER2|340485	187.9085
ACER3|55331	332.8252	ACER3|55331	370.915
ACE|1636	842.1053	ACE|1636	811.683
ACHE|43	13.9873	ACHE|43	34.3137
ACIN1|22985	1880.7496	ACIN1|22985	3383.1699
ACLY|47	4911.3243	ACLY|47	2516.3399
ACN9|57001	73.1642	ACN9|57001	124.183
ACO1|48	2087.6894	ACO1|48	993.0556
ACO2|50	2885.4873	ACO2|50	1820.3227
ACOT11|26027	37.2994	ACOT11|26027	63.7255
ACOT13|55856	467.3612	ACOT13|55856	475.2737
ACOT1|641371	454.0482	ACOT1|641371	305.1471
ACOT2|10965	394.8713	ACOT2|10965	311.2745
ACOT4|122970	361.8757	ACOT4|122970	64.134
ACOT7|11332	348.6058	ACOT7|11332	207.5163
ACOT8|10005	225.3959	ACOT8|10005	160.7435
ACOT9|23597	461.2212	ACOT9|23597	370.5065
ACOX1|51	1409.4432	ACOX1|51	1447.4428
ACOX2|8309	54.8731	ACOX2|8309	249.183
ACOX3|8310	785.0802	ACOX3|8310	509.3954
ACP1|52	1461.1315	ACP1|52	1351.7157
ACP2|53	1543.9792	ACP2|53	760.2124
ACP5|54	7819.6001	ACP5|54	582.5163
ACP6|51205	561.6426	ACP6|51205	321.8954
ACPL2|92370	691.4731	ACPL2|92370	595.5882
ACPP|55	20.4429	ACPP|55	21.6503
ACRBP|84519	17.9324	ACRBP|84519	10.2124
ACRC|93953	6.097	ACRC|93953	23.6928
lowly_expressed	lowly_expressed	ACR|49	7.7614
lowly_expressed	lowly_expressed	ACSBG1|23205	15.9314
ACSF2|80221	1077.3783	ACSF2|80221	741.9649
ACSF3|197322	444.0061	ACSF3|197322	343.5458
ACSL1|2180	852.8647	ACSL1|2180	1601.7157
ACSL3|2181	2920.4698	ACSL3|2181	4107.0261
ACSL4|2182	901.2822	ACSL4|2182	1208.7418
ACSL5|51703	409.5759	ACSL5|51703	941.1765
ACSL6|23305	68.5017	ACSL6|23305	13.0719
ACSM1|116285	76.392	ACSM1|116285	44.5261
lowly_expressed	lowly_expressed	ACSM2A|123876	7.3529
ACSM3|6296	28.2256	ACSM3|6296	157.402
ACSM5|54988	29.4091	ACSM5|54988	28.5948
ACSS1|84532	956.8726	ACSS1|84532	756.1275
ACSS2|55902	847.1263	ACSS2|55902	1129.4935
ACSS3|79611	539.0478	ACSS3|79611	253.268
ACTA1|58	8.6075	ACTA1|58	16.3399
ACTA2|59	7014.0841	ACTA2|59	30215.9559
lowly_expressed	lowly_expressed	ACTBL2|345651	19.6078
ACTB|60	102366.0002	ACTB|60	66209.9673
ACTG1|71	85541.4687	ACTG1|71	55218.9542
ACTG2|72	84.2823	ACTG2|72	5346.8137
ACTL6A|86	1431.7224	ACTL6A|86	813.317
ACTN1|87	6845.5124	ACTN1|87	10566.9935
ACTN2|88	7.173	lowly_expressed	lowly_expressed
ACTN4|81	12143.5524	ACTN4|81	11388.8276
ACTR10|55860	918.8559	ACTR10|55860	1006.5359
ACTR1A|10121	2200.6635	ACTR1A|10121	1910.5392
ACTR1B|10120	1008.5179	ACTR1B|10120	1234.0686
ACTR2|10097	7486.4162	ACTR2|10097	4247.9575
ACTR3B|57180	140.9486	lowly_expressed	lowly_expressed
ACTR3C|653857	16.1392	ACTR3C|653857	84.1503
ACTR3|10096	4289.0702	ACTR3|10096	2617.2386
ACTR5|79913	170.3578	ACTR5|79913	191.9935
ACTR6|64431	592.845	ACTR6|64431	566.9935
ACTR8|93973	465.1663	ACTR8|93973	666.2582
ACVR1B|91	1220.4788	ACVR1B|91	1312.9085
ACVR1C|130399	24.0294	ACVR1C|130399	38.3987
ACVR1|90	940.7334	ACVR1|90	1327.6144
ACVR2A|92	363.669	ACVR2A|92	671.1601
ACVR2B|93	302.3402	ACVR2B|93	429.7386
ACVRL1|94	569.8915	ACVRL1|94	638.8889
ACY1|95	615.4398	ACY1|95	510.4984
lowly_expressed	lowly_expressed	ACY3|91703	22.0588
ACYP1|97	47.7002	ACYP1|97	57.598
ACYP2|98	173.5856	ACYP2|98	158.4967
ADAL|161823	159.2397	ADAL|161823	221.4052
ADAM10|102	1687.797	ADAM10|102	2294.9346
ADAM11|4185	5.0211	ADAM11|4185	12.2549
ADAM12|8038	3522.6396	ADAM12|8038	2020.0163
ADAM15|8751	5049.5902	ADAM15|8751	1884.8039
ADAM17|6868	708.3296	ADAM17|6868	864.7876
ADAM19|8728	366.8968	ADAM19|8728	190.768
ADAM22|53616	118.3538	ADAM22|53616	81.2908
ADAM23|8745	35.1475	ADAM23|8745	31.8627
ADAM28|10863	96.1176	ADAM28|10863	82.1078
ADAM32|203102	124.8095	ADAM32|203102	108.2516
ADAM33|80332	69.9363	ADAM33|80332	430.6658
ADAM6|8755	52837.8589	ADAM6|8755	16583.6928
ADAM8|101	383.036	ADAM8|101	47.3856
ADAM9|8754	2965.3008	ADAM9|8754	1996.732
ADAMDEC1|27299	37.2994	lowly_expressed	lowly_expressed
ADAMTS10|81794	90.7379	ADAMTS10|81794	116.8301
ADAMTS12|81792	617.5917	ADAMTS12|81792	259.3954
ADAMTS13|11093	32.2783	ADAMTS13|11093	66.9935
ADAMTS14|140766	116.9192	ADAMTS14|140766	26.1438
ADAMTS15|170689	182.1931	ADAMTS15|170689	316.9935
ADAMTS16|170690	256.0746	ADAMTS16|170690	277.3693
