gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
ACAD11|84129	269.7365	ACAD11|84129	580.602
ACAD8|27034	267.3694	ACAD8|27034	656.862
ACAD9|28976	694.2932	ACAD9|28976	686.7241
ACADL|33	11.9789	ACADL|33	41.7587
ACADM|34	778.6296	ACADM|34	1333.2317
ACADSB|36	1749.4011	ACADSB|36	3889.9642
ACADS|35	240.5367	ACADS|35	572.4301
ACADVL|37	1963.0906	ACADVL|37	5447.4891
ACAN|176	64.207	ACAN|176	5.7914
ACAP1|9744	34.4993	ACAP1|9744	75.5925
ACAP2|23527	1089.6023	ACAP2|23527	1769.4125
ACAP3|116983	404.8922	ACAP3|116983	422.7692
ACAT1|38	774.7964	ACAT1|38	765.3738
ACAT2|39	570.9727	ACAT2|39	312.1268
ACBD3|64746	1710.1102	ACBD3|64746	1731.9211
ACBD4|79777	164.3507	ACBD4|79777	293.8353
ACBD5|91452	573.5506	ACBD5|91452	979.3492
ACBD6|84320	565.4049	ACBD6|84320	346.2623
ACBD7|414149	19.6454	ACBD7|414149	38.7107
ACCN1|40	20.1246	lowly_expressed	lowly_expressed
ACCN2|41	183.9962	ACCN2|41	147.8321
ACCN3|9311	15.333	ACCN3|9311	10.0587
ACCS|84680	176.3297	ACCS|84680	626.3812
ACD|65057	494.0105	ACD|65057	373.695
lowly_expressed	lowly_expressed	ACE2|59272	13.7164
ACER2|340485	64.6862	ACER2|340485	218.5476
ACER3|55331	449.9281	ACER3|55331	336.2036
ACE|1636	1329.6598	ACE|1636	658.9957
ACHE|43	5.2707	ACHE|43	12.802
ACIN1|22985	2494.9689	ACIN1|22985	4545.9118
ACLY|47	5691.4231	ACLY|47	3689.4003
ACMSD|130013	10.5414	lowly_expressed	lowly_expressed
ACN9|57001	71.8735	ACN9|57001	155.1475
ACO1|48	1559.1759	ACO1|48	781.5286
ACO2|50	2856.5165	ACO2|50	1866.4238
ACOT11|26027	37.3742	ACOT11|26027	25.2991
ACOT13|55856	859.0034	ACOT13|55856	472.4377
ACOT1|641371	390.5127	ACOT1|641371	303.5891
ACOT2|10965	225.2036	ACOT2|10965	232.264
ACOT4|122970	238.1409	ACOT4|122970	73.154
ACOT7|11332	799.7125	ACOT7|11332	223.1197
ACOT8|10005	356.1476	ACOT8|10005	221.0074
ACOT9|23597	609.4873	ACOT9|23597	388.021
ACOX1|51	1670.575	ACOX1|51	1533.9419
ACOX2|8309	600.3833	ACOX2|8309	244.7611
ACOX3|8310	354.5759	ACOX3|8310	976.9108
ACP1|52	1395.3043	ACP1|52	1054.3321
ACP2|53	1737.9013	ACP2|53	705.0217
ACP5|54	1254.9114	ACP5|54	846.7576
ACP6|51205	203.6416	ACP6|51205	268.841
ACPL2|92370	678.0067	ACPL2|92370	591.3282
ACPP|55	13.4164	ACPP|55	40.5395
ACRBP|84519	19.1663	ACRBP|84519	27.1279
ACRC|93953	9.5831	ACRC|93953	18.2885
ACR|49	11.0206	ACR|49	6.0962
ACSBG1|23205	9.104	ACSBG1|23205	23.7751
ACSF2|80221	770.9631	ACSF2|80221	794.9402
ACSF3|197322	295.1605	ACSF3|197322	423.074
ACSL1|2180	2915.6684	ACSL1|2180	1001.9051
ACSL3|2181	2556.7801	ACSL3|2181	4483.426
ACSL4|2182	1019.6454	ACSL4|2182	1346.3385
ACSL5|51703	342.1179	ACSL5|51703	963.1944
ACSL6|23305	12.4581	ACSL6|23305	10.9731
ACSM1|116285	11.0206	ACSM1|116285	156.9763
ACSM3|6296	35.6924	ACSM3|6296	666.6372
ACSM5|54988	29.2286	ACSM5|54988	24.3847
ACSS1|84532	587.9253	ACSS1|84532	985.1406
ACSS2|55902	1014.3747	ACSS2|55902	927.8366
ACSS3|79611	616.1955	ACSS3|79611	414.5394
lowly_expressed	lowly_expressed	ACTA1|58	5.7914
ACTA2|59	15095.0216	ACTA2|59	21588.3106
ACTBL2|345651	8.6248	ACTBL2|345651	5.4866
ACTB|60	109584.5712	ACTB|60	48492.2655
ACTG1|71	73168.6632	ACTG1|71	47845.4622
