gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
DDX47|51202	722.0891	DDX47|51202	930.5799
DDX49|54555	734.068	DDX49|54555	677.5889999999999
DDX50|79009	916.6267	DDX50|79009	1169.5496
DDX51|317781	330.6181	DDX51|317781	584.6224
DDX52|11056	552.9468	DDX52|11056	555.3608
DDX54|79039	1146.8663	DDX54|79039	1152.7943
DDX55|57696	346.4303	DDX55|57696	629.4292
DDX56|54606	1551.9885	DDX56|54606	1050.9792
DDX58|23586	776.7130000000001	DDX58|23586	770.2507
DDX59|83479	649.2573	DDX59|83479	555.9704
DDX5|1655	13198.3709	DDX5|1655	15612.8934
DDX60L|91351	510.781	DDX60L|91351	759.8872
DDX60|55601	690.4648	DDX60|55601	678.8082
DDX6|1656	3116.4351	DDX6|1656	3865.8843
DEAF1|10522	689.9856	DEAF1|10522	663.5678
DECR1|1666	1104.9353	DECR1|1666	780.0046
DECR2|26063	306.1811	DECR2|26063	254.8198
DEDD2|162989	677.0484	DEDD2|162989	403.2614
DEDD|9191	1230.8433	DEDD|9191	714.2422
DEF6|50619	439.8658	DEF6|50619	338.6421
DEF8|54849	456.6363	DEF8|54849	757.1439
DEFB132|400830	6.229	DEFB132|400830	13.7164
DEFB1|1672	29.7077	DEFB1|1672	46.9405
DEGS1|8560	2095.8313	DEGS1|8560	1361.5789
DEGS2|123099	718.735	DEGS2|123099	202.6976
DEK|7913	1539.0513	DEK|7913	2468.9476
DEM1|64789	187.8294	DEM1|64789	180.4465
DENND1A|57706	787.2544	DENND1A|57706	628.21
DENND1B|163486	68.9986	DENND1B|163486	207.8793
DENND1C|79958	121.2266	DENND1C|79958	184.7139
DENND2A|27147	135.1222	DENND2A|27147	335.2892
DENND2C|163259	74.1255	DENND2C|163259	124.691
DENND2D|79961	434.116	DENND2D|79961	491.6559
DENND3|22898	304.2645	DENND3|22898	309.0757
DENND4A|10260	574.988	DENND4A|10260	846.4132
DENND4B|9909	644.9449	DENND4B|9909	757.7017
DENND4C|55667	848.1073	DENND4C|55667	2868.8562
DENND5A|23258	1731.1931	DENND5A|23258	1866.3415
DENND5B|160518	239.5783	DENND5B|160518	503.5434
DENR|8562	1356.0134	DENR|8562	1526.1754
DEPDC1B|55789	40.7283	lowly_expressed	lowly_expressed
DEPDC1|55635	77.1442	DEPDC1|55635	17.6789
lowly_expressed	lowly_expressed	DEPDC4|120863	24.3847
DEPDC5|9681	329.1806	DEPDC5|9681	510.55400000000003
DEPDC6|64798	737.4221	DEPDC6|64798	1877.3146
DEPDC7|91614	135.6013	DEPDC7|91614	11.8875
DERA|51071	447.0532	DERA|51071	383.7537
DERL1|79139	2321.5141	DERL1|79139	1473.1388
DERL2|51009	655.4863	DERL2|51009	383.1441
DERL3|91319	426.4494	DERL3|91319	82.2983
lowly_expressed	lowly_expressed	DES|1674	130.1532
DET1|55070	218.9746	DET1|55070	237.1409
DEXI|28955	564.4466	DEXI|28955	402.347
DFFA|1676	340.6804	DFFA|1676	677.8938
DFFB|1677	98.2271	DFFB|1677	182.5802
DFNA5|1687	251.0781	DFNA5|1687	380.7056
DFNB31|25861	330.139	DFNB31|25861	481.2924
DFNB59|494513	17.7288	DFNB59|494513	58.828
DGAT1|8694	719.7844	DGAT1|8694	359.3904
DGAT2|84649	1233.8285	DGAT2|84649	743.7324
DGCR11|25786	29.7077	DGCR11|25786	25.6039
DGCR14|8220	444.6574	DGCR14|8220	336.2036
DGCR2|9993	2794.9209	DGCR2|9993	3381.5439
DGCR5|26220	25.8745	DGCR5|26220	14.325999999999999
DGCR6L|85359	788.6919	DGCR6L|85359	502.629
DGCR6|8214	540.0096	DGCR6|8214	348.3959
DGCR8|54487	638.7159	DGCR8|54487	885.1635
DGCR9|25787	30.1869	DGCR9|25787	5.7914
DGKA|1606	533.3014	DGKA|1606	511.4684
DGKD|8527	401.0541	DGKD|8527	1062.2571
DGKE|8526	288.9315	DGKE|8526	315.4766
DGKG|1608	20.1246	DGKG|1608	24.6895
DGKH|160851	30.666	DGKH|160851	145.3936
DGKI|9162	34.9784	DGKI|9162	35.3578
DGKQ|1609	251.0781	DGKQ|1609	307.8564
DGKZ|8525	489.6981	DGKZ|8525	716.2996
DGUOK|1716	710.1102	DGUOK|1716	502.3242
DHCR24|1718	9823.6703	DHCR24|1718	7228.5301
DHCR7|1717	1592.7168	DHCR7|1717	697.4015
DHDDS|79947	724.9641	DHDDS|79947	658.9957
DHDH|27294	12.9372	DHDH|27294	8.2298
DHDPSL|112817	33.0618	DHDPSL|112817	25.1589
DHFRL1|200895	258.7446	DHFRL1|200895	402.6518
DHFR|1719	338.0546	DHFR|1719	175.0088
DHH|50846	9.104	DHH|50846	9.4491
DHODH|1723	87.6857	DHODH|1723	163.0725
DHPS|1725	908.9602	DHPS|1725	780.6142
DHRS11|79154	161.955	DHRS11|79154	167.6446
DHRS12|79758	223.7662	DHRS12|79758	313.6478
DHRS13|147015	220.6373	DHRS13|147015	149.5999
DHRS1|115817	441.3033	DHRS1|115817	530.3665
DHRS2|10202	23.4787	DHRS2|10202	923.8741
DHRS3|9249	952.5635	DHRS3|9249	979.0444
DHRS4L1|728635	14.8539	DHRS4L1|728635	14.6308
DHRS4L2|317749	352.2856	DHRS4L2|317749	200.2408
DHRS4|10901	518.3852	DHRS4|10901	611.7747
DHRS7B|25979	1179.6838	DHRS7B|25979	402.0422
DHRS7|51635	2138.4763	DHRS7|51635	1215.2709
DHRS9|10170	290.369	DHRS9|10170	16.4597
DHRSX|207063	754.6718	DHRSX|207063	268.2313
DHTKD1|55526	827.0244	DHTKD1|55526	859.2547
DHX15|1665	2117.3934	DHX15|1665	2932.866
DHX16|8449	688.069	DHX16|8449	951.6117
DHX29|54505	1256.3488	DHX29|54505	1220.7574
DHX30|22907	1869.1902	DHX30|22907	1682.8469
DHX32|55760	892.3958	DHX32|55760	932.5794
DHX33|56919	259.2238	DHX33|56919	576.6974
DHX34|9704	404.8874	DHX34|9704	596.5099
DHX35|60625	272.6402	DHX35|60625	370.647
DHX36|170506	951.6052	DHX36|170506	1147.6034
DHX37|57647	416.3872	DHX37|57647	468.7952
DHX38|9785	1083.8524	DHX38|9785	1489.2936
DHX40|79665	1872.5443	DHX40|79665	2033.3765
DHX57|90957	643.0283	DHX57|90957	680.3322
DHX58|79132	381.8879	DHX58|79132	324.6209
DHX8|1659	1461.9070000000002	DHX8|1659	1335.975
DHX9|1660	4277.9109	DHX9|1660	4419.4163
DIABLO|56616	782.1227	DIABLO|56616	652.8355
DIAPH1|1729	3428.8452	DIAPH1|1729	3701.2878
DIAPH2|1730	280.7858	DIAPH2|1730	300.2362
DIAPH3|81624	47.9157	DIAPH3|81624	18.8981
DICER1|23405	1031.6243	DICER1|23405	2185.7807
DIDO1|11083	1131.2889	DIDO1|11083	2218.7
DIMT1L|27292	354.5759	DIMT1L|27292	463.3087
lowly_expressed	lowly_expressed	DIO1|1733	8.5346
DIO2|1734	2812.6497	DIO2|1734	526.0992
DIO3|1735	13.8955	DIO3|1735	8.8394
DIP2A|23181	738.3805	DIP2A|23181	1140.288
DIP2B|57609	1111.6435	DIP2B|57609	1870.9137
DIP2C|22982	1141.8304	DIP2C|22982	1288.1201
DIRAS1|148252	135.6013	DIRAS1|148252	194.1629
lowly_expressed	lowly_expressed	DIRAS2|54769	23.1654
DIRAS3|9077	114.9976	DIRAS3|9077	93.5762
DIRC1|116093	23.9578	lowly_expressed	lowly_expressed
DIRC2|84925	490.4792	DIRC2|84925	289.3302
DIRC3|729582	35.9368	DIRC3|729582	13.7164
DIS3L2|129563	593.6751	DIS3L2|129563	575.783
DIS3L|115752	1089.1231	DIS3L|115752	871.7519
DIS3|22894	707.4461	DIS3|22894	1311.4257
DISC1|27185	189.7413	DISC1|27185	227.0761
DISP1|84976	415.4288	DISP1|84976	338.9469
DISP2|85455	15.8122	DISP2|85455	17.3741
DIXDC1|85458	679.9233	DIXDC1|85458	1774.899
DKC1|1736	927.6473	DKC1|1736	1161.9294
lowly_expressed	lowly_expressed	DKFZP434L187|26082	9.4948
DKFZP586I1420|222161	209.8706	DKFZP586I1420|222161	388.6306
DKFZP686I15217|401232	52.7072	DKFZP686I15217|401232	74.678
lowly_expressed	lowly_expressed	DKFZp434J0226|93429	32.3097
DKFZp566F0947|94023	7.6665	lowly_expressed	lowly_expressed
DKFZp686O24166|374383	22.5204	DKFZp686O24166|374383	35.3578
DKFZp761E198|91056	389.5544	DKFZp761E198|91056	432.8279
DKK1|22943	20.1246	DKK1|22943	24.3847
DKK2|27123	156.2051	DKK2|27123	61.8761
DKK3|27122	3565.884	DKK3|27122	2822.2205
DKKL1|27120	11.0206	DKKL1|27120	7.0106
DLAT|1737	593.6751	DLAT|1737	800.7315
DLC1|10395	1834.2118	DLC1|10395	2921.5881
DLD|1738	945.3761	DLD|1738	1275.623
lowly_expressed	lowly_expressed	DLEC1|9940	42.978
DLEU1|10301	79.0609	DLEU1|10301	80.4694
lowly_expressed	lowly_expressed	DLEU2L|79469	14.325999999999999
DLEU2|8847	10.3833	DLEU2|8847	22.2297
DLG1|1739	1218.4954	lowly_expressed	lowly_expressed
DLG2|1740	30.666	DLG2|1740	186.5427
DLG3|1741	1811.6914	DLG3|1741	1702.0498
DLG4|1742	236.2386	DLG4|1742	469.1458
DLG5|9231	3802.5874	DLG5|9231	3351.3678
DLGAP1|9229	67.0819	DLGAP1|9229	145.0888
lowly_expressed	lowly_expressed	DLGAP2|9228	26.2135
DLGAP4|22839	2424.0537	DLGAP4|22839	1821.2299
DLGAP5|9787	154.2885	DLGAP5|9787	10.6683
lowly_expressed	lowly_expressed	DLK1|8788	1177.4747
DLK2|65989	15.333	DLK2|65989	103.33
DLL1|28514	175.3713	DLL1|28514	210.9274
DLL4|54567	488.7398	DLL4|54567	247.8092
DLST|1743	1525.6349	DLST|1743	2098.6055
lowly_expressed	lowly_expressed	DLX1|1745	6.0962
DLX2|1746	5.2707	lowly_expressed	lowly_expressed
DLX3|1747	159.08	DLX3|1747	49.6838
DLX4|1748	19.6454	DLX4|1748	6.0962
DLX5|1749	39.77	lowly_expressed	lowly_expressed
DMAP1|55929	469.0944	DMAP1|55929	622.7235
DMBT1|1755	6.7082	DMBT1|1755	30.7856
DMBX1|127343	18.6871	lowly_expressed	lowly_expressed
DMC1|11144	7.1874	DMC1|11144	17.6789
DMD|1756	385.24199999999996	DMD|1756	2602.4537
DMGDH|29958	53.6655	DMGDH|29958	43.5876
DMKN|93099	134.643	DMKN|93099	483.1212
DMPK|1760	283.6608	DMPK|1760	531.281
DMRT2|10655	24.436999999999998	DMRT2|10655	21.3366
DMRT3|58524	16.7705	DMRT3|58524	27.4328
DMRTA1|63951	35.4576	DMRTA1|63951	12.802
DMRTC1B|728656	51.7489	DMRTC1B|728656	31.3953
DMTF1|9988	605.1749	DMTF1|9988	1577.749
DMWD|1762	580.7379	DMWD|1762	481.902
DMXL1|1657	827.0244	DMXL1|1657	1830.0693
DMXL2|23312	376.13800000000003	DMXL2|23312	703.4977
DNA2|1763	45.5199	DNA2|1763	91.7473
DNAH10|196385	35.9368	DNAH10|196385	17.9837
DNAH11|8701	17.7144	lowly_expressed	lowly_expressed
DNAH12|201625	18.208	DNAH12|201625	12.802
DNAH14|127602	156.6842	DNAH14|127602	136.5541
DNAH17|8632	21.5621	DNAH17|8632	21.9462
DNAH1|25981	87.2065	DNAH1|25981	350.5296
DNAH2|146754	59.4154	DNAH2|146754	270.365
lowly_expressed	lowly_expressed	DNAH3|55567	10.6683
DNAH5|1767	195.9751	DNAH5|1767	571.2109
DNAH6|1768	21.0829	DNAH6|1768	203.0024
DNAH7|56171	38.3325	DNAH7|56171	191.1148
DNAH9|1770	47.4365	DNAH9|1770	11.5827
lowly_expressed	lowly_expressed	DNAI1|27019	43.8924
DNAJA1|3301	2476.2817	DNAJA1|3301	2236.3789
DNAJA2|10294	1833.7326	DNAJA2|10294	1651.4516
DNAJA3|9093	886.4399	DNAJA3|9093	855.2922
DNAJA4|55466	2342.597	DNAJA4|55466	861.998
DNAJB11|51726	1266.4111	DNAJB11|51726	670.2736
DNAJB12|54788	1421.6579	DNAJB12|54788	1334.1462
DNAJB14|79982	324.8682	DNAJB14|79982	562.981
DNAJB1|3337	3287.9732	DNAJB1|3337	2316.8483
DNAJB2|3300	1706.277	DNAJB2|3300	1762.7067
DNAJB4|11080	379.9713	DNAJB4|11080	630.0389
DNAJB5|25822	223.287	DNAJB5|25822	163.3773
DNAJB6|10049	1429.3244	DNAJB6|10049	1311.5903
DNAJB9|4189	573.0714	DNAJB9|4189	764.1545
DNAJC10|54431	3148.5386	DNAJC10|54431	2698.7731
DNAJC11|55735	981.1260000000001	DNAJC11|55735	889.0284
DNAJC12|56521	569.7173	DNAJC12|56521	510.2492
DNAJC13|23317	1654.5279999999998	DNAJC13|23317	1813.3049
DNAJC14|85406	1585.5678	DNAJC14|85406	1202.1916
DNAJC15|29103	717.2976	DNAJC15|29103	609.3119
DNAJC16|23341	826.5453	DNAJC16|23341	921.4356
DNAJC17|55192	188.3086	DNAJC17|55192	250.8573
DNAJC18|202052	177.28799999999998	DNAJC18|202052	306.0276
DNAJC19|131118	429.8035	DNAJC19|131118	471.2337
DNAJC1|64215	833.7326	DNAJC1|64215	564.2003
DNAJC21|134218	997.1251	DNAJC21|134218	1296.0451
DNAJC22|79962	172.0172	DNAJC22|79962	176.7888
DNAJC24|120526	352.506	DNAJC24|120526	329.8727
DNAJC25|548645	227.5994	DNAJC25|548645	235.0072
DNAJC27|51277	122.6641	DNAJC27|51277	363.9412
DNAJC28|54943	30.1869	DNAJC28|54943	37.4914
DNAJC2|27000	479.8275	DNAJC2|27000	632.7547
DNAJC30|84277	230.9535	DNAJC30|84277	226.7774
DNAJC3|5611	2981.3129	DNAJC3|5611	2384.8205
DNAJC4|3338	733.8955	DNAJC4|3338	548.0546
lowly_expressed	lowly_expressed	DNAJC5B|85479	6.0962
DNAJC5|80331	780.5462	DNAJC5|80331	1350.6058
DNAJC6|9829	95.8313	DNAJC6|9829	80.7742
DNAJC7|7266	2366.6938	DNAJC7|7266	1317.2141
DNAJC8|22826	2049.8323	DNAJC8|22826	1585.0034
DNAJC9|23234	583.6128	DNAJC9|23234	498.6665
DNAL1|83544	342.597	DNAL1|83544	609.9215
DNAL4|10126	589.8419	DNAL4|10126	551.3983
DNALI1|7802	949.6885	DNALI1|7802	1035.1292
DNASE1L1|1774	602.1658	DNASE1L1|1774	377.3345
DNASE1L2|1775	6.7082	DNASE1L2|1775	7.925
DNASE1L3|1776	21.0829	DNASE1L3|1776	63.0953
DNASE1|1773	16.2913	DNASE1|1773	55.7799
DNASE2B|58511	87.2065	DNASE2B|58511	11.8875
DNASE2|1777	2036.4159	DNASE2|1777	1039.0917
DND1|373863	56.0661	DND1|373863	60.2484
lowly_expressed	lowly_expressed	DNER|92737	26.8231
DNHD1|144132	99.1854	DNHD1|144132	332.5459
DNLZ|728489	140.3929	DNLZ|728489	64.0098
DNM1L|10059	1606.1332	DNM1L|10059	1393.8886
DNM1P35|100128285	9.5831	DNM1P35|100128285	33.2241
DNM1|1759	849.5448	DNM1|1759	417.8923
DNM2|1785	2170.7858	DNM2|1785	1958.2565
DNM3|26052	86.7274	DNM3|26052	121.9233
DNMBP|23268	801.9645	DNMBP|23268	1887.3672
DNMT1|1786	1177.7671	DNMT1|1786	1488.0744
DNMT3A|1788	406.80400000000003	DNMT3A|1788	513.6021
DNMT3B|1789	68.0402	DNMT3B|1789	73.4588
DNPEP|23549	1453.2822	DNPEP|23549	1125.6572
DNTTIP1|116092	471.4902	DNTTIP1|116092	370.3421
DNTTIP2|30836	1035.9368	DNTTIP2|30836	1460.9464
DOC2A|8448	17.2353	DOC2A|8448	67.2925
DOC2B|8447	7.1874	DOC2B|8447	26.2135
DOCK10|55619	528.989	DOCK10|55619	1161.3198
DOCK11|139818	572.1131	DOCK11|139818	455.3837
DOCK1|1793	3060.8529	DOCK1|1793	3704.0311
DOCK2|1794	324.8682	DOCK2|1794	295.9689
DOCK3|1795	8.6248	DOCK3|1795	57.303999999999995
DOCK4|9732	507.4269	DOCK4|9732	647.4129
DOCK5|80005	351.70099999999996	DOCK5|80005	605.0446
DOCK6|57572	1058.4571	DOCK6|57572	767.8122
DOCK7|85440	1060.8529	DOCK7|85440	1522.2129
DOCK8|81704	525.6349	DOCK8|81704	1493.8657
DOCK9|23348	1681.3608	DOCK9|23348	2238.8173
DOHH|83475	105.8936	DOHH|83475	90.8329
DOK1|1796	229.9952	DOK1|1796	154.5378
DOK2|9046	43.6033	DOK2|9046	60.6569
DOK3|79930	173.4547	DOK3|79930	79.555
DOK4|55715	436.5117	DOK4|55715	413.3201
DOK5|55816	72.3527	DOK5|55816	83.5175
DOK6|220164	112.1227	DOK6|220164	60.6569
DOK7|285489	100.1437	DOK7|285489	73.4588
DOLK|22845	790.6085	DOLK|22845	236.2265
DOLPP1|57171	453.2822	DOLPP1|57171	287.4343
DOM3Z|1797	176.7705	DOM3Z|1797	351.3861
DONSON|29980	214.8922	DONSON|29980	106.4757
DOPEY1|23033	610.4121	DOPEY1|23033	1059.8217
DOPEY2|9980	834.6909	DOPEY2|9980	981.1781
DOT1L|84444	236.2242	DOT1L|84444	453.5457
DPAGT1|1798	816.0038	DPAGT1|1798	699.2608
DPCD|25911	357.4701	DPCD|25911	195.8638
DPEP1|1800	17.2496	lowly_expressed	lowly_expressed
DPEP2|64174	33.541	DPEP2|64174	30.7856
DPF2|5977	1275.9943	DPF2|5977	1111.3313
DPF3|8110	7.6665	DPF3|8110	19.8125
DPH1|1801	441.0494	DPH1|1801	859.0231
DPH2|1802	353.6176	DPH2|1802	356.9306
DPH3B|100132911	13.8955	DPH3B|100132911	21.9462
DPH3|285381	685.6732	DPH3|285381	472.7578
DPH5|51611	376.2195	DPH5|51611	442.4446
DPM1|8813	460.9487	DPM1|8813	464.8327
DPM2|8818	1159.08	DPM2|8818	531.5858
DPM3|54344	505.9895	DPM3|54344	163.9869
DPP3|10072	936.2722	DPP3|10072	442.8682
DPP4|1803	443.2199	DPP4|1803	570.2964
lowly_expressed	lowly_expressed	DPP6|1804	76.2021
DPP7|29952	2208.9123	DPP7|29952	1086.6418
DPP8|54878	586.4878	DPP8|54878	796.4642
DPP9|91039	1433.1576	DPP9|91039	1023.2416
DPT|1805	1145.6636	DPT|1805	1250.3239
DPY19L1|23333	997.1251	DPY19L1|23333	555.6656
lowly_expressed	lowly_expressed	DPY19L2P1|554236	10.3635
DPY19L2P2|349152	7.1874	DPY19L2P2|349152	36.8818
DPY19L2P4|442523	15.333	DPY19L2P4|442523	106.6829
DPY19L2|283417	18.6871	DPY19L2|283417	159.11
DPY19L3|147991	561.0925	DPY19L3|147991	670.8832
DPY19L4|286148	865.8361	DPY19L4|286148	1402.1184
DPY30|84661	839.6263	DPY30|84661	523.5602
DPYD|1806	625.2995	DPYD|1806	1101.5774
DPYSL2|1808	2513.1768	DPYSL2|1808	3857.3497
DPYSL3|1809	10852.8989	DPYSL3|1809	3948.7922
DPYSL4|10570	93.9147	DPYSL4|10570	93.5762
lowly_expressed	lowly_expressed	DPYS|1807	26.5183
DR1|1810	1048.874	DR1|1810	1258.2489
DRAM1|55332	740.7762	DRAM1|55332	987.2743
DRAM2|128338	813.6080000000001	DRAM2|128338	829.3835
DRAP1|10589	910.3977	DRAP1|10589	555.6656
DRD1|1812	9.104	DRD1|1812	5.4866
lowly_expressed	lowly_expressed	DRD2|1813	113.9983
DRD4|1815	15.8122	lowly_expressed	lowly_expressed
DRG1|4733	1247.2448	DRG1|4733	893.0885
DRG2|1819	797.3167	DRG2|1819	602.6061
DRP2|1821	45.5199	DRP2|1821	10.0587
DSC1|1823	15.333	DSC1|1823	109.1244
DSC2|1824	603.7374	DSC2|1824	2521.0699
DSC3|1825	650.2156	DSC3|1825	1630.4199
DSCAML1|57453	6.229	DSCAML1|57453	39.9299
lowly_expressed	lowly_expressed	DSCAM|1826	6.0962
DSCC1|79075	76.6651	DSCC1|79075	92.0521
DSCR3|10311	744.1303	DSCR3|10311	857.1211
DSCR6|53820	44.0824	DSCR6|53820	10.3635
DSEL|92126	624.3412	DSEL|92126	556.2752
DSE|29940	1707.3551	DSE|29940	1002.914
DSG1|1828	25.3953	DSG1|1828	267.6217
DSG2|1829	2426.9094	DSG2|1829	5608.7571
DSG3|1830	550.5509999999999	DSG3|1830	1507.8869
DSN1|79980	293.723	DSN1|79980	263.964
DSP|1832	21353.6176	DSP|1832	19519.3172
DSTN|11034	7176.3297	DSTN|11034	8556.2752
DSTYK|25778	1041.2075	DSTYK|25778	1267.6979
DST|667	7900.8146	DST|667	35746.3995
DTD1|92675	400.0958	DTD1|92675	343.2142
DTL|51514	349.3052	DTL|51514	37.4914
DTNA|1837	156.6842	DTNA|1837	503.2386
DTNBP1|84062	401.5333	DTNBP1|84062	263.0496
DTNB|1838	306.1811	DTNB|1838	573.0397
DTWD1|56986	335.4097	DTWD1|56986	521.5271
DTWD2|285605	200.2875	DTWD2|285605	263.3544
DTX1|1840	147.5803	DTX1|1840	139.2974
DTX2|113878	308.5769	DTX2|113878	374.9143
DTX3L|151636	1892.1418	DTX3L|151636	1303.4794
DTX3|196403	823.6703	DTX3|196403	804.3892
DTX4|23220	726.4015	DTX4|23220	537.0723
DTYMK|1841	356.9717	DTYMK|1841	166.1206
DULLARD|23399	1738.3805	DULLARD|23399	1476.7965
DUOX1|53905	582.1754	DUOX1|53905	198.4302
DUOX2|50506	72.8318	DUOX2|50506	24.3847
DUOXA1|90527	78.1025	DUOXA1|90527	24.345
DUOXA2|405753	9.5831	lowly_expressed	lowly_expressed
DUS1L|64118	1786.7753	DUS1L|64118	837.3085
DUS2L|54920	190.7044	DUS2L|54920	180.7514
DUS3L|56931	180.1629	DUS3L|56931	276.76599999999996
DUS4L|11062	85.76899999999999	DUS4L|11062	143.1959
DUSP10|11221	447.5323	DUSP10|11221	911.0722
DUSP11|8446	473.88599999999997	DUSP11|8446	533.7194
DUSP12|11266	284.6191	DUSP12|11266	269.1458
DUSP13|51207	22.9995	lowly_expressed	lowly_expressed
DUSP14|11072	693.3397	DUSP14|11072	391.9835
DUSP15|128853	29.2286	DUSP15|128853	24.0799
DUSP16|80824	866.7944	DUSP16|80824	2676.2173
DUSP18|150290	180.1629	DUSP18|150290	175.1642
DUSP19|142679	66.6028	DUSP19|142679	141.7359
DUSP1|1843	3762.8174	DUSP1|1843	14715.2328
DUSP22|56940	733.1097	DUSP22|56940	688.8669
DUSP23|54935	1019.1663	DUSP23|54935	232.8736
lowly_expressed	lowly_expressed	DUSP26|78986	6.0962
DUSP27|92235	9.104	DUSP27|92235	8.5346
DUSP28|285193	86.7274	DUSP28|285193	91.1377
DUSP2|1844	91.5189	DUSP2|1844	219.7668
DUSP3|1845	2026.3536	DUSP3|1845	1467.0426
DUSP4|1846	736.943	DUSP4|1846	1634.9920000000002
DUSP5|1847	598.4667	DUSP5|1847	1319.8202
DUSP6|1848	1923.8141	DUSP6|1848	5108.2832
DUSP7|1849	619.0704	DUSP7|1849	459.3462
DUSP8|1850	165.3091	DUSP8|1850	344.1286
DUSP9|1852	7.6665	DUSP9|1852	31.3953
DUT|1854	747.8534	DUT|1854	592.8888
DVL1|1855	597.9875	DVL1|1855	731.54
DVL2|1856	527.0724	DVL2|1856	877.2384
DVL3|1857	2767.1299	DVL3|1857	2183.0374
DYDC2|84332	20.1246	lowly_expressed	lowly_expressed
DYM|54808	648.299	DYM|54808	860.7788
DYNC1H1|1778	10394.8251	DYNC1H1|1778	10952.6785
DYNC1I1|1780	51.7489	DYNC1I1|1780	60.9617
DYNC1I2|1781	2364.1591	DYNC1I2|1781	2094.0334
DYNC1LI1|51143	1033.0618	DYNC1LI1|51143	848.2816
DYNC1LI2|1783	3056.5405	DYNC1LI2|1783	3699.1542
DYNC2H1|79659	627.2161	DYNC2H1|79659	1327.1356
DYNC2LI1|51626	522.7599	DYNC2LI1|51626	504.7626
DYNLL1|8655	4192.621	DYNLL1|8655	1772.1558
DYNLL2|140735	1619.0704	DYNLL2|140735	1509.411
DYNLRB1|83658	2857.2113	DYNLRB1|83658	989.1031
DYNLRB2|83657	26.8328	DYNLRB2|83657	39.6251
DYNLT1|6993	1307.6186	DYNLT1|6993	687.9524
DYNLT3|6990	963.5841	DYNLT3|6990	567.5532
DYRK1A|1859	1646.3824	DYRK1A|1859	2327.5166
DYRK1B|9149	563.4883	DYRK1B|9149	481.902
DYRK2|8445	1049.8323	DYRK2|8445	695.2679
DYRK3|8444	286.5357	DYRK3|8444	280.4237
DYRK4|8798	276.4734	DYRK4|8798	260.9159
DYSF|8291	892.6689	DYSF|8291	507.2011
DYX1C1|161582	77.3455	DYX1C1|161582	96.1183
DZIP1L|199221	149.4969	DZIP1L|199221	154.233
DZIP1|22873	624.6095	DZIP1|22873	638.6253
DZIP3|9666	407.2832	DZIP3|9666	717.5189
E2F1|1869	95.3522	E2F1|1869	35.3578
E2F2|1870	46.9574	E2F2|1870	13.4116
E2F3|1871	300.4312	E2F3|1871	331.9363
E2F4|1874	1014.8539	E2F4|1874	779.6998
E2F5|1875	93.0379	E2F5|1875	111.7732
E2F6|1876	322.9516	E2F6|1876	285.3006
E2F7|144455	32.1035	E2F7|144455	17.6789
E2F8|79733	52.7072	lowly_expressed	lowly_expressed
E4F1|1877	342.597	E4F1|1877	457.5173
EAF1|85403	1199.8083	EAF1|85403	730.6256
EAF2|55840	47.9157	EAF2|55840	59.7424
EAPP|55837	924.7724	EAPP|55837	1011.3541
EARS2|124454	619.5496	EARS2|124454	686.7332
EBAG9|9166	463.8237	EBAG9|9166	554.7512
EBF1|1879	544.322	EBF1|1879	828.1643
EBF2|64641	72.3527	EBF2|64641	89.00399999999999
EBF3|253738	101.5812	EBF3|253738	174.96
EBF4|57593	426.4494	EBF4|57593	515.4309
EBI3|10148	36.8951	EBI3|10148	19.2029
EBNA1BP2|10969	917.1059	EBNA1BP2|10969	771.284
EBPL|84650	248.6823	EBPL|84650	392.898
EBP|10682	710.1102	EBP|10682	318.8295
ECD|11319	778.1505	ECD|11319	745.2564
ECE1|1889	5154.7676	ECE1|1889	8778.7853
ECE2|9718	188.3086	ECE2|9718	80.4694
lowly_expressed	lowly_expressed	ECEL1|9427	135.9445
ECH1|1891	2035.4576	ECH1|1891	1801.1126
ECHDC1|55862	946.8136	ECHDC1|55862	1060.4283
ECHDC2|55268	339.7221	ECHDC2|55268	1353.3491
ECHDC3|79746	319.1184	ECHDC3|79746	304.8084
ECHS1|1892	2446.0949	ECHS1|1892	1428.6367
ECM1|1893	11632.0077	ECM1|1893	364.246
ECM2|1842	1996.1667	ECM2|1842	1115.5986
ECSCR|641700	137.0388	ECSCR|641700	118.5704
ECSIT|51295	556.7801	ECSIT|51295	515.7357
ECT2L|345930	6.229	ECT2L|345930	14.325999999999999
ECT2|1894	465.7403	ECT2|1894	409.9672
EDA2R|60401	127.4557	EDA2R|60401	302.9795
EDARADD|128178	227.1203	EDARADD|128178	672.712
EDAR|10913	9.5831	EDAR|10913	94.7954
EDA|1896	142.7887	EDA|1896	199.9543
EDC3|80153	1035.9368	EDC3|80153	810.1806
EDC4|23644	1407.8821	EDC4|23644	1495.7312
EDEM1|9695	1639.6742	EDEM1|9695	1620.3612
EDEM2|55741	616.1955	EDEM2|55741	486.4741
EDEM3|80267	3067.0819	lowly_expressed	lowly_expressed
EDF1|8721	3141.3512	EDF1|8721	2237.5981
EDIL3|10085	1354.0968	EDIL3|10085	407.224
EDN1|1906	124.1016	EDN1|1906	639.4879
EDN2|1907	24.436999999999998	EDN2|1907	13.4116
