gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
lowly_expressed	lowly_expressed	ACADL|33	13.7952
ACADM|34	1539.4252	ACADM|34	1036.7932
ACADSB|36	323.5077	ACADSB|36	1186.8157
ACADS|35	176.1238	ACADS|35	289.2675
ACADVL|37	2377.664	ACADVL|37	4287.2715
ACAN|176	112.3803	ACAN|176	46.1276
ACAP1|9744	203.7583	ACAP1|9744	989.3723
ACAP2|23527	2338.2461	ACAP2|23527	2023.1479
ACAP3|116983	535.3721	ACAP3|116983	526.803
ACAT1|38	652.9108	ACAT1|38	731.5751
ACAT2|39	597.0302	ACAT2|39	331.7437
ACBD3|64746	2863.6699	ACBD3|64746	1613.6038
ACBD4|79777	78.8504	ACBD4|79777	232.3624
ACBD5|91452	3574.0604	ACBD5|91452	842.7987
ACBD6|84320	328.6662	ACBD6|84320	299.1827
ACBD7|414149	70.7443	ACBD7|414149	156.9201
lowly_expressed	lowly_expressed	ACCN1|40	6.8976
ACCN2|41	8.1061	ACCN2|41	70.2691
lowly_expressed	lowly_expressed	ACCN3|9311	10.3464
ACCS|84680	434.4141	ACCS|84680	350.4835
ACD|65057	398.6735	ACD|65057	271.5924
ACE2|59272	210.0221	ACE2|59272	39.6611
ACER2|340485	29.4768	ACER2|340485	141.8316
ACER3|55331	554.9005	ACER3|55331	469.4669
ACE|1636	1295.8732	ACE|1636	478.52
ACHE|43	61.9013	ACHE|43	119.4144
ACIN1|22985	2298.4525	ACIN1|22985	3347.9153
ACLY|47	5436.9934	ACLY|47	2987.0854
ACN9|57001	166.5438	ACN9|57001	144.4182
ACO1|48	477.1555	ACO1|48	848.4029
ACO2|50	2802.1371	ACO2|50	1792.0917
ACOT11|26027	178.8983	ACOT11|26027	65.2986
ACOT13|55856	721.6396	ACOT13|55856	496.2123
ACOT1|641371	861.8276	ACOT1|641371	887.2019
ACOT2|10965	347.8261	ACOT2|10965	303.9248
ACOT4|122970	102.4318	ACOT4|122970	45.2654
ACOT7|11332	735.4458	ACOT7|11332	363.4165
ACOT8|10005	193.4119	ACOT8|10005	214.4976
ACOT9|23597	657.3324	ACOT9|23597	556.1178
ACOX1|51	3067.3471	ACOX1|51	1638.3661
lowly_expressed	lowly_expressed	ACOX2|8309	106.0504
ACOX3|8310	704.8637	ACOX3|8310	444.4631
ACP1|52	2517.3176	ACP1|52	1121.7197
ACP2|53	1286.2933	ACP2|53	919.5343
ACP5|54	574.4289	ACP5|54	2109.7988
ACP6|51205	167.2808	ACP6|51205	285.8187
ACPL2|92370	564.8489	ACPL2|92370	383.2471
ACPP|55	19.8968	ACPP|55	32.3324
ACRBP|84519	24.6868	lowly_expressed	lowly_expressed
ACRC|93953	7.7377	ACRC|93953	39.23
ACR|49	8.1061	ACR|49	10.3464
lowly_expressed	lowly_expressed	ACSBG1|23205	7.3287
lowly_expressed	lowly_expressed	ACSBG2|81616	6.4665
ACSF2|80221	117.5387	ACSF2|80221	540.1671
ACSF3|197322	319.0862	ACSF3|197322	369.4519
ACSL1|2180	8055.6374	ACSL1|2180	2074.8798
ACSL3|2181	3687.5461	ACSL3|2181	3059.51
ACSL4|2182	2030.9506	ACSL4|2182	1848.5527
ACSL5|51703	836.0354	ACSL5|51703	1078.6098
ACSL6|23305	755.7111	ACSL6|23305	65.096
ACSM1|116285	58.2167	ACSM1|116285	83.2021
ACSM3|6296	14.4215	ACSM3|6296	98.2906
lowly_expressed	lowly_expressed	ACSM5|54988	30.608
ACSS1|84532	1445.4679	ACSS1|84532	1097.1471
ACSS2|55902	570.7443	ACSS2|55902	714.7622
ACSS3|79611	718.1282	ACSS3|79611	196.1501
ACTA1|58	96.168	lowly_expressed	lowly_expressed
ACTA2|59	2788.4046	ACTA2|59	10486.9975
ACTBL2|345651	5.1584	ACTBL2|345651	16.8129
ACTB|60	65401.2528	ACTB|60	93341.1362
lowly_expressed	lowly_expressed	ACTC1|70	5.1732
ACTG1|71	58500.3685	ACTG1|71	53694.2495
ACTG2|72	435.1511	ACTG2|72	1681.7174
ACTL6A|86	1166.1754	ACTL6A|86	773.8228
ACTN1|87	6138.5409	ACTN1|87	7507.1589
ACTN2|88	18.423	lowly_expressed	lowly_expressed
ACTN4|81	11619.9374	ACTN4|81	8860.6203
ACTR10|55860	704.8637	ACTR10|55860	880.3043
ACTR1A|10121	1589.9042	ACTR1A|10121	2167.9971
ACTR1B|10120	760.5011	ACTR1B|10120	1113.0978
ACTR2|10097	15141.1201	ACTR2|10097	8693.1124
ACTR3B|57180	60.7959	ACTR3B|57180	202.1855
ACTR3C|653857	60.7959	ACTR3C|653857	24.5726
ACTR3|10096	9395.3574	ACTR3|10096	5942.7005
ACTR5|79913	176.1238	ACTR5|79913	183.2171
ACTR6|64431	622.3287	ACTR6|64431	472.0535
ACTR8|93973	373.6183	ACTR8|93973	595.3478
ACVR1B|91	512.5276	ACVR1B|91	839.781
ACVR1C|130399	113.1172	ACVR1C|130399	165.1109
ACVR1|90	1248.7104	ACVR1|90	1002.7364
ACVR2A|92	315.4016	ACVR2A|92	588.8813
ACVR2B|93	280.0295	ACVR2B|93	483.6931
ACVRL1|94	249.4473	ACVRL1|94	747.9569
ACY1|95	186.8091	ACY1|95	376.3495
ACY3|91703	7.3692	ACY3|91703	27.5903
ACYP1|97	44.9521	ACYP1|97	51.3008
ACYP2|98	292.9256	ACYP2|98	134.934
ADAL|161823	137.4355	ADAL|161823	137.5206
ADAM10|102	3214.0752	ADAM10|102	2205.5028
lowly_expressed	lowly_expressed	ADAM11|4185	10.7775
ADAM12|8038	539.4252	ADAM12|8038	876.4244
ADAM15|8751	2184.86	ADAM15|8751	1699.9098
ADAM17|6868	3242.4466	ADAM17|6868	1082.4897
ADAM19|8728	724.7605	ADAM19|8728	1730.8627
ADAM22|53616	471.6286	ADAM22|53616	108.2059
ADAM23|8745	8.843	ADAM23|8745	96.5662
ADAM28|10863	382.8298	ADAM28|10863	468.1736
ADAM29|11086	14.7384	ADAM29|11086	6.0354
ADAM32|203102	13.2646	ADAM32|203102	28.4525
lowly_expressed	lowly_expressed	ADAM33|80332	370.6676
ADAM6|8755	75467.5534	ADAM6|8755	183924.1481
ADAM8|101	1561.1643	ADAM8|101	515.5945
ADAM9|8754	4139.2778	ADAM9|8754	2117.9897
ADAMDEC1|27299	1525.7922	ADAMDEC1|27299	870.8201
ADAMTS10|81794	60.4274	ADAMTS10|81794	198.3056
ADAMTS12|81792	80.6927	ADAMTS12|81792	91.393
ADAMTS13|11093	34.2668	ADAMTS13|11093	102.1705
