gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
lowly_expressed	lowly_expressed	COL6A4P2|646300	14.2263
COL6A6|131873	5.5269	COL6A6|131873	150.0225
COL7A1|1294	35.3721	COL7A1|1294	736.7483
COL8A1|1295	624.5394	COL8A1|1295	157.3512
COL8A2|1296	788.5041	COL8A2|1296	921.6898
COL9A1|1297	95.7996	COL9A1|1297	8.622
COL9A2|1298	2239.8674	COL9A2|1298	524.6475
COL9A3|1299	2035.0037	COL9A3|1299	117.2589
COLEC10|10584	13.2646	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	COLEC11|78989	7.7598
COLEC12|81035	132.6455	COLEC12|81035	435.8411
COLQ|8292	20.6338	COLQ|8292	43.541000000000004
COMMD10|51397	249.8158	COMMD10|51397	383.6782
COMMD1|150684	210.75900000000001	COMMD1|150684	200.4611
COMMD2|51122	1125.2763	COMMD2|51122	979.4571
COMMD3|23412	599.3073	COMMD3|23412	713.1154
COMMD4|54939	380.9875	COMMD4|54939	419.4594
COMMD5|28991	614.9189	COMMD5|28991	350.781
COMMD6|170622	612.3803	COMMD6|170622	1139.3948
COMMD7|149951	992.2623	COMMD7|149951	868.2335
COMMD8|54951	372.1444	COMMD8|54951	313.409
COMMD9|29099	393.8836	COMMD9|29099	621.6448
COMP|1311	1135.5932	COMP|1311	133.2096
COMTD1|118881	29.4768	COMTD1|118881	31.9013
COMT|1312	1496.6839	COMT|1312	1169.1406
COPA|1314	15395.5195	COPA|1314	5690.1454
COPB1|1315	7145.829000000001	COPB1|1315	3160.2665
COPB2|9276	7995.5785	COPB2|9276	3338.4311
COPE|11316	711.8644	COPE|11316	1222.5969
COPG2|26958	373.9867	COPG2|26958	506.1103
COPG|22820	6227.7082	COPG|22820	3278.0772
COPS2|9318	1854.8268	COPS2|9318	1654.5582
COPS3|8533	647.3839	COPS3|8533	903.1525
COPS4|51138	1736.9197	COPS4|51138	750.1124
COPS5|10987	1141.4886	COPS5|10987	850.5584
COPS6|10980	1285.1879	COPS6|10980	1024.7225
COPS7A|50813	968.6809	COPS7A|50813	964.7997
COPS7B|64708	654.0162	COPS7B|64708	722.9531
COPS8|10920	1157.2992	COPS8|10920	786.2255
COPZ1|22818	1999.2631	COPZ1|22818	2652.9836
COPZ2|51226	88.7988	COPZ2|51226	153.4713
COQ10A|93058	78.1135	COQ10A|93058	119.8455
COQ10B|80219	1096.5365	COQ10B|80219	582.4148
COQ2|27235	589.5357	COQ2|27235	197.0123
COQ3|51805	51.9528	COQ3|51805	99.5839
COQ4|51117	356.3007	COQ4|51117	482.8309
COQ5|84274	725.1289999999999	COQ5|84274	425.4948
COQ6|51004	205.1953	COQ6|51004	241.5448
COQ7|10229	455.4164	COQ7|10229	410.4063
COQ9|57017	1251.6581	COQ9|57017	621.2137
CORIN|10699	98.0103	CORIN|10699	20.2617
CORO1A|11151	1260.1326	CORO1A|11151	4629.1416
CORO1B|57175	1033.5298	CORO1B|57175	1133.3594
CORO1C|23603	4778.1872	CORO1C|23603	2550.382
CORO2A|7464	1170.9654	CORO2A|7464	707.0024
CORO2B|10391	33.1614	CORO2B|10391	242.7088
CORO6|84940	8.1061	CORO6|84940	11.6397
CORO7|79585	671.1422	CORO7|79585	769.6584
COTL1|23406	4247.605	COTL1|23406	4812.7898
COX10|1352	214.4436	COX10|1352	324.1865
COX11|1353	666.6765	COX11|1353	680.326
COX15|1355	767.9882	COX15|1355	1079.998
COX16|51241	451.3633	COX16|51241	585.4325
COX17|10063	483.7878	COX17|10063	275.4723
COX18|285521	735.8143	COX18|285521	456.965
COX19|90639	140.28	COX19|90639	272.57099999999997
COX4I1|1327	2753.5004	COX4I1|1327	2903.8832
COX4I2|84701	5.1584	COX4I2|84701	24.5726
COX4NB|10328	726.2343	COX4NB|10328	379.7983
COX5A|9377	1138.9094	COX5A|9377	950.1423
COX5B|1329	981.2085	COX5B|1329	742.3526
COX6A1|1337	1482.6824	COX6A1|1337	857.0249
COX6B1|1340	1273.3972	COX6B1|1340	1331.2339
COX6B2|125965	6.2638	COX6B2|125965	16.8129
COX6C|1345	1260.1326	COX6C|1345	1091.1117
COX7A1|1346	66.3228	COX7A1|1346	110.7925
COX7A2L|9167	1729.182	COX7A2L|9167	1190.2645
COX7A2|1347	1064.112	COX7A2|1347	689.7585
COX7B2|170712	20.6338	lowly_expressed	lowly_expressed
COX7B|1349	1208.1798	COX7B|1349	815.6394
COX7C|1350	1149.9632	COX7C|1350	1780.0079999999998
COX8A|1351	1197.126	COX8A|1351	819.5193
CP110|9738	971.2601	CP110|9738	751.8368
CPA3|1359	13.2646	CPA3|1359	281.0766
CPA4|51200	195.6522	CPA4|51200	65.096
lowly_expressed	lowly_expressed	CPA5|93979	9.3807
CPAMD8|27151	77.0081	CPAMD8|27151	493.6084
lowly_expressed	lowly_expressed	CPB1|1360	278.49
CPD|1362	10536.846000000001	CPD|1362	4006.2035
CPEB1|64506	21.0022	CPEB1|64506	42.6788
CPEB2|132864	708.1798	CPEB2|132864	735.455
CPEB3|22849	198.5999	CPEB3|22849	218.5672
CPEB4|80315	1337.5092	CPEB4|80315	1490.7405
CPE|1363	333.8246	CPE|1363	1847.6905
CPLX1|10815	8.4746	CPLX1|10815	51.7319
CPLX3|594855	16.9492	CPLX3|594855	8.1909
CPM|1368	247.605	CPM|1368	976.0083
CPNE1|8904	1466.8939	CPNE1|8904	1902.9531
CPNE2|221184	843.0361	CPNE2|221184	604.832
CPNE3|8895	2919.3073	CPNE3|8895	2936.6468
lowly_expressed	lowly_expressed	CPNE4|131034	6.8976
CPNE5|57699	94.3257	CPNE5|57699	631.5601
CPNE7|27132	11.7907	CPNE7|27132	31.4702
CPNE8|144402	667.6492	CPNE8|144402	362.5543
CPOX|1371	415.9912	CPOX|1371	405.6642
CPPED1|55313	838.9831	CPPED1|55313	603.9698
CPS1|1373	8.1061	CPS1|1373	130.623
CPSF1|29894	1562.2697	CPSF1|29894	1562.7341
CPSF2|53981	1616.8018	CPSF2|53981	1480.8253
CPSF3L|54973	701.916	CPSF3L|54973	1107.4935
CPSF3|51692	1692.336	CPSF3|51692	791.929
CPSF4|10898	324.9816	CPSF4|10898	397.0422
CPSF6|11052	2084.3773	CPSF6|11052	2233.0931
CPSF7|79869	2053.0582	CPSF7|79869	1956.7586
CPT1A|1374	1235.8143	CPT1A|1374	1808.8916
CPT1B|1375	92.9035	CPT1B|1375	429.1246
CPT1C|126129	10.3169	CPT1C|126129	60.3539
CPT2|1376	618.6441	CPT2|1376	591.4679
CPVL|54504	584.3773	CPVL|54504	869.5268
CPXM1|56265	115.3279	CPXM1|56265	800.1198
CPXM2|119587	3469.7863	CPXM2|119587	2305.9488
CPZ|8532	66.3228	CPZ|8532	481.9687
CP|1356	12723.4377	CP|1356	3521.9068
CR1L|1379	26.5291	lowly_expressed	lowly_expressed
CR1|1378	29.8452	CR1|1378	678.9810000000001
CR2|1380	44.9521	CR2|1380	1971.8471
CRABP1|1381	47.5313	CRABP1|1381	216.8428
CRABP2|1382	9393.5151	CRABP2|1382	4210.1134
CRADD|8738	206.3375	CRADD|8738	81.9088
CRAMP1L|57585	647.4318	CRAMP1L|57585	1092.4222
CRAT|1384	907.885	CRAT|1384	583.2769999999999
CRB1|23418	10.3169	CRB1|23418	6.4665
lowly_expressed	lowly_expressed	CRB2|286204	253.0551
CRB3|92359	67.4282	CRB3|92359	67.2515
CRBN|51185	236.2712	CRBN|51185	781.4964
CRCP|27297	904.2004	CRCP|27297	833.7456
CREB1|1385	1724.392	CREB1|1385	1901.5779
CREB3L1|90993	151.8055	CREB3L1|90993	259.0905
CREB3L2|64764	3774.1341	CREB3L2|64764	4376.9487
CREB3L4|148327	486.36699999999996	CREB3L4|148327	551.8068
CREB3|10488	856.5144	CREB3|10488	688.8963
CREB5|9586	105.0111	CREB5|9586	737.6105
CREBBP|1387	3175.0184	CREBBP|1387	3309.9785
CREBL2|1389	1569.2704	CREBL2|1389	2097.2969
CREBZF|58487	1400.8843	CREBZF|58487	1948.5677
CREG1|8804	3863.3014	CREG1|8804	2760.7583
CRELD1|78987	367.3545	CRELD1|78987	373.7629
CRELD2|79174	1474.9447	CRELD2|79174	572.9306
CREM|1390	367.3545	CREM|1390	304.3559
lowly_expressed	lowly_expressed	CRHBP|1393	14.6574
lowly_expressed	lowly_expressed	CRHR1|1394	26.7281
CRIM1|51232	7569.2704	CRIM1|51232	4998.1624
CRIP1|1396	251.6581	CRIP1|1396	1019.1182
CRIP2|1397	1031.6875	CRIP2|1397	1376.0682
lowly_expressed	lowly_expressed	CRIP3|401262	15.9507
CRIPAK|285464	201.5475	CRIPAK|285464	290.5608
CRIPT|9419	420.7811	CRIPT|9419	339.275
CRISPLD1|83690	1535.7406	CRISPLD1|83690	1042.3975
CRISPLD2|83716	1144.8047	CRISPLD2|83716	2077.4663
CRKL|1399	2956.1533	CRKL|1399	2366.7338
CRK|1398	767.8703	CRK|1398	867.8024
CRLF1|9244	9.2115	CRLF1|9244	24.1415
CRLF3|51379	1107.5903	CRLF3|51379	864.3536
CRLS1|54675	594.6942	CRLS1|54675	672.0834
CRMP1|1400	153.6662	CRMP1|1400	174.3882
CRNKL1|51340	1017.3176	CRNKL1|51340	941.9514
CROCCL1|84809	183.3567	CROCCL1|84809	394.3996
CROCCL2|114819	75.5343	CROCCL2|114819	93.5485
CROCC|9696	269.7126	CROCC|9696	330.653
CROT|54677	469.4178	CROT|54677	431.0991
lowly_expressed	lowly_expressed	CRTAC1|55118	32.3324
CRTAM|56253	39.7937	CRTAM|56253	145.7115
CRTAP|10491	1901.9897	CRTAP|10491	3580.7087
CRTC1|23373	91.37799999999999	CRTC1|23373	382.3849
CRTC2|200186	1013.633	lowly_expressed	lowly_expressed
CRTC3|64784	1204.4952	CRTC3|64784	1317.4387
CRY1|1407	399.4105	CRY1|1407	611.7296
CRY2|1408	886.5144	CRY2|1408	929.4496
CRYAB|1410	3546.0575	CRYAB|1410	2183.9478
lowly_expressed	lowly_expressed	CRYBB1|1414	5.6043
CRYBG3|131544	393.6256	CRYBG3|131544	832.1591
CRYGS|1427	5.8954	CRYGS|1427	22.8482
CRYL1|51084	188.6514	CRYL1|51084	375.0562
lowly_expressed	lowly_expressed	CRYM|1428	7.7598
CRYZL1|9946	154.7642	CRYZL1|9946	296.0357
CRYZ|1429	674.9595	CRYZ|1429	546.9569
CSAD|51380	81.7981	CSAD|51380	538.4427
CSAG1|158511	343.4046	lowly_expressed	lowly_expressed
CSAG2|728461	120.3353	lowly_expressed	lowly_expressed
CSAG3|389903	488.3604	lowly_expressed	lowly_expressed
CSDAP1|440359	54.1636	CSDAP1|440359	41.8166
CSDA|8531	2632.6455	CSDA|8531	2796.1085
lowly_expressed	lowly_expressed	CSDC2|27254	18.1062
CSDE1|7812	18242.4466	CSDE1|7812	16785.7039
CSE1L|1434	2865.8806	CSE1L|1434	2048.1516
CSF1R|1436	1871.776	CSF1R|1436	1534.7126
CSF1|1435	1855.5637	CSF1|1435	1318.3009
CSF2RA|1438	206.706	CSF2RA|1438	308.6669
CSF2RB|1439	1005.8954	CSF2RB|1439	1557.5609
CSF3R|1441	171.3338	CSF3R|1441	216.8428
CSGALNACT1|55790	366.986	CSGALNACT1|55790	612.5918
CSGALNACT2|55454	829.4031	CSGALNACT2|55454	856.5938
CSK|1445	1665.4385	CSK|1445	2330.5215
CSMD1|64478	235.8143	CSMD1|64478	117.2589
CSMD2|114784	11.0538	CSMD2|114784	21.555
lowly_expressed	lowly_expressed	CSN1S1|1446	60.3539
lowly_expressed	lowly_expressed	CSN3|1448	202.6166
CSNK1A1|1452	3621.2233	CSNK1A1|1452	5152.4959
CSNK1D|1453	3305.4532	CSNK1D|1453	2913.3674
CSNK1E|1454	1024.0862	CSNK1E|1454	1932.1342
CSNK1G1|53944	910.0958	CSNK1G1|53944	852.2828
CSNK1G2|1455	1064.4805	CSNK1G2|1455	1052.7439
CSNK1G3|1456	575.9027	CSNK1G3|1456	925.5697
CSNK2A1P|283106	842.2992	CSNK2A1P|283106	484.9864
CSNK2A1|1457	1980.4716	CSNK2A1|1457	1312.6966
CSNK2A2|1459	717.7598	CSNK2A2|1459	588.0191
CSNK2B|1460	1977.5534	CSNK2B|1460	1744.7355
CSPG4|1464	544.2152	CSPG4|1464	1131.635
CSPG5|10675	11.7907	CSPG5|10675	14.2263
CSPP1|79848	269.2594	CSPP1|79848	336.1452
CSRNP1|64651	505.8954	CSRNP1|64651	2932.3358
CSRNP2|81566	567.0597	CSRNP2|81566	956.6088
CSRNP3|80034	21.0022	CSRNP3|80034	43.9721
CSRP1|1465	3768.6072	CSRP1|1465	7672.2699
CSRP2BP|57325	616.4333	CSRP2BP|57325	650.5285
CSRP2|1466	495.5785	CSRP2|1466	301.7693
CST1|1469	155.8585	CST1|1469	50.8697
CST3|1471	2105.3795	CST3|1471	3531.9946
CST6|1474	14.3699	CST6|1474	14.2263
CST7|8530	73.3235	CST7|8530	239.6911
CSTA|1475	56.7428	CSTA|1475	152.178
CSTB|1476	2465.7332	CSTB|1476	2270.5987
CSTF1|1477	604.2741	CSTF1|1477	607.4186
CSTF2T|23283	624.1709999999999	CSTF2T|23283	1219.1481
CSTF2|1478	417.8335	CSTF2|1478	285.8187
CSTF3|1479	989.2741	CSTF3|1479	672.0834
CS|1431	1924.8342	CS|1431	3332.3957
CT45A1|541466	13.2646	lowly_expressed	lowly_expressed
CT47A6|728062	12.5276	lowly_expressed	lowly_expressed
CT47A7|653282	16.9492	lowly_expressed	lowly_expressed
CT47B1|643311	9.9484	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CT62|196993	8.622
CTAGE4|100128553	70.3758	CTAGE4|100128553	71.5624
CTAGE5|4253	1079.6794	CTAGE5|4253	802.4176
CTAGE6|340307	9.2115	CTAGE6|340307	6.8976
CTAGE9|643854	301.7686	CTAGE9|643854	276.7656
CTBP1|1487	2101.9639	CTBP1|1487	2179.3135
CTBP2|1488	988.5777	CTBP2|1488	1764.0573
CTBS|1486	828.2756	CTBS|1486	465.1257
CTCFL|140690	10.9285	CTCFL|140690	13.1227
CTCF|10664	2239.1304	CTCF|10664	1824.4112
CTDP1|9150	341.9307	CTDP1|9150	528.5274
CTDSP1|58190	1669.1231	CTDSP1|58190	2439.5896
CTDSP2|10106	2142.594	CTDSP2|10106	7039.8476
CTDSPL2|51496	833.4562	CTDSPL2|51496	910.9123
CTDSPL|10217	467.944	CTDSPL|10217	1079.0409
CTF1|1489	166.5438	CTF1|1489	130.1919
CTGF|1490	2971.6286	CTGF|1490	7721.4152
CTHRC1|115908	2401.6212	CTHRC1|115908	468.6047
CTH|1491	61.5328	CTH|1491	53.0252
CTLA4|1493	146.2786	CTLA4|1493	379.7983
CTNNA1|1495	7493.7362	CTNNA1|1495	7633.471
CTNNAL1|8727	463.154	CTNNAL1|8727	852.2828
CTNNB1|1499	8023.8799	CTNNB1|1499	12134.9168
CTNNBIP1|56998	1578.1135	CTNNBIP1|56998	766.4941
CTNNBL1|56259	735.4458	CTNNBL1|56259	813.4839
CTNND1|1500	13637.0671	CTNND1|1500	8095.6091
CTNND2|1501	22.8445	CTNND2|1501	81.9088
CTNS|1497	240.899	CTNS|1497	349.7636
CTPS2|56474	663.5962	CTPS2|56474	589.7435
CTPS|1503	1276.3449	CTPS|1503	632.8534
CTR9|9646	1773.3972	CTR9|9646	1639.9008
CTRL|1506	22.4761	CTRL|1506	13.3641
CTSA|5476	2238.7362	CTSA|5476	2175.8906
CTSB|1508	16063.3751	CTSB|1508	16006.7079
CTSC|1075	12936.9934	CTSC|1075	3948.4362
CTSD|1509	23673.912999999997	CTSD|1509	16940.4685
CTSE|1510	74.7973	CTSE|1510	5.1732
CTSF|8722	351.1422	CTSF|8722	1079.0409
lowly_expressed	lowly_expressed	CTSG|1511	130.623
CTSH|1512	2404.9374	CTSH|1512	2681.8672
CTSK|1513	1288.1356	CTSK|1513	3399.6471
CTSL1|1514	4219.2336	CTSL1|1514	1782.5946
CTSL2|1515	160.6485	CTSL2|1515	212.1007
CTSO|1519	2507.0007	CTSO|1519	1499.3625
CTSS|1520	12054.9005	CTSS|1520	5322.78
CTSW|1521	92.8519	CTSW|1521	55.1807
CTSZ|1522	3734.3405	CTSZ|1522	5565.4888
CTTNBP2NL|55917	1564.4805	CTTNBP2NL|55917	1241.9964
CTTNBP2|83992	9.58	CTTNBP2|83992	137.9517
CTTN|2017	5964.6279	CTTN|2017	3077.6162
CTU1|90353	18.0545	CTU1|90353	22.4172
CTU2|348180	263.5335	CTU2|348180	173.4182
CTXN1|404217	14.3699	CTXN1|404217	69.83800000000001
CTXN2|399697	8.843	lowly_expressed	lowly_expressed
CUBN|8029	49.7421	CUBN|8029	156.0579
CUEDC1|404093	828.6662	CUEDC1|404093	270.7302
CUEDC2|79004	458.7325	CUEDC2|79004	572.4995
CUL1|8454	1248.0545	CUL1|8454	1651.1094
CUL2|8453	1122.3287	CUL2|8453	832.0212
CUL3|8452	2368.0914	CUL3|8452	2002.024
CUL4A|8451	2169.4915	CUL4A|8451	1817.5136
CUL4B|8450	4537.9514	CUL4B|8450	2237.8352
CUL5|8065	1948.4156	CUL5|8065	1356.2376
CUL7|9820	2102.395	lowly_expressed	lowly_expressed
CUL9|23113	485.9985	CUL9|23113	942.3825
CUTA|51596	1231.0243	CUTA|51596	1426.9379
CUTC|51076	143.6993	CUTC|51076	301.0839
CUX1|1523	1476.0501	CUX1|1523	779.4271
CUX2|23316	5.8954	CUX2|23316	15.0885
CUZD1|50624	15.2579	CUZD1|50624	36.9581
CWC15|51503	625.6448	CWC15|51503	668.2035
CWC22|57703	992.2623	CWC22|57703	945.8313
CWC25|54883	564.8489	CWC25|54883	505.6792
CWC27|10283	285.5564	CWC27|10283	405.2331
CWF19L1|55280	245.3943	CWF19L1|55280	496.6261
CWF19L2|143884	504.79	CWF19L2|143884	499.6438
CX3CL1|6376	6150.7001	CX3CL1|6376	8359.4418
CX3CR1|1524	58.9536	CX3CR1|1524	256.0728
lowly_expressed	lowly_expressed	CXADRP3|440224	5.6043
CXADR|1525	1035.7406	CXADR|1525	739.7660000000001
CXCL10|3627	24033.8983	CXCL10|3627	627.6802
CXCL11|6373	10574.0604	CXCL11|6373	168.1286
CXCL12|6387	690.8622	CXCL12|6387	7300.6625
CXCL13|10563	2298.084	CXCL13|10563	3287.9925
CXCL14|9547	471.6286	CXCL14|9547	5189.1393
CXCL16|58191	2930.3611	CXCL16|58191	2092.5548
CXCL17|284340	76.2712	CXCL17|284340	142.6938
CXCL1|2919	191.9676	CXCL1|2919	326.342
CXCL2|2920	56.7428	CXCL2|2920	1857.1747
CXCL3|2921	5.1584	CXCL3|2921	139.245
CXCL5|6374	1225.8659	CXCL5|6374	150.4536
lowly_expressed	lowly_expressed	CXCL6|6372	69.83800000000001
CXCL9|4283	8272.6603	CXCL9|4283	4369.62
CXCR2P1|3580	553.4267	CXCR2P1|3580	40.0922
CXCR2|3579	15.8438	CXCR2|3579	21.9861
CXCR3|2833	132.2771	CXCR3|2833	259.0905
CXCR4|7852	2734.7089	CXCR4|7852	8760.3639
CXCR5|643	43.1098	CXCR5|643	369.88300000000004
CXCR6|10663	226.9713	CXCR6|10663	369.4519
CXCR7|57007	171.7023	CXCR7|57007	1157.0699
CXXC1|30827	322.4024	CXXC1|30827	781.5826
CXXC4|80319	60.059	CXXC4|80319	21.9861
CXXC5|51523	350.7738	CXXC5|51523	421.6149
CXorf21|80231	173.91299999999998	CXorf21|80231	169.85299999999998
CXorf22|170063	7.7377	lowly_expressed	lowly_expressed
CXorf23|256643	292.5571	CXorf23|256643	272.8857
CXorf26|51260	456.1533	CXorf26|51260	470.3291
CXorf30|645090	12.8961	lowly_expressed	lowly_expressed
CXorf36|79742	161.3854	CXorf36|79742	844.9541
CXorf38|159013	519.5284	CXorf38|159013	322.8932
CXorf40A|91966	271.5549	CXorf40A|91966	332.8085
CXorf40B|541578	338.9831	CXorf40B|541578	403.0776
CXorf42|158801	12.5276	CXorf42|158801	24.1415
CXorf49B|100132994	131.9086	CXorf49B|100132994	8.1909
lowly_expressed	lowly_expressed	CXorf50B|653687	11.2086
CXorf56|63932	345.9838	CXorf56|63932	254.3484
CXorf57|55086	10.3169	CXorf57|55086	115.9656
CXorf59|286464	5.8954	lowly_expressed	lowly_expressed
CXorf61|203413	74.4289	CXorf61|203413	8.622
lowly_expressed	lowly_expressed	CXorf65|158830	9.4842
CYB561D1|284613	101.3265	CYB561D1|284613	562.5843
CYB561D2|11068	132.7119	CYB561D2|11068	244.1573
CYB561|1534	4986.7354	CYB561|1534	1861.0546
CYB5A|1528	200.4422	CYB5A|1528	642.3376
CYB5B|80777	2536.4775	CYB5B|80777	1181.6425
CYB5D1|124637	204.1268	CYB5D1|124637	519.4744
CYB5D2|124936	141.4886	CYB5D2|124936	444.032
CYB5R1|51706	1518.0545	CYB5R1|51706	889.3573
CYB5R2|51700	213.3382	CYB5R2|51700	228.0514
CYB5R3|1727	4475.3132	CYB5R3|1727	3405.6825
CYB5R4|51167	281.8718	CYB5R4|51167	449.6363
CYB5RL|606495	114.2225	CYB5RL|606495	99.1528
CYBASC3|220002	1194.1783	CYBASC3|220002	1974.8648
CYBA|1535	648.4893	CYBA|1535	1548.0767
CYBB|1536	3172.0707	CYBB|1536	3504.8353
CYBRD1|79901	1095.7996	CYBRD1|79901	7095.0282
CYC1|1537	1959.4694	CYC1|1537	865.2158
CYCS|54205	2331.2454	CYCS|54205	1676.5442
CYFIP1|23191	2801.4001	CYFIP1|23191	3450.0857
CYFIP2|26999	407.5166	CYFIP2|26999	2077.8974
CYGB|114757	51.5844	CYGB|114757	286.2498
CYHR1|50626	821.6654	CYHR1|50626	489.7285
CYLD|1540	3751.6581	CYLD|1540	3030.1953
lowly_expressed	lowly_expressed	CYP11A1|1583	38.3678
lowly_expressed	lowly_expressed	CYP19A1|1588	15.0885
CYP1B1|1545	12425.5711	CYP1B1|1545	1987.7977
CYP20A1|57404	509.2115	CYP20A1|57404	780.7204
CYP21A2|1589	32.8335	CYP21A2|1589	256.2625
lowly_expressed	lowly_expressed	CYP24A1|1591	49.5764
CYP26A1|1592	5.1584	CYP26A1|1592	5.6043
CYP26B1|56603	29.4768	CYP26B1|56603	187.097
CYP27A1|1593	1782.6087	CYP27A1|1593	1785.1812
CYP27B1|1594	91.37799999999999	CYP27B1|1594	52.163000000000004
CYP27C1|339761	299.1894	CYP27C1|339761	62.5094
lowly_expressed	lowly_expressed	CYP2B7P1|1556	17.6751
CYP2C18|1562	11.0538	lowly_expressed	lowly_expressed
CYP2C8|1558	9.2115	CYP2C8|1558	17.244
CYP2D6|1565	9.9484	CYP2D6|1565	16.8129
CYP2D7P1|1564	12.8961	CYP2D7P1|1564	15.9507
lowly_expressed	lowly_expressed	CYP2E1|1571	31.4832
CYP2J2|1573	638.5409	CYP2J2|1573	111.6547
CYP2R1|120227	274.5026	CYP2R1|120227	295.73400000000004
CYP2S1|29785	64.4805	CYP2S1|29785	91.39299999999999
CYP2U1|113612	181.2822	CYP2U1|113612	392.7312
CYP39A1|51302	1028.0029	CYP39A1|51302	124.1565
lowly_expressed	lowly_expressed	CYP3A5|1577	9.0531
lowly_expressed	lowly_expressed	CYP46A1|10858	22.4172
CYP4B1|1580	50.479	CYP4B1|1580	220.7227
lowly_expressed	lowly_expressed	CYP4F12|66002	29.7458
lowly_expressed	lowly_expressed	CYP4F22|126410	181.9238
CYP4V2|285440	830.5085	CYP4V2|285440	724.2464
CYP4X1|260293	191.5991	CYP4X1|260293	346.1725
CYP4Z1|199974	5.1584	CYP4Z1|199974	108.2059
CYP4Z2P|163720	8.1061	CYP4Z2P|163720	29.3147
CYP51A1|1595	2263.8172	CYP51A1|1595	1001.4431
CYP7B1|9420	893.5151	CYP7B1|9420	328.9286
CYP8B1|1582	5.8954	CYP8B1|1582	12.933
CYR61|3491	1993.7362	CYR61|3491	8431.0042
CYS1|192668	37.5829	CYS1|192668	54.7496
CYSLTR1|10800	54.5321	CYSLTR1|10800	144.4182
CYSLTR2|57105	29.1083	CYSLTR2|57105	43.1099
CYTH1|9267	1438.8357	CYTH1|9267	1898.9913
CYTH2|9266	553.0582	CYTH2|9266	1233.3744
CYTH3|9265	281.1349	CYTH3|9265	1058.7793
CYTH4|27128	569.2704	CYTH4|27128	928.1563
CYTIP|9595	449.52099999999996	CYTIP|9595	1724.3962
lowly_expressed	lowly_expressed	CYTL1|54360	54.7496
CYTSA|23384	2031.3191	CYTSA|23384	1846.3973
CYTSB|92521	386.5144	CYTSB|92521	374.194
CYYR1|116159	1350.4053	CYYR1|116159	1210.095
D2HGDH|728294	337.8777	D2HGDH|728294	315.9956
lowly_expressed	lowly_expressed	D4S234E|27065	317.2889
DAAM1|23002	642.9624	DAAM1|23002	813.0528
DAAM2|23500	66.6765	DAAM2|23500	613.8635
DAB2IP|153090	2626.0133	DAB2IP|153090	1752.4177
DAB2|1601	1724.392	DAB2|1601	2860.7733
DACH1|1602	75.9027	DACH1|1602	421.1838
DACT1|51339	123.434	DACT1|51339	147.0048
lowly_expressed	lowly_expressed	DACT2|168002	37.9367
DACT3|147906	47.8998	DACT3|147906	88.3753
DAD1|1603	1003.6846	DAD1|1603	1468.7545
DAG1|1605	5665.07	DAG1|1605	3250.4869
DAGLA|747	429.2557	DAGLA|747	225.0337
DAGLB|221955	188.6514	DAGLB|221955	340.5683
DAK|26007	634.4878	DAK|26007	549.2202
DALRD3|55152	218.9757	DALRD3|55152	486.54699999999997
DAP3|7818	4187.5461	DAP3|7818	2185.2411
DAPK1|1612	2052.6898	DAPK1|1612	1351.4955
DAPK2|23604	248.7104	DAPK2|23604	404.80199999999996
DAPK3|1613	466.1017	DAPK3|1613	450.4985
lowly_expressed	lowly_expressed	DAPL1|92196	11.2086
DAPP1|27071	4346.7207	DAPP1|27071	931.6051
DAP|1611	6051.5844	DAP|1611	2438.2963
DARC|2532	100.958	DARC|2532	1571.7872
DARS2|55157	773.7657	DARS2|55157	509.5591
DARS|1615	2906.7797	DARS|1615	2441.3139
DAXX|1616	1571.8497	DAXX|1616	1486.4295
DAZAP1|26528	1313.9278	DAZAP1|26528	1420.4714
DAZAP2|9802	3068.902	DAZAP2|9802	6435.8778
lowly_expressed	lowly_expressed	DAZL|1618	31.4702
lowly_expressed	lowly_expressed	DBC1|1620	425.4948
DBF4B|80174	133.3825	DBF4B|80174	155.6268
DBF4|10926	288.5041	DBF4|10926	275.9034
lowly_expressed	lowly_expressed	DBH|1621	12.933
DBI|1622	2652.5424	DBI|1622	2044.7028
DBN1|1627	394.9889	DBN1|1627	1572.6494
DBNDD1|79007	996.6839	DBNDD1|79007	237.1045
DBNDD2|55861	212.3397	DBNDD2|55861	568.4989
DBNL|28988	1837.1408	DBNL|28988	2154.6331
DBP|1628	115.6264	DBP|1628	141.3746
DBR1|51163	424.0973	DBR1|51163	371.1763
DBT|1629	852.9845	DBT|1629	687.6030000000001
lowly_expressed	lowly_expressed	DBX2|440097	10.3464
DCAF10|79269	821.6654	DCAF10|79269	996.701
DCAF11|80344	1096.5181	DCAF11|80344	1681.2475
lowly_expressed	lowly_expressed	DCAF12L2|340578	5.6043
DCAF12|25853	1097.6419	DCAF12|25853	1589.4622
DCAF13|25879	1057.6824	DCAF13|25879	788.1353
DCAF15|90379	190.4937	DCAF15|90379	417.3039
DCAF16|54876	988.2093	DCAF16|54876	1224.7524
DCAF17|80067	722.1813	DCAF17|80067	635.0089
DCAF4L1|285429	13.633	DCAF4L1|285429	11.2086
DCAF4|26094	223.6551	DCAF4|26094	332.3774
DCAF5|8816	1378.7767	DCAF5|8816	1781.7324
