gene_id	TCGA-BH-A1FD-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FD-11B-21R-A13Q-07
BIRC5|332	630.0725	lowly_expressed	lowly_expressed
BIRC6|57448	4335.8469	BIRC6|57448	2303.6936
BIVM|54841	144.1415	BIVM|54841	649.1108
BLCAP|10904	1596.5777	BLCAP|10904	3686.0465
BLMH|642	277.2622	BLMH|642	616.6211
BLM|641	224.1879	BLM|641	31.1218
BLNK|29760	474.76800000000003	BLNK|29760	179.8906
BLOC1S1|2647	524.069	BLOC1S1|2647	702.2982
BLOC1S2|282991	1046.6937	BLOC1S2|282991	644.3228
BLOC1S3|388552	523.2019	BLOC1S3|388552	257.1819
BLVRA|644	2418.5035	BLVRA|644	853.9672
BLVRB|645	555.3944	BLVRB|645	873.461
BLZF1|8548	1172.5638	BLZF1|8548	750.0
BMF|90427	153.1323	BMF|90427	340.2873
BMI1|648	2436.5777	BMI1|648	1852.8659
BMP1|649	488.3991	BMP1|649	361.1491
BMP2K|55589	332.0766	BMP2K|55589	759.5759
BMP2|650	10.7309	BMP2|650	265.3899
lowly_expressed	lowly_expressed	BMP3|651	14.0219
BMP4|652	66.7053	BMP4|652	303.3516
BMP5|653	17.4014	BMP5|653	40.3557
BMP6|654	10.7512	BMP6|654	359.2271
BMP7|655	1474.7679999999998	BMP7|655	40.6977
BMP8A|353500	146.1717	BMP8A|353500	23.2558
BMP8B|656	135.7309	BMP8B|656	22.9138
BMPER|168667	10.4408	BMPER|168667	309.5075
BMPR1A|657	436.1949	BMPR1A|657	1002.052
BMPR1B|658	123.2599	BMPR1B|658	788.6457
BMPR2|659	1867.7494	BMPR2|659	3922.0246
BMS1P4|729096	45.6032	BMS1P4|729096	12.6368
BMS1P5|399761	66.4153	BMS1P5|399761	80.7114
BMS1|9790	2076.2761	BMS1|9790	1174.7606
lowly_expressed	lowly_expressed	BMX|660	219.2202
lowly_expressed	lowly_expressed	BNC1|646	59.1655
BNC2|54796	220.4176	BNC2|54796	351.2312
BNIP1|662	388.051	BNIP1|662	202.1204
BNIP2|663	1653.4223	BNIP2|663	1446.9904
BNIP3L|665	1534.8028	BNIP3L|665	7728.1122
BNIP3|664	1049.0139	BNIP3|664	1559.8495
BNIPL|149428	256.9606	BNIPL|149428	449.7264
BOC|91653	162.123	BOC|91653	1221.2722
BOD1L|259282	1960.2668	BOD1L|259282	1835.8413
BOD1|91272	1136.891	BOD1|91272	1008.8919
BOK|666	690.5452	BOK|666	2353.2832
BOLA1|51027	114.5592	BOLA1|51027	172.3666
BOLA2|552900	717.7146	BOLA2|552900	360.106
BOLA3|388962	320.7657	BOLA3|388962	204.5144
BOP1|23246	164.1531	BOP1|23246	92.6813
BPGM|669	580.9165	BPGM|669	504.10400000000004
BPHL|670	390.6613	BPHL|670	569.7674
BPIL1|80341	42.9234	BPIL1|80341	88.9193
BPNT1|10380	712.297	BPNT1|10380	659.7127
BPTF|2186	1997.9698	BPTF|2186	2190.8345
BRAF|673	276.1021	BRAF|673	135.0889
BRAP|8315	1272.6218	BRAP|8315	750.0
BRCA1|672	332.3666	BRCA1|672	161.2415
BRCA2|675	331.2065	BRCA2|675	37.6197
BRCC3|79184	644.1415	BRCC3|79184	499.316
BRD1|23774	594.5476	BRD1|23774	828.3174
BRD2|6046	10134.5708	BRD2|6046	4465.1163
BRD3|8019	530.6497	BRD3|8019	1037.9754
BRD4|23476	2332.3666	BRD4|23476	1227.0862
BRD7|29117	945.4756	BRD7|29117	1173.0506
BRD8|10902	1331.4965	BRD8|10902	1090.6293
BRD9|65980	802.4942	BRD9|65980	597.8112
BRDT|676	17.9814	BRDT|676	20.1778
BRE|9577	450.6961	BRE|9577	741.1081
BRF1|2972	320.4756	BRF1|2972	265.0479
BRF2|55290	1862.239	BRF2|55290	322.5034
BRI3BP|140707	303.0742	BRI3BP|140707	32.1477
BRI3|25798	1078.3063	BRI3|25798	1753.7620000000002
BRIP1|83990	129.3503	BRIP1|83990	18.1259
BRIX1|55299	1178.9443	BRIX1|55299	577.2914
BRMS1L|84312	195.1856	BRMS1L|84312	229.1382
BRMS1|25855	1037.993	BRMS1|25855	380.985
BRP44L|51660	530.4524	BRP44L|51660	1026.3338
BRP44|25874	866.2993	BRP44|25874	751.368
BRPF1|7862	892.9814	BRPF1|7862	435.0205
BRPF3|27154	1200.116	BRPF3|27154	1113.2011
BRSK1|84446	164.7332	BRSK1|84446	26.6758
BRSK2|9024	56.2645	lowly_expressed	lowly_expressed
BRWD1|54014	2653.1323	BRWD1|54014	1895.3488
BRWD3|254065	347.4478	BRWD3|254065	131.6689
BSCL2|26580	2636.8909999999996	BSCL2|26580	1123.7483
BSDC1|55108	3033.3527	BSDC1|55108	2388.5089
BSG|682	13996.2297	BSG|682	5923.0506
BSN|8927	36.2529	BSN|8927	40.3557
BSPRY|54836	371.8097	BSPRY|54836	581.7373
BST1|683	86.4269	BST1|683	300.9576
BST2|684	7018.8515	BST2|684	999.316
BTAF1|9044	1697.7958	BTAF1|9044	1286.5937
BTBD10|84280	500.8701	BTBD10|84280	583.1053
BTBD11|121551	61.4849	BTBD11|121551	165.8687
BTBD12|84464	156.9026	BTBD12|84464	143.9808
BTBD19|149478	13.3411	BTBD19|149478	16.7579
BTBD1|53339	1685.9049	BTBD1|53339	2028.0438
BTBD2|55643	1438.8051	BTBD2|55643	1298.9056
BTBD3|22903	513.6311	BTBD3|22903	923.3926
BTBD6|90135	649.942	BTBD6|90135	1508.5499
BTBD7|55727	453.8863	BTBD7|55727	1306.4295
BTBD8|284697	11.890999999999998	BTBD8|284697	13.3379
BTBD9|114781	428.6543	BTBD9|114781	465.4583
BTC|685	9.8608	BTC|685	29.7538
BTD|686	305.9745	BTD|686	987.6881
BTF3L4|91408	1890.9513	BTF3L4|91408	1153.8988
BTF3|689	8066.4153	BTF3|689	11309.5075
BTG1|694	2323.6659	BTG1|694	6128.590999999999
BTG2|7832	2241.0093	BTG2|7832	19147.7428
BTG3|10950	87.87700000000001	BTG3|10950	528.0438
BTK|695	169.0835	BTK|695	137.4829
lowly_expressed	lowly_expressed	BTLA|151888	11.9699
BTN2A1|11120	664.7332	BTN2A1|11120	604.9932
BTN2A2|10385	286.5429	BTN2A2|10385	242.1341
BTN2A3|54718	29.2923	BTN2A3|54718	18.8098
BTN3A1|11119	635.7309	BTN3A1|11119	855.3352
BTN3A2|11118	848.6079	BTN3A2|11118	1138.1669
BTN3A3|10384	479.9884	BTN3A3|10384	544.4596
BTNL9|153579	12.470999999999998	BTNL9|153579	1759.2339
BTRC|8945	604.6984	BTRC|8945	934.3365
BUB1B|701	660.8266	BUB1B|701	14.0219
BUB1|699	770.3016	BUB1|699	10.6019
BUB3|9184	5382.8306	BUB3|9184	1733.9261
BUD13|84811	275.8121	BUD13|84811	423.3926
BUD31|8896	2539.1879	BUD31|8896	847.9207
BVES|11149	40.6032	BVES|11149	106.0192
BYSL|705	633.9907	BYSL|705	238.3721
BZRAP1|9256	117.1694	BZRAP1|9256	293.7756
BZW1|9689	8683.2947	BZW1|9689	4925.4446
BZW2|28969	4132.8306	BZW2|28969	1350.2052
lowly_expressed	lowly_expressed	C10orf105|414152	18.1259
lowly_expressed	lowly_expressed	C10orf107|219621	23.2558
lowly_expressed	lowly_expressed	C10orf108|414235	19.8358
C10orf10|11067	1120.9397	C10orf10|11067	13764.0219
C10orf110|55853	9.7535	C10orf110|55853	19.0869
C10orf114|399726	10.7309	C10orf114|399726	18.1259
C10orf116|10974	1732.7001	C10orf116|10974	7221.2893
C10orf118|55088	1843.9675	C10orf118|55088	638.5089
C10orf119|79892	2148.2019	C10orf119|79892	1664.8427
C10orf11|83938	29.0023	C10orf11|83938	77.6334
C10orf125|282969	13.050999999999998	C10orf125|282969	44.4596
C10orf128|170371	7.5406	C10orf128|170371	97.1272
C10orf12|26148	395.9484	C10orf12|26148	70.0445
C10orf137|26098	1007.5406	C10orf137|26098	418.2627
C10orf140|387640	18.5615	C10orf140|387640	27.0178
C10orf18|54906	8489.2691	C10orf18|54906	1328.6594
C10orf25|220979	82.9466	C10orf25|220979	65.6703
C10orf26|54838	1752.0302	C10orf26|54838	2577.9754
C10orf28|27291	285.0928	C10orf28|27291	318.3995
C10orf2|56652	942.5754	C10orf2|56652	195.9644
C10orf32|119032	789.4432	C10orf32|119032	1094.3912
C10orf35|219738	247.9698	C10orf35|219738	103.2832
C10orf41|100131213	12.470999999999998	C10orf41|100131213	23.9398
C10orf46|143384	2167.6334	C10orf46|143384	1954.5144
C10orf47|254427	254.0603	C10orf47|254427	132.3529
C10orf4|118924	294.0835	C10orf4|118924	485.6361
C10orf54|64115	250.29	C10orf54|64115	1574.8974
C10orf55|414236	9.1618	C10orf55|414236	8.8953
C10orf57|80195	940.2059	C10orf57|80195	1402.4145
C10orf58|84293	967.2274	C10orf58|84293	8671.3406
C10orf67|256815	9.8608	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C10orf68|79741	19.699
C10orf72|196740	188.8051	C10orf72|196740	1094.7332
C10orf75|90271	103.2483	C10orf75|90271	100.5472
C10orf76|79591	503.1903	C10orf76|79591	696.6484
C10orf78|119392	73.9559	C10orf78|119392	179.2066
C10orf79|80217	54.5244	C10orf79|80217	43.7756
C10orf81|79949	1035.6729	C10orf81|79949	1096.4432
lowly_expressed	lowly_expressed	C10orf82|143379	35.9097
C10orf84|63877	1175.464	C10orf84|63877	1044.1176
C10orf88|80007	175.174	C10orf88|80007	219.5622
lowly_expressed	lowly_expressed	C10orf90|118611	65.6635
C10orf93|255352	20.8817	C10orf93|255352	5.814
C10orf95|79946	15.4002	lowly_expressed	lowly_expressed
C11orf10|746	1100.6381	C11orf10|746	869.015
C11orf17|56672	197.7958	C11orf17|56672	212.3803
C11orf1|64776	162.3492	C11orf1|64776	366.9323
lowly_expressed	lowly_expressed	C11orf21|29125	5.472
C11orf24|53838	1236.3689	C11orf24|53838	695.6224
C11orf2|738	1205.0464	C11orf2|738	1388.5089
C11orf30|56946	991.2993	C11orf30|56946	493.1601
C11orf31|280636	938.5151	C11orf31|280636	568.7415
C11orf35|256329	23.6804	C11orf35|256329	8.0711
C11orf41|25758	237.239	C11orf41|25758	82.0793
C11orf45|219833	20.3016	C11orf45|219833	34.8837
C11orf46|120534	678.3643	C11orf46|120534	862.1751
C11orf48|79081	940.9716	C11orf48|79081	336.7339
C11orf49|79096	575.406	C11orf49|79096	319.4254
C11orf51|25906	684.1589	C11orf51|25906	293.1532
C11orf52|91894	168.2164	C11orf52|91894	278.0438
C11orf53|341032	8.7007	C11orf53|341032	18.4679
C11orf54|28970	202.1462	C11orf54|28970	595.7592
C11orf57|55216	776.3921	C11orf57|55216	927.4966
C11orf58|10944	3524.652	C11orf58|10944	3654.5828
C11orf59|55004	1646.7517	C11orf59|55004	1610.8071
C11orf61|79684	134.2807	C11orf61|79684	257.5239
C11orf63|79864	37.123000000000005	C11orf63|79864	353.9672
lowly_expressed	lowly_expressed	C11orf65|160140	7.1819
C11orf66|220004	19.7216	C11orf66|220004	15.7319
C11orf67|28971	223.8979	C11orf67|28971	498.8372
C11orf68|83638	570.7657	C11orf68|83638	779.4118
C11orf70|85016	13.050999999999998	C11orf70|85016	56.4295
C11orf71|54494	101.5081	C11orf71|54494	292.7497
C11orf73|51501	483.1787	C11orf73|51501	491.4501
C11orf74|119710	55.6845	C11orf74|119710	242.1341
C11orf75|56935	203.5963	C11orf75|56935	138.8509
C11orf80|79703	131.9606	C11orf80|79703	149.4528
C11orf82|220042	404.0023	C11orf82|220042	45.1436
C11orf83|790955	362.819	C11orf83|790955	88.5773
C11orf84|144097	262.76099999999997	C11orf84|144097	129.275
lowly_expressed	lowly_expressed	C11orf92|399948	65.6635
lowly_expressed	lowly_expressed	C11orf93|120376	38.6457
C11orf95|65998	212.007	C11orf95|65998	504.10400000000004
C11orf9|745	29.2923	C11orf9|745	13.6799
C12orf10|60314	1226.7981	C12orf10|60314	649.1108
C12orf11|55726	764.2111	C12orf11|55726	354.9932
C12orf23|90488	3493.0394	C12orf23|90488	1208.2763
C12orf24|29902	419.3735	C12orf24|29902	55.7456
C12orf26|84190	75.6961	C12orf26|84190	165.5267
C12orf29|91298	439.6172	C12orf29|91298	442.1819
C12orf32|83695	815.2552	C12orf32|83695	378.93300000000005
C12orf34|84915	217.2274	C12orf34|84915	58.1395
C12orf35|55196	978.2483	C12orf35|55196	1815.3215
C12orf39|80763	14.7912	C12orf39|80763	1118.6731
C12orf41|54934	1176.9142	C12orf41|54934	489.7401
C12orf43|64897	348.8979	C12orf43|64897	285.9097
C12orf44|60673	1320.4756	C12orf44|60673	431.9425
C12orf45|121053	349.478	C12orf45|121053	149.1108
C12orf47|51275	477.5087	C12orf47|51275	279.8564
C12orf48|55010	364.5041	C12orf48|55010	41.3406
C12orf49|79794	1234.0487	C12orf49|79794	430.5746
C12orf4|57102	477.6682	C12orf4|57102	415.5267
C12orf51|283450	2626.7401	C12orf51|283450	1165.1847
C12orf52|84934	836.7169	C12orf52|84934	242.8181
C12orf53|196500	10.1508	C12orf53|196500	15.7319
C12orf57|113246	2634.8608	C12orf57|113246	1428.5226
C12orf59|120939	12.761	C12orf59|120939	6.4979
C12orf5|57103	263.6311	C12orf5|57103	231.8741
C12orf60|144608	25.522	C12orf60|144608	20.8618
C12orf61|283416	9.2807	C12orf61|283416	16.4159
C12orf62|84987	665.8933	C12orf62|84987	729.4802
C12orf63|374467	9.2807	lowly_expressed	lowly_expressed
C12orf65|91574	295.5336	C12orf65|91574	201.4364
C12orf66|144577	135.1508	C12orf66|144577	116.6211
C12orf68|387856	8.1206	C12orf68|387856	23.5978
C12orf69|440087	27.8422	lowly_expressed	lowly_expressed
C12orf72|254013	54.8144	C12orf72|254013	110.8071
C12orf73|728568	353.8283	C12orf73|728568	117.3051
C12orf75|387882	807.1346	C12orf75|387882	259.9179
C12orf76|400073	270.6526	C12orf76|400073	125.51299999999999
C13orf15|28984	206.2065	C13orf15|28984	1205.1984
C13orf16|121793	5.5104	lowly_expressed	lowly_expressed
C13orf18|80183	86.7169	C13orf18|80183	85.1573
C13orf1|57213	181.5545	C13orf1|57213	325.5814
C13orf23|80209	1961.1369	C13orf23|80209	989.7401
C13orf27|93081	80.9165	C13orf27|93081	140.5609
C13orf29|283487	37.703	C13orf29|283487	102.5992
C13orf31|144811	172.5638	C13orf31|144811	273.9398
C13orf33|84935	70.1856	C13orf33|84935	906.9767
C13orf34|79866	135.5568	C13orf34|79866	133.6525
lowly_expressed	lowly_expressed	C13orf36|400120	12.3119
C13orf37|440145	455.6265	C13orf37|440145	381.3269
C13orf38|728591	14.7912	lowly_expressed	lowly_expressed
C14orf101|54916	146.4617	C14orf101|54916	485.9781
C14orf102|55051	267.1114	C14orf102|55051	269.1518
C14orf104|55172	185.3248	C14orf104|55172	312.2435
C14orf106|55320	563.8051	C14orf106|55320	770.5198
C14orf109|26175	281.9026	C14orf109|26175	310.8755
C14orf118|55668	223.3179	C14orf118|55668	196.6484
C14orf119|55017	949.5360000000001	C14orf119|55017	904.5828
C14orf126|112487	388.5528	C14orf126|112487	567.6984
C14orf128|84837	24.0719	C14orf128|84837	77.9754
C14orf129|51527	374.1299	C14orf129|51527	557.4555
C14orf132|56967	752.6102	C14orf132|56967	499.316
C14orf135|64430	603.5383	C14orf135|64430	925.1026
C14orf138|79609	68.7355	C14orf138|79609	125.855
C14orf139|79686	17.9814	C14orf139|79686	1411.7647
C14orf142|84520	172.2738	C14orf142|84520	155.9508
C14orf143|90141	53.0742	C14orf143|90141	68.0575
C14orf145|145508	60.3248	C14orf145|145508	112.5171
C14orf147|171546	2597.7378	C14orf147|171546	1338.2353
lowly_expressed	lowly_expressed	C14orf148|122945	10.2599
C14orf149|112849	45.2436	C14orf149|112849	142.2709
C14orf153|84334	296.9171	C14orf153|84334	463.7483
C14orf156|81892	514.5012	C14orf156|81892	471.9562
C14orf159|80017	440.2552	C14orf159|80017	950.4104
C14orf166|51637	1401.9722	C14orf166|51637	2600.5472
C14orf167|55449	461.9606	C14orf167|55449	625.3112
C14orf169|79697	256.0905	C14orf169|79697	214.4323
C14orf174|161394	43.2135	C14orf174|161394	20.1778
C14orf176|643382	8.9907	C14orf176|643382	12.6539
C14orf179|112752	134.8608	C14orf179|112752	216.8263
lowly_expressed	lowly_expressed	C14orf180|400258	443.9124
C14orf181|400223	13.050999999999998	C14orf181|400223	15.7319
C14orf1|11161	476.7981	C14orf1|11161	847.1272
C14orf21|161424	774.0719	C14orf21|161424	215.8003
C14orf28|122525	49.3039	C14orf28|122525	232.2161
C14orf2|9556	700.1160000000001	C14orf2|9556	788.9877
C14orf33|100129075	42.6334	C14orf33|100129075	102.5992
C14orf37|145407	122.3898	C14orf37|145407	79.0014
C14orf43|91748	1205.3364	C14orf43|91748	1525.6498
C14orf45|80127	174.6636	C14orf45|80127	329.4015
C14orf49|161176	24.651999999999997	C14orf49|161176	214.4323
C14orf4|64207	646.1717	C14orf4|64207	1655.9508
lowly_expressed	lowly_expressed	C14orf50|145376	35.5677
lowly_expressed	lowly_expressed	C14orf64|388011	53.6936
C14orf79|122616	234.6288	C14orf79|122616	216.8263
C14orf80|283643	83.2367	C14orf80|283643	25.9918
C14orf93|60686	97.4478	C14orf93|60686	225.3762
C15orf17|57184	900.232	C15orf17|57184	1996.922
C15orf21|283651	56.8445	C15orf21|283651	34.8837
C15orf23|90417	545.2436	C15orf23|90417	218.5363
C15orf24|56851	1202.7262	C15orf24|56851	1076.2654
C15orf26|161502	6.3805	lowly_expressed	lowly_expressed
C15orf27|123591	23.2019	C15orf27|123591	7.5239
lowly_expressed	lowly_expressed	C15orf28|80035	5.472
C15orf29|79768	292.9234	C15orf29|79768	498.63199999999995
C15orf33|196951	15.4031	C15orf33|196951	20.8755
C15orf34|80072	17.9814	C15orf34|80072	19.1518
C15orf37|283687	53.1584	C15orf37|283687	28.4063
C15orf38|348110	670.0087	C15orf38|348110	317.5376
C15orf39|56905	1160.6729	C15orf39|56905	882.6949
C15orf40|123207	112.8944	C15orf40|123207	312.2606
C15orf41|84529	59.4548	C15orf41|84529	116.6211
C15orf42|90381	334.8898	C15orf42|90381	9.1416
C15orf44|81556	1080.0464	C15orf44|81556	917.5787
C15orf48|84419	206.4965	C15orf48|84419	282.8317
C15orf52|388115	216.9374	C15orf52|388115	353.6252
lowly_expressed	lowly_expressed	C15orf56|644809	9.5759
C15orf57|90416	458.6224	C15orf57|90416	487.0144
C15orf58|390637	66.7053	C15orf58|390637	51.6416
C15orf59|388135	7.8306	C15orf59|388135	17.4419
C15orf61|145853	124.71	C15orf61|145853	113.8851
C15orf62|643338	14.7912	C15orf62|643338	20.8618
C15orf63|25764	1729.214	C15orf63|25764	264.7059
C16orf13|84326	547.2738	C16orf13|84326	251.71
C16orf42|115939	608.953	C16orf42|115939	355.4754
C16orf45|89927	196.6357	C16orf45|89927	689.8085
C16orf46|123775	86.7169	C16orf46|123775	38.6457
C16orf48|84080	89.9072	C16orf48|84080	113.8851
C16orf52|730094	271.4617	C16orf52|730094	496.23800000000006
C16orf53|79447	1486.4095	C16orf53|79447	450.0752
C16orf54|283897	15.9513	C16orf54|283897	120.041
C16orf55|124045	132.2506	C16orf55|124045	70.7934
C16orf57|79650	553.0742	C16orf57|79650	685.0205
C16orf58|64755	1296.4211	C16orf58|64755	1414.5007
C16orf59|80178	141.2413	C16orf59|80178	8.2079
C16orf5|29965	312.065	C16orf5|29965	678.8646
C16orf61|56942	272.3231	C16orf61|56942	194.8598
C16orf62|57020	1005.2204	C16orf62|57020	1351.9152
C16orf63|123811	1084.9768	C16orf63|123811	1095.7592
C16orf68|79091	131.0905	C16orf68|79091	180.2326
C16orf70|80262	626.859	C16orf70|80262	577.0383
C16orf71|146562	35.9629	C16orf71|146562	9.2339
C16orf72|29035	1942.2854	C16orf72|29035	1324.5554
C16orf74|404550	26.3921	C16orf74|404550	58.1395
C16orf75|116028	136.891	C16orf75|116028	44.8016
C16orf79|283870	16.6792	lowly_expressed	lowly_expressed
C16orf7|9605	122.2593	C16orf7|9605	128.526
C16orf80|29105	348.0278	C16orf80|29105	457.5923
C16orf86|388284	6.3805	C16orf86|388284	27.7018
C16orf87|388272	225.058	C16orf87|388272	98.4952
C16orf88|400506	577.7262	C16orf88|400506	209.9863
C16orf89|146556	14.5012	C16orf89|146556	320.7934
C16orf91|283951	429.8144	C16orf91|283951	113.5431
C16orf93|90835	77.4362	C16orf93|90835	17.0999
C17orf100|388327	35.3828	C17orf100|388327	54.3776
C17orf101|79701	206.7865	C17orf101|79701	214.0903
C17orf103|256302	95.4176	C17orf103|256302	1207.5923
C17orf104|284071	13.050999999999998	C17orf104|284071	15.7319
C17orf106|100134934	213.7645	C17orf106|100134934	130.065
C17orf107|100130311	159.069	C17orf107|100130311	70.9952
C17orf108|201229	39.7332	C17orf108|201229	448.0164
C17orf28|283987	3947.5058	C17orf28|283987	809.5075
C17orf37|84299	439.0951	C17orf37|84299	435.0205
C17orf39|79018	224.1879	C17orf39|79018	663.4747
C17orf42|79736	119.1995	C17orf42|79736	146.0328
C17orf44|284029	131.9606	C17orf44|284029	82.0793
C17orf48|56985	78.3063	C17orf48|56985	185.7045
C17orf49|124944	492.0273	C17orf49|124944	793.3687
C17orf51|339263	40.0232	C17orf51|339263	295.1436
C17orf53|78995	91.0673	C17orf53|78995	94.3912
lowly_expressed	lowly_expressed	C17orf55|284185	7.1819
C17orf56|146705	179.2024	C17orf56|146705	193.7517
C17orf57|124989	15.5075	C17orf57|124989	69.4254
C17orf58|284018	374.71	C17orf58|284018	424.7606
C17orf59|54785	159.2227	C17orf59|54785	121.06700000000001
C17orf60|284021	19.7216	C17orf60|284021	13.6799
C17orf61|254863	166.6531	C17orf61|254863	734.8666
C17orf62|79415	1132.5406	C17orf62|79415	749.316
C17orf63|55731	531.0325	C17orf63|55731	750.0
C17orf65|339201	58.8747	C17orf65|339201	135.3659
C17orf67|339210	31.3225	C17orf67|339210	25.3078
C17orf68|80169	627.6102	C17orf68|80169	803.0096
C17orf69|147081	27.5522	C17orf69|147081	54.7196
C17orf70|80233	917.9234	C17orf70|80233	357.3871
C17orf71|55181	655.4524	C17orf71|55181	556.4295
C17orf72|92340	66.2993	C17orf72|92340	39.2305
C17orf75|64149	197.2158	C17orf75|64149	197.6744
C17orf76|388341	33.6427	C17orf76|388341	72.1614
C17orf79|55352	494.4896	C17orf79|55352	896.3748
C17orf80|55028	598.6166	C17orf80|55028	619.6990000000001
C17orf81|23587	360.7889	C17orf81|23587	534.8837
C17orf85|55421	458.2367	C17orf85|55421	572.8454
C17orf86|654434	223.3179	C17orf86|654434	69.4254
C17orf87|388325	8.7152	C17orf87|388325	14.0219
C17orf89|284184	260.4408	C17orf89|284184	257.5239
C17orf90|339229	242.4594	C17orf90|339229	121.06700000000001
C17orf91|84981	198.6659	C17orf91|84981	531.8057
C17orf95|124512	247.6798	C17orf95|124512	380.64300000000003
C17orf96|100170841	68.7355	C17orf96|100170841	66.0055
C17orf97|400566	96.2877	C17orf97|400566	149.1108
C18orf10|25941	1618.0394	C18orf10|25941	1549.2476
lowly_expressed	lowly_expressed	C18orf16|147429	10.2599
C18orf18|147525	6.3805	C18orf18|147525	74.5554
C18orf19|125228	743.0394	C18orf19|125228	329.0014
C18orf1|753	1259.8608	C18orf1|753	1074.2134
C18orf21|83608	362.529	C18orf21|83608	254.78799999999998
C18orf22|79863	258.1206	C18orf22|79863	324.2134
C18orf25|147339	949.2459	C18orf25|147339	721.2722
C18orf32|497661	1780.9803	C18orf32|497661	1302.7531
lowly_expressed	lowly_expressed	C18orf34|374864	122.435
C18orf45|85019	719.5476	C18orf45|85019	435.0205
C18orf54|162681	72.2158	C18orf54|162681	77.6334
C18orf55|29090	429.2343	C18orf55|29090	399.7948
C18orf56|494514	13.3411	lowly_expressed	lowly_expressed
C18orf8|29919	527.9814	C18orf8|29919	421.3064
C19orf10|56005	2213.1671	C19orf10|56005	591.3133
C19orf12|83636	295.2436	C19orf12|83636	2551.6416
C19orf18|147685	6.3805	C19orf18|147685	20.5198
C19orf20|91978	11.6009	C19orf20|91978	18.4679
C19orf21|126353	103.2483	C19orf21|126353	145.0068
C19orf22|91300	1261.0209	C19orf22|91300	714.4323
C19orf23|148046	38.2831	C19orf23|148046	10.6019
C19orf24|55009	824.2459	C19orf24|55009	226.7442
C19orf25|148223	293.2135	C19orf25|148223	174.0766
C19orf26|255057	22.3318	lowly_expressed	lowly_expressed
C19orf28|126321	1258.1206	C19orf28|126321	296.1696
C19orf29|58509	375.8701	C19orf29|58509	197.3324
C19orf2|8725	1497.6798	C19orf2|8725	1850.8892
C19orf33|64073	26.2442	C19orf33|64073	56.8194
C19orf35|374872	9.5708	C19orf35|374872	5.814
C19orf36|113177	17.9814	C19orf36|113177	16.0739
C19orf38|255809	14.2111	C19orf38|255809	13.3379
C19orf39|126074	90.4872	C19orf39|126074	63.2695
C19orf40|91442	67.5754	C19orf40|91442	30.0958
C19orf42|79086	1464.6172	C19orf42|79086	1542.0657
C19orf43|79002	1449.536	C19orf43|79002	1338.9193
C19orf44|84167	209.0777	C19orf44|84167	161.9528
C19orf45|374877	9.8608	lowly_expressed	lowly_expressed
C19orf46|163183	233.7587	C19orf46|163183	55.7456
C19orf47|126526	244.4896	C19orf47|126526	245.896
C19orf48|84798	1507.8306	C19orf48|84798	247.264
C19orf50|79036	957.6566	C19orf50|79036	1184.6785
C19orf51|352909	116.8794	C19orf51|352909	9.2339
C19orf52|90580	278.4223	C19orf52|90580	151.5048
C19orf53|28974	1765.9513	C19orf53|28974	847.1272
C19orf54|284325	278.7123	C19orf54|284325	252.05200000000002
C19orf55|148137	117.1694	C19orf55|148137	75.2394
C19orf56|51398	2241.8794	C19orf56|51398	1876.5356
C19orf57|79173	71.0557	C19orf57|79173	18.8098
C19orf60|55049	120.6497	C19orf60|55049	109.0971
C19orf61|56006	536.8329	C19orf61|56006	291.3817
C19orf62|29086	1387.3898	C19orf62|29086	798.2216
C19orf63|284361	1259.7216	C19orf63|284361	1204.8358
C19orf66|55337	404.0603	C19orf66|55337	320.4514
C19orf6|91304	1109.6288	C19orf6|91304	1042.4077
C19orf70|125988	414.7332	C19orf70|125988	373.119
C19orf73|55150	8.7007	C19orf73|55150	8.5499
C19orf76|199800	20.0116	C19orf76|199800	42.7497
lowly_expressed	lowly_expressed	C19orf77|284422	6.156000000000001
C1D|10438	237.52900000000002	C1D|10438	275.6498
C1GALT1C1|29071	475.6381	C1GALT1C1|29071	714.0903
C1GALT1|56913	137.761	C1GALT1|56913	341.9973
C1QA|712	997.3898	C1QA|712	1832.7633
C1QBP|708	3204.6433	C1QBP|708	1116.6655
C1QB|713	1459.6868	C1QB|713	2243.5021
C1QC|714	1788.5731	C1QC|714	1561.2175
C1QL1|10882	5.2204	C1QL1|10882	9.9179
lowly_expressed	lowly_expressed	C1QL2|165257	5.472
C1QL3|389941	27.8422	C1QL3|389941	58.4815
C1QL4|338761	20.3016	lowly_expressed	lowly_expressed
C1QTNF1|114897	320.1856	C1QTNF1|114897	2821.8194
C1QTNF2|114898	12.181	C1QTNF2|114898	27.7018
C1QTNF3|114899	825.1160000000001	C1QTNF3|114899	142.6129
lowly_expressed	lowly_expressed	C1QTNF4|114900	6.156000000000001
C1QTNF6|114904	767.4014	C1QTNF6|114904	93.0233
C1QTNF7|114905	60.6148	C1QTNF7|114905	358.7551
C1QTNF9B|387911	5.9165	C1QTNF9B|387911	12.7462
C1QTNF9|338872	7.3637	C1QTNF9|338872	49.2476
C1RL|51279	486.5023	C1RL|51279	1297.8146
C1R|715	4634.8608	C1R|715	5645.3488
C1S|716	6544.6636	C1S|716	10656.9767
