gene_id	TCGA-BH-A1FD-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FD-11B-21R-A13Q-07
ACAD8|27034	328.3063	ACAD8|27034	511.9699
ACAD9|28976	738.109	ACAD9|28976	933.6525
lowly_expressed	lowly_expressed	ACADL|33	424.4186
ACADM|34	1174.3039	ACADM|34	1921.3406
ACADSB|36	1924.884	ACADSB|36	2695.9644
ACADS|35	58.5847	ACADS|35	909.7127
ACADVL|37	1473.3092	ACADVL|37	4657.6607
ACAN|176	49.3039	ACAN|176	5.13
ACAP1|9744	15.9513	ACAP1|9744	26.3338
ACAP2|23527	1025.232	ACAP2|23527	1717.1683
ACAP3|116983	624.7709	ACAP3|116983	233.6047
ACAT1|38	1121.8097	ACAT1|38	2639.1929
ACAT2|39	785.0667	ACAT2|39	280.6464
ACBD3|64746	3626.1601	ACBD3|64746	1630.643
ACBD4|79777	88.7471	ACBD4|79777	179.5486
ACBD5|91452	1500	ACBD5|91452	997.264
ACBD6|84320	437.935	ACBD6|84320	322.8454
ACBD7|414149	130.5104	ACBD7|414149	25.9918
ACCN1|40	28.1323	lowly_expressed	lowly_expressed
ACCN2|41	357.3086	ACCN2|41	50.6156
ACCN3|9311	16.5313	ACCN3|9311	7.1819
ACCS|84680	69.0255	ACCS|84680	296.8536
ACD|65057	248.2599	ACD|65057	288.3037
lowly_expressed	lowly_expressed	ACE2|59272	20.8618
ACER2|340485	92.2274	ACER2|340485	309.8495
ACER3|55331	1183.2947	ACER3|55331	655.9508
ACE|1636	280.4524	ACE|1636	576.2654
ACHE|43	9.5708	ACHE|43	8.5499
ACIN1|22985	2925.174	ACIN1|22985	2375.171
ACLY|47	4048.1439	ACLY|47	2664.1587
ACN9|57001	12.181	ACN9|57001	194.2544
ACO1|48	740.4292	ACO1|48	6674.7606
ACO2|50	2176.482	ACO2|50	3019.1518
ACOT11|26027	21.7517	ACOT11|26027	39.4289
ACOT13|55856	612.4507	ACOT13|55856	774.6922
ACOT1|641371	306.5545	ACOT1|641371	1260.6019
ACOT2|10965	200.406	ACOT2|10965	675.4446
ACOT4|122970	150.522	ACOT4|122970	243.1601
ACOT6|641372	5.8005	ACOT6|641372	12.3119
ACOT7|11332	641.8213	ACOT7|11332	203.8304
ACOT8|10005	353.46	ACOT8|10005	168.8714
ACOT9|23597	582.6566	ACOT9|23597	551.2996
ACOX1|51	1580.7657	ACOX1|51	3244.4425
ACOX2|8309	203.3063	ACOX2|8309	451.4364
ACOX3|8310	470.9977	ACOX3|8310	555.7456
ACP1|52	2400.522	ACP1|52	1411.0807
ACP2|53	1081.2065	ACP2|53	871.067
ACP5|54	555.9745	ACP5|54	596.4432
ACP6|51205	323.9559	ACP6|51205	301.2996
ACPL2|92370	619.1995	ACPL2|92370	330.0274
ACPP|55	9.2807	ACPP|55	30.0958
ACRBP|84519	15.6613	ACRBP|84519	19.4938
ACRC|93953	29.2923	ACRC|93953	37.9617
lowly_expressed	lowly_expressed	ACR|49	6.4979
lowly_expressed	lowly_expressed	ACSBG1|23205	17.0999
ACSF2|80221	184.1647	ACSF2|80221	897.4008
ACSF3|197322	181.8445	ACSF3|197322	196.9904
ACSL1|2180	1811.1949	ACSL1|2180	24246.58
ACSL3|2181	2893.2715	ACSL3|2181	2485.6361
ACSL4|2182	799.594	ACSL4|2182	2063.6115
ACSL5|51703	156.3225	ACSL5|51703	909.7127
ACSL6|23305	8.1206	ACSL6|23305	7.8659
ACSM1|116285	9.8608	ACSM1|116285	9.2339
ACSM3|6296	8.4629	ACSM3|6296	68.2182
ACSM5|54988	6.3805	ACSM5|54988	1008.5499
ACSS1|84532	132.5406	ACSS1|84532	573.1874
ACSS2|55902	594.5476	ACSS2|55902	3731.5321
ACSS3|79611	72.7958	ACSS3|79611	1214.4323
ACTA2|59	4345.1856	ACTA2|59	12935.6053
ACTB|60	94236.949	ACTB|60	78431.6005
ACTG1|71	64133.7007	ACTG1|71	45546.8536
ACTG2|72	51.6241	ACTG2|72	1680.9166
ACTL6A|86	1614.5592	ACTL6A|86	733.9261
ACTL8|81569	7.2506	lowly_expressed	lowly_expressed
ACTN1|87	5187.065	ACTN1|87	6059.8495
ACTN4|81	7342.674	ACTN4|81	7795.7661
ACTR10|55860	578.8863	ACTR10|55860	1310.1915
ACTR1A|10121	2073.6659	ACTR1A|10121	2751.71
ACTR1B|10120	684.4548	ACTR1B|10120	993.844
ACTR2|10097	6991.0093	ACTR2|10097	5662.4487
ACTR3B|57180	149.0719	ACTR3B|57180	119.015
ACTR3C|653857	54.5244	ACTR3C|653857	31.8057
ACTR3|10096	6002.9002	ACTR3|10096	2792.7497
ACTR5|79913	224.768	ACTR5|79913	168.9466
ACTR6|64431	990.4292	ACTR6|64431	663.8167
ACTR8|93973	592.5174	ACTR8|93973	516.4159
ACVR1B|91	1613.109	ACVR1B|91	1226.4022
lowly_expressed	lowly_expressed	ACVR1C|130399	2268.4679
ACVR1|90	813.5151	ACVR1|90	1254.788
ACVR2A|92	205.0464	ACVR2A|92	569.0834
ACVR2B|93	275.522	ACVR2B|93	399.1108
ACVRL1|94	265.9513	ACVRL1|94	854.6512
ACY1|95	1223.3179	ACY1|95	585.9815
ACYP1|97	65.8353	ACYP1|97	46.1696
ACYP2|98	147.0418	ACYP2|98	206.2244
ADAL|161823	291.7633	ADAL|161823	261.2859
ADAM10|102	1001.4501	ADAM10|102	1743.1601
lowly_expressed	lowly_expressed	ADAM11|4185	8.8919
ADAM12|8038	1672.5638	ADAM12|8038	579.3434
ADAM15|8751	4587.326	ADAM15|8751	2451.8023
ADAM17|6868	933.2947	ADAM17|6868	732.2161
ADAM19|8728	211.1369	ADAM19|8728	70.1094
ADAM21|8747	13.9211	lowly_expressed	lowly_expressed
ADAM22|53616	67.5754	ADAM22|53616	78.6594
ADAM23|8745	14.7912	ADAM23|8745	21.5458
ADAM28|10863	322.5058	ADAM28|10863	82.7633
ADAM32|203102	7.8306	ADAM32|203102	58.1395
ADAM33|80332	49.884	ADAM33|80332	330.3694
ADAM6|8755	1664.8202	ADAM6|8755	32490.5301
ADAM8|101	583.5267	ADAM8|101	42.4077
ADAM9|8754	4693.1555	ADAM9|8754	2268.1259
ADAMDEC1|27299	214.3271	ADAMDEC1|27299	61.5595
ADAMTS10|81794	38.2831	ADAMTS10|81794	75.5814
ADAMTS12|81792	276.6821	ADAMTS12|81792	285.5677
ADAMTS13|11093	16.8213	ADAMTS13|11093	25.3078
ADAMTS14|140766	89.0371	lowly_expressed	lowly_expressed
ADAMTS15|170689	115.7193	ADAMTS15|170689	245.212
ADAMTS16|170690	194.8956	ADAMTS16|170690	12.3119
ADAMTS17|170691	58.0046	ADAMTS17|170691	38.9877
lowly_expressed	lowly_expressed	ADAMTS18|170692	60.1915
ADAMTS19|171019	5.5104	lowly_expressed	lowly_expressed
ADAMTS1|9510	329.1763	ADAMTS1|9510	5910.3967
ADAMTS2|9509	513.6311	ADAMTS2|9509	362.1751
ADAMTS3|9508	17.4014	ADAMTS3|9508	100.8892
ADAMTS4|9507	524.652	ADAMTS4|9507	118.3311
ADAMTS5|11096	329.7564	ADAMTS5|11096	2411.7647
ADAMTS6|11174	51.9142	ADAMTS6|11174	37.9617
ADAMTS7|11173	201.2761	ADAMTS7|11173	51.9836
lowly_expressed	lowly_expressed	ADAMTS8|11095	27.7018
ADAMTS9|56999	109.0487	ADAMTS9|56999	626.539
ADAMTSL1|92949	86.1369	ADAMTSL1|92949	82.4213
ADAMTSL2|9719	220.9977	ADAMTSL2|9719	15.0479
ADAMTSL3|57188	89.9072	ADAMTSL3|57188	202.1204
ADAMTSL4|54507	126.1601	ADAMTSL4|54507	656.2927
ADAMTSL5|339366	16.2413	ADAMTSL5|339366	33.1737
ADAP1|11033	184.4954	ADAP1|11033	55.4583
ADAP2|55803	247.0998	ADAP2|55803	247.264
ADARB1|104	409.2227	ADARB1|104	804.7196
ADAR|103	13263.6311	ADAR|103	6719.9042
ADAT1|23536	171.4037	ADAT1|23536	229.8222
ADAT2|134637	147.9118	ADAT2|134637	133.7209
ADAT3|113179	16.8213	ADAT3|113179	18.8098
ADA|100	151.1021	ADA|100	78.3174
ADCK1|57143	82.0766	ADCK1|57143	166.2107
ADCK2|90956	869.4896	ADCK2|90956	568.7415
ADCK4|79934	601.5081	ADCK4|79934	301.2996
ADCK5|203054	31.3225	ADCK5|203054	34.8837
ADCY1|107	162.413	ADCY1|107	285.2257
ADCY2|108	103.8283	ADCY2|108	89.9453
ADCY3|109	1115.9774	ADCY3|109	1133.7688
ADCY4|196883	39.7332	ADCY4|196883	652.1888
lowly_expressed	lowly_expressed	ADCY5|111	632.3529
ADCY6|112	1670.5336	ADCY6|112	2943.5705
ADCY7|113	601.5081	ADCY7|113	341.3133
ADCY9|115	1183.8747	ADCY9|115	632.3529
lowly_expressed	lowly_expressed	ADCYAP1R1|117	23.5978
lowly_expressed	lowly_expressed	ADCYAP1|116	64.2955
ADC|113451	148.7819	ADC|113451	72.1614
ADD1|118	3718.6775	ADD1|118	6764.3639
ADD2|119	12.761	ADD2|119	60.8755
ADD3|120	622.6798	ADD3|120	2280.7798
lowly_expressed	lowly_expressed	ADH1A|124	349.4836
ADH1B|125	8.4107	ADH1B|125	45116.6211
lowly_expressed	lowly_expressed	ADH1C|126	170.3146
lowly_expressed	lowly_expressed	ADH4|127	20.8618
ADH5|128	1189.6752	ADH5|128	4726.4022
ADHFE1|137872	9.2807	ADHFE1|137872	455.8824
ADI1|55256	1739.8492	ADI1|55256	1949.0424
ADIPOQ|9370	12.471	ADIPOQ|9370	61565.6635
ADIPOR1|51094	3143.2715	ADIPOR1|51094	2704.5144
ADIPOR2|79602	2748.2599	ADIPOR2|79602	4492.8181
ADK|132	641.2413	ADK|132	559.5075
ADM2|79924	419.3735	ADM2|79924	29.7538
ADM|133	273.2019	ADM|133	1068.3995
ADNP2|22850	1631.0905	ADNP2|22850	906.2927
ADNP|23394	4665.0232	ADNP|23394	2987.6881
ADORA1|134	199.536	ADORA1|134	136.7989
ADORA2A|135	61.1949	ADORA2A|135	62.2435
ADORA2B|136	38.8631	ADORA2B|136	28.7278
ADORA3|140	331.4965	ADORA3|140	141.2449
ADO|84890	753.4803	ADO|84890	727.4282
ADPGK|83440	931.424	ADPGK|83440	865.9473
ADPRHL1|113622	43.5035	ADPRHL1|113622	69.0834
ADPRHL2|54936	1189.0951	ADPRHL2|54936	392.9549
ADPRH|141	372.0998	ADPRH|141	545.4856
lowly_expressed	lowly_expressed	ADRA1A|148	55.4036
lowly_expressed	lowly_expressed	ADRA1B|147	42.7497
lowly_expressed	lowly_expressed	ADRA1D|146	8.2079
ADRA2A|150	258.4107	ADRA2A|150	2905.6088
lowly_expressed	lowly_expressed	ADRA2B|151	49.2476
ADRA2C|152	5.2204	ADRA2C|152	90.6293
lowly_expressed	lowly_expressed	ADRB1|153	118.3311
ADRB2|154	15.6613	ADRB2|154	525.6498
ADRBK1|156	1685.6148	ADRBK1|156	1128.249
ADRBK2|157	539.1531	ADRBK2|157	2438.4405
ADRM1|11047	1859.3387	ADRM1|11047	641.5869
ADSL|158	665.3132	ADSL|158	674.7606
ADSSL1|122622	31.9026	ADSSL1|122622	164.5007
ADSS|159	900.522	ADSS|159	1537.2777
AEBP1|165	17277.5522	AEBP1|165	3001.026
AEBP2|121536	908.6427	AEBP2|121536	779.4118
AEN|64782	1062.355	AEN|64782	226.0602
AES|166	5593.0974	AES|166	5705.1984
AFAP1L1|134265	150.522	AFAP1L1|134265	748.632
AFAP1L2|84632	124.71	AFAP1L2|84632	858.4131
AFAP1|60312	1428.9124	AFAP1|60312	1242.8146
AFARP1|246182	6.0905	lowly_expressed	lowly_expressed
AFF1|4299	1916.4733	AFF1|4299	3786.5937
AFF2|2334	10.1508	AFF2|2334	58.1395
AFF3|3899	1203.5963	AFF3|3899	1597.1272
AFF4|27125	6625.8701	AFF4|27125	3180.5746
AFG3L1|172	185.6148	AFG3L1|172	203.1464
AFG3L2|10939	1356.9055	AFG3L2|10939	1268.8543
AFMID|125061	507.2506	AFMID|125061	389.5349
lowly_expressed	lowly_expressed	AFP|174	37.6197
AFTPH|54812	2217.8074	AFTPH|54812	1848.8372
AG2|387763	74.536	AG2|387763	462.0383
AGAP11|119385	47.5638	AGAP11|119385	254.1074
AGAP1|116987	793.2135	AGAP1|116987	449.7264
AGAP2|116986	21.0325	AGAP2|116986	51.6621
AGAP3|116988	1616.0093	AGAP3|116988	886.4569
AGAP4|119016	138.9211	AGAP4|119016	137.8249
AGAP5|729092	33.5731	AGAP5|729092	66.3646
AGAP6|414189	133.9907	AGAP6|414189	108.0711
AGAP7|653268	6.6705	AGAP7|653268	7.8659
AGAP8|728404	33.6427	AGAP8|728404	47.1956
AGA|175	185.6148	AGA|175	591.6553
AGBL2|79841	16.2413	AGBL2|79841	15.0479
lowly_expressed	lowly_expressed	AGBL3|340351	9.9179
AGBL4|84871	10.1508	AGBL4|84871	11.9699
AGBL5|60509	784.5186	AGBL5|60509	742.8249
AGER|177	23.7819	AGER|177	23.5978
AGFG1|3267	2383.7007	AGFG1|3267	2542.4077
AGFG2|3268	532.4826	AGFG2|3268	401.8468
AGGF1|55109	704.4664	AGGF1|55109	1067.7155
AGK|55750	649.942	AGK|55750	547.8796
AGL|178	4934.1647	AGL|178	1213.7483
AGMAT|79814	16.5313	AGMAT|79814	7.8659
AGPAT1|10554	1802.6044	AGPAT1|10554	1922.606
AGPAT2|10555	230.2784	AGPAT2|10555	4059.1655
AGPAT3|56894	2480.5684	AGPAT3|56894	1932.2845
AGPAT4|56895	100.058	AGPAT4|56895	175.4446
AGPAT5|55326	731.4385	AGPAT5|55326	688.0985
AGPAT6|137964	4277.2622	AGPAT6|137964	1607.7291
AGPAT9|84803	97.4478	AGPAT9|84803	349.1792
AGPHD1|123688	84.6868	AGPHD1|123688	87.5513
AGPS|8540	1961.7169	AGPS|8540	1216.4843
AGR2|10551	34138.6311	AGR2|10551	2390.2189
AGR3|155465	6056.8445	AGR3|155465	956.9083
AGRN|375790	2954.1763	AGRN|375790	1556.4295
AGTPBP1|23287	197.2158	AGTPBP1|23287	558.8235
AGTR1|185	22.6218	AGTR1|185	463.4063
AGTRAP|57085	435.0348	AGTRAP|57085	500
AGT|183	915.0232	AGT|183	222.2982
AGXT2L2|85007	194.4954	AGXT2L2|85007	515.7011
AGXT|189	18.8515	lowly_expressed	lowly_expressed
AHCTF1|25909	1301.9142	AHCTF1|25909	1701.0944
AHCYL1|10768	5306.8445	AHCYL1|10768	4761.9699
AHCYL2|23382	988.9791	AHCYL2|23382	675.1026
AHCY|191	4800.7541	AHCY|191	1689.4665
AHDC1|27245	658.0626	AHDC1|27245	639.1929
AHI1|54806	559.4548	AHI1|54806	416.5527
AHNAK2|113146	512.761	AHNAK2|113146	972.9822
AHNAK|79026	48614.5592	AHNAK|79026	104632.0109
AHRR|57491	183.8747	AHRR|57491	17.7839
AHR|196	3980.2784	AHR|196	2810.1915
AHSA1|10598	1692.8654	AHSA1|10598	1043.4337
AHSA2|130872	279.0023	AHSA2|130872	410.0547
AIDA|64853	645.6235	AIDA|64853	2063.656
AIF1L|83543	168.2135	AIF1L|83543	1739.0561
AIF1|199	237.529	AIF1|199	454.5144
AIFM1|9131	1397.3318	AIFM1|9131	703.8304
AIFM2|84883	487.239	AIFM2|84883	1754.104
AIG1|51390	680.6845	AIG1|51390	1348.8372
AIM1L|55057	17.1114	lowly_expressed	lowly_expressed
AIM1|202	613.9791	AIM1|202	3602.5992
AIM2|9447	24.3619	lowly_expressed	lowly_expressed
AIMP1|9255	1093.953	AIMP1|9255	1294.8495
AIMP2|7965	957.0563	AIMP2|7965	344.7572
AIP|9049	548.1439	AIP|9049	456.2244
lowly_expressed	lowly_expressed	AJAP1|55966	8.2079
AK1|203	323.0858	AK1|203	475.7182
AK2|204	3710.844	AK2|204	2213.4063
AK3L1|205	302.7842	AK3L1|205	650.1368
AK3|50808	576.5661	AK3|50808	2724.0082
AK5|26289	11.0209	AK5|26289	1495.554
AK7|122481	7.2506	AK7|122481	20.1778
AKAP10|11216	357.3086	AKAP10|11216	554.0356
AKAP11|11215	1152.5522	AKAP11|11215	2168.9466
AKAP12|9590	861.3689	AKAP12|9590	5768.4679
AKAP13|11214	2638.3411	AKAP13|11214	3079.0014
AKAP1|8165	934.4548	AKAP1|8165	3177.1546
AKAP2|11217	448.7674	AKAP2|11217	2040.8345
AKAP3|10566	15.9513	AKAP3|10566	46.5116
AKAP5|9495	84.3968	AKAP5|9495	110.8071
AKAP6|9472	25.8121	AKAP6|9472	155.9508
AKAP7|9465	118.3295	AKAP7|9465	310.8755
AKAP8L|26993	1221.5777	AKAP8L|26993	538.9877
AKAP8|10270	778.1323	AKAP8|10270	639.5349
AKAP9|10142	3780.4524	AKAP9|10142	2482.9001
AKD1|221264	39.4432	AKD1|221264	154.5828
AKIRIN1|79647	2962.297	AKIRIN1|79647	1587.2093
AKIRIN2|55122	514.2111	AKIRIN2|55122	1037.9617
AKNA|80709	274.652	AKNA|80709	638.8509
AKR1A1|10327	2907.7726	AKR1A1|10327	1444.5964
AKR1B10|57016	24.942	lowly_expressed	lowly_expressed
AKR1B15|441282	5.2204	lowly_expressed	lowly_expressed
AKR1B1|231	429.8144	AKR1B1|231	1003.078
AKR1C1|1645	12.470999999999998	AKR1C1|1645	6700.4104
AKR1C2|1646	16.5313	AKR1C2|1646	4646.7168
AKR1C3|8644	296.6937	AKR1C3|8644	2453.4884
AKR1E2|83592	11.3109	AKR1E2|83592	42.7497
AKR7A2|8574	1005.2204	AKR7A2|8574	1064.2955
AKR7A3|22977	808.2947	AKR7A3|22977	91.6553
AKR7L|246181	38.2831	AKR7L|246181	18.8098
AKT1S1|84335	1020.8817	AKT1S1|84335	856.3611
AKT1|207	2336.7169	AKT1|207	2321.4774
AKT2|208	2226.7981	AKT2|208	2873.803
AKT3|10000	237.52900000000002	AKT3|10000	1068.3995
AKTIP|64400	637.2941	AKTIP|64400	837.0964
ALAD|210	732.8886	ALAD|210	2005.8139999999999
ALAS1|211	2128.4803	ALAS1|211	1142.9549
lowly_expressed	lowly_expressed	ALB|213	13.6799
ALCAM|214	3916.4733	ALCAM|214	3243.844
ALDH16A1|126133	195.1856	ALDH16A1|126133	261.6279
ALDH18A1|5832	3833.2367	ALDH18A1|5832	1218.8782
ALDH1A1|216	99.478	ALDH1A1|216	4116.6211
ALDH1A2|8854	29.2923	ALDH1A2|8854	551.2996
ALDH1A3|220	106.9751	ALDH1A3|220	1429.0834
ALDH1B1|219	1184.7448	ALDH1B1|219	475.7182
lowly_expressed	lowly_expressed	ALDH1L1|10840	1323.5294
ALDH1L2|160428	404.5824	ALDH1L2|160428	228.7962
ALDH2|217	298.1439	ALDH2|217	10782.1477
lowly_expressed	lowly_expressed	ALDH3A1|218	24.9658
ALDH3A2|224	1444.6056	ALDH3A2|224	2819.7674
ALDH3B1|221	129.3503	ALDH3B1|221	211.6963
ALDH3B2|222	486.0789	ALDH3B2|222	3095.7592
ALDH4A1|8659	124.71	ALDH4A1|8659	2090.2873
ALDH5A1|7915	413.5731	ALDH5A1|7915	837.8933
ALDH6A1|4329	376.0905	ALDH6A1|4329	914.7845
ALDH7A1|501	1043.7935	ALDH7A1|501	1662.4487
ALDH8A1|64577	5.8005	ALDH8A1|64577	8.8919
ALDH9A1|223	2539.4432	ALDH9A1|223	4469.9042
ALDOA|226	53007.5406	ALDOA|226	18042.7497
lowly_expressed	lowly_expressed	ALDOB|229	12.9959
ALDOC|230	108.7587	ALDOC|230	1144.3228
ALG10B|144245	255.5104	ALG10B|144245	394.6648
ALG10|84920	94.8376	ALG10|84920	110.4651
ALG11|440138	27.8422	ALG11|440138	9.5759
ALG12|79087	352.3782	ALG12|79087	387.8249
ALG13|79868	552.4942	ALG13|79868	503.42
ALG14|199857	272.3318	ALG14|199857	309.8495
lowly_expressed	lowly_expressed	ALG1L|200810	6.6655
ALG1|56052	660.0087	ALG1|56052	385.8003
ALG2|85365	778.1323	ALG2|85365	849.8632
ALG3|10195	1101.7981	ALG3|10195	538.9877
ALG5|29880	384.8608	ALG5|29880	717.1683
ALG6|29929	149.65200000000002	ALG6|29929	289.6717
ALG8|79053	1032.1926	ALG8|79053	919.9726
ALG9|79796	405.7425	ALG9|79796	774.6238
ALKBH1|8846	189.6752	ALKBH1|8846	236.3201
ALKBH2|121642	603.2483	ALKBH2|121642	163.8167
ALKBH3|221120	559.4548	ALKBH3|221120	431.2585
ALKBH4|54784	181.3196	ALKBH4|54784	142.0896
ALKBH5|54890	1939.6259	ALKBH5|54890	2416.8331
ALKBH6|84964	70.4756	ALKBH6|84964	57.7975
ALKBH7|84266	469.5476	ALKBH7|84266	313.9535
ALKBH8|91801	124.71	ALKBH8|91801	344.3912
lowly_expressed	lowly_expressed	ALK|238	9.5759
ALMS1|7840	1085.5568	ALMS1|7840	804.7196
lowly_expressed	lowly_expressed	ALOX12P2|245	7.1819
ALOX15B|247	2017.9814	ALOX15B|247	93.7073
lowly_expressed	lowly_expressed	ALOX15|246	8.5499
ALOX5AP|241	445.7657	ALOX5AP|241	304.0356
ALOX5|240	234.6288	ALOX5|240	585.4993
ALOXE3|59344	36.8329	ALOXE3|59344	11.6279
ALPK1|80216	369.4896	ALPK1|80216	609.7811
ALPK2|115701	142.4014	ALPK2|115701	7.8659
ALPK3|57538	263.3411	ALPK3|57538	523.2558
