gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
ACAD11|84129	477.209	ACAD11|84129	1075.8707
ACAD8|27034	252.2182	ACAD8|27034	622.4409
ACAD9|28976	510.2511	ACAD9|28976	1191.9236
ACADL|33	88.0471	ACADL|33	471.967
ACADM|34	2803.1376	ACADM|34	2734.5728
ACADSB|36	1756.05	ACADSB|36	2570.4984
ACADS|35	71.844	ACADS|35	1568.9792
ACADVL|37	1299.3058	ACADVL|37	6739.4487
ACAN|176	417.0007	ACAN|176	5.2087
lowly_expressed	lowly_expressed	ACAP1|9744	66.2664
ACAP2|23527	2052.5974	ACAP2|23527	1891.6299
ACAP3|116983	99.6675	ACAP3|116983	460.1982
ACAT1|38	1110.3714	ACAT1|38	2768.1401
ACAT2|39	421.8433	ACAT2|39	466.7554
ACBD3|64746	3308.1854	ACBD3|64746	1358.6052
ACBD4|79777	45.2464	ACBD4|79777	296.3177
ACBD5|91452	1567.7271	ACBD5|91452	1012.5154
ACBD6|84320	342.0996	ACBD6|84320	307.0245
ACBD7|414149	141.2422	ACBD7|414149	35.8822
ACCN2|41	64.201	ACCN2|41	121.2472
ACCN3|9311	25.6804	ACCN3|9311	16.2049
ACCS|84680	60.8381	ACCS|84680	318.8888
ACD|65057	194.743	ACD|65057	320.625
ACE2|59272	128.7077	ACE2|59272	12.7324
ACER2|340485	163.5597	ACER2|340485	277.5085
ACER3|55331	423.7265	ACER3|55331	1068.3643
ACE|1636	222.5634	ACE|1636	993.9955
lowly_expressed	lowly_expressed	ACHE|43	60.7683
ACIN1|22985	2044.9545	ACIN1|22985	3260.6525
ACLY|47	3844.4165	ACLY|47	4820.9506
ACN9|57001	131.1535	ACN9|57001	136.0052
ACO1|48	1652.4112	ACO1|48	6169.4278
ACO2|50	1561.8114	ACO2|50	4620.3834
ACOT11|26027	14.0631	ACOT11|26027	33.4428
ACOT13|55856	1166.2905	ACOT13|55856	568.2066
ACOT1|641371	451.8527	ACOT1|641371	1527.0202
ACOT2|10965	387.346	ACOT2|10965	1217.3913
ACOT4|122970	467.4444	ACOT4|122970	147.8695
ACOT6|641372	8.5601	ACOT6|641372	17.9411
ACOT7|11332	127.4848	ACOT7|11332	180.5686
ACOT8|10005	249.0326	ACOT8|10005	196.6722
ACOT9|23597	570.4717	ACOT9|23597	482.0951
ACOX1|51	4471.1405	ACOX1|51	3607.6105
ACOX2|8309	450.3241	ACOX2|8309	488.4613
ACOX3|8310	299.6046	ACOX3|8310	588.2949
ACOXL|55289	20.7889	lowly_expressed	lowly_expressed
ACP1|52	3106.4109	ACP1|52	980.6844
ACP2|53	1186.4955	ACP2|53	833.9724
ACP5|54	1049.5334	ACP5|54	359.1116
ACP6|51205	195.9659	ACP6|51205	204.8759
ACPL2|92370	642.6214	ACPL2|92370	281.2703
ACPP|55	94.7729	ACPP|55	32.9885
ACRBP|84519	26.9033	ACRBP|84519	19.6773
ACRC|93953	13.1459	ACRC|93953	33.2779
lowly_expressed	lowly_expressed	ACR|49	10.9962
ACSBG1|23205	6.7258	ACSBG1|23205	8.9706
ACSF2|80221	2091.7875	ACSF2|80221	1130.2901
ACSF3|197322	125.6505	ACSF3|197322	356.2179
ACSL1|2180	7899.7792	ACSL1|2180	44150.1845
ACSL3|2181	6530.158	ACSL3|2181	2414.8159
ACSL4|2182	1421.8991	ACSL4|2182	1957.8963
ACSL5|51703	239.378	ACSL5|51703	970.5563
ACSL6|23305	5.1972	ACSL6|23305	10.128
ACSM1|116285	42.4949	ACSM1|116285	35.8822
lowly_expressed	lowly_expressed	ACSM2A|123876	17.9411
ACSM3|6296	24.1579	ACSM3|6296	103.1093
ACSM5|54988	35.4634	ACSM5|54988	692.4691
ACSS1|84532	1898.2093	ACSS1|84532	717.6445
ACSS2|55902	1317.3432	ACSS2|55902	6253.9246
ACSS3|79611	395.9061	ACSS3|79611	2178.3983
ACTA1|58	26.2918	lowly_expressed	lowly_expressed
ACTA2|59	8943.3908	ACTA2|59	20929.4278
lowly_expressed	lowly_expressed	ACTBL2|345651	8.6812
ACTB|60	103526.5452	ACTB|60	69195.1096
ACTC1|70	31.7948	ACTC1|70	7.5237
ACTG1|71	76385.1173	ACTG1|71	43992.1869
ACTG2|72	573.2231	ACTG2|72	3341.3875
ACTL6A|86	1475.7057	ACTL6A|86	579.6137
ACTL8|81569	37.9092	lowly_expressed	lowly_expressed
ACTN1|87	3669.5453	ACTN1|87	7996.8169
ACTN4|81	4628.1089	ACTN4|81	10073.0985
ACTR10|55860	2625.8206	ACTR10|55860	1071.258
ACTR1A|10121	1928.7812	ACTR1A|10121	2200.9694
ACTR1B|10120	545.097	ACTR1B|10120	1270.9253
ACTR2|10097	11014.1387	ACTR2|10097	4941.3297
ACTR3B|57180	141.2422	ACTR3B|57180	134.269
ACTR3C|653857	93.8557	ACTR3C|653857	34.146
ACTR3|10096	7674.1586	ACTR3|10096	2430.442
ACTR5|79913	315.502	ACTR5|79913	171.5981
ACTR6|64431	1105.4799	ACTR6|64431	553.2808
ACTR8|93973	483.6475	ACTR8|93973	550.6764
ACVR1B|91	1005.2041	ACVR1B|91	956.0877
ACVR1C|130399	678.3905	ACVR1C|130399	6217.1743
ACVR1|90	1601.6619	ACVR1|90	1579.1073
ACVR2A|92	650.5701	lowly_expressed	lowly_expressed
ACVR2B|93	300.2161	ACVR2B|93	458.3665
ACVRL1|94	326.5079	ACVRL1|94	1180.9303
ACY1|95	427.3952	ACY1|95	986.6917
ACY3|91703	25.3747	ACY3|91703	6.6556
ACYP1|97	46.1636	ACYP1|97	43.4059
ACYP2|98	121.0647	ACYP2|98	168.7043
ADAL|161823	251.301	ADAL|161823	274.036
ADAM10|102	2386.4426	ADAM10|102	1855.4583
lowly_expressed	lowly_expressed	ADAM11|4185	17.9411
ADAM12|8038	4691.8696	ADAM12|8038	665.268
ADAM15|8751	1553.0526	ADAM15|8751	2773.6381
ADAM17|6868	1158.9808	ADAM17|6868	695.6522
ADAM19|8728	486.0932	ADAM19|8728	148.4482
ADAM21|8747	17.7317	lowly_expressed	lowly_expressed
ADAM22|53616	118.619	ADAM22|53616	76.6838
ADAM23|8745	37.9092	ADAM23|8745	36.1716
ADAM28|10863	40.0492	ADAM28|10863	83.9181
lowly_expressed	lowly_expressed	ADAM32|203102	6.0768
ADAM33|80332	33.9348	ADAM33|80332	825.3838
ADAM6|8755	319.8127	ADAM6|8755	33163.3625
ADAM8|101	220.4234	ADAM8|101	76.9732
ADAM9|8754	6780.8476	ADAM9|8754	1641.9012
ADAMDEC1|27299	17.7317	lowly_expressed	lowly_expressed
ADAMTS10|81794	54.1123	ADAMTS10|81794	138.3202
ADAMTS12|81792	249.7724	ADAMTS12|81792	386.3127
ADAMTS13|11093	10.0887	ADAMTS13|11093	78.7094
ADAMTS14|140766	104.8616	ADAMTS14|140766	6.9449
ADAMTS15|170689	21.0946	ADAMTS15|170689	250.3075
ADAMTS16|170690	1166.0123	ADAMTS16|170690	95.2036
ADAMTS17|170691	77.0412	ADAMTS17|170691	24.3073
ADAMTS18|170692	32.7119	ADAMTS18|170692	63.662
ADAMTS19|171019	64.5067	ADAMTS19|171019	9.2599
ADAMTS1|9510	2217.6857	ADAMTS1|9510	8184.9092
ADAMTS2|9509	911.3484	ADAMTS2|9509	615.4959
ADAMTS3|9508	82.2384	ADAMTS3|9508	68.8707
ADAMTS4|9507	833.0843	ADAMTS4|9507	427.1142
ADAMTS5|11096	1069.4051	ADAMTS5|11096	3317.659
ADAMTS6|11174	150.7195	ADAMTS6|11174	25.7542
ADAMTS7|11173	76.124	ADAMTS7|11173	128.4815
lowly_expressed	lowly_expressed	ADAMTS8|11095	25.1754
ADAMTS9|56999	276.37	ADAMTS9|56999	1055.3425
ADAMTSL1|92949	88.9642	ADAMTSL1|92949	767.9954
ADAMTSL2|9719	71.5382	ADAMTSL2|9719	32.1204
ADAMTSL3|57188	193.8259	ADAMTSL3|57188	279.2447
ADAMTSL4|54507	317.9478	ADAMTSL4|54507	1057.6575
ADAMTSL5|339366	120.4533	ADAMTSL5|339366	28.9373
ADAP1|11033	24.1121	ADAP1|11033	79.9306
ADAP2|55803	222.5634	ADAP2|55803	154.2357
ADARB1|104	499.2391	ADARB1|104	920.2055
lowly_expressed	lowly_expressed	ADARB2|105	9.2599
ADAR|103	9099.1149	ADAR|103	6691.4563
ADAT1|23536	291.9617	ADAT1|23536	282.4278
ADAT2|134637	85.2956	ADAT2|134637	150.7632
ADAT3|113179	21.0946	ADAT3|113179	14.1793
ADA|100	131.1535	ADA|100	96.9399
ADCK1|57143	152.2481	ADCK1|57143	138.6096
ADCK2|90956	517.888	ADCK2|90956	603.921
ADCK4|79934	193.5201	ADCK4|79934	461.5496
ADCK5|203054	23.2346	ADCK5|203054	64.5301
ADCY1|107	73.6783	ADCY1|107	336.8299
ADCY2|108	364.4171	ADCY2|108	149.6057
ADCY3|109	413.9588	ADCY3|109	1480.7032
ADCY4|196883	131.7649	ADCY4|196883	746.003
ADCY5|111	189.2401	ADCY5|111	697.3884
ADCY6|112	1292.58	ADCY6|112	4793.7495
ADCY7|113	466.2215	ADCY7|113	391.5214
ADCY9|115	832.1671	ADCY9|115	897.345
lowly_expressed	lowly_expressed	ADCYAP1R1|117	95.7824
ADCYAP1|116	45.8579	ADCYAP1|116	52.3765
ADC|113451	52.278	ADC|113451	120.6685
ADD1|118	4003.6961	ADD1|118	7545.9741
ADD2|119	14.6745	ADD2|119	57.2958
ADD3|120	1743.8212	ADD3|120	3696.7373
ADH1A|124	60.5201	ADH1A|124	809.6303
ADH1B|125	12705.3763	ADH1B|125	90306.3011
ADH1C|126	56.2523	ADH1C|126	665.5574
lowly_expressed	lowly_expressed	ADH4|127	27.201
ADH5|128	2985.3461	ADH5|128	4562.2513
ADHFE1|137872	107.0017	ADHFE1|137872	634.5945
ADI1|55256	1205.1443	ADI1|55256	1658.1061
ADIPOQ|9370	12931.6084	ADIPOQ|9370	83495.6232
ADIPOR1|51094	5020.8233	ADIPOR1|51094	2194.0245
ADIPOR2|79602	5276.0987	ADIPOR2|79602	3962.3815
ADK|132	627.9468	ADK|132	342.9067
ADM2|79924	152.8595	ADM2|79924	58.1639
ADM|133	322.5336	ADM|133	871.5908
ADNP2|22850	511.7736	ADNP2|22850	767.9954
ADNP|23394	4974.9654	ADNP|23394	2733.7047
ADORA1|134	40.6606	ADORA1|134	385.1552
ADORA2A|135	80.4041	ADORA2A|135	61.347
ADORA2B|136	34.852	ADORA2B|136	35.3035
ADORA3|140	335.3738	ADORA3|140	31.5416
ADO|84890	1045.559	ADO|84890	517.6879
ADPGK|83440	877.8446	ADPGK|83440	767.243
ADPRHL1|113622	143.6879	ADPRHL1|113622	78.7094
ADPRHL2|54936	225.6206	ADPRHL2|54936	406.2794
ADPRH|141	315.1963	ADPRH|141	522.3179
lowly_expressed	lowly_expressed	ADRA1A|148	150.1845
ADRA1B|147	13.1459	ADRA1B|147	73.7901
lowly_expressed	lowly_expressed	ADRA1D|146	7.5237
ADRA2A|150	932.7487	ADRA2A|150	2184.7645
ADRA2B|151	10.3944	ADRA2B|151	141.2139
ADRA2C|152	11.3116	ADRA2C|152	77.2625
ADRB1|153	50.7494	ADRB1|153	228.6045
ADRB2|154	67.2582	ADRB2|154	647.3269
ADRB3|155	5.5029	ADRB3|155	25.1754
ADRBK1|156	878.3307	ADRBK1|156	1474.9331
ADRBK2|157	1071.2394	ADRBK2|157	5125.3708
ADRM1|11047	612.3552	ADRM1|11047	956.9558
ADSL|158	645.6785	ADSL|158	687.5497
ADSSL1|122622	149.8023	ADSSL1|122622	310.2076
ADSS|159	3816.9018	ADSS|159	898.5025
AEBP1|165	8358.3577	AEBP1|165	9135.2094
AEBP2|121536	1028.4387	AEBP2|121536	835.4192
AEN|64782	238.4608	AEN|64782	398.7557
AES|166	3615.7387	AES|166	5208.4207
AFAP1L1|134265	191.6858	AFAP1L1|134265	1271.504
AFAP1L2|84632	130.8477	AFAP1L2|84632	1062.2875
AFAP1|60312	1470.5084	AFAP1|60312	1321.5481
AFF1|4299	3323.7771	AFF1|4299	4827.8955
AFF2|2334	108.2245	AFF2|2334	108.2254
AFF3|3899	1634.9853	AFF3|3899	1349.0559
AFF4|27125	3572.6323	AFF4|27125	4074.6582
AFG3L1|172	129.9306	AFG3L1|172	234.392
AFG3L2|10939	1484.5746	AFG3L2|10939	1323.9528
AFMID|125061	574.1403	AFMID|125061	366.6353
lowly_expressed	lowly_expressed	AFP|174	89.7056
AFTPH|54812	1968.5247	AFTPH|54812	1421.3991
AG2|387763	517.5823	AG2|387763	629.0964
AGAP11|119385	31.1833	AGAP11|119385	371.8556
AGAP1|116987	408.7463	AGAP1|116987	491.6444
AGAP2|116986	27.9152	AGAP2|116986	169.5985
AGAP3|116988	333.2337	AGAP3|116988	1357.4477
AGAP4|119016	72.1497	AGAP4|119016	275.1935
AGAP5|729092	19.8503	AGAP5|729092	64.8774
AGAP6|414189	47.3864	AGAP6|414189	94.0462
AGAP7|653268	5.8087	AGAP7|653268	5.4981
AGAP8|728404	18.3431	AGAP8|728404	11.5749
