gene_id	TCGA-A7-A13G-01A-11R-A13Q-07	gene_id	TCGA-A7-A13G-11A-51R-A13Q-07
ACAD11|84129	321.2269	ACAD11|84129	1846.2708
ACAD8|27034	572.8123	ACAD8|27034	770.6385
ACAD9|28976	553.532	ACAD9|28976	1102.0699
lowly_expressed	lowly_expressed	ACADL|33	865.3924
ACADM|34	84.7515	ACADM|34	4366.0024
ACADSB|36	6619.2238	ACADSB|36	2958.9264
ACADS|35	816.5736	ACADS|35	1543.3103
ACADVL|37	4024.8631	ACADVL|37	7105.3274
ACAN|176	13.9907	ACAN|176	32.5336
ACAP1|9744	18.5646	ACAP1|9744	35.7869
ACAP2|23527	1486.5138	ACAP2|23527	2167.1411
ACAP3|116983	717.9687	ACAP3|116983	334.3188
ACAT1|38	1291.1818	ACAT1|38	6008.1334
ACAT2|39	455.8203	ACAT2|39	399.3819
ACBD3|64746	3641.3533	ACBD3|64746	1203.7414
ACBD4|79777	185.6461	ACBD4|79777	213.5014
ACBD5|91452	1297.6391	ACBD5|91452	1300.5287
ACBD6|84320	546.4451	ACBD6|84320	296.0553
ACBD7|414149	30.1339	ACBD7|414149	8.1334
ACCN2|41	118.652	ACCN2|41	103.294
ACCN3|9311	25.0219	lowly_expressed	lowly_expressed
ACCS|84680	159.0099	ACCS|84680	459.5364
ACD|65057	155.5122	ACD|65057	192.3546
lowly_expressed	lowly_expressed	ACE2|59272	27.6535
ACER2|340485	144.4811	ACER2|340485	660.4311
ACER3|55331	203.9416	ACER3|55331	1744.205
ACE|1636	980.9646	ACE|1636	1134.6076
ACIN1|22985	4933.8804	ACIN1|22985	2205.368
ACLY|47	6006.0537	ACLY|47	3013.0134
ACMSD|130013	149.324	lowly_expressed	lowly_expressed
ACN9|57001	57.0391	ACN9|57001	148.841
ACO1|48	712.7194	ACO1|48	12373.7292
ACO2|50	3186.7653	ACO2|50	5541.647
ACOT11|26027	15.8741	ACOT11|26027	18.7068
ACOT13|55856	613.9988	ACOT13|55856	868.8369
ACOT1|641371	569.5836	ACOT1|641371	2784.8719
ACOT2|10965	463.8461	ACOT2|10965	1521.7568
ACOT4|122970	525.4591	ACOT4|122970	310.6954
ACOT6|641372	6.9954	ACOT6|641372	20.7401
ACOT7|11332	241.6089	ACOT7|11332	123.6275
ACOT8|10005	297.3835	ACOT8|10005	196.6938
ACOT9|23597	244.5685	ACOT9|23597	643.351
ACOX1|51	1757.9337	ACOX1|51	5173.9772
ACOX2|8309	603.4842	ACOX2|8309	633.5909
ACOX3|8310	932.8042	ACOX3|8310	364.3758
ACP1|52	1343.1089	ACP1|52	1073.6072
ACP2|53	1212.8876	ACP2|53	850.7523
ACP5|54	1934.4858	ACP5|54	248.8817
ACP6|51205	254.2544	ACP6|51205	157.381
ACPL2|92370	552.9024	ACPL2|92370	226.5148
ACPP|55	9.9549	ACPP|55	7.32
ACRBP|84519	64.3035	ACRBP|84519	19.1135
ACRC|93953	48.1604	ACRC|93953	40.6669
lowly_expressed	lowly_expressed	ACR|49	9.3534
lowly_expressed	lowly_expressed	ACSBG1|23205	11.7934
ACSF2|80221	606.4438	ACSF2|80221	2364.3758
ACSF3|197322	258.2902	ACSF3|197322	258.2351
ACSL1|2180	878.7247	ACSL1|2180	88008.5401
ACSL3|2181	2954.732	ACSL3|2181	1919.0728
ACSL4|2182	244.8376	ACSL4|2182	2451.403
ACSL5|51703	318.0198	ACSL5|51703	936.5596
ACSL6|23305	6.7263	lowly_expressed	lowly_expressed
ACSM1|116285	59.9987	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSM2A|123876	15.8601
lowly_expressed	lowly_expressed	ACSM2B|348158	12.2001
ACSM3|6296	41.1731	ACSM3|6296	13.6072
ACSM5|54988	16.4122	ACSM5|54988	1865.7991
ACSS1|84532	1788.3904	ACSS1|84532	447.743
ACSS2|55902	701.1502	ACSS2|55902	8939.4063
ACSS3|79611	221.9681	ACSS3|79611	3765.7584
ACTA1|58	64.8416	lowly_expressed	lowly_expressed
ACTA2|59	2759.3704	ACTA2|59	5650.9882
ACTB|60	39027.9142	ACTB|60	46972.3465
lowly_expressed	lowly_expressed	ACTC1|70	27.6535
ACTG1|71	77121.1408	ACTG1|71	25311.9154
ACTG2|72	280.8906	ACTG2|72	327.3688
ACTL6A|86	881.9533	ACTL6A|86	545.3436
ACTN1|87	4297.5718	ACTN1|87	3459.5364
lowly_expressed	lowly_expressed	ACTN2|88	8.1334
ACTN4|81	8654.6042	ACTN4|81	6056.8564
ACTR10|55860	999.7982	ACTR10|55860	1333.0622
ACTR1A|10121	2155.6467	ACTR1A|10121	2707.198
ACTR1B|10120	1285.8008	ACTR1B|10120	929.6462
ACTR2|10097	6757.2476	ACTR2|10097	5772.2651
ACTR3B|57180	112.1948	ACTR3B|57180	94.754
ACTR3C|653857	22.8694	ACTR3C|653857	14.6401
ACTR3|10096	2649.0886	ACTR3|10096	2422.5295
ACTR5|79913	175.6911	ACTR5|79913	145.9943
ACTR6|64431	657.2947	ACTR6|64431	614.8841
ACTR8|93973	646.5326	ACTR8|93973	465.2298
ACVR1B|91	1421.9412	ACVR1B|91	776.7385
ACVR1C|130399	25.2909	ACVR1C|130399	15144.7743
ACVR1|90	813.8831	ACVR1|90	1202.5214
ACVR2A|92	112.4638	ACVR2A|92	573.8105
ACVR2B|93	453.6221	ACVR2B|93	387.5559
ACVRL1|94	197.4844	ACVRL1|94	1417.6495
ACY1|95	632.2728	ACY1|95	1076.0472
ACYP1|97	63.2273	ACYP1|97	39.4469
ACYP2|98	161.1623	ACYP2|98	253.355
ADAL|161823	241.3399	ADAL|161823	376.5758
ADAM10|102	1885.5183	ADAM10|102	1382.2692
