gene_id	TCGA-A7-A13G-01A-11R-A13Q-07	gene_id	TCGA-A7-A13G-11A-51R-A13Q-07
DDX50|79009	925.8088	DDX50|79009	1076.0472
DDX51|317781	316.6745	DDX51|317781	282.2285
DDX52|11056	629.0442	DDX52|11056	520.9435
DDX54|79039	1119.1982	DDX54|79039	527.8569
DDX55|57696	417.031	DDX55|57696	380.2359
DDX56|54606	2177.44	DDX56|54606	958.1131
DDX58|23586	738.5485	DDX58|23586	1258.2351
DDX59|83479	884.9129	DDX59|83479	448.1497
DDX5|1655	14853.5683	DDX5|1655	10987.3932
DDX60L|91351	419.7215	DDX60L|91351	969.4998
DDX60|55601	636.5777	DDX60|55601	1157.381
DDX6|1656	4972.6239	DDX6|1656	4698.657999999999
DEAF1|10522	687.9666	DEAF1|10522	228.5482
DECR1|1666	1059.2588	DECR1|1666	4554.697
DECR2|26063	688.5047	DECR2|26063	280.1952
DEDD2|162989	386.3591	DEDD2|162989	170.3945
DEDD|9191	1418.0938	DEDD|9191	1144.4489999999998
DEF6|50619	292.1908	DEF6|50619	44.7336
DEF8|54849	405.4618	DEF8|54849	674.6645
DEFB132|400830	16.6812	DEFB132|400830	1842.2123
lowly_expressed	lowly_expressed	DEFB1|1672	103.7007
DEGS1|8560	1545.4362	DEGS1|8560	1668.9711
DEGS2|123099	978.8121	DEGS2|123099	8.1334
DEK|7913	1548.3958	DEK|7913	2240.3416
DEM1|64789	181.6103	DEM1|64789	75.6405
DENND1A|57706	831.6405	DENND1A|57706	550.6303
DENND1B|163486	3728.5263	DENND1B|163486	75.2338
DENND1C|79958	164.3909	DENND1C|79958	20.7401
DENND2A|27147	29.5957	DENND2A|27147	826.7588
DENND2C|163259	30.75	DENND2C|163259	94.4042
DENND2D|79961	1156.1176	DENND2D|79961	755.185
DENND3|22898	287.6169	DENND3|22898	724.2782
DENND4A|10260	651.9997	DENND4A|10260	676.4701
DENND4B|9909	818.1637	DENND4B|9909	849.1053
DENND4C|55667	1660.0525	DENND4C|55667	2800.732
DENND5A|23258	1800.7668	DENND5A|23258	3440.4229
DENND5B|160518	345.4631	DENND5B|160518	901.1793
DENR|8562	1893.5898	DENR|8562	1187.0679
DEPDC1B|55789	32.8244	DEPDC1B|55789	5.2867
DEPDC1|55635	87.44200000000001	lowly_expressed	lowly_expressed
DEPDC4|120863	13.1836	DEPDC4|120863	9.7601
DEPDC5|9681	527.3424	DEPDC5|9681	220.4148
DEPDC6|64798	743.6605	DEPDC6|64798	422.5295
DEPDC7|91614	23.6766	DEPDC7|91614	14.2334
DERA|51071	414.0714	DERA|51071	503.8634
DERL1|79139	2097.2624	DERL1|79139	2751.1183
DERL2|51009	763.3013	DERL2|51009	605.124
DERL3|91319	39.2816	DERL3|91319	13.8268
lowly_expressed	lowly_expressed	DES|1674	348.5157
DET1|55070	119.1902	DET1|55070	232.6149
DEXI|28955	716.7552	DEXI|28955	613.2574
DFFA|1676	419.1834	DFFA|1676	435.9496
DFFB|1677	132.3737	DFFB|1677	92.7206
DFNA5|1687	72.6441	DFNA5|1687	298.0887
DFNB31|25861	791.5518	DFNB31|25861	79.7072
DFNB59|494513	50.5818	DFNB59|494513	70.3538
DGAT1|8694	540.4426	DGAT1|8694	4696.8361
DGAT2|84649	319.9031	DGAT2|84649	23562.4237
DGCR11|25786	21.5242	DGCR11|25786	21.1468
DGCR14|8220	281.1596	DGCR14|8220	193.9813
DGCR2|9993	3233.7392	DGCR2|9993	1631.1509
DGCR5|26220	11.8383	lowly_expressed	lowly_expressed
DGCR6L|85359	570.3908	DGCR6L|85359	290.3619
DGCR6|8214	394.6997	DGCR6|8214	260.2684
DGCR8|54487	935.2257	DGCR8|54487	437.5763
DGCR9|25787	26.3671	lowly_expressed	lowly_expressed
DGKA|1606	428.6003	DGKA|1606	195.608
lowly_expressed	lowly_expressed	DGKB|1607	6.5067
DGKD|8527	1917.8045	DGKD|8527	588.8573
DGKE|8526	153.0907	DGKE|8526	366.4091
lowly_expressed	lowly_expressed	DGKG|1608	40.2603
DGKH|160851	189.9509	DGKH|160851	91.9073
DGKI|9162	14.2598	DGKI|9162	30.5002
DGKQ|1609	467.8819	DGKQ|1609	122.8142
DGKZ|8525	705.7241	DGKZ|8525	386.3359
DGUOK|1716	569.3146	DGUOK|1716	418.4628
DHCR24|1718	15900.4507	DHCR24|1718	5157.380999999999
DHCR7|1717	760.0726	DHCR7|1717	519.3168
DHDDS|79947	930.1137	DHDDS|79947	2442.863
DHDH|27294	21.2551	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DHDPSL|112817	302.1635
DHFRL1|200895	423.0228	DHFRL1|200895	273.6966
DHFR|1719	202.3838	DHFR|1719	560.6751
lowly_expressed	lowly_expressed	DHH|50846	6.9134
DHODH|1723	67.8012	DHODH|1723	200.488
DHPS|1725	764.6465	DHPS|1725	617.3241
DHRS11|79154	134.2571	DHRS11|79154	405.4494
DHRS12|79758	250.4877	DHRS12|79758	579.9105
DHRS13|147015	229.7276	DHRS13|147015	35.9496
DHRS1|115817	337.9296	DHRS1|115817	344.0423
DHRS2|10202	117.0377	lowly_expressed	lowly_expressed
DHRS3|9249	553.1715	DHRS3|9249	6169.5811
DHRS4L1|728635	23.4075	DHRS4L1|728635	9.3534
DHRS4L2|317749	266.0174	DHRS4L2|317749	335.795
DHRS4|10901	530.7137	DHRS4|10901	578.4669
DHRS7B|25979	276.3167	DHRS7B|25979	414.8028
DHRS7|51635	3174.2786	DHRS7|51635	1203.7414
DHRS9|10170	9.1478	DHRS9|10170	108.9874
DHRSX|207063	475.9535	DHRSX|207063	410.3294
DHTKD1|55526	1338.535	DHTKD1|55526	1915.0061
DHX15|1665	3937.5799	DHX15|1665	2298.4953
DHX16|8449	853.7028	DHX16|8449	570.9638
DHX29|54505	1902.4686	DHX29|54505	1132.9809
DHX30|22907	1773.8616	DHX30|22907	928.8329
DHX32|55760	1813.1513	DHX32|55760	718.4791
DHX33|56919	443.3981	DHX33|56919	347.2956
DHX34|9704	618.5512	DHX34|9704	126.4742
DHX35|60625	273.3571	DHX35|60625	299.7153
DHX36|170506	931.7280000000001	DHX36|170506	1110.6141
DHX37|57647	494.7871	DHX37|57647	187.0679
DHX38|9785	602.139	DHX38|9785	841.8056
DHX40|79665	1836.8198	DHX40|79665	1677.1045
DHX57|90957	564.4716	DHX57|90957	638.0643
DHX58|79132	526.2662	DHX58|79132	284.6686
DHX8|1659	1414.9459	DHX8|1659	880.8459
DHX9|1660	7028.4523	DHX9|1660	3243.1883
DIABLO|56616	757.6808	DIABLO|56616	486.7995
DIAPH1|1729	3288.0877	DIAPH1|1729	1430.6629
DIAPH2|1730	96.5898	DIAPH2|1730	828.3855
DIAPH3|81624	90.6706	DIAPH3|81624	8.5401
DICER1|23405	3009.8877	DICER1|23405	3329.8089
DIDO1|11083	2643.9766	DIDO1|11083	1425.7828
DIMT1L|27292	349.2298	DIMT1L|27292	389.5893
DIO1|1733	1417.9054	lowly_expressed	lowly_expressed
DIO2|1734	262.595	DIO2|1734	27.6535
lowly_expressed	lowly_expressed	DIO3OS|64150	17.1208
lowly_expressed	lowly_expressed	DIO3|1735	84.1806
DIP2A|23181	860.1601	DIP2A|23181	769.0118
DIP2B|57609	2110.715	DIP2B|57609	1372.9158
DIP2C|22982	994.4172	DIP2C|22982	2178.1212
DIRAS1|148252	15.0669	DIRAS1|148252	127.6942
DIRAS3|9077	8.8787	DIRAS3|9077	24.4002
DIRC2|84925	509.1868	DIRC2|84925	493.6763
lowly_expressed	lowly_expressed	DIRC3|729582	78.0805
DIS3L2|129563	435.0575	DIS3L2|129563	364.7824
DIS3L|115752	964.2833	DIS3L|115752	1554.2904
DIS3|22894	1330.3639	DIS3|22894	1773.0907
DISC1|27185	69.2083	DISC1|27185	200.0813
DISP1|84976	332.8176	DISP1|84976	265.1484
DISP2|85455	536.7593	DISP2|85455	102.8874
DIXDC1|85458	1631.5329	DIXDC1|85458	2426.1895
DKC1|1736	1015.6723	DKC1|1736	539.6503
DKFZP586I1420|222161	356.2252	DKFZP586I1420|222161	212.2814
DKFZP686I15217|401232	56.501000000000005	DKFZP686I15217|401232	66.2871
DKFZp686O24166|374383	241.878	DKFZp686O24166|374383	17.4868
DKFZp761E198|91056	350.5751	DKFZp761E198|91056	528.6702
lowly_expressed	lowly_expressed	DKFZp779M0652|374387	20.7401
lowly_expressed	lowly_expressed	DKK1|22943	6.9134
DKK2|27123	29.5957	DKK2|27123	128.9142
DKK3|27122	817.3808	DKK3|27122	507.1167
DKK4|27121	12.1074	lowly_expressed	lowly_expressed
DLAT|1737	1046.8824	DLAT|1737	1826.3522
DLC1|10395	430.4836	DLC1|10395	7831.6389
DLD|1738	979.0812	DLD|1738	5319.2355
lowly_expressed	lowly_expressed	DLEC1|9940	39.4469
DLEU1|10301	68.6083	DLEU1|10301	33.7536
DLEU2L|79469	5.9191	DLEU2L|79469	8.1334
DLEU2|8847	21.5	DLEU2|8847	34.086999999999996
DLG1|1739	2169.0859	DLG1|1739	2299.7153
DLG2|1740	21.2551	DLG2|1740	50.8337
DLG3|1741	1957.0862	DLG3|1741	134.6076
DLG4|1742	614.9432	DLG4|1742	130.9475
DLG5|9231	3705.6568	DLG5|9231	959.3331
DLGAP2|9228	8.0716	DLGAP2|9228	50.8337
DLGAP4|22839	1223.6497	DLGAP4|22839	1601.8707
DLGAP5|9787	86.3658	lowly_expressed	lowly_expressed
DLL1|28514	111.1186	DLL1|28514	101.6673
DLL4|54567	144.4811	DLL4|54567	708.0114
DLST|1743	1672.967	DLST|1743	5483.1232
DLX1|1745	19.6408	lowly_expressed	lowly_expressed
DLX2|1746	55.1557	lowly_expressed	lowly_expressed
DLX3|1747	57.3081	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DLX4|1748	6.9134
DMAP1|55929	572.5432	DMAP1|55929	407.4827
DMC1|11144	16.9503	DMC1|11144	19.9268
DMD|1756	69.1464	DMD|1756	4721.0248
DMGDH|29958	8.0716	DMGDH|29958	599.8373
DMKN|93099	214.4347	DMKN|93099	15.4534
DMPK|1760	529.4949	DMPK|1760	379.4225
lowly_expressed	lowly_expressed	DMRT2|10655	310.2887
DMRT3|58524	5.9191	DMRT3|58524	109.8007
lowly_expressed	lowly_expressed	DMRTA1|63951	147.2143
DMRTC1B|728656	61.0749	lowly_expressed	lowly_expressed
DMRTC1|63947	12.3764	lowly_expressed	lowly_expressed
DMTF1|9988	842.1605	DMTF1|9988	1235.5632
DMWD|1762	481.8726	DMWD|1762	409.1094
DMXL1|1657	1426.246	DMXL1|1657	2373.7292
DMXL2|23312	927.4232	DMXL2|23312	1133.7942
DNA2|1763	256.9449	DNA2|1763	69.5405
DNAH10|196385	46.0079	DNAH10|196385	22.3668
DNAH11|8701	7.1353	lowly_expressed	lowly_expressed
DNAH12|201625	19.9099	lowly_expressed	lowly_expressed
DNAH14|127602	371.5612	DNAH14|127602	14.2334
DNAH17|8632	19.3718	DNAH17|8632	26.4335
DNAH1|25981	270.1285	DNAH1|25981	814.9654
DNAH2|146754	134.7952	DNAH2|146754	10.5734
DNAH5|1767	1329.1182	lowly_expressed	lowly_expressed
DNAH6|1768	89.3254	DNAH6|1768	69.9471
DNAH7|56171	210.6679	DNAH7|56171	6.1
DNAH9|1770	12.3764	DNAH9|1770	442.86300000000006
DNAI1|27019	7.2644	lowly_expressed	lowly_expressed
DNAJA1|3301	2094.8409	DNAJA1|3301	1862.9524
DNAJA2|10294	996.0315	DNAJA2|10294	1977.2265
DNAJA3|9093	1718.1678	DNAJA3|9093	827.1655
DNAJA4|55466	1879.3301	DNAJA4|55466	812.1187
DNAJB11|51726	864.1959	DNAJB11|51726	551.4437
DNAJB12|54788	1489.2043	DNAJB12|54788	925.5795
DNAJB14|79982	506.8945	DNAJB14|79982	620.5775
DNAJB1|3337	2464.7878	DNAJB1|3337	3351.3623
DNAJB2|3300	1927.2214	DNAJB2|3300	854.4124
DNAJB4|11080	262.595	DNAJB4|11080	1148.0277
DNAJB5|25822	88.5182	DNAJB5|25822	170.3945
DNAJB6|10049	1298.4462	DNAJB6|10049	1444.0829999999999
DNAJB9|4189	499.361	DNAJB9|4189	857.6657
DNAJC10|54431	2680.2986	DNAJC10|54431	1766.5718
DNAJC11|55735	1037.2664	DNAJC11|55735	915.8072
DNAJC12|56521	3600.4574	DNAJC12|56521	14.2334
DNAJC13|23317	1829.0173	DNAJC13|23317	2479.4632
DNAJC14|85406	1747.6666	DNAJC14|85406	776.5433
DNAJC15|29103	811.9997	DNAJC15|29103	1072.3871
DNAJC16|23341	1784.3546	DNAJC16|23341	654.331
DNAJC17|55192	323.1318	DNAJC17|55192	99.9024
DNAJC18|202052	78.0252	DNAJC18|202052	281.4152
DNAJC19|131118	1002.7578	DNAJC19|131118	527.0435
DNAJC1|64215	2147.5752	DNAJC1|64215	444.8963
DNAJC21|134218	1413.3315	DNAJC21|134218	1229.3615
DNAJC22|79962	145.8263	lowly_expressed	lowly_expressed
DNAJC24|120526	363.7856	DNAJC24|120526	436.6124
DNAJC25|548645	295.6884	DNAJC25|548645	409.1094
DNAJC27|51277	206.09400000000002	DNAJC27|51277	261.8951
DNAJC28|54943	65.3797	DNAJC28|54943	42.7003
DNAJC2|27000	409.1747	DNAJC2|27000	403.1598
DNAJC30|84277	753.0773	DNAJC30|84277	446.9296
DNAJC3|5611	2900.6525	DNAJC3|5611	2158.6011
DNAJC4|3338	719.7767	DNAJC4|3338	419.26800000000003
DNAJC5|80331	3136.3422	DNAJC5|80331	1336.3156
lowly_expressed	lowly_expressed	DNAJC6|9829	57.7471
DNAJC7|7266	1941.4542	DNAJC7|7266	1441.8097
DNAJC8|22826	1488.6662	DNAJC8|22826	1890.6059
DNAJC9|23234	519.2359	DNAJC9|23234	300.9353
DNAL1|83544	982.0408	DNAL1|83544	581.1305
DNAL4|10126	803.9282	DNAL4|10126	197.2346
DNALI1|7802	1305.9797	DNALI1|7802	122.8142
DNASE1L1|1774	568.7926	DNASE1L1|1774	384.8556
DNASE1L2|1775	30.671999999999997	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DNASE1L3|1776	226.5148
DNASE1|1773	58.1153	DNASE1|1773	34.5669
DNASE2|1777	1991.7939	DNASE2|1777	945.0996
DND1|373863	72.2029	DND1|373863	36.6612
lowly_expressed	lowly_expressed	DNER|92737	23.5868
DNHD1|144132	293.536	DNHD1|144132	376.1692
DNLZ|728489	40.0888	DNLZ|728489	28.4669
DNM1L|10059	1489.7424	DNM1L|10059	1535.5836
DNM1P35|100128285	12.9145	DNM1P35|100128285	12.2001
DNM1|1759	171.9244	DNM1|1759	398.9427
DNM2|1785	2060.8677	DNM2|1785	1462.6108
DNM3|26052	54.8867	DNM3|26052	216.3481
DNMBP|23268	1129.5648	DNMBP|23268	802.1675
DNMT1|1786	1677.2718	DNMT1|1786	441.6429
DNMT3A|1788	513.3517	DNMT3A|1788	196.4213
DNMT3B|1789	56.501000000000005	DNMT3B|1789	30.9069
DNPEP|23549	1129.7505	DNPEP|23549	1289.5486
DNTTIP1|116092	393.3544	DNTTIP1|116092	170.8011
DNTTIP2|30836	1499.6973	DNTTIP2|30836	1265.1484
DOC2A|8448	47.7003	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DOC2B|8447	128.1009
DOCK10|55619	1242.2143	DOCK10|55619	297.682
DOCK11|139818	101.1637	DOCK11|139818	5898.3327
DOCK1|1793	2338.0642	DOCK1|1793	3179.7479
DOCK2|1794	166.2743	DOCK2|1794	333.8756
DOCK3|1795	8.6097	DOCK3|1795	32.5336
DOCK4|9732	288.155	DOCK4|9732	1078.4872
DOCK5|80005	679.6260000000001	DOCK5|80005	164.7011
DOCK6|57572	511.1993	DOCK6|57572	2300.9353
DOCK7|85440	863.1197	DOCK7|85440	1334.6889
DOCK8|81704	789.3993	DOCK8|81704	1444.7906
DOCK9|23348	2551.9607	DOCK9|23348	3744.205
DOHH|83475	97.666	DOHH|83475	57.3404
DOK1|1796	1467.9491	DOK1|1796	525.4168
DOK2|9046	14.2598	DOK2|9046	119.1541
DOK3|79930	101.4327	DOK3|79930	76.0472
DOK4|55715	269.3213	DOK4|55715	192.7613
DOK5|55816	10.224	DOK5|55816	56.527
DOK6|220164	18.5646	DOK6|220164	57.3404
DOK7|285489	32.2863	lowly_expressed	lowly_expressed
DOLK|22845	493.7109	DOLK|22845	493.29
DOLPP1|57171	481.8726	DOLPP1|57171	276.9418
DOM3Z|1797	269.246	DOM3Z|1797	147.4095
DONSON|29980	186.6093	DONSON|29980	144.327
DOPEY1|23033	793.0477	DOPEY1|23033	798.7719
DOPEY2|9980	2885.0474	DOPEY2|9980	395.6893
DOT1L|84444	566.0806	DOT1L|84444	278.96299999999997
DPAGT1|1798	1438.4879	DPAGT1|1798	601.8707
DPCD|25911	359.0933	DPCD|25911	67.6454
DPEP1|1800	9.1478	lowly_expressed	lowly_expressed
DPEP2|64174	8.6097	DPEP2|64174	32.5336
DPF2|5977	1157.7319	DPF2|5977	987.3932
lowly_expressed	lowly_expressed	DPF3|8110	24.8068
DPH1|1801	679.365	DPH1|1801	450.4473
DPH2|1802	508.7778	DPH2|1802	203.3347
DPH3B|100132911	21.2551	DPH3B|100132911	30.0935
DPH3|285381	559.3597	DPH3|285381	926.7995
DPH5|51611	409.3469	DPH5|51611	449.6259
DPM1|8813	434.5194	DPM1|8813	562.8304
DPM2|8818	942.7591	DPM2|8818	343.22900000000004
DPM3|54344	505.5492	DPM3|54344	149.6543
DPP3|10072	1456.0005	DPP3|10072	231.8015
DPP4|1803	23.1385	DPP4|1803	758.0317
lowly_expressed	lowly_expressed	DPP6|1804	100.854
DPP7|29952	2099.4148	DPP7|29952	796.6653
DPP8|54878	738.5485	DPP8|54878	891.0126
DPP9|91039	1236.2952	DPP9|91039	820.6588
DPT|1805	78.5633	DPT|1805	5435.9496
DPY19L1|23333	172.4625	DPY19L1|23333	747.0516
lowly_expressed	lowly_expressed	DPY19L2P2|349152	16.6734
DPY19L2P4|442523	10.7621	DPY19L2P4|442523	8.1334
DPY19L2|283417	6.7263	DPY19L2|283417	194.388
DPY19L3|147991	684.738	DPY19L3|147991	487.1899
DPY19L4|286148	1063.0255	DPY19L4|286148	1632.7776
DPY30|84661	706.5581	DPY30|84661	321.1631
DPYD|1806	132.9118	DPYD|1806	1695.8113
DPYSL2|1808	707.8765	DPYSL2|1808	6197.6413
DPYSL3|1809	1650.3666	DPYSL3|1809	3805.2054
DPYSL4|10570	117.3068	lowly_expressed	lowly_expressed
DR1|1810	949.2164	DR1|1810	1283.8552
DRAM1|55332	136.6785	DRAM1|55332	620.9841
DRAM2|128338	1725.4322	DRAM2|128338	3400.5693
DRAP1|10589	701.4193	DRAP1|10589	289.1419
lowly_expressed	lowly_expressed	DRD1|1812	7.32
lowly_expressed	lowly_expressed	DRD2|1813	5.2867
DRD4|1815	5.9191	lowly_expressed	lowly_expressed
DRG1|4733	1177.9108	DRG1|4733	1630.3375
DRG2|1819	591.1078	DRG2|1819	529.8902
DRP2|1821	11.0311	DRP2|1821	8.9467
DSC2|1824	285.1954	DSC2|1824	627.4908
DSC3|1825	110.3114	DSC3|1825	38.6336
lowly_expressed	lowly_expressed	DSCAML1|57453	6.9134
DSCC1|79075	101.9708	DSCC1|79075	95.5673
DSCR3|10311	1072.9804	DSCR3|10311	1316.3888
DSCR6|53820	47.3532	lowly_expressed	lowly_expressed
DSEL|92126	102.5089	DSEL|92126	1357.0557
DSE|29940	390.7231	DSE|29940	2809.3087
lowly_expressed	lowly_expressed	DSG1|1828	6.5067
DSG2|1829	2875.3535	DSG2|1829	3530.2643
DSG3|1830	76.1418	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DSG4|147409	8.9467
DSN1|79980	427.255	DSN1|79980	278.1619
DSP|1832	18611.6903	DSP|1832	187.0679
DSTN|11034	9417.3673	DSTN|11034	6664.9044
DSTYK|25778	1174.1441	DSTYK|25778	915.4128
DST|667	5485.7066	DST|667	7488.0033
DTD1|92675	222.2372	DTD1|92675	311.5087
DTL|51514	383.1304	DTL|51514	10.5734
DTNA|1837	452.0078	DTNA|1837	414.8028
DTNBP1|84062	419.9906	DTNBP1|84062	254.575
DTNB|1838	786.1707	DTNB|1838	112.2407
DTWD1|56986	409.4975	DTWD1|56986	690.1179
DTWD2|285605	387.9734	DTWD2|285605	224.4815
DTX1|1840	156.0503	DTX1|1840	979.2599
DTX2|113878	223.3134	DTX2|113878	191.5413
DTX3L|151636	2498.6668	DTX3L|151636	1845.0427
DTX3|196403	1023.4748	DTX3|196403	156.9744
DTX4|23220	210.1298	DTX4|23220	1227.7349
DTYMK|1841	377.7494	DTYMK|1841	156.9744
DULLARD|23399	1598.9776	DULLARD|23399	2075.6405
DUOX1|53905	1255.3979	DUOX1|53905	67.1004
DUOX2|50506	311.0244	DUOX2|50506	8.1334
DUOXA1|90527	310.2738	DUOXA1|90527	7.7267
DUOXA2|405753	23.8892	lowly_expressed	lowly_expressed
DUS1L|64118	1329.3872	DUS1L|64118	558.3571
DUS2L|54920	120.5354	DUS2L|54920	137.0476
DUS3L|56931	227.3492	DUS3L|56931	123.6275
DUS4L|11062	72.1733	DUS4L|11062	167.9463
DUSP10|11221	403.5784	DUSP10|11221	148.0277
DUSP11|8446	379.0946	DUSP11|8446	373.3225
DUSP12|11266	445.8196	DUSP12|11266	232.6149
DUSP14|11072	427.524	DUSP14|11072	768.1985
DUSP15|128853	18.0265	lowly_expressed	lowly_expressed
DUSP16|80824	3370.9558	DUSP16|80824	757.6251
DUSP18|150290	200.9847	DUSP18|150290	131.3501
DUSP19|142679	54.6176	DUSP19|142679	115.4941
DUSP1|1843	703.0336	DUSP1|1843	14707.198
DUSP22|56940	351.3823	DUSP22|56940	1472.9565
DUSP23|54935	592.7221	DUSP23|54935	337.1289
DUSP27|92235	5.112	DUSP27|92235	6.9134
DUSP28|285193	142.3286	DUSP28|285193	80.5205
DUSP2|1844	66.1869	DUSP2|1844	43.107
DUSP3|1845	1550.5482	DUSP3|1845	2253.355
DUSP4|1846	997.6458	DUSP4|1846	1992.2733
DUSP5|1847	1602.2062	DUSP5|1847	208.2147
DUSP6|1848	377.7494	DUSP6|1848	7045.547
DUSP7|1849	240.2637	DUSP7|1849	537.2102
DUSP8|1850	582.7672	DUSP8|1850	157.381
DUT|1854	696.544	DUT|1854	920.0325
DVL1|1855	1032.8916	DVL1|1855	408.7027
DVL2|1856	551.5571	DVL2|1856	375.3558
DVL3|1857	1583.3726	DVL3|1857	1453.8429999999998
DYDC2|84332	18.9413	lowly_expressed	lowly_expressed
DYM|54808	900.7869999999999	DYM|54808	882.8792
DYNC1H1|1778	11787.7178	DYNC1H1|1778	10358.6824
DYNC1I1|1780	9.1478	DYNC1I1|1780	65.0671
DYNC1I2|1781	3338.9386	DYNC1I2|1781	2330.6222
DYNC1LI1|51143	1412.7934	DYNC1LI1|51143	727.9382
DYNC1LI2|1783	2063.8999	DYNC1LI2|1783	4779.5852
DYNC2H1|79659	1365.9783	DYNC2H1|79659	1503.4567
DYNC2LI1|51626	767.6061	DYNC2LI1|51626	411.5494
DYNLL1|8655	3260.9134	DYNLL1|8655	2149.2477
DYNLL2|140735	1248.9406	DYNLL2|140735	1559.5771
DYNLRB1|83658	1814.7575	DYNLRB1|83658	1479.0565
DYNLRB2|83657	84.7515	lowly_expressed	lowly_expressed
DYNLT1|6993	1642.295	DYNLT1|6993	556.7304
DYNLT3|6990	902.6703	DYNLT3|6990	777.1452
DYRK1A|1859	1915.114	DYRK1A|1859	1685.2379
DYRK1B|9149	510.9302	DYRK1B|9149	302.562
DYRK2|8445	382.5923	DYRK2|8445	487.1899
DYRK3|8444	248.6043	DYRK3|8444	238.3083
DYRK4|8798	261.2497	DYRK4|8798	148.0277
DYSF|8291	273.8952	lowly_expressed	lowly_expressed
DYX1C1|161582	170.8482	DYX1C1|161582	14.2334
DZIP1L|199221	18.5646	DZIP1L|199221	55.306999999999995
DZIP1|22873	90.1325	DZIP1|22873	334.8434
DZIP3|9666	625.4497	DZIP3|9666	683.2046
E2F1|1869	155.5122	E2F1|1869	19.1135
E2F2|1870	50.8509	E2F2|1870	8.5401
E2F3|1871	358.9157	E2F3|1871	226.5148
E2F4|1874	435.8647	E2F4|1874	823.5055
E2F5|1875	77.9014	E2F5|1875	31.3745
E2F6|1876	260.4426	E2F6|1876	309.8821
E2F7|144455	20.1789	lowly_expressed	lowly_expressed
E2F8|79733	12.9145	lowly_expressed	lowly_expressed
E4F1|1877	560.7049	E4F1|1877	120.3741
EAF1|85403	1632.3401	EAF1|85403	742.1716
EAF2|55840	34.7077	EAF2|55840	31.7202
EAPP|55837	1059.7969	EAPP|55837	760.4717
EARS2|124454	1317.818	EARS2|124454	502.6434
EBAG9|9166	475.9535	EBAG9|9166	668.9711
EBF1|1879	98.2041	EBF1|1879	4691.3379
EBF2|64641	10.7621	EBF2|64641	411.1427
EBF3|253738	35.5149	EBF3|253738	1671.0045
EBF4|57593	132.6428	EBF4|57593	52.867
EBI3|10148	20.717	EBI3|10148	32.9402
EBNA1BP2|10969	1407.7137	EBNA1BP2|10969	394.0626
EBPL|84650	438.0171	EBPL|84650	263.5218
EBP|10682	454.1602	EBP|10682	250.1017
ECD|11319	796.1256	ECD|11319	591.7039
ECE1|1889	5382.3905	ECE1|1889	7258.2351
ECE2|9718	77.218	ECE2|9718	14.2334
lowly_expressed	lowly_expressed	ECEL1|9427	11.7934
ECH1|1891	3033.1634	ECH1|1891	5401.3827
ECHDC1|55862	327.7057	ECHDC1|55862	3518.5035
ECHDC2|55268	1650.0975	ECHDC2|55268	1553.477
ECHDC3|79746	478.644	ECHDC3|79746	3129.3209
ECHS1|1892	2113.4055	ECHS1|1892	15124.4408
ECM1|1893	1671.3527	ECM1|1893	876.7792
ECM2|1842	247.25900000000001	ECM2|1842	6921.1061
ECSCR|641700	42.7793	ECSCR|641700	311.1021
ECSIT|51295	485.9084	ECSIT|51295	602.684
ECT2L|345930	72.9132	ECT2L|345930	5.2867
ECT2|1894	671.8235	ECT2|1894	185.4412
EDA2R|60401	44.1246	EDA2R|60401	70.7605
EDARADD|128178	44.6627	EDARADD|128178	17.0801
EDA|1896	42.2412	EDA|1896	207.8081
EDC3|80153	920.6968	EDC3|80153	731.5982
EDC4|23644	938.0857	EDC4|23644	766.0797
EDEM1|9695	3401.8968	EDEM1|9695	1518.9101
EDEM2|55741	622.856	EDEM2|55741	466.4498
EDEM3|80267	6832.3132	EDEM3|80267	1864.9858
EDF1|8721	3922.5129	EDF1|8721	1434.7296
EDIL3|10085	225.1967	EDIL3|10085	244.0016
EDN1|1906	108.15899999999999	EDN1|1906	617.7308
EDN2|1907	80.7157	lowly_expressed	lowly_expressed
EDNRA|1909	383.9376	EDNRA|1909	700.6913
EDNRB|1910	135.0642	EDNRB|1910	1440.0163
EEA1|8411	855.3171	EEA1|8411	1783.2452
EED|8726	280.8906	EED|8726	327.7755
EEF1A1P9|441032	7081.1865	EEF1A1P9|441032	8822.2855
EEF1A1|1915	115229.4343	EEF1A1|1915	137164.2944
EEF1A2|1917	1291.4509	lowly_expressed	lowly_expressed
EEF1B2|1933	3232.3939	EEF1B2|1933	4220.8215
EEF1DP3|196549	9.5433	lowly_expressed	lowly_expressed
EEF1D|1936	6477.1642	EEF1D|1936	2941.0329
EEF1E1|9521	199.6368	EEF1E1|9521	135.0142
EEF1G|1937	15042.712	EEF1G|1937	15462.7898
EEF2K|29904	1755.566	EEF2K|29904	2472.1431
EEF2|1938	64142.0596	EEF2|1938	63342.0089
EEFSEC|60678	373.5279	EEFSEC|60678	318.4018
EEPD1|80820	397.6592	EEPD1|80820	940.2196
