gene_id	TCGA-A7-A0D9-01A-31R-A056-07	gene_id	TCGA-A7-A0D9-11A-53R-A089-07
ACACA|31	1141.6221	ACACA|31	3095.723
ACACB|32	1510.0865	ACACB|32	15134.9287
ACAD10|80724	745.986	ACAD10|80724	631.3646
ACAD11|84129	478.7649	ACAD11|84129	1608.4521
ACAD8|27034	547.5504	ACAD8|27034	456.2118
ACAD9|28976	1058.872	ACAD9|28976	1304.4756
ACADL|33	8.6455	ACADL|33	680.2444
ACADM|34	925.8954	ACADM|34	2004.0733
ACADSB|36	1578.4273	ACADSB|36	1428.7169
ACADS|35	223.9605	ACADS|35	1576.3747
ACADVL|37	2485.7925	ACADVL|37	7975.0255
ACAN|176	67.1058	ACAN|176	6.11
ACAP1|9744	12.3508	ACAP1|9744	38.6965
ACAP2|23527	1293.1247	ACAP2|23527	1550.4073
ACAP3|116983	885.5496	ACAP3|116983	429.2261
ACAT1|38	1987.2375	ACAT1|38	3866.0896
ACAT2|39	456.8506	ACAT2|39	337.9124
ACBD3|64746	1474.2692	ACBD3|64746	1124.2363
ACBD4|79777	383.697	ACBD4|79777	359.9796
ACBD5|91452	1268.4232	ACBD5|91452	1163.9511
ACBD6|84320	466.4471	ACBD6|84320	368.6354
ACBD7|414149	25.9366	ACBD7|414149	8.6558
ACCN1|40	12.3508	lowly_expressed	lowly_expressed
ACCN2|41	275.422	ACCN2|41	79.4297
ACCN3|9311	16.8794	ACCN3|9311	10.1833
ACCS|84680	334.2939	ACCS|84680	335.5397
ACD|65057	250.3088	ACD|65057	206.2118
lowly_expressed	lowly_expressed	ACE2|59272	49.389
ACER2|340485	212.0214	ACER2|340485	349.2872
ACER3|55331	753.3965	ACER3|55331	976.0692
ACE|1636	2021.408	ACE|1636	1081.9756
ACHE|43	40.7575	ACHE|43	16.8024
ACIN1|22985	3654.5904	ACIN1|22985	2411.9145
ACLY|47	4128.0362	ACLY|47	2682.7902
ACN9|57001	172.9107	ACN9|57001	125.2546
