gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
ACACB|32	386.5765	ACACB|32	11975.9507
ACAD10|80724	827.2633	ACAD10|80724	425.3924
ACAD11|84129	330.1145	ACAD11|84129	676.505
ACAD8|27034	659.7294	ACAD8|27034	582.8063
ACAD9|28976	982.1878	ACAD9|28976	987.2726
ACADL|33	32.7784	ACADL|33	356.3676
ACADM|34	1817.3777	ACADM|34	1600.3748
ACADSB|36	1442.5078	ACADSB|36	1614.7419
ACADS|35	135.5359	ACADS|35	857.9683
ACADVL|37	2071.7716	ACADVL|37	5184.3398
ACAN|176	59.0531	lowly_expressed	lowly_expressed
ACAP1|9744	27.8356	ACAP1|9744	101.1947
ACAP2|23527	1034.8595	ACAP2|23527	1855.8601
ACAP3|116983	803.8658	ACAP3|116983	305.5017
ACAT1|38	2505.9834	ACAT1|38	3018.3493
ACAT2|39	452.1826	ACAT2|39	292.996
ACBD3|64746	2437.8252	ACBD3|64746	1534.4733
ACBD4|79777	41.103	ACBD4|79777	237.3702
ACBD5|91452	953.9542	ACBD5|91452	978.215
ACBD6|84320	604.5786	ACBD6|84320	294.5264
ACBD7|414149	152.7055	ACBD7|414149	83.0796
ACCN1|40	57.232	ACCN1|40	5.3096
ACCN2|41	66.5973	ACCN2|41	145.2331
ACCN3|9311	6.7638	lowly_expressed	lowly_expressed
ACCS|84680	224.5057	ACCS|84680	322.3237
ACD|65057	249.7399	ACD|65057	217.6934
ACE2|59272	12.7471	ACE2|59272	18.7398
ACER2|340485	15.6087	ACER2|340485	436.6362
ACER3|55331	439.9063	ACER3|55331	1036.6206
ACE|1636	426.3788	ACE|1636	686.8119
lowly_expressed	lowly_expressed	ACHE|43	5.3096
ACIN1|22985	2209.6774	ACIN1|22985	2561.0994
ACLY|47	3083.5068	ACLY|47	3143.5933
ACMSD|130013	62.6951	lowly_expressed	lowly_expressed
ACN9|57001	221.1238	ACN9|57001	131.4906
ACO1|48	768.4703	ACO1|48	6179.1208
ACO2|50	1835.1119	ACO2|50	2702.2129
