gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
ACADSB|36	4757.8296	ACADSB|36	3691.6632
ACADS|35	398.3977	ACADS|35	129.0323
ACADVL|37	2173.7072	ACADVL|37	2127.7755
ACAN|176	34.9599	ACAN|176	9.6355
ACAP1|9744	18.2083	ACAP1|9744	14.2438
ACAP2|23527	1144.5739	ACAP2|23527	1982.8236
ACAP3|116983	199.5666	ACAP3|116983	121.9103
ACAT1|38	779.6795	ACAT1|38	1552.1575
ACAT2|39	517.4217	ACAT2|39	175.3247
ACBD3|64746	1853.2411	ACBD3|64746	2238.7935
ACBD4|79777	304.0787	ACBD4|79777	120.2346
ACBD5|91452	1184.9964	ACBD5|91452	1020.9468
ACBD6|84320	299.7087	ACBD6|84320	237.5367
ACBD7|414149	38.2374	ACBD7|414149	57.3942
ACCN1|40	248.7254	ACCN1|40	11.3113
ACCN2|41	8.0117	ACCN2|41	40.6368
ACCS|84680	125.2731	ACCS|84680	89.2333
ACD|65057	249.4538	ACD|65057	289.0658
lowly_expressed	lowly_expressed	ACE2|59272	18.0142
ACER1|125981	6.9192	lowly_expressed	lowly_expressed
ACER2|340485	119.0823	ACER2|340485	63.6783
ACER3|55331	264.7487	ACER3|55331	520.7373
ACE|1636	483.6125	ACE|1636	197.7377
lowly_expressed	lowly_expressed	ACHE|43	6.703
ACIN1|22985	1874.3627	ACIN1|22985	1667.3649
ACLY|47	3751.6387	ACLY|47	1803.5191
ACMSD|130013	83.0299	lowly_expressed	lowly_expressed
ACN9|57001	105.6082	ACN9|57001	484.7088
ACO1|48	1468.6817	ACO1|48	2351.0683
ACO2|50	2835.4771	ACO2|50	910.532
ACOT11|26027	67.0066	ACOT11|26027	12.1491
ACOT13|55856	764.8908	ACOT13|55856	690.4608
ACOT1|641371	1190.4588	ACOT1|641371	369.5015
ACOT2|10965	663.5106	ACOT2|10965	241.3071
ACOT4|122970	916.606	ACOT4|122970	152.0737
ACOT6|641372	12.7458	ACOT6|641372	7.9598
ACOT7|11332	396.2127	ACOT7|11332	153.7495
ACOT8|10005	329.461	ACOT8|10005	161.1353
ACOT9|23597	127.094	ACOT9|23597	455.3833
ACOX1|51	2253.8092	ACOX1|51	1857.9807
ACOX2|8309	831.3911	ACOX2|8309	201.0892
ACOX3|8310	495.2658	ACOX3|8310	358.6091
ACP1|52	2355.4261	ACP1|52	2167.5744
ACP2|53	1435.1784	ACP2|53	599.0783
ACP5|54	1625.2731	ACP5|54	329.7026
ACP6|51205	186.453	ACP6|51205	171.7637
ACPL2|92370	272.3962	ACPL2|92370	574.7801
ACPP|55	49.1624	ACPP|55	25.1362
ACRBP|84519	21.4858	ACRBP|84519	5.0272
lowly_expressed	lowly_expressed	ACRC|93953	21.7847
ACR|49	5.8267	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSBG1|23205	15.9196
lowly_expressed	lowly_expressed	ACSBG2|81616	5.4462
ACSF2|80221	983.9767	ACSF2|80221	463.3431
ACSF3|197322	203.2047	ACSF3|197322	81.2736
ACSL1|2180	458.4851	ACSL1|2180	7581.483
ACSL3|2181	2993.0808	ACSL3|2181	3174.2773
ACSL4|2182	369.6286	ACSL4|2182	2550.0628
ACSL5|51703	204.2972	ACSL5|51703	1173.4395
ACSM1|116285	61.5441	ACSM1|116285	20.9468
lowly_expressed	lowly_expressed	ACSM2A|123876	5.8651
ACSM3|6296	104.2862	ACSM3|6296	189.8659
ACSM5|54988	16.0233	ACSM5|54988	62.4214
ACSS1|84532	564.0932	ACSS1|84532	408.0436
ACSS2|55902	845.2294	ACSS2|55902	1490.5739
ACSS3|79611	327.0211	ACSS3|79611	269.3758
ACTA1|58	8.3758	ACTA1|58	12.987
ACTA2|59	2831.0342	ACTA2|59	38065.3582
lowly_expressed	lowly_expressed	ACTBL2|345651	14.2438
ACTB|60	66726.8755	ACTB|60	129068.2866
lowly_expressed	lowly_expressed	ACTC1|70	27.2308
ACTG1|71	68122.3598	ACTG1|71	57344.3653
ACTG2|72	103.7873	ACTG2|72	8959.3632
ACTL6A|86	1223.9621	ACTL6A|86	1002.0947
ACTN1|87	3068.4632	ACTN1|87	7086.7197
ACTN4|81	9207.2724	ACTN4|81	4851.9229
ACTR10|55860	1388.9294	ACTR10|55860	2411.814
ACTR1A|10121	2396.941	ACTR1A|10121	1649.3506
ACTR1B|10120	1032.4108	ACTR1B|10120	471.7218
ACTR2|10097	7879.461	ACTR2|10097	6782.5723
ACTR3B|57180	211.5805	ACTR3B|57180	152.9116
ACTR3C|653857	19.3008	ACTR3C|653857	51.9481
