gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
ACADM|34	1009.2656	ACADM|34	1228.1746
ACADSB|36	2914.5504	ACADSB|36	3614.418
ACADS|35	653.3974	ACADS|35	836.9709
ACADVL|37	6188.1126	ACADVL|37	6207.6323
ACAN|176	321.208	ACAN|176	53.9021
ACAP1|9744	17.1585	ACAP1|9744	65.1455
ACAP2|23527	1223.7474	ACAP2|23527	1445.7672
ACAP3|116983	359.3205	ACAP3|116983	489.5172
ACAT1|38	1451.6129	ACAT1|38	1650.1323
ACAT2|39	344.0975	ACAT2|39	285.4828
ACBD3|64746	1521.6198	ACBD3|64746	1387.8968
ACBD4|79777	473.919	ACBD4|79777	297.2884
ACBD5|91452	788.2636	ACBD5|91452	803.9021
ACBD6|84320	396.3624	ACBD6|84320	277.4471
ACBD7|414149	20.2471	ACBD7|414149	23.4788
ACCN1|40	30.5422	lowly_expressed	lowly_expressed
ACCN2|41	10.9815	ACCN2|41	76.3889
lowly_expressed	lowly_expressed	ACCN3|9311	8.5979
ACCS|84680	208.9911	ACCS|84680	320.1058
ACD|65057	342.4846	ACD|65057	318.7831
lowly_expressed	lowly_expressed	ACE2|59272	19.1799
ACER2|340485	93.3425	ACER2|340485	223.545
ACER3|55331	418.3253	ACER3|55331	459.9868
ACE|1636	551.8188	ACE|1636	520.172
lowly_expressed	lowly_expressed	ACHE|43	41.9974
ACIN1|22985	2906.3143	ACIN1|22985	3459.3254
ACLY|47	3694.5779	ACLY|47	3422.9497
ACMSD|130013	39.8078	ACMSD|130013	5.9524
ACN9|57001	83.0474	ACN9|57001	118.0556
ACO1|48	933.0817	ACO1|48	3180.2249
ACO2|50	2579.9142	ACO2|50	2540.9987
ACOT11|26027	281.0295	ACOT11|26027	25.4001
ACOT13|55856	474.65	ACOT13|55856	482.0966
ACOT1|641371	761.8394	ACOT1|641371	872.3545
ACOT2|10965	612.5601	ACOT2|10965	669.6429
ACOT4|122970	331.1599	ACOT4|122970	166.0053
ACOT6|641372	5.1476	ACOT6|641372	5.9524
ACOT7|11332	491.4207	ACOT7|11332	227.1825
ACOT8|10005	221.2148	ACOT8|10005	210.9755
ACOT9|23597	180.1647	ACOT9|23597	583.0026
ACOX1|51	1138.9568	ACOX1|51	2279.9471
ACOX2|8309	518.8744	ACOX2|8309	373.6772
ACOX3|8310	392.2443	ACOX3|8310	704.3651
ACP1|52	1172.2718	ACP1|52	968.5847
ACP2|53	810.2231	ACP2|53	725.5291
ACP5|54	750.1716	ACP5|54	720.8995
ACP6|51205	250.5148	ACP6|51205	208.3333
ACPL2|92370	451.9561	ACPL2|92370	458.9947
ACPP|55	31.2286	ACPP|55	43.6508
ACRBP|84519	13.7268	ACRBP|84519	21.164
ACRC|93953	15.7859	ACRC|93953	21.4947
lowly_expressed	lowly_expressed	ACR|49	6.2831
ACSBG1|23205	5.4907	ACSBG1|23205	12.2354
ACSF2|80221	1540.8373	ACSF2|80221	1000
ACSF3|197322	279.6843	ACSF3|197322	340.9392
ACSL1|2180	1111.1874	ACSL1|2180	10487.1032
ACSL3|2181	2589.9108	ACSL3|2181	3090.6085
ACSL4|2182	345.5731	ACSL4|2182	1828.373
ACSL5|51703	251.8874	ACSL5|51703	901.7857
ACSM1|116285	8.2361	ACSM1|116285	35.3836
ACSM3|6296	40.0172	ACSM3|6296	82.5298
ACSM5|54988	17.8449	ACSM5|54988	304.2328
ACSS1|84532	426.2183	ACSS1|84532	696.7593
ACSS2|55902	1134.8662	ACSS2|55902	2277.1164
ACSS3|79611	2126.9732	ACSS3|79611	660.0529
ACTA1|58	13.0405	ACTA1|58	97.5529
ACTA2|59	5260.4942	ACTA2|59	24108.3003
lowly_expressed	lowly_expressed	ACTBL2|345651	7.6058
ACTB|60	37171.9286	ACTB|60	69174.9339
ACTC1|70	22.9925	ACTC1|70	26.1243
ACTG1|71	60857.5841	ACTG1|71	48477.5132
ACTG2|72	126.6301	ACTG2|72	5865.0794
ACTL6A|86	962.5944	ACTL6A|86	713.6243
ACTN1|87	3145.8476	ACTN1|87	9381.6138
ACTN4|81	8700.1613	ACTN4|81	11576.1839
ACTR10|55860	959.5058	ACTR10|55860	1026.455
ACTR1A|10121	2186.3418	ACTR1A|10121	2488.0952
ACTR1B|10120	831.1599	ACTR1B|10120	1302.5794
ACTR2|10097	4948.5244	ACTR2|10097	4565.8069
ACTR3B|57180	112.2169	ACTR3B|57180	138.8889
ACTR3C|653857	23.6788	ACTR3C|653857	33.0688
ACTR3|10096	2303.7062	ACTR3|10096	2662.3677
ACTR5|79913	133.1503	ACTR5|79913	170.9656
ACTR6|64431	654.0837	ACTR6|64431	579.0344
ACTR8|93973	620.7962	ACTR8|93973	436.1772
ACVR1B|91	2855.1819	ACVR1B|91	1156.4153
ACVR1C|130399	5.4907	ACVR1C|130399	1175.9259
ACVR1|90	677.7625	ACVR1|90	1134.2593
ACVR2A|92	191.4894	ACVR2A|92	480.8201
ACVR2B|93	512.3542	ACVR2B|93	353.1746
ACVRL1|94	409.4029	ACVRL1|94	1000.9921
ACY1|95	1073.7817	ACY1|95	556.0615
lowly_expressed	lowly_expressed	ACY3|91703	8.9286
ACYP1|97	81.3315	ACYP1|97	59.1931
ACYP2|98	108.7852	ACYP2|98	154.4312
ADAL|161823	274.1935	ADAL|161823	203.7037
ADAM10|102	2616.6781	ADAM10|102	1743.7169
ADAM11|4185	7.5498	ADAM11|4185	12.8968
ADAM12|8038	713.1091	ADAM12|8038	511.5741
