gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
DOCK4|9732	355.1819	DOCK4|9732	758.5979
DOCK5|80005	128.3459	DOCK5|80005	440.8069
DOCK6|57572	768.7028	DOCK6|57572	1354.4974
DOCK7|85440	972.8895	DOCK7|85440	1359.7884
DOCK8|81704	625.2574	DOCK8|81704	1374.6229999999998
DOCK9|23348	1545.2986	DOCK9|23348	3041.0053
DOHH|83475	182.9101	DOHH|83475	150.463
DOK1|1796	549.4166	DOK1|1796	346.8915
DOK2|9046	36.0329	DOK2|9046	143.1878
DOK3|79930	84.7632	DOK3|79930	106.8122
DOK4|55715	185.3123	DOK4|55715	398.1481
DOK5|55816	45.9849	DOK5|55816	51.2566
DOK6|220164	33.2876	DOK6|220164	76.7196
DOK7|285489	166.4379	DOK7|285489	43.3201
DOLK|22845	409.7461	DOLK|22845	336.3095
DOLPP1|57171	307.4811	DOLPP1|57171	314.1534
DOM3Z|1797	346.0055	DOM3Z|1797	283.7467
DONSON|29980	130.0412	DONSON|29980	123.1812
DOPEY1|23033	671.0432	DOPEY1|23033	1135.2976
DOPEY2|9980	1176.0467	DOPEY2|9980	860.4497
DOT1L|84444	620.4496	DOT1L|84444	518.502
DPAGT1|1798	937.9719	DPAGT1|1798	746.4848
DPCD|25911	168.2464	DPCD|25911	180.4464
DPEP1|1800	9.2656	lowly_expressed	lowly_expressed
DPEP2|64174	17.5017	DPEP2|64174	40.6746
DPF2|5977	1063.1434	DPF2|5977	997.0238
lowly_expressed	lowly_expressed	DPF3|8110	35.7143
DPH1|1801	779.6294	DPH1|1801	698.6475
DPH2|1802	450.2402	DPH2|1802	357.8042
DPH3B|100132911	12.011	DPH3B|100132911	21.164
DPH3|285381	637.9547	DPH3|285381	730.1587
DPH5|51611	389.499	DPH5|51611	364.0873
DPM1|8813	504.4612	DPM1|8813	451.3889
DPM2|8818	871.9973	DPM2|8818	563.8228
DPM3|54344	251.2011	DPM3|54344	197.0899
DPP3|10072	1148.2498	DPP3|10072	494.709
DPP4|1803	55.5937	DPP4|1803	529.4312
lowly_expressed	lowly_expressed	DPP6|1804	79.6958
DPP7|29952	1478.3802	DPP7|29952	1397.8175
DPP8|54878	576.5271	DPP8|54878	726.8519
DPP9|91039	1654.4269	DPP9|91039	1055.5556
DPT|1805	84.7632	DPT|1805	5618.0556
DPY19L1|23333	252.917	DPY19L1|23333	567.1296
DPY19L2P2|349152	59.7117	DPY19L2P2|349152	17.5265
DPY19L2P4|442523	6.8634	DPY19L2P4|442523	71.7593
DPY19L2|283417	201.7845	DPY19L2|283417	69.7751
DPY19L3|147991	390.5285	DPY19L3|147991	480.8201
DPY19L4|286148	1604.3239999999998	DPY19L4|286148	1038.3598
DPY30|84661	445.8614	DPY30|84661	383.955
DPYD|1806	399.1078	DPYD|1806	942.1296
DPYSL2|1808	881.2629	DPYSL2|1808	4589.6164
DPYSL3|1809	1236.4447	DPYSL3|1809	4004.6296
lowly_expressed	lowly_expressed	DPYSL4|10570	8.5979
lowly_expressed	lowly_expressed	DPYS|1807	5.9524
DQX1|165545	7.2066	lowly_expressed	lowly_expressed
DR1|1810	1040.151	DR1|1810	1012.5661
DRAM1|55332	717.2272	DRAM1|55332	1022.1561
DRAM2|128338	720.3157	DRAM2|128338	1145.8333
DRAP1|10589	1035.3466	DRAP1|10589	624.3386
lowly_expressed	lowly_expressed	DRD1|1812	11.9048
lowly_expressed	lowly_expressed	DRD2|1813	47.9497
DRG1|4733	1021.6198	DRG1|4733	976.8519
DRG2|1819	979.7529	DRG2|1819	629.6296
DRP2|1821	16.4722	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DSC1|1823	30.162
DSC2|1824	256.6918	DSC2|1824	1646.4947
DSC3|1825	17.5017	DSC3|1825	1661.7063
DSCAML1|57453	18.1881	DSCAML1|57453	18.1878
DSCC1|79075	124.2279	DSCC1|79075	78.373
DSCR3|10311	781.7433	DSCR3|10311	998.3466
DSCR6|53820	63.4866	DSCR6|53820	7.2751
DSEL|92126	1165.7515	DSEL|92126	722.2222
DSE|29940	468.8058	DSE|29940	1159.2229
lowly_expressed	lowly_expressed	DSG1|1828	651.455
DSG2|1829	2637.9478	DSG2|1829	4618.3631
lowly_expressed	lowly_expressed	DSG3|1830	707.0106
DSN1|79980	340.0824	DSN1|79980	233.4656
DSP|1832	6884.0082	DSP|1832	11671.627
DSTN|11034	8210.7069	DSTN|11034	9229.828000000001
DSTYK|25778	885.3809	DSTYK|25778	983.4656
DST|667	1210.3638	DST|667	21444.4444
DTD1|92675	293.7543	DTD1|92675	369.3783
DTL|51514	282.0865	DTL|51514	26.1243
DTNA|1837	19.2176	DTNA|1837	436.5079
DTNBP1|84062	356.5546	DTNBP1|84062	299.6032
DTNB|1838	295.4701	DTNB|1838	549.2725
DTWD1|56986	688.4008	DTWD1|56986	505.291
DTWD2|285605	378.8607	DTWD2|285605	266.8651
DTX1|1840	19.2176	DTX1|1840	589.2857
DTX2|113878	261.8394	DTX2|113878	361.1111
DTX3L|151636	1756.3761	DTX3L|151636	1522.3776
DTX3|196403	667.8106	DTX3|196403	564.1534
DTX4|23220	473.2327	DTX4|23220	673.6111
DTYMK|1841	313.6582	DTYMK|1841	225.8598
DULLARD|23399	2169.1833	DULLARD|23399	1534.7222
DUOX1|53905	106.0398	DUOX1|53905	194.1138
DUOX2|50506	7.8929	DUOX2|50506	22.1561
DUOXA1|90527	31.9149	DUOXA1|90527	43.6508
DUS1L|64118	1159.2313	DUS1L|64118	933.8624
DUS2L|54920	143.7886	DUS2L|54920	151.455
DUS3L|56931	293.0679	DUS3L|56931	212.3016
DUS4L|11062	134.9142	DUS4L|11062	108.5648
DUSP10|11221	122.8552	DUSP10|11221	504.9603
DUSP11|8446	330.8167	DUSP11|8446	456.6799
DUSP12|11266	221.0021	DUSP12|11266	210.3175
DUSP13|51207	5.1476	lowly_expressed	lowly_expressed
DUSP14|11072	650.9952	DUSP14|11072	687.5
DUSP15|128853	42.5532	DUSP15|128853	30.754
DUSP16|80824	3366.8497	DUSP16|80824	2998.0159
DUSP18|150290	174.1867	DUSP18|150290	158.3631
DUSP19|142679	48.3871	DUSP19|142679	112.7646
DUSP1|1843	1486.6163	DUSP1|1843	10983.7963
DUSP22|56940	396.3624	DUSP22|56940	1096.5608
DUSP23|54935	298.5587	DUSP23|54935	450.0661
DUSP27|92235	15.4427	DUSP27|92235	14.2196
DUSP28|285193	111.5305	DUSP28|285193	84.6561
DUSP2|1844	39.4647	DUSP2|1844	264.5503
DUSP3|1845	1667.4674	DUSP3|1845	2640.5423
DUSP4|1846	40.8373	DUSP4|1846	1372.0238
DUSP5|1847	2415.9231	DUSP5|1847	1633.5979
DUSP6|1848	699.7255	DUSP6|1848	4196.0979
DUSP7|1849	294.0975	DUSP7|1849	475.5291
DUSP8|1850	77.5566	DUSP8|1850	544.3122
DUT|1854	1105.1819	DUT|1854	618.2242
DVL1|1855	692.5189	DVL1|1855	842.2619
DVL2|1856	769.3892	DVL2|1856	668.3201
DVL3|1857	1917.9822	DVL3|1857	1761.5741
DYDC2|84332	27.1105	DYDC2|84332	5.9524
DYM|54808	782.7728	DYM|54808	749.0079
DYNC1H1|1778	7621.8257	DYNC1H1|1778	12171.2963
DYNC1I1|1780	11.6678	DYNC1I1|1780	90.9392
DYNC1I2|1781	1892.5875	DYNC1I2|1781	2187.8307
DYNC1LI1|51143	1102.6081	DYNC1LI1|51143	785.3836
DYNC1LI2|1783	1595.7447	DYNC1LI2|1783	3990.0794
DYNC2H1|79659	1065.8888	DYNC2H1|79659	947.7513
DYNC2LI1|51626	433.0817	DYNC2LI1|51626	425.5952
DYNLL1|8655	3138.9842	DYNLL1|8655	2234.127
DYNLL2|140735	2806.4516	DYNLL2|140735	1564.4841
DYNLRB1|83658	1714.4818	DYNLRB1|83658	1335.6481
DYNLRB2|83657	40.8373	DYNLRB2|83657	23.4788
DYNLT1|6993	1025.3946	DYNLT1|6993	707.0106
DYNLT3|6990	2301.9904	DYNLT3|6990	916.9974
DYRK1A|1859	1539.4647	DYRK1A|1859	2041.9974
DYRK1B|9149	708.9911	DYRK1B|9149	373.6772
DYRK2|8445	380.5765	DYRK2|8445	525.4630000000001
DYRK3|8444	99.8627	DYRK3|8444	485.119
DYRK4|8798	347.2889	DYRK4|8798	241.7328
DYSF|8291	1392.9307	DYSF|8291	629.2989
DYX1C1|161582	99.1764	DYX1C1|161582	84.2394
DZIP1L|199221	24.3651	DZIP1L|199221	116.0714
DZIP1|22873	66.9183	DZIP1|22873	315.6713
DZIP3|9666	651.6815	DZIP3|9666	500.0
E2F1|1869	262.5257	E2F1|1869	55.5556
E2F2|1870	80.30199999999999	E2F2|1870	23.4788
E2F3|1871	206.9321	E2F3|1871	341.2698
E2F4|1874	692.5189	E2F4|1874	925.2646
E2F5|1875	273.3356	E2F5|1875	101.1839
E2F6|1876	307.4811	E2F6|1876	336.3095
E2F7|144455	86.8222	lowly_expressed	lowly_expressed
E2F8|79733	14.7563	lowly_expressed	lowly_expressed
E4F1|1877	1013.3837	E4F1|1877	366.0714
EAF1|85403	1288.2636	EAF1|85403	787.3677
EAF2|55840	13.0405	EAF2|55840	58.2011
EAPP|55837	991.0776	EAPP|55837	782.0767
EARS2|124454	2022.9925	EARS2|124454	556.5476
EBAG9|9166	1583.7337	EBAG9|9166	541.0053
EBF1|1879	154.0837	EBF1|1879	1427.5794
EBF2|64641	35.6898	EBF2|64641	108.7963
EBF3|253738	35.3466	EBF3|253738	451.0582
EBF4|57593	1441.6609	EBF4|57593	367.0635
EBI3|10148	28.4832	EBI3|10148	33.0688
EBNA1BP2|10969	1298.2155	EBNA1BP2|10969	826.5476
EBPL|84650	431.0226	EBPL|84650	345.5688
EBP|10682	343.5141	EBP|10682	311.5079
ECD|11319	611.1874	ECD|11319	701.0582
ECE1|1889	4122.1688	ECE1|1889	9859.7884
ECE2|9718	129.0323	ECE2|9718	43.3201
lowly_expressed	lowly_expressed	ECEL1|9427	17.8571
ECH1|1891	2106.7261	ECH1|1891	2880.9524
ECHDC1|55862	1024.3651	ECHDC1|55862	1387.2354
ECHDC2|55268	959.5058	ECHDC2|55268	1298.6111
ECHDC3|79746	289.9794	ECHDC3|79746	704.6958
ECHS1|1892	1398.0782	ECHS1|1892	2563.8228
ECM1|1893	784.1455	ECM1|1893	517.8571
ECM2|1842	247.4262	ECM2|1842	2324.7354
ECSCR|641700	64.173	ECSCR|641700	269.8413
ECSIT|51295	677.0762	ECSIT|51295	537.6984
ECT2L|345930	16.4722	ECT2L|345930	13.2275
ECT2|1894	603.6376	ECT2|1894	368.3862
EDA2R|60401	220.3157	EDA2R|60401	213.955
EDARADD|128178	316.0604	EDARADD|128178	445.1058
EDA|1896	28.4832	EDA|1896	119.3783
EDC3|80153	800.6177	EDC3|80153	685.5159
EDC4|23644	750.676	EDC4|23644	1271.9147
EDEM1|9695	3690.4598	EDEM1|9695	1927.2487
EDEM2|55741	512.3542	EDEM2|55741	488.0952
EDEM3|80267	1005.8339	EDEM3|80267	1489.418
EDF1|8721	2662.663	EDF1|8721	2122.0238
EDIL3|10085	239.1901	EDIL3|10085	161.045
EDN1|1906	14.7563	EDN1|1906	459.9868
EDN2|1907	33.2876	EDN2|1907	14.5503
lowly_expressed	lowly_expressed	EDN3|1908	121.6931
EDNRA|1909	401.1668	EDNRA|1909	426.2566
EDNRB|1910	365.1338	EDNRB|1910	773.4788
EEA1|8411	865.8202	EEA1|8411	1475.8598
EED|8726	273.5072	EED|8726	350.8598
EEF1A1P9|441032	5028.14	EEF1A1P9|441032	6364.418000000001
EEF1A1|1915	79842.4846	EEF1A1|1915	98641.2037
EEF1A2|1917	3680.8511	EEF1A2|1917	84.9868
EEF1B2|1933	1923.8161	EEF1B2|1933	3217.5926
EEF1DP3|196549	21.3555	lowly_expressed	lowly_expressed
EEF1D|1936	9605.3535	EEF1D|1936	5512.2354
EEF1E1|9521	273.5072	EEF1E1|9521	212.6323
EEF1G|1937	9565.2025	EEF1G|1937	16593.9153
EEF2K|29904	2869.9382	EEF2K|29904	1740.4101
EEF2|1938	42411.4619	EEF2|1938	49905.754
EEFSEC|60678	415.1407	EEFSEC|60678	332.209
EEPD1|80820	84.0769	EEPD1|80820	562.5
lowly_expressed	lowly_expressed	EFCAB1|79645	63.4921
EFCAB2|84288	126.6301	EFCAB2|84288	138.8889
EFCAB4A|283229	605.3535	EFCAB4A|283229	1143.5185
EFCAB4B|84766	251.2011	EFCAB4B|84766	195.7672
EFCAB6|64800	86.4791	EFCAB6|64800	115.4101
EFCAB7|84455	215.1682	EFCAB7|84455	168.6508
EFEMP1|2202	3456.4173	EFEMP1|2202	8367.0635
EFEMP2|30008	1082.361	EFEMP2|30008	1447.4206
EFHA1|221154	1324.9828	EFHA1|221154	826.0582
EFHA2|286097	14.07	EFHA2|286097	139.5503
lowly_expressed	lowly_expressed	EFHB|151651	21.164
EFHC1|114327	525.3946	EFHC1|114327	499.3386
EFHC2|80258	16.4722	EFHC2|80258	18.5185
EFHD1|80303	7122.1688	EFHD1|80303	5121.6931
EFHD2|79180	582.7042	EFHD2|79180	778.7698
EFNA1|1942	1380.2334	EFNA1|1942	1318.7831
EFNA3|1944	90.5971	EFNA3|1944	110.5456
EFNA4|1945	164.722	EFNA4|1945	215.8433
EFNA5|1946	7.5498	EFNA5|1946	724.5369999999999
EFNB1|1947	494.5093	EFNB1|1947	931.2169
EFNB2|1948	6701.4413	EFNB2|1948	1111.1111
EFNB3|1949	112.2169	EFNB3|1949	191.7989
EFR3A|23167	2947.8379999999997	EFR3A|23167	1851.5212
EFR3B|22979	239.5333	EFR3B|22979	90.6085
EFS|10278	897.7351	EFS|10278	1177.2487
EFTUD1|79631	1291.3521	EFTUD1|79631	666.0053
EFTUD2|9343	2389.1558	EFTUD2|9343	1557.8704
EGFL6|25975	23.3356	EGFL6|25975	270.8333
EGFL7|51162	290.6658	EGFL7|51162	1387.8968
EGFL8|80864	89.2965	EGFL8|80864	115.3836
EGFLAM|133584	178.4489	EGFLAM|133584	596.5608
EGFR|1956	20.5903	EGFR|1956	1938.1481
EGF|1950	275.5662	EGF|1950	351.8519
EGLN1|54583	1070.6932	EGLN1|54583	1458.664
EGLN2|112398	2494.9073	EGLN2|112398	1246.121
EGLN3|112399	615.9918	EGLN3|112399	191.1376
EGOT|100126791	29.8559	EGOT|100126791	45.3042
EGR1|1958	1014.07	EGR1|1958	30903.4392
EGR2|1959	87.5086	EGR2|1959	2115.0794
EGR3|1960	66.5752	EGR3|1960	3696.4286
EHBP1L1|254102	778.9979	EHBP1L1|254102	1158.7302
EHBP1|23301	449.897	EHBP1|23301	1862.4339
EHD1|10938	735.7584	EHD1|10938	1161.045
EHD2|30846	1896.0192	EHD2|30846	7632.9365
EHD3|30845	240.90599999999998	EHD3|30845	461.9709
EHD4|30844	1679.8216	EHD4|30844	1504.9603
EHF|26298	15.7859	EHF|26298	3627.6455
EHHADH|1962	200.755	EHHADH|1962	507.6058
EHMT1|79813	1682.5669	EHMT1|79813	1354.1667
EHMT2|10919	1301.6472	EHMT2|10919	1186.5079
EI24|9538	2635.8957	EI24|9538	2291.3360000000002
EID1|23741	4965.6829	EID1|23741	3412.3677
EID2B|126272	27.4537	EID2B|126272	35.3836
EID2|163126	228.5518	EID2|163126	213.6243
EID3|493861	10.9815	EID3|493861	45.3042
EIF1AD|84285	467.0556	EIF1AD|84285	449.7354
EIF1AX|1964	1701.7845	EIF1AX|1964	2456.6799
EIF1B|10289	651.6815	EIF1B|10289	823.4127
EIF1|10209	9253.9465	EIF1|10209	11968.9153
EIF2AK1|27102	5505.9369	EIF2AK1|27102	3192.0899
EIF2AK2|5610	303.0199	EIF2AK2|5610	427.2487
EIF2AK3|9451	765.9574	EIF2AK3|9451	1049.2725
EIF2AK4|440275	2674.3308	EIF2AK4|440275	1726.8519
EIF2A|83939	2083.7337	EIF2A|83939	2108.4656
EIF2B1|1967	1063.8298	EIF2B1|1967	1026.455
EIF2B2|8892	434.1112	EIF2B2|8892	426.918
EIF2B3|8891	377.1448	EIF2B3|8891	549.6032
EIF2B4|8890	659.2313	EIF2B4|8890	761.5741
EIF2B5|8893	1386.0673	EIF2B5|8893	1103.836
EIF2C1|26523	768.0165	EIF2C1|26523	1160.7143
EIF2C2|27161	222.3747	EIF2C2|27161	223.2143
EIF2C3|192669	118.7371	EIF2C3|192669	165.3439
EIF2C4|192670	480.7824	EIF2C4|192670	697.0899
EIF2S1|1965	1152.7111	EIF2S1|1965	1325.0661
EIF2S2|8894	1346.2594	EIF2S2|8894	1146.8254
EIF2S3|1968	3639.6706	EIF2S3|1968	4777.1164
EIF3A|8661	5563.1434	EIF3A|8661	6607.4735
EIF3B|8662	2917.9822	EIF3B|8662	2962.9629999999997
EIF3CL|728689	16708.7989	EIF3CL|728689	7859.4147
EIF3C|8663	655.9918	EIF3C|8663	165.7176
EIF3D|8664	3090.5971	EIF3D|8664	4563.1614
EIF3E|3646	6349.6911	EIF3E|3646	6220.2381
EIF3F|8665	1576.1839	EIF3F|8665	2344.9074
EIF3G|8666	2346.2011	EIF3G|8666	2192.7712
EIF3H|8667	14064.8593	EIF3H|8667	4015.2116
EIF3I|8668	4025.5868	EIF3I|8668	2968.6442
EIF3J|8669	1549.4166	EIF3J|8669	1302.2487
EIF3K|27335	2649.6225	EIF3K|27335	2550.5952
EIF3L|51386	4135.2093	EIF3L|51386	9158.0688
EIF3M|10480	2259.2931	EIF3M|10480	2068.3102
EIF4A1|1973	10610.3946	EIF4A1|1973	7645.0562
EIF4A2|1974	7679.2656	EIF4A2|1974	8238.7566
EIF4A3|9775	2303.3631	EIF4A3|9775	1311.5079
EIF4B|1975	11828.8916	EIF4B|1975	11954.213
EIF4E2|9470	1110.1579	EIF4E2|9470	1147.4868
EIF4E3|317649	1239.8765	EIF4E3|317649	1463.955
EIF4EBP1|1978	114.6191	EIF4EBP1|1978	284.0608
EIF4EBP2|1979	3109.1283	EIF4EBP2|1979	6417.9894
EIF4EBP3|8637	759.0254	EIF4EBP3|8637	314.7685
EIF4ENIF1|56478	865.1338	EIF4ENIF1|56478	769.8413
EIF4E|1977	770.7618	EIF4E|1977	438.1614
EIF4G1|1981	8683.2533	EIF4G1|1981	7305.5556
EIF4G2|1982	18148.9362	EIF4G2|1982	18153.4392
EIF4G3|8672	1987.6458	EIF4G3|8672	1982.1429
EIF4H|7458	4026.0809999999997	EIF4H|7458	4418.9815
EIF5A2|56648	88.1949	EIF5A2|56648	210.9788
EIF5AL1|143244	1071.3795	EIF5AL1|143244	747.3545
EIF5A|1984	4471.86	EIF5A|1984	3127.9762
EIF5B|9669	2808.8538	EIF5B|9669	3451.3889
EIF5|1983	4262.5257	EIF5|1983	4358.1349
EIF6|3692	1993.4798	EIF6|3692	1264.2196
ELAC1|55520	101.4516	ELAC1|55520	130.7738
ELAC2|60528	1568.9774	ELAC2|60528	1327.0503
ELAVL1|1994	1857.2409	ELAVL1|1994	1277.4471
ELAVL2|1993	9.6088	ELAVL2|1993	8.5979
ELAVL4|1996	6.5202	lowly_expressed	lowly_expressed
ELF1|1997	2975.978	ELF1|1997	2028.1085
ELF2|1998	874.7426	ELF2|1998	1013.8889
ELF3|1999	1131.0913	ELF3|1999	3593.9153
ELF4|2000	547.0144	ELF4|2000	549.6032
lowly_expressed	lowly_expressed	ELF5|2001	378.3069
ELFN1|392617	59.7117	ELFN1|392617	36.7063
ELK1|2002	748.7989	ELK1|2002	619.7090000000001
ELK3|2004	574.8113	ELK3|2004	777.1164
ELK4|2005	106.9973	ELK4|2005	209.3254
ELL2|22936	1208.6479	ELL2|22936	1422.9497
ELL3|80237	197.6081	ELL3|80237	115.2546
ELL|8178	517.8449	ELL|8178	538.3598
ELMO1|9844	258.4077	ELMO1|9844	604.4974
ELMO2|63916	1312.9719	ELMO2|63916	1138.8889
ELMO3|79767	479.4097	ELMO3|79767	386.9048
ELMOD1|55531	102.6081	ELMOD1|55531	7.9365
ELMOD2|255520	349.6911	ELMOD2|255520	214.2857
ELMOD3|84173	472.5463	ELMOD3|84173	1121.6931
ELN|2006	445.779	ELN|2006	1917.9894
ELOF1|84337	671.2423	ELOF1|84337	550.2646
ELOVL1|64834	1434.4544	ELOVL1|64834	1292.328
ELOVL2|54898	3273.5072	ELOVL2|54898	853.1746
ELOVL3|83401	7.8929	ELOVL3|83401	40.0132
ELOVL4|6785	29.8559	ELOVL4|6785	39.0212
ELOVL5|60481	36280.0275	ELOVL5|60481	9897.1561
ELOVL6|79071	493.4798	ELOVL6|79071	198.7434
ELOVL7|79993	378.5175	ELOVL7|79993	316.4683
ELP2P|100131454	9.2656	ELP2P|100131454	6.9444
ELP2|55250	6314.3445	ELP2|55250	2374.6693
ELP3|55140	206.9321	ELP3|55140	696.0979
ELP4|26610	166.4379	ELP4|26610	181.8783
ELTD1|64123	712.0796	ELTD1|64123	1912.3677
EMB|133418	1506.1771	EMB|133418	826.7196
EMCN|51705	515.7859	EMCN|51705	1298.2804
EMD|2010	1115.9918	EMD|2010	839.9471
EME1|146956	43.3596	EME1|146956	12.2057
EME2|197342	66.232	EME2|197342	16.8651
EMG1|10436	465.2368	EMG1|10436	379.2989
EMID1|129080	441.3178	EMID1|129080	175.9259
lowly_expressed	lowly_expressed	EMID2|136227	9.9206
EMILIN1|11117	544.6122	EMILIN1|11117	1325.3968
EMILIN2|84034	171.5854	EMILIN2|84034	645.8333
lowly_expressed	lowly_expressed	EMILIN3|90187	31.2401
EML1|2009	456.4173	EML1|2009	470.5688
EML2|24139	2231.9218	EML2|24139	912.6786
EML3|256364	629.0323	EML3|256364	947.7513
EML4|27436	927.2478	EML4|27436	1335.9788
EML5|161436	33.9739	EML5|161436	67.791
EML6|400954	7.5498	EML6|400954	30.4233
EMP1|2012	14329.1009	EMP1|2012	11358.4656
EMP2|2013	9138.2979	EMP2|2013	3941.4683
EMP3|2014	218.2567	EMP3|2014	470.5688
EMR1|2015	9.2656	EMR1|2015	14.880999999999998
EMR2|30817	89.2244	EMR2|30817	124.0079
EMR4P|326342	8.5793	EMR4P|326342	11.2434
EMX2OS|196047	5.8339	EMX2OS|196047	103.1746
lowly_expressed	lowly_expressed	EMX2|2018	34.7222
EN1|2019	15.0995	EN1|2019	14.2196
ENAH|55740	1747.0829999999999	ENAH|55740	3023.1481
ENC1|8507	570.35	ENC1|8507	855.6647
ENDOD1|23052	1456.7605	ENDOD1|23052	1743.0556
ENDOG|2021	121.0158	ENDOG|2021	120.8565
lowly_expressed	lowly_expressed	ENDOU|8909	9.5899
ENGASE|64772	397.0487	ENGASE|64772	372.0238
ENG|2022	3590.2505	ENG|2022	3920.9656
ENHO|375704	416.6095	ENHO|375704	84.9868
ENO1|2023	10242.6218	ENO1|2023	10860.7804
ENO2|2026	1964.3102	ENO2|2026	450.3968
ENO3|2027	56.6232	ENO3|2027	46.9577
ENOPH1|58478	839.0528	ENOPH1|58478	608.1349
ENOSF1|55556	874.6054	ENOSF1|55556	613.1052
ENOX1|55068	126.9732	ENOX1|55068	41.336000000000006
ENOX2|10495	357.9272	ENOX2|10495	342.5926
ENPEP|2028	383.3219	ENPEP|2028	265.2116
ENPP1|5167	1874.3995	ENPP1|5167	1847.8836
ENPP2|5168	5514.07	ENPP2|5168	2692.7909999999997
ENPP3|5169	13.0405	ENPP3|5169	50.9259
ENPP4|22875	882.2924	ENPP4|22875	813.1614
ENPP5|59084	1138.641	ENPP5|59084	664.0212
lowly_expressed	lowly_expressed	ENPP6|133121	18.5185
ENSA|2029	4358.9568	ENSA|2029	3317.4603
ENTPD1|953	784.4887	ENTPD1|953	1201.0582
ENTPD2|954	21.6198	ENTPD2|954	229.1667
ENTPD3|956	16.4722	ENTPD3|956	171.627
ENTPD4|9583	231.6404	ENTPD4|9583	472.8836
ENTPD5|957	299.5985	ENTPD5|957	442.5794
ENTPD6|955	2327.385	ENTPD6|955	1375.6614
ENTPD7|57089	228.8298	ENTPD7|57089	267.0866
ENTPD8|377841	31.9149	ENTPD8|377841	12.8968
ENY2|56943	692.1757	ENY2|56943	349.8677
lowly_expressed	lowly_expressed	EOMES|8320	12.5661
EP300|2033	3362.3885	EP300|2033	3541.336
EP400NL|347918	233.3562	EP400NL|347918	172.2884
EP400|57634	1826.3555	EP400|57634	1995.0397
EPAS1|2034	1921.4139	EPAS1|2034	12841.6005
EPB41L1|2036	1429.65	EPB41L1|2036	2746.3624
EPB41L2|2037	1537.7488	EPB41L2|2037	4043.3201
EPB41L3|23136	731.2972	EPB41L3|23136	1272.8175
EPB41L4A|64097	105.6966	EPB41L4A|64097	752.6455
EPB41L4B|54566	701.0981	EPB41L4B|54566	1137.8968
EPB41L5|57669	810.2265	EPB41L5|57669	733.1349
EPB41|2035	1201.0844	EPB41|2035	1490.9425
lowly_expressed	lowly_expressed	EPB42|2038	126.6534
EPB49|2039	180.1647	EPB49|2039	969.2460000000001
EPC1|80314	624.9142	EPC1|80314	871.6931
EPC2|26122	769.7323	EPC2|26122	893.8492
EPCAM|4072	1992.4502	EPCAM|4072	1650.1323
EPDR1|54749	373.3699	EPDR1|54749	622.3545
EPHA10|284656	210.0206	EPHA10|284656	70.7672
EPHA1|2041	231.2972	EPHA1|2041	276.1243
EPHA2|1969	369.5951	EPHA2|1969	798.2804
EPHA3|2042	52.162	EPHA3|2042	128.9683
EPHA4|2043	84.0769	EPHA4|2043	440.4762
lowly_expressed	lowly_expressed	EPHA5|2044	9.9206
EPHA6|285220	5.8339	EPHA6|285220	9.2593
EPHA7|2045	18.8744	EPHA7|2045	40.0132
EPHA8|2046	16.8154	EPHA8|2046	7.6058
EPHB1|2047	26.7673	EPHB1|2047	468.9153
EPHB2|2048	65.5456	EPHB2|2048	93.5847
EPHB3|2049	1158.2018	EPHB3|2049	1018.8492
EPHB4|2050	2365.1338	EPHB4|2050	2474.8677
EPHB6|2051	27.7968	EPHB6|2051	300.5952
EPHX1|2052	514.7563	EPHX1|2052	4171.2963
EPHX2|2053	161.2903	EPHX2|2053	781.0847
EPHX3|79852	9.2656	EPHX3|79852	6.9444
EPHX4|253152	603.6376	EPHX4|253152	8.9286
EPM2AIP1|9852	2182.9101	EPM2AIP1|9852	1277.1164
EPM2A|7957	170.8991	EPM2A|7957	253.6376
EPN1|29924	1989.7049	EPN1|29924	1501.6534
EPN2|22905	1213.7955	EPN2|22905	1192.7910000000002
EPN3|55040	663.0062	EPN3|55040	246.3624
EPOR|2057	162.536	EPOR|2057	101.5542
EPPK1|83481	411.4619	EPPK1|83481	973.545
EPR1|8475	147.3164	lowly_expressed	lowly_expressed
EPRS|2058	3109.1283	EPRS|2058	2713.2937
EPS15L1|58513	1541.1805	EPS15L1|58513	763.2275
EPS15|2060	1577.5566	EPS15|2060	2319.1138
EPS8L1|54869	427.5909	EPS8L1|54869	375.0
EPS8L2|64787	1039.1215	EPS8L2|64787	1260.9127
EPS8|2059	981.1256	EPS8|2059	2287.0370000000003
EPSTI1|94240	105.0103	EPSTI1|94240	133.5979
EPT1|85465	1662.3129999999999	EPT1|85465	1007.5893
EPYC|1833	21.6198	lowly_expressed	lowly_expressed
ERAL1|26284	1048.0439	ERAL1|26284	758.2672
ERAP1|51752	1032.1002	ERAP1|51752	2098.4689
ERAP2|64167	38.7783	ERAP2|64167	116.4021
ERBB2IP|55914	3924.5024	ERBB2IP|55914	2349.2063
ERBB2|2064	8342.8277	ERBB2|2064	5345.8995
ERBB3|2065	8738.8469	ERBB3|2065	4971.5608
ERBB4|2066	1207.9616	ERBB4|2066	1242.7249
ERC1|23085	1316.4036	ERC1|23085	1970.8995
ERC2|26059	6.5202	ERC2|26059	24.1402
