gene_id	TCGA-BH-A1FB-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FB-11A-33R-A13Q-07
ACAD9|28976	754.9692	ACAD9|28976	833.0612
ACADL|33	7.0443	ACADL|33	98.8377
ACADM|34	1447.6079	ACADM|34	1564.9301
ACADSB|36	2159.3778	ACADSB|36	1853.2067
ACADS|35	496.6246	ACADS|35	541.6693
ACADVL|37	3520.047	ACADVL|37	5760.6626
ACAN|176	22.307	lowly_expressed	lowly_expressed
ACAP1|9744	260.6399	ACAP1|9744	127.4231
ACAP2|23527	1932.7854	ACAP2|23527	1711.7331
ACAP3|116983	383.6366	ACAP3|116983	492.8173
ACAT1|38	1036.3957	ACAT1|38	1203.9787
ACAT2|39	296.0904	ACAT2|39	410.6173
ACBD3|64746	1799.2369	ACBD3|64746	1295.0644
ACBD4|79777	189.9031	ACBD4|79777	274.2261
ACBD5|91452	959.7887	ACBD5|91452	819.2869
ACBD6|84320	311.1242	ACBD6|84320	268.8967
ACBD7|414149	37.5697	ACBD7|414149	56.2018
ACCN1|40	6.4573	lowly_expressed	lowly_expressed
ACCN2|41	42.8529	ACCN2|41	141.4736
ACCN3|9311	6.1638	ACCN3|9311	8.721
ACCS|84680	163.1934	ACCS|84680	459.789
ACD|65057	222.7766	ACD|65057	383.2383
ACE2|59272	9.3924	ACE2|59272	15.9884
ACER2|340485	209.862	ACER2|340485	178.2954
ACER3|55331	415.0279	ACER3|55331	366.7653
ACE|1636	527.737	ACE|1636	649.7125
ACHE|43	34.9281	ACHE|43	28.1009
ACIN1|22985	2746.4045	ACIN1|22985	2987.9021
ACLY|47	3676.5483	ACLY|47	3160.3835
ACN9|57001	120.3405	ACN9|57001	174.4194
ACO1|48	647.784	ACO1|48	615.7976
ACO2|50	2151.8139	ACO2|50	1951.2304
ACOT11|26027	25.8292	ACOT11|26027	31.6571
ACOT13|55856	505.3273	ACOT13|55856	572.1394
ACOT1|641371	502.4949	ACOT1|641371	390.5058
ACOT2|10965	376.5776	ACOT2|10965	285.8541
ACOT4|122970	460.816	ACOT4|122970	84.3027
ACOT6|641372	9.0989	lowly_expressed	lowly_expressed
ACOT7|11332	307.8955	ACOT7|11332	210.2723
ACOT8|10005	228.3915	ACOT8|10005	270.4131
ACOT9|23597	388.6117	ACOT9|23597	392.9283
ACOX1|51	1812.1896	ACOX1|51	1705.6866
ACOX2|8309	163.4869	ACOX2|8309	274.2261
ACOX3|8310	672.1456	ACOX3|8310	743.7052
lowly_expressed	lowly_expressed	ACOXL|55289	5.814
ACP1|52	1425.3009	ACP1|52	1302.8164
ACP2|53	863.5163	ACP2|53	702.5228
ACP5|54	679.7769	ACP5|54	623.065
ACP6|51205	197.828	ACP6|51205	338.6644
ACPL2|92370	585.2656	ACPL2|92370	528.5878
ACPP|55	33.754	ACPP|55	53.2948
ACRBP|84519	24.6551	ACRBP|84519	14.535
ACRC|93953	16.4367	ACRC|93953	30.0389
lowly_expressed	lowly_expressed	ACSBG1|23205	20.8334
lowly_expressed	lowly_expressed	ACSBG2|81616	10.659
ACSF2|80221	749.6331	ACSF2|80221	744.1897
ACSF3|197322	256.8242	ACSF3|197322	273.2571
