gene_id	TCGA-BH-A1FB-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FB-11A-33R-A13Q-07
CTGF|1490	8905.1952	CTGF|1490	6599.8382
CTHRC1|115908	2555.3273	CTHRC1|115908	156.0085
CTH|1491	76.9005	CTH|1491	80.4267
CTLA4|1493	132.668	CTLA4|1493	10.659
CTNNA1|1495	9985.0308	CTNNA1|1495	8463.2193
CTNNAL1|8727	686.2342	CTNNAL1|8727	587.6966
CTNNB1|1499	13534.3704	CTNNB1|1499	15620.3712
CTNNBIP1|56998	883.1817	CTNNBIP1|56998	1004.3653
CTNNBL1|56259	704.4321	CTNNBL1|56259	740.3137
CTNND1|1500	9667.4494	CTNND1|1500	10184.6424
CTNND2|1501	454.0652	CTNND2|1501	186.5319
CTNS|1497	382.8618	CTNS|1497	357.8409
CTPS2|56474	627.8251	CTPS2|56474	586.7276
CTPS|1503	452.0106	CTPS|1503	304.7495
CTR9|9646	2069.2692	CTR9|9646	1695.7446
lowly_expressed	lowly_expressed	CTRL|1506	10.659
CTSA|5476	1896.5864	CTSA|5476	1417.1823
CTSB|1508	17996.1843	CTSB|1508	12232.1329
CTSC|1075	1788.9639	CTSC|1075	1099.327
CTSD|1509	21867.6255	CTSD|1509	8613.4138
CTSF|8722	1173.1729	CTSF|8722	2442.8413
CTSG|1511	109.18700000000001	CTSG|1511	101.2602
CTSH|1512	2405.6355	CTSH|1512	1750.9775
CTSK|1513	6395.3625	CTSK|1513	3717.0723
CTSL1|1514	1285.295	CTSL1|1514	1184.5988
CTSL2|1515	61.6378	CTSL2|1515	81.8802
CTSO|1519	1693.8656	CTSO|1519	1582.8565
CTSS|1520	3256.8242	CTSS|1520	1641.9653
CTSW|1521	146.1697	CTSW|1521	73.1593
CTSZ|1522	4238.6264	CTSZ|1522	3087.7088
CTTNBP2NL|55917	968.3006	CTTNBP2NL|55917	838.6669
CTTNBP2|83992	214.8518	CTTNBP2|83992	204.4584
CTTN|2017	3779.278	CTTN|2017	3693.3318
CTU1|90353	26.4162	CTU1|90353	37.7909
CTU2|348180	107.9748	CTU2|348180	161.1587
CTXN1|404217	223.9507	CTXN1|404217	114.3416
CUBN|8029	39.6243	CUBN|8029	79.4577
CUEDC1|404093	323.1582	CUEDC1|404093	280.0401
CUEDC2|79004	577.0473	CUEDC2|79004	617.7356
CUL1|8454	1542.9997	CUL1|8454	1425.879
CUL2|8453	828.5882	CUL2|8453	747.5811
CUL3|8452	2530.6721	CUL3|8452	2188.4796
CUL4A|8451	2403.8744	CUL4A|8451	1991.7732
CUL4B|8450	2269.4453	CUL4B|8450	2167.1617
CUL5|8065	1436.7479	CUL5|8065	1358.5337
CUL7|9820	1174.2882	CUL7|9820	1300.7718
CUL9|23113	781.6261	CUL9|23113	969.9659
CUTA|51596	1479.0138	CUTA|51596	1647.2948
CUTC|51076	231.3061	CUTC|51076	256.2464
CUX1|1523	1178.1626	CUX1|1523	966.5745
CUX2|23316	16.1432	CUX2|23316	121.1246
CUZD1|50624	11.312000000000001	CUZD1|50624	14.9565
CWC15|51503	685.0602	CWC15|51503	757.7556
CWC22|57703	746.1109	CWC22|57703	762.1161
CWC25|54883	387.4376	CWC25|54883	550.3903
CWC27|10283	341.356	CWC27|10283	427.8122
CWF19L1|55280	509.8327	CWF19L1|55280	611.9216
CWF19L2|143884	566.7743	CWF19L2|143884	632.755
CWH43|80157	5.8703	lowly_expressed	lowly_expressed
CX3CL1|6376	3676.8418	CX3CL1|6376	10161.3864
CX3CR1|1524	838.5677	CX3CR1|1524	1007.2723
CXADRP3|440224	12.9146	CXADRP3|440224	9.2055
CXADR|1525	377.1647	CXADR|1525	355.1374
CXCL10|3627	728.7937	CXCL10|3627	75.0973
CXCL11|6373	323.7452	CXCL11|6373	14.0505
CXCL12|6387	6098.6205	CXCL12|6387	9093.5518
CXCL13|10563	666.5688	CXCL13|10563	13.0815
CXCL14|9547	3596.4191	CXCL14|9547	5735.0084
CXCL16|58191	1493.983	CXCL16|58191	1802.8188
CXCL17|284340	52.2454	CXCL17|284340	154.0705
CXCL1|2919	41.3854	CXCL1|2919	57.1708
CXCL2|2920	136.4837	CXCL2|2920	413.2772
CXCL3|2921	15.5562	CXCL3|2921	36.8219
CXCL5|6374	8.5119	CXCL5|6374	67.3453
CXCL6|6372	8.2184	CXCL6|6372	12.597000000000001
CXCL9|4283	5174.934	CXCL9|4283	307.172
CXCR1|3577	9.6859	CXCR1|3577	26.1629
CXCR2P1|3580	45.2011	lowly_expressed	lowly_expressed
CXCR2|3579	26.1227	CXCR2|3579	45.0584
CXCR3|2833	159.6713	CXCR3|2833	57.6553
CXCR4|7852	2836.5131	CXCR4|7852	711.2438
CXCR5|643	154.9751	CXCR5|643	9.6997
CXCR6|10663	169.9442	CXCR6|10663	113.3726
CXCR7|57007	468.7408	CXCR7|57007	633.2395
CXXC1|30827	573.8186	CXXC1|30827	926.3611
CXXC4|80319	11.447000000000001	CXXC4|80319	11.628
CXXC5|51523	736.1315	CXXC5|51523	454.9441
CXorf21|80231	151.4529	CXorf21|80231	108.5277
CXorf23|256643	322.8647	CXorf23|256643	282.4626
CXorf26|51260	429.7036	CXorf26|51260	410.3702
CXorf36|79742	599.0608	CXorf36|79742	906.9811
CXorf38|159013	240.0939	CXorf38|159013	224.3228
CXorf40A|91966	679.1899	CXorf40A|91966	415.6997
CXorf40B|541578	660.1115	CXorf40B|541578	508.7234
CXorf42|158801	16.7303	CXorf42|158801	37.7909
CXorf50B|653687	7.0443	CXorf50B|653687	7.752000000000001
CXorf56|63932	279.4247	CXorf56|63932	334.3039
CXorf57|55086	65.747	CXorf57|55086	69.7678
CYB561D1|284613	538.597	CYB561D1|284613	656.4954
CYB561D2|11068	459.4042	CYB561D2|11068	333.7758
CYB561|1534	2445.2598	CYB561|1534	2180.2431
CYB5A|1528	1681.5379999999998	CYB5A|1528	1327.5258
CYB5B|80777	1140.5929	CYB5B|80777	1227.2346
CYB5D1|124637	849.1341	CYB5D1|124637	680.7204
CYB5D2|124936	468.1538	CYB5D2|124936	523.2583
CYB5R1|51706	1328.1479	CYB5R1|51706	1456.8869
CYB5R2|51700	138.2448	CYB5R2|51700	287.7921
CYB5R3|1727	3085.7059	CYB5R3|1727	4116.299
CYB5R4|51167	465.2187	CYB5R4|51167	295.5441
CYB5RL|606495	119.7534	CYB5RL|606495	109.0122
CYBASC3|220002	1175.521	CYBASC3|220002	999.5203
CYBA|1535	551.2181	CYBA|1535	601.2626
CYBB|1536	2496.0376	CYBB|1536	1145.8389
CYBRD1|79901	9846.199	CYBRD1|79901	11840.1736
CYC1|1537	1359.8474	CYC1|1537	1147.2924
CYCS|54205	1975.0514	CYCS|54205	1986.4437
CYFIP1|23191	4645.4359	CYFIP1|23191	4288.295999999999
CYFIP2|26999	1116.5248	CYFIP2|26999	361.9204
CYGB|114757	289.3836	CYGB|114757	484.4985
CYHR1|50626	621.0743	CYHR1|50626	618.7045
CYLD|1540	2181.0977	CYLD|1540	1689.4462
CYP11A1|1583	24.0681	CYP11A1|1583	42.6359
CYP19A1|1588	23.7746	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CYP1A1|1543	46.9964
CYP1B1|1545	2909.3044	CYP1B1|1545	2258.2474
CYP20A1|57404	1067.5081	CYP20A1|57404	1042.1562
CYP21A2|1589	154.752	CYP21A2|1589	75.1651
CYP24A1|1591	15.5562	CYP24A1|1591	14.535
CYP26A1|1592	30.2319	CYP26A1|1592	24.2249
CYP26B1|56603	85.9994	CYP26B1|56603	227.2298
CYP27A1|1593	858.2330000000001	CYP27A1|1593	1006.7878
CYP27B1|1594	36.3957	CYP27B1|1594	31.0079
CYP27C1|339761	7.9249	CYP27C1|339761	6.2985
lowly_expressed	lowly_expressed	CYP2A6|1548	263.0827
CYP2B7P1|1556	294.1004	CYP2B7P1|1556	169.09
lowly_expressed	lowly_expressed	CYP2C8|1558	11.1435
lowly_expressed	lowly_expressed	CYP2D6|1565	24.2249
lowly_expressed	lowly_expressed	CYP2D7P1|1564	18.4109
CYP2E1|1571	15.157	CYP2E1|1571	45.4944
CYP2J2|1573	103.9037	CYP2J2|1573	244.6717
CYP2R1|120227	253.0085	CYP2R1|120227	280.5246
CYP2S1|29785	66.0405	CYP2S1|29785	48.9343
CYP2U1|113612	338.1274	CYP2U1|113612	482.5605
CYP39A1|51302	104.7843	CYP39A1|51302	264.0517
lowly_expressed	lowly_expressed	CYP3A5|1577	7.752000000000001
CYP46A1|10858	11.1535	CYP46A1|10858	26.6474
CYP4B1|1580	1204.2853	CYP4B1|1580	414.7307
CYP4F11|57834	158.2037	CYP4F11|57834	170.5435
CYP4F12|66002	9.9795	CYP4F12|66002	41.1824
CYP4F22|126410	255.6501	CYP4F22|126410	437.5021
CYP4F3|4051	7.0443	lowly_expressed	lowly_expressed
CYP4F8|11283	54.887	CYP4F8|11283	127.9076
CYP4V2|285440	668.3299	CYP4V2|285440	910.3726
CYP4X1|260293	341.9431	CYP4X1|260293	356.1064
CYP4Z1|199974	399.4717	CYP4Z1|199974	242.2492
CYP4Z2P|163720	264.4555	CYP4Z2P|163720	294.5751
CYP51A1|1595	1400.9392	CYP51A1|1595	1519.8717
CYP7B1|9420	316.1139	CYP7B1|9420	219.4778
CYP8B1|1582	5.5768	CYP8B1|1582	9.69
CYR61|3491	10390.9598	CYR61|3491	20239.9236
CYS1|192668	115.6443	CYS1|192668	113.8571
CYSLTR1|10800	109.4805	CYSLTR1|10800	53.7793
CYSLTR2|57105	55.474	CYSLTR2|57105	14.535
CYTH1|9267	1040.7984	CYTH1|9267	883.2407
CYTH2|9266	1047.2557	CYTH2|9266	1483.0498
CYTH3|9265	980.9216	CYTH3|9265	1088.6681
CYTH4|27128	520.6927	CYTH4|27128	342.0559
CYTIP|9595	538.3035	CYTIP|9595	213.6638
CYTL1|54360	70.1497	CYTL1|54360	58.6243
CYTSA|23384	2249.4864	CYTSA|23384	1920.5519
CYTSB|92521	400.0587	CYTSB|92521	224.8073
CYYR1|116159	768.418	CYYR1|116159	1161.8273
D2HGDH|728294	195.4799	D2HGDH|728294	356.1064
D4S234E|27065	87.7605	D4S234E|27065	240.7957
DAAM1|23002	1000.0	DAAM1|23002	1029.5593
DAAM2|23500	479.319	DAAM2|23500	719.0103
DAB2IP|153090	1778.1039	DAB2IP|153090	2795.5562
DAB2|1601	2551.2181	DAB2|1601	2430.2443
DACH1|1602	434.1063	DACH1|1602	807.1745
DACT1|51339	631.3472	DACT1|51339	276.1641
DACT2|168002	10.86	DACT2|168002	49.9033
DACT3|147906	123.2756	DACT3|147906	76.0663
DAD1|1603	2124.1561	DAD1|1603	1922.4899
DAG1|1605	4076.607	DAG1|1605	3797.0145
DAGLA|747	189.3161	DAGLA|747	279.5556
DAGLB|221955	363.9566	DAGLB|221955	423.4517
DAK|26007	746.9915	DAK|26007	731.5927
DALRD3|55152	778.6352	DALRD3|55152	741.0646
DAP3|7818	1909.0109	DAP3|7818	1509.2127
DAPK1|1612	528.0305	DAPK1|1612	334.3039
DAPK2|23604	206.3399	DAPK2|23604	353.6839
DAPK3|1613	574.1121	DAPK3|1613	480.6225
DAPL1|92196	10.273	DAPL1|92196	7.752000000000001
DAPP1|27071	465.8057	DAPP1|27071	204.4584
DAP|1611	3395.3625	DAP|1611	3221.4303
DARC|2532	779.865	DARC|2532	1106.5945
DARS2|55157	573.2316	DARS2|55157	409.4012
DARS|1615	1915.4682	DARS|1615	1955.4358
DAXX|1616	1283.8274	DAXX|1616	1333.8243
DAZAP1|26528	984.7373	DAZAP1|26528	949.1325
DAZAP2|9802	6940.1233	DAZAP2|9802	6529.1014
DBC1|1620	263.2815	DBC1|1620	359.0134
DBF4B|80174	113.0026	DBF4B|80174	141.4736
DBF4|10926	174.6404	DBF4|10926	167.15200000000002
DBH|1621	6.8506	lowly_expressed	lowly_expressed
DBI|1622	1764.3088	DBI|1622	4049.4382
DBN1|1627	1112.1221	DBN1|1627	833.8219
DBNDD1|79007	302.9058	DBNDD1|79007	323.645
DBNDD2|55861	625.7881	DBNDD2|55861	767.6539
DBNL|28988	1630.4667	DBNL|28988	1350.7817
DBP|1628	226.5659	DBP|1628	383.5726
DBR1|51163	359.8474	DBR1|51163	438.9556
DBT|1629	1341.9431	DBT|1629	1092.5441
DBX2|440097	17.6108	DBX2|440097	12.597000000000001
DCAF10|79269	2757.2645	DCAF10|79269	1270.8395
DCAF11|80344	2329.5304	DCAF11|80344	2284.8948
DCAF12L2|340578	15.5562	DCAF12L2|340578	9.2055
DCAF12|25853	1746.1109	DCAF12|25853	1526.1702
DCAF13|25879	1301.268	DCAF13|25879	639.8093
DCAF15|90379	301.1447	DCAF15|90379	448.1611
DCAF16|54876	2059.2897	DCAF16|54876	1419.5805
DCAF17|80067	667.4494	DCAF17|80067	578.0067
lowly_expressed	lowly_expressed	DCAF4L1|285429	8.721
DCAF4|26094	272.6739	DCAF4|26094	294.0906
DCAF5|8816	1793.3666	DCAF5|8816	1734.5045
DCAF6|55827	1804.5201	DCAF6|55827	1807.6638
DCAF7|10238	3153.5075	DCAF7|10238	2412.3179
DCAF8|50717	2240.0969	DCAF8|50717	2676.4858
DCAKD|79877	990.9011	DCAKD|79877	1220.4516
DCBLD1|285761	313.7658	DCBLD1|285761	127.4376
DCBLD2|131566	851.4822	DCBLD2|131566	1162.3118
DCDC1|341019	23.9067	lowly_expressed	lowly_expressed
DCDC2|51473	98.7966	DCDC2|51473	334.3766
DCD|117159	792.1925	DCD|117159	316.862
DCHS1|8642	1381.8609	DCHS1|8642	1340.6073
DCHS2|54798	62.2248	DCHS2|54798	80.9112
DCI|1632	501.9078	DCI|1632	359.9824
DCK|1633	699.7358	DCK|1633	495.1574
DCLK1|9201	769.2985	DCLK1|9201	656.9799
DCLK2|166614	112.1221	DCLK2|166614	81.8802
DCLK3|85443	5.8703	lowly_expressed	lowly_expressed
DCLRE1A|9937	421.1917	DCLRE1A|9937	363.3739
DCLRE1B|64858	222.4831	DCLRE1B|64858	186.5319
DCLRE1C|64421	352.5095	DCLRE1C|64421	328.49
DCN|1634	28993.8362	DCN|1634	37307.8358
DCP1A|55802	993.8362	DCP1A|55802	1161.3428
DCP1B|196513	344.2912	DCP1B|196513	388.5678
DCP2|167227	1716.4661	DCP2|167227	1529.0772
DCPS|28960	302.9058	DCPS|28960	273.2571
DCST2|127579	8.2184	DCST2|127579	43.6049
DCTD|1635	1726.7391	DCTD|1635	1655.0468
DCTN1|1639	4109.5274	DCTN1|1639	3520.2302
DCTN2|10540	2020.5459	DCTN2|10540	2212.22
DCTN3|11258	628.1186	DCTN3|11258	729.1702
DCTN4|51164	2283.2404	DCTN4|51164	2274.7203
DCTN5|84516	1847.0795	DCTN5|84516	1053.2997
DCTN6|10671	406.2225	DCTN6|10671	638.0845
DCTPP1|79077	899.6096	DCTPP1|79077	530.521
DCT|1638	40.2113	DCT|1638	41.6669
DCUN1D1|54165	801.585	DCUN1D1|54165	631.786
DCUN1D2|55208	214.8518	DCUN1D2|55208	318.8
DCUN1D3|123879	275.9026	DCUN1D3|123879	263.5672
DCUN1D4|23142	871.4412	DCUN1D4|23142	1003.8808
DCUN1D5|84259	382.1544	DCUN1D5|84259	282.4626
DCXR|51181	863.2228	DCXR|51181	898.2602
DCX|1641	21.4265	DCX|1641	49.4188
DDA1|79016	478.4268	DDA1|79016	616.2821
DDAH1|23576	1879.6595	DDAH1|23576	1002.4273
DDAH2|23564	968.5941	DDAH2|23564	1265.51
DDB1|1642	7289.1107	DDB1|1642	5556.713000000001
DDB2|1643	523.9213	DDB2|1643	648.7435
lowly_expressed	lowly_expressed	DDC|1644	16.9574
DDHD1|80821	588.4943	DDHD1|80821	417.1532
DDHD2|23259	1021.4265	DDHD2|23259	1219.4827
DDI2|84301	203.2991	DDI2|84301	159.5163
DDIT3|1649	210.7866	DDIT3|1649	500.4869
DDIT4L|115265	63.1054	DDIT4L|115265	60.0778
DDIT4|54541	1431.7581	DDIT4|54541	464.634
DDOST|1650	3898.1509	DDOST|1650	3815.91
DDO|8528	124.7432	DDO|8528	82.8492
DDR1|780	6382.4479	DDR1|780	6455.4576
DDR2|4921	608.1597	DDR2|4921	531.4948
DDRGK1|65992	460.2289	DDRGK1|65992	495.6419
DDTL|100037417	172.2923	DDTL|100037417	165.8244
DDT|1652	467.3701	DDT|1652	431.4846
DDX10|1662	702.3775	DDX10|1662	553.2973
DDX11|1663	396.24300000000005	DDX11|1663	571.2237
DDX12|440081	26.4162	DDX12|440081	73.6438
DDX17|10521	13646.3164	DDX17|10521	19453.5826
DDX18|8886	2214.2647	DDX18|8886	2165.7082
DDX19A|55308	734.2706	DDX19A|55308	1026.6523
DDX19B|11269	556.5747	DDX19B|11269	701.0111
DDX1|1653	2456.4133	DDX1|1653	2382.7635
DDX20|11218	515.703	DDX20|11218	592.0571
DDX21|9188	2488.1127	DDX21|9188	2095.4559
DDX23|9416	2468.7408	DDX23|9416	2049.4285
DDX24|57062	3114.7637	DDX24|57062	3164.744
lowly_expressed	lowly_expressed	DDX25|29118	5.3295
DDX26B|203522	222.7766	DDX26B|203522	409.8857
DDX27|55661	929.5568	DDX27|55661	1065.8966
DDX28|55794	191.6642	DDX28|55794	276.6486
DDX31|64794	386.8506	DDX31|64794	348.8389
DDX39|10212	522.1603	DDX39|10212	440.8936
DDX3X|1654	10388.3182	DDX3X|1654	12764.5967
DDX41|51428	963.3108	DDX41|51428	897.2912
DDX42|11325	2964.4849	DDX42|11325	2915.2273
DDX43|55510	7.0443	DDX43|55510	13.0815
DDX46|9879	1708.5412	DDX46|9879	1624.5234
DDX47|51202	1024.6551	DDX47|51202	1074.1331
DDX49|54555	610.2143	DDX49|54555	641.476
DDX50|79009	1054.5935	DDX50|79009	1056.6912
DDX51|317781	410.6252	DDX51|317781	583.8207
DDX52|11056	736.7185	DDX52|11056	627.4255
DDX54|79039	962.533	DDX54|79039	932.9889999999999
DDX55|57696	422.6592	DDX55|57696	454.4596
DDX56|54606	1020.5459	DDX56|54606	1042.6407
DDX58|23586	1300.2642	DDX58|23586	711.2438
DDX59|83479	411.7992	DDX59|83479	577.0377
DDX5|1655	13165.5415	DDX5|1655	18203.5766
DDX60L|91351	652.4802	DDX60L|91351	500.9714
DDX60|55601	1586.1462	DDX60|55601	692.3483
DDX6|1656	4827.1206	DDX6|1656	4335.7768
DEAF1|10522	633.4018	DEAF1|10522	734.0152
DECR1|1666	1550.3375	DECR1|1666	971.9039
DECR2|26063	291.7523	DECR2|26063	208.3343
DEDD2|162989	378.3387	DEDD2|162989	475.7775
DEDD|9191	629.1811	DEDD|9191	759.4029
DEF6|50619	443.4987	DEF6|50619	275.6796
DEF8|54849	551.8051	DEF8|54849	862.4073
DEFB132|400830	6.7508	DEFB132|400830	53.2948
DEFB1|1672	59.8767	DEFB1|1672	57.1708
DEGS1|8560	1365.7176	DEGS1|8560	1704.4656
DEGS2|123099	1105.6648	DEGS2|123099	239.3422
DEK|7913	2582.0370000000003	DEK|7913	2907.9598
DEM1|64789	178.4561	DEM1|64789	167.15200000000002
DENND1A|57706	477.2527	DENND1A|57706	548.9368
DENND1B|163486	267.0972	DENND1B|163486	196.7064
DENND1C|79958	250.3669	DENND1C|79958	146.3185
DENND2A|27147	77.781	DENND2A|27147	234.0128
DENND2C|163259	63.393	DENND2C|163259	103.6633
DENND2D|79961	1375.6971	DENND2D|79961	647.7745
DENND3|22898	380.6868	DENND3|22898	352.7149
DENND4A|10260	937.7077	DENND4A|10260	660.8075
DENND4B|9909	811.5116	DENND4B|9909	1013.44
DENND4C|55667	2128.5588	DENND4C|55667	2308.6352
DENND5A|23258	1754.3293	DENND5A|23258	1694.2912
DENND5B|160518	402.1133	DENND5B|160518	390.9903
DENR|8562	1726.7391	DENR|8562	1485.4723
DEPDC1B|55789	28.7643	lowly_expressed	lowly_expressed
DEPDC1|55635	92.7502	DEPDC1|55635	15.9884
DEPDC4|120863	17.0238	DEPDC4|120863	10.1745
DEPDC5|9681	319.63599999999997	DEPDC5|9681	320.738
DEPDC6|64798	1010.273	DEPDC6|64798	1137.1179
DEPDC7|91614	50.1908	DEPDC7|91614	17.9264
DERA|51071	471.0889	DERA|51071	523.2583
DERL1|79139	2620.1937	DERL1|79139	1691.8687
DERL2|51009	514.8224	DERL2|51009	501.4559
DERL3|91319	303.7863	DERL3|91319	546.5143
lowly_expressed	lowly_expressed	DES|1674	31.4924
DET1|55070	142.35399999999998	DET1|55070	199.1289
DEXI|28955	592.31	DEXI|28955	575.5842
DFFA|1676	614.0299	DFFA|1676	607.5611
DFFB|1677	107.4259	DFFB|1677	146.3185
DFNA5|1687	199.2956	DFNA5|1687	249.5167
DFNB31|25861	299.6771	DFNB31|25861	389.5368
DFNB59|494513	27.2967	DFNB59|494513	56.6863
DGAT1|8694	580.7896	DGAT1|8694	599.6298
DGAT2|84649	173.7599	DGAT2|84649	1449.6194
DGCR11|25786	29.9384	DGCR11|25786	23.7404
DGCR14|8220	248.3123	DGCR14|8220	301.358
DGCR2|9993	2721.1623	DGCR2|9993	2920.0723
DGCR5|26220	7.6313	DGCR5|26220	18.4109
DGCR6L|85359	452.3041	DGCR6L|85359	434.5951
DGCR6|8214	187.2615	DGCR6|8214	205.9119
DGCR8|54487	756.9709	DGCR8|54487	916.6711
DGKA|1606	747.285	DGKA|1606	451.0681
DGKD|8527	977.693	DGKD|8527	1299.9094
DGKE|8526	283.5339	DGKE|8526	329.9435
DGKG|1608	24.9486	DGKG|1608	13.565999999999999
DGKH|160851	110.6545	DGKH|160851	65.8918
DGKI|9162	76.9005	DGKI|9162	86.2407
DGKQ|1609	343.9977	DGKQ|1609	314.92400000000004
DGKZ|8525	790.138	DGKZ|8525	582.3672
DGUOK|1716	537.7165	DGUOK|1716	569.7702
DHCR24|1718	15477.5462	DHCR24|1718	11731.1615
DHCR7|1717	572.351	DHCR7|1717	1105.6255
DHDDS|79947	682.7121	DHDDS|79947	821.7094
lowly_expressed	lowly_expressed	DHDH|27294	6.7829999999999995
lowly_expressed	lowly_expressed	DHDPSL|112817	17.379
DHFRL1|200895	398.5911	DHFRL1|200895	424.4207
DHFR|1719	271.8873	DHFR|1719	226.0815
DHH|50846	9.6859	DHH|50846	5.3295
DHODH|1723	86.88	DHODH|1723	139.5356
DHPS|1725	556.7948	DHPS|1725	756.3021
DHRS11|79154	125.9172	DHRS11|79154	182.6559
DHRS12|79758	248.8993	DHRS12|79758	304.265
DHRS13|147015	135.9847	DHRS13|147015	165.7469
DHRS1|115817	457.8808	DHRS1|115817	521.8049
DHRS2|10202	1309.3631	DHRS2|10202	2637.1252
DHRS3|9249	577.6343	DHRS3|9249	1056.6912
DHRS4L1|728635	12.034	DHRS4L1|728635	20.8334
DHRS4L2|317749	300.1115	DHRS4L2|317749	282.1864
DHRS4|10901	590.2612	DHRS4|10901	565.7198
DHRS7B|25979	449.0754	DHRS7B|25979	552.3283
DHRS7|51635	1442.3246	DHRS7|51635	1463.1854
DHRS9|10170	51.3648	DHRS9|10170	19.8644
DHRSX|207063	297.329	DHRSX|207063	296.5131
DHTKD1|55526	956.56	DHTKD1|55526	792.6395
DHX15|1665	3379.8063	DHX15|1665	3089.6468
DHX16|8449	731.7288	DHX16|8449	904.0741
DHX29|54505	995.8908	DHX29|54505	1095.9355
DHX30|22907	1419.4306	DHX30|22907	1513.0887
DHX32|55760	1150.678	DHX32|55760	1004.8256
DHX33|56919	456.4133	DHX33|56919	473.355
DHX34|9704	378.0452	DHX34|9704	416.6687
DHX35|60625	216.6129	DHX35|60625	244.1872
DHX36|170506	1182.2718	DHX36|170506	1029.5593
DHX37|57647	433.2257	DHX37|57647	411.8237
DHX38|9785	887.5844	DHX38|9785	1232.0796
DHX40|79665	1806.8682	DHX40|79665	1629.8529
DHX57|90957	682.125	DHX57|90957	578.4912
DHX58|79132	367.4787	DHX58|79132	294.0906
DHX8|1659	1488.6997	DHX8|1659	1129.3659
DHX9|1660	4798.0628	DHX9|1660	4183.1598
DIABLO|56616	787.0032	DIABLO|56616	707.6778
DIAPH1|1729	3485.1776	DIAPH1|1729	2750.9823
DIAPH2|1730	263.8685	DIAPH2|1730	172.4815
DIAPH3|81624	69.8562	DIAPH3|81624	7.2675
DICER1|23405	2701.4969	DICER1|23405	2608.0553
DIDO1|11083	1773.7012	DIDO1|11083	2139.5452
DIMT1L|27292	373.6425	DIMT1L|27292	549.9058
DIO1|1733	542.4127	DIO1|1733	8.721
DIO2|1734	1062.2248	DIO2|1734	303.7805
lowly_expressed	lowly_expressed	DIO3OS|64150	7.2675
DIO3|1735	37.5697	DIO3|1735	156.9775
DIP2A|23181	842.3833	DIP2A|23181	944.2875
DIP2B|57609	2238.9199	DIP2B|57609	1829.4662
DIP2C|22982	1049.3102	DIP2C|22982	1090.1216
DIRAS1|148252	218.96099999999998	DIRAS1|148252	276.1641
DIRAS2|54769	14.6757	DIRAS2|54769	46.9964
DIRAS3|9077	101.2621	DIRAS3|9077	195.7374
DIRC1|116093	6.1638	lowly_expressed	lowly_expressed
DIRC2|84925	336.8829	DIRC2|84925	364.9582
DIRC3|729582	6.7508	DIRC3|729582	10.659
DIS3L2|129563	374.8166	DIS3L2|129563	467.541
DIS3L|115752	912.533	DIS3L|115752	934.1131
DIS3|22894	1421.2005	DIS3|22894	1346.9203
DISC1|27185	220.1849	DISC1|27185	164.9233
DISP1|84976	230.408	DISP1|84976	223.8383
DISP2|85455	72.2043	DISP2|85455	71.7058
DIXDC1|85458	1381.2738	DIXDC1|85458	1800.3963
DKC1|1736	1217.1999	DKC1|1736	1203.4942
DKFZP586I1420|222161	533.6073	DKFZP586I1420|222161	377.9088
DKFZP686I15217|401232	49.0167	DKFZP686I15217|401232	62.0158
DKFZp434J0226|93429	48.4297	DKFZp434J0226|93429	118.2176
DKFZp686O24166|374383	74.5524	DKFZp686O24166|374383	31.4924
DKFZp761E198|91056	379.2193	DKFZp761E198|91056	467.0565
DKK1|22943	76.9005	DKK1|22943	30.5234
DKK2|27123	151.4529	DKK2|27123	140.9891
DKK3|27122	1842.3833	DKK3|27122	3173.465
DKKL1|27120	12.034	DKKL1|27120	5.3295
DLAT|1737	928.9698	DLAT|1737	933.1441
DLC1|10395	1650.1321	DLC1|10395	1655.5313
DLD|1738	1761.0801	DLD|1738	1545.0656
DLEC1|9940	13.7951	DLEC1|9940	34.3994
DLEU1|10301	74.5524	DLEU1|10301	41.0225
DLEU2L|79469	9.9795	DLEU2L|79469	12.1125
DLEU2|8847	31.901999999999997	DLEU2|8847	27.4614
DLEU7|220107	7.0443	lowly_expressed	lowly_expressed
DLG1|1739	1796.5835	DLG1|1739	1632.7598
DLG2|1740	78.0746	DLG2|1740	122.0936
DLG3|1741	1130.0264	DLG3|1741	1281.4985
DLG4|1742	290.3434	DLG4|1742	318.3397
DLG5|9231	3310.2436	DLG5|9231	2582.3769
DLGAP1|9229	21.133000000000003	DLGAP1|9229	64.4383
DLGAP2|9228	6.4573	DLGAP2|9228	17.9264
DLGAP3|58512	5.8703	lowly_expressed	lowly_expressed
DLGAP4|22839	1601.1154	DLGAP4|22839	1584.31
DLGAP5|9787	110.0675	lowly_expressed	lowly_expressed
DLK1|8788	6.1638	DLK1|8788	104.6517
DLK2|65989	36.1021	DLK2|65989	134.6906
DLL1|28514	134.1356	DLL1|28514	216.5708
DLL4|54567	262.4009	DLL4|54567	274.2261
DLST|1743	2109.4805	DLST|1743	2234.507
DLX1|1745	22.0135	DLX1|1745	6.2985
DLX2|1746	14.9692	lowly_expressed	lowly_expressed
DLX3|1747	75.4329	DLX3|1747	75.5818
DLX4|1748	10.5665	DLX4|1748	12.1125
DLX5|1749	5.5768	DLX5|1749	7.2675
