gene_id	TCGA-E2-A1BC-01A-11R-A12P-07	gene_id	TCGA-E2-A1BC-11A-32R-A12P-07
ACAD8|27034	467.7804	ACAD8|27034	955.2345
ACAD9|28976	722.3548	ACAD9|28976	1406.7844
ACADL|33	93.0788	ACADL|33	787.5869
ACADM|34	1467.7804	ACADM|34	2868.5572
ACADSB|36	3258.5521	ACADSB|36	1457.4639
ACADS|35	297.5338	ACADS|35	5216.3367
ACADVL|37	2000.7637	ACADVL|37	9118.5661
ACAN|176	67.6213	ACAN|176	14.9813
ACAP1|9744	25.4574	ACAP1|9744	69.1992
ACAP2|23527	1766.1098	ACAP2|23527	1477.4389
ACAP3|116983	284.821	ACAP3|116983	344.5693
ACAT1|38	1459.825	ACAT1|38	5580.1676
ACAT2|39	304.113	ACAT2|39	528.3538
ACBD3|64746	2196.4996	ACBD3|64746	1115.7482
ACBD4|79777	168.6555	ACBD4|79777	229.7129
ACBD5|91452	867.9395	ACBD5|91452	1013.7328
ACBD6|84320	408.9101	ACBD6|84320	507.2231
ACBD7|414149	18.2975	ACBD7|414149	7.8473
ACCN2|41	70.008	ACCN2|41	62.0653
ACCS|84680	195.7041	ACCS|84680	350.2764
ACD|65057	122.5139	ACD|65057	241.8406
ACE2|59272	7.1599	ACE2|59272	102.0153
ACER2|340485	280.0318	ACER2|340485	413.0551
ACER3|55331	265.712	ACER3|55331	1079.3651
ACE|1636	319.8091	ACE|1636	705.5466
ACHE|43	13.5243	ACHE|43	9.2741
ACIN1|22985	3318.218	ACIN1|22985	3110.3977
ACLY|47	5550.5171	ACLY|47	3469.9483
ACN9|57001	101.0342	ACN9|57001	220.4387
ACO1|48	2124.9006	ACO1|48	13076.5115
ACO2|50	2486.7144	ACO2|50	7762.9891
ACOT11|26027	8.4248	ACOT11|26027	7.1339
ACOT13|55856	491.7025	ACOT13|55856	720.7562
ACOT1|641371	1272.0764	ACOT1|641371	3599.0726
ACOT2|10965	613.3652	ACOT2|10965	2113.7863
ACOT4|122970	672.2355	ACOT4|122970	258.2486
ACOT6|641372	7.9554	ACOT6|641372	17.1215
ACOT7|11332	156.7224	ACOT7|11332	206.8843
ACOT8|10005	146.5792	ACOT8|10005	201.1343
ACOT9|23597	447.0963	ACOT9|23597	536.4723
ACOX1|51	2121.7184	ACOX1|51	3938.3414
ACOX2|8309	664.28	ACOX2|8309	554.3071
ACOX3|8310	637.2315	ACOX3|8310	293.9183
ACP1|52	1723.1504	ACP1|52	1386.8379
ACP2|53	2431.973	ACP2|53	903.1568
ACP5|54	303.8982	ACP5|54	214.0182
ACP6|51205	234.6858	ACP6|51205	168.361
ACPL2|92370	731.9014	ACPL2|92370	132.6913
ACPP|55	30.2307	ACPP|55	12.8411
ACRBP|84519	8.751	ACRBP|84519	14.9813
ACRC|93953	10.3421	ACRC|93953	51.3644
ACR|49	6.3644	ACR|49	12.1277
lowly_expressed	lowly_expressed	ACSBG1|23205	7.8473
ACSF2|80221	1758.1543	ACSF2|80221	2775.8159
ACSF3|197322	198.8862	ACSF3|197322	493.6686
ACSL1|2180	7909.3079	ACSL1|2180	63459.2474
ACSL3|2181	9041.3683	ACSL3|2181	1431.0683
ACSL4|2182	1131.2649	ACSL4|2182	4823.2566
ACSL5|51703	719.1726	ACSL5|51703	1812.0207
ACSM1|116285	34.2084	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSM2A|123876	116.2832
lowly_expressed	lowly_expressed	ACSM2B|348158	69.1992
ACSM3|6296	15.0994	ACSM3|6296	10.4227
ACSM5|54988	174.2243	ACSM5|54988	2245.7642
ACSS1|84532	1645.187	ACSS1|84532	576.4223
ACSS2|55902	1330.9467	ACSS2|55902	8258.2486
ACSS3|79611	1129.6738	ACSS3|79611	3689.6736
ACTA1|58	16.7064	ACTA1|58	29.2492
ACTA2|59	9839.459	ACTA2|59	5773.7471
ACTB|60	72068.4169	ACTB|60	41710.7187
lowly_expressed	lowly_expressed	ACTC1|70	5.7072
ACTG1|71	41479.7136	ACTG1|71	28235.42
ACTG2|72	298.3294	ACTG2|72	526.4848
ACTL6A|86	898.1702	ACTL6A|86	584.2697
ACTN1|87	5285.6006	ACTN1|87	2499.7325
lowly_expressed	lowly_expressed	ACTN2|88	13.5545
ACTN4|81	7471.432	ACTN4|81	7356.9039
ACTR10|55860	1140.0159	ACTR10|55860	1206.3492
ACTR1A|10121	2442.323	ACTR1A|10121	3120.3852
ACTR1B|10120	910.1034	ACTR1B|10120	1821.2948
ACTR2|10097	8934.7653	ACTR2|10097	4497.949
ACTR3B|57180	91.4877	ACTR3B|57180	138.3984
ACTR3C|653857	17.502	ACTR3C|653857	18.5482
ACTR3|10096	3969.7693	ACTR3|10096	2243.624
ACTR5|79913	230.708	ACTR5|79913	155.5199
ACTR6|64431	609.3874	ACTR6|64431	547.8866
ACTR8|93973	593.4765	ACTR8|93973	343.8559
ACVR1B|91	1859.9841	ACVR1B|91	968.0756
ACVR1C|130399	684.9642	ACVR1C|130399	9953.2727
