gene_id	TCGA-E2-A1BC-01A-11R-A12P-07	gene_id	TCGA-E2-A1BC-11A-32R-A12P-07
C13orf33|84935	151.1535	C13orf33|84935	993.0444
C13orf34|79866	150.7637	C13orf34|79866	69.7985
C13orf37|440145	369.9284	C13orf37|440145	313.8933
C13orf38|728591	6.3644	lowly_expressed	lowly_expressed
C14orf101|54916	481.3047	C14orf101|54916	360.264
C14orf102|55051	338.9021	C14orf102|55051	258.962
C14orf104|55172	325.3779	C14orf104|55172	175.4949
C14orf106|55320	603.8186	C14orf106|55320	1080.7919
C14orf109|26175	326.1734	C14orf109|26175	266.8093
C14orf118|55668	222.7526	C14orf118|55668	186.9092
C14orf119|55017	1182.9753	C14orf119|55017	863.2067
C14orf126|112487	470.3421	C14orf126|112487	319.5862
C14orf128|84837	42.1639	C14orf128|84837	79.1867
C14orf129|51527	854.4153	C14orf129|51527	348.8497
C14orf132|56967	370.7239	C14orf132|56967	298.9121
C14orf135|64430	1106.603	C14orf135|64430	548.6
C14orf138|79609	138.4248	C14orf138|79609	93.4546
C14orf139|79686	242.6412	C14orf139|79686	2484.7512
C14orf142|84520	345.2665	C14orf142|84520	149.0993
C14orf143|90141	115.354	C14orf143|90141	42.8036
C14orf145|145508	77.9634	C14orf145|145508	41.3769
C14orf147|171546	1667.4622	C14orf147|171546	1137.8634
C14orf148|122945	12.7287	lowly_expressed	lowly_expressed
C14orf149|112849	71.59899999999999	C14orf149|112849	325.3077
C14orf153|84334	324.2164	C14orf153|84334	923.9879
C14orf156|81892	848.0509	C14orf156|81892	666.31
C14orf159|80017	633.2538	C14orf159|80017	720.5279
C14orf162|56936	33.4129	lowly_expressed	lowly_expressed
C14orf166|51637	2714.3994	C14orf166|51637	3383.6276
C14orf167|55449	1190.9626	C14orf167|55449	764.5229
C14orf169|79697	417.6611	C14orf169|79697	179.0619
C14orf174|161394	147.1758	C14orf174|161394	8.5607
C14orf176|643382	6.3644	lowly_expressed	lowly_expressed
C14orf179|112752	296.7383	C14orf179|112752	189.7628
C14orf180|400258	178.2021	C14orf180|400258	4430.1766
C14orf181|400223	40.5728	C14orf181|400223	28.5358
C14orf19|280655	11.1376	C14orf19|280655	12.8411
C14orf1|11161	1024.6619	C14orf1|11161	568.575
C14orf21|161424	382.6571	C14orf21|161424	216.1584
C14orf28|122525	155.1313	C14orf28|122525	294.6317
C14orf2|9556	735.8791	C14orf2|9556	1461.0309
C14orf33|100129075	112.1718	C14orf33|100129075	141.9654
C14orf37|145407	174.2243	C14orf37|145407	113.3084
lowly_expressed	lowly_expressed	C14orf39|317761	5.7072
C14orf43|91748	1459.825	C14orf43|91748	998.7516
C14orf45|80127	678.7192	C14orf45|80127	89.5737
C14orf49|161176	92.2832	C14orf49|161176	1348.3146
C14orf4|64207	1768.4964	C14orf4|64207	2001.0701
lowly_expressed	lowly_expressed	C14orf50|145376	28.5358
C14orf64|388011	5.5688	C14orf64|388011	21.4018
C14orf79|122616	327.7645	C14orf79|122616	78.4733
C14orf80|283643	87.5099	C14orf80|283643	50.651
C14orf93|60686	165.4733	C14orf93|60686	250.4013
C15orf17|57184	1082.7367	C15orf17|57184	2694.489
C15orf21|283651	16.7064	C15orf21|283651	38.5233
C15orf23|90417	155.1313	C15orf23|90417	96.3082
C15orf24|56851	1182.1798	C15orf24|56851	1431.0683
C15orf27|123591	9.5465	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C15orf28|80035	7.1339
C15orf29|79768	428.0032	C15orf29|79768	428.7498
C15orf33|196951	42.2753	lowly_expressed	lowly_expressed
C15orf34|80072	87.5099	lowly_expressed	lowly_expressed
C15orf37|283687	62.6253	C15orf37|283687	104.5764
C15orf38|348110	568.2180000000001	C15orf38|348110	443.9451
C15orf39|56905	564.0414	C15orf39|56905	747.6369
C15orf40|123207	190.0716	C15orf40|123207	400.214
C15orf41|84529	100.2387	C15orf41|84529	104.8689
C15orf42|90381	14.3835	C15orf42|90381	14.4248
C15orf44|81556	1047.7327	C15orf44|81556	488.6749
C15orf48|84419	15.9109	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C15orf51|196968	8.5607
C15orf52|388115	81.1456	C15orf52|388115	129.8377
C15orf57|90416	532.4503	C15orf57|90416	381.6515
C15orf58|390637	67.6213	C15orf58|390637	38.5233
C15orf59|388135	25.4574	C15orf59|388135	25.6822
C15orf61|145853	111.3763	C15orf61|145853	215.445
C15orf62|643338	32.6173	C15orf62|643338	13.5545
C15orf63|25764	411.2967	C15orf63|25764	1183.5206
C16orf13|84326	276.0541	C16orf13|84326	567.8616
C16orf42|115939	493.9857	C16orf42|115939	1136.8504
C16orf45|89927	1551.3126	C16orf45|89927	313.8933
C16orf46|123775	61.257	C16orf46|123775	122.7038
C16orf48|84080	81.9411	C16orf48|84080	257.5352
C16orf52|730094	478.9181	C16orf52|730094	348.1363
C16orf53|79447	1166.8337	C16orf53|79447	475.7767
C16orf54|283897	15.9109	C16orf54|283897	37.8099
C16orf55|124045	94.6698	C16orf55|124045	66.3456
C16orf57|79650	376.2928	C16orf57|79650	626.3599
C16orf58|64755	2056.4837	C16orf58|64755	1759.9429
C16orf59|80178	13.5243	C16orf59|80178	10.7009
C16orf5|29965	423.2299	C16orf5|29965	711.9672
C16orf61|56942	129.6738	C16orf61|56942	190.09099999999998
C16orf62|57020	1762.1321	C16orf62|57020	1101.4803
C16orf63|123811	878.2816	C16orf63|123811	975.923
C16orf68|79091	143.1981	C16orf68|79091	387.3729
C16orf70|80262	503.9777	C16orf70|80262	327.3266
C16orf71|146562	116.1496	C16orf71|146562	7.1339
C16orf72|29035	2133.6516	C16orf72|29035	950.2408
C16orf74|404550	42.9594	C16orf74|404550	19.975
C16orf75|116028	64.4391	C16orf75|116028	17.8348
lowly_expressed	lowly_expressed	C16orf79|283870	14.4676
C16orf7|9605	123.2617	C16orf7|9605	258.2129
C16orf80|29105	298.3294	C16orf80|29105	623.5063
C16orf86|388284	21.4797	C16orf86|388284	146.9592
C16orf87|388272	82.7367	C16orf87|388272	93.4546
C16orf88|400506	715.9905	C16orf88|400506	214.7316
C16orf89|146556	49.3238	C16orf89|146556	622.7929
C16orf91|283951	294.3516	C16orf91|283951	126.2707
C16orf93|90835	58.8703	lowly_expressed	lowly_expressed
C17orf100|388327	8.751	C17orf100|388327	20.6884
C17orf101|79701	209.2283	C17orf101|79701	545.033
C17orf103|256302	467.7804	C17orf103|256302	1822.7216
C17orf104|284071	17.502	lowly_expressed	lowly_expressed
C17orf106|100134934	174.5744	C17orf106|100134934	364.4159
C17orf107|100130311	54.1209	C17orf107|100130311	13.8184
C17orf108|201229	156.7224	C17orf108|201229	400.8917
C17orf28|283987	2859.1885	C17orf28|283987	459.4257
C17orf37|84299	451.074	C17orf37|84299	472.9802
C17orf39|79018	270.4853	C17orf39|79018	698.4127
C17orf42|79736	121.7184	C17orf42|79736	137.685
C17orf44|284029	47.7327	C17orf44|284029	70.626
C17orf48|56985	184.5664	C17orf48|56985	314.6067
C17orf49|124944	408.3771	C17orf49|124944	958.4519
C17orf51|339263	200.4773	C17orf51|339263	385.2327
C17orf53|78995	47.7327	C17orf53|78995	433.7435
C17orf55|284185	7.1599	C17orf55|284185	19.2616
C17orf56|146705	211.1456	C17orf56|146705	268.5429
C17orf57|124989	46.1416	C17orf57|124989	37.8099
C17orf58|284018	435.9586	C17orf58|284018	407.348
C17orf59|54785	118.5362	C17orf59|54785	274.6567
lowly_expressed	lowly_expressed	C17orf60|284021	9.2741
C17orf61|254863	324.1289	C17orf61|254863	1590.3478
C17orf62|79415	959.4272	C17orf62|79415	806.8486
C17orf63|55731	688.1464	C17orf63|55731	393.7935
C17orf65|339201	201.8695	C17orf65|339201	119.5434
C17orf67|339210	11.1376	C17orf67|339210	18.5482
C17orf68|80169	489.2601	C17orf68|80169	687.7118
C17orf69|147081	59.6659	C17orf69|147081	27.109
C17orf70|80233	416.8656	C17orf70|80233	468.6998
C17orf71|55181	581.5434	C17orf71|55181	327.4478
C17orf72|92340	60.0159	C17orf72|92340	50.7152
C17orf75|64149	152.7446	C17orf75|64149	154.0931
C17orf76|388341	26.253	C17orf76|388341	30.6759
C17orf79|55352	362.7685	C17orf79|55352	810.4156
C17orf80|55028	782.8162	C17orf80|55028	450.865
C17orf81|23587	289.5784	C17orf81|23587	745.4967
lowly_expressed	lowly_expressed	C17orf82|388407	5.7072
C17orf85|55421	512.3309	C17orf85|55421	542.1794
C17orf86|654434	48.5282	C17orf86|654434	69.9126
C17orf89|284184	140.0159	C17orf89|284184	438.7373
C17orf90|339229	185.362	C17orf90|339229	291.0647
C17orf91|84981	142.4025	C17orf91|84981	245.4075
C17orf95|124512	274.46299999999997	C17orf95|124512	382.3792
C17orf96|100170841	474.1448	C17orf96|100170841	42.0902
C17orf97|400566	93.0788	C17orf97|400566	117.71
C18orf10|25941	861.5752	C18orf10|25941	704.1199
C18orf18|147525	27.0485	C18orf18|147525	80.6135
C18orf19|125228	360.3819	C18orf19|125228	261.8156
C18orf1|753	2577.5656	C18orf1|753	334.5818
C18orf21|83608	207.6372	C18orf21|83608	374.5318
C18orf22|79863	389.81699999999995	C18orf22|79863	636.3474
C18orf25|147339	752.5855	C18orf25|147339	465.8463
C18orf32|497661	1804.7176	C18orf32|497661	1019.7039
C18orf34|374864	14.3198	C18orf34|374864	112.7162
C18orf45|85019	950.6762	C18orf45|85019	68.4858
C18orf54|162681	109.7852	C18orf54|162681	63.4921
C18orf55|29090	420.8433	C18orf55|29090	471.5534
C18orf8|29919	337.3429	C18orf8|29919	372.9909
C19orf10|56005	1303.1026	C19orf10|56005	1067.2374
C19orf12|83636	466.1893	C19orf12|83636	2742.2864
C19orf18|147685	15.9109	C19orf18|147685	5.7072
C19orf20|91978	9.5465	C19orf20|91978	86.3207
C19orf21|126353	535.4018	lowly_expressed	lowly_expressed
C19orf22|91300	890.2148	C19orf22|91300	644.9082
C19orf23|148046	16.7064	C19orf23|148046	5.7072
C19orf24|55009	263.3254	C19orf24|55009	575.7089
C19orf25|148223	316.6269	C19orf25|148223	312.4666
C19orf26|255057	6.3644	lowly_expressed	lowly_expressed
C19orf28|126321	502.7844	C19orf28|126321	359.5506
C19orf29|58509	284.0095	C19orf29|58509	545.033
C19orf2|8725	1591.8854	C19orf2|8725	1670.0553
C19orf33|64073	7.327000000000001	C19orf33|64073	84.0378
C19orf35|374872	7.9554	C19orf35|374872	8.5607
C19orf36|113177	31.0263	C19orf36|113177	279.6504
lowly_expressed	lowly_expressed	C19orf38|255809	5.7072
C19orf39|126074	102.6253	C19orf39|126074	34.2429
C19orf40|91442	73.9857	C19orf40|91442	18.5482
C19orf42|79086	1520.2864	C19orf42|79086	2024.6121
C19orf43|79002	788.385	C19orf43|79002	2113.7863
C19orf44|84167	177.8759	C19orf44|84167	183.5491
C19orf46|163183	154.3357	lowly_expressed	lowly_expressed
C19orf47|126526	249.0056	C19orf47|126526	174.7815
C19orf48|84798	350.0398	C19orf48|84798	386.6595
C19orf50|79036	739.8568	C19orf50|79036	1322.6324
C19orf51|352909	46.1416	lowly_expressed	lowly_expressed
C19orf52|90580	209.2283	C19orf52|90580	222.5789
C19orf53|28974	795.5449	C19orf53|28974	1586.5882
C19orf54|284325	191.7263	C19orf54|284325	268.9495
C19orf55|148137	101.0342	C19orf55|148137	43.516999999999996
C19orf56|51398	1263.3015	C19orf56|51398	2005.3505
C19orf57|79173	11.1376	C19orf57|79173	16.4081
C19orf59|199675	6.3644	lowly_expressed	lowly_expressed
C19orf60|55049	81.1456	C19orf60|55049	388.7997
C19orf61|56006	505.9666	C19orf61|56006	258.962
C19orf62|29086	765.3142	C19orf62|29086	1336.9003
C19orf63|284361	1691.3286	C19orf63|284361	1254.8243
C19orf66|55337	335.3222	C19orf66|55337	388.7997
C19orf6|91304	856.0064	C19orf6|91304	1884.0735
C19orf70|125988	247.4145	C19orf70|125988	1207.776
lowly_expressed	lowly_expressed	C19orf71|100128569	7.1339
lowly_expressed	lowly_expressed	C19orf73|55150	7.1339
lowly_expressed	lowly_expressed	C19orf76|199800	29.2492
C1D|10438	225.9348	C1D|10438	278.2236
C1GALT1C1|29071	616.5473	C1GALT1C1|29071	378.8122
C1GALT1|56913	968.1782	C1GALT1|56913	221.8655
C1QA|712	515.5131	C1QA|712	2234.3499
C1QBP|708	856.9769	C1QBP|708	909.3633
C1QB|713	530.6285	C1QB|713	1207.776
C1QC|714	465.3938	C1QC|714	1115.0348
lowly_expressed	lowly_expressed	C1QL1|10882	14.9813
C1QL3|389941	27.8441	C1QL3|389941	19.2616
C1QTNF1|114897	865.5529	C1QTNF1|114897	8162.6538
C1QTNF2|114898	25.4574	C1QTNF2|114898	86.3207
C1QTNF3|114899	1853.6197	C1QTNF3|114899	162.6538
lowly_expressed	lowly_expressed	C1QTNF4|114900	6.4205
C1QTNF6|114904	1400.9547	C1QTNF6|114904	78.4733
C1QTNF7|114905	113.7629	C1QTNF7|114905	612.092
lowly_expressed	lowly_expressed	C1QTNF9B|387911	24.7405
C1QTNF9|338872	19.5704	C1QTNF9|338872	59.9251
C1RL|51279	932.0843	C1RL|51279	1181.1521
C1R|715	3432.7765	C1R|715	6496.1655
C1S|716	7037.5099	C1S|716	11517.7457
C1orf101|257044	7.1599	C1orf101|257044	7.1339
C1orf103|55791	1163.8823	C1orf103|55791	240.4138
C1orf104|284618	35.2586	C1orf104|284618	21.7657
C1orf106|55765	12.7287	lowly_expressed	lowly_expressed
C1orf107|27042	529.0374	C1orf107|27042	399.5006
C1orf109|54955	385.8393	C1orf109|54955	379.5256
C1orf112|55732	153.9857	C1orf112|55732	43.7239
C1orf113|79729	211.7582	C1orf113|79729	16.7719
C1orf115|79762	1599.8409	C1orf115|79762	4032.8161
C1orf116|79098	111.3763	lowly_expressed	lowly_expressed
C1orf122|127687	317.1122	C1orf122|127687	475.0134
C1orf123|54987	451.8695	C1orf123|54987	1380.4173
C1orf124|83932	229.9125	C1orf124|83932	107.0091
C1orf126|200197	9.1169	lowly_expressed	lowly_expressed
C1orf127|148345	10.3421	lowly_expressed	lowly_expressed
C1orf128|57095	838.5044	C1orf128|57095	1013.0194
C1orf130|400746	39.7772	lowly_expressed	lowly_expressed
C1orf131|128061	218.7749	C1orf131|128061	205.4575
C1orf133|574036	17.502	C1orf133|574036	34.9563
C1orf135|79000	46.9372	C1orf135|79000	8.5607
C1orf144|26099	2844.8687	C1orf144|26099	2782.9499
lowly_expressed	lowly_expressed	C1orf150|148823	9.2741
C1orf151|440574	721.7184	C1orf151|440574	1169.9661
C1orf152|767846	12.7287	C1orf152|767846	9.2741
C1orf156|92342	238.6635	C1orf156|92342	169.0744
C1orf159|54991	84.3278	C1orf159|54991	67.7724
C1orf161|126868	5.5688	C1orf161|126868	71.3394
C1orf162|128346	97.0565	C1orf162|128346	94.8814
C1orf163|65260	271.2808	C1orf163|65260	257.5352
C1orf168|199920	51.7104	lowly_expressed	lowly_expressed
C1orf170|84808	31.0263	C1orf170|84808	10.7009
C1orf172|126695	362.7685	lowly_expressed	lowly_expressed
C1orf174|339448	372.315	C1orf174|339448	353.8434
C1orf175|374977	15.9109	lowly_expressed	lowly_expressed
C1orf183|55924	42.9594	C1orf183|55924	173.3547
C1orf186|440712	8.751	C1orf186|440712	62.7787
lowly_expressed	lowly_expressed	C1orf190|541468	20.1391
C1orf192|257177	35.004	C1orf192|257177	19.975
C1orf198|84886	1297.5338	C1orf198|84886	612.8054
C1orf201|90529	247.4145	C1orf201|90529	221.8655
C1orf203|84852	80.3739	C1orf203|84852	66.4027
C1orf204|284677	10.4455	C1orf204|284677	25.9961
C1orf210|149466	177.4065	lowly_expressed	lowly_expressed
C1orf212|113444	614.9562	C1orf212|113444	759.7646
C1orf213|148898	56.1098	C1orf213|148898	139.2188
C1orf216|127703	448.6874	C1orf216|127703	309.613
C1orf21|81563	3575.179	C1orf21|81563	2245.7642
C1orf220|400798	19.0931	lowly_expressed	lowly_expressed
C1orf226|400793	923.6277	C1orf226|400793	103.4421
C1orf228|339541	7.9554	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C1orf229|388759	14.2679
C1orf25|81627	688.9419	C1orf25|81627	635.634
C1orf26|54823	208.4328	C1orf26|54823	219.0119
C1orf27|54953	1266.5076	C1orf27|54953	651.3287
C1orf31|388753	221.1615	C1orf31|388753	248.2611
C1orf35|79169	106.603	C1orf35|79169	328.8746
C1orf38|9473	75.5768	C1orf38|9473	218.2986
C1orf43|25912	4238.6635	C1orf43|25912	6200.8204
C1orf50|79078	159.109	C1orf50|79078	232.5664
C1orf51|148523	143.9936	C1orf51|148523	98.4484
C1orf52|148423	280.8274	C1orf52|148423	345.9961
C1orf53|388722	11.9332	C1orf53|388722	24.9688
C1orf54|79630	51.7104	C1orf54|79630	80.6135
C1orf55|163859	698.4885	C1orf55|163859	527.9115
C1orf56|54964	105.5688	C1orf56|54964	203.8666
C1orf57|84284	448.6874	C1orf57|84284	497.2356
C1orf58|148362	636.3564	C1orf58|148362	275.8766
C1orf59|113802	284.8051	C1orf59|113802	149.8127
C1orf63|57035	446.3007	C1orf63|57035	376.67199999999997
C1orf64|149563	2207.6372	lowly_expressed	lowly_expressed
C1orf66|51093	356.4041	C1orf66|51093	560.0143
C1orf69|200205	164.6778	C1orf69|200205	279.6504
C1orf70|339453	6.3644	C1orf70|339453	14.9813
C1orf74|148304	98.6476	C1orf74|148304	27.8224
C1orf77|26097	1743.039	C1orf77|26097	1411.0933
C1orf83|127428	253.7788	C1orf83|127428	168.361
C1orf84|149469	19.5704	C1orf84|149469	11.3144
C1orf85|112770	669.0533	C1orf85|112770	614.9456
C1orf86|199990	168.6714	C1orf86|199990	334.2037
C1orf88|128344	241.8457	C1orf88|128344	29.2492
C1orf89|79363	50.1193	C1orf89|79363	44.2304
C1orf91|56063	159.8488	C1orf91|56063	102.7287
C1orf93|127281	947.5815	C1orf93|127281	286.5704
C1orf95|375057	11.9332	C1orf95|375057	49.9376
C1orf96|126731	232.2991	C1orf96|126731	211.1646
C1orf97|84791	164.6778	C1orf97|84791	186.1958
C1orf9|51430	2120.9228	C1orf9|51430	922.4184
C20orf103|24141	418.4566	lowly_expressed	lowly_expressed
C20orf108|116151	4339.6977	C20orf108|116151	3663.278
C20orf111|51526	873.5084	C20orf111|51526	1070.8044
C20orf112|140688	968.1782	C20orf112|140688	891.7425
C20orf114|92747	29.4352	lowly_expressed	lowly_expressed
C20orf117|140710	525.8552	C20orf117|140710	150.5261
C20orf118|140711	9.0851	C20orf118|140711	5.914
C20orf11|54994	1398.568	C20orf11|54994	1356.8753
C20orf12|55184	186.9531	C20orf12|55184	57.0715
C20orf132|140699	19.101	C20orf132|140699	119.20100000000001
C20orf134|170487	23.8663	C20orf134|170487	8.5607
C20orf135|140701	23.8663	C20orf135|140701	77.0465
C20orf151|140893	46.9372	lowly_expressed	lowly_expressed
C20orf160|140706	69.2124	C20orf160|140706	373.105
lowly_expressed	lowly_expressed	C20orf165|128497	7.1339
C20orf177|63939	241.0501	C20orf177|63939	256.8218
C20orf194|25943	540.9706	C20orf194|25943	849.6522
C20orf196|149840	64.4391	C20orf196|149840	59.2117
C20orf199|441951	1146.3803	C20orf199|441951	2590.3335
lowly_expressed	lowly_expressed	C20orf202|400831	5.7072
C20orf20|55257	214.7971	C20orf20|55257	216.8718
C20orf24|55969	852.4662	C20orf24|55969	617.7992
C20orf26|26074	24.6619	lowly_expressed	lowly_expressed
C20orf27|54976	323.7868	C20orf27|54976	3558.4091
C20orf29|55317	183.7709	C20orf29|55317	186.1958
C20orf30|29058	2375.4972	C20orf30|29058	4222.5789
C20orf3|57136	6483.6913	C20orf3|57136	20841.8049
C20orf43|51507	2030.2307	C20orf43|51507	2842.1616
C20orf46|55321	10.3421	C20orf46|55321	19.2616
C20orf4|25980	1290.3739	C20orf4|25980	1045.8356
C20orf54|113278	167.0644	C20orf54|113278	25.6822
C20orf72|92667	688.9419	C20orf72|92667	245.4075
C20orf7|79133	136.0382	C20orf7|79133	181.9155
C20orf94|128710	52.506	C20orf94|128710	12.1277
C20orf96|140680	408.1146	C20orf96|140680	116.9966
C21orf119|84996	46.9372	C21orf119|84996	119.8502
C21orf122|728039	19.0931	C21orf122|728039	44.9438
C21orf15|54094	48.5282	C21orf15|54094	150.5261
lowly_expressed	lowly_expressed	C21orf29|54084	7.8473
C21orf2|755	199.6818	C21orf2|755	509.3633
C21orf33|8209	1286.3962	C21orf33|8209	4432.3167
C21orf34|388815	42.9594	C21orf34|388815	55.6447
C21orf45|54069	208.4328	C21orf45|54069	179.7753
C21orf56|84221	76.3723	C21orf56|84221	47.083999999999996
C21orf57|54059	147.1758	C21orf57|54059	123.4172
C21orf58|54058	22.2753	C21orf58|54058	19.2616
C21orf59|56683	905.8154	C21orf59|56683	411.8709
C21orf63|59271	496.42	C21orf63|59271	468.6998
C21orf67|84536	50.1193	C21orf67|84536	34.9563
C21orf70|85395	62.0525	C21orf70|85395	304.6192
C21orf7|56911	97.0565	C21orf7|56911	62.7787
C21orf81|391267	6.3644	C21orf81|391267	6.4205
C21orf82|114036	21.4797	C21orf82|114036	17.1215
C21orf91|54149	342.0843	C21orf91|54149	673.4439
C22orf13|83606	3479.1329	C22orf13|83606	3860.3603
C22orf23|84645	31.8218	C22orf23|84645	39.9501
C22orf25|128989	416.07	C22orf25|128989	432.3167
C22orf26|55267	12.7287	C22orf26|55267	10.7009
C22orf27|150291	172.6333	C22orf27|150291	78.4733
C22orf28|51493	2081.9411	C22orf28|51493	1743.5349
C22orf29|79680	755.7995	C22orf29|79680	323.624
C22orf30|253143	1910.899	C22orf30|253143	655.6091
C22orf32|91689	698.4885	C22orf32|91689	1863.3851
C22orf36|388886	247.4145	C22orf36|388886	100.5886
C22orf39|128977	540.175	C22orf39|128977	1137.15
C22orf40|150383	107.3986	C22orf40|150383	153.3797
C22orf46|79640	743.039	C22orf46|79640	589.2634
C22orf9|23313	1529.8329	C22orf9|23313	989.4774
C2CD2L|9854	404.9006	C2CD2L|9854	201.1771
C2CD2|25966	1221.1615	C2CD2|25966	4454.432
C2CD3|26005	767.7009	C2CD3|26005	257.5352
C2CD4A|145741	541.7661	lowly_expressed	lowly_expressed
C2CD4B|388125	39.7772	C2CD4B|388125	33.5295
C2CD4C|126567	14.3198	C2CD4C|126567	104.8689
C2CD4D|100191040	7.9554	lowly_expressed	lowly_expressed
C2orf15|150590	166.2689	C2orf15|150590	8.1826
C2orf16|84226	76.3723	C2orf16|84226	34.2429
C2orf18|54978	2090.6921	C2orf18|54978	1470.305
C2orf24|27013	1388.2259	C2orf24|27013	2984.8404
C2orf27A|29798	14.3198	C2orf27A|29798	14.2679
C2orf28|51374	1613.1265	C2orf28|51374	2984.4694
C2orf29|55571	1123.3095	C2orf29|55571	535.7589
C2orf34|79823	119.3317	C2orf34|79823	94.8814
C2orf3|6936	576.7701	C2orf3|6936	531.4785
C2orf40|84417	13.5243	C2orf40|84417	154.0931
C2orf42|54980	252.1877	C2orf42|54980	183.3423
C2orf43|60526	457.4383	C2orf43|60526	422.3292
C2orf44|80304	307.0804	C2orf44|80304	186.1958
C2orf47|79568	341.2888	C2orf47|79568	377.3854
C2orf49|79074	150.358	C2orf49|79074	164.0806
lowly_expressed	lowly_expressed	C2orf50|130813	6.4205
lowly_expressed	lowly_expressed	C2orf52|151477	6.4205
C2orf54|79919	1021.4797	lowly_expressed	lowly_expressed
C2orf55|343990	630.0716	C2orf55|343990	133.4047
C2orf56|55471	263.3254	C2orf56|55471	286.07099999999997
lowly_expressed	lowly_expressed	C2orf58|285154	14.9813
C2orf60|129450	268.8942	C2orf60|129450	148.3859
C2orf63|130162	178.9976	C2orf63|130162	37.0965
C2orf64|493753	571.9968	C2orf64|493753	769.0387
C2orf65|130951	6.3644	C2orf65|130951	21.4018
C2orf67|151050	367.5895	C2orf67|151050	722.8607
C2orf68|388969	851.2331	C2orf68|388969	696.2725
C2orf69|205327	644.3914	C2orf69|205327	495.8088
lowly_expressed	lowly_expressed	C2orf71|388939	25.6822
C2orf72|257407	628.4805	lowly_expressed	lowly_expressed
C2orf74|339804	149.5625	C2orf74|339804	270.3763
C2orf76|130355	79.5545	C2orf76|130355	69.9126
C2orf77|129881	132.0605	C2orf77|129881	14.2679
C2orf79|391356	184.5664	C2orf79|391356	243.2673
C2orf7|84279	250.5967	C2orf7|84279	473.6936
C2orf81|388963	92.6173	C2orf81|388963	26.5454
C2orf84|653140	5.5688	C2orf84|653140	70.626
C2orf86|51057	109.7852	C2orf86|51057	58.4983
C2orf88|84281	73.9857	C2orf88|84281	114.14299999999999
C2orf89|129293	19.8886	C2orf89|129293	281.7906
C2|717	226.6189	C2|717	338.1487
C3AR1|719	198.0907	C3AR1|719	133.4047
C3orf10|55845	2958.6317	C3orf10|55845	4387.3729
C3orf14|57415	1021.4797	C3orf14|57415	38.5233
C3orf15|89876	43.755	C3orf15|89876	23.541999999999998
C3orf17|25871	1016.7064	C3orf17|25871	1008.7391
C3orf18|51161	129.6738	C3orf18|51161	179.0619
C3orf19|51244	374.7017	C3orf19|51244	656.3225
C3orf1|51300	893.3969999999999	C3orf1|51300	1232.7448
C3orf21|152002	340.4932	C3orf21|152002	166.2208
C3orf23|285343	523.4686	C3orf23|285343	724.8083
C3orf26|84319	369.1329	C3orf26|84319	553.5937
C3orf31|132001	156.7224	C3orf31|132001	209.7378
C3orf32|51066	5.5688	lowly_expressed	lowly_expressed
C3orf33|285315	125.6961	C3orf33|285315	96.3082
C3orf34|84984	109.7852	C3orf34|84984	56.3581
C3orf36|80111	20.6842	lowly_expressed	lowly_expressed
C3orf37|56941	642.8003	C3orf37|56941	1600.8561
C3orf38|285237	578.3612	C3orf38|285237	358.1095
C3orf39|84892	514.7176	C3orf39|84892	350.9898
C3orf42|84657	7.1599	C3orf42|84657	14.2679
C3orf47|339942	17.502	C3orf47|339942	92.0278
C3orf52|79669	342.8799	C3orf52|79669	14.2679
C3orf54|389119	25.4574	C3orf54|389119	87.0341
C3orf55|152078	69.2124	C3orf55|152078	517.2106
C3orf57|165679	46.1416	C3orf57|165679	5.7072
C3orf58|205428	293.5561	C3orf58|205428	485.1079
C3orf59|151963	151.9491	C3orf59|151963	141.9654
C3orf62|375341	148.7669	C3orf62|375341	104.8689
C3orf63|23272	2362.4264	C3orf63|23272	1461.5516
C3orf64|285203	430.3898	C3orf64|285203	544.3196
C3orf67|200844	15.1154	C3orf67|200844	19.2616
C3orf70|285382	134.4471	C3orf70|285382	170.5012
C3orf71|646450	23.0708	C3orf71|646450	52.7912
C3orf75|54859	319.8091	C3orf75|54859	527.9115
C3|718	6210.0239	C3|718	21378.2772
C4A|720	43008.0509	C4A|720	860.6171
C4orf10|317648	254.2005	C4orf10|317648	327.7617
C4orf12|404201	15.9109	C4orf12|404201	67.059
C4orf14|84273	544.9483	C4orf14|84273	819.6897
C4orf19|55286	12.7287	C4orf19|55286	92.1848
C4orf21|55345	54.0971	C4orf21|55345	41.3769
C4orf23|152992	265.712	C4orf23|152992	228.9995
C4orf27|54969	404.1368	C4orf27|54969	422.3292
C4orf29|80167	155.9268	C4orf29|80167	97.0216
C4orf31|79625	97.0565	C4orf31|79625	181.9155
C4orf32|132720	1727.9236	C4orf32|132720	1872.6592
C4orf33|132321	354.0175	C4orf33|132321	137.685
C4orf34|201895	3132.8559999999998	C4orf34|201895	587.1232
lowly_expressed	lowly_expressed	C4orf36|132989	5.7072
C4orf38|152641	19.0931	C4orf38|152641	19.975
C4orf39|152756	15.9109	C4orf39|152756	16.4081
C4orf3|401152	3478.1225	C4orf3|401152	3161.0487
C4orf41|60684	1254.5744	C4orf41|60684	878.188
C4orf42|92070	315.0358	C4orf42|92070	336.0086
