gene_id	TCGA-E2-A15A-01A-11R-A12D-07	gene_id	TCGA-E2-A15A-06A-11R-A12D-07
ACAP1|9744	94.6973	ACAP1|9744	397.9615
ACAP2|23527	1916.3401	ACAP2|23527	2080.4746
ACAP3|116983	564.0854	ACAP3|116983	515.777
ACAT1|38	1025.034	ACAT1|38	1261.4285
ACAT2|39	1051.7796	ACAT2|39	745.7641
ACBD3|64746	2290.0104	ACBD3|64746	2039.4006
ACBD4|79777	178.1972	ACBD4|79777	157.2982
ACBD5|91452	2537.631	ACBD5|91452	749.0682
ACBD6|84320	435.0956	ACBD6|84320	530.0068
ACBD7|414149	37.431	ACBD7|414149	32.2507
ACCN1|40	100.4559	ACCN1|40	272.3055
ACCN2|41	56.6264	ACCN2|41	29.5124
ACCN3|9311	6.7184	ACCN3|9311	5.1723
ACCS|84680	205.0708	ACCS|84680	247.9653
ACD|65057	358.314	ACD|65057	495.9306
lowly_expressed	lowly_expressed	ACER1|125981	8.2148
ACER2|340485	141.0861	ACER2|340485	116.5285
ACER3|55331	1031.7524	ACER3|55331	2363.1247
ACE|1636	692.3138	ACE|1636	391.268
ACHE|43	5.4387	ACHE|43	34.0762
ACIN1|22985	1900.3439	ACIN1|22985	2350.3461
ACLY|47	6860.1136	ACLY|47	4299.9924
ACN9|57001	15.9962	ACN9|57001	29.8167
ACO1|48	1076.5416	ACO1|48	1239.5223
ACO2|50	4069.82	ACO2|50	3818.3768
ACOT11|26027	53.7471	ACOT11|26027	83.2007
ACOT13|55856	1121.3373	ACOT13|55856	1528.5343
ACOT1|641371	338.4788	ACOT1|641371	316.422
ACOT2|10965	267.7757	ACOT2|10965	247.0526
ACOT4|122970	309.0458	ACOT4|122970	292.9946
ACOT7|11332	711.5092	ACOT7|11332	1005.8568
ACOT8|10005	430.5719	ACOT8|10005	667.7934
ACOT9|23597	391.586	ACOT9|23597	451.5099
ACOX1|51	1911.4069	ACOX1|51	1663.3452
ACOX2|8309	99.4961	ACOX2|8309	113.1817
ACOX3|8310	1594.8172	ACOX3|8310	754.849
ACP1|52	1738.1428	ACP1|52	1705.332
ACP2|53	1876.6696	ACP2|53	1149.768
ACP5|54	1510.6774	ACP5|54	1072.488
ACP6|51205	142.3658	ACP6|51205	180.4214
ACPL2|92370	425.178	ACPL2|92370	312.771
ACPP|55	15.6762	ACPP|55	25.5572
ACRBP|84519	60.7854	ACRBP|84519	57.1994
ACRC|93953	11.5172	ACRC|93953	28.2954
ACR|49	18.2356	lowly_expressed	lowly_expressed
ACSBG2|81616	7.9981	ACSBG2|81616	5.4765
ACSF2|80221	396.0649	ACSF2|80221	269.9201
ACSF3|197322	381.9883	ACSF3|197322	350.194
ACSL1|2180	1920.819	ACSL1|2180	1812.1244
ACSL3|2181	3891.2261	ACSL3|2181	3058.9488
ACSL4|2182	576.1817	ACSL4|2182	555.2598
ACSL5|51703	305.5267	ACSL5|51703	320.9858
lowly_expressed	lowly_expressed	ACSL6|23305	14.2998
ACSM1|116285	28.4732	ACSM1|116285	13.6913
ACSM3|6296	13.9071	ACSM3|6296	20.1597
ACSM5|54988	39.3506	ACSM5|54988	13.9956
ACSS1|84532	1397.1047	ACSS1|84532	1790.8268
ACSS2|55902	1112.693	ACSS2|55902	937.0959
ACSS3|79611	330.4807	ACSS3|79611	343.1962
ACTA1|58	5.1188	lowly_expressed	lowly_expressed
ACTA2|59	5802.3706	ACTA2|59	6345.8736
ACTB|60	85045.1892	ACTB|60	93079.7901
ACTG1|71	64715.9882	ACTG1|71	89973.6822
ACTG2|72	182.0363	ACTG2|72	185.2894
ACTL6A|86	1744.8612	ACTL6A|86	2245.9877
ACTN1|87	4039.0306	ACTN1|87	2838.6704
ACTN4|81	12562.0859	ACTN4|81	9609.2523
ACTR10|55860	750.8598	ACTR10|55860	1041.7586
ACTR1A|10121	3406.2225	ACTR1A|10121	3609.6448
ACTR1B|10120	1441.574	ACTR1B|10120	1513.6533
ACTR2|10097	10355.5947	ACTR2|10097	8728.6833
ACTR3B|57180	64.6245	ACTR3B|57180	77.28
ACTR3C|653857	130.2087	ACTR3C|653857	88.5373
ACTR3|10096	4680.4767	ACTR3|10096	5091.9601
ACTR5|79913	350.3159	ACTR5|79913	528.7898
ACTR6|64431	794.0494	ACTR6|64431	789.2295
ACTR8|93973	435.7354	ACTR8|93973	420.1719
ACVR1B|91	1169.9592	ACVR1B|91	968.4339
lowly_expressed	lowly_expressed	ACVR1C|130399	9.4318
ACVR1|90	872.1107	ACVR1|90	946.2235
ACVR2A|92	168.5995	ACVR2A|92	288.7351
ACVR2B|93	318.9634	ACVR2B|93	324.9411
ACVRL1|94	384.2278	ACVRL1|94	578.9914
ACY1|95	541.3101	ACY1|95	442.9908
lowly_expressed	lowly_expressed	ACY3|91703	11.5616
ACYP1|97	56.9463	ACYP1|97	63.2844
ACYP2|98	61.4253	ACYP2|98	51.1143
ADAL|161823	229.065	ADAL|161823	239.4463
ADAM10|102	2761.2573	ADAM10|102	2276.1086
ADAM11|4185	8.6379	ADAM11|4185	6.6935
ADAM12|8038	1848.5164	ADAM12|8038	2091.732
ADAM15|8751	3864.1126	ADAM15|8751	2545.0886
ADAM17|6868	942.8137	ADAM17|6868	747.8512
ADAM19|8728	547.0687	ADAM19|8728	523.6176
ADAM22|53616	62.0651	ADAM22|53616	85.799
ADAM23|8745	14.7165	ADAM23|8745	23.1231
ADAM28|10863	95.657	ADAM28|10863	173.4236
ADAM29|11086	11.1973	ADAM29|11086	15.8211
ADAM2|2515	698.0725	ADAM2|2515	384.8787
ADAM32|203102	54.067	lowly_expressed	lowly_expressed
ADAM33|80332	12.477	ADAM33|80332	12.4743
ADAM3A|1587	22.7145	lowly_expressed	lowly_expressed
ADAM6|8755	20514.0846	ADAM6|8755	9886.8883
ADAM8|101	362.473	ADAM8|101	234.8825
ADAM9|8754	5380.7886	ADAM9|8754	1555.3358
ADAMDEC1|27299	447.5726	ADAMDEC1|27299	252.5291
ADAMTS10|81794	61.4253	ADAMTS10|81794	133.8708
ADAMTS12|81792	788.6107	ADAMTS12|81792	383.3574
ADAMTS13|11093	20.795	ADAMTS13|11093	20.0806
ADAMTS14|140766	109.0938	ADAMTS14|140766	32.2507
ADAMTS15|170689	327.9213	ADAMTS15|170689	641.6673
ADAMTS16|170690	87.0191	ADAMTS16|170690	221.4954
ADAMTS17|170691	56.9463	ADAMTS17|170691	13.6913
ADAMTS18|170692	6.3985	lowly_expressed	lowly_expressed
ADAMTS19|171019	7.3582	ADAMTS19|171019	94.6223
ADAMTS1|9510	222.9865	ADAMTS1|9510	128.3943
ADAMTS2|9509	825.082	ADAMTS2|9509	537.9174
ADAMTS3|9508	11.5172	ADAMTS3|9508	42.5953
ADAMTS4|9507	663.8407	ADAMTS4|9507	156.994
ADAMTS5|11096	151.0038	ADAMTS5|11096	40.7698
ADAMTS6|11174	44.4693	ADAMTS6|11174	24.0359
ADAMTS7|11173	196.7528	ADAMTS7|11173	89.4501
lowly_expressed	lowly_expressed	ADAMTS8|11095	6.6935
ADAMTS9|56999	163.4808	ADAMTS9|56999	117.4412
ADAMTSL1|92949	131.4884	ADAMTSL1|92949	87.9288
ADAMTSL2|9719	103.975	ADAMTSL2|9719	378.7936
ADAMTSL3|57188	64.6245	ADAMTSL3|57188	75.7587
ADAMTSL4|54507	91.1781	ADAMTSL4|54507	73.629
ADAMTSL5|339366	74.2222	ADAMTSL5|339366	30.7294
ADAP1|11033	561.4716	ADAP1|11033	472.8896
ADAP2|55803	315.7642	ADAP2|55803	263.7864
ADARB1|104	791.1701	ADARB1|104	535.1791
ADAR|103	18159.8016	ADAR|103	12341.3707
ADAT1|23536	514.7565	ADAT1|23536	318.5518
ADAT2|134637	67.1839	ADAT2|134637	142.9984
ADAT3|113179	15.0364	ADAT3|113179	15.2126
ADA|100	143.3256	ADA|100	176.1619
ADCK1|57143	176.5976	ADCK1|57143	173.7278
ADCK2|90956	1283.8615	ADCK2|90956	1022.895
ADCK4|79934	689.7545	ADCK4|79934	639.8418
ADCK5|203054	229.065	ADCK5|203054	271.3927
