gene_id	TCGA-E2-A15A-01A-11R-A12D-07	gene_id	TCGA-E2-A15A-06A-11R-A12D-07
BET1|10282	474.4461	BET1|10282	483.4563
BEX1|55859	81.5804	BEX1|55859	92.1883
BEX2|84707	19.8352	BEX2|84707	45.6378
BEX4|56271	353.8351	BEX4|56271	516.6198
BEX5|340542	15.0364	BEX5|340542	41.074
BFAR|51283	1289.2906	BFAR|51283	1202.7078
BFSP1|631	32.3122	BFSP1|631	66.0227
lowly_expressed	lowly_expressed	BFSP2|8419	5.4765
BGLAP|632	17.5734	BGLAP|632	39.5862
BGN|633	15357.9141	BGN|633	22095.0787
BHLHA15|168620	12.477	lowly_expressed	lowly_expressed
BHLHB9|80823	107.8141	BHLHB9|80823	122.9178
BHLHE22|27319	23.6743	BHLHE22|27319	43.508
BHLHE40|8553	6031.1925	BHLHE40|8553	5384.0419999999995
BHLHE41|79365	531.7124	BHLHE41|79365	364.4938
BHMT2|23743	39.3506	BHMT2|23743	5.4765
BICC1|80114	171.1589	BICC1|80114	92.4926
BICD1|636	199.3122	BICD1|636	269.8715
BICD2|23299	542.2699	BICD2|23299	764.2808
BID|637	336.6008	BID|637	281.3418
BIK|638	182.6762	BIK|638	282.3458
BIN1|274	230.6646	BIN1|274	404.6551
BIN2|51411	194.1934	BIN2|51411	371.4916
BIN3|55909	260.4175	BIN3|55909	346.2387
BIRC2|329	1304.6469	BIRC2|329	1211.5311
BIRC3|330	270.0152	BIRC3|330	735.9854
BIRC5|332	478.23400000000004	BIRC5|332	454.2207
BIRC6|57448	3704.7109	BIRC6|57448	2580.969
BIVM|54841	541.3837	BIVM|54841	861.0329
BLCAP|10904	1416.3001	BLCAP|10904	1471.6665
lowly_expressed	lowly_expressed	BLK|640	226.9719
BLMH|642	903.7831	BLMH|642	1152.8105
BLM|641	339.7585	BLM|641	328.2878
BLNK|29760	440.5343	BLNK|29760	484.3691
BLOC1S1|2647	758.538	BLOC1S1|2647	847.6459
BLOC1S2|282991	926.4976	BLOC1S2|282991	879.8966
BLOC1S3|388552	562.1051	BLOC1S3|388552	380.6192
BLVRA|644	2606.0945	BLVRA|644	2218.9093
BLVRB|645	1574.3422	BLVRB|645	1405.3396
BLZF1|8548	701.9115	BLZF1|8548	808.3974
BMF|90427	793.0897	BMF|90427	1472.5793
BMI1|648	1831.2629	BMI1|648	1283.0182
BMP1|649	657.7621	BMP1|649	366.3193
BMP2K|55589	451.7316	BMP2K|55589	375.7511
BMP2|650	6.3985	BMP2|650	6.085
BMP4|652	46.0689	BMP4|652	100.0989
BMP5|653	36.7912	BMP5|653	687.3051
BMP6|654	27.0111	BMP6|654	268.8553
BMP7|655	67.1839	BMP7|655	47.159
BMP8A|353500	760.7774	BMP8A|353500	160.3408
BMP8B|656	168.5995	BMP8B|656	64.1972
BMPR1A|657	549.3082	BMPR1A|657	104.3584
BMPR1B|658	1296.6488	lowly_expressed	lowly_expressed
BMPR2|659	3086.6192	BMPR2|659	2161.1014
BMS1P4|729096	33.5823	BMS1P4|729096	18.3494
BMS1P5|399761	40.3103	BMS1P5|399761	31.9465
BMS1|9790	1354.235	BMS1|9790	1014.6802
BMX|660	8.318	BMX|660	9.1276
BNC2|54796	237.703	BNC2|54796	172.5108
BNIP1|662	157.7221	BNIP1|662	132.3496
BNIP2|663	770.695	BNIP2|663	790.1422
BNIP3L|665	1350.076	BNIP3L|665	1642.0476
BNIP3|664	1361.9131	BNIP3|664	990.9485
BNIPL|149428	128.9291	BNIPL|149428	214.1934
BOC|91653	177.2375	BOC|91653	129.6113
BOD1L|259282	1791.2501	BOD1L|259282	1217.0077
BOD1|91272	636.3273	BOD1|91272	595.4209999999999
BOK|666	835.6394	BOK|666	958.0893
BOLA1|51027	170.5191	BOLA1|51027	189.5489
BOLA2|552900	1286.8208	BOLA2|552900	942.2499
BOLA3|388962	300.08799999999997	BOLA3|388962	250.7036
BOP1|23246	645.925	BOP1|23246	270.1757
BPGM|669	568.8235	BPGM|669	590.8572
BPHL|670	550.9078	BPHL|670	452.4226
BPNT1|10380	1026.6336	BPNT1|10380	873.5073
BPTF|2186	2821.4029	BPTF|2186	2264.2428
BRAF|673	262.9769	BRAF|673	164.9045
BRAP|8315	865.3923	BRAP|8315	785.5785
BRCA1|672	852.5954	BRCA1|672	868.335
BRCA2|675	314.4845	BRCA2|675	196.2425
BRCC3|79184	1183.0761	BRCC3|79184	972.9976
BRD1|23774	1002.9593	BRD1|23774	1216.7034
BRD2|6046	5638.3268	BRD2|6046	5213.6609
BRD3|8019	842.617	BRD3|8019	864.3919
BRD4|23476	1209.6297	BRD4|23476	1213.0524
BRD7|29117	1461.4093	BRD7|29117	1592.1503
BRD8|10902	935.4555	BRD8|10902	964.1743
BRD9|65980	743.5016	BRD9|65980	898.1517
BREA2|286076	6.7184	lowly_expressed	lowly_expressed
BRE|9577	660.0016	BRE|9577	760.3195
BRF1|2972	525.6338	BRF1|2972	534.2664
BRF2|55290	1618.1716	BRF2|55290	1103.5217
BRI3BP|140707	244.7413	BRI3BP|140707	140.5644
BRI3|25798	755.9786	BRI3|25798	812.6569
BRIP1|83990	168.9195	BRIP1|83990	162.1663
BRIX1|55299	866.3521	BRIX1|55299	1056.3627
BRMS1L|84312	210.1896	BRMS1L|84312	192.8957
BRMS1|25855	980.2447	BRMS1|25855	1060.9264
BRP44L|51660	338.4788	BRP44L|51660	406.1763
BRP44|25874	2669.7593	BRP44|25874	1536.1679
BRPF1|7862	350.9558	BRPF1|7862	439.3398
BRPF3|27154	1456.9303	BRPF3|27154	1335.0574
BRSK1|84446	44.4693	BRSK1|84446	38.64
BRSK2|9024	234.5037	BRSK2|9024	187.1149
BRWD1|54014	1888.8267	BRWD1|54014	2308.6636
BRWD3|254065	265.2163	BRWD3|254065	262.5694
BSCL2|26580	3642.6138	BSCL2|26580	3057.0959
BSDC1|55108	2737.9029	BSDC1|55108	2016.2775
BSG|682	8024.954000000001	BSG|682	7933.6731
BSN|8927	73.5823	BSN|8927	76.3672
BSPRY|54836	371.7508	BSPRY|54836	556.1725
BST1|683	55.3467	BST1|683	69.0652
BST2|684	6805.7266	BST2|684	3123.4502
BTAF1|9044	1191.3941	BTAF1|9044	1479.8813
BTBD10|84280	1025.3539	BTBD10|84280	812.6569
BTBD11|121551	103.3352	BTBD11|121551	98.8819
BTBD12|84464	437.9749	BTBD12|84464	418.0421
BTBD19|149478	10.2375	BTBD19|149478	10.9531
BTBD1|53339	1820.3631	BTBD1|53339	1425.116
BTBD2|55643	1045.5091	BTBD2|55643	1154.0275
BTBD3|22903	580.3407	BTBD3|22903	519.3580000000001
BTBD6|90135	711.1893	BTBD6|90135	638.6248
BTBD7|55727	455.5707	BTBD7|55727	454.5524
BTBD8|284697	10.8774	BTBD8|284697	5.7808
BTBD9|114781	694.2334	BTBD9|114781	499.8859
BTC|685	15.9962	BTC|685	30.7294
BTD|686	220.1072	BTD|686	279.9118
BTF3L4|91408	903.4632	BTF3L4|91408	855.5564
BTF3|689	5700.7118	BTF3|689	6297.7105
BTG1|694	4253.0593	BTG1|694	3824.1424
BTG2|7832	1846.5968	BTG2|7832	3768.16
BTG3|10950	222.6666	BTG3|10950	313.6837
BTK|695	176.9175	BTK|695	353.2365
BTLA|151888	13.7567	BTLA|151888	92.4926
BTN2A1|11120	838.8387	BTN2A1|11120	919.4493
BTN2A2|10385	338.4788	BTN2A2|10385	448.1631
BTN2A3|54718	32.6322	BTN2A3|54718	24.3402
BTN3A1|11119	779.6529	BTN3A1|11119	862.2499
BTN3A2|11118	1145.3251	BTN3A2|11118	1349.0529999999999
BTN3A3|10384	468.3676	BTN3A3|10384	554.347
BTNL9|153579	31.6724	BTNL9|153579	45.942
BTRC|8945	1167.3998	BTRC|8945	1075.8348
BUB1B|701	808.2092	BUB1B|701	1156.3855
BUB1|699	919.4593	BUB1|699	952.3085
BUB3|9184	5233.6239	BUB3|9184	8962.0446
BUD13|84811	335.2795	BUD13|84811	360.5385
BUD31|8896	1030.7638	BUD31|8896	988.7761
BVES|11149	35.1916	BVES|11149	26.1657
BYSL|705	500.6798	BYSL|705	495.9306
BZRAP1|9256	287.9309	BZRAP1|9256	449.0758
BZW1|9689	6378.3092	BZW1|9689	7608.4278
BZW2|28969	2883.7879	BZW2|28969	3403.9705
lowly_expressed	lowly_expressed	C10orf105|414152	7.6063
C10orf10|11067	1019.5953	C10orf10|11067	476.1543
C10orf110|55853	9.3865	C10orf110|55853	6.6844
C10orf114|399726	27.5134	C10orf114|399726	7.6063
C10orf116|10974	1353.6143	C10orf116|10974	426.1109
C10orf118|55088	481.4844	C10orf118|55088	377.5766
C10orf119|79892	1391.9859	C10orf119|79892	1607.6671
C10orf11|83938	39.9904	C10orf11|83938	22.2104
C10orf125|282969	116.772	C10orf125|282969	92.7968
C10orf128|170371	14.3965	C10orf128|170371	18.5594
C10orf12|26148	355.8282	C10orf12|26148	139.892
C10orf137|26098	419.4193	C10orf137|26098	442.3823
C10orf140|387640	36.7912	C10orf140|387640	14.6041
C10orf18|54906	2670.3991	C10orf18|54906	2318.3996
C10orf25|220979	41.4461	C10orf25|220979	35.5975
C10orf26|54838	1950.5719	C10orf26|54838	1845.5922
C10orf28|27291	423.2584	C10orf28|27291	385.7914
C10orf2|56652	381.3485	C10orf2|56652	452.1184
C10orf32|119032	715.6682	C10orf32|119032	724.4238
C10orf35|219738	309.0458	C10orf35|219738	198.6765
C10orf41|100131213	7.6782	lowly_expressed	lowly_expressed
C10orf46|143384	1474.5261	C10orf46|143384	1259.2987
C10orf47|254427	350.9558	C10orf47|254427	545.2194
C10orf4|118924	296.2489	C10orf4|118924	326.4623
C10orf54|64115	353.5152	C10orf54|64115	604.8528
C10orf55|414236	12.2819	C10orf55|414236	7.4755
C10orf57|80195	1760.1056	C10orf57|80195	1340.251
C10orf58|84293	2531.5524	C10orf58|84293	1971.5524
C10orf72|196740	327.2815	C10orf72|196740	248.2696
C10orf75|90271	159.0018	C10orf75|90271	111.052
C10orf76|79591	925.5379	C10orf76|79591	998.2506
C10orf78|119392	61.4253	C10orf78|119392	95.8394
C10orf79|80217	6.7184	C10orf79|80217	11.5616
C10orf81|79949	1728.2252	C10orf81|79949	1570.5484
C10orf82|143379	118.0517	C10orf82|143379	96.7521
C10orf84|63877	555.0668	C10orf84|63877	609.4166
C10orf88|80007	240.2623	C10orf88|80007	240.6633
C10orf91|170393	6.0785	lowly_expressed	lowly_expressed
C10orf95|79946	13.1776	C10orf95|79946	11.7107
C11orf10|746	1324.8020000000001	C11orf10|746	1477.4473
C11orf17|56672	406.6224	C11orf17|56672	308.5114
C11orf1|64776	85.3619	C11orf1|64776	102.8402
C11orf21|29125	7.9981	C11orf21|29125	27.6869
C11orf24|53838	1298.2484	C11orf24|53838	1401.6886
C11orf2|738	1432.2962	C11orf2|738	1662.7367
C11orf30|56946	1396.7848	C11orf30|56946	2502.472
C11orf31|280636	620.3311	C11orf31|280636	474.0245
C11orf35|256329	35.2012	C11orf35|256329	26.5216
C11orf41|25758	320.883	C11orf41|25758	34.6847
C11orf45|219833	77.7413	C11orf45|219833	65.7184
C11orf46|120534	595.0572	C11orf46|120534	727.7706
C11orf48|79081	976.3353	C11orf48|79081	935.4043
C11orf49|79096	562.425	C11orf49|79096	559.5193
C11orf51|25906	289.6969	C11orf51|25906	296.9255
C11orf52|91894	382.3146	C11orf52|91894	329.2219
C11orf54|28970	401.8236	C11orf54|28970	442.07800000000003
C11orf57|55216	741.9019	C11orf57|55216	819.3504
C11orf58|10944	3727.1055	C11orf58|10944	3548.1859
C11orf59|55004	1173.1584	C11orf59|55004	1210.6184
C11orf61|79684	127.6494	C11orf61|79684	157.9067
C11orf63|79864	89.5785	C11orf63|79864	169.7726
C11orf65|160140	6.0785	C11orf65|160140	5.1723
C11orf66|220004	22.7145	C11orf66|220004	24.9487
C11orf67|28971	330.1608	C11orf67|28971	732.0818
C11orf68|83638	739.9824	C11orf68|83638	867.4222
C11orf70|85016	7.9981	C11orf70|85016	10.3446
C11orf71|54494	213.3888	C11orf71|54494	163.9918
C11orf73|51501	258.178	C11orf73|51501	275.6522
C11orf74|119710	39.0306	C11orf74|119710	55.3738
C11orf75|56935	150.04399999999998	C11orf75|56935	186.2022
C11orf80|79703	1346.8767	C11orf80|79703	2204.9137
C11orf82|220042	205.3907	C11orf82|220042	149.9962
C11orf83|790955	349.3562	C11orf83|790955	355.208
C11orf84|144097	561.7852	C11orf84|144097	661.4437
lowly_expressed	lowly_expressed	C11orf90|387804	14.6041
C11orf92|399948	18.2356	C11orf92|399948	18.2551
C11orf93|120376	24.954	C11orf93|120376	23.4274
C11orf95|65998	295.6091	C11orf95|65998	313.6837
C11orf9|745	68.1436	C11orf9|745	61.1546
C12orf10|60314	639.8464	C12orf10|60314	694.3029
C12orf11|55726	511.5572	C12orf11|55726	566.2128
C12orf23|90488	1415.0204	C12orf23|90488	1188.1037
C12orf24|29902	76.7816	C12orf24|29902	112.5732
C12orf26|84190	62.385	C12orf26|84190	61.4589
C12orf29|91298	383.1113	C12orf29|91298	389.3816
C12orf32|83695	790.5303	C12orf32|83695	617.0229
C12orf34|84915	218.8275	C12orf34|84915	128.0901
C12orf35|55196	1372.7905	C12orf35|55196	2112.4211
C12orf41|54934	736.4632	C12orf41|54934	871.9860000000001
lowly_expressed	lowly_expressed	C12orf42|374470	7.9105
C12orf43|64897	326.9615	C12orf43|64897	329.2006
C12orf44|60673	828.6011	C12orf44|60673	778.8849
C12orf45|121053	117.7317	C12orf45|121053	111.9647
C12orf47|51275	308.969	C12orf47|51275	342.7337
C12orf48|55010	304.0646	C12orf48|55010	251.7289
C12orf49|79794	824.4421	C12orf49|79794	725.6408
C12orf4|57102	490.7622	C12orf4|57102	578.6872
C12orf51|283450	2991.6020000000003	C12orf51|283450	1816.0797
C12orf52|84934	653.2832	C12orf52|84934	573.8191
lowly_expressed	lowly_expressed	C12orf53|196500	34.3805
C12orf56|115749	11.1973	C12orf56|115749	22.2104
C12orf57|113246	1057.3462	C12orf57|113246	649.8821
C12orf59|120939	24.954	C12orf59|120939	20.3849
C12orf5|57103	371.1109	C12orf5|57103	311.55400000000003
C12orf60|144608	31.6724	C12orf60|144608	37.1187
C12orf62|84987	468.0477	C12orf62|84987	424.1272
C12orf65|91574	211.7892	C12orf65|91574	212.0636
C12orf66|144577	169.2394	C12orf66|144577	163.6875
C12orf68|387856	7.9981	lowly_expressed	lowly_expressed
C12orf69|440087	5.7586	C12orf69|440087	22.8189
C12orf72|254013	35.8314	C12orf72|254013	38.64
C12orf73|728568	218.1876	C12orf73|728568	233.3612
C12orf75|387882	207.9501	C12orf75|387882	283.5628
C12orf76|400073	143.9654	C12orf76|400073	221.7662
C13orf15|28984	145.5651	C13orf15|28984	232.1442
C13orf18|80183	80.6207	C13orf18|80183	222.7124
C13orf1|57213	253.3792	C13orf1|57213	323.724
C13orf23|80209	2479.085	C13orf23|80209	1092.2644
C13orf27|93081	142.3658	C13orf27|93081	256.4844
C13orf29|283487	76.4616	C13orf29|283487	147.5622
lowly_expressed	lowly_expressed	C13orf30|144809	8.2148
C13orf31|144811	579.3809	C13orf31|144811	224.5379
C13orf33|84935	85.7394	C13orf33|84935	92.1883
C13orf34|79866	223.2456	C13orf34|79866	367.3629
C13orf37|440145	656.4824	C13orf37|440145	972.9976
C14orf101|54916	395.745	C14orf101|54916	476.4585
C14orf102|55051	177.5574	C14orf102|55051	205.6743
C14orf104|55172	173.7183	C14orf104|55172	185.5937
C14orf106|55320	434.4557	C14orf106|55320	524.5303
C14orf109|26175	261.3773	C14orf109|26175	210.2381
C14orf118|55668	210.5095	C14orf118|55668	185.8979
C14orf119|55017	650.0840000000001	C14orf119|55017	775.2339
C14orf126|112487	426.7936	C14orf126|112487	605.0749
C14orf128|84837	43.1896	C14orf128|84837	41.9868
C14orf129|51527	485.6434	C14orf129|51527	412.5656
C14orf132|56967	178.1972	C14orf132|56967	220.5826
C14orf135|64430	522.4346	C14orf135|64430	642.5801
C14orf138|79609	81.2605	C14orf138|79609	110.1392
C14orf139|79686	23.9942	C14orf139|79686	109.2264
C14orf142|84520	130.2087	C14orf142|84520	96.1436
C14orf143|90141	98.2164	C14orf143|90141	94.9266
C14orf145|145508	88.9387	C14orf145|145508	115.6157
C14orf147|171546	1329.281	C14orf147|171546	1465.2772
lowly_expressed	lowly_expressed	C14orf148|122945	7.3020000000000005
C14orf149|112849	39.3506	C14orf149|112849	47.7676
C14orf153|84334	247.9405	C14orf153|84334	284.1713
C14orf156|81892	431.2565	C14orf156|81892	479.1968
C14orf159|80017	216.9079	C14orf159|80017	287.8223
C14orf162|56936	11.8372	lowly_expressed	lowly_expressed
C14orf166|51637	1474.2062	C14orf166|51637	1901.8788
C14orf167|55449	998.1125	C14orf167|55449	1018.5502
C14orf169|79697	299.1282	C14orf169|79697	345.9344
C14orf174|161394	56.6264	C14orf174|161394	69.9779
C14orf179|112752	190.9942	C14orf179|112752	256.4844
C14orf181|400223	12.1571	C14orf181|400223	18.8636
C14orf182|283551	7.9981	C14orf182|283551	10.6488
C14orf1|11161	709.5897	C14orf1|11161	641.9716
C14orf21|161424	648.1644	C14orf21|161424	644.7098
C14orf28|122525	53.1073	C14orf28|122525	55.0696
C14orf2|9556	551.8676	C14orf2|9556	663.8777
C14orf33|100129075	47.9885	C14orf33|100129075	66.3269
C14orf37|145407	88.2988	C14orf37|145407	49.2888
C14orf43|91748	1167.7197	C14orf43|91748	1158.2871
C14orf45|80127	213.0401	C14orf45|80127	215.6264
C14orf49|161176	14.7165	C14orf49|161176	27.3827
C14orf4|64207	987.6030000000001	C14orf4|64207	1030.5013
C14orf50|145376	7.3582	C14orf50|145376	5.4765
C14orf53|440184	24.6341	C14orf53|440184	6.6935
lowly_expressed	lowly_expressed	C14orf64|388011	16.4296
C14orf73|91828	8.9579	C14orf73|91828	27.0784
C14orf79|122616	143.9654	C14orf79|122616	177.6831
C14orf80|283643	137.2471	C14orf80|283643	140.5644
C14orf93|60686	157.4022	C14orf93|60686	201.1105
C15orf17|57184	993.0417	C15orf17|57184	857.9904
C15orf21|283651	35.1916	C15orf21|283651	67.2397
C15orf23|90417	621.6108	C15orf23|90417	717.426
C15orf24|56851	1181.7964	C15orf24|56851	1223.397
C15orf26|161502	8.6379	lowly_expressed	lowly_expressed
C15orf27|123591	13.7567	C15orf27|123591	10.0403
lowly_expressed	lowly_expressed	C15orf28|80035	5.7808
C15orf29|79768	353.8351	C15orf29|79768	412.5656
C15orf33|196951	18.3028	C15orf33|196951	28.3897
C15orf34|80072	10.5575	C15orf34|80072	8.8233
C15orf37|283687	19.125	C15orf37|283687	18.7754
C15orf38|348110	282.9753	C15orf38|348110	253.6305
C15orf39|56905	897.7046	C15orf39|56905	854.0351
C15orf40|123207	171.7988	C15orf40|123207	156.7536
C15orf41|84529	103.0153	C15orf41|84529	126.2645
C15orf42|90381	258.7763	C15orf42|90381	215.6051
C15orf44|81556	1626.8096	C15orf44|81556	1661.5197
C15orf48|84419	400.8638	C15orf48|84419	78.1927
C15orf52|388115	399.5841	C15orf52|388115	161.862
C15orf56|644809	25.5939	C15orf56|644809	46.5505
C15orf57|90416	464.6885	C15orf57|90416	581.8757
C15orf58|390637	71.3429	C15orf58|390637	44.725
C15orf59|388135	6.0785	C15orf59|388135	9.1276
C15orf61|145853	101.4157	C15orf61|145853	141.4771
C15orf62|643338	25.5939	C15orf62|643338	38.3357
C15orf63|25764	864.4325	C15orf63|25764	978.8332
C16orf13|84326	446.9327	C16orf13|84326	376.6639
C16orf42|115939	656.1977	C16orf42|115939	549.1656
C16orf45|89927	145.885	C16orf45|89927	148.4749
C16orf46|123775	45.1092	C16orf46|123775	42.8995
C16orf48|84080	186.8352	C16orf48|84080	218.1486
C16orf52|730094	238.3428	C16orf52|730094	264.6992
C16orf53|79447	1074.1678	C16orf53|79447	883.1733
C16orf54|283897	60.1456	C16orf54|283897	251.3121
C16orf55|124045	198.9922	C16orf55|124045	175.8576
C16orf57|79650	1050.3079	C16orf57|79650	837.9098
C16orf58|64755	2183.8119	C16orf58|64755	1797.2161
C16orf59|80178	131.1685	C16orf59|80178	123.22200000000001
C16orf5|29965	352.2355	C16orf5|29965	471.5905
C16orf61|56942	343.4472	C16orf61|56942	311.3988
C16orf62|57020	755.3387	C16orf62|57020	979.6912
C16orf63|123811	766.5360000000001	C16orf63|123811	1012.8546
C16orf68|79091	132.7681	C16orf68|79091	128.0901
C16orf70|80262	784.8580000000001	C16orf70|80262	699.7642
C16orf71|146562	10.2375	C16orf71|146562	6.3893
C16orf72|29035	1171.5588	C16orf72|29035	1091.6559
C16orf74|404550	149.7241	C16orf74|404550	118.9625
C16orf75|116028	202.1915	C16orf75|116028	173.4236
C16orf79|283870	12.5314	C16orf79|283870	15.6264
C16orf7|9605	141.8987	C16orf7|9605	113.7263
C16orf80|29105	530.4327	C16orf80|29105	602.4188
C16orf86|388284	24.6341	C16orf86|388284	24.0359
C16orf87|388272	144.6053	C16orf87|388272	149.9962
C16orf88|400506	630.8886	C16orf88|400506	686.0881
C16orf89|146556	90.2183	C16orf89|146556	12.4743
C16orf91|283951	219.4673	C16orf91|283951	204.153
C16orf93|90835	95.65700000000001	C16orf93|90835	75.7587
C17orf100|388327	42.8697	C17orf100|388327	52.6356
C17orf101|79701	327.9213	C17orf101|79701	333.4601
C17orf103|256302	449.1722	C17orf103|256302	310.6412
C17orf104|284071	12.1571	C17orf104|284071	6.6935
C17orf106|100134934	165.8354	C17orf106|100134934	151.0885
C17orf107|100130311	58.7891	C17orf107|100130311	78.2445
C17orf108|201229	165.7202	C17orf108|201229	179.4873
C17orf28|283987	4252.4194	C17orf28|283987	3031.2619
C17orf37|84299	816.4441	C17orf37|84299	736.5939
C17orf39|79018	291.77	C17orf39|79018	247.3568
C17orf42|79736	162.8409	C17orf42|79736	177.3789
C17orf44|284029	45.4291	C17orf44|284029	92.7968
C17orf48|56985	77.4214	C17orf48|56985	114.0945
C17orf49|124944	727.627	C17orf49|124944	833.2121
C17orf51|339263	65.5843	C17orf51|339263	48.6803
C17orf53|78995	134.0478	C17orf53|78995	127.7858
C17orf55|284185	9.5977	C17orf55|284185	15.5168
C17orf56|146705	258.5779	C17orf56|146705	324.4603
C17orf57|124989	41.59	C17orf57|124989	43.8123
C17orf58|284018	503.2392	C17orf58|284018	335.5899
C17orf59|54785	150.3639	C17orf59|54785	148.1707
C17orf60|284021	26.8736	C17orf60|284021	37.7272
C17orf61|254863	374.2974	C17orf61|254863	380.0076
C17orf62|79415	1521.2349	C17orf62|79415	1216.3992
C17orf63|55731	734.8636	C17orf63|55731	660.8352
C17orf65|339201	117.6102	C17orf65|339201	114.4078
C17orf67|339210	54.067	C17orf67|339210	43.508
C17orf68|80169	502.9193	C17orf68|80169	750.2852
C17orf69|147081	39.6705	C17orf69|147081	48.0718
C17orf70|80233	857.0743	C17orf70|80233	792.2719999999999
C17orf71|55181	658.0821	C17orf71|55181	661.1394
C17orf72|92340	27.0207	C17orf72|92340	19.3291
C17orf75|64149	298.8083	C17orf75|64149	342.2834
C17orf76|388341	58.226000000000006	C17orf76|388341	113.7902
C17orf79|55352	685.9154	C17orf79|55352	655.6629
C17orf80|55028	653.2864	C17orf80|55028	705.2560000000001
C17orf81|23587	335.2795	C17orf81|23587	454.2481
C17orf82|388407	5.4387	lowly_expressed	lowly_expressed
C17orf85|55421	520.835	C17orf85|55421	643.1886
C17orf86|654434	121.2509	C17orf86|654434	123.22200000000001
C17orf87|388325	26.2337	C17orf87|388325	82.3975
C17orf89|284184	292.4098	C17orf89|284184	249.7908
C17orf90|339229	333.9998	C17orf90|339229	242.793
C17orf91|84981	73.2624	C17orf91|84981	93.7096
C17orf95|124512	387.7469	C17orf95|124512	410.4358
C17orf96|100170841	192.2739	C17orf96|100170841	31.9465
C17orf97|400566	64.6245	C17orf97|400566	103.4457
C18orf10|25941	1253.7791	C18orf10|25941	1272.3815
C18orf18|147525	30.0728	C18orf18|147525	37.423
C18orf19|125228	363.1129	C18orf19|125228	329.2006
C18orf1|753	1424.6181	C18orf1|753	1607.6671
C18orf21|83608	165.0804	C18orf21|83608	211.7593
C18orf22|79863	218.5076	C18orf22|79863	200.1978
C18orf25|147339	654.5629	C18orf25|147339	713.1665
C18orf32|497661	1416.5848	C18orf32|497661	1172.2188
C18orf45|85019	538.1109	C18orf45|85019	641.6673
C18orf54|162681	129.5689	C18orf54|162681	185.2894
C18orf55|29090	183.6359	C18orf55|29090	257.3971
C18orf56|494514	22.7145	C18orf56|494514	12.1701
C18orf8|29919	384.6821	C18orf8|29919	437.8885
C19orf10|56005	3152.5234	C19orf10|56005	2845.6682
C19orf12|83636	447.5726	C19orf12|83636	366.6236
C19orf20|91978	12.477	C19orf20|91978	9.7361
C19orf21|126353	1165.4803	C19orf21|126353	1172.2827
C19orf22|91300	1228.1852	C19orf22|91300	1271.7730000000001
C19orf23|148046	9.5977	C19orf23|148046	6.6935
C19orf24|55009	422.2986	C19orf24|55009	396.13599999999997
C19orf25|148223	246.021	C19orf25|148223	288.1266
C19orf26|255057	7.9981	C19orf26|255057	5.7808
C19orf28|126321	821.2429	C19orf28|126321	749.6767
C19orf29|58509	230.9846	C19orf29|58509	252.2248
C19orf2|8725	1436.7752	C19orf2|8725	1171.3699
C19orf33|64073	432.6962	C19orf33|64073	453.9956
lowly_expressed	lowly_expressed	C19orf35|374872	10.9531
C19orf36|113177	7.9981	C19orf36|113177	11.8658
C19orf38|255809	16.3161	C19orf38|255809	29.2082
C19orf39|126074	66.86399999999999	C19orf39|126074	87.3203
C19orf40|91442	79.6609	C19orf40|91442	73.62899999999999
C19orf42|79086	897.0647	C19orf42|79086	1088.9176
C19orf43|79002	895.1452	C19orf43|79002	1096.8282
C19orf44|84167	80.2847	C19orf44|84167	106.336
C19orf45|374877	9.5977	C19orf45|374877	6.9978
C19orf46|163183	309.3658	C19orf46|163183	218.4529
C19orf47|126526	421.019	C19orf47|126526	263.4822
C19orf48|84798	818.0437	C19orf48|84798	642.8843
C19orf50|79036	1066.3041	C19orf50|79036	1496.9194
C19orf51|352909	135.0076	C19orf51|352909	130.5241
C19orf52|90580	159.9616	C19orf52|90580	158.211
C19orf53|28974	760.4575	C19orf53|28974	775.5381
C19orf54|284325	279.293	C19orf54|284325	198.6765
C19orf55|148137	133.0881	C19orf55|148137	117.7455
C19orf56|51398	1268.4956	C19orf56|51398	1416.2927
C19orf57|79173	23.6743	C19orf57|79173	24.0359
C19orf60|55049	239.3026	C19orf60|55049	241.576
C19orf61|56006	626.7296	C19orf61|56006	576.5574
C19orf62|29086	1073.9822	C19orf62|29086	1396.5163
C19orf63|284361	1862.3626	C19orf63|284361	1691.8963
C19orf66|55337	279.4209	C19orf66|55337	261.2246
C19orf6|91304	1076.5416	C19orf6|91304	1026.8502
C19orf70|125988	838.5188	C19orf70|125988	822.6972
lowly_expressed	lowly_expressed	C19orf71|100128569	6.6935
C19orf73|55150	27.5134	C19orf73|55150	16.4296
C19orf76|199800	11.8372	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C19orf77|284422	9.1276
C1D|10438	216.9079	C1D|10438	188.6362
C1GALT1C1|29071	960.4095	C1GALT1C1|29071	880.8093
C1GALT1|56913	211.1493	C1GALT1|56913	307.2944
C1QA|712	1842.4378	C1QA|712	1846.8092
C1QBP|708	1627.4366	C1QBP|708	2544.8239
C1QB|713	2873.2304	C1QB|713	2469.9171
C1QC|714	2687.355	C1QC|714	2120.6359
C1QL1|10882	8.6379	lowly_expressed	lowly_expressed
C1QL3|389941	14.7165	lowly_expressed	lowly_expressed
C1QTNF1|114897	263.2968	C1QTNF1|114897	274.131
C1QTNF3|114899	161.8811	C1QTNF3|114899	171.9023
