gene_id	TCGA-BH-A0BQ-01A-21R-A115-07	gene_id	TCGA-BH-A0BQ-11A-33R-A115-07
ACAD8|27034	463.8547	ACAD8|27034	549.5086
ACAD9|28976	749.886	ACAD9|28976	814.5408
ACADL|33	12.133	ACADL|33	48.1877
ACADM|34	892.7103	ACADM|34	1006.4462
ACADSB|36	1273.9671	ACADSB|36	2285.1104
ACADS|35	209.0613	ACADS|35	450.1744
ACADVL|37	3069.1874	ACADVL|37	4549.4833
ACAN|176	31.7325	lowly_expressed	lowly_expressed
ACAP1|9744	145.5962	ACAP1|9744	88.3441
ACAP2|23527	769.0468	ACAP2|23527	1429.5678
ACAP3|116983	651.0018	ACAP3|116983	444.7258
ACAT1|38	1621.1581	ACAT1|38	978.548
ACAT2|39	322.421	ACAT2|39	438.2458
ACBD3|64746	1922.617	ACBD3|64746	1339.9556
ACBD4|79777	242.6604	ACBD4|79777	168.2342
ACBD5|91452	460.5881	ACBD5|91452	535.9822
ACBD6|84320	746.6474	ACBD6|84320	295.8893
ACBD7|414149	21.4661	ACBD7|414149	132.3048
lowly_expressed	lowly_expressed	ACCN1|40	6.3405
ACCN2|41	64.3983	ACCN2|41	183.4513
ACCN3|9311	11.6664	ACCN3|9311	8.8767
ACCS|84680	96.5975	ACCS|84680	318.715
ACD|65057	294.4591	ACD|65057	366.48
ACE2|59272	7.9331	ACE2|59272	40.5791
ACER2|340485	130.1966	ACER2|340485	198.2458
ACER3|55331	363.9906	ACER3|55331	557.9626
ACE|1636	600.5845	ACE|1636	512.7338
ACHE|43	24.266	ACHE|43	31.7024
ACIN1|22985	2673.9309	ACIN1|22985	3117.8273
ACLY|47	4292.2891	ACLY|47	2918.3134
ACMSD|130013	20.5328	lowly_expressed	lowly_expressed
ACN9|57001	97.5308	ACN9|57001	63.4048
ACO1|48	924.9094	ACO1|48	1486.6321
ACO2|50	2512.8698	ACO2|50	1844.9075
ACOT11|26027	26.1327	ACOT11|26027	50.3012
ACOT13|55856	524.8511	ACOT13|55856	359.3913
ACOT1|641371	636.9835	ACOT1|641371	427.7713
ACOT2|10965	475.9877	ACOT2|10965	301.3843
ACOT4|122970	363.9906	ACOT4|122970	86.6533
ACOT7|11332	437.722	ACOT7|11332	313.2199
ACOT8|10005	238.6985	ACOT8|10005	198.5628
ACOT9|23597	456.8549	ACOT9|23597	596.4282
ACOX1|51	980.4413	ACOX1|51	1492.9726
ACOX2|8309	1998.6817	ACOX2|8309	224.0304
ACOX3|8310	1035.5066	ACOX3|8310	812.85
ACP1|52	1333.2322	ACP1|52	1307.8305
ACP2|53	1412.5635	ACP2|53	680.968
ACP5|54	912.7764	ACP5|54	537.673
ACP6|51205	717.2481	ACP6|51205	367.3254
ACPL2|92370	710.715	ACPL2|92370	681.8134
ACPP|55	17.2662	ACPP|55	18.5988
ACRBP|84519	25.666	ACRBP|84519	6.7632
lowly_expressed	lowly_expressed	ACRC|93953	10.1448
lowly_expressed	lowly_expressed	ACSBG1|23205	9.2994
ACSF2|80221	1497.4946	ACSF2|80221	703.7937
ACSF3|197322	303.7922	ACSF3|197322	311.1064
ACSL1|2180	1066.7724	ACSL1|2180	4602.7687
ACSL3|2181	3400.0455	ACSL3|2181	3209.553
ACSL4|2182	731.2478	ACSL4|2182	1854.3802
ACSL5|51703	965.0417	ACSL5|51703	650.5337
ACSL6|23305	6.9998	ACSL6|23305	35.5067
ACSM1|116285	100.3307	ACSM1|116285	81.1582
ACSM3|6296	39.3763	ACSM3|6296	105.848
ACSM5|54988	15.3996	ACSM5|54988	52.8374
ACSS1|84532	391.9899	ACSS1|84532	549.9313
ACSS2|55902	972.5082	ACSS2|55902	1531.8609
ACSS3|79611	181.5286	ACSS3|79611	342.3861
ACTA1|58	46.6655	lowly_expressed	lowly_expressed
ACTA2|59	13194.2391	ACTA2|59	25923.2801
lowly_expressed	lowly_expressed	ACTBL2|345651	5.4951
ACTB|60	119485.0466	ACTB|60	73495.9315
ACTG1|71	89375.5578	ACTG1|71	60021.1349
ACTG2|72	698.582	ACTG2|72	4009.2994
ACTL6A|86	988.8411	ACTL6A|86	842.8617
ACTN1|87	9397.0239	ACTN1|87	10151.5376
ACTN4|81	9398.4799	ACTN4|81	10257.449
ACTR10|55860	988.3745	ACTR10|55860	1102.3988
ACTR1A|10121	2752.7956	ACTR1A|10121	2128.7118
ACTR1B|10120	1346.7652	ACTR1B|10120	1271.0557
ACTR2|10097	5919.5137	ACTR2|10097	4787.0654
ACTR3B|57180	170.3289	ACTR3B|57180	233.3298
ACTR3C|653857	27.066	ACTR3C|653857	43.538
ACTR3|10096	4296.9557	ACTR3|10096	3166.015
ACTR5|79913	183.8619	ACTR5|79913	200.3593
ACTR6|64431	536.6528	ACTR6|64431	534.7141
ACTR8|93973	585.1849	ACTR8|93973	571.489
ACVR1B|91	1415.8301	ACVR1B|91	1214.414
ACVR1C|130399	53.1986	ACVR1C|130399	908.38
ACVR1|90	1339.7654	ACVR1|90	1431.6813
ACVR2A|92	276.7262	ACVR2A|92	604.0368
ACVR2B|93	379.8569	ACVR2B|93	265.4549
ACVRL1|94	778.3799	ACVRL1|94	616.7177
ACY1|95	1428.8964	ACY1|95	572.0342
lowly_expressed	lowly_expressed	ACY3|91703	12.681
ACYP1|97	53.6653	ACYP1|97	49.0331
ACYP2|98	117.597	ACYP2|98	127.6551
ADAL|161823	180.1287	ADAL|161823	187.6783
ADAM10|102	1193.7025	ADAM10|102	2662.1579
lowly_expressed	lowly_expressed	ADAM11|4185	16.0626
ADAM12|8038	4116.3603	ADAM12|8038	1580.4713
ADAM15|8751	6699.4523	ADAM15|8751	2235.232
ADAM17|6868	698.582	ADAM17|6868	1417.7322
ADAM19|8728	551.5858	ADAM19|8728	163.1618
ADAM21|8747	20.0661	ADAM21|8747	15.2172
ADAM22|53616	46.1988	ADAM22|53616	48.1877
ADAM23|8745	69.0649	ADAM23|8745	40.1564
ADAM28|10863	75.598	ADAM28|10863	163.5845
lowly_expressed	lowly_expressed	ADAM32|203102	18.1761
ADAM33|80332	83.5312	ADAM33|80332	507.6614
ADAM6|8755	46776.7909	ADAM6|8755	49021.2068
ADAM8|101	421.8558	ADAM8|101	70.168
ADAM9|8754	2693.0638	ADAM9|8754	2358.2373
ADAMDEC1|27299	26.5993	ADAMDEC1|27299	13.9491
ADAMTS10|81794	114.797	ADAMTS10|81794	121.3146
ADAMTS12|81792	460.5881	ADAMTS12|81792	276.0224
ADAMTS13|11093	57.8652	ADAMTS13|11093	63.4048
ADAMTS14|140766	184.3286	ADAMTS14|140766	20.7122
ADAMTS15|170689	677.5825	ADAMTS15|170689	239.2476
ADAMTS16|170690	328.9915	ADAMTS16|170690	101.4477
ADAMTS17|170691	106.8639	ADAMTS17|170691	71.0134
ADAMTS18|170692	12.133	ADAMTS18|170692	237.5568
lowly_expressed	lowly_expressed	ADAMTS19|171019	8.454
ADAMTS1|9510	760.647	ADAMTS1|9510	3414.1393
ADAMTS2|9509	878.7106	ADAMTS2|9509	352.5309
ADAMTS3|9508	44.3322	ADAMTS3|9508	125.1189
ADAMTS4|9507	1631.8912	ADAMTS4|9507	161.471
ADAMTS5|11096	365.3906	ADAMTS5|11096	2058.5438
ADAMTS6|11174	46.1988	ADAMTS6|11174	31.2797
ADAMTS7|11173	342.5245	ADAMTS7|11173	82.0036
ADAMTS8|11095	171.2622	ADAMTS8|11095	194.8642
ADAMTS9|56999	229.1274	ADAMTS9|56999	857.2334
ADAMTSL1|92949	146.9962	ADAMTSL1|92949	142.8722
ADAMTSL2|9719	735.4477	ADAMTSL2|9719	32.5478
ADAMTSL3|57188	148.8628	ADAMTSL3|57188	234.5979
ADAMTSL4|54507	105.4639	ADAMTSL4|54507	403.6775
ADAMTSL5|339366	87.7311	ADAMTSL5|339366	55.7963
ADAP1|11033	264.9105	ADAP1|11033	89.7348
ADAP2|55803	212.7945	ADAP2|55803	169.0796
ADARB1|104	503.0537	ADARB1|104	671.2459
ADAR|103	13880.6414	ADAR|103	8583.7472
ADAT1|23536	203.4614	ADAT1|23536	357.6033
ADAT2|134637	28.9326	ADAT2|134637	207.1225
ADAT3|113179	119.9302	ADAT3|113179	41.8472
ADA|100	239.8605	ADA|100	47.3423
ADCK1|57143	143.7296	ADCK1|57143	137.7999
ADCK2|90956	1063.9725	ADCK2|90956	575.7413
ADCK4|79934	779.3132	ADCK4|79934	458.6283
ADCK5|203054	106.8639	ADCK5|203054	43.9607
lowly_expressed	lowly_expressed	ADCY10|55811	5.4951
ADCY1|107	186.6618	ADCY1|107	235.4433
ADCY2|108	34.5324	ADCY2|108	62.5594
ADCY3|109	1150.7703	ADCY3|109	1521.0652
ADCY4|196883	166.129	ADCY4|196883	386.7695
ADCY5|111	72.7981	ADCY5|111	280.6721
ADCY6|112	1506.8277	ADCY6|112	2126.5983
ADCY7|113	502.1204	ADCY7|113	355.9125
ADCY9|115	1103.6382	ADCY9|115	767.1986
ADCYAP1R1|117	6.9998	ADCYAP1R1|117	76.9312
ADCYAP1|116	10.2664	ADCYAP1|116	19.4442
ADC|113451	365.3906	ADC|113451	99.7569
ADD1|118	5039.4031	ADD1|118	5719.1166
ADD2|119	13.0663	ADD2|119	33.3932
ADD3|120	1105.9714	ADD3|120	2928.4582
