gene_id	TCGA-BH-A0BQ-01A-21R-A115-07	gene_id	TCGA-BH-A0BQ-11A-33R-A115-07
C1orf151|440574	1422.8299	C1orf151|440574	641.2343
lowly_expressed	lowly_expressed	C1orf152|767846	9.7221
C1orf156|92342	335.9913	C1orf156|92342	92.5711
C1orf158|93190	12.5997	lowly_expressed	lowly_expressed
C1orf159|54991	193.6617	C1orf159|54991	151.7489
C1orf162|128346	219.7943	C1orf162|128346	112.0152
C1orf163|65260	218.3944	C1orf163|65260	246.8562
C1orf168|199920	20.9995	C1orf168|199920	51.1466
C1orf170|84808	81.1979	C1orf170|84808	27.8981
C1orf172|126695	567.452	C1orf172|126695	371.1297
C1orf173|127254	89.131	C1orf173|127254	13.9491
C1orf174|339448	356.0575	C1orf174|339448	300.1162
lowly_expressed	lowly_expressed	C1orf175|374977	58.7552
C1orf182|128229	14.9329	lowly_expressed	lowly_expressed
C1orf183|55924	14.9329	C1orf183|55924	57.0644
C1orf186|440712	14.9329	C1orf186|440712	6.3405
C1orf187|374946	5.5999	lowly_expressed	lowly_expressed
C1orf189|388701	6.0665	lowly_expressed	lowly_expressed
C1orf190|541468	30.1319	C1orf190|541468	49.7305
C1orf192|257177	258.5267	C1orf192|257177	39.311
C1orf194|127003	61.5984	lowly_expressed	lowly_expressed
C1orf198|84886	2787.7946	C1orf198|84886	2916.6226
C1orf201|90529	288.3925	C1orf201|90529	299.6935
C1orf203|84852	82.1639	C1orf203|84852	60.074
C1orf204|284677	18.4842	C1orf204|284677	72.4168
C1orf210|149466	362.5906	C1orf210|149466	251.9286
C1orf212|113444	641.1834	C1orf212|113444	424.8124
C1orf213|148898	27.206	C1orf213|148898	54.4267
C1orf216|127703	519.3866	C1orf216|127703	297.58
C1orf21|81563	2270.7413	C1orf21|81563	3338.0535
C1orf220|400798	5.1332	C1orf220|400798	9.7221
C1orf226|400793	809.6458	C1orf226|400793	1601.1836
C1orf228|339541	33.1325	C1orf228|339541	8.8767
C1orf229|388759	17.7329	C1orf229|388759	14.7945
C1orf230|284485	29.3992	lowly_expressed	lowly_expressed
C1orf25|81627	648.6499	C1orf25|81627	306.4567
C1orf26|54823	152.1294	C1orf26|54823	98.0662
C1orf27|54953	1272.5671	C1orf27|54953	781.5703
C1orf31|388753	466.6546	C1orf31|388753	125.5416
C1orf35|79169	390.1233	C1orf35|79169	80.3128
C1orf38|9473	359.3241	C1orf38|9473	344.0769
C1orf43|25912	7236.8797	C1orf43|25912	3230.6879
C1orf50|79078	188.5285	C1orf50|79078	132.3048
C1orf51|148523	159.5959	C1orf51|148523	130.1913
C1orf52|148423	195.0616	C1orf52|148423	275.5997
C1orf53|388722	35.9324	C1orf53|388722	15.6399
C1orf54|79630	175.9288	C1orf54|79630	100.1796
C1orf55|163859	680.3824	C1orf55|163859	651.3791
C1orf56|54964	429.9196	C1orf56|54964	113.2706
C1orf57|84284	837.1784	C1orf57|84284	407.0591
C1orf58|148362	617.2627	C1orf58|148362	411.93699999999995
C1orf59|113802	198.3282	C1orf59|113802	209.6587
lowly_expressed	lowly_expressed	C1orf61|10485	34.6613
C1orf63|57035	115.7303	C1orf63|57035	270.1046
C1orf64|149563	440.0553	C1orf64|149563	84.1171
C1orf66|51093	1023.8402	C1orf66|51093	454.4014
C1orf69|200205	245.92700000000002	C1orf69|200205	209.6587
C1orf70|339453	17.7329	lowly_expressed	lowly_expressed
C1orf74|148304	148.3962	C1orf74|148304	128.9232
C1orf77|26097	1992.1485	C1orf77|26097	1789.2846
C1orf83|127428	191.3284	C1orf83|127428	144.1403
C1orf84|149469	9.7671	C1orf84|149469	19.2878
C1orf85|112770	2048.6137	C1orf85|112770	742.2593
C1orf86|199990	827.8779	C1orf86|199990	246.4377
C1orf88|128344	327.5915	C1orf88|128344	195.2869
C1orf89|79363	84.9311	C1orf89|79363	35.084
C1orf91|56063	176.3488	C1orf91|56063	163.5845
C1orf92|149499	16.3329	lowly_expressed	lowly_expressed
C1orf93|127281	1119.9104	C1orf93|127281	516.9608
C1orf95|375057	49.931999999999995	C1orf95|375057	141.6041
C1orf96|126731	260.8599	C1orf96|126731	382.9652
C1orf97|84791	329.9248	C1orf97|84791	90.4576
C1orf9|51430	1884.818	C1orf9|51430	1798.1613
C20orf103|24141	382.1901	C20orf103|24141	85.3852
lowly_expressed	lowly_expressed	C20orf106|200232	5.4951
C20orf108|116151	4191.9584	C20orf108|116151	5360.6679
C20orf111|51526	777.9132	C20orf111|51526	849.2022
C20orf112|140688	773.2467	C20orf112|140688	867.8009
C20orf114|92747	143.7296	C20orf114|92747	136.5318
C20orf117|140710	339.2579	C20orf117|140710	406.2137
C20orf118|140711	9.1791	C20orf118|140711	45.5458
C20orf11|54994	1698.1561	C20orf11|54994	1687.8368
C20orf12|55184	132.0633	C20orf12|55184	107.3655
C20orf132|140699	21.4754	C20orf132|140699	15.2172
C20orf134|170487	62.0651	C20orf134|170487	29.5889
C20orf135|140701	70.9315	C20orf135|140701	43.538000000000004
lowly_expressed	lowly_expressed	C20orf141|128653	5.9178
C20orf151|140893	172.6622	C20orf151|140893	41.8472
C20orf160|140706	85.3978	C20orf160|140706	118.3557
C20orf177|63939	180.6513	C20orf177|63939	202.8955
C20orf194|25943	316.8585	C20orf194|25943	922.7518
lowly_expressed	lowly_expressed	C20orf195|79025	6.7632
C20orf196|149840	45.7322	C20orf196|149840	44.8061
lowly_expressed	lowly_expressed	C20orf197|284756	5.0724
C20orf199|441951	2620.2656	C20orf199|441951	1834.0907
lowly_expressed	lowly_expressed	C20orf202|400831	8.0313
lowly_expressed	lowly_expressed	C20orf203|284805	7.6086
C20orf20|55257	266.4598	C20orf20|55257	156.8213
C20orf24|55969	1013.7745	C20orf24|55969	683.7705
C20orf26|26074	77.4647	C20orf26|26074	7.6086
C20orf27|54976	465.2546	C20orf27|54976	410.01800000000003
C20orf29|55317	254.3268	C20orf29|55317	186.8329
C20orf30|29058	1909.0839999999998	C20orf30|29058	1947.374
C20orf3|57136	4519.0833	C20orf3|57136	3072.1758
C20orf43|51507	2046.2805	C20orf43|51507	1554.6867
C20orf46|55321	18.1995	C20orf46|55321	17.7534
C20orf4|25980	1106.9047	C20orf4|25980	1041.5302
C20orf54|113278	353.7242	C20orf54|113278	119.2011
C20orf72|92667	476.4544	C20orf72|92667	661.1011
C20orf7|79133	108.2639	C20orf7|79133	153.017
C20orf85|128602	191.795	C20orf85|128602	7.1859
C20orf94|128710	25.1993	C20orf94|128710	35.084
C20orf96|140680	243.5937	C20orf96|140680	297.1573
C21orf119|84996	65.7983	C21orf119|84996	70.168
C21orf122|728039	35.9324	C21orf122|728039	37.1975
lowly_expressed	lowly_expressed	C21orf15|54094	24.0938
lowly_expressed	lowly_expressed	C21orf29|54084	5.0724
C21orf2|755	318.7251	C21orf2|755	321.6739
C21orf33|8209	2209.1429	C21orf33|8209	1323.4704
C21orf34|388815	34.9991	C21orf34|388815	157.6667
C21orf45|54069	236.1272	C21orf45|54069	139.9133
C21orf49|54067	7.9331	C21orf49|54067	23.2484
C21orf56|84221	340.1912	C21orf56|84221	147.9446
C21orf57|54059	223.0609	C21orf57|54059	84.5398
C21orf58|54058	71.8648	C21orf58|54058	60.0232
C21orf59|56683	960.3752	C21orf59|56683	477.2271
C21orf63|59271	575.8518	C21orf63|59271	1079.1504
C21orf67|84536	92.3976	C21orf67|84536	80.3128
C21orf70|85395	250.1269	C21orf70|85395	93.8392
C21orf7|56911	121.7969	C21orf7|56911	50.3012
C21orf82|114036	5.5999	lowly_expressed	lowly_expressed
C21orf88|114041	6.0665	C21orf88|114041	43.9607
C21orf91|54149	251.5268	C21orf91|54149	526.6829
C22orf13|83606	2631.89	C22orf13|83606	1712.514
C22orf23|84645	55.0652	C22orf23|84645	85.8079
C22orf25|128989	479.7209	C22orf25|128989	293.3531
C22orf26|55267	13.0663	lowly_expressed	lowly_expressed
C22orf27|150291	105.9306	C22orf27|150291	144.1403
C22orf28|51493	2459.2698	C22orf28|51493	1790.9754
C22orf29|79680	769.5415	C22orf29|79680	834.5387
C22orf30|253143	996.7742	C22orf30|253143	1186.5159
C22orf32|91689	886.1771	C22orf32|91689	808.6231
C22orf36|388886	324.325	C22orf36|388886	233.7525
C22orf39|128977	462.9214	C22orf39|128977	417.6096
C22orf40|150383	125.9967	C22orf40|150383	133.5729
C22orf41|644186	16.7996	lowly_expressed	lowly_expressed
C22orf46|79640	495.5872	C22orf46|79640	470.0412
C22orf9|23313	2627.2655	C22orf9|23313	1590.6161
C2CD2L|9854	457.6202	C2CD2L|9854	153.6849
C2CD2|25966	485.7875	C2CD2|25966	921.061
C2CD3|26005	666.8494	C2CD3|26005	892.7401
C2CD4A|145741	106.3973	C2CD4A|145741	125.5416
C2CD4B|388125	22.8661	C2CD4B|388125	49.8785
C2CD4C|126567	16.3329	C2CD4C|126567	15.2172
C2CD4D|100191040	22.3994	C2CD4D|100191040	20.2895
C2orf15|150590	108.1565	C2orf15|150590	77.8654
C2orf16|84226	54.1319	C2orf16|84226	53.2601
C2orf18|54978	2995.4559999999997	C2orf18|54978	1156.0816
C2orf24|27013	1816.2197	C2orf24|27013	1085.0682
C2orf27A|29798	42.4656	C2orf27A|29798	11.8356
C2orf28|51374	2570.0723	C2orf28|51374	1844.1594
C2orf29|55571	1046.7063	C2orf29|55571	797.2102
C2orf34|79823	106.3973	C2orf34|79823	69.3226
C2orf39|92749	71.3982	lowly_expressed	lowly_expressed
C2orf3|6936	342.9911	C2orf3|6936	613.7589
C2orf40|84417	216.9944	C2orf40|84417	1168.7625
C2orf42|54980	199.7282	C2orf42|54980	209.236
C2orf43|60526	290.7258	C2orf43|60526	313.2199
C2orf44|80304	191.3284	C2orf44|80304	257.4237
C2orf47|79568	284.02	C2orf47|79568	254.7311
C2orf49|79074	117.59700000000001	C2orf49|79074	101.4477
C2orf50|130813	25.666	C2orf50|130813	5.9178
C2orf52|151477	5.1332	lowly_expressed	lowly_expressed
C2orf54|79919	19.5995	C2orf54|79919	20.7122
C2orf55|343990	716.7815	C2orf55|343990	388.88300000000004
C2orf56|55471	194.595	C2orf56|55471	206.6998
lowly_expressed	lowly_expressed	C2orf58|285154	23.6711
C2orf60|129450	163.9684	C2orf60|129450	285.9009
C2orf62|375307	9.7997	lowly_expressed	lowly_expressed
C2orf63|130162	55.5319	C2orf63|130162	103.1385
C2orf64|493753	473.6544	C2orf64|493753	402.8321
C2orf65|130951	125.9967	C2orf65|130951	14.7945
C2orf67|151050	249.2962	C2orf67|151050	388.7055
C2orf68|388969	691.5821	C2orf68|388969	951.0726
C2orf69|205327	353.7242	C2orf69|205327	340.6953
C2orf70|339778	10.2664	C2orf70|339778	11.8356
C2orf72|257407	393.3898	C2orf72|257407	142.0268
C2orf73|129852	19.1328	C2orf73|129852	6.7632
C2orf74|339804	348.1243	C2orf74|339804	206.6998
C2orf76|130355	85.8644	C2orf76|130355	47.765
C2orf77|129881	320.1251	C2orf77|129881	156.8213
C2orf79|391356	420.4558	C2orf79|391356	301.807
C2orf7|84279	288.3925	C2orf7|84279	154.7078
C2orf81|388963	204.0167	C2orf81|388963	90.0391
C2orf82|389084	17.7329	C2orf82|389084	10.5675
lowly_expressed	lowly_expressed	C2orf84|653140	6.7632
C2orf86|51057	101.2641	C2orf86|51057	136.9545
C2orf88|84281	43.8655	C2orf88|84281	407.9045
C2orf89|129293	23.3327	C2orf89|129293	44.3834
C2|717	729.8665	C2|717	219.385
C3AR1|719	327.1249	C3AR1|719	319.1377
C3orf10|55845	4014.163	C3orf10|55845	2540.4206
C3orf14|57415	580.985	C3orf14|57415	262.0733
C3orf15|89876	81.6646	C3orf15|89876	140.7587
C3orf17|25871	867.5109	C3orf17|25871	1200.465
C3orf18|51161	245.92700000000002	C3orf18|51161	94.6846
C3orf19|51244	372.3904	C3orf19|51244	480.186
C3orf1|51300	1193.2358	C3orf1|51300	847.0887
C3orf21|152002	449.3884	C3orf21|152002	292.9304
C3orf23|285343	401.7896	C3orf23|285343	442.9885
C3orf26|84319	364.4573	C3orf26|84319	242.6292
C3orf31|132001	206.72799999999998	C3orf31|132001	193.5961
lowly_expressed	lowly_expressed	C3orf32|51066	12.681
C3orf33|285315	83.9978	C3orf33|285315	117.0876
C3orf34|84984	68.5982	C3orf34|84984	27.8981
C3orf35|339883	6.0665	C3orf35|339883	15.2172
C3orf36|80111	8.3998	C3orf36|80111	5.0724
C3orf37|56941	938.4424	C3orf37|56941	779.4568
C3orf38|285237	452.655	C3orf38|285237	313.2199
C3orf39|84892	644.9167	C3orf39|84892	423.967
C3orf42|84657	6.9998	C3orf42|84657	19.0215
C3orf47|339942	36.3991	C3orf47|339942	27.0527
C3orf52|79669	153.5294	C3orf52|79669	169.5023
C3orf54|389119	33.1325	C3orf54|389119	34.2386
C3orf55|152078	10.2664	C3orf55|152078	51.5693
C3orf57|165679	47.5988	C3orf57|165679	192.328
C3orf58|205428	343.9244	C3orf58|205428	624.749
C3orf59|151963	205.328	C3orf59|151963	406.2137
C3orf62|375341	97.9975	C3orf62|375341	124.6962
C3orf63|23272	1792.3410000000001	C3orf63|23272	2158.3515
C3orf64|285203	371.9237	C3orf64|285203	1312.4802
C3orf67|200844	44.3322	C3orf67|200844	10.9902
C3orf70|285382	58.7985	C3orf70|285382	110.7471
C3orf71|646450	38.121	C3orf71|646450	27.5811
C3orf75|54859	449.855	C3orf75|54859	217.69
C3|718	23959.4477	C3|718	19100.074
C4A|720	91955.9431	C4A|720	29295.0016
C4BPA|722	5.5999	C4BPA|722	59.6005
lowly_expressed	lowly_expressed	C4BPB|725	6.3405
C4orf10|317648	357.2428	C4orf10|317648	330.8169
C4orf12|404201	17.7329	C4orf12|404201	40.1564
C4orf14|84273	1001.9075	C4orf14|84273	816.2316
C4orf19|55286	17.7329	C4orf19|55286	147.5219
C4orf21|55345	34.0658	C4orf21|55345	112.8606
C4orf22|255119	12.133	lowly_expressed	lowly_expressed
C4orf23|152992	339.2579	C4orf23|152992	236.7114
C4orf27|54969	437.722	C4orf27|54969	301.3843
C4orf29|80167	75.598	C4orf29|80167	106.0974
C4orf31|79625	39.6656	C4orf31|79625	128.5005
C4orf32|132720	640.7168	C4orf32|132720	653.9152
C4orf33|132321	273.9263	C4orf33|132321	172.0385
C4orf34|201895	1776.0875	C4orf34|201895	985.7339
C4orf36|132989	17.2662	C4orf36|132989	12.681
C4orf38|152641	16.3329	C4orf38|152641	15.6399
C4orf39|152756	19.5995	C4orf39|152756	31.7024
C4orf3|401152	2680.9307	C4orf3|401152	2695.1284
C4orf41|60684	916.9763	C4orf41|60684	1273.1692
C4orf42|92070	443.7885	C4orf42|92070	380.0063
C4orf43|55319	380.7902	C4orf43|55319	255.7329
C4orf46|201725	164.2624	C4orf46|201725	180.9151
C4orf47|441054	8.8664	lowly_expressed	lowly_expressed
C4orf48|401115	60.6651	lowly_expressed	lowly_expressed
C4orf49|84709	8.8664	C4orf49|84709	8.0313
C4orf52|389203	427.4556	C4orf52|389203	286.1672
C4orf7|260436	44.7988	C4orf7|260436	672.5139999999999
C5AR1|728	89.131	C5AR1|728	46.9196
C5orf13|9315	2219.4093	C5orf13|9315	817.4997
C5orf15|56951	1866.6184	C5orf15|56951	1657.4025
C5orf20|140947	6.9998	lowly_expressed	lowly_expressed
C5orf22|55322	448.4551	C5orf22|55322	586.2834
C5orf23|79614	152.1294	C5orf23|79614	56.218999999999994
C5orf24|134553	817.5789	C5orf24|134553	1169.6079
C5orf25|375484	146.0629	C5orf25|375484	256.5783
lowly_expressed	lowly_expressed	C5orf27|202299	12.681
C5orf28|64417	189.9284	C5orf28|64417	282.7856
C5orf30|90355	473.1878	C5orf30|90355	462.0099
C5orf32|84418	811.5124	C5orf32|84418	837.3666
C5orf33|133686	563.7188	C5orf33|133686	568.5301
C5orf34|375444	20.0661	C5orf34|375444	21.9803
C5orf35|133383	173.5955	C5orf35|133383	169.925
C5orf36|285600	122.7302	C5orf36|285600	110.3244
C5orf38|153571	379.8569	C5orf38|153571	59.1779
C5orf39|389289	41.5323	C5orf39|389289	28.3208
C5orf41|153222	334.5914	C5orf41|153222	702.9483
C5orf42|65250	302.3922	C5orf42|65250	593.0466
C5orf43|643155	1387.8308	C5orf43|643155	976.0118
C5orf44|80006	455.4549	C5orf44|80006	566.4166
C5orf45|51149	229.4727	C5orf45|51149	129.1726
C5orf46|389336	65.3316	C5orf46|389336	35.5067
C5orf49|134121	130.1966	C5orf49|134121	13.5264
C5orf4|10826	1003.3074	C5orf4|10826	1616.4007
C5orf51|285636	826.4453	C5orf51|285636	899.0806
C5orf53|492311	192.2617	C5orf53|492311	279.404
C5orf54|63920	76.0647	C5orf54|63920	82.4263
C5orf55|116349	49.4654	C5orf55|116349	36.3521
C5orf56|441108	69.1582	C5orf56|441108	90.9564
lowly_expressed	lowly_expressed	C5orf58|133874	9.7221
C5orf62|85027	1159.6367	C5orf62|85027	1172.9895
C5|727	101.7307	C5|727	208.8133
C6orf105|84830	63.9317	C6orf105|84830	144.9857
C6orf106|64771	2614.1991	C6orf106|64771	2468.5618
C6orf108|10591	556.719	C6orf108|10591	143.2949
C6orf114|85411	11.1997	C6orf114|85411	15.2172
C6orf115|58527	522.6532	C6orf115|58527	449.7517
C6orf118|168090	9.3331	lowly_expressed	lowly_expressed
C6orf120|387263	688.3716	C6orf120|387263	939.5921
C6orf122|401288	13.0103	C6orf122|401288	8.8555
lowly_expressed	lowly_expressed	C6orf123|26238	11.8356
C6orf124|653483	5.5999	C6orf124|653483	40.1564
C6orf125|84300	839.8243	C6orf125|84300	408.6146
C6orf126|389383	59.2651	lowly_expressed	lowly_expressed
C6orf127|340204	30.3325	C6orf127|340204	5.0724
C6orf129|154467	272.0596	C6orf129|154467	73.9723
C6orf130|221443	552.7944	C6orf130|221443	395.6082
C6orf132|647024	306.5921	C6orf132|647024	184.7194
C6orf134|79969	200.6615	C6orf134|79969	378.7382
C6orf136|221545	176.3954	C6orf136|221545	145.4084
C6orf138|442213	7.4665	C6orf138|442213	25.3619
C6orf141|135398	77.4647	C6orf141|135398	44.3834
C6orf145|221749	550.1858	C6orf145|221749	1412.6598
C6orf150|115004	46.1988	C6orf150|115004	46.4969
C6orf153|88745	817.5789	C6orf153|88745	591.3558
C6orf154|221424	91.931	C6orf154|221424	15.2172
C6orf155|79940	83.5312	C6orf155|79940	140.7587
C6orf15|29113	13.0663	C6orf15|29113	53.6828
C6orf162|57150	47.9861	C6orf162|57150	126.2348
lowly_expressed	lowly_expressed	C6orf163|206412	19.4442
lowly_expressed	lowly_expressed	C6orf164|63914	18.7509
C6orf165|154313	75.0054	C6orf165|154313	12.681
C6orf167|253714	79.3313	C6orf167|253714	265.8776
C6orf168|84553	120.3969	C6orf168|84553	220.2261
C6orf170|221322	39.6656	C6orf170|221322	142.0268
C6orf174|387104	32.1198	C6orf174|387104	90.7619
lowly_expressed	lowly_expressed	C6orf176|90632	17.3307
C6orf182|285753	78.398	C6orf182|285753	103.9839
C6orf186|728464	10.2664	C6orf186|728464	9.2994
C6orf192|116843	300.9922	C6orf192|116843	576.5613
lowly_expressed	lowly_expressed	C6orf195|154386	5.4951
C6orf1|221491	566.9854	C6orf1|221491	179.2243
lowly_expressed	lowly_expressed	C6orf201|404220	7.1859
C6orf203|51250	139.5297	C6orf203|51250	87.9214
C6orf204|387119	12.5997	C6orf204|387119	95.9527
lowly_expressed	lowly_expressed	C6orf208|80069	8.8978
C6orf211|79624	835.7784	C6orf211|79624	806.5096
C6orf217|100131814	5.1332	C6orf217|100131814	19.8668
C6orf225|619208	201.1281	C6orf225|619208	160.6256
C6orf226|441150	73.2648	C6orf226|441150	51.992
C6orf26|401251	18.6662	C6orf26|401251	43.4154
C6orf27|80737	67.6649	C6orf27|80737	50.3012
C6orf35|729515	291.1925	C6orf35|729515	401.1413
C6orf41|100133205	6.9998	C6orf41|100133205	6.3405
C6orf47|57827	811.0457	C6orf47|57827	337.7364
C6orf48|50854	1687.8897	C6orf48|50854	1649.3712
C6orf52|347744	24.7327	C6orf52|347744	9.2994
C6orf57|135154	84.4645	C6orf57|135154	119.2011
lowly_expressed	lowly_expressed	C6orf59|79992	11.4129
C6orf62|81688	2638.6005	C6orf62|81688	2601.192
C6orf64|55776	626.2505	C6orf64|55776	699.5667
C6orf70|55780	210.9279	C6orf70|55780	317.0242
C6orf72|116254	565.5854	C6orf72|116254	873.7187
C6orf81|221481	5.1332	C6orf81|221481	5.4951
C6orf89|221477	2296.4073	C6orf89|221477	3185.0365
C6orf97|80129	539.4527	C6orf97|80129	398.1824
C6|729	80.2646	C6|729	58.3325
C7orf10|79783	102.1974	C7orf10|79783	61.2913
C7orf11|136647	428.8556	C7orf11|136647	251.9286
C7orf13|129790	69.5315	C7orf13|129790	91.7257
C7orf23|79161	249.1936	C7orf23|79161	220.2261
C7orf25|79020	327.5915	C7orf25|79020	270.1046
C7orf26|79034	514.72	C7orf26|79034	495.8258
C7orf27|221927	1001.4408	C7orf27|221927	577.8294
C7orf28A|51622	937.9758	C7orf28A|51622	798.0556
C7orf28B|221960	725.6479	C7orf28B|221960	480.6087
C7orf29|113763	216.5277	C7orf29|113763	207.9679
C7orf30|115416	314.0586	C7orf30|115416	278.5586
C7orf31|136895	82.5979	C7orf31|136895	106.0974
C7orf36|57002	217.9277	C7orf36|57002	186.8329
C7orf40|285958	192.2617	C7orf40|285958	365.6346
C7orf41|222166	766.2469	C7orf41|222166	1719.1166
C7orf42|55069	3638.9727	C7orf42|55069	3356.6522
C7orf43|55262	310.3253	C7orf43|55262	226.1439
C7orf44|55744	424.6557	C7orf44|55744	531.7553
C7orf46|340277	41.5323	C7orf46|340277	74.395
C7orf47|221908	281.8594	C7orf47|221908	100.6023
C7orf49|78996	523.5025	C7orf49|78996	478.3684
C7orf50|84310	924.9094	C7orf50|84310	422.2762
lowly_expressed	lowly_expressed	C7orf51|222950	25.3619
C7orf53|286006	5.5999	C7orf53|286006	35.5067
C7orf55|154791	113.3971	C7orf55|154791	155.1305
C7orf57|136288	19.5995	lowly_expressed	lowly_expressed
C7orf58|79974	248.7269	C7orf58|79974	799.3237
C7orf59|389541	1267.9006	C7orf59|389541	414.6677
C7orf60|154743	241.7271	C7orf60|154743	330.1279
lowly_expressed	lowly_expressed	C7orf61|402573	19.0215
C7orf63|79846	146.9962	C7orf63|79846	184.7194
C7orf64|84060	192.2617	C7orf64|84060	236.2887
C7orf68|29923	472.7211	C7orf68|29923	195.2869
C7orf70|84792	471.3212	C7orf70|84792	355.0671
lowly_expressed	lowly_expressed	C7orf71|285941	5.4951
C7|730	496.5205	C7|730	2046.2855
C8orf30A|51236	611.3175	C8orf30A|51236	346.1904
C8orf31|286122	5.5999	lowly_expressed	lowly_expressed
C8orf33|65265	895.5102	C8orf33|65265	1018.7044
C8orf34|116328	81.6646	C8orf34|116328	11.4129
C8orf37|157657	82.1312	C8orf37|157657	68.4772
C8orf38|137682	225.3942	C8orf38|137682	180.0697
lowly_expressed	lowly_expressed	C8orf39|55472	6.7632
C8orf40|114926	633.717	C8orf40|114926	501.7436
C8orf41|80185	269.2037	C8orf41|80185	245.7149
C8orf42|157695	163.3291	C8orf42|157695	367.3254
C8orf44|56260	23.0574	C8orf44|56260	29.6439
C8orf45|157777	20.0661	C8orf45|157777	35.9294
C8orf46|254778	11.1997	C8orf46|254778	32.5478
lowly_expressed	lowly_expressed	C8orf47|203111	38.0429
C8orf48|157773	61.5984	C8orf48|157773	29.5889
C8orf4|56892	6503.7653	C8orf4|56892	3119.5181
C8orf51|78998	65.3316	C8orf51|78998	38.4656
C8orf55|51337	640.7168	C8orf55|51337	552.8902
C8orf58|541565	271.1263	C8orf58|541565	218.958
C8orf59|401466	659.7610000000001	C8orf59|401466	463.5105
C8orf73|642475	214.6611	C8orf73|642475	60.4459
C8orf76|84933	311.7859	C8orf76|84933	293.7758
lowly_expressed	lowly_expressed	C8orf77|286103	8.8767
C8orf79|57604	227.7275	C8orf79|57604	544.0135
lowly_expressed	lowly_expressed	C8orf80|389643	15.6399
C8orf83|286144	778.3799	C8orf83|286144	468.3504
C8orf84|157869	181.9953	C8orf84|157869	724.9287
C8orf85|441376	397.5897	C8orf85|441376	270.1046
C9orf100|84904	65.4903	C9orf100|84904	57.3476
C9orf102|375748	61.2718	C9orf102|375748	276.0013
C9orf103|414328	125.9967	C9orf103|414328	59.6005
C9orf109|286333	18.1995	C9orf109|286333	11.4129
C9orf110|100128385	107.7972	C9orf110|100128385	106.5201
C9orf114|51490	607.6636	C9orf114|51490	407.7481
C9orf116|138162	540.386	C9orf116|138162	54.1055
C9orf117|286207	45.2655	C9orf117|286207	11.8356
C9orf119|375757	389.6566	C9orf119|375757	157.6667
C9orf122|158228	32.6658	C9orf122|158228	27.8981
C9orf123|90871	780.7132	C9orf123|90871	591.3558
C9orf125|84302	43.3989	C9orf125|84302	79.0447
C9orf129|445577	107.4472	C9orf129|445577	125.5712
C9orf130|100128782	58.2198	C9orf130|100128782	135.7286
lowly_expressed	lowly_expressed	C9orf131|138724	5.4951
C9orf140|89958	204.3947	C9orf140|89958	202.4728
C9orf142|286257	547.3859	C9orf142|286257	225.7212
C9orf150|286343	808.7124	C9orf150|286343	408.7499
C9orf152|401546	986.5078	C9orf152|401546	784.5292
C9orf156|51531	250.1269	C9orf156|51531	341.5407
C9orf167|54863	133.4632	C9orf167|54863	66.7864
C9orf169|375791	9.1651	lowly_expressed	lowly_expressed
C9orf16|79095	1049.0396	C9orf16|79095	466.2369
C9orf171|389799	42.4656	lowly_expressed	lowly_expressed
C9orf172|389813	50.3987	C9orf172|389813	7.1859
C9orf21|195827	150.7294	C9orf21|195827	260.3825
C9orf23|138716	432.5888	C9orf23|138716	215.1538
C9orf24|84688	9.7997	lowly_expressed	lowly_expressed
C9orf25|203259	375.1903	C9orf25|203259	390.9965
C9orf30|91283	335.0953	C9orf30|91283	184.2967
C9orf37|85026	115.2637	C9orf37|85026	65.5183
C9orf3|84909	304.8748	C9orf3|84909	303.3372
C9orf40|55071	75.598	C9orf40|55071	78.1993
C9orf41|138199	108.2639	C9orf41|138199	164.4299
C9orf43|257169	6.5332	C9orf43|257169	5.4951
C9orf44|158314	6.5332	C9orf44|158314	10.9902
C9orf45|81571	42.9322	C9orf45|81571	134.841
C9orf46|55848	674.7826	C9orf46|55848	288.7034
C9orf47|286223	9.4124	C9orf47|286223	24.1107
C9orf5|23731	1218.4352	C9orf5|23731	2715.4179
C9orf64|84267	600.1178	C9orf64|84267	330.5506
C9orf66|157983	27.066	C9orf66|157983	35.5067
C9orf68|55064	98.9308	C9orf68|55064	74.8177
C9orf69|90120	958.5086	C9orf69|90120	400.2959
C9orf6|54942	396.1898	C9orf6|54942	469.6185
C9orf72|203228	130.1966	C9orf72|203228	267.9911
C9orf78|51759	1491.8948	C9orf78|51759	941.7732
C9orf7|11094	986.9745	C9orf7|11094	365.6346
C9orf80|58493	186.6618	C9orf80|58493	247.2789
C9orf82|79886	363.0573	C9orf82|79886	259.5371
C9orf84|158401	5.1332	lowly_expressed	lowly_expressed
C9orf85|138241	126.4634	C9orf85|138241	134.841
C9orf86|55684	2382.2718	C9orf86|55684	1072.3872
C9orf89|84270	444.2552	C9orf89|84270	218.5353
C9orf91|203197	1617.8915	C9orf91|203197	828.9126
C9orf93|203238	73.7314	C9orf93|203238	107.7882
C9orf95|54981	348.1243	C9orf95|54981	331.8187
C9orf96|169436	6.9998	C9orf96|169436	13.9491
C9orf98|158067	265.0598	C9orf98|158067	61.714
C9orf9|11092	262.7265	C9orf9|11092	179.2243
CA11|770	68.5982	CA11|770	249.3924
CA12|771	8734.3744	CA12|771	3920.1099
CA13|377677	57.5618	CA13|377677	204.3707
CA14|23632	6.5332	CA14|23632	10.1448
