gene_id	TCGA-E2-A15I-01A-21R-A137-07	gene_id	TCGA-E2-A15I-11A-32R-A137-07
ACAD10|80724	652.4467	ACAD10|80724	492.8809
ACAD11|84129	494.5454	ACAD11|84129	1310.4405
ACAD8|27034	536.2285	ACAD8|27034	657.8842
ACAD9|28976	669.4979	ACAD9|28976	1292.8756
lowly_expressed	lowly_expressed	ACADL|33	960.7452
ACADM|34	1509.7765	ACADM|34	3537.9907
ACADSB|36	4981.1322	ACADSB|36	2022.0892
ACADS|35	258.9299	ACADS|35	1587.2255
ACADVL|37	2056.2351	ACADVL|37	6070.499
ACAN|176	8.4779	lowly_expressed	lowly_expressed
ACAP1|9744	155.7818	ACAP1|9744	31.9361
ACAP2|23527	1561.3506	ACAP2|23527	2049.7671
ACAP3|116983	882.7636	ACAP3|116983	235.316
ACAT1|38	902.5454	ACAT1|38	5067.7312
ACAT2|39	196.2745	ACAT2|39	367.8935
ACBD3|64746	1757.4025	ACBD3|64746	1399.8669
ACBD4|79777	314.7428	ACBD4|79777	197.4717
ACBD5|91452	812.4675	ACBD5|91452	1269.4611
ACBD6|84320	289.3091	ACBD6|84320	315.6354
ACBD7|414149	124.3429	ACBD7|414149	18.0971
ACCN2|41	33.2052	ACCN2|41	114.4378
ACCN3|9311	21.9013	lowly_expressed	lowly_expressed
ACCS|84680	282.9506	ACCS|84680	262.4085
ACD|65057	180.5091	ACD|65057	266.6667
lowly_expressed	lowly_expressed	ACE2|59272	14.3713
ACER2|340485	495.9584	ACER2|340485	650.9647
ACER3|55331	377.974	ACER3|55331	1450.9647
ACE|1636	303.4389	ACE|1636	652.0293
ACHE|43	8.8312	ACHE|43	7.984
ACIN1|22985	6193.475	ACIN1|22985	2179.6407
ACLY|47	4877.9842	ACLY|47	2506.4538
ACN9|57001	205.2364	ACN9|57001	192.149
ACO1|48	558.4831	ACO1|48	9156.6201
ACO2|50	1248.3987	ACO2|50	4574.5842
ACOT11|26027	27.5532	ACOT11|26027	15.9681
ACOT13|55856	484.9053	ACOT13|55856	798.6534
ACOT1|641371	529.5169	ACOT1|641371	2148.2369
ACOT2|10965	438.026	ACOT2|10965	1354.0918
ACOT4|122970	227.4909	ACOT4|122970	212.9075
lowly_expressed	lowly_expressed	ACOT6|641372	19.6939
ACOT7|11332	133.174	ACOT7|11332	132.5349
ACOT8|10005	236.5164	ACOT8|10005	175.1697
ACOT9|23597	220.0727	ACOT9|23597	531.2043
ACOX1|51	1885.8395	ACOX1|51	3939.8536
ACOX2|8309	32.4987	ACOX2|8309	600.9315
ACOX3|8310	1067.1584	ACOX3|8310	322.5549
ACP1|52	1677.5687	ACP1|52	1243.9122
ACP2|53	1427.4665	ACP2|53	527.4784
ACP5|54	772.9039	ACP5|54	102.1956
ACP6|51205	314.7428	ACP6|51205	331.6035
ACPL2|92370	881.7039	ACPL2|92370	270.3925
ACPP|55	115.5117	ACPP|55	20.7585
ACRBP|84519	30.7325	ACRBP|84519	13.3067
ACRC|93953	25.4338	ACRC|93953	49.501
lowly_expressed	lowly_expressed	ACR|49	9.0486
lowly_expressed	lowly_expressed	ACSBG1|23205	22.8876
ACSBG2|81616	9.8909	lowly_expressed	lowly_expressed
ACSF2|80221	406.9402	ACSF2|80221	866.0013
ACSF3|197322	247.626	ACSF3|197322	281.0379
ACSL1|2180	755.948	ACSL1|2180	38894.4777
ACSL3|2181	4672.0413	ACSL3|2181	2261.6101
ACSL4|2182	638.6701	ACSL4|2182	4142.1158
ACSL5|51703	752.4155	ACSL5|51703	965.0033
ACSL6|23305	12.3636	ACSL6|23305	5.855
ACSM1|116285	155.0753	ACSM1|116285	14.3713
lowly_expressed	lowly_expressed	ACSM2A|123876	9.0486
ACSM3|6296	169.4065	ACSM3|6296	47.0206
ACSM5|54988	14.1299	ACSM5|54988	1272.1224
ACSS1|84532	2507.6986	ACSS1|84532	419.9601
ACSS2|55902	618.535	ACSS2|55902	6773.1204
ACSS3|79611	98.9091	ACSS3|79611	3458.6826
ACTA1|58	39.2104	lowly_expressed	lowly_expressed
ACTA2|59	4467.7411	ACTA2|59	7685.3067
ACTB|60	57579.2178	ACTB|60	48744.1118
lowly_expressed	lowly_expressed	ACTC1|70	6.3872
ACTG1|71	39370.4083	ACTG1|71	26202.5283
ACTG2|72	327.4597	ACTG2|72	1153.9587
ACTL6A|86	836.4883	ACTL6A|86	653.6261
ACTN1|87	3370.3271	ACTN1|87	3245.7751
ACTN4|81	6899.1878	ACTN4|81	4798.9195
ACTR10|55860	1226.1194	ACTR10|55860	1366.8663
ACTR1A|10121	2018.4518	ACTR1A|10121	2452.1623
ACTR1B|10120	917.0285	ACTR1B|10120	1214.1051
ACTR2|10097	6821.9009	ACTR2|10097	4967.6647
ACTR3B|57180	233.4961	ACTR3B|57180	157.0193
ACTR3C|653857	43.4493	ACTR3C|653857	25.0166
ACTR3|10096	2663.8336	ACTR3|10096	2500.5988
ACTR5|79913	182.9818	ACTR5|79913	172.9874
ACTR6|64431	725.922	ACTR6|64431	743.0472
ACTR8|93973	367.3766	ACTR8|93973	416.7665
ACVR1B|91	1321.496	ACVR1B|91	884.6307
ACVR1C|130399	12.3636	ACVR1C|130399	8897.9375
ACVR1|90	994.0363	ACVR1|90	2117.3653
ACVR2A|92	352.5402	ACVR2A|92	671.7232
ACVR2B|93	582.8571	ACVR2B|93	457.7512
ACVRL1|94	270.2338	ACVRL1|94	941.5835
ACY1|95	706.1438	ACY1|95	913.9055
ACY3|91703	89.3714	lowly_expressed	lowly_expressed
ACYP1|97	90.4312	ACYP1|97	41.517
ACYP2|98	145.8909	ACYP2|98	215.0366
ADAL|161823	206.2961	ADAL|161823	341.1843
ADAM10|102	2110.6492	ADAM10|102	1481.8363
ADAM11|4185	9.5377	ADAM11|4185	9.0486
ADAM12|8038	2590.3583	ADAM12|8038	942.1158
ADAM15|8751	3400.7063	ADAM15|8751	2006.7438
ADAM17|6868	684.9454	ADAM17|6868	601.996
ADAM19|8728	322.5143	ADAM19|8728	166.6001
ADAM21|8747	10.9506	lowly_expressed	lowly_expressed
ADAM22|53616	203.1169	ADAM22|53616	99.002
ADAM23|8745	20.4883	ADAM23|8745	20.2262
ADAM28|10863	279.0649	ADAM28|10863	39.9202
ADAM32|203102	10.2442	ADAM32|203102	29.2748
ADAM33|80332	76.6545	ADAM33|80332	523.7525
ADAM6|8755	7804.3614	ADAM6|8755	57958.0253
ADAM8|101	673.2883	ADAM8|101	31.4039
ADAM9|8754	1012.0519	ADAM9|8754	2054.5576
ADAMDEC1|27299	102.4416	lowly_expressed	lowly_expressed
ADAMTS10|81794	82.3065	ADAMTS10|81794	75.5822
ADAMTS12|81792	211.948	ADAMTS12|81792	585.4957
ADAMTS13|11093	114.4519	ADAMTS13|11093	32.4684
ADAMTS14|140766	55.813	lowly_expressed	lowly_expressed
ADAMTS15|170689	278.7117	ADAMTS15|170689	222.4884
ADAMTS16|170690	223.2519	ADAMTS16|170690	145.3094
ADAMTS17|170691	22.2545	ADAMTS17|170691	23.4198
ADAMTS18|170692	8.8312	ADAMTS18|170692	172.9874
ADAMTS1|9510	950.2337	ADAMTS1|9510	4714.837
ADAMTS2|9509	365.9636	ADAMTS2|9509	496.0745
ADAMTS3|9508	22.961	ADAMTS3|9508	215.0366
ADAMTS4|9507	219.3662	ADAMTS4|9507	126.1477
ADAMTS5|11096	379.387	ADAMTS5|11096	4006.3872
ADAMTS6|11174	89.3714	ADAMTS6|11174	28.7425
ADAMTS7|11173	63.9377	ADAMTS7|11173	82.5017
ADAMTS8|11095	11.6571	ADAMTS8|11095	17.0326
ADAMTS9|56999	186.8675	ADAMTS9|56999	794.145
ADAMTSL1|92949	108.0935	ADAMTSL1|92949	456.1544
ADAMTSL2|9719	96.7896	ADAMTSL2|9719	66.5336
ADAMTSL3|57188	88.6649	ADAMTSL3|57188	525.3493
ADAMTSL4|54507	525.6311	ADAMTSL4|54507	1273.7192
ADAMTSL5|339366	57.9325	ADAMTSL5|339366	8.5163
ADAP1|11033	185.1331	ADAP1|11033	17.6394
ADAP2|55803	211.948	ADAP2|55803	144.7771
ADARB1|104	533.7558	ADARB1|104	611.0446
ADAR|103	8497.3502	ADAR|103	5695.2761
ADAT1|23536	293.1948	ADAT1|23536	248.5695
ADAT2|134637	91.4909	ADAT2|134637	112.841
ADAT3|113179	13.4234	ADAT3|113179	9.5808
ADA|100	67.1169	ADA|100	164.4711
ADCK1|57143	243.7402	ADCK1|57143	96.3407
ADCK2|90956	938.2233	ADCK2|90956	632.8676
ADCK4|79934	491.3662	ADCK4|79934	299.1351
ADCK5|203054	83.3662	ADCK5|203054	36.1943
ADCY1|107	582.5039	ADCY1|107	241.65
ADCY2|108	329.9325	ADCY2|108	63.34
ADCY3|109	358.7397	ADCY3|109	1347.5768
ADCY4|196883	118.3377	ADCY4|196883	522.688
ADCY5|111	199.9377	ADCY5|111	670.6587
ADCY6|112	3042.1609	ADCY6|112	4772.8543
ADCY7|113	470.5247	ADCY7|113	352.3619
ADCY9|115	3147.4284	ADCY9|115	669.0619
lowly_expressed	lowly_expressed	ADCYAP1R1|117	125.6154
ADCYAP1|116	14.8364	ADCYAP1|116	11.7099
ADC|113451	256.8104	ADC|113451	94.2116
ADD1|118	5348.8621	ADD1|118	7455.489
ADD2|119	19.4286	ADD2|119	24.4844
ADD3|120	1004.2805	ADD3|120	4993.2136
lowly_expressed	lowly_expressed	ADH1A|124	1916.173
ADH1B|125	193.9325	ADH1B|125	207319.7552
ADH1C|126	9.8909	ADH1C|126	553.0273
lowly_expressed	lowly_expressed	ADH4|127	6.9195
ADH5|128	1859.1376	ADH5|128	6732.668
lowly_expressed	lowly_expressed	ADH6|130	11.1776
ADHFE1|137872	224.6649	ADHFE1|137872	1176.8463
ADI1|55256	2974.6908	ADI1|55256	1952.8942
ADIPOQ|9370	84.426	ADIPOQ|9370	157965.6687
ADIPOR1|51094	2160.1038	ADIPOR1|51094	2726.813
ADIPOR2|79602	1453.9636	ADIPOR2|79602	4124.0186
ADK|132	334.5247	ADK|132	479.0419
ADM2|79924	135.6467	ADM2|79924	12.2422
ADM|133	32.8519	ADM|133	685.0299
ADNP2|22850	1388.9662	ADNP2|22850	757.9508
ADNP|23394	4705.2465	ADNP|23394	2624.6174
ADORA1|134	16.9558	ADORA1|134	309.7804
ADORA2A|135	170.8902	ADORA2A|135	44.7106
ADORA2B|136	19.4286	ADORA2B|136	23.9521
ADORA3|140	166.3792	ADORA3|140	61.2109
ADO|84890	599.1065	ADO|84890	582.8343
ADPGK|83440	1147.084	ADPGK|83440	790.4192
ADPRHL1|113622	268.8208	ADPRHL1|113622	61.7432
ADPRHL2|54936	431.6675	ADPRHL2|54936	343.8456
ADPRH|141	266.7013	ADPRH|141	396.008
lowly_expressed	lowly_expressed	ADRA1A|148	201.7299
lowly_expressed	lowly_expressed	ADRA1B|147	63.8723
lowly_expressed	lowly_expressed	ADRA1D|146	6.3872
ADRA2A|150	1108.8415	ADRA2A|150	1523.3533
ADRA2B|151	18.3688	ADRA2B|151	44.1783
ADRA2C|152	6.7117	ADRA2C|152	46.3074
ADRB1|153	37.4442	ADRB1|153	201.7299
ADRB2|154	80.187	ADRB2|154	895.2761
lowly_expressed	lowly_expressed	ADRB3|155	14.3713
ADRBK1|156	1718.5454	ADRBK1|156	1150.2329
ADRBK2|157	784.9142	ADRBK2|157	5163.5396
ADRM1|11047	804.3428	ADRM1|11047	654.6906
ADSL|158	420.0104	ADSL|158	847.9042
ADSSL1|122622	216.5402	ADSSL1|122622	398.6693
ADSS|159	1584.3116	ADSS|159	901.6633
AEBP1|165	8251.1372	AEBP1|165	5059.7472
AEBP2|121536	889.4753	AEBP2|121536	860.1464
AEN|64782	283.3039	AEN|64782	241.65
AES|166	4816.5192	AES|166	3882.3686
AFAP1L1|134265	198.5247	AFAP1L1|134265	1550.499
AFAP1L2|84632	522.4519	AFAP1L2|84632	506.7199
AFAP1|60312	1263.9027	AFAP1|60312	1092.7319
AFF1|4299	4346.3478	AFF1|4299	6038.5895
AFF2|2334	55.1065	AFF2|2334	27.1457
AFF3|3899	2812.5505	AFF3|3899	509.9135
AFF4|27125	5875.9062	AFF4|27125	3844.5775
AFG3L1|172	203.8234	AFG3L1|172	177.2455
AFG3L2|10939	1485.4449	AFG3L2|10939	1272.6813
