gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
C19orf57|79173	53.4437	C19orf57|79173	61.7128
C19orf60|55049	278.88599999999997	C19orf60|55049	340.0504
C19orf61|56006	727.1359	C19orf61|56006	702.7708
C19orf62|29086	1615.3557	C19orf62|29086	1571.3686
C19orf63|284361	3053.6131	C19orf63|284361	2397.3384
C19orf66|55337	227.0907	C19orf66|55337	646.927
C19orf6|91304	1822.7324	C19orf6|91304	1605.3736
C19orf70|125988	919.8344	C19orf70|125988	966.8346
C19orf71|100128569	6.0218	C19orf71|100128569	6.3224
C19orf73|55150	29.7328	C19orf73|55150	20.5709
lowly_expressed	lowly_expressed	C19orf76|199800	49.958
lowly_expressed	lowly_expressed	C19orf77|284422	8.8161
C1D|10438	198.34400000000002	C1D|10438	84.3829
C1GALT1C1|29071	844.1852	C1GALT1C1|29071	593.6188
C1GALT1|56913	144.9003	C1GALT1|56913	210.3275
C1QA|712	1138.5021	C1QA|712	2851.3854
C1QBP|708	1639.2699	C1QBP|708	1856.4861
C1QB|713	1214.1513	C1QB|713	2088.1612
C1QC|714	1221.6786	C1QC|714	1785.8942
C1QL1|10882	18.4419	C1QL1|10882	49.5382
lowly_expressed	lowly_expressed	C1QL2|165257	23.9295
lowly_expressed	lowly_expressed	C1QL4|338761	20.9908
C1QTNF1|114897	232.9695	C1QTNF1|114897	1747.691
C1QTNF2|114898	5.6455	C1QTNF2|114898	41.5617
C1QTNF3|114899	96.7256	C1QTNF3|114899	145.2561
C1QTNF4|114900	6.3982	C1QTNF4|114900	15.5332
C1QTNF6|114904	770.4178	C1QTNF6|114904	266.5827
C1QTNF7|114905	26.7219	C1QTNF7|114905	165.4072
lowly_expressed	lowly_expressed	C1QTNF9B|387911	25.6297
lowly_expressed	lowly_expressed	C1QTNF9|338872	64.6516
C1RL|51279	601.4189	C1RL|51279	1338.7741
C1R|715	2246.1423	C1R|715	12330.3946
C1S|716	3239.3677	C1S|716	13969.7733
lowly_expressed	lowly_expressed	C1orf101|257044	5.8774
C1orf103|55791	567.5574	C1orf103|55791	320.3191
C1orf104|284618	40.3124	C1orf104|284618	75.5206
C1orf106|55765	27.4746	C1orf106|55765	193.5348
C1orf107|27042	536.6955	C1orf107|27042	516.7926
C1orf109|54955	336.0933	C1orf109|54955	380.7725
lowly_expressed	lowly_expressed	C1orf110|339512	37.7834
C1orf112|55732	260.828	C1orf112|55732	63.6062
C1orf113|79729	1055.8111	C1orf113|79729	218.9966
lowly_expressed	lowly_expressed	C1orf114|57821	7.9765
C1orf115|79762	437.7117	C1orf115|79762	3165.4072
C1orf116|79098	58.3365	C1orf116|79098	1144.4165
C1orf122|127687	1165.6154	C1orf122|127687	424.4332
C1orf123|54987	503.1991	C1orf123|54987	1215.7851
C1orf124|83932	150.9221	C1orf124|83932	135.1805
C1orf126|200197	20.1129	C1orf126|200197	158.8875
C1orf128|57095	537.0719	C1orf128|57095	1337.1117
C1orf130|400746	33.4964	C1orf130|400746	276.6583
C1orf131|128061	159.9548	C1orf131|128061	163.72799999999998
C1orf133|574036	36.8837	C1orf133|574036	92.7792
C1orf135|79000	36.8837	C1orf135|79000	13.0143
C1orf144|26099	2021.8291	C1orf144|26099	3665.4072
C1orf151|440574	895.1863	C1orf151|440574	1140.2183
C1orf156|92342	358.6752	C1orf156|92342	196.4736
C1orf159|54991	130.9748	C1orf159|54991	124.6851
lowly_expressed	lowly_expressed	C1orf161|126868	5.0378
C1orf162|128346	235.9804	C1orf162|128346	299.7481
C1orf163|65260	233.3459	C1orf163|65260	143.157
C1orf168|199920	176.1385	C1orf168|199920	81.86399999999999
C1orf170|84808	57.2074	C1orf170|84808	44.9202
C1orf172|126695	325.1788	C1orf172|126695	368.5978
lowly_expressed	lowly_expressed	C1orf173|127254	139.7985
C1orf174|339448	219.044	C1orf174|339448	458.8581
lowly_expressed	lowly_expressed	C1orf175|374977	24.3493
lowly_expressed	lowly_expressed	C1orf182|128229	5.0378
C1orf183|55924	161.8367	C1orf183|55924	106.2133
C1orf186|440712	7.9037	C1orf186|440712	26.0285
C1orf187|374946	6.7746	lowly_expressed	lowly_expressed
C1orf190|541468	16.1197	C1orf190|541468	115.2729
C1orf192|257177	54.1965	C1orf192|257177	23.0898
C1orf198|84886	2039.5183	C1orf198|84886	1643.5768
C1orf201|90529	118.5548	C1orf201|90529	264.4836
C1orf203|84852	83.1878	C1orf203|84852	151.5953
C1orf204|284677	24.9793	C1orf204|284677	101.3938
C1orf210|149466	496.8009	C1orf210|149466	193.5348
C1orf212|113444	768.5359	C1orf212|113444	709.4878
C1orf213|148898	19.6387	C1orf213|148898	118.6524
C1orf216|127703	816.7106	C1orf216|127703	518.4719
C1orf21|81563	2096.3493	C1orf21|81563	3349.7061
C1orf220|400798	16.56	C1orf220|400798	9.2359
C1orf226|400793	632.2921	C1orf226|400793	939.9664
lowly_expressed	lowly_expressed	C1orf228|339541	15.5332
C1orf229|388759	5.6455	C1orf229|388759	16.3728
C1orf25|81627	1178.7731	C1orf25|81627	420.6549
C1orf26|54823	155.8148	C1orf26|54823	145.2561
C1orf27|54953	729.3941	C1orf27|54953	614.1898
C1orf31|388753	368.0843	C1orf31|388753	242.2334
C1orf35|79169	291.306	C1orf35|79169	289.2527
C1orf38|9473	205.4949	C1orf38|9473	216.2049
C1orf43|25912	7362.8152	C1orf43|25912	5464.7355
C1orf50|79078	251.4114	C1orf50|79078	189.7565
C1orf51|148523	230.7113	C1orf51|148523	301.4274
C1orf52|148423	176.5149	C1orf52|148423	231.3182
C1orf53|388722	54.9492	C1orf53|388722	25.6087
C1orf54|79630	117.4257	C1orf54|79630	205.2897
C1orf55|163859	525.4046	C1orf55|163859	297.649
C1orf56|54964	359.7968	C1orf56|54964	187.5021
C1orf57|84284	705.6831	C1orf57|84284	601.5953
C1orf58|148362	386.1234	C1orf58|148362	189.5256
C1orf59|113802	39.8946	C1orf59|113802	217.4643
lowly_expressed	lowly_expressed	C1orf61|10485	36.1041
C1orf63|57035	102.3711	C1orf63|57035	362.3006
C1orf64|149563	1166.7294	C1orf64|149563	479.8489
C1orf66|51093	546.1046	C1orf66|51093	637.2796
C1orf69|200205	177.644	C1orf69|200205	286.7338
lowly_expressed	lowly_expressed	C1orf70|339453	21.8304
C1orf74|148304	76.0256	C1orf74|148304	90.2603
C1orf77|26097	1413.6244	C1orf77|26097	1787.1537
C1orf83|127428	260.0677	C1orf83|127428	133.0814
C1orf84|149469	12.2356	C1orf84|149469	14.6641
C1orf85|112770	1689.4994	C1orf85|112770	1088.1612
C1orf86|199990	483.3647	C1orf86|199990	378.2578
C1orf88|128344	367.3316	C1orf88|128344	328.2955
C1orf89|79363	74.5201	C1orf89|79363	47.8589
C1orf91|56063	159.9323	C1orf91|56063	174.0218
C1orf93|127281	1889.0064	C1orf93|127281	1121.6625
C1orf95|375057	39.5183	C1orf95|375057	23.5097
C1orf96|126731	226.195	C1orf96|126731	408.0605
C1orf97|84791	134.3621	C1orf97|84791	84.8027
C1orf9|51430	1789.236	C1orf9|51430	762.8044
C20orf103|24141	238.9913	C20orf103|24141	63.8119
C20orf108|116151	2684.9831	C20orf108|116151	5968.9337
C20orf111|51526	750.0941	C20orf111|51526	1000.0
C20orf112|140688	832.8942	C20orf112|140688	687.2376
C20orf114|92747	323.297	C20orf114|92747	46.5995
C20orf117|140710	572.8265	C20orf117|140710	239.7145
C20orf118|140711	10.3613	C20orf118|140711	15.5961
C20orf11|54994	1902.1453	C20orf11|54994	2243.073
C20orf12|55184	43.6583	C20orf12|55184	87.3216
C20orf132|140699	10.1618	C20orf132|140699	51.2217
C20orf134|170487	145.653	C20orf134|170487	36.5239
C20orf135|140701	159.5785	C20orf135|140701	71.7884
C20orf151|140893	117.0493	C20orf151|140893	47.0193
lowly_expressed	lowly_expressed	C20orf152|140894	5.8774
C20orf160|140706	56.4546	C20orf160|140706	292.1914
C20orf177|63939	198.7204	C20orf177|63939	190.5961
C20orf194|25943	144.5239	C20orf194|25943	764.0638
C20orf195|79025	12.0437	C20orf195|79025	6.2972
C20orf196|149840	29.7328	C20orf196|149840	104.1142
C20orf197|284756	8.28	C20orf197|284756	5.0378
C20orf199|441951	630.4102	C20orf199|441951	2225.021
lowly_expressed	lowly_expressed	C20orf200|253868	10.0756
lowly_expressed	lowly_expressed	C20orf202|400831	16.3728
lowly_expressed	lowly_expressed	C20orf203|284805	15.1134
C20orf20|55257	222.0549	C20orf20|55257	266.1629
C20orf24|55969	1395.1976	C20orf24|55969	1229.8153
C20orf26|26074	10.1618	C20orf26|26074	5.0378
C20orf27|54976	508.4682	C20orf27|54976	767.4223
C20orf29|55317	177.2676	C20orf29|55317	270.361
C20orf30|29058	1537.4482	C20orf30|29058	3195.6339
C20orf3|57136	7653.7448	C20orf3|57136	4876.5743
C20orf43|51507	1960.1054	C20orf43|51507	2595.2981
lowly_expressed	lowly_expressed	C20orf46|55321	22.67
C20orf4|25980	1384.6443	C20orf4|25980	1510.0756
C20orf54|113278	1291.6823	C20orf54|113278	280.0168
C20orf72|92667	319.1569	C20orf72|92667	660.7893
C20orf7|79133	71.8856	C20orf7|79133	170.445
C20orf94|128710	22.5819	C20orf94|128710	9.2359
C20orf96|140680	114.4148	C20orf96|140680	348.0269
C21orf119|84996	238.615	C21orf119|84996	147.3552
C21orf122|728039	44.7874	C21orf122|728039	57.5147
lowly_expressed	lowly_expressed	C21orf129|150135	9.2359
C21orf130|284835	22.2055	C21orf130|284835	8.8161
lowly_expressed	lowly_expressed	C21orf15|54094	7.1369
lowly_expressed	lowly_expressed	C21orf29|54084	6.2972
C21orf2|755	373.3534	C21orf2|755	517.6322
C21orf33|8209	1975.16	C21orf33|8209	3190.5961
C21orf34|388815	7.5273	C21orf34|388815	86.4819
C21orf45|54069	348.13699999999994	C21orf45|54069	188.0772
lowly_expressed	lowly_expressed	C21orf49|54067	7.1369
C21orf56|84221	93.7147	C21orf56|84221	143.157
C21orf57|54059	221.3022	C21orf57|54059	173.3837
C21orf58|54058	81.2947	C21orf58|54058	29.8069
C21orf59|56683	869.2699	C21orf59|56683	917.5231
C21orf63|59271	402.3335	C21orf63|59271	690.1763
C21orf67|84536	103.1238	C21orf67|84536	41.1419
C21orf70|85395	165.2239	C21orf70|85395	187.6574
C21orf7|56911	60.971000000000004	C21orf7|56911	53.3165
lowly_expressed	lowly_expressed	C21orf82|114036	30.2267
lowly_expressed	lowly_expressed	C21orf88|114041	12.5945
C21orf91|54149	182.5367	C21orf91|54149	234.2569
C22orf13|83606	3274.6857	C22orf13|83606	2064.2317
lowly_expressed	lowly_expressed	C22orf15|150248	9.6558
C22orf23|84645	10.5382	C22orf23|84645	57.9345
C22orf25|128989	490.7791	C22orf25|128989	582.2838
C22orf26|55267	10.9146	C22orf26|55267	20.1511
C22orf27|150291	96.3493	C22orf27|150291	192.2754
C22orf28|51493	1187.4294	C22orf28|51493	2373.6356
C22orf29|79680	311.8291	C22orf29|79680	599.7061
C22orf30|253143	726.0068	C22orf30|253143	580.6045
C22orf32|91689	455.4008	C22orf32|91689	785.8942
C22orf36|388886	85.0583	C22orf36|388886	201.0915
C22orf39|128977	311.6297	C22orf39|128977	970.1931
C22orf40|150383	92.5856	C22orf40|150383	189.3367
C22orf41|644186	31.6146	lowly_expressed	lowly_expressed
C22orf46|79640	346.6315	C22orf46|79640	869.0176
C22orf9|23313	1445.239	C22orf9|23313	2594.0386
C2CD2L|9854	420.9748	C2CD2L|9854	275.3988
C2CD2|25966	1053.8201	C2CD2|25966	1662.4685
C2CD3|26005	933.3835	C2CD3|26005	463.0563
C2CD4A|145741	73.0147	lowly_expressed	lowly_expressed
C2CD4B|388125	11.2909	C2CD4B|388125	15.1134
C2CD4C|126567	11.6673	C2CD4C|126567	51.2175
C2CD4D|100191040	14.6782	C2CD4D|100191040	13.4341
C2orf14|100132708	8.6564	lowly_expressed	lowly_expressed
C2orf15|150590	132.5104	C2orf15|150590	69.0218
C2orf16|84226	101.9947	C2orf16|84226	45.3401
C2orf18|54978	5656.3794	C2orf18|54978	1476.0705
C2orf24|27013	1838.9161	C2orf24|27013	1790.0924
C2orf27A|29798	124.95299999999999	C2orf27A|29798	57.0949
C2orf28|51374	3306.816	C2orf28|51374	3872.0445
C2orf29|55571	1039.1419	C2orf29|55571	772.4601
C2orf34|79823	111.4038	C2orf34|79823	91.5197
C2orf3|6936	378.6225	C2orf3|6936	328.2955
C2orf40|84417	13.9255	C2orf40|84417	1147.775
C2orf42|54980	383.1389	C2orf42|54980	301.4274
C2orf43|60526	164.0948	C2orf43|60526	191.8556
C2orf44|80304	338.3515	C2orf44|80304	253.1486
C2orf47|79568	312.6157	C2orf47|79568	300.1679
C2orf49|79074	138.1257	C2orf49|79074	86.9018
C2orf50|130813	25.9691	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C2orf52|151477	5.0378
lowly_expressed	lowly_expressed	C2orf54|79919	33.5852
C2orf55|343990	828.0015	C2orf55|343990	291.3518
C2orf56|55471	179.9021	C2orf56|55471	199.4123
lowly_expressed	lowly_expressed	C2orf58|285154	35.6843
C2orf60|129450	165.36700000000002	C2orf60|129450	153.2326
C2orf62|375307	43.2819	C2orf62|375307	5.4576
C2orf63|130162	56.4546	C2orf63|130162	55.8354
C2orf64|493753	592.3974	C2orf64|493753	643.9966
C2orf65|130951	235.2277	C2orf65|130951	38.623000000000005
C2orf67|151050	118.1219	C2orf67|151050	295.9782
C2orf68|388969	861.8743	C2orf68|388969	940.806
C2orf69|205327	689.4994	C2orf69|205327	211.5869
lowly_expressed	lowly_expressed	C2orf70|339778	6.7170000000000005
lowly_expressed	lowly_expressed	C2orf71|388939	8.8161
C2orf72|257407	89.5747	C2orf72|257407	103.2746
C2orf73|129852	17.6891	C2orf73|129852	9.6558
C2orf74|339804	175.3858	C2orf74|339804	364.8195
C2orf76|130355	107.6402	C2orf76|130355	141.8976
C2orf77|129881	308.9951	C2orf77|129881	115.0294
C2orf79|391356	346.6315	C2orf79|391356	466.8346
C2orf7|84279	489.65	C2orf7|84279	457.1788
C2orf81|388963	356.8009	C2orf81|388963	133.1486
lowly_expressed	lowly_expressed	C2orf82|389084	21.4106
lowly_expressed	lowly_expressed	C2orf84|653140	16.7926
C2orf86|51057	73.391	C2orf86|51057	49.1184
C2orf88|84281	36.131	C2orf88|84281	171.2846
C2orf89|129293	7.9037	C2orf89|129293	27.288
C2|717	331.2872	C2|717	641.7842
C3AR1|719	316.5224	C3AR1|719	221.6625
C3orf10|55845	4121.5657	C3orf10|55845	4714.1058
C3orf14|57415	340.2333	C3orf14|57415	282.9555
C3orf15|89876	164.8476	C3orf15|89876	162.4685
C3orf17|25871	687.9939999999999	C3orf17|25871	869.4374
C3orf18|51161	297.7042	C3orf18|51161	351.8052
C3orf19|51244	451.2608	C3orf19|51244	618.8077
C3orf1|51300	1114.4148	C3orf1|51300	1255.6675
C3orf21|152002	364.69699999999995	C3orf21|152002	352.6448
C3orf23|285343	209.2586	C3orf23|285343	295.9698
C3orf26|84319	679.3376	C3orf26|84319	505.0378
C3orf31|132001	164.8476	C3orf31|132001	166.6667
lowly_expressed	lowly_expressed	C3orf32|51066	13.8539
C3orf33|285315	178.7731	C3orf33|285315	94.4584
C3orf34|84984	92.5856	C3orf34|84984	66.7506
lowly_expressed	lowly_expressed	C3orf35|339883	7.1369
C3orf37|56941	1218.6677	C3orf37|56941	1291.3518
C3orf38|285237	512.9846	C3orf38|285237	378.6734
C3orf39|84892	750.4705	C3orf39|84892	572.2082
C3orf42|84657	11.2909	C3orf42|84657	31.0663
C3orf47|339942	43.6583	C3orf47|339942	66.7506
C3orf52|79669	1254.0459	C3orf52|79669	104.9538
C3orf54|389119	29.7328	C3orf54|389119	143.5768
C3orf55|152078	5.6455	C3orf55|152078	125.9446
C3orf57|165679	2351.9006	C3orf57|165679	115.4492
C3orf58|205428	143.3948	C3orf58|205428	648.6146
C3orf59|151963	143.3948	C3orf59|151963	205.2897
C3orf62|375341	92.962	C3orf62|375341	186.8178
C3orf63|23272	1813.9518	C3orf63|23272	1219.2191
C3orf64|285203	176.1385	C3orf64|285203	927.7918
C3orf67|200844	35.7546	C3orf67|200844	14.6935
C3orf70|285382	38.0128	C3orf70|285382	67.5903
C3orf71|646450	17.7757	C3orf71|646450	41.6415
C3orf75|54859	301.4678	C3orf75|54859	565.911
C3|718	6964.2454	C3|718	18696.0537
C4A|720	121248.9462	C4A|720	13336.5155
lowly_expressed	lowly_expressed	C4BPA|722	10.4954
C4orf10|317648	338.0467	C4orf10|317648	415.2519
C4orf12|404201	28.9801	C4orf12|404201	52.4769
C4orf14|84273	619.872	C4orf14|84273	712.0067
C4orf19|55286	6.9552	C4orf19|55286	277.0781
C4orf21|55345	57.9601	C4orf21|55345	51.6373
C4orf23|152992	181.4076	C4orf23|152992	252.7288
C4orf27|54969	286.0369	C4orf27|54969	565.911
C4orf29|80167	126.08200000000001	C4orf29|80167	51.2175
C4orf31|79625	283.026	C4orf31|79625	55.8354
C4orf32|132720	1873.918	C4orf32|132720	592.3594
C4orf33|132321	324.8024	C4orf33|132321	242.6532
C4orf34|201895	2952.2017	C4orf34|201895	416.4568
C4orf36|132989	22.2055	C4orf36|132989	18.0521
lowly_expressed	lowly_expressed	C4orf38|152641	18.0521
lowly_expressed	lowly_expressed	C4orf39|152756	20.5709
C4orf3|401152	3431.6899	C4orf3|401152	3764.9034
C4orf41|60684	1031.6146	C4orf41|60684	682.1998
C4orf42|92070	655.2503	C4orf42|92070	345.0882
C4orf43|55319	303.3496	C4orf43|55319	314.0218
C4orf46|201725	205.1186	C4orf46|201725	105.7935
lowly_expressed	lowly_expressed	C4orf47|441054	15.1134
C4orf48|401115	6.7746	C4orf48|401115	9.6558
lowly_expressed	lowly_expressed	C4orf49|84709	128.4635
C4orf52|389203	164.8476	C4orf52|389203	564.6516
C4orf7|260436	44.411	C4orf7|260436	180.9404
C5AR1|728	228.4531	C5AR1|728	84.3829
C5orf13|9315	458.4117	C5orf13|9315	835.4324
C5orf15|56951	1651.1103	C5orf15|56951	1292.6113
lowly_expressed	lowly_expressed	C5orf20|140947	5.8774
C5orf22|55322	637.1848	C5orf22|55322	344.2485
C5orf23|79614	22.9582	C5orf23|79614	570.9488
C5orf24|134553	1368.4607	C5orf24|134553	507.1369
C5orf25|375484	27.851	C5orf25|375484	204.8699
lowly_expressed	lowly_expressed	C5orf27|202299	10.0756
C5orf28|64417	627.3993	C5orf28|64417	122.1662
C5orf30|90355	1046.2928	C5orf30|90355	450.4618
C5orf32|84418	614.6029	C5orf32|84418	1211.1671
C5orf33|133686	528.7919	C5orf33|133686	544.5004
C5orf34|375444	89.9511	C5orf34|375444	26.4484
C5orf35|133383	335.717	C5orf35|133383	183.4593
C5orf36|285600	92.2093	C5orf36|285600	29.8069
C5orf38|153571	74.8965	C5orf38|153571	99.0764
C5orf39|389289	21.1291	C5orf39|389289	78.0856
C5orf41|153222	418.8935	C5orf41|153222	232.1579
C5orf42|65250	378.6225	C5orf42|65250	220.8228
C5orf43|643155	1868.2725	C5orf43|643155	860.6213
C5orf44|80006	474.9718	C5orf44|80006	324.0974
C5orf45|51149	145.6906	C5orf45|51149	271.6793
C5orf46|389336	30.4855	C5orf46|389336	110.4114
C5orf49|134121	12.0437	C5orf49|134121	21.4106
C5orf4|10826	6133.6093	C5orf4|10826	2825.3568
C5orf51|285636	1036.5073	C5orf51|285636	550.7976
C5orf53|492311	262.3259	C5orf53|492311	530.6465
C5orf54|63920	167.4821	C5orf54|63920	175.4828
C5orf55|116349	221.6786	C5orf55|116349	115.869
C5orf56|441108	42.2055	C5orf56|441108	114.2233
C5orf62|85027	444.1099	C5orf62|85027	1253.9882
C5|727	220.5495	C5|727	165.4072
C6orf105|84830	12.42	C6orf105|84830	102.4349
C6orf106|64771	5942.7926	C6orf106|64771	3524.7691
C6orf108|10591	818.5924	C6orf108|10591	416.0369
C6orf114|85411	9.7855	C6orf114|85411	7.1369
C6orf115|58527	211.1404	C6orf115|58527	302.6868
C6orf120|387263	716.1385	C6orf120|387263	716.8262
lowly_expressed	lowly_expressed	C6orf122|401288	21.6793
lowly_expressed	lowly_expressed	C6orf123|26238	6.2972
lowly_expressed	lowly_expressed	C6orf124|653483	15.1134
C6orf125|84300	1963.7938	C6orf125|84300	781.2719999999999
C6orf126|389383	117.802	lowly_expressed	lowly_expressed
C6orf127|340204	31.991	lowly_expressed	lowly_expressed
C6orf129|154467	258.9387	C6orf129|154467	116.7086
C6orf130|221443	728.5209	C6orf130|221443	679.2611
C6orf132|647024	646.5939	C6orf132|647024	196.8934
C6orf134|79969	178.3967	C6orf134|79969	212.0067
C6orf136|221545	297.7042	C6orf136|221545	240.97400000000002
C6orf138|442213	7.9037	C6orf138|442213	24.3493
C6orf141|135398	270.9823	C6orf141|135398	72.628
C6orf145|221749	925.8562	C6orf145|221749	1490.7641
C6orf150|115004	54.1965	C6orf150|115004	29.3871
C6orf153|88745	1237.1095	C6orf153|88745	614.1898
C6orf154|221424	225.8186	C6orf154|221424	26.8682
C6orf155|79940	79.4129	C6orf155|79940	47.0193
lowly_expressed	lowly_expressed	C6orf15|29113	34.005
C6orf162|57150	48.1746	C6orf162|57150	100.7557
lowly_expressed	lowly_expressed	C6orf163|206412	10.9152
lowly_expressed	lowly_expressed	C6orf164|63914	9.6558
C6orf165|154313	44.8175	C6orf165|154313	42.8212
C6orf167|253714	117.0493	C6orf167|253714	89.8405
C6orf168|84553	213.3986	C6orf168|84553	256.927
C6orf170|221322	25.2164	C6orf170|221322	50.7976
C6orf174|387104	5.2842	C6orf174|387104	56.3434
C6orf182|285753	136.6202	C6orf182|285753	68.4299
C6orf192|116843	129.4693	C6orf192|116843	334.173
C6orf1|221491	1269.4769	C6orf1|221491	456.3392
lowly_expressed	lowly_expressed	C6orf201|404220	16.3896
C6orf203|51250	126.08200000000001	C6orf203|51250	474.8111
C6orf204|387119	7.9037	C6orf204|387119	7.5567
C6orf211|79624	1057.9601	C6orf211|79624	964.3157
lowly_expressed	lowly_expressed	C6orf217|100131814	9.6558
C6orf223|221416	393.711	C6orf223|221416	10.4954
C6orf225|619208	222.8077	C6orf225|619208	285.8942
C6orf226|441150	340.9861	C6orf226|441150	109.9916
C6orf26|401251	10.1355	C6orf26|401251	31.8136
C6orf27|80737	26.3455	C6orf27|80737	34.8447
C6orf35|729515	155.4385	C6orf35|729515	541.9815
lowly_expressed	lowly_expressed	C6orf41|100133205	13.0143
C6orf47|57827	1599.9247	C6orf47|57827	1001.2594
C6orf48|50854	1066.2401	C6orf48|50854	2392.5273
C6orf52|347744	11.2909	C6orf52|347744	5.0378
C6orf57|135154	28.6037	C6orf57|135154	75.5668
lowly_expressed	lowly_expressed	C6orf59|79992	9.2359
C6orf62|81688	4119.2134	C6orf62|81688	2845.8606
C6orf64|55776	765.1487	C6orf64|55776	586.9018
C6orf70|55780	199.8495	C6orf70|55780	407.6406
C6orf72|116254	478.7354	C6orf72|116254	871.1167
C6orf81|221481	8.6564	C6orf81|221481	10.0756
C6orf89|221477	5121.942	C6orf89|221477	3599.9159999999997
C6orf97|80129	318.7806	C6orf97|80129	424.4332
C6|729	77.5311	C6|729	94.4584
C7orf10|79783	23.711	C7orf10|79783	71.3686
C7orf11|136647	426.0444	C7orf11|136647	299.7481
C7orf13|129790	186.6767	C7orf13|129790	165.4072
C7orf23|79161	314.6142	C7orf23|79161	298.4887
C7orf25|79020	528.0391	C7orf25|79020	375.3149
C7orf26|79034	552.5028	C7orf26|79034	573.4677
C7orf27|221927	1079.4129	C7orf27|221927	1042.4013
C7orf28A|51622	1066.6165	C7orf28A|51622	1424.0134
C7orf28B|221960	127.2111	C7orf28B|221960	72.628
C7orf29|113763	196.0858	C7orf29|113763	186.398
C7orf30|115416	362.4388	C7orf30|115416	428.6314
C7orf31|136895	71.1329	C7orf31|136895	238.8749
C7orf36|57002	209.6349	C7orf36|57002	243.4929
C7orf40|285958	126.8348	C7orf40|285958	285.4744
C7orf41|222166	344.7497	C7orf41|222166	4285.8942
C7orf42|55069	2911.178	C7orf42|55069	3539.8825
C7orf43|55262	222.4313	C7orf43|55262	222.9219
C7orf44|55744	839.2924	C7orf44|55744	660.3694
C7orf46|340277	103.1238	C7orf46|340277	58.7741
C7orf47|221908	283.026	C7orf47|221908	189.3367
C7orf49|78996	481.6071	C7orf49|78996	506.6037
C7orf50|84310	1235.9804	C7orf50|84310	1221.2427
lowly_expressed	lowly_expressed	C7orf51|222950	50.7976
C7orf53|286006	7.1509	C7orf53|286006	28.5474
C7orf55|154791	213.7749	C7orf55|154791	280.0378
C7orf58|79974	131.3511	C7orf58|79974	523.9295
C7orf59|389541	955.9654	C7orf59|389541	1439.9664
C7orf60|154743	200.9785	C7orf60|154743	211.5869
lowly_expressed	lowly_expressed	C7orf61|402573	5.4576
C7orf63|79846	31.6146	C7orf63|79846	146.9353
C7orf64|84060	247.2714	C7orf64|84060	297.649
C7orf68|29923	1328.1897	C7orf68|29923	567.1704
C7orf70|84792	590.8919999999999	C7orf70|84792	463.0563
C7|730	372.2243	C7|730	1118.3879
C8orf30A|51236	1126.0819999999999	C8orf30A|51236	446.6835
lowly_expressed	lowly_expressed	C8orf31|286122	6.7170000000000005
C8orf33|65265	1321.4151	C8orf33|65265	974.3913
lowly_expressed	lowly_expressed	C8orf34|116328	68.0101
C8orf37|157657	52.3146	C8orf37|157657	41.9815
C8orf38|137682	342.4915	C8orf38|137682	222.0823
C8orf39|55472	10.5382	lowly_expressed	lowly_expressed
C8orf40|114926	464.8099	C8orf40|114926	678.4215
C8orf41|80185	415.8374	C8orf41|80185	371.801
C8orf42|157695	67.7456	C8orf42|157695	346.3476
C8orf44|56260	24.5653	C8orf44|56260	37.2628
C8orf45|157777	35.7546	C8orf45|157777	39.0428
C8orf46|254778	9.7855	C8orf46|254778	21.8304
lowly_expressed	lowly_expressed	C8orf47|203111	9.2359
C8orf48|157773	6.0218	C8orf48|157773	43.24100000000001
C8orf4|56892	252.1641	C8orf4|56892	477.33
C8orf51|78998	151.2985	C8orf51|78998	26.4484
C8orf55|51337	2354.5352	C8orf55|51337	1134.3409
lowly_expressed	lowly_expressed	C8orf56|157556	5.4576
C8orf58|541565	176.1385	C8orf58|541565	403.4425
C8orf59|401466	551.5243	C8orf59|401466	971.5953
C8orf73|642475	25.9691	C8orf73|642475	42.8212
C8orf76|84933	350.4366	C8orf76|84933	298.0688
C8orf77|286103	9.4091	C8orf77|286103	8.3963
C8orf79|57604	38.0128	C8orf79|57604	429.8908
C8orf80|389643	18.4419	lowly_expressed	lowly_expressed
C8orf83|286144	1007.9037	C8orf83|286144	532.7456
C8orf84|157869	47.7983	C8orf84|157869	878.2536
C8orf85|441376	1913.4362	C8orf85|441376	252.30900000000003
C9orf100|84904	161.8969	C9orf100|84904	62.3971
C9orf102|375748	67.3429	C9orf102|375748	45.0672
C9orf103|414328	34.2492	C9orf103|414328	265.7431
C9orf109|286333	9.0327	C9orf109|286333	22.2502
C9orf110|100128385	84.682	C9orf110|100128385	147.3552
C9orf114|51490	492.006	C9orf114|51490	529.3409
C9orf116|138162	363.5679	C9orf116|138162	89.4207
C9orf117|286207	9.4091	C9orf117|286207	8.3963
C9orf119|375757	926.2326	C9orf119|375757	484.04699999999997
C9orf122|158228	24.84	C9orf122|158228	22.2502
C9orf123|90871	1112.1566	C9orf123|90871	975.6507
C9orf125|84302	28.2273	C9orf125|84302	137.2796
lowly_expressed	lowly_expressed	C9orf128|392307	6.7170000000000005
C9orf129|445577	89.6989	C9orf129|445577	48.3879
C9orf130|100128782	26.9063	C9orf130|100128782	163.2662
C9orf140|89958	869.4016	C9orf140|89958	137.2796
