gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
lowly_expressed	lowly_expressed	ACADL|33	130.5626
ACADM|34	1033.4964	ACADM|34	1079.3451
ACADSB|36	6901.7689	ACADSB|36	2568.4299
ACADS|35	246.1423	ACADS|35	1272.8799
ACADVL|37	4447.8698	ACADVL|37	8442.8505
ACAN|176	92.2093	ACAN|176	21.8304
ACAP1|9744	64.3583	ACAP1|9744	82.2838
ACAP2|23527	969.1381	ACAP2|23527	639.7985
ACAP3|116983	328.5773	ACAP3|116983	383.7238
ACAT1|38	1510.7264	ACAT1|38	2646.9353
ACAT2|39	407.8058	ACAT2|39	474.5424
ACBD3|64746	1937.5235	ACBD3|64746	709.9076
ACBD4|79777	430.5608	ACBD4|79777	417.2964
ACBD5|91452	809.5597	ACBD5|91452	500
ACBD6|84320	567.9338	ACBD6|84320	496.2217
ACBD7|414149	99.3602	ACBD7|414149	30.2267
lowly_expressed	lowly_expressed	ACCN1|40	13.0143
ACCN2|41	228.8295	ACCN2|41	89.4207
ACCN3|9311	10.9146	lowly_expressed	lowly_expressed
ACCS|84680	16.1837	ACCS|84680	326.1965
ACD|65057	164.8476	ACD|65057	552.0571
lowly_expressed	lowly_expressed	ACE2|59272	17.2124
ACER2|340485	523.8991	ACER2|340485	99.916
ACER3|55331	317.6515	ACER3|55331	324.937
ACE|1636	202.1076	ACE|1636	537.7834
ACHE|43	5.6455	ACHE|43	62.1327
ACIN1|22985	2265.3368	ACIN1|22985	3538.2032
ACLY|47	4464.8099	ACLY|47	2996.2217
lowly_expressed	lowly_expressed	ACMSD|130013	5.4576
ACN9|57001	15.8073	ACN9|57001	162.4685
ACO1|48	1091.0802	ACO1|48	3786.314
ACO2|50	1932.2507	ACO2|50	3572.7792
ACOT11|26027	19.7667	ACOT11|26027	49.5382
ACOT13|55856	1321.8856	ACOT13|55856	783.4425
ACOT1|641371	2167.4821	ACOT1|641371	1201.0915
ACOT2|10965	1243.5077	ACOT2|10965	801.4274
ACOT4|122970	1688.7467	ACOT4|122970	276.2385
ACOT6|641372	43.6583	ACOT6|641372	6.717
ACOT7|11332	365.0734	ACOT7|11332	386.6499
ACOT8|10005	220.7264	ACOT8|10005	257.4685
ACOT9|23597	539.7064	ACOT9|23597	466.8346
ACOX1|51	2404.3809	ACOX1|51	1942.0361
ACOX2|8309	531.0501	ACOX2|8309	459.6977
ACOX3|8310	257.4332	ACOX3|8310	554.9958
ACOXL|55289	7.9037	lowly_expressed	lowly_expressed
ACP1|52	1409.8607	ACP1|52	1170.445
ACP2|53	2681.2194	ACP2|53	1281.6961
ACP5|54	3080.9183	ACP5|54	1369.4374
ACP6|51205	244.2604	ACP6|51205	364.3997
ACPL2|92370	278.886	ACPL2|92370	339.6306
ACPP|55	57.9601	ACPP|55	42.8212
ACRBP|84519	159.9548	ACRBP|84519	21.8304
ACRC|93953	5.2691	ACRC|93953	20.9908
lowly_expressed	lowly_expressed	ACSBG1|23205	26.4484
lowly_expressed	lowly_expressed	ACSBG2|81616	5.8774
ACSF2|80221	1001.1291	ACSF2|80221	1767.8421
ACSF3|197322	238.2386	ACSF3|197322	464.3157
ACSL1|2180	1944.2981	ACSL1|2180	12339.2107
ACSL3|2181	3475.3481	ACSL3|2181	2168.3459
ACSL4|2182	431.6899	ACSL4|2182	824.0974
ACSL5|51703	159.2021	ACSL5|51703	697.733
ACSL6|23305	6.3982	lowly_expressed	lowly_expressed
ACSM1|116285	16.1837	ACSM1|116285	17.6322
ACSM3|6296	147.644	ACSM3|6296	171.3182
ACSM5|54988	25.9691	ACSM5|54988	273.2997
ACSS1|84532	2594.6556	ACSS1|84532	1019.3115
ACSS2|55902	1071.8856	ACSS2|55902	3659.11
ACSS3|79611	865.2616	ACSS3|79611	470.6129
ACTA1|58	15.8073	ACTA1|58	142.3174
ACTA2|59	5372.7964	ACTA2|59	83569.9076
ACTB|60	86834.7761	ACTB|60	130926.1125
ACTC1|70	15.0546	lowly_expressed	lowly_expressed
ACTG1|71	62891.2307	ACTG1|71	69566.7506
ACTG2|72	339.857	ACTG2|72	27048.2788
ACTL6A|86	1097.102	ACTL6A|86	696.8934
ACTN1|87	5067.3692	ACTN1|87	14532.3258
ACTN4|81	13592.5668	ACTN4|81	15371.8472
ACTR10|55860	1073.7674	ACTR10|55860	1168.7657
ACTR1A|10121	4076.7783	ACTR1A|10121	2983.6272
ACTR1B|10120	1096.3493	ACTR1B|10120	1623.4257
ACTR2|10097	6597.2902	ACTR2|10097	2854.7439
ACTR3B|57180	193.8276	ACTR3B|57180	128.4635
ACTR3C|653857	42.1528	ACTR3C|653857	48.2788
ACTR3|10096	3392.548	ACTR3|10096	2559.194
ACTR5|79913	207.0004	ACTR5|79913	233.8371
ACTR6|64431	661.6485	ACTR6|64431	408.9001
ACTR8|93973	311.2533	ACTR8|93973	410.1595
ACVR1B|91	529.1682	ACVR1B|91	1041.1419
ACVR1C|130399	57.9601	ACVR1C|130399	605.7935
ACVR1|90	650.7339	ACVR1|90	1130.9824
ACVR2A|92	198.344	ACVR2A|92	510.9152
ACVR2B|93	185.924	ACVR2B|93	321.9983
ACVRL1|94	316.8988	ACVRL1|94	1003.3585
ACY1|95	986.4509	ACY1|95	754.4332
ACY3|91703	31.991	ACY3|91703	27.288
ACYP1|97	50.8092	ACYP1|97	49.5382
ACYP2|98	54.9492	ACYP2|98	169.1856
lowly_expressed	lowly_expressed	ADAD2|161931	12.372
ADAL|161823	269.1005	ADAL|161823	180.5206
ADAM10|102	2132.8566	ADAM10|102	930.3107
lowly_expressed	lowly_expressed	ADAM11|4185	23.9295
ADAM12|8038	768.9123	ADAM12|8038	493.7028
ADAM15|8751	3207.4031	ADAM15|8751	2718.3039
ADAM17|6868	650.7339	ADAM17|6868	421.9144
ADAM19|8728	126.8348	ADAM19|8728	96.5575
ADAM21|8747	8.28	ADAM21|8747	5.8774
