gene_id	TCGA-E2-A15E-01A-11R-A12D-07	gene_id	TCGA-E2-A15E-06A-11R-A12D-07
ACADSB|36	2061.2348	ACADSB|36	1654.6139
ACADS|35	340.081	ACADS|35	638.0414
ACADVL|37	4039.7874	ACADVL|37	3778.4068
ACAN|176	38.4615	lowly_expressed	lowly_expressed
ACAP1|9744	21.7611	ACAP1|9744	206.7797
ACAP2|23527	1211.0324	ACAP2|23527	1284.3691
ACAP3|116983	820.4049	ACAP3|116983	1105.3258
ACAT1|38	1128.5425	ACAT1|38	931.4501
ACAT2|39	390.8603	ACAT2|39	210.7759
ACBD3|64746	1587.5506	ACBD3|64746	1639.9247
ACBD4|79777	346.1538	ACBD4|79777	329.1902
ACBD5|91452	744.9393	ACBD5|91452	993.9736
ACBD6|84320	407.3887	ACBD6|84320	443.6911
ACBD7|414149	50.6073	ACBD7|414149	47.4576
lowly_expressed	lowly_expressed	ACCN1|40	31.2618
ACCN2|41	70.8502	ACCN2|41	9.4162
ACCN3|9311	6.5789	ACCN3|9311	18.8324
ACCS|84680	218.6235	ACCS|84680	217.7024
ACD|65057	257.5911	ACD|65057	219.9623
ACE2|59272	6.5789	lowly_expressed	lowly_expressed
ACER2|340485	146.2551	ACER2|340485	46.7043
ACER3|55331	213.5628	ACER3|55331	203.7665
ACE|1636	491.3968	ACE|1636	381.5443
ACHE|43	15.6883	ACHE|43	20.7156
ACIN1|22985	3492.4089	ACIN1|22985	3916.0075
ACLY|47	6080.4656	ACLY|47	5798.8701
ACN9|57001	188.2591	ACN9|57001	223.7288
ACO1|48	927.1255	ACO1|48	558.9454
ACO2|50	2504.8735	ACO2|50	2091.6271
ACOT11|26027	45.83	ACOT11|26027	104.0301
ACOT13|55856	465.9615	ACOT13|55856	626.4105
ACOT1|641371	573.3806	ACOT1|641371	928.8136
ACOT2|10965	386.6397	ACOT2|10965	596.6102
ACOT4|122970	303.6437	ACOT4|122970	751.0358
ACOT6|641372	7.5911	ACOT6|641372	18.8324
ACOT7|11332	372.4696	ACOT7|11332	190.5838
ACOT8|10005	347.8694	ACOT8|10005	414.8475
ACOT9|23597	358.8057	ACOT9|23597	222.5989
ACOX1|51	1591.8269	ACOX1|51	1545.7627
ACOX2|8309	416.498	ACOX2|8309	209.0395
ACOX3|8310	816.2955	ACOX3|8310	539.7363
ACP1|52	1102.7328	ACP1|52	1215.8192
ACP2|53	810.2227	ACP2|53	1096.7947
ACP5|54	530.8704	ACP5|54	826.3653
ACP6|51205	532.8947	ACP6|51205	309.6045
ACPL2|92370	667.004	ACPL2|92370	764.5951
ACPP|55	48.0769	ACPP|55	10.5461
ACRBP|84519	45.5466	ACRBP|84519	106.5913
ACRC|93953	21.2551	ACRC|93953	18.0791
ACSBG1|23205	9.1093	lowly_expressed	lowly_expressed
ACSF2|80221	1345.1417	ACSF2|80221	640.3013
ACSF3|197322	388.1579	ACSF3|197322	277.9661
ACSL1|2180	6283.9069	ACSL1|2180	1087.7589
ACSL3|2181	10599.1903	ACSL3|2181	2403.7665
ACSL4|2182	792.5101	ACSL4|2182	222.9755
ACSL5|51703	815.7895	ACSL5|51703	482.1092
ACSL6|23305	8.0972	lowly_expressed	lowly_expressed
ACSM1|116285	6562.753	ACSM1|116285	70.8098
ACSM3|6296	744.1245	ACSM3|6296	18.1205
ACSM5|54988	11.6397	ACSM5|54988	20.339
ACSS1|84532	657.3887	ACSS1|84532	1010.5461
ACSS2|55902	1327.9352	ACSS2|55902	773.6347
ACSS3|79611	552.6316	ACSS3|79611	699.435
ACTA1|58	77.4291	ACTA1|58	10.9228
ACTA2|59	14102.3128	ACTA2|59	971.533
ACTB|60	77865.3846	ACTB|60	71545.7627
ACTG1|71	77130.5668	ACTG1|71	94687.7589
ACTG2|72	2010.1215	ACTG2|72	15.0659
ACTL6A|86	1351.7206	ACTL6A|86	2112.6177
ACTL8|81569	16.7004	lowly_expressed	lowly_expressed
ACTN1|87	9077.4291	ACTN1|87	3394.3503
ACTN4|81	12633.2642	ACTN4|81	15903.2128
ACTR10|55860	953.9474	ACTR10|55860	1175.5179
ACTR1A|10121	3275.3036	ACTR1A|10121	4132.58
ACTR1B|10120	1259.1093	ACTR1B|10120	1152.5424
ACTR2|10097	5662.9555	ACTR2|10097	6015.0659
ACTR3B|57180	212.0445	ACTR3B|57180	143.1262
ACTR3C|653857	48.0769	ACTR3C|653857	63.2768
ACTR3|10096	2936.2348	ACTR3|10096	2453.1073
ACTR5|79913	220.6478	ACTR5|79913	191.3371
ACTR6|64431	531.8826	ACTR6|64431	871.5631
