gene_id	TCGA-E2-A15E-01A-11R-A12D-07	gene_id	TCGA-E2-A15E-06A-11R-A12D-07
lowly_expressed	lowly_expressed	CTNNA3|29119	8.2863
CTNNAL1|8727	450.9109	CTNNAL1|8727	217.7024
CTNNB1|1499	12744.8381	CTNNB1|1499	16453.7288
CTNNBIP1|56998	1107.7935	CTNNBIP1|56998	951.7891
CTNNBL1|56259	887.6518	CTNNBL1|56259	876.8362
CTNND1|1500	10072.8745	CTNND1|1500	8300.565
CTNND2|1501	294.5344	CTNND2|1501	313.7476
CTNS|1497	316.1437	CTNS|1497	271.4689
CTPS2|56474	942.3077	CTPS2|56474	1079.8493
CTPS|1503	509.6154	CTPS|1503	365.725
CTR9|9646	1636.1336	CTR9|9646	2225.6121
CTSA|5476	1802.2419	CTSA|5476	1721.6158
CTSB|1508	10047.5709	CTSB|1508	6632.0151
CTSC|1075	1398.2794	CTSC|1075	3850.8475
CTSD|1509	31159.412999999997	CTSD|1509	25080.6026
CTSF|8722	1614.8785	CTSF|8722	1443.6911
CTSG|1511	123.4818	CTSG|1511	15.4426
CTSH|1512	1092.6113	CTSH|1512	1490.7721
CTSK|1513	2393.7247	CTSK|1513	571.7514
CTSL1|1514	969.6356	CTSL1|1514	639.548
CTSL2|1515	39.9798	lowly_expressed	lowly_expressed
CTSO|1519	931.1741	CTSO|1519	576.6478
CTSS|1520	561.2348	CTSS|1520	1245.5744
CTSW|1521	33.9069	CTSW|1521	88.1356
CTSZ|1522	3252.5304	CTSZ|1522	1930.3202
CTTNBP2NL|55917	770.2429	CTTNBP2NL|55917	414.6893
CTTNBP2|83992	138.1579	CTTNBP2|83992	16.5725
CTTN|2017	6191.2955	CTTN|2017	7514.8776
CTU1|90353	46.5587	CTU1|90353	48.2109
CTU2|348180	152.5	CTU2|348180	114.5499
CTXN1|404217	148.7854	CTXN1|404217	106.2147
CTXN3|613212	5.0607	lowly_expressed	lowly_expressed
CUBN|8029	29.8583	CUBN|8029	9.7928
CUEDC1|404093	365.3846	CUEDC1|404093	414.3126
CUEDC2|79004	1321.3563	CUEDC2|79004	1416.9492
CUL1|8454	1417.5101	CUL1|8454	1525.9473
CUL2|8453	911.4372	CUL2|8453	946.5160000000001
CUL3|8452	1709.0081	CUL3|8452	1549.9058
CUL4A|8451	2241.3968	CUL4A|8451	2757.8154
CUL4B|8450	2304.6559	CUL4B|8450	2533.71
CUL5|8065	1105.2632	CUL5|8065	1129.9435
CUL7|9820	1543.9119	CUL7|9820	1388.3126
CUL9|23113	901.8219	CUL9|23113	941.9962
CUTA|51596	1843.6235	CUTA|51596	2345.7627
CUTC|51076	175.1012	CUTC|51076	172.33900000000003
CUX1|1523	1199.3927	CUX1|1523	1476.0829
CUX2|23316	280.8704	CUX2|23316	59.5104
CUZD1|50624	11.0779	CUZD1|50624	8.9944
CWC15|51503	647.2672	CWC15|51503	909.9812
CWC22|57703	493.4211	CWC22|57703	400.3766
CWC25|54883	587.5506	CWC25|54883	681.7326
CWC27|10283	394.2308	CWC27|10283	447.08099999999996
CWF19L1|55280	485.3239	CWF19L1|55280	576.6478
CWF19L2|143884	463.5628	CWF19L2|143884	490.0188
CWH43|80157	13.1579	CWH43|80157	15.4426
CX3CL1|6376	3482.2874	CX3CL1|6376	64.0301
CX3CR1|1524	123.4818	CX3CR1|1524	194.7269
CXADRP3|440224	7.5911	lowly_expressed	lowly_expressed
CXADR|1525	331.9838	CXADR|1525	134.4633
CXCL10|3627	91.5992	CXCL10|3627	139.7363
CXCL11|6373	31.8826	CXCL11|6373	21.4689
CXCL12|6387	2129.0486	CXCL12|6387	6107.3446
CXCL13|10563	90.587	CXCL13|10563	410.9228
CXCL14|9547	2577.9352	CXCL14|9547	797.3635
CXCL16|58191	851.7206	CXCL16|58191	546.516
CXCL17|284340	103.7449	CXCL17|284340	443.6911
CXCL1|2919	20.2429	lowly_expressed	lowly_expressed
CXCL2|2920	98.6842	lowly_expressed	lowly_expressed
CXCL6|6372	18.2186	lowly_expressed	lowly_expressed
CXCL9|4283	223.6842	CXCL9|4283	259.887
lowly_expressed	lowly_expressed	CXCR2P1|3580	11.6761
lowly_expressed	lowly_expressed	CXCR2|3579	7.5329999999999995
CXCR3|2833	7.085	CXCR3|2833	47.4576
CXCR4|7852	505.0607	CXCR4|7852	1714.1243
lowly_expressed	lowly_expressed	CXCR5|643	134.516
CXCR6|10663	26.3158	CXCR6|10663	30.5085
CXCR7|57007	257.085	CXCR7|57007	551.4124
CXXC1|30827	806.1741	CXXC1|30827	927.6836
CXXC4|80319	28.3401	CXXC4|80319	88.8889
CXXC5|51523	787.4494	CXXC5|51523	1492.6554
CXorf21|80231	26.3158	CXorf21|80231	38.0414
CXorf23|256643	280.3644	CXorf23|256643	284.3691
CXorf26|51260	504.0486	CXorf26|51260	538.9831
CXorf36|79742	409.413	CXorf36|79742	95.6685
CXorf38|159013	190.2834	CXorf38|159013	322.4105
CXorf40A|91966	395.2429	CXorf40A|91966	546.1394
CXorf40B|541578	502.5304	CXorf40B|541578	557.8154
CXorf42|158801	11.6397	CXorf42|158801	8.2863
CXorf56|63932	262.1457	CXorf56|63932	295.2919
CXorf57|55086	19.7368	CXorf57|55086	9.7928
CYB561D1|284613	547.0648	CYB561D1|284613	541.6196
CYB561D2|11068	478.7854	CYB561D2|11068	889.3635
CYB561|1534	2886.1336	CYB561|1534	2234.275
CYB5A|1528	3033.9069	CYB5A|1528	3442.9379
CYB5B|80777	1043.0162	CYB5B|80777	978.9077
CYB5D1|124637	701.9231	CYB5D1|124637	563.4652
CYB5D2|124936	366.3968	CYB5D2|124936	219.209
CYB5R1|51706	1283.4008	CYB5R1|51706	2015.8192
CYB5R2|51700	131.0729	CYB5R2|51700	133.71
CYB5R3|1727	3422.0648	CYB5R3|1727	1857.2505
CYB5R4|51167	278.8462	CYB5R4|51167	220.7156
CYB5RL|606495	97.6721	CYB5RL|606495	94.9153
CYBASC3|220002	869.9393	CYBASC3|220002	937.0998
CYBA|1535	530.3644	CYBA|1535	708.4746
CYBB|1536	512.1457	CYBB|1536	888.1356
CYBRD1|79901	4687.247	CYBRD1|79901	1082.1092
CYC1|1537	2494.4332	CYC1|1537	2584.9341
CYCS|54205	1821.8623	CYCS|54205	2248.2109
CYFIP1|23191	4092.1053	CYFIP1|23191	4325.0471
CYFIP2|26999	1730.7692	CYFIP2|26999	3110.3578
CYGB|114757	211.5385	CYGB|114757	85.4991
CYHR1|50626	1184.7166	CYHR1|50626	1606.4029999999998
CYLD|1540	959.0081	CYLD|1540	1398.4934
CYP11A1|1583	13.1579	lowly_expressed	lowly_expressed
CYP19A1|1588	13.664000000000001	lowly_expressed	lowly_expressed
CYP1A1|1543	24.7976	lowly_expressed	lowly_expressed
CYP1B1|1545	1489.3725	CYP1B1|1545	552.1657
CYP20A1|57404	517.2065	CYP20A1|57404	326.5537
CYP21A2|1589	296.7966	CYP21A2|1589	87.2279
CYP26A1|1592	130.0607	CYP26A1|1592	41.0546
CYP26B1|56603	43.5223	CYP26B1|56603	10.5461
CYP27A1|1593	400.8097	CYP27A1|1593	328.4369
CYP27B1|1594	38.4615	CYP27B1|1594	35.0282
CYP27C1|339761	15.1822	lowly_expressed	lowly_expressed
CYP2A6|1548	12.6518	lowly_expressed	lowly_expressed
CYP2A7|1549	6.5789	CYP2A7|1549	21.4689
CYP2B6|1555	15.6883	CYP2B6|1555	13.5593
CYP2B7P1|1556	8536.9433	CYP2B7P1|1556	11139.3597
CYP2C8|1558	6.5789	CYP2C8|1558	16.1959
CYP2D6|1565	5.5668	CYP2D6|1565	12.806
CYP2D7P1|1564	8.6032	lowly_expressed	lowly_expressed
CYP2E1|1571	10.6275	CYP2E1|1571	57.0019
CYP2J2|1573	280.8704	CYP2J2|1573	250.0942
CYP2R1|120227	375.5061	CYP2R1|120227	355.5556
CYP2S1|29785	48.0769	CYP2S1|29785	24.8588
CYP2U1|113612	161.4372	CYP2U1|113612	102.8249
CYP39A1|51302	100.2024	CYP39A1|51302	75.7062
CYP46A1|10858	9.6154	CYP46A1|10858	6.403
CYP4B1|1580	127.0243	CYP4B1|1580	46.3277
CYP4F11|57834	197.8745	CYP4F11|57834	754.8023
CYP4F12|66002	6.0729	CYP4F12|66002	21.8456
CYP4F22|126410	122.9757	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CYP4F3|4051	20.339000000000002
CYP4F8|11283	72.8745	CYP4F8|11283	19.5857
CYP4V2|285440	780.3644	CYP4V2|285440	825.2354
CYP4X1|260293	1126.5182	CYP4X1|260293	10.5461
CYP4Z1|199974	2453.4413	CYP4Z1|199974	9.4162
CYP4Z2P|163720	684.7166	CYP4Z2P|163720	45.5744
CYP51A1|1595	1581.4777	CYP51A1|1595	991.3371
CYP7B1|9420	102.2267	CYP7B1|9420	26.3653
CYP8B1|1582	5.0607	CYP8B1|1582	5.2731
CYR61|3491	4274.7976	CYR61|3491	334.8399
CYS1|192668	113.3603	CYS1|192668	17.7024
CYSLTR1|10800	34.919000000000004	CYSLTR1|10800	66.6667
CYSLTR2|57105	8.6032	CYSLTR2|57105	11.6761
CYTH1|9267	865.8907	CYTH1|9267	960.8286
CYTH2|9266	1928.1377	CYTH2|9266	1890.0188
CYTH3|9265	702.9352	CYTH3|9265	378.1544
CYTH4|27128	145.749	CYTH4|27128	279.4727
CYTIP|9595	80.4656	CYTIP|9595	258.7571
CYTL1|54360	28.8462	CYTL1|54360	16.5725
CYTSA|23384	1721.6599	CYTSA|23384	1178.9077
CYTSB|92521	427.6316	CYTSB|92521	434.275
CYYR1|116159	384.1093	CYYR1|116159	71.1864
D2HGDH|728294	290.4858	D2HGDH|728294	242.5612
D4S234E|27065	128.0364	D4S234E|27065	15.4426
DAAM1|23002	1175.6073	DAAM1|23002	1263.2768
DAAM2|23500	262.5506	DAAM2|23500	80.5311
DAB1|1600	5.5668	lowly_expressed	lowly_expressed
DAB2IP|153090	1834.5142	DAB2IP|153090	745.0094
DAB2|1601	1326.4170000000001	DAB2|1601	860.6403
DACH1|1602	372.9757	DACH1|1602	850.8475
DACT1|51339	291.498	DACT1|51339	73.0697
DACT2|168002	21.7611	lowly_expressed	lowly_expressed
DACT3|147906	75.4049	DACT3|147906	22.2222
DAD1|1603	1951.9231	DAD1|1603	2423.3522
DAG1|1605	6273.2794	DAG1|1605	7030.5085
DAGLA|747	238.3603	DAGLA|747	161.9586
DAGLB|221955	606.7814	DAGLB|221955	850.4708
DAK|26007	1363.8664	DAK|26007	1390.9605
DALRD3|55152	1214.6255	DALRD3|55152	2022.9529
DAP3|7818	2411.9433	DAP3|7818	3361.5819
DAPK1|1612	241.3968	DAPK1|1612	288.1356
DAPK2|23604	245.4453	DAPK2|23604	418.4557
DAPK3|1613	678.6437	DAPK3|1613	494.162
DAPP1|27071	76.9231	DAPP1|27071	389.0772
DAP|1611	3327.4291	DAP|1611	3837.2881
DARC|2532	430.1619	DARC|2532	105.0847
DARS2|55157	827.9352	DARS2|55157	648.9642
DARS|1615	1307.6923	DARS|1615	875.7062
DAXX|1616	1545.0405	DAXX|1616	1733.71
DAZAP1|26528	1097.1660000000002	DAZAP1|26528	1177.7778
DAZAP2|9802	6126.0121	DAZAP2|9802	14127.306999999999
DBC1|1620	165.9919	lowly_expressed	lowly_expressed
DBF4B|80174	118.9271	DBF4B|80174	72.693
DBF4|10926	390.1822	DBF4|10926	293.7853
DBI|1622	3267.2065	DBI|1622	1861.3936
DBN1|1627	1600.2024	DBN1|1627	946.5160000000001
DBNDD1|79007	807.6923	DBNDD1|79007	603.3898
DBNDD2|55861	491.8877	DBNDD2|55861	1423.1864
DBNL|28988	1826.9231	DBNL|28988	2289.6422
DBP|1628	197.3684	DBP|1628	679.3446
DBR1|51163	347.166	DBR1|51163	419.209
DBT|1629	996.9636	DBT|1629	1208.6629
DBX2|440097	10.6275	lowly_expressed	lowly_expressed
DCAF10|79269	1161.9433	DCAF10|79269	1227.4953
DCAF11|80344	2560.7287	DCAF11|80344	3826.7458
DCAF12L2|340578	18.2186	lowly_expressed	lowly_expressed
DCAF12|25853	1386.6397	DCAF12|25853	1280.6026
DCAF13|25879	1223.8715	DCAF13|25879	1811.5217
DCAF15|90379	351.7206	DCAF15|90379	462.5235
DCAF16|54876	980.2632	DCAF16|54876	738.2298
DCAF17|80067	392.2065	DCAF17|80067	292.6554
DCAF4L1|285429	26.8219	DCAF4L1|285429	15.0659
DCAF4|26094	452.9352	DCAF4|26094	778.1544
DCAF5|8816	2081.9838	DCAF5|8816	2532.9567
DCAF6|55827	2082.4899	DCAF6|55827	2490.3955
DCAF7|10238	3012.1457	DCAF7|10238	2924.2938
DCAF8|50717	2941.2955	DCAF8|50717	3383.3446
DCAKD|79877	1005.0607	DCAKD|79877	1053.1073
DCBLD1|285761	144.2308	DCBLD1|285761	122.4105
DCBLD2|131566	933.7045	DCBLD2|131566	427.1186
DCDC2|51473	375.0101	DCDC2|51473	322.3766
DCD|117159	809.2105	DCD|117159	13.1827
DCHS1|8642	966.5992	DCHS1|8642	390.2072
DCHS2|54798	26.8219	lowly_expressed	lowly_expressed
DCI|1632	1026.8219	DCI|1632	1668.9266
DCK|1633	502.5304	DCK|1633	515.2542
DCLK1|9201	360.3239	DCLK1|9201	113.37100000000001
DCLK2|166614	116.9028	DCLK2|166614	8.2863
DCLK3|85443	16.1943	DCLK3|85443	9.0395
DCLRE1A|9937	480.7692	DCLRE1A|9937	499.8117
DCLRE1B|64858	292.004	DCLRE1B|64858	263.2768
DCLRE1C|64421	261.6397	DCLRE1C|64421	296.4218
DCN|1634	10135.1215	DCN|1634	2303.2015
DCP1A|55802	978.7449	DCP1A|55802	916.7608
DCP1B|196513	413.9676	DCP1B|196513	431.2618
DCP2|167227	1635.1215	DCP2|167227	1531.4501
DCPS|28960	282.3887	DCPS|28960	290.0188
DCST2|127579	12.6518	DCST2|127579	41.8079
DCTD|1635	1366.3968	DCTD|1635	1396.2335
DCTN1|1639	4556.7308	DCTN1|1639	4303.8531
DCTN2|10540	2046.5587	DCTN2|10540	2302.0716
DCTN3|11258	607.7935	DCTN3|11258	548.3992
DCTN4|51164	2115.3846	DCTN4|51164	2409.0395
DCTN5|84516	1369.4332	DCTN5|84516	1185.6874
DCTN6|10671	692.3077	DCTN6|10671	948.0226
DCTPP1|79077	1285.9312	DCTPP1|79077	1096.4181
DCT|1638	8.6032	lowly_expressed	lowly_expressed
DCUN1D1|54165	718.1174	DCUN1D1|54165	853.1073
DCUN1D2|55208	400.3036	DCUN1D2|55208	329.1902
DCUN1D3|123879	181.1741	DCUN1D3|123879	125.4237
DCUN1D4|23142	894.2308	DCUN1D4|23142	746.1394
DCUN1D5|84259	395.2429	DCUN1D5|84259	441.8079
DCXR|51181	1520.749	DCXR|51181	2278.7194
DCX|1641	51.1134	lowly_expressed	lowly_expressed
DDA1|79016	589.0688	DDA1|79016	710.3578
DDAH1|23576	992.4089	DDAH1|23576	820.7156
DDAH2|23564	1568.3198	DDAH2|23564	1616.1959
DDB1|1642	7598.6842	DDB1|1642	7652.354
DDB2|1643	474.6964	DDB2|1643	366.1017
DDC|1644	23.2794	lowly_expressed	lowly_expressed
DDHD1|80821	433.7045	DDHD1|80821	393.2203
DDHD2|23259	726.2146	DDHD2|23259	589.0772
DDI2|84301	226.3411	DDI2|84301	177.3936
DDIT3|1649	120.0354	DDIT3|1649	170.5838
DDIT4L|115265	14.17	DDIT4L|115265	166.1017
DDIT4|54541	4874.4939	DDIT4|54541	2902.4482
DDOST|1650	4319.8381	DDOST|1650	4350.2825
DDO|8528	67.3077	DDO|8528	42.5612
DDR1|780	9008.0972	DDR1|780	8426.742
DDR2|4921	282.3887	DDR2|4921	77.9661
DDRGK1|65992	657.3887	DDRGK1|65992	368.3616
DDTL|100037417	105.3998	DDTL|100037417	95.4275
DDT|1652	446.3664	DDT|1652	420.4256
DDX10|1662	554.6559	DDX10|1662	665.9134
DDX11L2|84771	55.1619	DDX11L2|84771	70.4331
DDX11|1663	215.58700000000002	DDX11|1663	238.4181
DDX12|440081	74.3927	DDX12|440081	92.2787
DDX17|10521	11660.4251	DDX17|10521	9998.8701
DDX18|8886	1380.5668	DDX18|8886	1138.6064
DDX19A|55308	883.9372	DDX19A|55308	556.6855
DDX19B|11269	550.7794	DDX19B|11269	550.5424
DDX1|1653	2117.4089	DDX1|1653	2209.0395
DDX20|11218	490.3846	DDX20|11218	532.9567
DDX21|9188	1994.4332	DDX21|9188	1515.6309
DDX23|9416	2728.7449	DDX23|9416	4497.5518
DDX24|57062	2865.8907	DDX24|57062	4325.4237
DDX26B|203522	159.91899999999998	DDX26B|203522	67.42
DDX27|55661	1184.2105	DDX27|55661	1021.4689
DDX28|55794	239.3725	DDX28|55794	170.9981
DDX31|64794	395.2429	DDX31|64794	468.1733
DDX39|10212	791.498	DDX39|10212	1000.7533
DDX3X|1654	8550.1012	DDX3X|1654	8908.4746
DDX41|51428	1331.4777	DDX41|51428	1375.1412
DDX42|11325	2889.17	DDX42|11325	3132.9567
DDX46|9879	1701.4170000000001	DDX46|9879	1673.0697
DDX47|51202	853.2389	DDX47|51202	845.5744
DDX49|54555	963.0567	DDX49|54555	1050.8475
DDX50|79009	867.915	DDX50|79009	959.322
DDX51|317781	354.7571	DDX51|317781	312.6177
DDX52|11056	555.1619	DDX52|11056	538.9831
DDX54|79039	1192.9808	DDX54|79039	1121.4539
DDX55|57696	457.4899	DDX55|57696	482.8625
DDX56|54606	1496.4575	DDX56|54606	1737.4765
DDX58|23586	681.1741	DDX58|23586	898.3051
DDX59|83479	358.2996	DDX59|83479	398.8701
DDX5|1655	10023.2794	DDX5|1655	12121.2806
DDX60L|91351	567.3077	DDX60L|91351	1220.339
DDX60|55601	629.5547	DDX60|55601	1680.9793
DDX6|1656	4201.417	DDX6|1656	4557.0621
DEAF1|10522	581.9838	DEAF1|10522	402.6365
DECR1|1666	1527.3279	DECR1|1666	1527.307
DECR2|26063	378.0364	DECR2|26063	596.2335
DEDD2|162989	614.3725	DEDD2|162989	1016.5725
DEDD|9191	814.9747	DEDD|9191	949.951
DEF6|50619	265.6883	DEF6|50619	372.8814
DEF8|54849	765.6883	DEF8|54849	646.7043
lowly_expressed	lowly_expressed	DEFA1B|728358	15.4426
DEFB1|1672	37.9555	lowly_expressed	lowly_expressed
DEGS1|8560	1006.5789	DEGS1|8560	503.5782
DEGS2|123099	1024.2915	DEGS2|123099	1422.9755
DEK|7913	2039.4737	DEK|7913	1662.5235
DEM1|64789	159.41299999999998	DEM1|64789	148.0226
DENND1A|57706	655.8704	DENND1A|57706	850.0942
DENND1B|163486	150.8097	DENND1B|163486	122.4105
DENND1C|79958	119.4332	DENND1C|79958	205.6497
DENND2A|27147	86.0324	DENND2A|27147	28.2486
DENND2C|163259	51.2399	DENND2C|163259	6.9266
DENND2D|79961	880.5668	DENND2D|79961	1505.838
DENND3|22898	438.7652	DENND3|22898	782.2976
DENND4A|10260	683.7045	DENND4A|10260	734.8211
DENND4B|9909	790.4706	DENND4B|9909	839.7476
DENND4C|55667	1438.2591	DENND4C|55667	1287.0056
DENND5A|23258	1469.6356	DENND5A|23258	1138.9831
DENND5B|160518	190.7895	DENND5B|160518	541.2429
DENR|8562	1140.1822	DENR|8562	1323.1638
DEPDC1B|55789	112.8543	DEPDC1B|55789	44.0678
DEPDC1|55635	181.6802	DEPDC1|55635	113.37100000000001
DEPDC4|120863	10.1215	DEPDC4|120863	6.403
DEPDC5|9681	266.1943	DEPDC5|9681	238.0414
DEPDC6|64798	847.6721	DEPDC6|64798	506.5913
DEPDC7|91614	8.6032	DEPDC7|91614	5.2731
DERA|51071	357.7935	DERA|51071	486.2524
DERL1|79139	2430.6679999999997	DERL1|79139	2575.5179
DERL2|51009	439.2713	DERL2|51009	412.0527
DERL3|91319	106.2753	DERL3|91319	204.1431
DES|1674	15.1822	lowly_expressed	lowly_expressed
DET1|55070	194.332	DET1|55070	209.7928
DEXI|28955	985.83	DEXI|28955	821.4689
DFFA|1676	512.1457	DFFA|1676	417.3258
DFFB|1677	144.7368	DFFB|1677	132.9567
DFNA5|1687	189.2713	DFNA5|1687	83.9925
DFNB31|25861	248.9879	DFNB31|25861	66.6667
DFNB59|494513	31.3765	DFNB59|494513	22.5989
DGAT1|8694	1053.6943	DGAT1|8694	1685.8229999999999
DGAT2|84649	183.1984	DGAT2|84649	117.1375
DGCR11|25786	26.8219	DGCR11|25786	24.8588
DGCR14|8220	408.9069	DGCR14|8220	316.0075
DGCR2|9993	4125.0	DGCR2|9993	2925.8004
DGCR5|26220	20.2429	lowly_expressed	lowly_expressed
DGCR6L|85359	650.8097	DGCR6L|85359	507.3446
DGCR6|8214	369.4332	DGCR6|8214	267.0433
DGCR8|54487	896.7611	DGCR8|54487	853.1073
DGCR9|25787	10.1215	lowly_expressed	lowly_expressed
DGKA|1606	251.5182	DGKA|1606	916.0075
DGKD|8527	1034.413	DGKD|8527	588.7006
DGKE|8526	186.7409	DGKE|8526	82.8625
DGKG|1608	9.6154	lowly_expressed	lowly_expressed
DGKH|160851	98.6842	DGKH|160851	50.8475
DGKI|9162	9.6154	lowly_expressed	lowly_expressed
DGKQ|1609	485.83	DGKQ|1609	525.0471
DGKZ|8525	654.8583	DGKZ|8525	593.2203
DGUOK|1716	600.2024	DGUOK|1716	632.3917
DHCR24|1718	24743.9271	DHCR24|1718	23777.0245
DHCR7|1717	2100.7085	DHCR7|1717	1233.8983
DHDDS|79947	731.2753	DHDDS|79947	847.4576
DHDPSL|112817	11.4221	DHDPSL|112817	18.4068
DHFRL1|200895	344.6356	DHFRL1|200895	320.5273
DHFR|1719	487.6872	DHFR|1719	433.0358
DHH|50846	8.0972	lowly_expressed	lowly_expressed
DHODH|1723	110.83	DHODH|1723	77.2128
DHPS|1725	926.6194	DHPS|1725	1493.371
DHRS11|79154	140.1822	DHRS11|79154	93.4087
DHRS12|79758	266.1943	DHRS12|79758	334.8399
DHRS13|147015	104.5597	DHRS13|147015	49.8079
DHRS1|115817	796.5587	DHRS1|115817	924.2938
DHRS2|10202	7148.7854	DHRS2|10202	79.4727
DHRS3|9249	845.1417	DHRS3|9249	700.565
DHRS4L1|728635	18.2186	DHRS4L1|728635	11.2994
DHRS4L2|317749	490.4605	DHRS4L2|317749	345.3936
DHRS4|10901	964.0486	DHRS4|10901	988.0301
DHRS7B|25979	425.1012	DHRS7B|25979	335.9699
DHRS7|51635	807.1862	DHRS7|51635	1178.5311
DHRS9|10170	11.6397	DHRS9|10170	7.5329999999999995
DHRSX|207063	306.6802	DHRSX|207063	436.9115
DHTKD1|55526	1293.5223	DHTKD1|55526	1320.1507
DHX15|1665	3520.2429	DHX15|1665	3537.4765
DHX16|8449	882.5911	DHX16|8449	1004.1431
DHX29|54505	1604.7571	DHX29|54505	1803.3898
DHX30|22907	1867.915	DHX30|22907	2086.629
DHX32|55760	1006.9534	DHX32|55760	924.8701
DHX33|56919	390.1822	DHX33|56919	257.2505
DHX34|9704	517.7126	DHX34|9704	644.8211
DHX35|60625	309.7166	DHX35|60625	254.9906
DHX36|170506	1007.085	DHX36|170506	1159.6987
DHX37|57647	422.5709	DHX37|57647	334.0866
DHX38|9785	1080.9717	DHX38|9785	656.1205
DHX40|79665	1459.0081	DHX40|79665	1119.774
DHX57|90957	613.8664	DHX57|90957	499.435
DHX58|79132	500.5061	DHX58|79132	960.452
DHX8|1659	1315.7895	DHX8|1659	1403.0132
DHX9|1660	4635.1215	DHX9|1660	5321.6573
DIABLO|56616	571.5435	DIABLO|56616	583.1073
DIAPH1|1729	2940.7895	DIAPH1|1729	2526.177
DIAPH2|1730	219.6356	DIAPH2|1730	210.9228
DIAPH3|81624	152.834	DIAPH3|81624	62.5235
DICER1|23405	2534.413	DICER1|23405	2623.7288
DIDO1|11083	2379.5547	DIDO1|11083	2122.4105
DIMT1L|27292	328.4413	DIMT1L|27292	386.8173
DIO1|1733	257.085	DIO1|1733	462.9002
DIO2|1734	1137.1457	DIO2|1734	39.9247
DIO3|1735	18.7247	DIO3|1735	5.6497
DIP2A|23181	753.0364	DIP2A|23181	839.9247
DIP2B|57609	2561.7409	DIP2B|57609	3467.0433
DIP2C|22982	985.83	DIP2C|22982	621.0923
DIRAS1|148252	245.9514	DIRAS1|148252	38.7947
DIRAS2|54769	8.0972	lowly_expressed	lowly_expressed
DIRAS3|9077	81.4777	DIRAS3|9077	43.3145
DIRC2|84925	307.085	DIRC2|84925	205.9962
DIRC3|729582	13.664000000000001	DIRC3|729582	14.3126
DIS3L2|129563	392.7126	DIS3L2|129563	246.7043
DIS3L|115752	1062.247	DIS3L|115752	1227.1186
DIS3|22894	1362.4899	DIS3|22894	1811.0132
DISC1|27185	92.7429	DISC1|27185	63.0508
DISP1|84976	224.1903	DISP1|84976	169.8682
DISP2|85455	124.4939	DISP2|85455	63.6535
DIXDC1|85458	1304.6559	DIXDC1|85458	1103.9548
DKC1|1736	1636.1336	DKC1|1736	1267.42
DKFZP586I1420|222161	266.1943	DKFZP586I1420|222161	265.9134
DKFZP686I15217|401232	43.5223	DKFZP686I15217|401232	45.5744
DKFZp686O24166|374383	27.834	DKFZp686O24166|374383	41.4313
DKFZp761E198|91056	353.7449	DKFZp761E198|91056	295.6685
DKK1|22943	23.2794	lowly_expressed	lowly_expressed
DKK2|27123	109.3117	DKK2|27123	163.0885
DKK3|27122	2262.6518	DKK3|27122	302.0716
DKKL1|27120	5.5668	DKKL1|27120	27.4953
DLAT|1737	837.0445	DLAT|1737	827.8004
DLC1|10395	704.9595	DLC1|10395	525.8004
DLD|1738	1805.1619	DLD|1738	1705.0847
DLEC1|9940	11.1336	DLEC1|9940	32.0151
DLEU1|10301	101.5435	DLEU1|10301	108.5386
lowly_expressed	lowly_expressed	DLEU2L|79469	6.403
DLEU2|8847	31.7864	DLEU2|8847	59.5895
DLEU7|220107	10.1215	DLEU7|220107	13.5593
DLG1|1739	1590.0810000000001	DLG1|1739	2127.6836
DLG2|1740	105.2632	DLG2|1740	25.9887
DLG3|1741	1672.0648	DLG3|1741	1974.7646
DLG4|1742	316.4879	DLG4|1742	342.4972
DLG5|9231	3593.6235	DLG5|9231	4163.8418
DLGAP1|9229	43.0162	lowly_expressed	lowly_expressed
DLGAP2|9228	8.0972	lowly_expressed	lowly_expressed
DLGAP4|22839	1781.8826	DLGAP4|22839	2001.1299
DLGAP5|9787	226.7206	DLGAP5|9787	134.0866
DLK1|8788	93.6235	lowly_expressed	lowly_expressed
DLK2|65989	51.1134	lowly_expressed	lowly_expressed
DLL1|28514	170.0405	DLL1|28514	76.8362
DLL4|54567	114.8785	DLL4|54567	28.6252
DLST|1743	2574.8988	DLST|1743	2646.3277
DLX1|1745	26.8219	lowly_expressed	lowly_expressed
DLX3|1747	33.9069	DLX3|1747	12.0527
DLX4|1748	13.664000000000001	DLX4|1748	12.0527
lowly_expressed	lowly_expressed	DLX5|1749	6.7797
DMAP1|55929	459.5142	DMAP1|55929	621.8456
DMBT1|1755	5.5668	lowly_expressed	lowly_expressed
DMC1|11144	9.6154	DMC1|11144	11.2994
DMD|1756	670.0405	DMD|1756	39.548
DMGDH|29958	6.0729	lowly_expressed	lowly_expressed
DMKN|93099	415.4858	DMKN|93099	769.4915
DMPK|1760	886.6397	DMPK|1760	935.2166
DMRT2|10655	8.6032	lowly_expressed	lowly_expressed
DMRT3|58524	5.5668	DMRT3|58524	7.1563
DMRTA1|63951	22.2672	DMRTA1|63951	10.1695
DMRTC1B|728656	8.0972	lowly_expressed	lowly_expressed
DMRTC2|63946	11.6397	DMRTC2|63946	37.2881
DMTF1|9988	1105.7692	DMTF1|9988	1100.2712
DMWD|1762	601.2146	DMWD|1762	711.4878
DMXL1|1657	1228.2389	DMXL1|1657	1245.951
