gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
ACADM|34	594.2504	ACADM|34	1157.6425
ACADSB|36	181.3621	ACADSB|36	2988.5002
ACADS|35	696.8937	ACADS|35	767.609
ACADVL|37	3962.9558	ACADVL|37	6241.4566
ACAN|176	5877.677	lowly_expressed	lowly_expressed
ACAP1|9744	518.6186	ACAP1|9744	110.206
ACAP2|23527	405.9425	ACAP2|23527	1250.1198
ACAP3|116983	1089.7704	ACAP3|116983	352.2425
ACAT1|38	755.547	ACAT1|38	1143.2678
ACAT2|39	681.6284	ACAT2|39	385.587
ACBD3|64746	994.7907	ACBD3|64746	1255.8697
ACBD4|79777	179.0469	ACBD4|79777	432.6785
ACBD5|91452	882.8864	ACBD5|91452	785.817
ACBD6|84320	823.4613	ACBD6|84320	320.0767
ACBD7|414149	107.2738	ACBD7|414149	68.9986
ACCN2|41	67.1426	ACCN2|41	123.6224
ACCN3|9311	95.6975	ACCN3|9311	6.229
ACCN4|55515	23.9244	lowly_expressed	lowly_expressed
ACCS|84680	169.7858	ACCS|84680	319.1184
ACD|65057	311.7885	ACD|65057	419.2621
ACE2|59272	6.9458	ACE2|59272	23.4787
ACER2|340485	11.5763	ACER2|340485	183.517
ACER3|55331	326.4519	ACER3|55331	223.7662
ACE|1636	334.9412	ACE|1636	283.1816
ACHE|43	41.6747	ACHE|43	59.8946
ACIN1|22985	4131.1981	ACIN1|22985	3285.0982
ACLY|47	3118.6571	ACLY|47	3331.5764
lowly_expressed	lowly_expressed	ACMSD|130013	8.1457
ACN9|57001	226.8956	ACN9|57001	135.1222
ACO1|48	735.4814	ACO1|48	1044.0824
ACO2|50	4099.7492	ACO2|50	2041.6148
ACOT11|26027	72.3442	ACOT11|26027	41.241
ACOT13|55856	843.4189	ACOT13|55856	540.8864
ACOT1|641371	707.6982	ACOT1|641371	411.1164
ACOT2|10965	314.8756	ACOT2|10965	291.8064
ACOT4|122970	111.1325	ACOT4|122970	114.9976
ACOT7|11332	1444.7231	ACOT7|11332	280.3067
ACOT8|10005	709.126	ACOT8|10005	238.1888
ACOT9|23597	754.0035	ACOT9|23597	326.3057
ACOX1|51	1153.0002	ACOX1|51	1579.1902
ACOX2|8309	80.2624	ACOX2|8309	252.5156
ACOX3|8310	546.4017	ACOX3|8310	951.126
ACOXL|55289	12.3481	lowly_expressed	lowly_expressed
ACP1|52	1837.5458	ACP1|52	1391.471
ACP2|53	1350.5692	ACP2|53	907.5228
ACP5|54	2516.6892	ACP5|54	1293.2439
ACP6|51205	175.9599	ACP6|51205	398.1792
ACPL2|92370	329.5389	ACPL2|92370	552.4677
ACPP|55	10.8046	ACPP|55	90.5606
ACRBP|84519	21.6091	ACRBP|84519	11.0206
ACRC|93953	23.1526	ACRC|93953	32.1035
ACR|49	41.6747	ACR|49	8.1457
ACSBG1|23205	11.5763	ACSBG1|23205	9.104
ACSF2|80221	247.733	ACSF2|80221	1345.472
ACSF3|197322	277.0596	ACSF3|197322	417.8246
ACSL1|2180	2938.0668	ACSL1|2180	2328.7015
ACSL3|2181	2506.6564	ACSL3|2181	4157.1634
ACSL4|2182	579.5871	ACSL4|2182	938.1888
ACSL5|51703	476.1721	ACSL5|51703	820.7954
ACSL6|23305	543.3147	ACSL6|23305	17.2496
lowly_expressed	lowly_expressed	ACSM1|116285	42.1658
ACSM3|6296	13.3359	ACSM3|6296	163.6943
ACSM5|54988	22.3809	ACSM5|54988	52.2281
ACSS1|84532	993.2472	ACSS1|84532	1535.218
ACSS2|55902	566.4673	ACSS2|55902	1455.1989
ACSS3|79611	100.328	ACSS3|79611	330.6181
ACTA1|58	90.2952	ACTA1|58	16.2913
ACTA2|59	10992.0741	ACTA2|59	22261.9837
lowly_expressed	lowly_expressed	ACTBL2|345651	5.7499
ACTB|60	188365.8113	ACTB|60	67243.2726
ACTC1|70	68.6861	lowly_expressed	lowly_expressed
ACTG1|71	77240.9801	ACTG1|71	53064.6862
ACTG2|72	17338.2211	ACTG2|72	2641.1116
ACTL6A|86	923.0176	ACTL6A|86	909.4394
ACTL8|81569	184.4492	lowly_expressed	lowly_expressed
ACTN1|87	12211.4605	ACTN1|87	8710.5894
ACTN2|88	81.8059	lowly_expressed	lowly_expressed
ACTN4|81	16164.6845	ACTN4|81	11889.5113
ACTR10|55860	836.5811	ACTR10|55860	1112.1227
ACTR1A|10121	2724.291	ACTR1A|10121	2134.643
ACTR1B|10120	1108.2385	ACTR1B|10120	1616.6747
ACTR2|10097	6098.3986	ACTR2|10097	4404.8874
ACTR3B|57180	492.3789	ACTR3B|57180	293.2439
ACTR3C|653857	53.251	ACTR3C|653857	27.7911
ACTR3|10096	5047.2699	ACTR3|10096	2698.6104
ACTR5|79913	305.6145	ACTR5|79913	222.3287
ACTR6|64431	396.6815	ACTR6|64431	671.2985
ACTR8|93973	309.4733	ACTR8|93973	523.2391
ACVR1B|91	805.711	ACVR1B|91	1561.5716
ACVR1C|130399	59.425	ACVR1C|130399	140.3929
