gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
CCDC151|115948	7.7175	CCDC151|115948	12.9372
CCDC152|100129792	25.5373	CCDC152|100129792	95.3378
CCDC153|283152	8.4893	CCDC153|283152	8.1457
CCDC154|645811	56.338	lowly_expressed	lowly_expressed
CCDC157|550631	16.2068	CCDC157|550631	59.449
lowly_expressed	lowly_expressed	CCDC158|339965	63.2487
CCDC159|126075	118.0783	CCDC159|126075	215.6205
CCDC15|80071	43.2182	CCDC15|80071	95.8313
lowly_expressed	lowly_expressed	CCDC160|347475	82.8941
CCDC163P|126661	8.4893	CCDC163P|126661	39.2908
lowly_expressed	lowly_expressed	CCDC17|149483	7.6665
CCDC18|343099	114.2196	CCDC18|343099	22.9995
CCDC19|25790	23.1526	CCDC19|25790	16.7705
CCDC21|64793	368.1266	CCDC21|64793	306.1811
CCDC22|28952	1059.5331	CCDC22|28952	539.1088
CCDC23|374969	382.7899	CCDC23|374969	253.4739
CCDC24|149473	160.2855	CCDC24|149473	257.7623
CCDC25|55246	488.5202	CCDC25|55246	1239.5783
CCDC28A|25901	305.6145	CCDC28A|25901	689.5065
CCDC28B|79140	117.3066	CCDC28B|79140	52.2281
CCDC30|728621	13.8916	CCDC30|728621	145.1845
CCDC34|91057	153.579	CCDC34|91057	360.3258
CCDC36|339834	13.8916	CCDC36|339834	5.7499
CCDC39|339829	6.9458	CCDC39|339829	18.208
CCDC3|83643	806.4827	CCDC3|83643	701.0062
CCDC40|55036	115.7631	CCDC40|55036	242.4533
CCDC41|51134	157.4378	CCDC41|51134	205.5582
CCDC42B|387885	7.6867	lowly_expressed	lowly_expressed
CCDC43|124808	590.3917	CCDC43|124808	400.575
CCDC45|90799	618.1748	CCDC45|90799	641.1116
CCDC46|201134	56.338	CCDC46|201134	169.6215
CCDC47|57003	2107.6597	CCDC47|57003	2931.4806
CCDC48|79825	13.1198	CCDC48|79825	136.0805
CCDC50|152137	1566.6602	CCDC50|152137	1701.9645
CCDC51|79714	321.0496	CCDC51|79714	254.4322
CCDC52|152185	287.8642	CCDC52|152185	478.6775
CCDC53|51019	533.2819	CCDC53|51019	461.907
CCDC55|84081	491.6072	CCDC55|84081	680.4025
CCDC56|28958	1358.9041	CCDC56|28958	884.3747
CCDC57|284001	345.7457	CCDC57|284001	560.1342
CCDC58|131076	484.6614	CCDC58|131076	153.3301
CCDC59|29080	487.7484	CCDC59|29080	385.7211
CCDC61|729440	156.666	CCDC61|729440	217.5371
lowly_expressed	lowly_expressed	CCDC62|84660	6.229
CCDC64B|146439	1054.9875	CCDC64B|146439	549.5927
CCDC64|92558	530.1949	CCDC64|92558	124.1016
lowly_expressed	lowly_expressed	CCDC65|85478	19.1663
CCDC66|285331	443.99	CCDC66|285331	456.8232
CCDC68|80323	22.3809	CCDC68|80323	49.8323
CCDC69|26112	729.3074	CCDC69|26112	687.5898
CCDC6|8030	1362.1455	CCDC6|8030	2867.2736
CCDC71|64925	397.4532	CCDC71|64925	710.5894
CCDC72|51372	1903.9167	CCDC72|51372	940.5846
CCDC73|493860	36.4268	CCDC73|493860	39.4058
CCDC74A|90557	77.1754	CCDC74A|90557	311.4518
CCDC74B|91409	11.5763	CCDC74B|91409	62.2904
CCDC75|253635	6.1739999999999995	CCDC75|253635	60.8529
CCDC76|54482	165.9271	CCDC76|54482	275.9272
CCDC77|84318	402.0837	CCDC77|84318	176.4399
CCDC78|124093	119.6218	CCDC78|124093	7.6665
CCDC7|221016	64.8273	CCDC7|221016	49.2573
CCDC80|151887	2224.9662	CCDC80|151887	856.7322
CCDC81|60494	8.4893	CCDC81|60494	14.3747
CCDC82|79780	655.219	CCDC82|79780	361.2841
CCDC84|338657	270.1138	CCDC84|338657	107.3311
CCDC85A|114800	95.6975	CCDC85A|114800	87.1586
CCDC85B|11007	657.5342	CCDC85B|11007	115.9559
CCDC85C|317762	497.4648	CCDC85C|317762	899.7844
CCDC86|79080	1230.1524	CCDC86|79080	505.9607
CCDC87|55231	26.2396	CCDC87|55231	32.1035
CCDC88A|55704	406.7143	CCDC88A|55704	514.6143
CCDC88B|283234	843.5269	CCDC88B|283234	405.8457
CCDC88C|440193	962.377	CCDC88C|440193	928.1265
lowly_expressed	lowly_expressed	CCDC89|220388	36.8951
CCDC8|83987	70.2296	CCDC8|83987	2900.8146
CCDC90A|63933	618.9466	CCDC90A|63933	313.8476
CCDC90B|60492	661.3853	CCDC90B|60492	730.666
CCDC91|55297	468.4546	CCDC91|55297	499.7604
CCDC92|80212	1288.8289	CCDC92|80212	780.5462
CCDC93|54520	371.2136	CCDC93|54520	1268.3277
CCDC94|55702	677.5998	CCDC94|55702	448.9698
CCDC96|257236	50.9358	CCDC96|257236	96.7897
CCDC97|90324	678.3716	CCDC97|90324	1143.747
CCDC99|54908	461.5088	CCDC99|54908	177.28799999999998
CCDC9|26093	373.5288	CCDC9|26093	452.3239
CCHCR1|54535	559.5215	CCHCR1|54535	419.7413
CCIN|881	6.1739999999999995	lowly_expressed	lowly_expressed
CCKBR|887	11.5763	lowly_expressed	lowly_expressed
CCL11|6356	50.163999999999994	lowly_expressed	lowly_expressed
CCL13|6357	121.1653	lowly_expressed	lowly_expressed
CCL14|6358	256.994	CCL14|6358	618.5865
CCL17|6361	34.7289	lowly_expressed	lowly_expressed
CCL18|6362	1203.9359	CCL18|6362	565.884
CCL19|6363	3123.2877	CCL19|6363	138.4763
CCL20|6364	44.7617	lowly_expressed	lowly_expressed
CCL21|6366	1339.7646	CCL21|6366	47.4365
CCL22|6367	91.8387	CCL22|6367	85.2899
CCL23|6368	10.8046	lowly_expressed	lowly_expressed
CCL25|6370	7.7175	lowly_expressed	lowly_expressed
CCL26|10344	12.3481	lowly_expressed	lowly_expressed
CCL28|56477	531.7384	CCL28|56477	1776.2338
CCL2|6347	1903.1449	CCL2|6347	309.0561
CCL3L1|6349	69.9981	CCL3L1|6349	60.6756
lowly_expressed	lowly_expressed	CCL3L3|414062	8.8021
CCL3|6348	429.0951	CCL3|6348	238.62
CCL4L2|388372	221.4933	CCL4L2|388372	91.0398
CCL4|6351	409.0295	CCL4|6351	121.7058
CCL5|6352	5122.13	CCL5|6352	684.7149
CCL7|6354	157.4378	lowly_expressed	lowly_expressed
CCL8|6355	519.3903	CCL8|6355	16.7705
CCM2|83605	2190.2373	CCM2|83605	809.7748
CCNA1|8900	20.0656	CCNA1|8900	11.0206
CCNA2|890	489.2147	CCNA2|890	49.1615
CCNB1IP1|57820	885.9734	CCNB1IP1|57820	833.2535
CCNB1|891	1344.3951	CCNB1|891	207.954
CCNB2|9133	614.316	CCNB2|9133	41.6866
CCNB3|85417	146.6332	CCNB3|85417	14.8539
CCNC|892	2228.0533	CCNC|892	1229.9952
CCND1|595	5619.4636	CCND1|595	3206.5453
CCND2|894	1454.7559	CCND2|894	937.2305
CCND3|896	2633.9958	CCND3|896	1647.3407
CCNDBP1|23582	468.4546	CCNDBP1|23582	1301.3896
CCNE1|898	50.9358	CCNE1|898	10.5414
CCNE2|9134	354.9527	CCNE2|9134	25.8936
CCNF|899	864.3643	CCNF|899	302.827
CCNG1|900	943.0832	CCNG1|900	3041.2075
CCNG2|901	590.3917	CCNG2|901	3923.8141
CCNH|902	536.0602	CCNH|902	544.1447
CCNI2|645121	5.7187	CCNI2|645121	12.6354
CCNI|10983	1550.4534	CCNI|10983	8118.8309
CCNJL|79616	221.4933	CCNJL|79616	178.7254
CCNJ|54619	222.2651	CCNJ|54619	187.3503
CCNK|8812	1138.6533	CCNK|8812	872.6162
CCNL1|57018	1732.5873	CCNL1|57018	1308.5769
CCNL2|81669	5612.1937	CCNL2|81669	1721.1308
CCNO|10309	5.4023	CCNO|10309	99.1854
CCNT1|904	10.8046	CCNT1|904	226.162
CCNT2|905	511.6728	CCNT2|905	970.7714
CCNYL1|151195	967.0075	CCNYL1|151195	321.035
CCNY|219771	3094.7328	CCNY|219771	1640.1533
CCPG1|9236	1002.732	CCPG1|9236	2237.5323
CCR10|2826	20.0656	lowly_expressed	lowly_expressed
CCR1|1230	481.5744	CCR1|1230	132.7264
CCR2|729230	219.9498	CCR2|729230	58.4571
CCR3|1232	5.4023	lowly_expressed	lowly_expressed
CCR4|1233	38.5877	CCR4|1233	19.6454
CCR5|1234	586.5329	CCR5|1234	159.08
CCR6|1235	78.279	CCR6|1235	75.3905
CCR7|1236	358.0938	CCR7|1236	72.8318
CCR8|1237	15.4351	lowly_expressed	lowly_expressed
CCRL1|51554	44.7617	CCRL1|51554	22.9995
CCRL2|9034	114.9913	CCRL2|9034	57.978
CCRN4L|25819	162.0683	CCRN4L|25819	63.7278
CCS|9973	1834.4588	CCS|9973	459.0321
CCT2|10576	2066.7567	CCT2|10576	2266.4111
CCT3|7203	12794.1347	CCT3|7203	5061.8112
CCT4|10575	2863.2066	CCT4|10575	4191.6627
CCT5|22948	10101.4856	CCT5|22948	2689.5065
CCT6A|908	5702.4889	CCT6A|908	2776.7129999999997
CCT6B|10693	23.1526	CCT6B|10693	94.87299999999999
CCT6P1|643253	56.338	CCT6P1|643253	57.0196
CCT7|10574	5726.4133	CCT7|10574	3911.8352
CCT8|10694	6628.5935	CCT8|10694	3501.1979
CD101|9398	108.8173	CD101|9398	58.9363
CD109|135228	2828.47	CD109|135228	387.6378
CD14|929	3108.6243	CD14|929	1418.7829
CD151|977	5774.262	CD151|977	5659.3196
CD160|11126	33.1854	CD160|11126	25.3953
CD163L1|283316	206.0583	CD163L1|283316	83.3733
CD163|9332	1112.869	CD163|9332	190.2252
CD164L2|388611	57.1098	CD164L2|388611	91.0398
CD164|8763	10123.8665	CD164|8763	11362.2425
CD180|4064	205.2865	CD180|4064	199.3292
CD19|930	159.753	CD19|930	20.1246
CD1A|909	18.5221	CD1A|909	12.9372
CD1B|910	15.4351	lowly_expressed	lowly_expressed
CD1C|911	65.5991	CD1C|911	34.4993
CD1D|912	71.0014	CD1D|912	27.3119
CD1E|913	32.4137	CD1E|913	19.1663
CD200R1|131450	44.7617	CD200R1|131450	14.3747
CD200|4345	368.8983	CD200|4345	331.0973
CD207|50489	19.2938	CD207|50489	51.2698
CD209|30835	180.5904	CD209|30835	41.6866
CD226|10666	34.7289	CD226|10666	23.9578
CD22|933	288.6359	CD22|933	222.8079
CD244|51744	34.7289	CD244|51744	25.8745
CD247|919	399.7685	CD247|919	121.2266
CD248|57124	1227.8603	CD248|57124	303.3062
CD24|100133941	212004.6305	CD24|100133941	19156.6842
CD274|29126	37.0442	CD274|29126	31.1452
CD276|80381	1616.0525	CD276|80381	1078.5817
CD27|939	827.7909	CD27|939	100.9487
CD28|940	179.8186	CD28|940	41.2075
CD2AP|23607	1670.8470000000002	CD2AP|23607	1484.9066
CD2BP2|10421	1224.0015	CD2BP2|10421	1467.1778
CD2|914	1105.1515	CD2|914	248.2032
CD300A|11314	290.9512	CD300A|11314	162.4341
CD300C|10871	35.5007	CD300C|10871	16.7705
CD300LB|124599	27.7831	CD300LB|124599	8.6248
CD300LF|146722	131.1981	CD300LF|146722	40.7283
CD300LG|146894	75.6319	CD300LG|146894	404.8874
CD302|9936	694.5784	CD302|9936	1479.8898
CD320|51293	403.6272	CD320|51293	400.0958
CD33|945	131.9699	CD33|945	41.2075
CD34|947	1080.4553	CD34|947	1386.6794
CD36|948	1963.3417	CD36|948	4597.0292
CD37|951	1335.9058	CD37|951	451.8448
CD38|952	408.2578	CD38|952	13.4164
CD3D|915	530.9666	CD3D|915	77.6234
CD3EAP|10849	473.8568	CD3EAP|10849	557.7384
CD3E|916	1395.3309	CD3E|916	315.2851
CD3G|917	64.0556	CD3G|917	40.7283
CD40LG|959	83.3494	CD40LG|959	27.7911
CD40|958	1039.5524	CD40|958	332.0556
CD44|960	8157.4378	CD44|960	9088.1648
CD46|4179	4586.5329	CD46|4179	6311.931
CD47|961	7718.3099	CD47|961	2547.1969
CD48|962	1189.2726	CD48|962	283.1816
CD4|920	3648.8520000000003	CD4|920	952.5635
CD52|1043	1749.5659	CD52|1043	378.5338
CD53|963	2166.3129	CD53|963	562.0508
CD55|1604	3300.7909999999997	CD55|1604	1275.0359
CD58|965	520.1621	CD58|965	163.3924
CD59|966	11648.0803	CD59|966	22185.9128
CD5|921	629.7511	CD5|921	130.8098
CD63|967	12916.8435	CD63|967	7390.5127
CD68|968	4351.9197	CD68|968	1680.4025
CD69|969	178.2751	CD69|969	145.6636
CD6|923	1016.3998	CD6|923	167.2257
CD70|970	48.6205	lowly_expressed	lowly_expressed
CD72|971	215.3193	CD72|971	58.4571
CD74|972	124545.6299	CD74|972	30488.7398
CD79A|973	2265.0974	CD79A|973	217.5371
CD79B|974	605.055	CD79B|974	141.3512
CD7|924	471.5416	CD7|924	82.8941
CD80|941	49.3922	CD80|941	10.5414
CD81|975	23631.8734	CD81|975	10400.575
CD82|3732	1134.4781	CD82|3732	2149.976
CD83|9308	541.7712	CD83|9308	389.5544
CD84|8832	104.9585	lowly_expressed	lowly_expressed
CD86|942	656.7625	CD86|942	107.8103
CD8A|925	1029.5196	CD8A|925	389.5544
CD8B|926	350.3762	CD8B|926	107.3311
CD93|22918	1540.4206	CD93|22918	1092.4772
CD96|10225	428.3234	CD96|10225	135.6013
CD97|976	1558.1709	CD97|976	730.7139
CD99L2|83692	537.9124	CD99L2|83692	758.0259
CD99|4267	3242.9095	CD99|4267	1504.5520000000001
CD9|928	12219.1781	CD9|928	9011.0206
CDADC1|81602	118.8501	CDADC1|81602	245.3282
CDAN1|146059	293.2664	CDAN1|146059	524.6766
CDA|978	29.3266	lowly_expressed	lowly_expressed
CDC123|8872	2765.1939	CDC123|8872	852.1227
CDC14A|8556	81.0342	CDC14A|8556	577.863
CDC14B|8555	84.1212	CDC14B|8555	638.2367
lowly_expressed	lowly_expressed	CDC14C|168448	8.6248
CDC16|8881	2765.1939	CDC16|8881	1357.4509
CDC20|991	1208.5665	CDC20|991	54.1447
CDC23|8697	473.8568	CDC23|8697	858.1696
CDC25A|993	177.5034	CDC25A|993	18.6871
CDC25B|994	2995.1765	CDC25B|994	558.2175
CDC25C|995	165.1553	lowly_expressed	lowly_expressed
CDC26|246184	109.5273	CDC26|246184	109.2477
CDC27|996	1046.4982	CDC27|996	1185.4336
CDC34|997	1307.351	CDC34|997	567.3215
CDC37L1|55664	213.0041	CDC37L1|55664	457.1155
CDC37|11140	4359.6373	CDC37|11140	2407.7623
CDC40|51362	581.1306	CDC40|51362	781.0254
CDC42BPA|8476	1927.0693	CDC42BPA|8476	1486.344
CDC42BPB|9578	1532.7031	CDC42BPB|9578	3127.4557
CDC42BPG|55561	791.0477	CDC42BPG|55561	1128.8931
CDC42EP1|11135	8916.8435	CDC42EP1|11135	2043.6033
CDC42EP2|10435	196.0255	CDC42EP2|10435	195.9751
CDC42EP3|10602	657.5342	CDC42EP3|10602	977.0005
CDC42EP4|23580	1336.6776	CDC42EP4|23580	2800.1917
CDC42EP5|148170	102.6433	CDC42EP5|148170	93.9147
CDC42SE1|56882	2776.9246	CDC42SE1|56882	3210.9439
CDC42SE2|56990	1538.1053	CDC42SE2|56990	1761.38
CDC42|998	4671.4258	CDC42|998	4842.3575
CDC45|8318	367.3548	CDC45|8318	5.2707
CDC5L|988	1098.2057	CDC5L|988	1037.3742
CDC6|990	386.6487	CDC6|990	41.6866
CDC73|79577	1370.6348	CDC73|79577	992.8126
CDC7|8317	281.6901	CDC7|8317	70.9152
CDCA2|157313	228.4391	CDCA2|157313	15.8122
CDCA3|83461	945.6531	CDCA3|83461	26.3536
CDCA4|55038	520.9338	CDCA4|55038	227.5994
CDCA5|113130	818.059	CDCA5|113130	56.5405
CDCA7L|55536	613.3899	CDCA7L|55536	852.7935
CDCA7|83879	247.733	CDCA7|83879	90.0815
CDCA8|55143	716.1875	CDCA8|55143	74.7484
CDCP1|64866	1672.3905	CDCP1|64866	1084.8107
CDH11|1009	1030.2913	CDH11|1009	543.8428
CDH12|1010	7.7175	CDH12|1010	23.4787
CDH13|1012	157.4378	CDH13|1012	341.1596
CDH15|1013	5.4023	CDH15|1013	8.6248
lowly_expressed	lowly_expressed	CDH19|28513	31.6243
CDH1|999	9220.9145	CDH1|999	13172.4964
CDH23|64072	131.9699	CDH23|64072	123.1433
CDH24|64403	102.6433	CDH24|64403	72.8318
CDH26|60437	16.9786	CDH26|60437	5.7499
CDH2|1000	49.3922	CDH2|1000	14.8539
CDH3|1001	4005.4023	CDH3|1001	2632.966
CDH4|1002	10.8046	CDH4|1002	7.1874
CDH5|1003	959.29	CDH5|1003	955.9176
CDH6|1004	33.9572	CDH6|1004	33.541
CDH8|1006	9.261000000000001	lowly_expressed	lowly_expressed
CDHR1|92211	68.6861	CDHR1|92211	51.7489
CDHR3|222256	5.6107	CDHR3|222256	15.587
CDIPT|10423	1854.5244	CDIPT|10423	1956.8759
CDK10|8558	634.3816	CDK10|8558	647.3407
CDK11A|728642	798.4565	CDK11A|728642	503.8093
CDK11B|984	1456.6081	CDK11B|984	734.3316
CDK12|51755	701.5242	CDK12|51755	1361.7633
CDK13|8621	633.6099	CDK13|8621	1208.4332
CDK14|5218	193.7102	CDK14|5218	893.6272
CDK16|5127	1920.8952	CDK16|5127	1522.2808
CDK17|5128	357.32199999999995	CDK17|5128	747.9636
CDK18|5129	1158.4025	CDK18|5129	453.2822
CDK19|23097	3510.7775	CDK19|23097	715.1414
CDK1|983	1036.4654	CDK1|983	45.0407
CDK20|23552	77.9471	CDK20|23552	227.5994
CDK2AP1|8099	6675.6705	CDK2AP1|8099	2078.5817
CDK2AP2|10263	3115.5701	CDK2AP2|10263	695.2563
CDK2|1017	504.727	CDK2|1017	612.3622
CDK3|1018	270.793	CDK3|1018	153.1289
CDK4|1019	1868.4160000000002	CDK4|1019	1796.8376
CDK5R1|8851	170.5576	CDK5R1|8851	104.4562
CDK5RAP1|51654	510.1293	CDK5RAP1|51654	461.4279
CDK5RAP2|55755	946.1702	CDK5RAP2|55755	2357.93
CDK5RAP3|80279	1774.2620000000002	CDK5RAP3|80279	2234.3076
CDK5|1020	508.5858	CDK5|1020	196.9334
CDK6|1021	1084.3141	CDK6|1021	688.5482
CDK7|1022	493.1507	CDK7|1022	439.8658
CDK8|1024	89.5234	CDK8|1024	131.2889
CDK9|1025	1301.1769	CDK9|1025	1090.0815
CDKAL1|54901	376.6159	CDKAL1|54901	349.7844
CDKL1|8814	57.1098	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CDKL2|8999	59.4154
CDKL3|51265	23.2761	CDKL3|51265	36.8999
lowly_expressed	lowly_expressed	CDKL5|6792	81.9358
CDKN1A|1026	1292.6876	CDKN1A|1026	2071.8735
CDKN1B|1027	1525.7573	CDKN1B|1027	2421.6579
CDKN1C|1028	299.4405	CDKN1C|1028	743.172
CDKN2AIPNL|91368	328.7671	CDKN2AIPNL|91368	351.2218
CDKN2AIP|55602	233.8414	CDKN2AIP|55602	688.5482
CDKN2A|1029	146.6332	CDKN2A|1029	28.7494
CDKN2B|1030	165.1553	CDKN2B|1030	206.0374
CDKN2C|1031	503.1835	CDKN2C|1031	242.9324
CDKN2D|1032	740.8837	CDKN2D|1032	105.8936
CDKN3|1033	524.7926	CDKN3|1033	8.6248
CDNF|441549	16.2068	CDNF|441549	66.1236
CDO1|1036	98.7845	CDO1|1036	700.5271
CDON|50937	199.1125	CDON|50937	405.3666
lowly_expressed	lowly_expressed	CDR1|1038	6.2434
CDR2L|30850	1319.6989999999998	CDR2L|30850	369.4298
CDR2|1039	709.2418	CDR2|1039	489.219
CDRT4|284040	168.8366	CDRT4|284040	302.8174
CDS1|1040	723.9051	CDS1|1040	1091.9981
CDS2|8760	1255.6434	CDS2|8760	814.5664
CDSN|1041	233.8414	CDSN|1041	28.7494
CDT1|81620	271.6573	CDT1|81620	49.3531
CDV3|55573	3228.2462	CDV3|55573	3553.9051
CDX1|1044	31.6419	lowly_expressed	lowly_expressed
CDYL2|124359	20.0656	CDYL2|124359	129.8515
CDYL|9425	436.0409	CDYL|9425	609.9665
CEACAM19|56971	42.4465	CEACAM19|56971	56.0613
CEACAM1|634	537.9124	CEACAM1|634	793.4835
CEACAM21|90273	22.3809	CEACAM21|90273	5.7499
CEACAM5|1048	15.4351	lowly_expressed	lowly_expressed
CEACAM6|4680	72.5449	CEACAM6|4680	59.8946
CEBPA|1050	885.9734	CEBPA|1050	773.8380000000001
CEBPB|1051	5271.0785	CEBPB|1051	1157.6425
CEBPD|1052	2060.5827	CEBPD|1052	656.9238
CEBPG|1054	1271.0785	CEBPG|1054	987.5419
CEBPZ|10153	764.808	CEBPZ|10153	1440.345
CECR1|51816	3096.2763	CECR1|51816	1572.5922
CECR2|27443	10.0328	CECR2|27443	9.104
CECR5|27440	868.9948	CECR5|27440	645.4241
CECR6|27439	18.5221	CECR6|27439	25.8745
CECR7|100130418	101.0997	CECR7|100130418	84.8107
CELF1|10658	918.387	CELF1|10658	2048.3948
CELF2|10659	599.6527	CELF2|10659	629.1327
CELF4|56853	330.3106	CELF4|56853	5.7499
CELF5|60680	12.3481	CELF5|60680	71.8735
CELF6|60677	19.2938	CELF6|60677	54.7149
lowly_expressed	lowly_expressed	CELP|1057	223.7662
CELSR1|9620	2169.4	CELSR1|9620	2262.5779
CELSR2|1952	561.065	CELSR2|1952	2487.3023
CELSR3|1951	486.2049	CELSR3|1951	41.6866
CEL|1056	130.4264	CEL|1056	3184.9545
CEMP1|752014	672.2130000000001	CEMP1|752014	186.2386
CEND1|51286	6.9458	lowly_expressed	lowly_expressed
CENPA|1058	198.3407	CENPA|1058	6.229
CENPBD1|92806	180.5904	CENPBD1|92806	379.9713
CENPB|1059	3871.1171	CENPB|1059	2057.0196
CENPC1|1060	202.1995	CENPC1|1060	573.5506
CENPE|1062	388.9639	CENPE|1062	36.8951
CENPF|1063	3350.1833	CENPF|1063	181.6004
CENPH|64946	234.6132	CENPH|64946	107.3311
CENPI|2491	16.2068	lowly_expressed	lowly_expressed
CENPJ|55835	114.2196	CENPJ|55835	184.4753
CENPK|64105	94.9257	CENPK|64105	12.9372
CENPL|91687	444.5302	CENPL|91687	78.1025
CENPM|79019	392.0509	CENPM|79019	18.6871
CENPN|55839	452.1551	CENPN|55839	96.2099
CENPO|79172	173.6909	CENPO|79172	79.8275
CENPP|401541	80.5171	CENPP|401541	60.1102
CENPQ|55166	150.49200000000002	CENPQ|55166	109.2477
CENPT|80152	495.4659	CENPT|80152	545.7595
CENPV|201161	132.7417	CENPV|201161	118.8309
CENPW|387103	324.9084	CENPW|387103	51.7489
CEP110|11064	511.6728	CEP110|11064	685.6732
CEP120|153241	269.3421	CEP120|153241	647.8198
CEP135|9662	118.0783	CEP135|9662	214.6622
CEP152|22995	63.2838	CEP152|22995	121.2266
CEP164|22897	525.5643	CEP164|22897	718.2559
CEP170|9859	899.8649	CEP170|9859	609.4873
CEP192|55125	416.7471	CEP192|55125	794.9209
CEP250|11190	1023.3456	CEP250|11190	735.0264
CEP290|80184	243.3726	CEP290|80184	449.6358
CEP350|9857	1288.8289	CEP350|9857	1517.9684
CEP55|55165	705.383	CEP55|55165	14.3747
CEP57|9702	860.5055	CEP57|9702	1012.9372
CEP63|80254	551.1403	CEP63|80254	659.6933
CEP68|23177	321.0496	CEP68|23177	1648.7782
CEP70|80321	218.4063	CEP70|80321	401.5333
CEP72|55722	95.6975	CEP72|55722	62.2904
CEP76|79959	106.50200000000001	CEP76|79959	150.9344
CEP78|84131	183.6774	CEP78|84131	255.8697
CEP97|79598	45.5335	CEP97|79598	138.4763
CEPT1|10390	589.6199	CEPT1|10390	808.3373
CERCAM|51148	939.9961	CERCAM|51148	775.7547
CERKL|375298	101.8792	CERKL|375298	57.1874
CERK|64781	950.8007	CERK|64781	971.2506
CES1|1066	185.2209	CES1|1066	783.4212
CES2|8824	523.2491	CES2|8824	1478.1984
CES3|23491	21.6091	CES3|23491	124.5807
lowly_expressed	lowly_expressed	CES4|51716	8.1457
CES8|283848	52.4793	CES8|283848	112.6018
CETN2|1069	906.039	CETN2|1069	1050.3115
CETN3|1070	272.4291	CETN3|1070	333.9722
CETP|1071	41.6747	CETP|1071	6.229
CFB|629	8743.9707	CFB|629	1705.7978
CFDP1|10428	868.9948	CFDP1|10428	887.3982
CFD|1675	611.229	CFD|1675	519.4058
CFH|3075	1413.0812	CFH|3075	672.7360000000001
CFI|3426	264.7116	CFI|3426	570.6756
CFL1|1072	42217.2487	CFL1|1072	9386.6794
CFL2|1073	430.6386	CFL2|1073	499.2813
CFLAR|8837	1416.1682	CFLAR|8837	828.9411
lowly_expressed	lowly_expressed	CFLP1|142913	5.7499
CFP|5199	77.9471	CFP|5199	16.2913
lowly_expressed	lowly_expressed	CFTR|1080	51.2698
CG030|116828	63.2838	CG030|116828	46.4782
lowly_expressed	lowly_expressed	CGB7|94027	11.1308
CGGBP1|8545	1463.2452	CGGBP1|8545	2374.2214
CGNL1|84952	158.9813	CGNL1|84952	2325.3474
CGN|57530	263.168	CGN|57530	2365.1174
CGREF1|10669	493.5983	CGREF1|10669	159.6023
CGRRF1|10668	201.4277	CGRRF1|10668	297.0771
CH25H|9023	101.0997	CH25H|9023	46.4782
CHAC1|79094	172.1011	CHAC1|79094	17.2496
CHAC2|494143	32.4137	CHAC2|494143	21.5621
CHADL|150356	137.3722	CHADL|150356	125.0599
lowly_expressed	lowly_expressed	CHAD|1101	528.989
CHAF1A|10036	436.0409	CHAF1A|10036	240.0575
CHAF1B|8208	864.3643	CHAF1B|8208	185.9128
CHCHD10|400916	1090.4881	CHCHD10|400916	397.7
CHCHD1|118487	815.7438	CHCHD1|118487	423.0954
CHCHD2|51142	5556.6274	CHCHD2|51142	2922.3766
CHCHD3|54927	977.0403	CHCHD3|54927	583.6128
CHCHD4|131474	339.5717	CHCHD4|131474	261.6195
CHCHD5|84269	220.7216	CHCHD5|84269	336.8471
CHCHD6|84303	101.0997	CHCHD6|84303	180.1629
CHCHD7|79145	608.1419999999999	CHCHD7|79145	448.9698
CHCHD8|51287	1033.3784	CHCHD8|51287	589.8419
CHD1L|9557	1047.2699	CHD1L|9557	799.2333
CHD1|1105	683.7739	CHD1|1105	1039.77
CHD2|1106	1568.9755	CHD2|1106	3298.0355
CHD3|1107	1978.7768	CHD3|1107	5150.9344
CHD4|1108	5034.1578	CHD4|1108	5916.1572
CHD5|26038	16.2068	CHD5|26038	5.7499
CHD6|84181	1073.5096	CHD6|84181	2352.1802
CHD7|55636	1150.6849	CHD7|55636	755.6301
CHD8|57680	1626.8570000000002	CHD8|57680	2458.0738
CHD9|80205	473.8568	CHD9|80205	1700.0479
CHDH|55349	544.8582	CHDH|55349	1544.3220000000001
CHEK1|1111	270.1138	CHEK1|1111	84.3316
CHEK2|11200	338.7999	CHEK2|11200	115.9559
CHERP|10523	1572.8729	CHERP|10523	1532.7647
CHFR|55743	672.1976	CHFR|55743	334.9305
CHGA|1113	5.4023	lowly_expressed	lowly_expressed
CHI3L1|1116	35117.1136	CHI3L1|1116	3436.9909
CHI3L2|1117	7702.8748	CHI3L2|1117	872.5443
CHIC1|53344	87.9799	CHIC1|53344	265.4528
CHIC2|26511	363.496	CHIC2|26511	374.7005
CHID1|66005	820.3743	CHID1|66005	1511.7393
CHIT1|1118	412.8883	CHIT1|1118	1174.413
CHKA|1119	923.0176	CHKA|1119	789.1711
CHKB-CPT1B|386593	821.1383	CHKB-CPT1B|386593	356.0709
CHKB|1120	326.3129	CHKB|1120	293.9722
CHL1|10752	160.5248	CHL1|10752	977.0005
CHML|1122	555.6627	CHML|1122	467.6569
CHMP1A|5119	2822.3037	CHMP1A|5119	1840.4408
CHMP1B|57132	1772.7185	CHMP1B|57132	1650.2156
