gene_id	TCGA-AC-A6IX-01A-12R-A32P-07	gene_id	TCGA-AC-A6IX-06A-11R-A32P-07
ACAD9|28976	1114.892	ACAD9|28976	839.168
ACADL|33	28.8032	ACADL|33	6.5983
ACADM|34	1499.5898	ACADM|34	1739.6543
ACADSB|36	1680.4302	ACADSB|36	1646.4176
ACADS|35	696.3814	ACADS|35	452.1265
ACADVL|37	4378.3903	ACADVL|37	3069.8444
ACAN|176	36.0952	lowly_expressed	lowly_expressed
ACAP1|9744	129.4321	ACAP1|9744	664.9932
ACAP2|23527	1415.3678	ACAP2|23527	1424.6575
ACAP3|116983	696.1006	ACAP3|116983	548.5534
ACAT1|38	1299.4258	ACAT1|38	807.2868
ACAT2|39	394.83	ACAT2|39	467.6727
ACBD3|64746	2692.1885	ACBD3|64746	3090.5831
ACBD4|79777	187.4032	ACBD4|79777	185.6129
ACBD5|91452	581.8977	ACBD5|91452	1083.8414
ACBD6|84320	500.2279	ACBD6|84320	484.8311
ACBD7|414149	10.9379	ACBD7|414149	17.2129
ACCN2|41	63.8046	ACCN2|41	128.5233
ACCN3|9311	23.3342	ACCN3|9311	51.6388
lowly_expressed	lowly_expressed	ACCN4|55515	6.0245
ACCS|84680	222.0399	ACCS|84680	198.5226
ACD|65057	232.6133	ACD|65057	234.096
lowly_expressed	lowly_expressed	ACE2|59272	10.6146
ACER1|125981	6.1982	ACER1|125981	43.3192
ACER2|340485	193.9659	ACER2|340485	121.925
ACER3|55331	477.2582	ACER3|55331	889.0483
ACE|1636	729.1952	ACE|1636	1000.6455
ACHE|43	14.5839	ACHE|43	125.6545
ACIN1|22985	4305.1682	ACIN1|22985	3686.4376
ACLY|47	2630.9361	ACLY|47	3030.6247
ACN9|57001	156.777	ACN9|57001	203.3996
ACO1|48	1686.2638	ACO1|48	952.7361
ACO2|50	1815.5975	ACO2|50	2495.7871
ACOT11|26027	46.3039	ACOT11|26027	47.4389
ACOT13|55856	580.5232	ACOT13|55856	750.8312
ACOT1|641371	1220.6727	ACOT1|641371	695.9765
ACOT2|10965	700.3919	ACOT2|10965	393.8894
ACOT4|122970	255.9475	ACOT4|122970	253.3171
ACOT7|11332	204.9038	ACOT7|11332	323.6032
ACOT8|10005	331.6817	ACOT8|10005	339.6371
ACOT9|23597	348.1907	ACOT9|23597	305.2428
ACOX1|51	2041.8886	ACOX1|51	1912.4779
ACOX2|8309	132.3489	ACOX2|8309	94.6712
ACOX3|8310	558.1989	ACOX3|8310	453.274
ACP1|52	1949.1386	ACP1|52	1879.9398
ACP2|53	1102.1785	ACP2|53	749.6235
ACP5|54	344.1801	ACP5|54	340.5293
ACP6|51205	339.8049	ACP6|51205	534.4617
ACPL2|92370	400.3281	ACPL2|92370	746.1809
ACPP|55	40.1057	ACPP|55	84.0565
