gene_id	TCGA-BH-A1EN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1EN-11A-23R-A13Q-07
C1orf43|25912	7539.0216	C1orf43|25912	4231.2684
C1orf50|79078	86.6883	C1orf50|79078	145.4277
C1orf51|148523	16.8296	C1orf51|148523	115.9292
C1orf52|148423	118.4422	C1orf52|148423	305.3097
C1orf53|388722	12.384	C1orf53|388722	6.4897
C1orf54|79630	44.7731	C1orf54|79630	159.292
C1orf55|163859	733.5161	C1orf55|163859	650.7375
C1orf56|54964	126.8094	C1orf56|54964	129.8112
C1orf57|84284	459.7971	C1orf57|84284	337.1681
C1orf58|148362	977.2753	C1orf58|148362	382.5723
C1orf59|113802	28.8961	C1orf59|113802	161.9469
C1orf63|57035	103.2003	C1orf63|57035	294.6903
C1orf64|149563	1527.9998	C1orf64|149563	186.7257
C1orf66|51093	368.3458	C1orf66|51093	504.7198
C1orf69|200205	212.4339	C1orf69|200205	281.4159
lowly_expressed	lowly_expressed	C1orf70|339453	10.6195
C1orf74|148304	99.0723	C1orf74|148304	58.4071
C1orf77|26097	1303.4994	C1orf77|26097	1306.1947
C1orf83|127428	178.4572	C1orf83|127428	249.5575
C1orf84|149469	16.5565	C1orf84|149469	12.1032
C1orf85|112770	1797.5908	C1orf85|112770	793.8053
C1orf86|199990	254.0474	C1orf86|199990	173.6224
lowly_expressed	lowly_expressed	C1orf88|128344	106.4897
C1orf89|79363	47.6309	C1orf89|79363	30.6785
C1orf91|56063	147.9734	C1orf91|56063	121.5339
C1orf93|127281	741.064	C1orf93|127281	655.8083
lowly_expressed	lowly_expressed	C1orf95|375057	70.5015
C1orf96|126731	286.4206	C1orf96|126731	286.4307
C1orf97|84791	181.6326	C1orf97|84791	100.0
C1orf9|51430	2026.2192	C1orf9|51430	1044.5428
C20orf103|24141	141.3051	C20orf103|24141	14.1593
C20orf108|116151	7717.1613	C20orf108|116151	3369.0265
C20orf111|51526	814.1712	C20orf111|51526	679.056
C20orf112|140688	1230.4654	C20orf112|140688	1051.3274
C20orf114|92747	192.1114	C20orf114|92747	88.2006
C20orf117|140710	570.9359	C20orf117|140710	393.8053
lowly_expressed	lowly_expressed	C20orf118|140711	21.0147
C20orf11|54994	2018.9158	C20orf11|54994	1561.6519
C20orf12|55184	82.5603	C20orf12|55184	91.7404
C20orf132|140699	17.1503	C20orf132|140699	59.0
C20orf134|170487	51.7589	C20orf134|170487	17.4041
C20orf135|140701	41.5977	C20orf135|140701	38.6431
C20orf151|140893	128.6035	C20orf151|140893	19.469
C20orf152|140894	5.3982	lowly_expressed	lowly_expressed
C20orf160|140706	49.5362	C20orf160|140706	426.5487
C20orf177|63939	932.0227	C20orf177|63939	318.2891
C20orf194|25943	219.4198	C20orf194|25943	1096.1652
C20orf195|79025	9.2086	C20orf195|79025	5.3097
C20orf196|149840	34.6118	C20orf196|149840	47.1976
lowly_expressed	lowly_expressed	C20orf197|284756	8.8496
C20orf199|441951	1237.4512	C20orf199|441951	1281.4159
lowly_expressed	lowly_expressed	C20orf202|400831	10.9145
lowly_expressed	lowly_expressed	C20orf203|284805	7.3746
C20orf20|55257	201.32	C20orf20|55257	235.3982
C20orf24|55969	3109.3145	C20orf24|55969	695.6637
C20orf26|26074	6.0332	C20orf26|26074	5.0147
C20orf27|54976	469.3233	C20orf27|54976	834.2183
C20orf29|55317	368.3458	C20orf29|55317	180.53099999999998
C20orf30|29058	2454.2624	C20orf30|29058	3057.8171
C20orf3|57136	3606.6131	C20orf3|57136	5465.7817
C20orf43|51507	2244.3688	C20orf43|51507	2161.9469
lowly_expressed	lowly_expressed	C20orf46|55321	15.9292
C20orf4|25980	1199.029	C20orf4|25980	1233.9233
C20orf54|113278	130.5087	C20orf54|113278	162.2419
C20orf70|140683	11.749	lowly_expressed	lowly_expressed
C20orf72|92667	347.3882	C20orf72|92667	320.944
C20orf7|79133	296.2643	C20orf7|79133	116.2242
C20orf94|128710	45.0906	C20orf94|128710	21.8289
C20orf96|140680	219.1022	C20orf96|140680	179.646
C21orf119|84996	110.1862	C21orf119|84996	67.5516
C21orf122|728039	13.9717	C21orf122|728039	46.9027
lowly_expressed	lowly_expressed	C21orf130|284835	9.7345
lowly_expressed	lowly_expressed	C21orf15|54094	10.6195
C21orf2|755	147.0208	C21orf2|755	300.0
C21orf33|8209	1849.6673	C21orf33|8209	2219.174
C21orf34|388815	77.4796	C21orf34|388815	96.7552
C21orf45|54069	245.1405	C21orf45|54069	124.7788
lowly_expressed	lowly_expressed	C21orf49|54067	9.7345
C21orf56|84221	131.1438	C21orf56|84221	63.7168
C21orf57|54059	181.6326	C21orf57|54059	121.8289
C21orf58|54058	50.8063	C21orf58|54058	25.9587
C21orf59|56683	1233.682	C21orf59|56683	471.9115
C21orf63|59271	1408.9225	C21orf63|59271	661.6519
C21orf67|84536	92.0864	C21orf67|84536	43.9528
C21orf70|85395	157.8171	C21orf70|85395	97.3451
C21orf7|56911	47.9485	C21orf7|56911	110.0295
C21orf82|114036	6.6683	C21orf82|114036	18.8791
C21orf88|114041	6.6683	lowly_expressed	lowly_expressed
C21orf91|54149	399.1471	C21orf91|54149	591.4454
C22orf13|83606	4936.0301	C22orf13|83606	2708.0796
C22orf23|84645	13.3367	C22orf23|84645	80.82600000000001
C22orf25|128989	531.2435	C22orf25|128989	509.4395
C22orf26|55267	9.2086	C22orf26|55267	14.7493
C22orf27|150291	132.414	C22orf27|150291	106.4897
C22orf28|51493	3330.6713	C22orf28|51493	1759.5870000000002
C22orf29|79680	1524.4116	C22orf29|79680	882.0147
C22orf30|253143	1421.3066	C22orf30|253143	1008.2596
C22orf32|91689	1287.94	C22orf32|91689	859.882
lowly_expressed	lowly_expressed	C22orf34|348645	6.1947
C22orf36|388886	359.4547	C22orf36|388886	131.5634
C22orf39|128977	303.5677	C22orf39|128977	936.8732
C22orf40|150383	112.40899999999999	C22orf40|150383	131.8584
C22orf46|79640	270.5436	C22orf46|79640	729.2035
C22orf9|23313	1404.1594	C22orf9|23313	1873.1563
C2CD2L|9854	544.2277	C2CD2L|9854	272.2124
C2CD2|25966	1014.5385	C2CD2|25966	3569.9115
C2CD3|26005	477.8969	C2CD3|26005	586.7257
C2CD4A|145741	186.0781	C2CD4A|145741	12.9794
lowly_expressed	lowly_expressed	C2CD4B|388125	17.6991
lowly_expressed	lowly_expressed	C2CD4C|126567	99.705
C2CD4D|100191040	34.9293	lowly_expressed	lowly_expressed
C2orf15|150590	127.6064	C2orf15|150590	34.2419
C2orf16|84226	45.0906	C2orf16|84226	39.823
C2orf18|54978	2387.2616	C2orf18|54978	1605.0147
C2orf24|27013	3339.2449	C2orf24|27013	1685.8407
C2orf27A|29798	12.384	C2orf27A|29798	28.0236
C2orf28|51374	4455.1007	C2orf28|51374	2103.5398
C2orf29|55571	1855.3829999999998	C2orf29|55571	743.9528
C2orf34|79823	105.7406	C2orf34|79823	63.7168
C2orf3|6936	674.4538	C2orf3|6936	491.7404
lowly_expressed	lowly_expressed	C2orf40|84417	427.1386
C2orf42|54980	191.7938	C2orf42|54980	251.9174
C2orf43|60526	319.7622	C2orf43|60526	343.6578
C2orf44|80304	170.5187	C2orf44|80304	249.8525
C2orf47|79568	478.1446	C2orf47|79568	261.0619
C2orf49|79074	124.4755	C2orf49|79074	114.4543
C2orf50|130813	8.256	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C2orf52|151477	5.3097
C2orf54|79919	636.6666	C2orf54|79919	69.6165
C2orf55|343990	53.3466	C2orf55|343990	236.8732
C2orf56|55471	281.975	C2orf56|55471	212.0944
lowly_expressed	lowly_expressed	C2orf58|285154	19.469
C2orf60|129450	244.5752	C2orf60|129450	198.8201
C2orf63|130162	24.133000000000003	C2orf63|130162	44.8378
C2orf64|493753	453.7639	C2orf64|493753	508.5546
lowly_expressed	lowly_expressed	C2orf65|130951	27.1386
C2orf67|151050	347.7502	C2orf67|151050	520.1976
C2orf68|388969	950.3956	C2orf68|388969	771.9764
C2orf69|205327	486.4704	C2orf69|205327	468.7316
C2orf72|257407	145.1155	C2orf72|257407	129.7935
C2orf74|339804	14.9244	C2orf74|339804	248.6726
C2orf76|130355	121.3001	C2orf76|130355	85.5457
C2orf77|129881	41.2801	C2orf77|129881	37.1681
C2orf79|391356	301.98	C2orf79|391356	177.5811
C2orf7|84279	1101.8619	C2orf7|84279	328.6136
C2orf81|388963	13.3335	C2orf81|388963	46.351000000000006
lowly_expressed	lowly_expressed	C2orf84|653140	37.7581
C2orf86|51057	100.3425	C2orf86|51057	104.4248
C2orf88|84281	6.0332	C2orf88|84281	226.8437
C2orf89|129293	10.1613	C2orf89|129293	86.7257
C2|717	408.0763	C2|717	944.5723
C3AR1|719	264.5104	C3AR1|719	244.8378
C3orf10|55845	3940.347	C3orf10|55845	3320.9440000000004
C3orf14|57415	877.044	C3orf14|57415	166.9617
lowly_expressed	lowly_expressed	C3orf15|89876	75.8112
C3orf17|25871	850.3706	C3orf17|25871	942.1829
C3orf18|51161	90.8163	C3orf18|51161	207.6696
C3orf19|51244	320.3973	C3orf19|51244	485.8407
C3orf1|51300	1221.8918	C3orf1|51300	1099.115
C3orf21|152002	183.2203	C3orf21|152002	257.2271
C3orf23|285343	489.9634	C3orf23|285343	545.7227
C3orf26|84319	204.4954	C3orf26|84319	404.4248
C3orf31|132001	78.4322	C3orf31|132001	143.0678
C3orf32|51066	8.8911	C3orf32|51066	15.6342
C3orf33|285315	85.4181	C3orf33|285315	97.9351
C3orf34|84984	49.5362	C3orf34|84984	66.3717
lowly_expressed	lowly_expressed	C3orf35|339883	5.0147
lowly_expressed	lowly_expressed	C3orf36|80111	6.1947
C3orf37|56941	546.4854	C3orf37|56941	1112.0944
C3orf38|285237	393.4282	C3orf38|285237	349.5575
C3orf39|84892	404.8628	C3orf39|84892	509.7345
C3orf42|84657	6.3508	C3orf42|84657	22.7139
lowly_expressed	lowly_expressed	C3orf47|339942	62.5369
C3orf52|79669	12.0665	C3orf52|79669	62.2419
C3orf54|389119	15.877	C3orf54|389119	96.7552
C3orf55|152078	5.3982	C3orf55|152078	184.9558
C3orf57|165679	902.4471	C3orf57|165679	76.1062
C3orf58|205428	104.1529	C3orf58|205428	599.705
C3orf59|151963	30.1662	C3orf59|151963	169.0265
C3orf62|375341	107.6459	C3orf62|375341	167.5516
C3orf63|23272	1312.6414	C3orf63|23272	1951.1091
C3orf64|285203	295.9468	C3orf64|285203	1218.5841
C3orf67|200844	15.877	C3orf67|200844	9.1445
C3orf70|285382	249.9035	C3orf70|285382	219.46900000000002
C3orf71|646450	10.4883	C3orf71|646450	29.4985
C3orf75|54859	415.6591	C3orf75|54859	375.5162
C3|718	2498.7179	C3|718	47760.177
C4A|720	2471.1492	C4A|720	13657.9853
lowly_expressed	lowly_expressed	C4BPA|722	237.4631
C4BPB|725	10.1613	C4BPB|725	21.5339
C4orf10|317648	307.4734	C4orf10|317648	293.7316
C4orf12|404201	19.3699	C4orf12|404201	58.7021
C4orf14|84273	713.1936	C4orf14|84273	546.0177
C4orf19|55286	206.1149	C4orf19|55286	133.6283
C4orf21|55345	53.6642	C4orf21|55345	53.6873
C4orf23|152992	207.6708	C4orf23|152992	216.2242
C4orf27|54969	395.6542	C4orf27|54969	476.9912
C4orf29|80167	129.5561	C4orf29|80167	96.1652
C4orf31|79625	134.6367	C4orf31|79625	156.3422
C4orf32|132720	313.0939	C4orf32|132720	1643.6578
C4orf33|132321	98.1197	C4orf33|132321	150.4425
C4orf34|201895	2238.9707	C4orf34|201895	772.2714
C4orf36|132989	17.7822	C4orf36|132989	11.7994
lowly_expressed	lowly_expressed	C4orf38|152641	21.2389
C4orf39|152756	5.3982	C4orf39|152756	13.8643
C4orf3|401152	3474.8342	C4orf3|401152	4198.5251
C4orf41|60684	857.6741	C4orf41|60684	1000.59
C4orf42|92070	388.6683	C4orf42|92070	367.5516
C4orf43|55319	282.2926	C4orf43|55319	339.233
C4orf46|201725	234.3695	C4orf46|201725	138.3481
lowly_expressed	lowly_expressed	C4orf48|401115	5.8997
lowly_expressed	lowly_expressed	C4orf49|84709	40.118
C4orf52|389203	368.3458	C4orf52|389203	335.9882
lowly_expressed	lowly_expressed	C4orf7|260436	68.4366
C5AR1|728	183.2203	C5AR1|728	166.6667
C5orf13|9315	460.4322	C5orf13|9315	553.0973
C5orf15|56951	1220.9392	C5orf15|56951	1445.7227
lowly_expressed	lowly_expressed	C5orf20|140947	10.6195
C5orf22|55322	620.7896	C5orf22|55322	434.8083
C5orf23|79614	60.3325	C5orf23|79614	594.3953
C5orf24|134553	2089.092	C5orf24|134553	1490.8555
C5orf25|375484	147.2557	C5orf25|375484	208.2596
C5orf27|202299	109.2336	C5orf27|202299	14.4543
C5orf28|64417	404.2277	C5orf28|64417	228.0236
C5orf30|90355	177.187	C5orf30|90355	404.1298
C5orf32|84418	864.0248	C5orf32|84418	1148.3776
C5orf33|133686	605.5477	C5orf33|133686	715.6342
C5orf34|375444	40.645	C5orf34|375444	29.4985
C5orf35|133383	111.4563	C5orf35|133383	101.4749
C5orf36|285600	71.4464	C5orf36|285600	78.7611
C5orf38|153571	119.3948	C5orf38|153571	41.0029
C5orf39|389289	16.1945	C5orf39|389289	91.7404
C5orf41|153222	262.6051	C5orf41|153222	780.826
C5orf42|65250	291.5012	C5orf42|65250	506.7847
C5orf43|643155	1699.1536	C5orf43|643155	983.1858
C5orf44|80006	578.7887	C5orf44|80006	418.3392
C5orf45|51149	47.4626	C5orf45|51149	228.0236
C5orf46|389336	458.8445	C5orf46|389336	27.1386
lowly_expressed	lowly_expressed	C5orf49|134121	14.7493
C5orf4|10826	372.1562	C5orf4|10826	2306.4897
C5orf51|285636	1473.0655	C5orf51|285636	875.5162
C5orf53|492311	264.8279	C5orf53|492311	734.5133
C5orf54|63920	180.6799	C5orf54|63920	169.9115
C5orf55|116349	43.1854	C5orf55|116349	57.8171
C5orf56|441108	18.7602	C5orf56|441108	105.3481
C5orf62|85027	271.8138	C5orf62|85027	2195.2802
C5|727	58.1097	C5|727	273.7463
C6orf105|84830	21.2751	C6orf105|84830	28.3186
C6orf106|64771	3345.9132	C6orf106|64771	3819.469
C6orf108|10591	480.1196	C6orf108|10591	187.3156
lowly_expressed	lowly_expressed	C6orf114|85411	13.8643
C6orf115|58527	520.4472	C6orf115|58527	229.4985
C6orf120|387263	507.4217	C6orf120|387263	1138.3805
C6orf122|401288	7.8528	C6orf122|401288	18.8466
lowly_expressed	lowly_expressed	C6orf123|26238	11.2094
C6orf124|653483	5.3982	C6orf124|653483	8.5546
C6orf125|84300	1256.8783	C6orf125|84300	420.5015
C6orf129|154467	342.6251	C6orf129|154467	90.2655
C6orf130|221443	416.6022	C6orf130|221443	404.9469
C6orf132|647024	421.0573	C6orf132|647024	133.6283
C6orf134|79969	207.0357	C6orf134|79969	136.5782
C6orf136|221545	412.1662	C6orf136|221545	155.4572
lowly_expressed	lowly_expressed	C6orf138|442213	32.4484
lowly_expressed	lowly_expressed	C6orf141|135398	64.8968
C6orf145|221749	211.4813	C6orf145|221749	1153.9823
C6orf150|115004	17.7822	C6orf150|115004	64.6018
C6orf153|88745	1142.1894	C6orf153|88745	607.9646
C6orf154|221424	100.3425	C6orf154|221424	11.2094
lowly_expressed	lowly_expressed	C6orf155|79940	58.7021
C6orf162|57150	53.6642	C6orf162|57150	114.8879
lowly_expressed	lowly_expressed	C6orf163|206412	11.7994
lowly_expressed	lowly_expressed	C6orf164|63914	5.7611
C6orf165|154313	17.3345	C6orf165|154313	9.7729
C6orf167|253714	167.3433	C6orf167|253714	157.8171
C6orf168|84553	326.7481	C6orf168|84553	84.0708
C6orf170|221322	26.6733	C6orf170|221322	87.6106
C6orf174|387104	8.5736	C6orf174|387104	99.5929
C6orf176|90632	1000.1286	C6orf176|90632	26.4071
C6orf182|285753	93.3566	C6orf182|285753	129.2035
lowly_expressed	lowly_expressed	C6orf186|728464	11.5044
C6orf192|116843	461.3848	C6orf192|116843	365.7817
C6orf1|221491	245.458	C6orf1|221491	205.0147
C6orf201|404220	8.5926	C6orf201|404220	8.2625
C6orf203|51250	224.5004	C6orf203|51250	278.1711
C6orf204|387119	43.5029	C6orf204|387119	67.8466
lowly_expressed	lowly_expressed	C6orf208|80069	11.5369
C6orf211|79624	377.8719	C6orf211|79624	879.056
lowly_expressed	lowly_expressed	C6orf217|100131814	9.1445
C6orf225|619208	121.9351	C6orf225|619208	225.6637
C6orf226|441150	63.1904	C6orf226|441150	47.1976
C6orf26|401251	23.7043	C6orf26|401251	24.1976
C6orf27|80737	205.7656	C6orf27|80737	54.8673
C6orf35|729515	217.8321	C6orf35|729515	481.7109
C6orf47|57827	656.6716	C6orf47|57827	707.6696
C6orf48|50854	919.5942	C6orf48|50854	1537.4631
C6orf52|347744	12.0665	C6orf52|347744	7.3746
C6orf57|135154	89.2286	C6orf57|135154	111.7994
lowly_expressed	lowly_expressed	C6orf59|79992	7.0796
C6orf62|81688	4878.5015	C6orf62|81688	3612.7434
C6orf64|55776	912.2908	C6orf64|55776	508.5546
C6orf70|55780	288.9609	C6orf70|55780	329.7935
C6orf72|116254	469.3233	C6orf72|116254	1044.5428
lowly_expressed	lowly_expressed	C6orf81|221481	6.4897
C6orf89|221477	3967.6554	C6orf89|221477	3746.0177
C6orf97|80129	24.7681	C6orf97|80129	375.8112
C6|729	31.1189	C6|729	1028.6136
C7orf10|79783	36.1995	C7orf10|79783	35.6932
C7orf11|136647	373.1089	C7orf11|136647	233.3333
C7orf13|129790	77.1621	C7orf13|129790	115.9292
C7orf23|79161	218.3211	C7orf23|79161	351.3068
C7orf25|79020	403.5799	C7orf25|79020	294.3392
C7orf26|79034	669.6907	C7orf26|79034	508.8496
C7orf27|221927	1104.0847	C7orf27|221927	629.2035
C7orf28A|51622	1420.354	C7orf28A|51622	700.885
C7orf28B|221960	1100.9093	C7orf28B|221960	548.0826
C7orf29|113763	118.7598	C7orf29|113763	119.469
C7orf30|115416	387.7157	C7orf30|115416	296.1652
C7orf31|136895	13.0191	C7orf31|136895	142.7729
C7orf36|57002	283.5627	C7orf36|57002	133.3333
C7orf40|285958	448.0482	C7orf40|285958	338.3481
C7orf41|222166	418.517	C7orf41|222166	5839.823
C7orf42|55069	4557.0087	C7orf42|55069	3285.8407
C7orf43|55262	453.1288	C7orf43|55262	159.58700000000002
C7orf44|55744	1437.5011	C7orf44|55744	565.4867
C7orf46|340277	45.4081	C7orf46|340277	84.6608
C7orf47|221908	218.4671	C7orf47|221908	98.5251
C7orf49|78996	867.829	C7orf49|78996	519.6549
C7orf50|84310	795.4363	C7orf50|84310	542.4779
lowly_expressed	lowly_expressed	C7orf51|222950	39.528
C7orf53|286006	8.8911	C7orf53|286006	16.8142
C7orf55|154791	135.5131	C7orf55|154791	172.1652
C7orf58|79974	83.8304	C7orf58|79974	1961.0619
C7orf59|389541	1050.738	C7orf59|389541	882.8909
C7orf60|154743	220.3724	C7orf60|154743	292.0354
C7orf63|79846	13.6542	C7orf63|79846	133.6283
C7orf64|84060	326.113	C7orf64|84060	300.59
C7orf68|29923	565.2202	C7orf68|29923	502.9499
C7orf70|84792	857.9916	C7orf70|84792	354.8673
C7|730	94.6268	C7|730	7969.3215
C8orf30A|51236	690.0132	C8orf30A|51236	363.4218
lowly_expressed	lowly_expressed	C8orf31|286122	11.2094
C8orf33|65265	1688.9923	C8orf33|65265	1172.5664
lowly_expressed	lowly_expressed	C8orf34|116328	36.8732
C8orf37|157657	35.2469	C8orf37|157657	74.9263
C8orf38|137682	440.1097	C8orf38|137682	186.7257
C8orf39|55472	6.3508	lowly_expressed	lowly_expressed
C8orf40|114926	938.3291	C8orf40|114926	635.6932
C8orf41|80185	208.3757	C8orf41|80185	241.1976
C8orf42|157695	261.6525	C8orf42|157695	365.4867
C8orf44|56260	22.358	C8orf44|56260	39.9322
C8orf45|157777	26.9909	C8orf45|157777	23.5988
lowly_expressed	lowly_expressed	C8orf46|254778	52.8024
lowly_expressed	lowly_expressed	C8orf47|203111	7.3746
C8orf48|157773	11.749	C8orf48|157773	37.7581
C8orf4|56892	124.4755	C8orf4|56892	686.4307
C8orf51|78998	103.8354	C8orf51|78998	21.2389
C8orf55|51337	3172.5366	C8orf55|51337	633.0383
C8orf58|541565	188.93599999999998	C8orf58|541565	294.1003
C8orf59|401466	521.3648	C8orf59|401466	475.7581
C8orf73|642475	170.8362	C8orf73|642475	43.0678
C8orf76|84933	607.2021	C8orf76|84933	253.4041
lowly_expressed	lowly_expressed	C8orf77|286103	5.3097
C8orf79|57604	86.6883	C8orf79|57604	282.5959
lowly_expressed	lowly_expressed	C8orf80|389643	15.0442
C8orf83|286144	2283.1086	C8orf83|286144	602.6549
C8orf84|157869	6.3508	C8orf84|157869	482.5959
C8orf85|441376	157.4996	C8orf85|441376	115.6342
C9orf100|84904	65.7275	C9orf100|84904	35.4897
C9orf102|375748	122.8528	C9orf102|375748	159.2655
C9orf103|414328	37.7872	C9orf103|414328	129.7935
C9orf109|286333	12.0665	C9orf109|286333	24.7788
C9orf110|100128385	107.9634	C9orf110|100128385	200.0
C9orf114|51490	232.7628	C9orf114|51490	395.5251
C9orf116|138162	82.5603	C9orf116|138162	23.5988
C9orf117|286207	5.0806	lowly_expressed	lowly_expressed
C9orf119|375757	232.1213	C9orf119|375757	276.6962
C9orf122|158228	26.9909	C9orf122|158228	9.7345
C9orf123|90871	336.5918	C9orf123|90871	648.9676
C9orf125|84302	22.8628	C9orf125|84302	171.9764
C9orf129|445577	146.2333	C9orf129|445577	72.236
C9orf130|100128782	57.4365	C9orf130|100128782	127.646
C9orf140|89958	150.1962	C9orf140|89958	47.1976
C9orf142|286257	178.1396	C9orf142|286257	160.472
C9orf150|286343	363.2651	C9orf150|286343	482.8909
C9orf152|401546	1027.8752	C9orf152|401546	210.6195
C9orf156|51531	220.3724	C9orf156|51531	271.9764
C9orf163|158055	7.3034	lowly_expressed	lowly_expressed
C9orf167|54863	58.7448	C9orf167|54863	140.118
C9orf169|375791	257.2197	C9orf169|375791	6.115
C9orf16|79095	476.9443	C9orf16|79095	432.1534
C9orf172|389813	8.8911	lowly_expressed	lowly_expressed
C9orf21|195827	67.0008	C9orf21|195827	263.1268
C9orf23|138716	293.4065	C9orf23|138716	276.1062
lowly_expressed	lowly_expressed	C9orf24|84688	6.1947
C9orf25|203259	436.6167	C9orf25|203259	614.1593
C9orf30|91283	284.4233	C9orf30|91283	189.2861
C9orf37|85026	55.5694	C9orf37|85026	89.9705
C9orf3|84909	349.4522	C9orf3|84909	452.6696
C9orf40|55071	72.7165	C9orf40|55071	176.1062
C9orf41|138199	296.5818	C9orf41|138199	135.3982
C9orf43|257169	7.6209	C9orf43|257169	6.4897
lowly_expressed	lowly_expressed	C9orf44|158314	6.1947
C9orf45|81571	50.8063	C9orf45|81571	155.7522
C9orf46|55848	262.9227	C9orf46|55848	249.8525
C9orf47|286223	12.7333	C9orf47|286223	13.3009
C9orf5|23731	1535.6208	C9orf5|23731	3483.7758
C9orf64|84267	491.5511	C9orf64|84267	411.7994
lowly_expressed	lowly_expressed	C9orf66|157983	33.3333
lowly_expressed	lowly_expressed	C9orf68|55064	41.0029
C9orf69|90120	332.1463	C9orf69|90120	798.2301
C9orf6|54942	412.4837	C9orf6|54942	385.2507
C9orf72|203228	110.8213	C9orf72|203228	267.8466
C9orf78|51759	1004.6948	C9orf78|51759	1402.3599
C9orf7|11094	1264.4421	C9orf7|11094	313.5693
C9orf80|58493	187.9834	C9orf80|58493	226.8437
C9orf82|79886	445.8254	C9orf82|79886	320.649
C9orf85|138241	199.4148	C9orf85|138241	149.5575
C9orf86|55684	1364.1495	C9orf86|55684	1382.3009
C9orf89|84270	229.581	C9orf89|84270	178.4661
C9orf91|203197	1070.1079	C9orf91|203197	667.5516
C9orf93|203238	11.749	C9orf93|203238	38.3481
C9orf95|54981	470.5935	C9orf95|54981	587.3156
lowly_expressed	lowly_expressed	C9orf96|169436	10.0295
C9orf98|158067	55.5694	C9orf98|158067	23.5988
C9orf9|11092	57.7922	C9orf9|11092	140.118
CA11|770	67.6359	CA11|770	208.2596
CA12|771	543.31	CA12|771	1243.0678
CA13|377677	87.3233	CA13|377677	74.6549
lowly_expressed	lowly_expressed	CA14|23632	5.3097
CA2|760	164.1679	CA2|760	314.4543
lowly_expressed	lowly_expressed	CA3|761	1211.1858
lowly_expressed	lowly_expressed	CA4|762	1007.6696
CA5BP|340591	830.0481	CA5BP|340591	165.4867
CA5B|11238	318.9049	CA5B|11238	365.4012
CA8|767	124.4755	CA8|767	172.2714
CAB39L|81617	364.5353	CAB39L|81617	1446.6077
CAB39|51719	3272.8791	CAB39|51719	2598.5251
CABC1|56997	723.0373	CABC1|56997	4544.0442
CABIN1|23523	1934.7679	CABIN1|23523	1265.4867
CABLES1|91768	505.8403	CABLES1|91768	1598.5251
CABLES2|81928	353.7389	CABLES2|81928	125.0737
lowly_expressed	lowly_expressed	CABP1|9478	46.3127
lowly_expressed	lowly_expressed	CABP4|57010	12.9794
CABP7|164633	6.8303	lowly_expressed	lowly_expressed
CABYR|26256	39.6924	CABYR|26256	61.3569
CACHD1|57685	49.2186	CACHD1|57685	1388.2006
CACNA1A|773	9.2086	CACNA1A|773	28.0236
CACNA1C|775	115.9019	CACNA1C|775	415.3392
CACNA1D|776	497.5843	CACNA1D|776	162.8319
CACNA1F|778	8.5736	CACNA1F|778	5.0147
CACNA1G|8913	6.6683	CACNA1G|8913	34.8083
CACNA1H|8912	275.3067	CACNA1H|8912	232.1534
CACNA1I|8911	38.7398	CACNA1I|8911	12.9794
CACNA2D1|781	38.7398	CACNA2D1|781	210.9145
CACNA2D2|9254	160.675	CACNA2D2|9254	117.9941
lowly_expressed	lowly_expressed	CACNA2D3|55799	11.5044
CACNA2D4|93589	26.6733	CACNA2D4|93589	92.9204
CACNB1|782	30.1662	CACNB1|782	92.9204
CACNB2|783	12.0665	CACNB2|783	90.5605
CACNB3|784	486.1529	CACNB3|784	244.5428
CACNB4|785	462.3374	CACNB4|785	110.9145
CACNG4|27092	92.404	CACNG4|27092	294.6903
CACYBP|27101	2149.4245	CACYBP|27101	971.3864
CADM1|23705	320.3973	CADM1|23705	484.9558
lowly_expressed	lowly_expressed	CADM2|253559	99.115
lowly_expressed	lowly_expressed	CADM3|57863	403.885
CADM4|199731	1216.4936	CADM4|199731	398.2301
CADPS2|93664	2494.9075	CADPS2|93664	1120.059
CADPS|8618	7.9385	lowly_expressed	lowly_expressed
CAD|790	1511.1702	CAD|790	1123.3038
CALB2|794	8.256	CALB2|794	1361.6519
CALCA|796	7.3034	CALCA|796	10.6195
lowly_expressed	lowly_expressed	CALCB|797	5.3097
CALCOCO1|57658	820.2044	CALCOCO1|57658	3667.2566
CALCOCO2|10241	1136.4737	CALCOCO2|10241	4217.6991
CALCRL|10203	1009.1404	CALCRL|10203	1746.6077
lowly_expressed	lowly_expressed	CALCR|799	16.5192
CALD1|800	4528.7476	CALD1|800	16471.6814
CALHM2|51063	417.5644	CALHM2|51063	1256.3422
CALM1|801	9989.7911	CALM1|801	9907.0796
CALM2|805	24425.1345	CALM2|805	9468.1416
CALM3|808	2368.8443	CALM3|808	4159.587
lowly_expressed	lowly_expressed	CALML3|810	204.4248
CALML4|91860	98.4372	CALML4|91860	342.1829
CALML5|51806	6369.2063	CALML5|51806	230.6785
lowly_expressed	lowly_expressed	CALN1|83698	38.6431
CALR|811	13800.582	CALR|811	11128.6136
CALU|813	10999.5666	CALU|813	4148.3776
CAMK1D|57118	46.9958	CAMK1D|57118	105.0147
CAMK1G|57172	9.5262	lowly_expressed	lowly_expressed
CAMK1|8536	77.3748	CAMK1|8536	894.3009
lowly_expressed	lowly_expressed	CAMK2B|816	33.6283
