gene_id	TCGA-BH-A1EN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1EN-11A-23R-A13Q-07
ACADSB|36	1358.4338	ACADSB|36	1583.1858
ACADS|35	138.7647	ACADS|35	1242.1829
ACADVL|37	4106.7282	ACADVL|37	6330.9528
ACAN|176	32.0715	ACAN|176	66.9617
ACAP1|9744	6.3508	ACAP1|9744	109.1445
ACAP2|23527	1094.2409	ACAP2|23527	1653.9823
ACAP3|116983	534.7428	ACAP3|116983	383.4808
ACAT1|38	1020.2543	ACAT1|38	2586.4307
ACAT2|39	788.3615	ACAT2|39	304.8437
ACBD3|64746	3072.1942	ACBD3|64746	1301.4749
ACBD4|79777	56.2045	ACBD4|79777	239.233
ACBD5|91452	1265.7122	ACBD5|91452	862.2419
ACBD6|84320	422.9625	ACBD6|84320	319.764
ACBD7|414149	23.1804	ACBD7|414149	16.2242
ACCN2|41	429.3133	ACCN2|41	86.7257
lowly_expressed	lowly_expressed	ACCN3|9311	9.4395
ACCS|84680	60.65	ACCS|84680	474.9263
ACD|65057	121.6176	ACD|65057	257.8171
ACE2|59272	86.6883	ACE2|59272	24.7788
ACER2|340485	136.8595	ACER2|340485	243.6578
ACER3|55331	2760.688	ACER3|55331	935.6932
ACE|1636	237.837	ACE|1636	1045.4277
ACHE|43	31.4364	ACHE|43	18.5841
ACIN1|22985	1835.378	ACIN1|22985	2922.1239
ACLY|47	8277.3009	ACLY|47	3388.7906
ACN9|57001	259.4297	ACN9|57001	120.059
ACO1|48	1096.4637	ACO1|48	5223.5988
ACO2|50	7017.2186	ACO2|50	3466.2301
ACOT11|26027	9.2086	ACOT11|26027	15.5487
ACOT13|55856	1316.3757	ACOT13|55856	572.8024
ACOT1|641371	630.9509	ACOT1|641371	1775.2212
ACOT2|10965	209.576	ACOT2|10965	806.1947
ACOT4|122970	219.7373	ACOT4|122970	162.2419
lowly_expressed	lowly_expressed	ACOT6|641372	6.1947
ACOT7|11332	808.4554	ACOT7|11332	207.3746
ACOT8|10005	334.7818	ACOT8|10005	224.4248
ACOT9|23597	947.8553	ACOT9|23597	628.6136
ACOX1|51	1505.0132	ACOX1|51	3074.3363
ACOX2|8309	194.3341	ACOX2|8309	317.9941
ACOX3|8310	606.1828	ACOX3|8310	464.6018
ACP1|52	3985.1201	ACP1|52	1101.7699
ACP2|53	3015.3546	ACP2|53	927.1386
ACP5|54	480.1196	ACP5|54	567.5516
ACP6|51205	490.916	ACP6|51205	223.3038
ACPL2|92370	409.3084	ACPL2|92370	312.9794
ACPP|55	135.2718	ACPP|55	26.8437
ACRBP|84519	22.8628	ACRBP|84519	24.1888
ACRC|93953	5.0806	ACRC|93953	33.3333
lowly_expressed	lowly_expressed	ACR|49	9.4395
ACSBG1|23205	8.256	ACSBG1|23205	16.5192
ACSF2|80221	1696.9308	ACSF2|80221	1140.708
ACSF3|197322	201.9551	ACSF3|197322	338.0531
ACSL1|2180	4815.4858	ACSL1|2180	22921.8289
ACSL3|2181	11785.7942	ACSL3|2181	2623.5988
ACSL4|2182	357.5494	ACSL4|2182	2147.1976
ACSL5|51703	120.0299	ACSL5|51703	1233.3333
lowly_expressed	lowly_expressed	ACSL6|23305	5.8997
lowly_expressed	lowly_expressed	ACSM1|116285	25.6637
lowly_expressed	lowly_expressed	ACSM2A|123876	10.9145
lowly_expressed	lowly_expressed	ACSM3|6296	79.2006
ACSM5|54988	18.4173	ACSM5|54988	635.9882
ACSS1|84532	1749.6424	ACSS1|84532	759.292
ACSS2|55902	1226.3374	ACSS2|55902	4309.7345
ACSS3|79611	30.4838	ACSS3|79611	1287.0206
lowly_expressed	lowly_expressed	ACTA1|58	38.3481
ACTA2|59	4183.2869	ACTA2|59	25834.3451
ACTB|60	102112.7487	ACTB|60	71001.4749
lowly_expressed	lowly_expressed	ACTC1|70	38.3481
ACTG1|71	33219.3896	ACTG1|71	40761.3569
ACTG2|72	11.4314	ACTG2|72	11388.2006
ACTL6A|86	872.2809	ACTL6A|86	676.9912
ACTL8|81569	64.778	ACTL8|81569	7.0796
ACTN1|87	1787.4296	ACTN1|87	10648.9676
lowly_expressed	lowly_expressed	ACTN2|88	9.7345
ACTN3|89	729.7057	ACTN3|89	146.6077
ACTN4|81	10224.837	ACTN4|81	12541.0737
ACTR10|55860	1011.3631	ACTR10|55860	1146.6077
ACTR1A|10121	4610.6728	ACTR1A|10121	2941.8879
ACTR1B|10120	2099.8884	ACTR1B|10120	1549.8525
ACTR2|10097	10280.9748	ACTR2|10097	5516.5192
ACTR3B|57180	175.9169	ACTR3B|57180	116.2242
ACTR3C|653857	125.7456	ACTR3C|653857	18.8791
ACTR3|10096	7079.542	ACTR3|10096	3050.1475
ACTR5|79913	250.2211	ACTR5|79913	184.6608
ACTR6|64431	552.5186	ACTR6|64431	528.6136
ACTR8|93973	486.1529	ACTR8|93973	479.941
ACVR1B|91	1136.1562	ACVR1B|91	1051.0324
lowly_expressed	lowly_expressed	ACVR1C|130399	3931.5634
ACVR1|90	1077.0938	ACVR1|90	1350.1475
ACVR2A|92	667.1504	ACVR2A|92	553.9823
ACVR2B|93	307.0606	ACVR2B|93	396.1652
ACVRL1|94	328.9709	ACVRL1|94	2187.6106
ACY1|95	1311.4379	ACY1|95	706.4897
lowly_expressed	lowly_expressed	ACY3|91703	12.3894
ACYP1|97	32.0715	ACYP1|97	47.4926
ACYP2|98	161.9451	ACYP2|98	143.9528
ADAL|161823	241.33	ADAL|161823	216.5192
ADAM10|102	1403.8419	ADAM10|102	1748.3776
lowly_expressed	lowly_expressed	ADAM11|4185	10.3245
ADAM12|8038	1488.3074	ADAM12|8038	535.9882
ADAM15|8751	16712.7363	ADAM15|8751	4714.4543
ADAM17|6868	543.6275	ADAM17|6868	655.1622
ADAM19|8728	177.5046	ADAM19|8728	223.5988
ADAM22|53616	16.8296	ADAM22|53616	54.2773
ADAM23|8745	9.8437	ADAM23|8745	78.1711
ADAM28|10863	288.6434	ADAM28|10863	109.1445
lowly_expressed	lowly_expressed	ADAM32|203102	13.8643
ADAM33|80332	13.0191	ADAM33|80332	854.8732
ADAM5P|255926	10.4788	lowly_expressed	lowly_expressed
ADAM6|8755	162.3738	ADAM6|8755	16114.7493
ADAM8|101	895.1437	ADAM8|101	93.2153
ADAM9|8754	15067.2469	ADAM9|8754	2282.3009
ADAMDEC1|27299	6.6683	lowly_expressed	lowly_expressed
ADAMTS10|81794	45.4081	ADAMTS10|81794	176.4012
ADAMTS12|81792	478.2144	ADAMTS12|81792	266.6667
ADAMTS13|11093	10.1613	ADAMTS13|11093	58.1121
ADAMTS14|140766	56.522	ADAMTS14|140766	14.4543
ADAMTS15|170689	8.256	ADAMTS15|170689	419.764
ADAMTS16|170690	26.6733	ADAMTS16|170690	268.4366
ADAMTS17|170691	14.6068	ADAMTS17|170691	24.1888
lowly_expressed	lowly_expressed	ADAMTS18|170692	400.295
ADAMTS1|9510	378.507	ADAMTS1|9510	3864.6018
ADAMTS2|9509	536.9592	ADAMTS2|9509	780.531
ADAMTS3|9508	12.0665	ADAMTS3|9508	282.0059
ADAMTS4|9507	266.0981	ADAMTS4|9507	257.5221
ADAMTS5|11096	180.6799	ADAMTS5|11096	2293.5103
ADAMTS6|11174	31.1189	ADAMTS6|11174	61.0619
ADAMTS7|11173	111.1388	ADAMTS7|11173	129.7935
lowly_expressed	lowly_expressed	ADAMTS8|11095	76.4012
ADAMTS9|56999	237.202	ADAMTS9|56999	1462.5369
ADAMTSL1|92949	180.3624	ADAMTSL1|92949	550.1475
ADAMTSL2|9719	77.7972	ADAMTSL2|9719	93.8053
ADAMTSL3|57188	55.2519	ADAMTSL3|57188	492.6254
ADAMTSL4|54507	27.3084	ADAMTSL4|54507	1220.649
ADAMTSL5|339366	9.5262	ADAMTSL5|339366	27.4336
ADAP1|11033	453.8083	ADAP1|11033	82.3628
ADAP2|55803	275.9418	ADAP2|55803	224.1888
ADARB1|104	285.1504	ADARB1|104	1110.3245
ADAR|103	9910.7238	ADAR|103	6893.8053
ADAT1|23536	228.9459	ADAT1|23536	253.9823
ADAT2|134637	78.7498	ADAT2|134637	159.882
ADAT3|113179	11.749	ADAT3|113179	7.3746
ADA|100	94.9443	ADA|100	147.7876
ADCK1|57143	213.7041	ADCK1|57143	144.8378
ADCK2|90956	1224.4321	ADCK2|90956	570.2065
ADCK4|79934	720.497	ADCK4|79934	398.2301
ADCK5|203054	89.5461	ADCK5|203054	64.6018
