gene_id	TCGA-BH-A1ES-01A-11R-A137-07	gene_id	TCGA-BH-A1ES-06A-12R-A24H-07
lowly_expressed	lowly_expressed	DRD4|1815	30.9575
DRG1|4733	982.7869	DRG1|4733	1468.3225
DRG2|1819	534.4262	DRG2|1819	485.2412
DRP2|1821	51.6393	DRP2|1821	9.3593
DSC1|1823	14.7541	lowly_expressed	lowly_expressed
DSC2|1824	1402.4589999999998	DSC2|1824	479.4816
DSC3|1825	734.4262	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DSCAML1|57453	15.4788
DSCC1|79075	187.7049	DSCC1|79075	47.5162
DSCR3|10311	1082.7869	DSCR3|10311	1080.6335
DSCR6|53820	23.7705	DSCR6|53820	46.7963
lowly_expressed	lowly_expressed	DSCR9|257203	6.8395
DSEL|92126	10726.2295	DSEL|92126	280.7775
DSE|29940	663.9754	DSE|29940	435.6911
DSG2|1829	6327.0	DSG2|1829	3491.7135
DSG3|1830	430.3279	lowly_expressed	lowly_expressed
DSN1|79980	523.7705	DSN1|79980	181.0655
DSP|1832	13268.8525	DSP|1832	23493.1605
DSTN|11034	8578.6885	DSTN|11034	6878.3297
DSTYK|25778	1290.1639	DSTYK|25778	855.2916
DST|667	4502.459	DST|667	1647.9482
DTD1|92675	261.4754	DTD1|92675	403.1677
DTL|51514	576.2295	DTL|51514	74.514
DTNA|1837	909.0164	DTNA|1837	610.1512
DTNBP1|84062	282.7869	DTNBP1|84062	375.8099
DTNB|1838	137.7049	DTNB|1838	548.5961
DTWD1|56986	498.3607	DTWD1|56986	375.8099
DTWD2|285605	223.7705	DTWD2|285605	77.7538
DTX1|1840	21.3115	DTX1|1840	71.2743
DTX2|113878	281.9672	DTX2|113878	294.8164
DTX3L|151636	1909.7623	DTX3L|151636	1106.7963
DTX3|196403	917.2131	DTX3|196403	1349.892
DTX4|23220	380.3279	DTX4|23220	297.3362
DTYMK|1841	373.7705	DTYMK|1841	273.5781
DULLARD|23399	1175.4098	DULLARD|23399	1017.9986
DUOX1|53905	44.2623	DUOX1|53905	23.0382
DUOX2|50506	9.0164	DUOX2|50506	579.1937
DUOXA1|90527	16.9426	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DUOXA2|405753	584.7516
DUS1L|64118	866.3934	DUS1L|64118	2738.3009
DUS2L|54920	218.0328	DUS2L|54920	171.7063
DUS3L|56931	146.7213	DUS3L|56931	442.0446
DUS4L|11062	173.0738	DUS4L|11062	223.5277
DUSP10|11221	991.8033	DUSP10|11221	412.88699999999994
DUSP11|8446	541.8033	DUSP11|8446	328.6537
DUSP12|11266	285.2459	DUSP12|11266	615.9107
lowly_expressed	lowly_expressed	DUSP13|51207	263.1389
DUSP14|11072	371.3115	DUSP14|11072	266.7387
DUSP15|128853	12.2951	lowly_expressed	lowly_expressed
DUSP16|80824	1957.3770000000002	DUSP16|80824	2119.8704
DUSP18|150290	117.0738	DUSP18|150290	56.8683
DUSP19|142679	99.1803	DUSP19|142679	56.8754
DUSP1|1843	1077.8689	DUSP1|1843	4341.6127
DUSP22|56940	404.918	DUSP22|56940	666.6667
DUSP23|54935	207.377	DUSP23|54935	1059.0353
lowly_expressed	lowly_expressed	DUSP26|78986	7.1994
DUSP27|92235	7.377000000000001	lowly_expressed	lowly_expressed
DUSP28|285193	90.1639	DUSP28|285193	190.0648
DUSP2|1844	29.5082	DUSP2|1844	34.5572
DUSP3|1845	1036.0656	DUSP3|1845	1460.7631
DUSP4|1846	1272.1311	DUSP4|1846	1093.9525
DUSP5|1847	2190.9836	DUSP5|1847	2095.0324
DUSP6|1848	6773.7705	DUSP6|1848	1611.951
DUSP7|1849	328.6885	DUSP7|1849	212.743
DUSP8|1850	426.2295	DUSP8|1850	1248.3801
lowly_expressed	lowly_expressed	DUSP9|1852	28.0778
DUT|1854	1036.9754	DUT|1854	911.1231
DVL1|1855	844.2623	DVL1|1855	1991.7207
DVL2|1856	522.9508	DVL2|1856	429.8056
DVL3|1857	2516.3934	DVL3|1857	1814.2549
lowly_expressed	lowly_expressed	DVWA|344875	13.6789
lowly_expressed	lowly_expressed	DYDC1|143241	5.7487
DYDC2|84332	9.8361	DYDC2|84332	80.2844
DYM|54808	858.1967	DYM|54808	547.1562
DYNC1H1|1778	11926.2295	DYNC1H1|1778	9339.8128
DYNC1I1|1780	14.7541	DYNC1I1|1780	20.8783
DYNC1I2|1781	2289.3443	DYNC1I2|1781	1961.4831
DYNC1LI1|51143	984.4262	DYNC1LI1|51143	607.9914
DYNC1LI2|1783	4650.8197	DYNC1LI2|1783	3456.8035
DYNC2H1|79659	331.1475	DYNC2H1|79659	179.2657
DYNC2LI1|51626	388.5246	DYNC2LI1|51626	519.0785
DYNLL1|8655	5192.623	DYNLL1|8655	3012.239
DYNLL2|140735	952.459	DYNLL2|140735	1899.568
DYNLRB1|83658	1937.7049	DYNLRB1|83658	3611.9509999999996
DYNLRB2|83657	23.7705	DYNLRB2|83657	41.3967
DYNLT1|6993	1156.5574	DYNLT1|6993	1080.9935
DYNLT3|6990	1168.8525	DYNLT3|6990	2167.7466
DYRK1A|1859	2826.2295	DYRK1A|1859	1737.941
DYRK1B|9149	686.0656	DYRK1B|9149	428.7257
DYRK2|8445	813.9344	DYRK2|8445	401.7279
DYRK3|8444	76.2295	DYRK3|8444	66.2347
DYRK4|8798	512.2951	DYRK4|8798	353.1317
DYSF|8291	127.8689	DYSF|8291	265.6587
DYX1C1|161582	87.7049	DYX1C1|161582	55.7955
DZIP1L|199221	31.1475	DZIP1L|199221	6.8395
DZIP1|22873	226.9508	DZIP1|22873	73.4665
DZIP3|9666	847.541	DZIP3|9666	223.1821
E2F1|1869	314.7541	E2F1|1869	73.7941
E2F2|1870	283.6066	E2F2|1870	15.4788
E2F3|1871	478.6885	E2F3|1871	307.4154
E2F4|1874	1054.0984	E2F4|1874	1086.3931
E2F5|1875	262.2787	E2F5|1875	445.57599999999996
E2F6|1876	479.5082	E2F6|1876	275.378
E2F7|144455	201.6393	E2F7|144455	27.7178
E2F8|79733	129.5082	E2F8|79733	11.5191
E4F1|1877	434.4262	E4F1|1877	1507.1994
EAF1|85403	1167.2131	EAF1|85403	1213.103
EAF2|55840	18.8525	EAF2|55840	16.9186
EAPP|55837	1100.0	EAPP|55837	911.0871
EARS2|124454	943.4426	EARS2|124454	718.1425
EBAG9|9166	850.8197	EBAG9|9166	1278.9777
EBF1|1879	90.1639	EBF1|1879	38.1569
EBF2|64641	9.8361	lowly_expressed	lowly_expressed
EBF3|253738	23.7705	lowly_expressed	lowly_expressed
EBF4|57593	497.541	EBF4|57593	155.8675
lowly_expressed	lowly_expressed	EBI3|10148	32.0374
EBNA1BP2|10969	1143.9426	EBNA1BP2|10969	737.9086
EBPL|84650	370.4918	EBPL|84650	829.7336
EBP|10682	1018.0328	EBP|10682	935.9251
ECD|11319	930.3279	ECD|11319	699.784
ECE1|1889	6453.2787	ECE1|1889	11053.9957
ECE2|9718	97.541	ECE2|9718	75.9539
lowly_expressed	lowly_expressed	ECEL1|9427	112.671
ECH1|1891	1809.8361	ECH1|1891	3569.8344
ECHDC1|55862	645.082	ECHDC1|55862	720.3024
ECHDC2|55268	475.4098	ECHDC2|55268	1102.5918
ECHDC3|79746	88.5246	ECHDC3|79746	459.6832
ECHS1|1892	2230.3279	ECHS1|1892	2767.8186
ECM1|1893	1064.7541	ECM1|1893	2134.9892
ECM2|1842	444.2623	ECM2|1842	105.1116
ECSCR|641700	16.3934	ECSCR|641700	37.077
ECSIT|51295	309.0164	ECSIT|51295	646.8683
ECT2|1894	1481.9672	ECT2|1894	301.6559
EDA2R|60401	239.3443	EDA2R|60401	269.9784
EDARADD|128178	999.1803	EDARADD|128178	28.7977
EDAR|10913	5.7377	lowly_expressed	lowly_expressed
EDA|1896	57.376999999999995	EDA|1896	56.8754
EDC3|80153	908.1967	EDC3|80153	740.4608
EDC4|23644	1707.6066	EDC4|23644	1319.6832
EDEM1|9695	1201.6393	EDEM1|9695	1005.7595
EDEM2|55741	481.9672	EDEM2|55741	719.5824
EDEM3|80267	1463.9344	EDEM3|80267	1491.7207
EDF1|8721	1664.7541	EDF1|8721	5526.9978
EDIL3|10085	458.1967	EDIL3|10085	125.27
EDN1|1906	49.1803	EDN1|1906	23.7581
EDN2|1907	37.7049	EDN2|1907	230.7415
EDNRA|1909	1209.8361	EDNRA|1909	359.6112
EDNRB|1910	139.3443	EDNRB|1910	1043.9165
EEA1|8411	709.0164	EEA1|8411	404.2477
EED|8726	255.7377	EED|8726	202.6638
EEF1A1P9|441032	5226.2295	EEF1A1P9|441032	5662.706999999999
EEF1A1|1915	73127.8689	EEF1A1|1915	57673.8661
EEF1A2|1917	6845.9016	EEF1A2|1917	31122.0302
EEF1B2|1933	2286.0656	EEF1B2|1933	2970.1224
EEF1D|1936	7377.0492	EEF1D|1936	26712.743
EEF1E1|9521	308.1967	EEF1E1|9521	209.8632
EEF1G|1937	7662.2951	EEF1G|1937	9546.7963
EEF2K|29904	1221.3115	EEF2K|29904	1057.5954
EEF2|1938	46109.0164	EEF2|1938	51070.9143
EEFSEC|60678	477.8115	EEFSEC|60678	358.3045
EEPD1|80820	53.2787	EEPD1|80820	296.9762
lowly_expressed	lowly_expressed	EFCAB10|100130771	11.5587
EFCAB1|79645	6.5574	lowly_expressed	lowly_expressed
EFCAB2|84288	74.5902	EFCAB2|84288	111.95100000000001
EFCAB4A|283229	365.5738	EFCAB4A|283229	1835.8531
EFCAB4B|84766	72.9508	EFCAB4B|84766	243.7005
EFCAB6|64800	29.5082	EFCAB6|64800	27.7178
EFCAB7|84455	291.8033	EFCAB7|84455	175.30599999999998
EFEMP1|2202	781.1475	EFEMP1|2202	967.2426
EFEMP2|30008	763.9344	EFEMP2|30008	519.4384
EFHA1|221154	1590.9836	EFHA1|221154	739.3808
EFHA2|286097	40.9836	EFHA2|286097	59.0353
EFHB|151651	6.5574	EFHB|151651	8.2793
EFHC1|114327	341.8033	EFHC1|114327	319.6544
EFHD1|80303	4736.8852	EFHD1|80303	5020.5184
EFHD2|79180	493.4426	EFHD2|79180	1306.6955
EFNA1|1942	1522.9508	EFNA1|1942	8390.5688
lowly_expressed	lowly_expressed	EFNA2|1943	10.7991
EFNA3|1944	212.2951	EFNA3|1944	1015.1728
EFNA4|1945	212.2951	EFNA4|1945	245.8063
EFNA5|1946	78.6885	EFNA5|1946	477.6818
EFNB1|1947	869.6721	EFNB1|1947	917.2066
EFNB2|1948	434.4262	EFNB2|1948	2280.7775
EFNB3|1949	304.918	EFNB3|1949	213.8229
EFR3A|23167	2638.5246	EFR3A|23167	1809.2153
EFR3B|22979	339.3443	EFR3B|22979	7.1994
EFS|10278	1339.3443	EFS|10278	811.7351
EFTUD1|79631	927.0492	EFTUD1|79631	756.2995
EFTUD2|9343	1681.7377	EFTUD2|9343	1978.0418
EGFL6|25975	18.8525	lowly_expressed	lowly_expressed
EGFL7|51162	85.2459	EGFL7|51162	1167.7466
EGFL8|80864	55.0	EGFL8|80864	319.9424
EGFLAM|133584	77.8689	EGFLAM|133584	29.8776
EGFR|1956	122.1311	EGFR|1956	174.8668
EGF|1950	14.7541	EGF|1950	294.8164
EGLN1|54583	998.3607	EGLN1|54583	1614.4708
EGLN2|112398	909.0164	EGLN2|112398	1659.8524
EGLN3|112399	736.0656	EGLN3|112399	952.8438
EGOT|100126791	5.7377	EGOT|100126791	8.2793
EGR1|1958	3109.0164	EGR1|1958	1313.8949
EGR2|1959	280.3279	EGR2|1959	65.1548
EGR3|1960	347.541	EGR3|1960	239.0209
EHBP1L1|254102	190.9836	EHBP1L1|254102	1532.7574
EHBP1|23301	868.8525	EHBP1|23301	777.5269999999999
EHD1|10938	576.2295	EHD1|10938	978.0418
EHD2|30846	1536.0656	EHD2|30846	1500.0
EHD3|30845	327.0492	EHD3|30845	299.496
EHD4|30844	1110.6557	EHD4|30844	1016.9186
EHF|26298	117.2131	EHF|26298	762.419
EHHADH|1962	186.0656	EHHADH|1962	145.0684
EHMT1|79813	1097.5410000000002	EHMT1|79813	601.8719
EHMT2|10919	1187.7049	EHMT2|10919	1570.1944
EI24|9538	1918.0328	EI24|9538	2212.743
EID1|23741	5003.2787	EID1|23741	3100.7919
EID2B|126272	38.5246	EID2B|126272	52.9158
EID2|163126	261.4754	EID2|163126	187.545
EID3|493861	31.1475	lowly_expressed	lowly_expressed
EIF1AD|84285	511.4754	EIF1AD|84285	529.8776
EIF1AX|1964	2884.4262	EIF1AX|1964	1546.4363
EIF1B|10289	870.4918	EIF1B|10289	805.6156
EIF1|10209	7773.7705	EIF1|10209	20912.887
EIF2AK1|27102	5514.918000000001	EIF2AK1|27102	6925.6731
EIF2AK2|5610	423.7705	EIF2AK2|5610	337.293
EIF2AK3|9451	764.7541	EIF2AK3|9451	875.09
EIF2AK4|440275	1218.0328	EIF2AK4|440275	797.6962
EIF2A|83939	2107.377	EIF2A|83939	1862.851
EIF2B1|1967	1115.5738	EIF2B1|1967	825.414
EIF2B2|8892	824.5902	EIF2B2|8892	986.6811
EIF2B3|8891	478.6885	EIF2B3|8891	435.9251
EIF2B4|8890	678.6885	EIF2B4|8890	914.6868
EIF2B5|8893	1390.1639	EIF2B5|8893	645.0684
EIF2C1|26523	1063.1148	EIF2C1|26523	503.2397
EIF2C2|27161	225.4098	EIF2C2|27161	399.2081
EIF2C3|192669	164.7541	EIF2C3|192669	84.2333
EIF2C4|192670	786.8852	EIF2C4|192670	265.6587
EIF2S1|1965	2101.6393	EIF2S1|1965	1443.1246
EIF2S2|8894	1527.0492	EIF2S2|8894	2034.5572
EIF2S3|1968	5928.6885	EIF2S3|1968	8238.6609
EIF3A|8661	6036.8852	EIF3A|8661	6823.9741
EIF3B|8662	3816.3934	EIF3B|8662	4877.6098
EIF3CL|728689	4726.6311	EIF3CL|728689	7729.784000000001
EIF3C|8663	209.4344	EIF3C|8663	94.55
EIF3D|8664	2878.6885	EIF3D|8664	4420.8063
EIF3E|3646	7611.4754	EIF3E|3646	12769.9784
EIF3F|8665	2356.5574	EIF3F|8665	2893.0886
EIF3G|8666	1585.9836	EIF3G|8666	2876.1411
EIF3H|8667	5985.2459	EIF3H|8667	10029.1577
EIF3I|8668	5138.5246	EIF3I|8668	3047.9986
EIF3J|8669	1638.5246	EIF3J|8669	1880.1296
EIF3K|27335	2300.8197	EIF3K|27335	2574.874
EIF3L|51386	3846.7213	EIF3L|51386	5265.6587
EIF3M|10480	2667.0	EIF3M|10480	3283.5493
EIF4A1|1973	9143.4918	EIF4A1|1973	8332.8942
EIF4A2|1974	15476.2295	EIF4A2|1974	18032.3974
EIF4A3|9775	3915.5738	EIF4A3|9775	2845.2124
EIF4B|1975	8935.0574	EIF4B|1975	14309.0353
EIF4E2|9470	990.1639	EIF4E2|9470	871.4903
EIF4E3|317649	645.9016	EIF4E3|317649	467.9626
EIF4EBP1|1978	3532.7869	EIF4EBP1|1978	8510.4392
EIF4EBP2|1979	4309.8361	EIF4EBP2|1979	3157.3074
EIF4EBP3|8637	144.9344	EIF4EBP3|8637	630.0504
EIF4ENIF1|56478	594.2623	EIF4ENIF1|56478	627.0698
EIF4E|1977	969.6721	EIF4E|1977	511.5191
EIF4G1|1981	7021.3115	EIF4G1|1981	5500.36
EIF4G2|1982	24393.4426	EIF4G2|1982	15474.0821
EIF4G3|8672	2121.3115	EIF4G3|8672	897.7682
EIF4H|7458	3751.6393	EIF4H|7458	4475.522
EIF5A2|56648	162.2951	EIF5A2|56648	29.5176
EIF5AL1|143244	881.1475	EIF5AL1|143244	748.0202
EIF5A|1984	3886.0656	EIF5A|1984	3878.3297
EIF5B|9669	3159.0164	EIF5B|9669	1298.0562
EIF5|1983	6059.8361	EIF5|1983	3711.3031
EIF6|3692	2349.1803	EIF6|3692	3732.5414
ELAC1|55520	59.5984	ELAC1|55520	39.9568
ELAC2|60528	860.6557	ELAC2|60528	608.3513
ELAVL1|1994	2225.4098	ELAVL1|1994	1546.7963
ELAVL2|1993	144.2623	ELAVL2|1993	20.1584
ELF1|1997	3533.6066	ELF1|1997	1180.3456
ELF2|1998	1086.8852	ELF2|1998	657.6674
ELF3|1999	4195.9016	ELF3|1999	16188.9849
ELF4|2000	681.9672	ELF4|2000	696.5443
ELF5|2001	9.8361	ELF5|2001	468.6825
ELFN1|392617	18.0328	ELFN1|392617	129.5896
ELFN2|114794	7.377000000000001	ELFN2|114794	38.5169
ELK1|2002	845.9016	ELK1|2002	956.4435
ELK3|2004	438.5246	ELK3|2004	294.8164
ELK4|2005	75.4098	ELK4|2005	102.9518
ELL2|22936	857.377	ELL2|22936	4306.3355
ELL3|80237	265.1639	ELL3|80237	637.2102
ELL|8178	284.4262	ELL|8178	971.2023
ELMO1|9844	115.5738	ELMO1|9844	66.5947
ELMO2|63916	1499.1803	ELMO2|63916	1753.0598
ELMO3|79767	778.6885	ELMO3|79767	2949.9640000000004
ELMOD2|255520	315.5738	ELMOD2|255520	283.2973
ELMOD3|84173	468.8525	ELMOD3|84173	557.5954
ELN|2006	833.6066	ELN|2006	462.56300000000005
ELOF1|84337	586.0656	ELOF1|84337	956.0835
ELOVL1|64834	2094.2623	ELOVL1|64834	1345.2124
ELOVL2|54898	2617.2131	ELOVL2|54898	670.6263
ELOVL3|83401	34.4262	lowly_expressed	lowly_expressed
ELOVL4|6785	41.8033	ELOVL4|6785	11.1591
ELOVL5|60481	4072.9508	ELOVL5|60481	6137.149
ELOVL6|79071	468.0328	ELOVL6|79071	752.3398
ELOVL7|79993	131.1475	ELOVL7|79993	111.5911
ELP2P|100131454	7.377000000000001	ELP2P|100131454	14.7588
ELP2|55250	1646.7213	ELP2|55250	976.9618
ELP3|55140	681.1475	ELP3|55140	649.0281
ELP4|26610	272.9508	ELP4|26610	170.6263
ELTD1|64123	264.7541	ELTD1|64123	234.3413
EMB|133418	961.4754	EMB|133418	272.8582
EMCN|51705	160.6557	EMCN|51705	81.7135
EMD|2010	1118.0328	EMD|2010	1435.2052
EME1|146956	25.6721	EME1|146956	17.6674
EME2|197342	7.377000000000001	EME2|197342	43.9165
EMG1|10436	508.1967	EMG1|10436	361.2527
EMID1|129080	47.541000000000004	EMID1|129080	126.3499
EMILIN1|11117	567.2131	EMILIN1|11117	1799.856
EMILIN2|84034	67.2131	EMILIN2|84034	74.514
lowly_expressed	lowly_expressed	EMILIN3|90187	9.3665
EML1|2009	317.2131	EML1|2009	208.7833
EML2|24139	2020.4918	EML2|24139	5978.8301
EML3|256364	426.2295	EML3|256364	982.0014
EML4|27436	797.541	EML4|27436	679.6256
EML5|161436	123.7705	EML5|161436	17.9986
EML6|400954	21.3115	EML6|400954	23.3981
EMP1|2012	2368.0328	EMP1|2012	2640.7487
EMP2|2013	5510.6557	EMP2|2013	3891.6487
EMP3|2014	544.2623	EMP3|2014	179.2657
lowly_expressed	lowly_expressed	EMR1|2015	6.4795
EMR2|30817	31.9672	EMR2|30817	48.5961
lowly_expressed	lowly_expressed	EMX1|2016	7.9194
EMX2OS|196047	9.8361	lowly_expressed	lowly_expressed
EMX2|2018	7.377000000000001	lowly_expressed	lowly_expressed
EN1|2019	13.1148	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	EN2|2020	18.7185
ENAH|55740	3659.0164	ENAH|55740	3713.8229
lowly_expressed	lowly_expressed	ENAM|10117	7.9194
ENC1|8507	1054.9180000000001	ENC1|8507	312.1562
ENDOD1|23052	922.1311	ENDOD1|23052	247.6602
ENDOG|2021	116.5082	ENDOG|2021	197.257
ENGASE|64772	590.9836	ENGASE|64772	2541.3967
ENG|2022	842.623	ENG|2022	4295.1764
ENHO|375704	91.8033	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ENKUR|219670	17.6386
ENO1|2023	7604.0984	ENO1|2023	16864.6508
ENO2|2026	1514.7541	ENO2|2026	2541.3967
ENO3|2027	17.2131	ENO3|2027	93.5925
ENOPH1|58478	1397.5410000000002	ENOPH1|58478	1078.8337
ENOSF1|55556	335.2787	ENOSF1|55556	343.9597
ENOX1|55068	215.5738	ENOX1|55068	68.7545
ENOX2|10495	464.7541	ENOX2|10495	423.3261
ENPEP|2028	132.7869	ENPEP|2028	522.6782
ENPP1|5167	1641.8033	ENPP1|5167	220.3024
ENPP2|5168	190.1639	ENPP2|5168	324.694
ENPP3|5169	10.6557	lowly_expressed	lowly_expressed
ENPP4|22875	95.9016	ENPP4|22875	97.1922
ENPP5|59084	250.8197	ENPP5|59084	29.1577
ENPP6|133121	22.9508	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ENPP7|339221	9.3593
ENSA|2029	4409.0164	ENSA|2029	8569.8344
ENTPD1|953	1237.6967	ENTPD1|953	349.1721
ENTPD2|954	179.5082	ENTPD2|954	376.8898
ENTPD3|956	52.458999999999996	ENTPD3|956	107.2714
ENTPD4|9583	281.9672	ENTPD4|9583	244.7804
ENTPD5|957	351.541	ENTPD5|957	66.9978
ENTPD6|955	998.3607	ENTPD6|955	1520.5184
ENTPD7|57089	498.7951	ENTPD7|57089	193.2001
ENTPD8|377841	24.5902	ENTPD8|377841	66.5947
ENY2|56943	763.1148	ENY2|56943	1094.6724
EP300|2033	2620.4918	EP300|2033	1402.0878
EP400NL|347918	245.082	EP400NL|347918	398.1281
EP400|57634	2181.1475	EP400|57634	1299.856
EPAS1|2034	1307.377	EPAS1|2034	8218.1425
EPB41L1|2036	1559.8361	EPB41L1|2036	1891.6487
EPB41L2|2037	1234.4262	EPB41L2|2037	279.3377
EPB41L3|23136	125.4098	EPB41L3|23136	514.0389
EPB41L4A|64097	563.1148	EPB41L4A|64097	212.743
EPB41L4B|54566	49.1803	EPB41L4B|54566	305.6156
EPB41L5|57669	872.1311	EPB41L5|57669	836.5731
EPB41|2035	1717.7951	EPB41|2035	899.7192
EPB49|2039	282.7869	EPB49|2039	499.64
EPC1|80314	777.0492	EPC1|80314	368.6105
EPC2|26122	956.5574	EPC2|26122	399.56800000000004
EPCAM|4072	5276.2295	EPCAM|4072	5779.3377
EPDR1|54749	403.2787	EPDR1|54749	374.0101
EPHA10|284656	88.5246	EPHA10|284656	74.874
EPHA1|2041	266.3934	EPHA1|2041	650.4680000000001
EPHA2|1969	159.0164	EPHA2|1969	282.9374
EPHA3|2042	36.8852	EPHA3|2042	76.3139
EPHA4|2043	171.3115	EPHA4|2043	14.3988
EPHA6|285220	29.5082	lowly_expressed	lowly_expressed
EPHA7|2045	293.4426	EPHA7|2045	10.0792
EPHA8|2046	9.0164	lowly_expressed	lowly_expressed
EPHB1|2047	15.5738	EPHB1|2047	11.879000000000001
EPHB2|2048	163.1148	EPHB2|2048	212.743
EPHB3|2049	1055.7377	EPHB3|2049	337.293
EPHB4|2050	2027.0492	EPHB4|2050	1867.5306
EPHB6|2051	466.3934	EPHB6|2051	33.1174
EPHX1|2052	1863.9344	EPHX1|2052	10443.1246
EPHX2|2053	79.5082	EPHX2|2053	75.594
EPHX4|253152	28.6885	lowly_expressed	lowly_expressed
EPM2AIP1|9852	1261.4754	EPM2AIP1|9852	503.9597
EPM2A|7957	163.9344	EPM2A|7957	78.4737
EPN1|29924	3503.2787	EPN1|29924	5623.8301
EPN2|22905	738.5246	EPN2|22905	763.1389
EPN3|55040	411.4754	EPN3|55040	1678.9057
EPOR|2057	27.0492	EPOR|2057	157.1238
lowly_expressed	lowly_expressed	EPO|2056	308.1353
EPPK1|83481	388.5246	EPPK1|83481	226.7819
EPR1|8475	907.7869	EPR1|8475	483.5565
EPRS|2058	3019.6721	EPRS|2058	2319.2945
EPS15L1|58513	1240.9836	EPS15L1|58513	1451.7639
EPS15|2060	1574.5902	EPS15|2060	1007.1994
EPS8L1|54869	1022.9508	EPS8L1|54869	2204.1037
EPS8L2|64787	1504.0984	EPS8L2|64787	4587.473
lowly_expressed	lowly_expressed	EPS8L3|79574	9.3593
EPS8|2059	1281.9672	EPS8|2059	1151.1879
EPSTI1|94240	138.5246	EPSTI1|94240	106.5515
EPT1|85465	2206.5328	EPT1|85465	1690.7811
EPYC|1833	39.3443	lowly_expressed	lowly_expressed
ERAL1|26284	1654.918	ERAL1|26284	1377.9698
ERAP1|51752	1032.6393	ERAP1|51752	930.1836
ERAP2|64167	31.1475	ERAP2|64167	56.8754
ERBB2IP|55914	1621.3115	ERBB2IP|55914	1086.0331
ERBB2|2064	7074.5902	ERBB2|2064	11172.7862
ERBB3|2065	11220.4918	ERBB3|2065	6681.7855
ERBB4|2066	647.5409999999999	ERBB4|2066	7.5594
ERC1|23085	982.7869	ERC1|23085	325.7739
ERC2|26059	57.376999999999995	ERC2|26059	33.1174
ERCC1|2067	1474.8279	ERCC1|2067	1757.3182
ERCC2|2068	733.9098	ERCC2|2068	976.7711
ERCC3|2071	1074.5902	ERCC3|2071	942.4046
ERCC4|2072	366.3934	ERCC4|2072	191.5047
ERCC5|2073	1267.8115	ERCC5|2073	1512.599
ERCC6L|54821	152.459	ERCC6L|54821	19.0785
ERCC6|2074	292.9918	ERCC6|2074	132.257
ERCC8|1161	261.4754	ERCC8|1161	188.9849
EREG|2069	9.0164	EREG|2069	101.1519
ERF|2077	2255.7377	ERF|2077	5401.7279
ERGIC1|57222	4525.4098	ERGIC1|57222	3517.2786
ERGIC2|51290	704.0984	ERGIC2|51290	617.3506
ERGIC3|51614	4104.918	ERGIC3|51614	6289.0569
ERG|2078	141.8033	ERG|2078	97.9122
ERH|2079	2572.1311	ERH|2079	1771.7783
ERI1|90459	246.7213	ERI1|90459	196.9042
ERI2|112479	641.7295	ERI2|112479	286.7351
ERI3|79033	940.1639	ERI3|79033	702.3038
ERICH1|157697	178.6885	ERICH1|157697	248.0202
ERLEC1|27248	1581.9672	ERLEC1|27248	1933.7653
ERLIN1|10613	1154.0984	ERLIN1|10613	1324.694
ERLIN2|11160	13109.0164	ERLIN2|11160	7577.0338
ERMAP|114625	654.0984	ERMAP|114625	288.6969
ERMN|57471	208.1967	lowly_expressed	lowly_expressed
ERMP1|79956	2132.1148	ERMP1|79956	1120.9827
ERN1|2081	80.3279	ERN1|2081	606.5515
lowly_expressed	lowly_expressed	ERN2|10595	5.7595
ERO1LB|56605	268.0328	ERO1LB|56605	196.1843
ERO1L|30001	895.082	ERO1L|30001	1978.4017
ERP27|121506	86.0656	ERP27|121506	356.7315
ERP29|10961	1600.0	ERP29|10961	2461.1231
ERP44|23071	986.0656	ERP44|23071	1485.6012
ERRFI1|54206	2263.9344	ERRFI1|54206	7007.1994
ESAM|90952	290.1639	ESAM|90952	459.6832
ESCO1|114799	1003.2787	ESCO1|114799	327.2138
ESCO2|157570	132.7869	ESCO2|157570	16.5587
ESD|2098	2035.2459	ESD|2098	1970.4824
ESF1|51575	473.7705	ESF1|51575	334.7732
ESM1|11082	134.4262	ESM1|11082	35.9971
ESPL1|9700	486.0656	ESPL1|9700	127.7898
lowly_expressed	lowly_expressed	ESPNP|284729	18.3585
ESPN|83715	136.8852	ESPN|83715	540.3168
ESR1|2099	10767.2131	ESR1|2099	2115.9107
ESR2|2100	11.4754	ESR2|2100	9.7192
ESRP1|54845	4321.3115	ESRP1|54845	4457.8834
ESRP2|80004	1736.8852	ESRP2|80004	877.9698
ESRRA|2101	146.7213	ESRRA|2101	1026.2779
ESRRG|2104	88.5246	ESRRG|2104	273.2181
ESYT1|23344	4501.6393	ESYT1|23344	1919.0065
ESYT2|57488	4078.6885	ESYT2|57488	3379.0497
ETAA1|54465	414.7541	ETAA1|54465	282.2174
ETF1|2107	3800.8197	ETF1|2107	3083.5133
ETFA|2108	1148.3607	ETFA|2108	1507.5594
ETFB|2109	2056.5574	ETFB|2109	5925.486
ETFDH|2110	262.2951	ETFDH|2110	341.2527
ETHE1|23474	2218.0328	ETHE1|23474	2375.0864
