gene_id	TCGA-E2-A1LS-01A-12R-A157-07	gene_id	TCGA-E2-A1LS-11A-32R-A157-07
ACAD11|84129	497.4975	ACAD11|84129	1492.7383
ACAD8|27034	276.2763	ACAD8|27034	658.5408
ACAD9|28976	923.4234	ACAD9|28976	1605.4017
lowly_expressed	lowly_expressed	ACADL|33	829.754
ACADM|34	578.0781	ACADM|34	3249.345
ACADSB|36	382.3824	ACADSB|36	2015.2758
ACADS|35	130.1301	ACADS|35	1887.4218
ACADVL|37	1211.2112	ACADVL|37	9335.5223
ACAN|176	42.5425	lowly_expressed	lowly_expressed
ACAP1|9744	8.5085	ACAP1|9744	26.6826
ACAP2|23527	698.6987	ACAP2|23527	1811.4505
ACAP3|116983	534.0541	ACAP3|116983	420.9918
ACAT1|38	674.6747	ACAT1|38	5532.5583
ACAT2|39	651.992	ACAT2|39	401.9323
ACBD3|64746	2283.2833	ACBD3|64746	1490.1478
ACBD4|79777	31.031	ACBD4|79777	262.7493
ACBD5|91452	561.0611	ACBD5|91452	1313.7463
ACBD6|84320	888.8889	ACBD6|84320	381.7091
ACBD7|414149	39.5395	ACBD7|414149	5.9295
ACCN2|41	628.1281	ACCN2|41	147.8659
lowly_expressed	lowly_expressed	ACCN3|9311	7.7824
ACCS|84680	334.8348	ACCS|84680	220.5019
ACD|65057	277.2773	ACD|65057	196.0428
ACE2|59272	344.8448	ACE2|59272	17.4178
ACER2|340485	10.01	ACER2|340485	442.8567
ACER3|55331	1529.029	ACER3|55331	1822.9389
ACE|1636	227.7277	ACE|1636	1105.8446
lowly_expressed	lowly_expressed	ACHE|43	31.1297
ACIN1|22985	1708.2082	ACIN1|22985	2669.7401
ACLY|47	1532.5325	ACLY|47	9580.5276
ACN9|57001	274.7748	ACN9|57001	156.3896
ACO1|48	1164.1642	ACO1|48	14172.5251
ACO2|50	3384.9199	ACO2|50	6403.737
ACOT11|26027	12.5125	ACOT11|26027	10.5137
ACOT13|55856	1468.2883	ACOT13|55856	873.1688
ACOT1|641371	210.7107	ACOT1|641371	3402.3992
ACOT2|10965	109.6096	ACOT2|10965	1934.8575
ACOT4|122970	51.0511	ACOT4|122970	316.1144
lowly_expressed	lowly_expressed	ACOT6|641372	23.7178
ACOT7|11332	178.6787	ACOT7|11332	208.6429
ACOT8|10005	595.976	ACOT8|10005	196.9063
ACOT9|23597	448.9489	ACOT9|23597	648.9055
ACOX1|51	810.8108	ACOX1|51	6823.1649
ACOX2|8309	25.5255	ACOX2|8309	839.0188
ACOX3|8310	389.3894	ACOX3|8310	307.9614
ACP1|52	3522.5225	ACP1|52	1159.9509
ACP2|53	509.5095	ACP2|53	664.8409
ACP5|54	27.027	ACP5|54	53.3652
ACP6|51205	291.2913	ACP6|51205	261.2669
ACPL2|92370	425.9259	ACPL2|92370	189.0016
ACPP|55	112.1121	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACRBP|84519	13.7119
ACRC|93953	21.021	ACRC|93953	37.8003
ACR|49	9.5095	ACR|49	9.2648
ACSBG1|23205	9.009	ACSBG1|23205	17.0472
ACSF2|80221	50.5506	ACSF2|80221	1286.6932
ACSF3|197322	227.7277	ACSF3|197322	305.7379
ACSL1|2180	2707.2072	ACSL1|2180	83843.3288
ACSL3|2181	4364.3644	ACSL3|2181	1908.5455
ACSL4|2182	662.1622	ACSL4|2182	3456.8761
ACSL5|51703	497.4975	ACSL5|51703	719.6884
ACSM1|116285	20.02	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSM2A|123876	8.153
lowly_expressed	lowly_expressed	ACSM2B|348158	6.3001
ACSM3|6296	166.6717	ACSM3|6296	5.2995
ACSM5|54988	5.5055	ACSM5|54988	1303.7404
ACSS1|84532	1054.0541	ACSS1|84532	309.8144
ACSS2|55902	2052.0521	ACSS2|55902	7312.5086
ACSS3|79611	285.2853	ACSS3|79611	2515.9447
ACTA2|59	4019.8098	ACTA2|59	5662.4135
ACTBL2|345651	6.5065	lowly_expressed	lowly_expressed
ACTB|60	195169.6697	ACTB|60	58153.9362
lowly_expressed	lowly_expressed	ACTC1|70	13.7119
ACTG1|71	54507.5075	lowly_expressed	lowly_expressed
ACTG2|72	503.5035	ACTG2|72	815.301
ACTL6A|86	1397.3974	ACTL6A|86	586.6461
ACTL8|81569	23.5235	lowly_expressed	lowly_expressed
ACTN1|87	3188.1882	ACTN1|87	5035.9659
ACTN2|88	18.5185	lowly_expressed	lowly_expressed
ACTN4|81	8801.2813	ACTN4|81	7361.5341
ACTR10|55860	642.1421	ACTR10|55860	1291.8815
ACTR1A|10121	1070.5706	ACTR1A|10121	2985.1133
ACTR1B|10120	1212.2122	ACTR1B|10120	1238.8869
ACTR2|10097	5991.4915	ACTR2|10097	5829.0314
ACTR3B|57180	2013.5135	ACTR3B|57180	111.548
ACTR3C|653857	65.5656	ACTR3C|653857	11.1177
ACTR3|10096	6486.4865	ACTR3|10096	2472.2149
ACTR5|79913	195.6957	ACTR5|79913	143.7894
ACTR6|64431	922.4224	ACTR6|64431	589.2403
ACTR8|93973	407.4074	ACTR8|93973	475.8393
ACVR1B|91	1780.2803	ACVR1B|91	937.9667
lowly_expressed	lowly_expressed	ACVR1C|130399	6231.4936
ACVR1|90	1573.5736	ACVR1|90	1406.7648
ACVR2A|92	850.3504	ACVR2A|92	579.6049
ACVR2B|93	438.4384	ACVR2B|93	264.2316
ACVRL1|94	229.7297	ACVRL1|94	1175.8864
ACY1|95	664.1642	ACY1|95	1080.9779
ACY3|91703	77.0771	lowly_expressed	lowly_expressed
ACYP1|97	40.04	ACYP1|97	37.8003
ACYP2|98	837.8378	ACYP2|98	249.7786
ADAL|161823	245.2452	ADAL|161823	291.6554
ADAM10|102	1135.6356	ADAM10|102	949.0845
lowly_expressed	lowly_expressed	ADAM11|4185	8.5236
ADAM12|8038	454.955	ADAM12|8038	2364.3728
ADAM15|8751	6507.037	ADAM15|8751	2539.2919
ADAM17|6868	553.0531	ADAM17|6868	474.7275
ADAM19|8728	76.5766	ADAM19|8728	92.6478
ADAM22|53616	17.017	ADAM22|53616	181.5898
lowly_expressed	lowly_expressed	ADAM23|8745	18.159
ADAM28|10863	71.0711	ADAM28|10863	20.7531
ADAM32|203102	375.8759	ADAM32|203102	29.6473
lowly_expressed	lowly_expressed	ADAM33|80332	467.9902
ADAM6|8755	1046.0711	ADAM6|8755	80.1663
ADAM8|101	12.012	ADAM8|101	26.312
ADAM9|8754	545.5455	ADAM9|8754	1570.5662
ADAMDEC1|27299	6.006	lowly_expressed	lowly_expressed
ADAMTS10|81794	28.028	ADAMTS10|81794	141.1953
ADAMTS12|81792	10.01	ADAMTS12|81792	813.0774
ADAMTS13|11093	14.5145	ADAMTS13|11093	38.5415
ADAMTS14|140766	8.5085	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAMTS15|170689	237.9196
ADAMTS16|170690	5.005	ADAMTS16|170690	121.554
ADAMTS17|170691	7.007	ADAMTS17|170691	17.7884
ADAMTS18|170692	6.5065	ADAMTS18|170692	339.0911
ADAMTS19|171019	102.1021	lowly_expressed	lowly_expressed
ADAMTS1|9510	1986.987	ADAMTS1|9510	9696.5227
ADAMTS2|9509	23.5235	ADAMTS2|9509	702.2706
ADAMTS3|9508	157.1572	ADAMTS3|9508	148.9777
ADAMTS4|9507	1399.3994	ADAMTS4|9507	824.1952
ADAMTS5|11096	69.0691	ADAMTS5|11096	3064.4199
ADAMTS6|11174	14.5145	ADAMTS6|11174	30.0179
ADAMTS7|11173	22.5225	ADAMTS7|11173	129.707
ADAMTS8|11095	8.5085	ADAMTS8|11095	9.6354
ADAMTS9|56999	1384.8849	ADAMTS9|56999	963.5375
ADAMTSL1|92949	32.032	ADAMTSL1|92949	417.2859
ADAMTSL2|9719	42.5425	ADAMTSL2|9719	65.5947
ADAMTSL3|57188	21.021	ADAMTSL3|57188	771.9418
ADAMTSL4|54507	28.028	ADAMTSL4|54507	902.7605
lowly_expressed	lowly_expressed	ADAMTSL5|339366	24.459
lowly_expressed	lowly_expressed	ADAP1|11033	58.7165
ADAP2|55803	86.0861	ADAP2|55803	104.1362
ADARB1|104	703.2032	ADARB1|104	734.8827
ADAR|103	5809.3093	ADAR|103	5048.566
ADAT1|23536	191.1912	ADAT1|23536	250.1492
ADAT2|134637	313.8138	ADAT2|134637	104.8774
ADAT3|113179	10.01	ADAT3|113179	5.5589
ADA|100	86.0861	ADA|100	197.8958
ADCK1|57143	111.6116	ADCK1|57143	163.4308
ADCK2|90956	592.6026	ADCK2|90956	476.2099
ADCK4|79934	303.8038	ADCK4|79934	309.0732
ADCK5|203054	35.5355	ADCK5|203054	42.618
ADCY10|55811	6.006	lowly_expressed	lowly_expressed
ADCY1|107	48.048	ADCY1|107	168.6191
ADCY2|108	5.005	ADCY2|108	90.4243
ADCY3|109	231.962	ADCY3|109	1374.2194
ADCY4|196883	29.029	ADCY4|196883	655.5761
lowly_expressed	lowly_expressed	ADCY5|111	652.2408
ADCY6|112	1124.1241	ADCY6|112	7875.8074
ADCY7|113	779.2793	ADCY7|113	589.9814
ADCY9|115	264.2643	ADCY9|115	602.2109
lowly_expressed	lowly_expressed	ADCYAP1R1|117	159.3543
lowly_expressed	lowly_expressed	ADCYAP1|116	6.6706
ADC|113451	67.5676	ADC|113451	52.624
ADD1|118	1917.9179	ADD1|118	8471.3477
lowly_expressed	lowly_expressed	ADD2|119	18.159
ADD3|120	873.3734	ADD3|120	3831.9146
lowly_expressed	lowly_expressed	ADH1A|124	735.4608
ADH1B|125	19.5195	ADH1B|125	103601.4068
lowly_expressed	lowly_expressed	ADH1C|126	1033.9499
lowly_expressed	lowly_expressed	ADH4|127	44.1004
ADH5|128	4652.1522	ADH5|128	5707.848
lowly_expressed	lowly_expressed	ADH6|130	5.5589
ADHFE1|137872	86.0861	ADHFE1|137872	853.8425
ADI1|55256	3629.6296	ADI1|55256	2282.4721
ADIPOQ|9370	8.5085	ADIPOQ|9370	143240.9696
ADIPOR1|51094	11477.4775	ADIPOR1|51094	2399.9496
ADIPOR2|79602	1636.6366	ADIPOR2|79602	7861.725
ADK|132	11.5115	ADK|132	576.2696
ADM2|79924	563.0631	ADM2|79924	13.3413
ADM|133	8.008	ADM|133	1045.8088
ADNP2|22850	1758.7588	ADNP2|22850	869.4073
ADNP|23394	4383.3834	ADNP|23394	2378.4553
ADORA1|134	1786.2863	ADORA1|134	671.8821
ADORA2A|135	22.5225	ADORA2A|135	53.3652
ADORA2B|136	15.5155	lowly_expressed	lowly_expressed
ADORA3|140	53.0531	ADORA3|140	6.3001
ADO|84890	521.021	ADO|84890	555.1458
ADPGK|83440	1667.5175	ADPGK|83440	703.223
ADPRHL1|113622	163.1632	ADPRHL1|113622	65.9653
ADPRHL2|54936	253.2533	ADPRHL2|54936	383.562
ADPRH|141	318.3183	ADPRH|141	462.8686
ADRA1A|148	13.5135	ADRA1A|148	157.5013
ADRA1B|147	11.5115	ADRA1B|147	60.777
lowly_expressed	lowly_expressed	ADRA1D|146	5.9295
ADRA2A|150	19.5195	ADRA2A|150	2000.0815
ADRA2B|151	6.5065	ADRA2B|151	30.0179
lowly_expressed	lowly_expressed	ADRA2C|152	60.777
lowly_expressed	lowly_expressed	ADRB1|153	252.0021
ADRB2|154	5.005	ADRB2|154	776.7595
lowly_expressed	lowly_expressed	ADRB3|155	200.8605
ADRBK1|156	1089.5896	ADRBK1|156	1098.0622
ADRBK2|157	358.3584	ADRBK2|157	6629.8793
ADRM1|11047	1313.8138	ADRM1|11047	1108.8093
ADSL|158	1491.4915	ADSL|158	708.5707
lowly_expressed	lowly_expressed	ADSSL1|122622	1141.4214
ADSS|159	3140.6406	ADSS|159	695.6
AEBP1|165	2102.1021	AEBP1|165	6099.9337
AEBP2|121536	651.1512	AEBP2|121536	629.6347
AEN|64782	490.4905	AEN|64782	131.5599
AES|166	17196.1962	AES|166	4663.151
AFAP1L1|134265	155.6557	AFAP1L1|134265	1358.5879
AFAP1L2|84632	115.1151	AFAP1L2|84632	324.2674
AFAP1|60312	538.043	AFAP1|60312	1133.2165
lowly_expressed	lowly_expressed	AFARP1|246182	5.9295
AFF1|4299	1032.032	AFF1|4299	3968.2922
AFF2|2334	7.5075	AFF2|2334	397.2739
AFF3|3899	118.6186	AFF3|3899	441.3743
AFF4|27125	1676.1762	AFF4|27125	3189.3092
AFG3L1|172	556.0561	AFG3L1|172	146.7542
AFG3L2|10939	1231.3564	AFG3L2|10939	1668.2763
AFMID|125061	363.8639	AFMID|125061	201.9723
AFTPH|54812	1558.0581	AFTPH|54812	1014.3085
AG2|387763	177.1772	AG2|387763	1441.6004
AGAP11|119385	11.011	AGAP11|119385	431.0014
AGAP1|116987	467.968	AGAP1|116987	361.6972
AGAP2|116986	18.9489	AGAP2|116986	55.1032
AGAP3|116988	1187.6877	AGAP3|116988	1027.6498
AGAP4|119016	126.6266	AGAP4|119016	124.5187
AGAP5|729092	6.5516	AGAP5|729092	27.4831
AGAP6|414189	148.6486	AGAP6|414189	77.083
lowly_expressed	lowly_expressed	AGAP7|653268	5.1883
AGAP8|728404	19.5195	AGAP8|728404	41.8768
AGA|175	2162.1622	AGA|175	318.7086
AGBL2|79841	151.6517	AGBL2|79841	5.1883
AGBL3|340351	11.5115	AGBL3|340351	5.1883
AGBL4|84871	8.5085	AGBL4|84871	11.8589
AGBL5|60509	1948.959	AGBL5|60509	656.321
AGER|177	23.5235	AGER|177	33.7238
AGFG1|3267	3920.4204	AGFG1|3267	2520.0212
AGFG2|3268	160.1602	AGFG2|3268	352.803
AGGF1|55109	441.4414	AGGF1|55109	973.9141
AGK|55750	1684.6847	AGK|55750	652.6114
AGL|178	421.9219	AGL|178	2066.0468
AGMAT|79814	30.5305	AGMAT|79814	9.2648
AGPAT1|10554	2675.0551	AGPAT1|10554	1855.6028
AGPAT2|10555	324.8248	AGPAT2|10555	11865.2233
AGPAT3|56894	3579.5796	AGPAT3|56894	2553.3744
AGPAT4|56895	617.6176	AGPAT4|56895	176.0309
AGPAT5|55326	476.4765	AGPAT5|55326	246.0727
AGPAT6|137964	1157.6577	AGPAT6|137964	1825.9036
AGPAT9|84803	333.3333	AGPAT9|84803	860.1425
AGPHD1|123688	95.5956	AGPHD1|123688	85.236
AGPS|8540	818.8188	AGPS|8540	1993.7815
AGR2|10551	106.1061	lowly_expressed	lowly_expressed
AGR3|155465	14.5145	lowly_expressed	lowly_expressed
AGRN|375790	8735.7357	AGRN|375790	804.1832
AGTPBP1|23287	549.049	AGTPBP1|23287	675.588
AGTR1|185	6.006	AGTR1|185	1092.5033
AGTRAP|57085	899.3994	AGTRAP|57085	220.1313
AGT|183	668.6687	AGT|183	579.2343
AGXT2L2|85007	134.3944	AGXT2L2|85007	847.1829
lowly_expressed	lowly_expressed	AGXT|189	10.006
AHCTF1|25909	3091.0911	AHCTF1|25909	1761.7913
AHCYL1|10768	2037.5375	AHCYL1|10768	6145.887
AHCYL2|23382	786.2863	AHCYL2|23382	758.9711
AHCY|191	5185.1852	AHCY|191	1247.0399
AHDC1|27245	1160.1602	AHDC1|27245	393.1974
AHI1|54806	559.0591	AHI1|54806	540.6928
AHNAK2|113146	93.5936	AHNAK2|113146	841.9836
AHNAK|79026	10540.04	AHNAK|79026	128116.7733
AHRR|57491	20.02	AHRR|57491	120.4422
AHR|196	229.7297	AHR|196	1892.61
AHSA1|10598	1926.9269	AHSA1|10598	1634.3079
AHSA2|130872	382.3824	AHSA2|130872	366.1443
AIDA|64853	3585.5856	AIDA|64853	2617.1606
AIF1L|83543	2991.992	AIF1L|83543	2278.3956
AIF1|199	158.6587	AIF1|199	175.6603
AIFM1|9131	1401.4014	AIFM1|9131	1481.6242
AIFM2|84883	198.6987	AIFM2|84883	3454.6526
AIFM3|150209	34.1942	AIFM3|150209	5.4514
AIG1|51390	645.6456	AIG1|51390	1410.1001
AIM1L|55057	6.5065	lowly_expressed	lowly_expressed
AIM1|202	3909.9099	AIM1|202	2196.4949
AIMP1|9255	1942.8478	AIMP1|9255	1163.6568
AIMP2|7965	215.9359	AIMP2|7965	243.6638
AIP|9049	492.993	AIP|9049	685.2234
lowly_expressed	lowly_expressed	AJAP1|55966	10.006
AK1|203	181.6817	AK1|203	874.5956
AK2|204	4254.7548	AK2|204	2533.3588
AK3L1|205	93.0931	AK3L1|205	1168.1039
AK3|50808	1221.7217	AK3|50808	4116.1582
AK5|26289	33.5335	AK5|26289	23.3473
AK7|122481	8.008	AK7|122481	5.5589
AKAP10|11216	183.1832	AKAP10|11216	700.7882
AKAP11|11215	1101.1011	AKAP11|11215	3528.7709
AKAP12|9590	100.6006	AKAP12|9590	11157.3939
AKAP13|11214	5432.4324	AKAP13|11214	2878.0124
AKAP1|8165	1361.8619	AKAP1|8165	4990.0126
AKAP2|11217	323.1331	AKAP2|11217	3063.6602
AKAP3|10566	84.0841	AKAP3|10566	52.624
AKAP5|9495	13.5135	AKAP5|9495	23.7178
AKAP6|9472	47.047	AKAP6|9472	147.4954
AKAP7|9465	164.1642	AKAP7|9465	407.2799
AKAP8L|26993	491.992	AKAP8L|26993	526.2397
AKAP8|10270	502.002	AKAP8|10270	525.4985
AKAP9|10142	3897.3974	AKAP9|10142	2821.312
AKD1|221264	92.0921	AKD1|221264	113.0304
AKIRIN1|79647	775.2753	AKIRIN1|79647	1759.1972
AKIRIN2|55122	1786.2863	AKIRIN2|55122	1394.1647
AKNA|80709	178.1782	AKNA|80709	949.0845
AKR1A1|10327	1610.6106	AKR1A1|10327	1278.9108
lowly_expressed	lowly_expressed	AKR1B10|57016	5.5589
AKR1B1|231	567.5676	AKR1B1|231	718.9472
AKR1C1|1645	38.5385	AKR1C1|1645	10965.0569
AKR1C2|1646	15.5155	AKR1C2|1646	8485.8008
AKR1C3|8644	501.001	AKR1C3|8644	5304.274
AKR1E2|83592	47.5475	AKR1E2|83592	51.8828
AKR7A2|8574	738.7387	AKR7A2|8574	1260.0106
AKR7A3|22977	11.011	lowly_expressed	lowly_expressed
AKR7L|246181	16.016	lowly_expressed	lowly_expressed
AKT1S1|84335	1171.6717	AKT1S1|84335	985.4024
AKT1|207	2219.2192	AKT1|207	3460.5821
AKT2|208	1203.7037	AKT2|208	6148.4811
AKT3|10000	124.1241	AKT3|10000	981.6965
AKTIP|64400	784.1041	AKTIP|64400	804.3018
ALAD|210	1338.3383	ALAD|210	4202.1353
ALAS1|211	1496.997	ALAS1|211	1180.704
lowly_expressed	lowly_expressed	ALAS2|212	7.4118
ALB|213	23.023000000000003	ALB|213	5.9295
ALCAM|214	2882.8829	ALCAM|214	293.5084
ALDH16A1|126133	192.6927	ALDH16A1|126133	293.1378
ALDH18A1|5832	4287.2873	ALDH18A1|5832	1583.1663
ALDH1A1|216	307.3073	ALDH1A1|216	5767.5132
ALDH1A2|8854	7.007000000000001	ALDH1A2|8854	244.9609
ALDH1A3|220	1468.4234	ALDH1A3|220	242.2407
ALDH1B1|219	500.0	ALDH1B1|219	912.7665
lowly_expressed	lowly_expressed	ALDH1L1|10840	6109.569
ALDH1L2|160428	558.0581	ALDH1L2|160428	364.2913
ALDH2|217	184.6847	ALDH2|217	37979.6842
lowly_expressed	lowly_expressed	ALDH3A1|218	8.8942
ALDH3A2|224	435.9359	ALDH3A2|224	6293.7529
ALDH3B1|221	129.6296	ALDH3B1|221	100.0597
ALDH3B2|222	5160.1602	ALDH3B2|222	62.6299
ALDH4A1|8659	225.2252	ALDH4A1|8659	2145.3533
ALDH5A1|7915	675.1752	ALDH5A1|7915	1099.9151
ALDH6A1|4329	416.2513	ALDH6A1|4329	2371.1695
