gene_id	TCGA-E2-A1L7-01A-11R-A144-07	gene_id	TCGA-E2-A1L7-11A-33R-A144-07
ACAD8|27034	348.4168	ACAD8|27034	543.9739
ACAD9|28976	1086.4976	ACAD9|28976	849.5969
lowly_expressed	lowly_expressed	ACADL|33	16.6938
ACADM|34	1531.9665	ACADM|34	1008.1433
ACADSB|36	560.9608	ACADSB|36	1779.316
ACADS|35	144.1223	ACADS|35	633.1433
ACADVL|37	2727.638	ACADVL|37	6024.7435
ACAN|176	64.5396	ACAN|176	11.4007
ACAP1|9744	257.1879	ACAP1|9744	195.0326
ACAP2|23527	1175.7855	ACAP2|23527	1368.4853
ACAP3|116983	546.9271	ACAP3|116983	567.6995
ACAT1|38	469.2466	ACAT1|38	1008.9577
ACAT2|39	1070.518	ACAT2|39	357.0888
ACBD3|64746	1734.32	ACBD3|64746	1458.0619
ACBD4|79777	71.8185	ACBD4|79777	289.4951
ACBD5|91452	877.8357	ACBD5|91452	632.329
ACBD6|84320	457.6004	ACBD6|84320	420.1954
ACBD7|414149	113.5509	ACBD7|414149	125
ACCN1|40	104.8162	ACCN1|40	16.2866
ACCN2|41	75.2153	ACCN2|41	130.7003
ACCN3|9311	13.5873	ACCN3|9311	9.772
ACCS|84680	74.7301	ACCS|84680	305.7818
ACD|65057	461.4825	ACD|65057	401.0586
lowly_expressed	lowly_expressed	ACE2|59272	27.2801
ACER2|340485	74.2448	ACER2|340485	153.0945
ACER3|55331	600.7522	ACER3|55331	357.4919
ACE|1636	1162.1982	ACE|1636	694.2182
ACHE|43	24.263	ACHE|43	20.7655
ACIN1|22985	3973.3107	ACIN1|22985	3809.4463
ACLY|47	2249.6664	ACLY|47	3381.9218
ACMSD|130013	115.0067	lowly_expressed	lowly_expressed
ACN9|57001	120.8298	ACN9|57001	164.0879
ACO1|48	771.5638	ACO1|48	1089.1694
ACO2|50	3066.0876	ACO2|50	2244.5073
ACOT11|26027	41.2471	ACOT11|26027	31.6164
ACOT13|55856	499.4541	ACOT13|55856	410.9406
ACOT1|641371	275.6278	ACOT1|641371	367.2638
ACOT2|10965	154.3128	ACOT2|10965	286.2378
ACOT4|122970	65.0249	ACOT4|122970	89.5765
ACOT7|11332	1120.9511	ACOT7|11332	347.3127
ACOT8|10005	366.4928	ACOT8|10005	245.3298
ACOT9|23597	262.5258	ACOT9|23597	449.1042
ACOX1|51	1641.7906	ACOX1|51	1366.193
ACOX2|8309	334.8296	ACOX2|8309	166.5309
ACOX3|8310	470.7024	ACOX3|8310	646.1726
ACP1|52	2140.4828	ACP1|52	1070.0326
ACP2|53	1421.3272	ACP2|53	903.9088
ACP5|54	1995.39	ACP5|54	845.2769
ACP6|51205	140.2402	ACP6|51205	226.3844
ACPL2|92370	506.6117	ACPL2|92370	494.7068
ACPP|55	65.0249	ACPP|55	30.5375
ACRBP|84519	34.9387	ACRBP|84519	20.7655
ACRC|93953	24.7483	ACRC|93953	12.6221
ACRV1|56	10.1905	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACR|49	5.2932
lowly_expressed	lowly_expressed	ACSBG1|23205	8.9577
lowly_expressed	lowly_expressed	ACSBG2|81616	5.7003
ACSF2|80221	726.9198	ACSF2|80221	822.4756
ACSF3|197322	270.7752	ACSF3|197322	565.5537
ACSL1|2180	847.2643	ACSL1|2180	2054.1531
ACSL3|2181	1729.4674	ACSL3|2181	3040.3094
ACSL4|2182	689.0695	ACSL4|2182	1425.4886
ACSL5|51703	1826.0342	ACSL5|51703	1128.6645
ACSL6|23305	104.3309	ACSL6|23305	5.7003
lowly_expressed	lowly_expressed	ACSM1|116285	112.785
ACSM3|6296	18.8912	ACSM3|6296	132.7484
ACSM5|54988	17.4694	ACSM5|54988	46.4169
ACSS1|84532	221.2787	ACSS1|84532	852.1987
ACSS2|55902	1068.543	ACSS2|55902	1183.2248
ACSS3|79611	121.3151	ACSS3|79611	188.5179
ACTA1|58	17.9546	lowly_expressed	lowly_expressed
ACTA2|59	5638.321	ACTA2|59	34085.7288
ACTB|60	61407.2546	ACTB|60	81066.7752
ACTG1|71	85356.7876	ACTG1|71	57289.4951
ACTG2|72	162.5622	ACTG2|72	8809.4463
ACTL6A|86	1788.6692	ACTL6A|86	809.4463
ACTN1|87	4800.1941	ACTN1|87	11675.0814
ACTN4|81	6986.7961	ACTN4|81	12267.3331
ACTR10|55860	1311.1731	ACTR10|55860	1073.6971
ACTR1A|10121	1723.6443	ACTR1A|10121	2450.7329
ACTR1B|10120	1372.8012	ACTR1B|10120	1565.5537
