gene_id	TCGA-E2-A15M-01A-11R-A12D-07	gene_id	TCGA-E2-A15M-11A-22R-A12D-07
ACAD9|28976	512.4031	ACAD9|28976	653.8683
ACADL|33	52.3927	ACADL|33	105.7593
ACADM|34	1001.6502	ACADM|34	1128.4056
ACADSB|36	1307.3432	ACADSB|36	2730.4288
ACADS|35	231.0231	ACADS|35	628.1182
ACADVL|37	2841.1696	ACADVL|37	4347.0744
ACAN|176	36.0974	ACAN|176	157.2595
ACAP1|9744	270.8333	ACAP1|9744	61.1565
ACAP2|23527	2149.7525	ACAP2|23527	1549.6034
ACAP3|116983	290.8416	ACAP3|116983	285.1086
ACAT1|38	894.1832	ACAT1|38	1467.7549
ACAT2|39	590.0248	ACAT2|39	219.9517
ACBD3|64746	3344.2657	ACBD3|64746	1411.1967
ACBD4|79777	56.5182	ACBD4|79777	226.2329
ACBD5|91452	1306.1056	ACBD5|91452	748.5918
ACBD6|84320	699.0512	ACBD6|84320	298.8849
ACBD7|414149	173.4736	ACBD7|414149	32.6474
ACCN1|40	7.4257	lowly_expressed	lowly_expressed
ACCN2|41	55.0743	ACCN2|41	75.8708
ACCN3|9311	6.3944	lowly_expressed	lowly_expressed
ACCS|84680	115.099	ACCS|84680	186.2283
ACD|65057	181.5182	ACD|65057	352.2244
lowly_expressed	lowly_expressed	ACE2|59272	11.9554
ACER2|340485	124.7937	ACER2|340485	203.7016
ACER3|55331	511.1386	ACER3|55331	454.3051
ACE|1636	547.236	ACE|1636	1013.9096
ACHE|43	10.7261	ACHE|43	11.9554
ACIN1|22985	2730.8168	ACIN1|22985	2187.8377
ACLY|47	3126.4439	ACLY|47	3190.2518
ACMSD|130013	20.6271	lowly_expressed	lowly_expressed
ACN9|57001	105.6106	ACN9|57001	119.0941
ACO1|48	1701.9389	ACO1|48	2264.1683
ACO2|50	1841.9018	ACO2|50	2189.9621
ACOT11|26027	21.2459	ACOT11|26027	19.331
ACOT13|55856	556.2479	ACOT13|55856	441.1266
ACOT1|641371	330.8581	ACOT1|641371	542.1313
ACOT2|10965	207.0957	ACOT2|10965	333.3717
ACOT4|122970	176.7739	ACOT4|122970	102.0807
ACOT7|11332	373.7624	ACOT7|11332	198.1837
ACOT8|10005	327.1617	ACOT8|10005	182.3244
ACOT9|23597	549.2987	ACOT9|23597	489.7115
ACOX1|51	1877.8878	ACOX1|51	1959.5816
ACOX2|8309	423.4736	ACOX2|8309	275.8938
ACOX3|8310	483.4983	ACOX3|8310	609.2654
ACOXL|55289	14.0264	lowly_expressed	lowly_expressed
ACP1|52	1035.8911	ACP1|52	891.1369
ACP2|53	1193.6881	ACP2|53	882.8601
ACP5|54	1984.9422	ACP5|54	655.7076
ACP6|51205	143.5644	ACP6|51205	143.4648
ACPL2|92370	545.1733	ACPL2|92370	480.515
ACPP|55	23.3086	ACPP|55	38.1653
ACRBP|84519	29.9092	ACRBP|84519	9.6563
ACRC|93953	34.2409	ACRC|93953	15.634
lowly_expressed	lowly_expressed	ACR|49	10.5759
lowly_expressed	lowly_expressed	ACSBG1|23205	15.1742
lowly_expressed	lowly_expressed	ACSBG2|81616	7.3572
ACSF2|80221	393.7706	ACSF2|80221	713.6452
ACSF3|197322	181.5182	ACSF3|197322	304.4028
ACSL1|2180	5898.3086	ACSL1|2180	8071.7324
ACSL3|2181	3126.4439	ACSL3|2181	2352.9141
ACSL4|2182	1886.5512	ACSL4|2182	1769.3988
ACSL5|51703	823.0198	ACSL5|51703	808.8286
ACSL6|23305	27.2277	ACSL6|23305	5.0581
ACSM1|116285	15.0578	ACSM1|116285	25.7501
ACSM3|6296	28.7211	ACSM3|6296	109.7138
ACSM5|54988	126.8564	ACSM5|54988	160.0184
ACSS1|84532	654.0842	ACSS1|84532	747.2123
ACSS2|55902	1071.5759	ACSS2|55902	1783.1935
ACSS3|79611	384.2822	ACSS3|79611	511.783
lowly_expressed	lowly_expressed	ACTA1|58	57.018
ACTA2|59	3455.0598	ACTA2|59	44878.3906
lowly_expressed	lowly_expressed	ACTBL2|345651	7.817
ACTB|60	75829.4142	ACTB|60	98634.3258
lowly_expressed	lowly_expressed	ACTC1|70	184.8488
ACTG1|71	37173.0611	ACTG1|71	58654.0982
ACTG2|72	149.5462	ACTG2|72	8138.4067
ACTL6A|86	1328.1766	ACTL6A|86	635.9352
ACTL8|81569	21.8647	lowly_expressed	lowly_expressed
ACTN1|87	3749.1749	ACTN1|87	11105.6443
ACTN2|88	5.7756	ACTN2|88	10.1161
ACTN4|81	6715.3713	ACTN4|81	15865.3592
ACTR10|55860	1292.2855	ACTR10|55860	1079.6643
ACTR1A|10121	2204.0017	ACTR1A|10121	2675.25
ACTR1B|10120	618.6056	ACTR1B|10120	1286.5847
ACTR2|10097	10210.8086	ACTR2|10097	4962.4095
ACTR3B|57180	104.1667	ACTR3B|57180	125.0718
ACTR3C|653857	21.2459	ACTR3C|653857	23.9108
ACTR3|10096	5336.4274	ACTR3|10096	2838.4872
ACTR5|79913	295.7921	ACTR5|79913	134.2683
ACTR6|64431	801.5677	ACTR6|64431	604.6672
ACTR8|93973	683.9934	ACTR8|93973	503.966
ACVR1B|91	1510.5198	ACVR1B|91	909.9897
ACVR1C|130399	456.0644	ACVR1C|130399	865.3868
ACVR1|90	1108.7046	ACVR1|90	1381.768
ACVR2A|92	461.0149	ACVR2A|92	542.1313
ACVR2B|93	288.7789	ACVR2B|93	323.2555
ACVRL1|94	680.2805	ACVRL1|94	1388.2055
ACY1|95	283.8284	ACY1|95	427.9664
ACY3|91703	8.4571	ACY3|91703	6.8973
ACYP1|97	83.7459	ACYP1|97	65.7547
ACYP2|98	179.2492	ACYP2|98	156.7996
ADAL|161823	214.5215	ADAL|161823	194.5051
ADAM10|102	2319.3069	ADAM10|102	2093.1142
lowly_expressed	lowly_expressed	ADAM11|4185	11.9554
ADAM12|8038	2881.1881	ADAM12|8038	295.2063
ADAM15|8751	3546.6522	ADAM15|8751	3201.7473
ADAM17|6868	1003.9191	ADAM17|6868	889.7574
ADAM19|8728	604.5792	ADAM19|8728	225.3133
ADAM21|8747	9.6947	lowly_expressed	lowly_expressed
ADAM22|53616	147.071	ADAM22|53616	45.0627
ADAM23|8745	64.769	ADAM23|8745	48.7412
ADAM28|10863	295.1733	ADAM28|10863	85.5271
ADAM32|203102	12.17	ADAM32|203102	10.1161
ADAM33|80332	74.4637	ADAM33|80332	583.0555
ADAM6|8755	17569.5091	ADAM6|8755	11715.6869
ADAM8|101	404.4967	ADAM8|101	43.2234
ADAM9|8754	4082.7145	ADAM9|8754	2185.5386
ADAMDEC1|27299	480.6106	ADAMDEC1|27299	7.3572
ADAMTS10|81794	165.429	ADAMTS10|81794	119.0941
ADAMTS12|81792	430.4868	ADAMTS12|81792	113.1165
ADAMTS13|11093	15.4703	ADAMTS13|11093	27.1296
ADAMTS14|140766	93.6469	ADAMTS14|140766	7.3572
ADAMTS15|170689	247.9373	ADAMTS15|170689	288.309
ADAMTS16|170690	66.2129	ADAMTS16|170690	221.6347
ADAMTS17|170691	103.5479	ADAMTS17|170691	36.326
ADAMTS18|170692	32.3845	ADAMTS18|170692	137.0272
ADAMTS19|171019	52.1865	lowly_expressed	lowly_expressed
ADAMTS1|9510	1111.1799	ADAMTS1|9510	15917.2319
ADAMTS2|9509	477.3102	ADAMTS2|9509	590.4127
ADAMTS3|9508	70.132	ADAMTS3|9508	206.0007
ADAMTS4|9507	378.7129	ADAMTS4|9507	1859.5241
ADAMTS5|11096	389.2327	ADAMTS5|11096	2649.0401
ADAMTS6|11174	95.5033	ADAMTS6|11174	48.7412
ADAMTS7|11173	117.368	ADAMTS7|11173	95.6432
ADAMTS8|11095	16.0891	ADAMTS8|11095	72.652
ADAMTS9|56999	623.9686	ADAMTS9|56999	615.2431
ADAMTSL1|92949	332.5083	ADAMTSL1|92949	509.4838
ADAMTSL2|9719	155.5281	ADAMTSL2|9719	109.8977
ADAMTSL3|57188	202.5578	ADAMTSL3|57188	494.7695
ADAMTSL4|54507	193.0693	ADAMTSL4|54507	1367.9733
ADAMTSL5|339366	28.0528	ADAMTSL5|339366	54.7189
ADAP1|11033	106.3057	ADAP1|11033	99.3861
ADAP2|55803	653.0528	ADAP2|55803	246.0053
ADARB1|104	651.1964	ADARB1|104	1408.8976
ADAR|103	12047.4422	ADAR|103	6183.2395
ADAT1|23536	261.3449	ADAT1|23536	237.2687
ADAT2|134637	103.5479	ADAT2|134637	70.3529
lowly_expressed	lowly_expressed	ADAT3|113179	23.9108
ADA|100	207.7145	ADA|100	184.389
ADCK1|57143	106.4356	ADCK1|57143	106.2191
ADCK2|90956	486.1799	ADCK2|90956	646.5111
ADCK4|79934	355.198	ADCK4|79934	364.6396
ADCK5|203054	53.8366	ADCK5|203054	33.1073
ADCY1|107	2979.5792	ADCY1|107	446.9479
ADCY2|108	127.0627	ADCY2|108	68.5136
ADCY3|109	971.8791	ADCY3|109	1960.538
ADCY4|196883	312.7063	ADCY4|196883	694.7925
ADCY5|111	356.8482	ADCY5|111	552.2474
ADCY6|112	1346.3284	ADCY6|112	1966.6628
ADCY7|113	1133.4571	ADCY7|113	344.4074
ADCY9|115	1228.7541	ADCY9|115	1231.4059
ADCYAP1R1|117	7.632	ADCYAP1R1|117	21.6117
ADC|113451	144.3894	ADC|113451	108.0584
ADD1|118	4591.9967	ADD1|118	6874.3534
ADD2|119	76.7327	ADD2|119	68.0538
ADD3|120	3197.6073	ADD3|120	3195.3098
ADH1A|124	74.4637	ADH1A|124	143.9246
ADH1B|125	10735.9736	ADH1B|125	17572.1347
ADH1C|126	49.2987	ADH1C|126	246.0053
lowly_expressed	lowly_expressed	ADH4|127	22.0715
ADH5|128	2161.0974	ADH5|128	3639.9586
ADHFE1|137872	84.3647	ADHFE1|137872	167.8354
ADI1|55256	870.2558	ADI1|55256	1425.911
ADIPOQ|9370	14654.4967	ADIPOQ|9370	16431.3139
ADIPOR1|51094	5666.4604	ADIPOR1|51094	2132.6589
ADIPOR2|79602	2767.1205	ADIPOR2|79602	2179.101
ADK|132	270.2145	ADK|132	260.2598
ADM2|79924	103.9604	ADM2|79924	88.286
ADM|133	153.2591	ADM|133	860.3288
ADNP2|22850	1052.599	ADNP2|22850	649.27
ADNP|23394	4775.9901	ADNP|23394	2420.5081
ADORA1|134	99.6287	ADORA1|134	112.6566
ADORA2A|135	137.3742	ADORA2A|135	77.2503
ADORA2B|136	40.8416	ADORA2B|136	72.1922
ADORA3|140	426.3614	ADORA3|140	74.4913
ADO|84890	657.3845	ADO|84890	670.8817
ADPGK|83440	1183.1683	ADPGK|83440	701.23
ADPRHL1|113622	25.9901	ADPRHL1|113622	55.1788
ADPRHL2|54936	468.6469	ADPRHL2|54936	404.6442
ADPRH|141	371.4934	ADPRH|141	454.7649
ADRA1A|148	18.7706	ADRA1A|148	45.9823
ADRA1B|147	11.7574	ADRA1B|147	57.4779
lowly_expressed	lowly_expressed	ADRA1D|146	22.5313
ADRA2A|150	623.5561	ADRA2A|150	1265.4328
lowly_expressed	lowly_expressed	ADRA2B|151	38.6251
ADRA2C|152	25.9901	ADRA2C|152	123.2326
ADRB1|153	16.9142	ADRB1|153	35.8662
ADRB2|154	113.4488	ADRB2|154	455.6846
ADRB3|155	7.4257	lowly_expressed	lowly_expressed
ADRBK1|156	1957.7145	ADRBK1|156	1536.7284
ADRBK2|157	1512.5825	ADRBK2|157	1540.4069
ADRM1|11047	889.0264	ADRM1|11047	874.5833
ADSL|158	726.6914	ADSL|158	669.5022
ADSSL1|122622	50.7426	ADSSL1|122622	91.0449
ADSS|159	3639.2327	ADSS|159	1382.6877
AEBP1|165	8623.7624	AEBP1|165	12703.989
AEBP2|121536	983.7046	AEBP2|121536	1082.4233
AEN|64782	279.9092	AEN|64782	449.247
AES|166	4532.5908	AES|166	5471.8933
AFAP1L1|134265	457.302	AFAP1L1|134265	609.2654
AFAP1L2|84632	446.3696	AFAP1L2|84632	1167.4905
AFAP1|60312	1378.7479	AFAP1|60312	1532.1301
AFF1|4299	2664.3977	AFF1|4299	3292.7923
AFF2|2334	69.7195	AFF2|2334	83.228
AFF3|3899	740.7178	AFF3|3899	1730.3138
AFF4|27125	5107.8795	AFF4|27125	3706.1731
AFG3L1|172	188.3251	AFG3L1|172	130.5897
AFG3L2|10939	1065.8457	AFG3L2|10939	960.2943
AFMID|125061	226.2789	AFMID|125061	389.4701
AFP|174	27.2277	AFP|174	143.4648
AFTPH|54812	2336.0149	AFTPH|54812	1787.3319
AG2|387763	183.5809	AG2|387763	3984.8258
AGAP11|119385	28.4653	AGAP11|119385	74.0315
AGAP1|116987	362.83	AGAP1|116987	473.1578
AGAP2|116986	168.5107	AGAP2|116986	49.6379
AGAP3|116988	670.3795	AGAP3|116988	1131.6243
AGAP4|119016	138.4076	AGAP4|119016	125.5317
AGAP5|729092	48.3849	AGAP5|729092	46.0513
AGAP6|414189	83.9521	AGAP6|414189	46.9019
AGAP7|653268	24.7525	AGAP7|653268	30.3483
AGAP8|728404	18.9769	AGAP8|728404	13.3349
AGA|175	290.2228	AGA|175	376.595
AGBL2|79841	14.0264	AGBL2|79841	11.0358
AGBL3|340351	5.363	lowly_expressed	lowly_expressed
AGBL4|84871	7.632	lowly_expressed	lowly_expressed
AGBL5|60509	252.894	AGBL5|60509	627.6675
AGER|177	35.6848	AGER|177	21.6117
AGFG1|3267	2346.9472	AGFG1|3267	1866.4214
AGFG2|3268	245.462	AGFG2|3268	552.2474
AGGF1|55109	1382.632	AGGF1|55109	872.2842
AGK|55750	447.401	lowly_expressed	lowly_expressed
AGL|178	1324.0512	AGL|178	1149.5574
AGMAT|79814	57.962	AGMAT|79814	6.8973
AGPAT1|10554	1559.9299	AGPAT1|10554	1889.3804
AGPAT2|10555	780.5281	AGPAT2|10555	2166.226
AGPAT3|56894	1949.8762	AGPAT3|56894	1679.7333
AGPAT4|56895	173.0611	AGPAT4|56895	287.8492
AGPAT5|55326	2565.1815	AGPAT5|55326	543.0509
AGPAT6|137964	2256.8069	AGPAT6|137964	1561.099
AGPAT9|84803	153.8779	AGPAT9|84803	120.0138
AGPHD1|123688	27.0215	AGPHD1|123688	62.0761
AGPS|8540	1809.1997	AGPS|8540	1187.7227
AGR2|10551	23853.3416	AGR2|10551	2285.78
AGR3|155465	3703.7954	AGR3|155465	629.4976
AGRN|375790	2189.1502	AGRN|375790	3193.4705
AGTPBP1|23287	564.3564	AGTPBP1|23287	416.1398
AGTR1|185	397.071	AGTR1|185	739.3953
AGTRAP|57085	580.4455	AGTRAP|57085	754.5695
AGT|183	694.5132	AGT|183	129.2103
AGXT2L2|85007	310.9323	AGXT2L2|85007	397.0893
AHCTF1|25909	3080.6518	AHCTF1|25909	1649.385
AHCYL1|10768	3438.1188	AHCYL1|10768	3914.4729
AHCYL2|23382	620.8746	AHCYL2|23382	549.4884
AHCY|191	3326.9389	AHCY|191	1743.6487
AHDC1|27245	397.896	AHDC1|27245	924.704
AHI1|54806	428.0116	AHI1|54806	323.2555
AHNAK2|113146	777.6403	AHNAK2|113146	1609.3804
AHNAK|79026	53082.5083	AHNAK|79026	89294.4017
AHRR|57491	112.83	AHRR|57491	18.3929
AHR|196	4206.2706	AHR|196	5024.0258
AHSA1|10598	1371.2871	AHSA1|10598	1104.4948
AHSA2|130872	316.0066	AHSA2|130872	125.0718
AIDA|64853	3185.6848	AIDA|64853	1450.7966
AIF1L|83543	961.2211	AIF1L|83543	2337.74
AIF1|199	811.8812	AIF1|199	376.595
AIFM1|9131	1168.1106	AIFM1|9131	594.5511
AIFM2|84883	433.9934	AIFM2|84883	818.4849
AIFM3|150209	12.5825	AIFM3|150209	7.3572
AIG1|51390	905.1155	AIG1|51390	936.1996
AIM1L|55057	10.5198	lowly_expressed	lowly_expressed
AIM1|202	1167.0792	AIM1|202	3290.4932
AIM2|9447	134.6947	AIM2|9447	6.8973
AIMP1|9255	1138.9975	AIMP1|9255	959.3103
AIMP2|7965	316.9039	AIMP2|7965	215.8823
AIP|9049	736.1799	AIP|9049	879.1815
AJAP1|55966	8.4571	AJAP1|55966	19.3126
AK1|203	302.599	AK1|203	513.1624
AK2|204	2228.9604	AK2|204	1653.5234
AK3L1|205	307.962	AK3L1|205	458.9033
AK3|50808	1380.5693	AK3|50808	1913.7832
AK5|26289	282.797	AK5|26289	1009.3114
