gene_id	TCGA-E2-A15M-01A-11R-A12D-07	gene_id	TCGA-E2-A15M-11A-22R-A12D-07
C12orf44|60673	580.6518	C12orf44|60673	688.8148
C12orf45|121053	150.165	C12orf45|121053	94.7235
C12orf47|51275	289.0573	C12orf47|51275	233.3831
C12orf48|55010	279.9092	C12orf48|55010	36.5559
C12orf49|79794	674.9175	C12orf49|79794	525.1178
C12orf4|57102	727.7228	C12orf4|57102	383.9522
C12orf51|283450	1451.9389	C12orf51|283450	1446.6031
C12orf52|84934	267.1205	C12orf52|84934	273.1348
lowly_expressed	lowly_expressed	C12orf53|196500	12.4152
C12orf57|113246	732.0545	C12orf57|113246	1321.5312
C12orf59|120939	59.1997	C12orf59|120939	9.6563
C12orf5|57103	520.8333	C12orf5|57103	390.3897
C12orf60|144608	25.5776	C12orf60|144608	25.7501
lowly_expressed	lowly_expressed	C12orf61|283416	10.5759
C12orf62|84987	465.1403	C12orf62|84987	490.6311
lowly_expressed	lowly_expressed	C12orf63|374467	5.0581
C12orf65|91574	219.6782	C12orf65|91574	198.1837
C12orf66|144577	110.3548	C12orf66|144577	125.9915
C12orf68|387856	8.2508	C12orf68|387856	67.1342
C12orf69|440087	21.0396	C12orf69|440087	10.5759
C12orf72|254013	74.4637	C12orf72|254013	97.4825
C12orf73|728568	95.7096	C12orf73|728568	86.9065
C12orf75|387882	244.637	C12orf75|387882	694.3327
C12orf76|400073	133.2508	C12orf76|400073	110.8173
C13orf15|28984	597.7723	C13orf15|28984	1135.7627
C13orf18|80183	196.9884	C13orf18|80183	69.4333
C13orf1|57213	217.203	C13orf1|57213	252.9026
C13orf23|80209	1220.5033	C13orf23|80209	812.0474
C13orf27|93081	156.5594	C13orf27|93081	138.8665
C13orf29|283487	86.8399	C13orf29|283487	173.3533
C13orf31|144811	536.9224	C13orf31|144811	237.2687
C13orf33|84935	292.9043	C13orf33|84935	2023.2211
C13orf34|79866	247.8651	C13orf34|79866	90.0839
lowly_expressed	lowly_expressed	C13orf36|400120	11.0358
C13orf37|440145	488.4488	C13orf37|440145	289.2286
C13orf38|728591	14.8515	lowly_expressed	lowly_expressed
C14orf101|54916	527.434	C14orf101|54916	411.0817
C14orf102|55051	245.6683	C14orf102|55051	303.4832
C14orf104|55172	304.0429	C14orf104|55172	295.2063
C14orf106|55320	1174.2987	C14orf106|55320	463.0417
C14orf109|26175	306.7244	C14orf109|26175	267.1571
C14orf118|55668	224.835	C14orf118|55668	264.3982
C14orf119|55017	1169.9669999999999	C14orf119|55017	882.8601
C14orf126|112487	263.5004	C14orf126|112487	286.9525
C14orf128|84837	25.7838	C14orf128|84837	112.1968
C14orf129|51527	667.2855	C14orf129|51527	571.5599
C14orf132|56967	163.7789	C14orf132|56967	761.9267
C14orf135|64430	1000.8251	C14orf135|64430	855.7305
C14orf138|79609	158.4158	C14orf138|79609	86.9065
C14orf139|79686	203.5891	C14orf139|79686	640.9932
C14orf142|84520	263.6139	C14orf142|84520	150.8219
C14orf143|90141	79.6205	C14orf143|90141	65.7547
C14orf145|145508	161.3036	C14orf145|145508	112.6566
C14orf147|171546	899.9587	C14orf147|171546	1128.4056
C14orf149|112849	43.5231	C14orf149|112849	55.1788
C14orf153|84334	323.1023	C14orf153|84334	337.717
C14orf156|81892	456.8894	C14orf156|81892	374.7557
C14orf159|80017	673.6799	C14orf159|80017	914.1281
C14orf166|51637	2538.7789	C14orf166|51637	2022.7612
C14orf167|55449	446.1242	C14orf167|55449	724.9799
C14orf169|79697	186.6749	C14orf169|79697	190.8265
C14orf174|161394	38.5726	C14orf174|161394	34.4867
lowly_expressed	lowly_expressed	C14orf176|643382	10.5759
C14orf179|112752	147.6898	C14orf179|112752	228.9918
C14orf180|400258	55.6931	C14orf180|400258	255.6616
C14orf181|400223	9.6947	C14orf181|400223	35.8662
C14orf182|283551	15.4703	lowly_expressed	lowly_expressed
C14orf19|280655	5.3629999999999995	lowly_expressed	lowly_expressed
C14orf1|11161	492.1617	C14orf1|11161	752.7302
C14orf21|161424	219.0594	C14orf21|161424	235.8892
C14orf28|122525	92.20299999999999	C14orf28|122525	165.0764
C14orf2|9556	597.7723	C14orf2|9556	603.7476
C14orf33|100129075	48.0611	C14orf33|100129075	70.3529
C14orf37|145407	166.6667	C14orf37|145407	155.88
C14orf43|91748	1099.835	C14orf43|91748	1716.979
C14orf45|80127	263.9975	C14orf45|80127	271.6358
C14orf49|161176	62.5	C14orf49|161176	167.3756
C14orf4|64207	465.5528	C14orf4|64207	1926.6582
C14orf50|145376	17.1205	C14orf50|145376	32.6474
C14orf64|388011	23.1023	C14orf64|388011	24.3706
lowly_expressed	lowly_expressed	C14orf73|91828	7.817
C14orf79|122616	107.8795	C14orf79|122616	170.5943
C14orf80|283643	61.2624	C14orf80|283643	69.8931
C14orf93|60686	138.4076	C14orf93|60686	194.0453
C15orf17|57184	710.8086	C15orf17|57184	1081.0438
C15orf21|283651	61.2624	C15orf21|283651	24.3706
C15orf23|90417	444.5132	C15orf23|90417	110.3575
C15orf24|56851	978.1353	C15orf24|56851	899.4137
C15orf26|161502	9.0759	lowly_expressed	lowly_expressed
C15orf27|123591	9.0759	lowly_expressed	lowly_expressed
C15orf28|80035	5.1568	lowly_expressed	lowly_expressed
C15orf29|79768	408.0033	C15orf29|79768	370.6173
C15orf33|196951	21.8977	C15orf33|196951	35.0109
C15orf34|80072	14.4389	C15orf34|80072	16.0938
C15orf37|283687	22.2277	C15orf37|283687	34.6753
C15orf38|348110	337.7558	C15orf38|348110	307.1112
C15orf39|56905	452.764	C15orf39|56905	839.6367
C15orf40|123207	142.3721	C15orf40|123207	200.4828
C15orf41|84529	107.2607	C15orf41|84529	145.7639
C15orf42|90381	177.2607	C15orf42|90381	19.9241
C15orf44|81556	921.2046	C15orf44|81556	848.8332
C15orf48|84419	992.5743	C15orf48|84419	89.6655
C15orf51|196968	5.3629999999999995	C15orf51|196968	10.1161
C15orf52|388115	153.2591	C15orf52|388115	406.0237
lowly_expressed	lowly_expressed	C15orf56|644809	8.7366
C15orf57|90416	348.6407	C15orf57|90416	381.0921
C15orf58|390637	38.3663	C15orf58|390637	38.6251
C15orf59|388135	18.5644	C15orf59|388135	32.1876
C15orf61|145853	64.9752	C15orf61|145853	126.4513
C15orf62|643338	15.4703	C15orf62|643338	12.875
C15orf63|25764	460.1898	C15orf63|25764	314.5189
C16orf13|84326	289.3977	C16orf13|84326	297.5055
C16orf42|115939	373.5994	C16orf42|115939	418.2136
C16orf45|89927	240.3053	C16orf45|89927	751.8106
C16orf46|123775	43.7294	C16orf46|123775	80.9288
C16orf48|84080	60.8498	C16orf48|84080	232.6704
C16orf52|730094	397.89599999999996	C16orf52|730094	434.9925
C16orf53|79447	773.1518	C16orf53|79447	507.9802
C16orf54|283897	225.6601	C16orf54|283897	85.5271
C16orf55|124045	101.8977	C16orf55|124045	72.1922
C16orf57|79650	638.8201	C16orf57|79650	752.2704
C16orf58|64755	1210.1011	C16orf58|64755	1400.1609
C16orf59|80178	42.4917	C16orf59|80178	7.817
C16orf5|29965	300.1238	C16orf5|29965	1094.8385
C16orf61|56942	333.88199999999995	C16orf61|56942	215.1971
C16orf62|57020	1308.7871	C16orf62|57020	1252.0979
C16orf63|123811	1135.3135	C16orf63|123811	801.9313
C16orf68|79091	122.3185	C16orf68|79091	128.2906
C16orf70|80262	744.2925	C16orf70|80262	442.2072
C16orf71|146562	6.8069	C16orf71|146562	8.7366
C16orf72|29035	1634.6947	C16orf72|29035	1501.3220000000001
C16orf74|404550	18.9769	C16orf74|404550	63.9154
C16orf75|116028	227.3102	C16orf75|116028	53.3395
C16orf79|283870	7.4587	C16orf79|283870	7.8492
C16orf7|9605	112.5701	C16orf7|9605	151.8703
C16orf80|29105	390.8828	C16orf80|29105	654.7879
C16orf86|388284	18.3581	C16orf86|388284	57.018
C16orf87|388272	134.6947	C16orf87|388272	113.5763
C16orf88|400506	494.4307	C16orf88|400506	243.7062
C16orf89|146556	114.4802	C16orf89|146556	743.9936
C16orf91|283951	166.4604	C16orf91|283951	94.7235
C16orf93|90835	22.6898	C16orf93|90835	11.0358
C17orf100|388327	28.6716	C17orf100|388327	68.0538
C17orf101|79701	171.4109	C17orf101|79701	246.9249
C17orf103|256302	400.3713	C17orf103|256302	1008.8516
C17orf104|284071	15.0578	C17orf104|284071	7.817
C17orf106|100134934	109.9196	C17orf106|100134934	159.8115
C17orf107|100130311	17.7558	C17orf107|100130311	109.7092
C17orf108|201229	79.2079	C17orf108|201229	150.8219
C17orf28|283987	1464.3152	C17orf28|283987	1176.2272
C17orf37|84299	1062.7063	C17orf37|84299	410.6219
C17orf39|79018	377.6815	C17orf39|79018	555.0063
C17orf42|79736	150.7838	C17orf42|79736	129.2103
C17orf44|284029	100.4538	C17orf44|284029	78.6297
C17orf48|56985	147.2772	C17orf48|56985	168.755
C17orf49|124944	722.6073	C17orf49|124944	657.248
C17orf51|339263	122.1122	C17orf51|339263	202.7819
C17orf53|78995	85.8086	C17orf53|78995	40.9242
lowly_expressed	lowly_expressed	C17orf55|284185	6.8973
C17orf56|146705	182.3432	C17orf56|146705	190.146
C17orf57|124989	47.236000000000004	C17orf57|124989	58.3975
C17orf58|284018	249.1749	C17orf58|284018	816.6456
C17orf59|54785	113.8614	C17orf59|54785	148.9826
C17orf60|284021	40.429	C17orf60|284021	22.0715
C17orf61|254863	228.6262	C17orf61|254863	456.7192
C17orf62|79415	814.7689999999999	C17orf62|79415	766.9847
C17orf63|55731	597.1535	C17orf63|55731	805.15
C17orf65|339201	124.9649	C17orf65|339201	130.1299
C17orf67|339210	19.5957	C17orf67|339210	37.7055
C17orf68|80169	768.9769	C17orf68|80169	805.6098
C17orf69|147081	36.9224	C17orf69|147081	60.2368
C17orf70|80233	416.4604	C17orf70|80233	497.9883
C17orf71|55181	622.731	C17orf71|55181	416.1398
C17orf72|92340	21.8977	C17orf72|92340	48.4975
C17orf75|64149	194.3069	C17orf75|64149	149.4425
C17orf76|388341	114.0677	C17orf76|388341	90.1253
C17orf79|55352	398.3086	C17orf79|55352	669.0424
C17orf80|55028	632.63	C17orf80|55028	618.4619
C17orf81|23587	281.1469	C17orf81|23587	496.149
C17orf85|55421	603.7541	C17orf85|55421	585.3546
C17orf86|654434	65.3878	C17orf86|654434	51.0403
C17orf87|388325	43.7294	C17orf87|388325	6.4513
C17orf89|284184	149.9587	C17orf89|284184	181.6301
C17orf90|339229	97.1535	C17orf90|339229	126.9111
C17orf91|84981	110.9736	C17orf91|84981	399.1263
C17orf95|124512	302.8053	C17orf95|124512	301.184
C17orf96|100170841	102.929	C17orf96|100170841	121.3933
C17orf97|400566	63.9439	C17orf97|400566	96.103
C18orf10|25941	1114.8927	C18orf10|25941	978.0435
C18orf18|147525	34.6535	C18orf18|147525	44.143
C18orf19|125228	304.6617	C18orf19|125228	274.9741
C18orf1|753	1505.3629999999998	C18orf1|753	1313.2544
C18orf21|83608	220.0908	C18orf21|83608	185.3087
C18orf22|79863	248.9686	C18orf22|79863	292.4474
C18orf25|147339	622.3185	C18orf25|147339	829.5206
C18orf32|497661	1301.1675	C18orf32|497661	913.305
C18orf34|374864	37.7475	C18orf34|374864	144.3844
C18orf45|85019	361.3861	C18orf45|85019	442.3497
C18orf54|162681	187.2937	C18orf54|162681	118.6343
C18orf55|29090	418.3168	C18orf55|29090	283.7108
C18orf56|494514	10.9323	C18orf56|494514	5.0581
C18orf8|29919	424.7504	C18orf8|29919	374.6546
C19orf10|56005	1229.1667	C19orf10|56005	754.5695
C19orf12|83636	691.0066	C19orf12|83636	774.3419
C19orf18|147685	11.5512	C19orf18|147685	8.2768
lowly_expressed	lowly_expressed	C19orf20|91978	24.3706
C19orf21|126353	377.6815	C19orf21|126353	108.5182
C19orf22|91300	681.3119	C19orf22|91300	917.8066
C19orf23|148046	5.5693	C19orf23|148046	5.0581
C19orf24|55009	166.0479	C19orf24|55009	274.9741
C19orf25|148223	130.7756	C19orf25|148223	227.1525
lowly_expressed	lowly_expressed	C19orf26|255057	11.4956
C19orf28|126321	637.17	C19orf28|126321	401.4255
C19orf29|58509	203.3828	C19orf29|58509	273.5947
C19orf2|8725	2439.9752	C19orf2|8725	1390.5047
C19orf33|64073	94.9773	C19orf33|64073	69.0378
C19orf35|374872	6.8069	lowly_expressed	lowly_expressed
C19orf38|255809	18.1518	C19orf38|255809	13.3349
C19orf39|126074	82.0957	C19orf39|126074	57.4779
C19orf40|91442	55.8993	C19orf40|91442	25.7501
C19orf42|79086	1234.1172	C19orf42|79086	998.7355
C19orf43|79002	1458.1271	C19orf43|79002	1337.625
C19orf44|84167	127.3494	C19orf44|84167	132.2681
C19orf45|374877	7.4257	lowly_expressed	lowly_expressed
C19orf46|163183	90.7591	C19orf46|163183	85.9869
C19orf47|126526	147.89600000000002	C19orf47|126526	284.6304
C19orf48|84798	665.429	C19orf48|84798	293.8269
C19orf50|79036	692.863	C19orf50|79036	1031.3829
C19orf51|352909	113.8614	C19orf51|352909	11.4956
C19orf52|90580	249.1749	C19orf52|90580	116.795
C19orf53|28974	908.6221	C19orf53|28974	799.1723
C19orf54|284325	205.6518	C19orf54|284325	161.8577
C19orf55|148137	117.9868	C19orf55|148137	75.411
C19orf56|51398	1553.2178	C19orf56|51398	1573.5142
C19orf57|79173	86.2211	C19orf57|79173	28.509
C19orf60|55049	89.5215	C19orf60|55049	144.3844
C19orf61|56006	562.9125	C19orf61|56006	321.8761
C19orf62|29086	906.5594	C19orf62|29086	777.5606
C19orf63|284361	1785.6188	C19orf63|284361	1584.0625
C19orf66|55337	584.7298	C19orf66|55337	445.1086
C19orf6|91304	472.566	C19orf6|91304	1048.8562
C19orf70|125988	265.4703	C19orf70|125988	394.9879
C19orf73|55150	11.5512	C19orf73|55150	14.7143
C19orf76|199800	12.17	C19orf76|199800	77.7101
lowly_expressed	lowly_expressed	C19orf77|284422	8.7366
C1D|10438	176.1551	C1D|10438	172.8934
C1GALT1C1|29071	783.2096	C1GALT1C1|29071	540.2919999999999
C1GALT1|56913	633.0446	C1GALT1|56913	362.3405
C1QA|712	3323.0198	C1QA|712	3170.0195
C1QBP|708	1301.8234	C1QBP|708	867.1571
C1QB|713	3748.1436	C1QB|713	2340.4989
C1QC|714	2852.929	C1QC|714	1871.0197
lowly_expressed	lowly_expressed	C1QL1|10882	9.1965
lowly_expressed	lowly_expressed	C1QL2|165257	10.5759
C1QL3|389941	11.3449	C1QL3|389941	17.0134
C1QTNF1|114897	698.2261	C1QTNF1|114897	2748.8217
C1QTNF2|114898	28.6716	C1QTNF2|114898	164.6166
C1QTNF3|114899	598.5974	C1QTNF3|114899	612.944
lowly_expressed	lowly_expressed	C1QTNF4|114900	7.3572
C1QTNF6|114904	643.3581	C1QTNF6|114904	225.7731
C1QTNF7|114905	195.7508	C1QTNF7|114905	422.1175
lowly_expressed	lowly_expressed	C1QTNF9B|387911	57.8825
C1QTNF9|338872	6.1881	C1QTNF9|338872	103.92
C1RL|51279	746.8255	C1RL|51279	1592.2106
C1R|715	5426.7739	C1R|715	16624.8994
C1S|716	12552.0029	C1S|716	20470.3989
lowly_expressed	lowly_expressed	C1orf101|257044	9.6563
C1orf103|55791	612.4175	C1orf103|55791	427.6354
C1orf104|284618	51.4068	C1orf104|284618	20.4115
C1orf106|55765	90.7591	C1orf106|55765	140.7058
C1orf107|27042	1235.9736	C1orf107|27042	656.1674
C1orf109|54955	310.6436	C1orf109|54955	243.7062
lowly_expressed	lowly_expressed	C1orf110|339512	17.9331
C1orf112|55732	507.7517	C1orf112|55732	104.6833
C1orf113|79729	216.5037	C1orf113|79729	105.6535
C1orf114|57821	11.5512	C1orf114|57821	5.0581
C1orf115|79762	1007.632	C1orf115|79762	1751.4657
C1orf116|79098	281.9719	C1orf116|79098	586.7341
C1orf122|127687	233.3808	C1orf122|127687	285.5501
C1orf123|54987	512.7888	C1orf123|54987	646.9709
C1orf124|83932	446.1634	C1orf124|83932	264.3982
C1orf126|200197	32.5392	C1orf126|200197	38.6849
C1orf127|148345	20.8333	lowly_expressed	lowly_expressed
C1orf128|57095	915.6353	C1orf128|57095	827.6813
C1orf130|400746	10.5198	C1orf130|400746	257.9607
C1orf131|128061	386.7574	C1orf131|128061	163.2372
C1orf133|574036	17.7393	C1orf133|574036	51.0403
C1orf135|79000	98.8036	C1orf135|79000	10.1161
C1orf144|26099	2441.2129	C1orf144|26099	2950.2242
C1orf150|148823	10.1073	C1orf150|148823	16.5536
C1orf151|440574	1167.4031	C1orf151|440574	735.7167
C1orf152|767846	9.6947	C1orf152|767846	5.0581
C1orf156|92342	382.2195	C1orf156|92342	172.4336
C1orf159|54991	61.8812	C1orf159|54991	69.4333
C1orf162|128346	667.698	C1orf162|128346	226.2329
C1orf163|65260	225.0413	C1orf163|65260	154.0407
C1orf168|199920	44.967	C1orf168|199920	31.7278
C1orf170|84808	5.1568	C1orf170|84808	14.2545
C1orf172|126695	166.6667	C1orf172|126695	202.7819
C1orf173|127254	15.264000000000001	C1orf173|127254	98.4021
C1orf174|339448	390.6766	C1orf174|339448	353.144
lowly_expressed	lowly_expressed	C1orf175|374977	6.8973
C1orf183|55924	54.6617	C1orf183|55924	128.2906
C1orf186|440712	27.8465	C1orf186|440712	25.7501
C1orf190|541468	15.5569	C1orf190|541468	72.6198
C1orf192|257177	15.6766	C1orf192|257177	23.9108
C1orf198|84886	1308.9934	C1orf198|84886	2222.7842
C1orf201|90529	131.3944	C1orf201|90529	219.7954
C1orf203|84852	44.3564	C1orf203|84852	81.8577
C1orf204|284677	39.3771	C1orf204|284677	28.3573
C1orf210|149466	142.9455	C1orf210|149466	148.5228
C1orf212|113444	489.6865	C1orf212|113444	566.0421
C1orf213|148898	34.6576	C1orf213|148898	41.2323
C1orf216|127703	405.3218	C1orf216|127703	419.3585
C1orf21|81563	4750.4125	C1orf21|81563	3190.7116
C1orf220|400798	27.0215	lowly_expressed	lowly_expressed
C1orf226|400793	943.8944	C1orf226|400793	822.1635
C1orf228|339541	9.0759	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C1orf229|388759	7.3572
C1orf25|81627	899.1337	C1orf25|81627	598.2297
C1orf26|54823	346.3284	C1orf26|54823	197.7239
C1orf27|54953	1661.7162	C1orf27|54953	654.3281
C1orf31|388753	467.8218	C1orf31|388753	153.121
C1orf35|79169	172.4422	C1orf35|79169	116.3352
C1orf38|9473	392.3267	C1orf38|9473	289.2286
C1orf43|25912	5314.9752	C1orf43|25912	3592.5969
C1orf50|79078	148.3086	C1orf50|79078	122.7727
C1orf51|148523	213.0776	C1orf51|148523	23.9108
C1orf52|148423	296.2046	C1orf52|148423	330.1529
C1orf53|388722	11.3449	C1orf53|388722	7.3572
C1orf54|79630	241.5429	C1orf54|79630	224.3936
C1orf55|163859	1042.4917	C1orf55|163859	829.9805
C1orf56|54964	96.2129	C1orf56|54964	128.5573
C1orf57|84284	653.4653	C1orf57|84284	364.1798
C1orf58|148362	1386.0953	C1orf58|148362	382.5175
C1orf59|113802	398.7211	C1orf59|113802	177.0318
C1orf63|57035	449.0512	C1orf63|57035	185.7685
C1orf64|149563	370.0495	C1orf64|149563	219.7954
C1orf66|51093	341.1716	C1orf66|51093	452.006
C1orf69|200205	142.9455	C1orf69|200205	181.6301
lowly_expressed	lowly_expressed	C1orf70|339453	9.6563
C1orf74|148304	130.5693	C1orf74|148304	92.4244
C1orf77|26097	1859.1172	C1orf77|26097	1139.4413
C1orf83|127428	209.571	C1orf83|127428	156.7996
C1orf84|149469	18.6448	C1orf84|149469	14.8983
C1orf85|112770	813.9439	C1orf85|112770	919.6459
C1orf86|199990	86.9823	C1orf86|199990	223.2257
C1orf88|128344	31.3531	C1orf88|128344	144.8442
C1orf89|79363	26.1964	C1orf89|79363	39.5448
C1orf91|56063	108.8861	C1orf91|56063	120.0138
C1orf93|127281	466.7059	C1orf93|127281	588.2653
C1orf95|375057	18.3581	C1orf95|375057	126.9111
C1orf96|126731	612.6238	C1orf96|126731	349.0056
C1orf97|84791	121.4934	C1orf97|84791	74.9511
C1orf9|51430	3387.5825	C1orf9|51430	1501.3220000000001
C20orf103|24141	871.4934	C20orf103|24141	36.326
C20orf108|116151	3956.4769	C20orf108|116151	3986.2053
C20orf111|51526	1081.4769	C20orf111|51526	856.1904
C20orf112|140688	1881.3944	C20orf112|140688	778.4803
C20orf114|92747	2062.0875	C20orf114|92747	59.3172
C20orf117|140710	372.5248	C20orf117|140710	496.6088
C20orf118|140711	42.0235	C20orf118|140711	11.7945
C20orf11|54994	2097.7723	C20orf11|54994	1438.7861
C20orf12|55184	83.9521	C20orf12|55184	85.9869
C20orf132|140699	23.9295	C20orf132|140699	35.411
C20orf134|170487	14.8515	C20orf134|170487	17.9331
C20orf135|140701	21.6584	C20orf135|140701	45.0627
C20orf151|140893	47.8548	C20orf151|140893	26.2099
C20orf160|140706	111.7987	C20orf160|140706	324.1752
C20orf177|63939	386.5821	C20orf177|63939	236.34900000000002
C20orf194|25943	657.3845	C20orf194|25943	1126.1064
lowly_expressed	lowly_expressed	C20orf195|79025	9.1965
C20orf196|149840	54.868	C20orf196|149840	38.1653
C20orf197|284756	9.901	lowly_expressed	lowly_expressed
C20orf199|441951	1700.7013	C20orf199|441951	1246.5801
lowly_expressed	lowly_expressed	C20orf200|253868	11.4956
C20orf202|400831	8.4571	C20orf202|400831	6.8973
C20orf20|55257	275.7838	C20orf20|55257	187.6078
C20orf24|55969	1799.0573	C20orf24|55969	696.0524
C20orf26|26074	12.3762	C20orf26|26074	8.7366
C20orf27|54976	241.9554	C20orf27|54976	374.2959
C20orf29|55317	125.0	C20orf29|55317	172.8934
C20orf30|29058	2422.6485	C20orf30|29058	2454.535
C20orf3|57136	4566.4191	C20orf3|57136	3159.4436
C20orf43|51507	2237.83	C20orf43|51507	1919.7609
C20orf46|55321	18.1518	C20orf46|55321	18.3929
C20orf4|25980	1082.9208	C20orf4|25980	1118.7493
C20orf54|113278	194.7195	C20orf54|113278	206.4605
C20orf72|92667	456.8894	C20orf72|92667	434.0729
C20orf7|79133	135.3135	C20orf7|79133	111.2772
C20orf94|128710	44.3482	C20orf94|128710	17.0134
C20orf96|140680	381.8069	C20orf96|140680	175.1926
C21orf119|84996	26.6089	C21orf119|84996	68.0538
C21orf122|728039	12.3762	C21orf122|728039	34.4867
C21orf130|284835	20.0083	lowly_expressed	lowly_expressed
C21orf15|54094	32.1782	C21orf15|54094	13.7947
C21orf2|755	128.9191	C21orf2|755	236.34900000000002
C21orf33|8209	1186.8812	C21orf33|8209	1416.7146
C21orf34|388815	28.0528	C21orf34|388815	99.7816
C21orf45|54069	470.7096	C21orf45|54069	135.188
lowly_expressed	lowly_expressed	C21orf49|54067	9.1965
C21orf56|84221	73.6386	C21orf56|84221	131.0495
C21orf57|54059	127.0627	C21orf57|54059	136.5674
C21orf58|54058	65.1815	C21orf58|54058	20.2322
C21orf59|56683	701.0788	C21orf59|56683	445.8535
C21orf63|59271	238.6551	C21orf63|59271	616.6226
C21orf67|84536	35.2723	C21orf67|84536	40.4644
C21orf70|85395	41.8729	C21orf70|85395	91.5048
C21orf7|56911	117.9868	C21orf7|56911	215.657
C21orf82|114036	24.3399	C21orf82|114036	40.9242
C21orf88|114041	59.1997	C21orf88|114041	6.4375
C21orf91|54149	890.6766	C21orf91|54149	885.1592
C22orf13|83606	2905.4538	C22orf13|83606	1833.5165
C22orf23|84645	26.4026	C22orf23|84645	67.1342
C22orf25|128989	405.5281	C22orf25|128989	407.4031
C22orf26|55267	12.5825	C22orf26|55267	10.5759
C22orf27|150291	50.5363	C22orf27|150291	75.8708
C22orf28|51493	1390.8828	C22orf28|51493	1384.0671
C22orf29|79680	565.8065	C22orf29|79680	511.4151
C22orf30|253143	1329.8267	C22orf30|253143	993.2176
C22orf32|91689	344.8845	C22orf32|91689	507.6446
C22orf34|348645	5.3629999999999995	C22orf34|348645	6.8973
C22orf36|388886	56.3119	C22orf36|388886	138.4067
C22orf39|128977	433.3746	C22orf39|128977	618.4619
C22orf40|150383	64.9752	C22orf40|150383	108.978
C22orf46|79640	344.8845	C22orf46|79640	342.1083
C22orf9|23313	1658.4158	C22orf9|23313	1964.8235
C2CD2L|9854	354.1625	C2CD2L|9854	336.1076
C2CD2|25966	1219.4719	C2CD2|25966	1596.9652
C2CD3|26005	686.2624	C2CD3|26005	732.9578
C2CD4A|145741	7.2195	C2CD4A|145741	185.3087
C2CD4B|388125	15.6766	C2CD4B|388125	1387.2859
C2CD4C|126567	6.1881	C2CD4C|126567	45.5225
lowly_expressed	lowly_expressed	C2CD4D|100191040	5.5179
C2orf15|150590	76.2562	C2orf15|150590	35.9398
C2orf16|84226	26.1964	C2orf16|84226	34.0269
C2orf18|54978	1515.8828	C2orf18|54978	1395.1029
C2orf24|27013	1154.9092	C2orf24|27013	1231.8657
C2orf27A|29798	35.066	C2orf27A|29798	23.451
C2orf28|51374	1248.0941	C2orf28|51374	1873.3188
C2orf29|55571	1028.6716	C2orf29|55571	820.3242
C2orf34|79823	113.4488	C2orf34|79823	70.3529
C2orf3|6936	459.57099999999997	C2orf3|6936	449.24699999999996
C2orf40|84417	21.0396	C2orf40|84417	694.3327
C2orf42|54980	247.1122	C2orf42|54980	248.3044
C2orf43|60526	186.4686	C2orf43|60526	178.8711
C2orf44|80304	243.8119	C2orf44|80304	197.2641
C2orf47|79568	337.2525	C2orf47|79568	286.4697
C2orf48|348738	5.3629999999999995	lowly_expressed	lowly_expressed
C2orf49|79074	145.4208	C2orf49|79074	135.6478
C2orf50|130813	17.7393	lowly_expressed	lowly_expressed
C2orf54|79919	67.6568	C2orf54|79919	8.7366
C2orf55|343990	152.6403	C2orf55|343990	262.5589
C2orf56|55471	193.6881	C2orf56|55471	223.0141
C2orf58|285154	10.1073	C2orf58|285154	16.0938
C2orf60|129450	267.7393	C2orf60|129450	128.7504
C2orf63|130162	54.868	C2orf63|130162	36.326
C2orf64|493753	410.2723	C2orf64|493753	392.6888
C2orf65|130951	15.264000000000001	C2orf65|130951	7.817
C2orf67|151050	538.0198	C2orf67|151050	554.6477
C2orf68|388969	719.6782	C2orf68|388969	646.5111
C2orf69|205327	715.1403	C2orf69|205327	474.0775
C2orf72|257407	16.5017	C2orf72|257407	213.3579
C2orf74|339804	430.2805	C2orf74|339804	420.73800000000006
C2orf76|130355	48.2673	C2orf76|130355	75.8708
C2orf77|129881	120.8746	C2orf77|129881	234.0499
C2orf79|391356	138.2013	C2orf79|391356	199.5632
C2orf7|84279	156.9719	C2orf7|84279	237.2687
C2orf81|388963	38.7087	C2orf81|388963	79.2551
lowly_expressed	lowly_expressed	C2orf82|389084	7.3572
lowly_expressed	lowly_expressed	C2orf84|653140	12.4152
C2orf86|51057	74.2574	C2orf86|51057	126.4513
C2orf88|84281	94.6782	C2orf88|84281	157.2595
C2orf89|129293	90.7591	C2orf89|129293	40.4644
C2|717	1631.7636	C2|717	1008.7366
C3AR1|719	898.5149	C3AR1|719	385.3316
C3orf10|55845	2982.0545	C3orf10|55845	2911.599
C3orf14|57415	377.8878	C3orf14|57415	353.144
C3orf15|89876	481.6419	C3orf15|89876	118.6343
C3orf17|25871	2300.1238	C3orf17|25871	787.2169
C3orf18|51161	80.6518	C3orf18|51161	169.6747
C3orf19|51244	415.8416	C3orf19|51244	354.5235
C3orf1|51300	1873.9686	C3orf1|51300	873.2038
C3orf21|152002	338.0776	C3orf21|152002	283.2509
C3orf23|285343	594.8845	C3orf23|285343	478.6757
C3orf26|84319	364.4802	C3orf26|84319	291.9876
C3orf31|132001	155.9406	C3orf31|132001	155.4202
C3orf32|51066	17.1205	C3orf32|51066	10.5759
C3orf33|285315	50.33	C3orf33|285315	116.795
C3orf34|84984	83.7459	C3orf34|84984	66.2145
