gene_id	TCGA-E9-A1NF-01A-11R-A14D-07	gene_id	TCGA-E9-A1NF-11A-73R-A14D-07
ACADS|35	275.523	ACADS|35	1373.8532
ACADVL|37	2640.0679	ACADVL|37	7942.156
ACAN|176	496.5606	ACAN|176	33.4862
ACAP1|9744	82.9665	ACAP1|9744	47.7064
ACAP2|23527	1401.7621	ACAP2|23527	1970.1835
ACAP3|116983	512.6586	ACAP3|116983	605.6514
ACAT1|38	669.3043	ACAT1|38	2532.1101
ACAT2|39	295.4288	ACAT2|39	213.5505
ACBD3|64746	1704.5279	ACBD3|64746	1427.9817
ACBD4|79777	145.5009	ACBD4|79777	316.055
ACBD5|91452	698.4044	ACBD5|91452	1084.8624
ACBD6|84320	514.516	ACBD6|84320	307.3394
ACBD7|414149	48.2939	removed	removed
ACCN2|41	101.5411	ACCN2|41	74.3119
ACCN3|9311	28.481	ACCN3|9311	9.1743
ACCS|84680	201.2247	ACCS|84680	403.6697
ACD|65057	334.9617	ACD|65057	239.4495
ACE2|59272	7.4298	ACE2|59272	26.6055
ACER2|340485	55.1046	ACER2|340485	478.4404
ACER3|55331	292.8593	ACER3|55331	1106.422
ACE|1636	1349.1341	ACE|1636	1861.9266
ACHE|43	6.1915	ACHE|43	5.9633
ACIN1|22985	2525.5246	ACIN1|22985	2655.0459
ACLY|47	2877.2034	ACLY|47	3558.7156
ACMSD|130013	61.9153	removed	removed
ACN9|57001	115.1624	ACN9|57001	94.9541
ACO1|48	694.6895	ACO1|48	6916.5138
ACO2|50	2263.6105	ACO2|50	3127.6239
ACOT11|26027	42.7215	ACOT11|26027	20.1789
ACOT13|55856	542.1798	ACOT13|55856	663.3349
ACOT1|641371	413.5941	ACOT1|641371	1081.1927
ACOT2|10965	279.8571	ACOT2|10965	722.9358
ACOT4|122970	328.151	ACOT4|122970	177.0642
ACOT6|641372	9.2873	ACOT6|641372	10.5505
ACOT7|11332	477.3669	ACOT7|11332	249.5413
ACOT8|10005	540.5514	ACOT8|10005	196.2706
ACOT9|23597	718.8365	ACOT9|23597	954.5872
ACOX1|51	1087.8516	ACOX1|51	2821.1009
ACOX2|8309	814.8052	ACOX2|8309	433.4862
ACOX3|8310	294.7168	ACOX3|8310	386.6972
ACP1|52	889.1035	ACP1|52	872.0183
ACP2|53	1112.6177	ACP2|53	1170.1835
ACP5|54	2329.8723	ACP5|54	2518.3486
ACP6|51205	424.1197	ACP6|51205	128.8991
ACPL2|92370	516.9927	ACPL2|92370	362.844
ACPP|55	80.4899	ACPP|55	31.1927
ACRBP|84519	26.0044	ACRBP|84519	62.3853
ACRC|93953	22.2895	ACRC|93953	32.5688
ACR|49	6.8107	ACR|49	8.7156
ACSBG1|23205	8.6681	ACSBG1|23205	11.4679
ACSF2|80221	287.9061	ACSF2|80221	1101.8349
ACSF3|197322	355.3938	ACSF3|197322	294.9541
ACSL1|2180	2061.1599	ACSL1|2180	22699.5413
ACSL3|2181	2576.2951	ACSL3|2181	1936.6972
ACSL4|2182	1256.2612	ACSL4|2182	3710.0917
ACSL5|51703	515.7543	ACSL5|51703	1411.0092
ACSM1|116285	24.7661	removed	removed
ACSM3|6296	30.5738	ACSM3|6296	7.4174
ACSM5|54988	16.098	ACSM5|54988	413.3028
ACSS1|84532	1172.0564	ACSS1|84532	345.4128
ACSS2|55902	606.7698	ACSS2|55902	3191.7431
ACSS3|79611	577.6696	ACSS3|79611	795.4128
ACTA1|58	69.3451	removed	removed
ACTA2|59	32643.5846	ACTA2|59	8072.2064
ACTB|60	135899.1028	ACTB|60	76888.5321
removed	removed	ACTC1|70	38.0734
