gene_id	TCGA-AC-A2FB-01A-11R-A17B-07	gene_id	TCGA-AC-A2FB-11A-13R-A17B-07
C10orf12|26148	260.047	C10orf12|26148	73.4267
C10orf137|26098	339.0874	C10orf137|26098	314.8148
C10orf140|387640	70.3461	C10orf140|387640	69.4577
C10orf18|54906	1882.4864	C10orf18|54906	1184.6898
C10orf25|220979	49.3492	C10orf25|220979	74.007
C10orf26|54838	2989.2212	C10orf26|54838	2842.6542
C10orf28|27291	394.8456	C10orf28|27291	326.8421
C10orf2|56652	292.7304	C10orf2|56652	264.3001
C10orf32|119032	772.5099	C10orf32|119032	904.1529
C10orf35|219738	119.6207	C10orf35|219738	156.0543
C10orf41|100131213	7.456	C10orf41|100131213	33.9771
C10orf46|143384	2299.7001	C10orf46|143384	1587.6047
C10orf47|254427	87.8515	C10orf47|254427	155.7536
C10orf4|118924	379.2852	C10orf4|118924	502.4408
C10orf54|64115	1322.3114	C10orf54|64115	2808.3764
C10orf55|414236	8.7527	C10orf55|414236	14.4358
C10orf57|80195	1483.9063	C10orf57|80195	844.9845
C10orf58|84293	2810.6005	C10orf58|84293	3242.2616
C10orf68|79741	7.482	lowly_expressed	lowly_expressed
C10orf72|196740	393.8731	C10orf72|196740	1041.8656
C10orf75|90271	59.3241	C10orf75|90271	104.0362
C10orf76|79591	735.2298	C10orf76|79591	678.0395
C10orf78|119392	127.0767	C10orf78|119392	119.9724
C10orf79|80217	106.9779	C10orf79|80217	61.3393
C10orf81|79949	311.2084	C10orf81|79949	1020.5171
C10orf82|143379	124.4833	C10orf82|143379	43.8997
C10orf84|63877	796.4989	C10orf84|63877	782.3764
C10orf88|80007	191.9118	C10orf88|80007	174.0953
C10orf90|118611	10.3736	C10orf90|118611	73.0659
C10orf95|79946	17.3207	lowly_expressed	lowly_expressed
C11orf10|746	964.4218	C11orf10|746	1125.4553
C11orf16|56673	6.8077	lowly_expressed	lowly_expressed
C11orf17|56672	234.703	C11orf17|56672	291.6622
C11orf1|64776	611.599	C11orf1|64776	348.1304
C11orf21|29125	28.2033	C11orf21|29125	10.5239
C11orf24|53838	623.7134	C11orf24|53838	713.8207
C11orf2|738	1407.2453	C11orf2|738	2428.9149
C11orf30|56946	648.9991	C11orf30|56946	466.3589
C11orf31|280636	795.2022	C11orf31|280636	630.5316
C11orf35|256329	23.3763	C11orf35|256329	15.9753
C11orf41|25758	178.9448	C11orf41|25758	91.1069
C11orf45|219833	29.5	C11orf45|219833	62.2413
C11orf46|120534	715.4551	C11orf46|120534	782.3764
C11orf48|79081	632.1031	C11orf48|79081	337.2517
C11orf49|79096	472.3235	C11orf49|79096	466.9602
C11orf51|25906	447.5889	C11orf51|25906	376.1841
C11orf52|91894	1370.3801	C11orf52|91894	339.0438
C11orf53|341032	11.3461	C11orf53|341032	24.656
C11orf54|28970	570.8728	C11orf54|28970	649.1739
C11orf57|55216	955.9932	C11orf57|55216	939.0321
C11orf58|10944	3709.2147	C11orf58|10944	3384.1838
C11orf59|55004	2155.7663	C11orf59|55004	1844.0870000000002
C11orf61|79684	94.6592	C11orf61|79684	184.9199
C11orf63|79864	126.4284	C11orf63|79864	196.6465
C11orf65|160140	5.1868	lowly_expressed	lowly_expressed
C11orf66|220004	30.4725	C11orf66|220004	23.4533
C11orf67|28971	190.2909	C11orf67|28971	406.2133
C11orf68|83638	592.9168	C11orf68|83638	980.827
C11orf70|85016	24.3132	C11orf70|85016	45.7038
C11orf71|54494	151.3899	C11orf71|54494	224.0086
C11orf73|51501	258.0436	C11orf73|51501	458.8418
C11orf74|119710	109.2471	C11orf74|119710	201.7581
C11orf75|56935	172.1371	C11orf75|56935	278.1315
C11orf80|79703	325.7963	C11orf80|79703	297.6759
C11orf82|220042	70.3461	C11orf82|220042	49.6126
C11orf83|790955	205.5272	C11orf83|790955	155.1523
C11orf84|144097	259.9887	C11orf84|144097	223.1066
lowly_expressed	lowly_expressed	C11orf87|399947	16.2369
C11orf88|399949	7.1319	lowly_expressed	lowly_expressed
C11orf92|399948	96.2801	C11orf92|399948	85.3939
C11orf93|120376	24.6373	C11orf93|120376	39.0888
C11orf95|65998	502.4718	C11orf95|65998	692.4723
C11orf9|745	19.1263	C11orf9|745	36.3826
C12orf10|60314	570.5487	C12orf10|60314	776.062
C12orf11|55726	398.0874	C12orf11|55726	322.6325
C12orf23|90488	1484.0749	C12orf23|90488	1157.3277
C12orf24|29902	57.0549	C12orf24|29902	85.0932
C12orf26|84190	106.3295	C12orf26|84190	116.0635
C12orf29|91298	382.3195	C12orf29|91298	411.2467
C12orf32|83695	520.9498	C12orf32|83695	457.9398
C12orf34|84915	92.0658	C12orf34|84915	92.6103
C12orf35|55196	2257.8815	C12orf35|55196	1223.1772
lowly_expressed	lowly_expressed	C12orf39|80763	43.2983
C12orf41|54934	464.8675	C12orf41|54934	437.1926
C12orf43|64897	254.8018	C12orf43|64897	307.8991
C12orf44|60673	605.5596	C12orf44|60673	585.4292
C12orf45|121053	140.6921	C12orf45|121053	141.6216
C12orf47|51275	216.9803	C12orf47|51275	307.6255
C12orf48|55010	67.3021	C12orf48|55010	46.9065
C12orf49|79794	539.4278	C12orf49|79794	441.1015
C12orf4|57102	400.0324	C12orf4|57102	340.6735
C12orf51|283450	2668.9359	C12orf51|283450	1114.0294
C12orf52|84934	452.87300000000005	C12orf52|84934	307.5984
C12orf53|196500	10.0494	C12orf53|196500	10.2232
lowly_expressed	lowly_expressed	C12orf54|121273	6.0137
C12orf57|113246	1615.0417	C12orf57|113246	1831.1576
C12orf59|120939	13.2912	C12orf59|120939	7.2164
C12orf5|57103	337.4666	C12orf5|57103	184.0178
C12orf60|144608	17.8296	C12orf60|144608	22.8519
C12orf61|283416	8.4286	C12orf61|283416	5.712999999999999
C12orf62|84987	611.0706	C12orf62|84987	580.3176
C12orf63|374467	7.1319	lowly_expressed	lowly_expressed
C12orf65|91574	219.4667	C12orf65|91574	279.0335
C12orf66|144577	115.7306	C12orf66|144577	92.911
C12orf68|387856	16.5329	C12orf68|387856	76.0727
C12orf69|440087	23.989	C12orf69|440087	17.7403
C12orf72|254013	78.7746	C12orf72|254013	73.0659
C12orf73|728568	81.368	C12orf73|728568	80.2823
C12orf74|338809	7.456	lowly_expressed	lowly_expressed
C12orf75|387882	260.9612	C12orf75|387882	448.0172
C12orf76|400073	135.1811	C12orf76|400073	118.5051
C13orf15|28984	365.0215	C13orf15|28984	776.9641
C13orf18|80183	247.0216	C13orf18|80183	174.6966
C13orf1|57213	206.8239	C13orf1|57213	248.9653
C13orf23|80209	1075.6139	C13orf23|80209	787.488
C13orf27|93081	135.8295	C13orf27|93081	126.8881
C13orf29|283487	136.4778	C13orf29|283487	124.7833
C13orf31|144811	256.0985	C13orf31|144811	245.6578
C13orf33|84935	70.3461	C13orf33|84935	1332.9264
C13orf34|79866	138.3775	C13orf34|79866	110.1551
lowly_expressed	lowly_expressed	C13orf36|400120	59.8359
C13orf37|440145	361.7797	C13orf37|440145	295.2704
C13orf38|728591	6.1593	lowly_expressed	lowly_expressed
C14orf101|54916	405.2192	C14orf101|54916	415.5435
C14orf102|55051	353.027	C14orf102|55051	295.5711
C14orf104|55172	219.7909	C14orf104|55172	196.0451
C14orf106|55320	519.9773	C14orf106|55320	575.5067
C14orf109|26175	329.3622	C14orf109|26175	294.66900000000004
C14orf118|55668	232.4337	C14orf118|55668	181.011
C14orf119|55017	1017.2623	C14orf119|55017	936.0252
C14orf126|112487	274.8229	C14orf126|112487	361.1109
C14orf128|84837	76.5054	C14orf128|84837	140.1181
C14orf129|51527	657.1035	C14orf129|51527	380.3636
C14orf132|56967	561.1476	C14orf132|56967	1199.1226
C14orf135|64430	825.6747	C14orf135|64430	808.2351
C14orf138|79609	107.6262	C14orf138|79609	100.1273
C14orf139|79686	190.9393	C14orf139|79686	1028.6355
C14orf142|84520	201.9613	C14orf142|84520	171.0885
C14orf143|90141	97.5768	C14orf143|90141	60.4372
C14orf145|145508	125.4559	C14orf145|145508	108.8471
C14orf147|171546	2734.0951	C14orf147|171546	1175.068
C14orf148|122945	9.0769	lowly_expressed	lowly_expressed
C14orf149|112849	48.3021	C14orf149|112849	111.854
C14orf153|84334	273.7467	C14orf153|84334	412.9426
C14orf156|81892	458.7082	C14orf156|81892	443.50699999999995
C14orf159|80017	794.5539	C14orf159|80017	1128.1615
C14orf162|56936	8.4286	lowly_expressed	lowly_expressed
C14orf166|51637	1919.7666	C14orf166|51637	2173.6352
C14orf167|55449	812.0917	C14orf167|55449	724.2965
C14orf169|79697	281.0601	C14orf169|79697	290.7602
C14orf174|161394	70.0219	C14orf174|161394	22.8519
C14orf176|643382	8.4286	C14orf176|643382	10.2232
C14orf179|112752	221.4118	C14orf179|112752	255.88099999999997
lowly_expressed	lowly_expressed	C14orf180|400258	278.7329
C14orf181|400223	13.6154	C14orf181|400223	18.041
C14orf182|283551	42.7912	C14orf182|283551	12.9294
C14orf184|650662	10.3736	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C14orf19|280655	6.0137
C14orf1|11161	863.9274	C14orf1|11161	706.905
C14orf21|161424	357.2413	C14orf21|161424	253.4755
C14orf28|122525	70.6702	C14orf28|122525	180.4096
C14orf2|9556	821.4604	C14orf2|9556	831.087
C14orf33|100129075	70.3461	C14orf33|100129075	96.5191
C14orf37|145407	116.7031	C14orf37|145407	181.91299999999998
C14orf43|91748	1764.1624	C14orf43|91748	1318.193
C14orf45|80127	335.0482	C14orf45|80127	243.3064
C14orf49|161176	69.0494	C14orf49|161176	190.3321
C14orf4|64207	1713.9152	C14orf4|64207	1540.6982
C14orf50|145376	5.8352	C14orf50|145376	47.2072
C14orf64|388011	96.6043	C14orf64|388011	28.2642
C14orf72|145200	9.0769	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C14orf73|91828	6.615
C14orf79|122616	243.1315	C14orf79|122616	171.6898
C14orf80|283643	110.5438	C14orf80|283643	53.5215
C14orf93|60686	167.2745	C14orf93|60686	229.4209
C15orf17|57184	881.757	C15orf17|57184	1550.32
C15orf21|283651	91.4175	C15orf21|283651	65.8495
C15orf23|90417	181.5382	C15orf23|90417	113.6581
C15orf24|56851	986.4657	C15orf24|56851	980.5263
C15orf27|123591	47.3296	C15orf27|123591	13.5307
C15orf28|80035	10.3736	lowly_expressed	lowly_expressed
C15orf29|79768	252.2084	C15orf29|79768	350.8967
C15orf33|196951	47.8061	C15orf33|196951	36.9719
C15orf34|80072	19.4505	C15orf34|80072	21.3485
C15orf37|283687	29.568	C15orf37|283687	33.8839
C15orf38|348110	209.145	C15orf38|348110	369.4188
C15orf39|56905	1171.2456	C15orf39|56905	742.6863
C15orf40|123207	211.8097	C15orf40|123207	261.1189
C15orf41|84529	98.5493	C15orf41|84529	128.9929
C15orf42|90381	48.3637	C15orf42|90381	34.6386
C15orf44|81556	982.2514	C15orf44|81556	874.9867
C15orf48|84419	1324.2564	C15orf48|84419	60.7379
C15orf51|196968	12.6428	C15orf51|196968	12.9294
C15orf52|388115	811.0868	C15orf52|388115	586.9326
C15orf56|644809	15.8846	C15orf56|644809	5.1116
C15orf57|90416	375.2298	C15orf57|90416	394.7362
C15orf58|390637	91.4175	C15orf58|390637	51.4167
C15orf59|388135	437.3126	C15orf59|388135	36.984
C15orf61|145853	66.456	C15orf61|145853	136.2093
C15orf62|643338	50.5714	C15orf62|643338	42.9976
C15orf63|25764	694.0595	C15orf63|25764	488.9101
C16orf13|84326	362.4281	C16orf13|84326	358.7145
C16orf3|750	5.511	lowly_expressed	lowly_expressed
C16orf42|115939	490.7983	C16orf42|115939	577.8189
C16orf45|89927	1247.751	C16orf45|89927	905.6563
C16orf46|123775	55.434	C16orf46|123775	47.2072
C16orf48|84080	107.9504	C16orf48|84080	243.8537
C16orf52|730094	286.57099999999997	C16orf52|730094	366.5322
C16orf53|79447	1073.3382	C16orf53|79447	548.8963
C16orf54|283897	308.2908	C16orf54|283897	148.8379
C16orf55|124045	100.1702	C16orf55|124045	84.1912
C16orf57|79650	627.2794	C16orf57|79650	729.4562
C16orf58|64755	1550.3104	C16orf58|64755	1708.3859
C16orf59|80178	41.4944	C16orf59|80178	18.3416
C16orf5|29965	512.8454	C16orf5|29965	1104.1069
C16orf61|56942	159.2803	C16orf61|56942	179.1227
C16orf62|57020	1214.0368	C16orf62|57020	1385.8466
C16orf63|123811	686.9276	C16orf63|123811	798.0119
C16orf68|79091	112.1647	C16orf68|79091	179.2069
C16orf70|80262	346.3846	C16orf70|80262	477.4571
C16orf71|146562	24.9615	C16orf71|146562	9.3212
C16orf72|29035	1183.8885	C16orf72|29035	1056.8997
C16orf74|404550	74.2362	C16orf74|404550	90.8062
C16orf75|116028	153.335	C16orf75|116028	50.8154
C16orf7|9605	155.2152	C16orf7|9605	195.3084
C16orf80|29105	343.6259	C16orf80|29105	629.3289
C16orf86|388284	22.3681	C16orf86|388284	59.5352
C16orf87|388272	59.6483	C16orf87|388272	70.3598
C16orf88|400506	335.8457	C16orf88|400506	249.8673
C16orf89|146556	355.6204	C16orf89|146556	665.7115
C16orf91|283951	104.7086	C16orf91|283951	158.4598
C16orf93|90835	37.6043	C16orf93|90835	18.3416
C17orf100|388327	23.0165	C17orf100|388327	48.1092
C17orf101|79701	305.04900000000004	C17orf101|79701	345.7851
C17orf103|256302	461.9499	C17orf103|256302	1057.5011
C17orf104|284071	23.0165	C17orf104|284071	7.2164
C17orf106|100134934	175.9462	C17orf106|100134934	255.9501
C17orf107|100130311	78.4083	C17orf107|100130311	131.0465
C17orf108|201229	323.8512	C17orf108|201229	400.9484
C17orf28|283987	1623.7945	C17orf28|283987	988.3439999999999
C17orf37|84299	3515.0336	C17orf37|84299	454.3316
C17orf39|79018	266.4722	C17orf39|79018	533.7118
C17orf42|79736	116.7031	C17orf42|79736	133.5031
C17orf44|284029	77.8021	C17orf44|284029	64.0454
C17orf48|56985	147.82399999999998	C17orf48|56985	168.0816
C17orf49|124944	863.3374	C17orf49|124944	907.0725
C17orf51|339263	90.1208	C17orf51|339263	304.8923
C17orf53|78995	55.434	C17orf53|78995	47.5079
lowly_expressed	lowly_expressed	C17orf55|284185	12.328
C17orf56|146705	149.072	C17orf56|146705	162.1642
C17orf57|124989	22.6923	C17orf57|124989	25.8587
C17orf58|284018	1052.9216	C17orf58|284018	733.6658
C17orf59|54785	121.2416	C17orf59|54785	217.3936
C17orf60|284021	49.2747	C17orf60|284021	47.8085
C17orf61|254863	342.4718	C17orf61|254863	559.5465
C17orf62|79415	1186.4819	C17orf62|79415	998.5672
C17orf63|55731	831.1857	C17orf63|55731	727.3515
C17orf65|339201	187.6651	C17orf65|339201	131.3953
C17orf67|339210	10.3736	C17orf67|339210	37.5853
C17orf68|80169	766.9989	C17orf68|80169	775.16
C17orf69|147081	54.1373	C17orf69|147081	84.4918
C17orf70|80233	631.4936	C17orf70|80233	496.4271
C17orf71|55181	507.3345	C17orf71|55181	520.4818
C17orf72|92340	50.9571	C17orf72|92340	52.8269
C17orf75|64149	185.4283	C17orf75|64149	151.5441
C17orf76|388341	36.6318	C17orf76|388341	67.3529
C17orf79|55352	528.0817	C17orf79|55352	856.3443
C17orf80|55028	467.7851	C17orf80|55028	500.336
C17orf81|23587	381.2302	C17orf81|23587	504.2449
C17orf85|55421	496.9609	C17orf85|55421	513.2654
C17orf86|654434	73.91199999999999	C17orf86|654434	91.7082
C17orf87|388325	80.5673	C17orf87|388325	37.45
C17orf89|284184	200.0162	C17orf89|284184	219.7991
C17orf90|339229	269.3897	C17orf90|339229	196.6465
C17orf91|84981	99.846	C17orf91|84981	329.8489
C17orf95|124512	298.5655	C17orf95|124512	330.4503
C17orf96|100170841	425.6423	C17orf96|100170841	76.6741
C17orf97|400566	130.9669	C17orf97|400566	99.52600000000001
C18orf10|25941	940.4328	C18orf10|25941	1294.7397
C18orf18|147525	21.3956	C18orf18|147525	59.8359
C18orf19|125228	282.3568	C18orf19|125228	245.9584
C18orf1|753	1864.981	C18orf1|753	1531.3770000000002
C18orf21|83608	177.6481	C18orf21|83608	230.9243
C18orf22|79863	278.1425	C18orf22|79863	359.3158
C18orf25|147339	785.8011	C18orf25|147339	616.3995
C18orf32|497661	1312.8292	C18orf32|497661	922.1187
C18orf34|374864	23.6648	C18orf34|374864	95.3164
C18orf45|85019	451.5763	C18orf45|85019	333.4571
C18orf54|162681	97.5768	C18orf54|162681	104.3369
C18orf55|29090	333.9006	C18orf55|29090	346.3865
C18orf8|29919	409.45300000000003	C18orf8|29919	353.681
C19orf10|56005	1011.7514	C19orf10|56005	1135.0772
C19orf12|83636	417.8621	C19orf12|83636	1093.8837
C19orf18|147685	15.5604	C19orf18|147685	11.7266
C19orf20|91978	19.7747	C19orf20|91978	36.984
C19orf21|126353	334.2248	C19orf21|126353	33.3758
C19orf22|91300	1129.7512	C19orf22|91300	850.03
C19orf23|148046	12.6428	C19orf23|148046	6.9157
C19orf24|55009	414.9445	C19orf24|55009	320.2271
C19orf25|148223	324.4996	C19orf25|148223	258.2864
C19orf26|255057	7.7802	lowly_expressed	lowly_expressed
C19orf28|126321	770.5649	C19orf28|126321	491.9169
C19orf29|58509	286.2469	C19orf29|58509	311.5073
C19orf2|8725	1587.8110000000001	C19orf2|8725	1585.1992
C19orf33|64073	18.2089	C19orf33|64073	67.6897
C19orf35|374872	25.6099	C19orf35|374872	12.0273
C19orf36|113177	35.9835	C19orf36|113177	16.8382
C19orf38|255809	52.1922	C19orf38|255809	29.7676
C19orf39|126074	69.0494	C19orf39|126074	51.1161
C19orf40|91442	53.4889	C19orf40|91442	30.6696
C19orf42|79086	1238.9983	C19orf42|79086	1365.7008
C19orf43|79002	1415.0255	C19orf43|79002	1648.3426
C19orf44|84167	143.0229	C19orf44|84167	208.4543
C19orf46|163183	130.3185	C19orf46|163183	105.8403
C19orf47|126526	351.4061	C19orf47|126526	254.0769
C19orf48|84798	810.4384	C19orf48|84798	466.0582
C19orf50|79036	946.9163	C19orf50|79036	1233.7011
C19orf51|352909	49.923	C19orf51|352909	15.3348
C19orf52|90580	146.2031	C19orf52|90580	144.3277
C19orf53|28974	1068.482	C19orf53|28974	998.8679
C19orf54|284325	237.6206	C19orf54|284325	242.0496
C19orf55|148137	119.9449	C19orf55|148137	76.6741
C19orf56|51398	1759.2933	C19orf56|51398	2006.155
C19orf57|79173	30.1483	C19orf57|79173	59.8359
C19orf60|55049	121.2416	C19orf60|55049	192.7376
C19orf61|56006	403.2742	C19orf61|56006	497.3292
C19orf62|29086	856.1472	C19orf62|29086	957.3737
C19orf63|284361	1799.2868	C19orf63|284361	1675.8039
C19orf66|55337	625.9956	C19orf66|55337	491.3576
C19orf6|91304	1140.7732	C19orf6|91304	1211.4506
C19orf70|125988	523.5432	C19orf70|125988	553.5569
C19orf73|55150	7.456	C19orf73|55150	9.9225
C19orf76|199800	22.3681	C19orf76|199800	79.6809
C19orf77|284422	7.456	C19orf77|284422	7.5171
C1D|10438	217.1975	C1D|10438	195.7444
C1GALT1C1|29071	618.2024	C1GALT1C1|29071	601.3654
C1GALT1|56913	471.351	C1GALT1|56913	285.0472
C1QA|712	2469.8922	C1QA|712	4258.5691
C1QBP|708	1036.3239	C1QBP|708	1326.1911
C1QB|713	2542.8317	C1QB|713	4124.1639
C1QC|714	2538.2932	C1QC|714	3664.1194
C1QL1|10882	8.1044	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C1QL2|165257	11.1253
C1QL3|389941	62.5658	C1QL3|389941	34.8792
lowly_expressed	lowly_expressed	C1QL4|338761	9.0205
C1QTNF1|114897	416.2412	C1QTNF1|114897	1429.4456
C1QTNF2|114898	30.4725	C1QTNF2|114898	149.4393
C1QTNF3|114899	116.37899999999999	C1QTNF3|114899	967.8976
C1QTNF4|114900	7.1319	C1QTNF4|114900	10.8246
C1QTNF6|114904	323.2029	C1QTNF6|114904	120.8744
C1QTNF7|114905	37.6043	C1QTNF7|114905	283.8445
lowly_expressed	lowly_expressed	C1QTNF9B|387911	32.7594
lowly_expressed	lowly_expressed	C1QTNF9|338872	57.1297
C1RL|51279	1276.7939	C1RL|51279	1543.9846
C1R|715	5486.9925	C1R|715	20604.282
C1S|716	8977.3888	C1S|716	27976.4205
C1orf101|257044	14.2637	C1orf101|257044	7.2164
C1orf103|55791	409.7577	C1orf103|55791	381.86699999999996
C1orf104|284618	35.9543	C1orf104|284618	34.1455
C1orf106|55765	438.9335	C1orf106|55765	110.9519
C1orf107|27042	796.8231	C1orf107|27042	678.3402
C1orf109|54955	296.9446	C1orf109|54955	374.0493
C1orf111|284680	5.1868	lowly_expressed	lowly_expressed
C1orf112|55732	264.6049	C1orf112|55732	104.9262
C1orf113|79729	179.363	C1orf113|79729	79.0284
C1orf114|57821	10.5649	C1orf114|57821	7.8178
C1orf115|79762	851.2845	C1orf115|79762	2385.3159
C1orf116|79098	331.9556	C1orf116|79098	925.2007
C1orf122|127687	544.8027	C1orf122|127687	390.0967
C1orf123|54987	407.4885	C1orf123|54987	828.0802
C1orf124|83932	262.9062	C1orf124|83932	192.1362
C1orf126|200197	109.4513	C1orf126|200197	51.9971
C1orf128|57095	753.7078	C1orf128|57095	1125.4553
C1orf130|400746	106.9779	C1orf130|400746	228.5189
C1orf131|128061	211.0382	C1orf131|128061	174.9973
C1orf133|574036	11.9945	C1orf133|574036	63.7447
C1orf135|79000	48.3021	C1orf135|79000	12.0273
C1orf144|26099	3446.9568	C1orf144|26099	3452.7394
C1orf150|148823	49.5988	C1orf150|148823	33.0751
C1orf151|440574	1091.4985	C1orf151|440574	1027.7335
C1orf152|767846	26.2582	C1orf152|767846	8.1184
C1orf156|92342	263.5546	C1orf156|92342	186.4233
C1orf159|54991	112.81299999999999	C1orf159|54991	84.1912
C1orf162|128346	441.5269	C1orf162|128346	371.3431
C1orf163|65260	209.0931	C1orf163|65260	195.1431
C1orf168|199920	11.6703	C1orf168|199920	28.8655
C1orf170|84808	32.7417	C1orf170|84808	16.8382
C1orf172|126695	427.5873	C1orf172|126695	266.7056
C1orf173|127254	74.5603	C1orf173|127254	92.911
C1orf174|339448	411.0544	C1orf174|339448	406.2223
C1orf175|374977	11.3461	C1orf175|374977	22.6444
C1orf182|128229	10.3736	lowly_expressed	lowly_expressed
C1orf183|55924	33.0659	C1orf183|55924	78.4782
C1orf186|440712	116.7031	C1orf186|440712	59.2345
C1orf190|541468	26.5759	C1orf190|541468	76.0246
C1orf192|257177	84.9339	C1orf192|257177	25.2573
C1orf194|127003	14.5879	lowly_expressed	lowly_expressed
C1orf198|84886	1469.487	C1orf198|84886	2709.1511
C1orf200|644997	10.0494	lowly_expressed	lowly_expressed
C1orf201|90529	246.0491	C1orf201|90529	269.7124
C1orf203|84852	103.4314	C1orf203|84852	94.4414
C1orf204|284677	27.5646	C1orf204|284677	43.141999999999996
C1orf210|149466	269.0656	C1orf210|149466	178.0042
C1orf212|113444	626.631	C1orf212|113444	627.8255
C1orf213|148898	36.2687	C1orf213|148898	55.9811
C1orf216|127703	418.5104	C1orf216|127703	482.8964
C1orf21|81563	4849.0153	C1orf21|81563	3759.1351
C1orf220|400798	12.3187	lowly_expressed	lowly_expressed
C1orf226|400793	1710.0251	C1orf226|400793	744.4904
C1orf228|339541	17.1813	C1orf228|339541	7.2164
C1orf229|388759	6.1593	C1orf229|388759	10.8246
C1orf230|284485	10.3736	lowly_expressed	lowly_expressed
C1orf25|81627	674.9331	C1orf25|81627	509.6572
C1orf26|54823	176.0272	C1orf26|54823	159.3618
C1orf27|54953	790.0154	C1orf27|54953	584.8279
C1orf31|388753	293.7029	C1orf31|388753	150.642
C1orf35|79169	195.1536	C1orf35|79169	182.2137
C1orf38|9473	798.1198	C1orf38|9473	670.2217
C1orf43|25912	6682.2271	C1orf43|25912	3903.1621
C1orf50|79078	119.2965	C1orf50|79078	157.5577
C1orf51|148523	310.56	C1orf51|148523	129.2936
C1orf52|148423	256.0985	C1orf52|148423	297.3752
C1orf53|388722	10.3736	C1orf53|388722	14.4328
C1orf54|79630	200.6646	C1orf54|79630	219.7991
C1orf55|163859	869.7625	C1orf55|163859	564.9828
C1orf56|54964	200.9887	C1orf56|54964	147.2142
C1orf57|84284	601.3453	C1orf57|84284	466.0582
C1orf58|148362	646.9049	C1orf58|148362	339.7233
C1orf59|113802	298.8897	C1orf59|113802	186.1226
lowly_expressed	lowly_expressed	C1orf61|10485	8.4191
C1orf63|57035	177.9723	C1orf63|57035	320.8284
C1orf64|149563	190.6151	C1orf64|149563	164.4734
C1orf66|51093	541.0487	C1orf66|51093	470.8691
C1orf69|200205	176.9998	C1orf69|200205	249.5666
lowly_expressed	lowly_expressed	C1orf70|339453	11.7266
C1orf74|148304	78.1263	C1orf74|148304	70.0591
C1orf77|26097	1631.2505	C1orf77|26097	1372.6165
C1orf83|127428	256.0985	C1orf83|127428	192.1362
C1orf84|149469	6.5678	C1orf84|149469	11.5883
C1orf85|112770	945.6196	C1orf85|112770	959.1778
C1orf86|199990	297.2591	C1orf86|199990	280.991
C1orf88|128344	116.7031	C1orf88|128344	210.4779
C1orf89|79363	49.2747	C1orf89|79363	44.2004
C1orf91|56063	112.9913	C1orf91|56063	113.9016
C1orf93|127281	2022.2579	C1orf93|127281	718.0874
C1orf95|375057	55.1098	C1orf95|375057	55.927
C1orf96|126731	342.9776	C1orf96|126731	363.2247
C1orf97|84791	151.7141	C1orf97|84791	73.0659
C1orf9|51430	2488.3702	C1orf9|51430	1240.9175
C20orf103|24141	652.2409	C20orf103|24141	30.6696
C20orf108|116151	2692.6007	C20orf108|116151	3874.2966
C20orf111|51526	665.2079	C20orf111|51526	742.0849
C20orf112|140688	1844.2337	C20orf112|140688	706.003
C20orf114|92747	49.923	C20orf114|92747	56.2277
C20orf117|140710	500.2026	C20orf117|140710	283.2431
C20orf118|140711	43.0894	C20orf118|140711	47.6011
C20orf11|54994	2039.7115	C20orf11|54994	2026.9021
C20orf12|55184	126.1042	C20orf12|55184	120.2731
C20orf132|140699	12.9703	C20orf132|140699	60.1395
C20orf134|170487	35.9835	C20orf134|170487	21.6492
C20orf135|140701	45.3846	C20orf135|140701	42.9976
C20orf151|140893	77.1537	C20orf151|140893	26.4601
C20orf160|140706	101.1427	C20orf160|140706	257.3844
C20orf177|63939	322.5642	C20orf177|63939	294.66900000000004
C20orf194|25943	479.1312	C20orf194|25943	1039.4601
lowly_expressed	lowly_expressed	C20orf195|79025	6.3143
C20orf196|149840	57.0549	C20orf196|149840	61.0386
C20orf197|284756	8.4286	C20orf197|284756	10.2232
C20orf199|441951	1651.3494	C20orf199|441951	1737.6453
C20orf202|400831	5.1868	C20orf202|400831	12.0273
lowly_expressed	lowly_expressed	C20orf203|284805	5.1116
C20orf20|55257	197.4228	C20orf20|55257	196.9472
C20orf24|55969	1013.3009	C20orf24|55969	772.9229
C20orf26|26074	37.6043	C20orf26|26074	9.6218
C20orf27|54976	376.6918	C20orf27|54976	575.206
C20orf29|55317	197.747	C20orf29|55317	190.6328
C20orf30|29058	2398.5736	C20orf30|29058	2927.1461
C20orf3|57136	4622.0926	C20orf3|57136	3278.0428
C20orf43|51507	2051.0576	C20orf43|51507	2449.0606
C20orf46|55321	10.3736	C20orf46|55321	19.2437
C20orf4|25980	1297.674	C20orf4|25980	1273.9926
C20orf54|113278	257.3953	C20orf54|113278	141.9222
C20orf72|92667	460.9774	C20orf72|92667	483.1971
C20orf7|79133	95.6317	C20orf7|79133	120.8744
C20orf85|128602	11.022	lowly_expressed	lowly_expressed
C20orf94|128710	48.3021	C20orf94|128710	12.6287
C20orf96|140680	253.5051	C20orf96|140680	277.5301
C21orf119|84996	60.945	C21orf119|84996	80.583
C21orf122|728039	40.8461	C21orf122|728039	49.9133
C21orf125|284836	6.8077	lowly_expressed	lowly_expressed
